""	IFITM1	CD44	PTPRC	ITGA4	CD8A	CD8B	CD2	CD69	SIGIRR	LAG3	CXCR3	CXCR4	S1PR4	CD3G	KLRD1	CD3D	ITGAL	KLRC1	ITGB1	CD47	CD247	PTGER4	CD226	CCR5	ITGB2	KLRF1	CD46	IL2RG	ADRB2	KLRC2	CD7	SPN	CD4	TNFRSF1B	RIPK1	SORL1	C1QBP	CD96	SLC1A5	ADGRE5	CD27	CD81	CCR1	CD6	F2R	HLA.DPB1	TNFRSF1A	TSPAN14	TIGIT	KLRB1	PILRB	ADCY7	TFRC	CLEC2D	LAIR1	TNFRSF14	PTGDR	FAS	TRADD	TSPAN5	VSIR	NCR3	IGF2R	HAVCR2	SIRPG	JMJD6	SLC16A7	ATP5F1B	PTGER2	ADGRG1	RACK1	SMAP1	NOTCH2	LPP	CD82	ERAP1	CD74	CANX	CD63	PTPRA	RPSA	STX4	GPR171	CD9	MCFD2	EGFR	LAMP1	LRP10	APLP2	NCL	PTPRZ1
IFITM1	1	0.898460824916998	0.887373489405431	0.876669433589327	0.485340992122954	0.486208612161848	0.845434298125137	0.708406675427199	0.808603984705529	0.616516216175266	0.895162184800262	0.821836141210251	0.899128206065612	0.597540677576762	0.84268827485584	0.650806046480555	0.768534574588038	0.835620864617356	0.927989356245515	0.636044242931379	0.842959818589021	0.606378065437388	0.556508206938614	0.478242078211316	0.910014651957511	0.693200039751325	0.32799408043034	0.937515917045954	0.872457340163873	0.698661038479275	0.970240112510446	0.683285193202595	0.726644353020826	0.820630168622569	0.415285403287557	0.585012745902698	0.0116568592964694	0.920946193440073	0.822874326638969	0.886954133119972	0.622899492449387	0.663894841007925	0.613157067630536	0.613507622572669	0.642411881231076	0.821354066175104	0.65300289980376	0.735980640813827	0.785692368847218	0.602817212769847	0.73134808314945	0.868673228125441	0.0897819923422054	0.579811838590055	0.731206220912417	0.755114429460097	0.710897546044147	0.717349810543849	0.631337959655484	0.264766127671344	0.787613780054664	0.874104561960859	0.364316833426652	0.69801668904214	0.446681887835923	0.316079194225948	0.608144940674148	0.09987271472493	0.538440460896006	-0.135885368600796	0.526287646085802	0.502378078050093	0.473614510366788	0.269291927672242	-0.212959902897929	0.633440352837737	0.667255472510786	-0.3035697951632	0.325241987116136	0.205981270645912	0.607151092867922	0.00570055549029287	0.706783847206735	-0.389483934138276	-0.594702434001356	-0.341200164476651	0.256047316360389	0.507412378236069	-0.0707945479813728	0.230407787596734	-0.299826473101949
CD44	0.898460824916998	1	0.970137798582422	0.87969414669418	0.700208699533057	0.699324914850636	0.932752499281862	0.831488474040869	0.924205910773878	0.785481507493367	0.906261222331932	0.910924349550086	0.851465120903168	0.782447765108523	0.719845421140553	0.796602682614245	0.899815221312855	0.672527574182213	0.889546759813582	0.852951635549044	0.75108152983052	0.77881576655516	0.686058550410789	0.573353195035802	0.863304834191152	0.681374438474197	0.582574007546423	0.909997612198522	0.916027576290121	0.518952920182718	0.820311274857824	0.863084420635843	0.773538069992161	0.872548686251918	0.683578735771616	0.745916031306334	0.247738143062254	0.960011357719085	0.773568154552531	0.938178949284673	0.757092979416766	0.6973923475236	0.581172565047549	0.759289623097912	0.751376311741271	0.701079585529761	0.681152385702096	0.884098752206402	0.853208406683686	0.764065639881626	0.769945421326931	0.825262609641302	0.359699362843569	0.78504997241136	0.764332180514294	0.834992114182262	0.70915283349196	0.85942443002452	0.789871768234485	0.523598123916549	0.779488882134453	0.786455493779088	0.615867091961113	0.739051968105711	0.67611588490064	0.368918431685682	0.748009897986306	0.295884696405212	0.712489269453618	0.0483735120185779	0.666339000078065	0.718019576060648	0.588192947471401	0.368262220485947	-0.00578130470656606	0.850288987710625	0.577431798133798	-0.027288069033871	0.474814328120757	0.492668700686058	0.71097507410694	0.262364308625063	0.83493508108999	-0.185898214993761	-0.368508149337739	-0.157288780060213	0.496889983896582	0.736832726190118	0.127624588624055	0.531212928987048	-0.10266806759086
PTPRC	0.887373489405431	0.970137798582422	1	0.878259274596672	0.76133556158874	0.770701830417785	0.957481011764267	0.86130174761936	0.923628989973889	0.836853310253706	0.911213450197715	0.929494757718773	0.831930288906665	0.809964395015843	0.70570593314817	0.821911572631669	0.920713111243508	0.641099825552228	0.847949174710462	0.837028630012934	0.735419477287293	0.815968238282656	0.717577737599403	0.618035559095177	0.809199069190039	0.684668651886457	0.505145143184862	0.879269160886716	0.908668119460329	0.470028837343913	0.79051607623601	0.902326444068217	0.721326553667654	0.816430672890542	0.704403012052957	0.728322378663267	0.217054632771591	0.983033545054868	0.696580708481403	0.907073479319309	0.799532350044619	0.585714653529667	0.543633556974716	0.775431617530671	0.716628070176574	0.671732270470221	0.586416102907607	0.887216494687595	0.873347832357928	0.793088211566768	0.690448747372864	0.817913207826408	0.375935431797297	0.837304901767978	0.712423322644871	0.79447568257614	0.699039817520584	0.885596954928147	0.815802006701836	0.50344490259536	0.767274241219474	0.802707050904258	0.617951292931752	0.650099189328182	0.741847081718212	0.202205904419147	0.71400607334564	0.179724631692346	0.763702512313511	-0.0314635863046098	0.645010705720612	0.701810779114855	0.480664141571497	0.270080189514279	-0.096941566167671	0.864379514900839	0.536276487247874	-0.120036161961648	0.34851548901183	0.441006088936572	0.694050439974545	0.195615518328322	0.830565972346424	-0.271619512752092	-0.428789545572298	-0.227578888988897	0.39238773482217	0.754791192174191	0.0419607010364795	0.494549279324578	-0.171228951548861
ITGA4	0.876669433589327	0.87969414669418	0.878259274596672	1	0.729263528485536	0.732039768370526	0.90974657396677	0.886059478730196	0.905514078429371	0.79032946404812	0.940801371567366	0.934060619508594	0.87758874976158	0.827341902062208	0.573981040508901	0.85802729963144	0.896189208730759	0.568018831285895	0.822282514476299	0.766438765664611	0.563633592339392	0.834172867051479	0.838938150966636	0.275855353633767	0.83248962301935	0.521575704547338	0.54030079839295	0.920029652010624	0.802679062857846	0.322031393893136	0.773525008260527	0.79008189988256	0.889164654678597	0.905555840684535	0.602582635081474	0.693786802191436	0.302501699185348	0.89610737044046	0.745038773878528	0.886073101080199	0.804850397256552	0.603058154406869	0.324998013643629	0.812805139251519	0.653294432416952	0.718046943542258	0.542755994098551	0.880075419413699	0.624261524308516	0.792412399109041	0.655262445521713	0.86446502777406	0.416661576174362	0.817456474108934	0.814382898080725	0.860722514403746	0.566745087214649	0.811243178958625	0.847000343334661	0.473154658581268	0.912981344272736	0.811885247937246	0.464440950095971	0.615087880392808	0.683873979926463	0.285002140454119	0.812032624437714	0.279748700426028	0.78351616481358	-0.0649473737514945	0.769080983324321	0.712770943317889	0.475165530576128	0.290572133970607	-0.0968535351285691	0.699173329097523	0.621484426270706	-0.122421600931729	0.395776443954698	0.341748251641775	0.837497710339485	0.240963866543965	0.874227160581137	-0.244815115614954	-0.396086248623617	-0.258459599593918	0.490176540385335	0.6153475506207	0.0949705351836763	0.440053090408879	-0.210710227955555
CD8A	0.485340992122954	0.700208699533057	0.76133556158874	0.729263528485536	1	0.984986079068232	0.848494225694976	0.91220526353595	0.799345850375901	0.884261110792832	0.748521345554234	0.841870528669334	0.519176714251293	0.952605536884861	0.164216354580635	0.888332488324331	0.892651106354517	0.0987108507839348	0.473045193619085	0.773475349756882	0.176439796860613	0.971035164106337	0.924146679117029	0.273956786947142	0.437444867981363	0.238132622127824	0.632735051001715	0.602663842257772	0.543689078945629	-0.145781089661162	0.319998606287239	0.88415366914357	0.617587258750426	0.661128521984796	0.915418738075512	0.618738093076083	0.616395283041765	0.702477381546921	0.402467986926986	0.673188062387211	0.840914428660912	0.311426397834167	0.0601959165343191	0.918819928822907	0.535091884733449	0.240882991647911	0.238518687915849	0.873435459556198	0.495831385286208	0.856131521966005	0.306072250678095	0.550654773911817	0.790504675559029	0.931784248337607	0.504452056030787	0.658949826232872	0.32122745844854	0.801507434150386	0.913320405339669	0.642608298346646	0.709619725751062	0.588969003442614	0.727441733529892	0.330709684147776	0.982534549195856	0.132087166729852	0.744643985526499	0.415372731034523	0.953183172747936	0.0549830741320863	0.770112315778871	0.847779386140172	0.312382692353541	0.136415852411051	0.0618192479024366	0.82059146044725	0.193503841375808	0.155345119696041	0.363637246497015	0.581479263502904	0.792426873300332	0.545838954462927	0.841448148967829	0.0052071063900033	0.0297064856519351	-0.0693238470613778	0.542809754428534	0.730173801083336	0.235694792253998	0.733318549031412	-0.0173548265299028
CD8B	0.486208612161848	0.699324914850636	0.770701830417785	0.732039768370526	0.984986079068232	1	0.837469478556307	0.889380406140868	0.813091033489198	0.856226049458441	0.7560389299226	0.833872286662791	0.499900803032006	0.930882061630314	0.158913248405811	0.865108348411341	0.873375850742544	0.0964270104421525	0.466797917186823	0.784207829612347	0.179479463240535	0.959786668113682	0.911212564567987	0.27490888497116	0.411168957857003	0.244642945306201	0.578783794221913	0.565312523762518	0.549603679827568	-0.132925153154664	0.313758762564838	0.87215633193309	0.587418961031535	0.634071735645668	0.907140700270761	0.613747311990762	0.632588086547451	0.70826172921071	0.350141779261765	0.641006572303758	0.842676779765535	0.293560582366722	0.081848299994251	0.878067257694796	0.482612659235698	0.262304563557293	0.213635954965679	0.842400471394646	0.515344502410188	0.835372840447166	0.301018142916177	0.554397911756626	0.792013915205206	0.939625939243443	0.49635250767448	0.635954430871013	0.284115054014782	0.824796282251482	0.908760166552925	0.627043342315224	0.707783332827473	0.605969818398798	0.672955918831463	0.301067180820422	0.968886341038915	0.112415448471674	0.70713118293506	0.351882485320028	0.947284115360406	0.0355984120711491	0.77454882405215	0.854384368005345	0.29937810941557	0.122025248282062	0.0472165388740983	0.831586664158233	0.206668226555916	0.177572659536491	0.348572396642265	0.572360998653651	0.784534051733688	0.519280750055601	0.785654540299804	-0.00348251203240744	0.029151560914417	-0.0723563236579043	0.496662411265313	0.754715119738693	0.215130081727005	0.739925071197761	-0.0185034307254605
CD2	0.845434298125137	0.932752499281862	0.957481011764267	0.90974657396677	0.848494225694976	0.837469478556307	1	0.913873893454214	0.930416535186665	0.903250141121741	0.952639377087067	0.949839688522512	0.816111765141221	0.904006295777151	0.579811270142726	0.910514276626295	0.964835614692814	0.516374109354221	0.804618246222224	0.805179533135764	0.604475378103423	0.893834905236909	0.846885545882256	0.526903565341463	0.818466440674581	0.518717547854035	0.552779038106565	0.899486996379136	0.823888408496494	0.32223465173875	0.732456189869742	0.887090226718639	0.780640163652218	0.880902720216774	0.771281994297468	0.718347729593407	0.343286034659743	0.939997462371795	0.693332898746091	0.888139640862059	0.878760888575847	0.577654547228009	0.390675659657991	0.899993209392219	0.747961471238115	0.624158703145979	0.522715578831974	0.945004828610245	0.761247987024812	0.817245680029036	0.605344603094701	0.768078518973259	0.512460858341107	0.856572971099761	0.732924539738404	0.842476029142088	0.575988779449395	0.909138619121836	0.886560109595431	0.514324634816084	0.85258142966797	0.802960875131614	0.647311414636003	0.590725081923452	0.829258061969714	0.279825438247944	0.742820025886474	0.305350154538032	0.845323730865023	-0.0403784824285005	0.71506546679604	0.753797501414924	0.444929507912731	0.244058979899487	-0.0633014765784988	0.852102720902283	0.511920993411411	-0.094857477391668	0.375975359913429	0.440533629256091	0.776758749107556	0.291471175258046	0.890901531207239	-0.232198103461808	-0.350552738958856	-0.230550072906959	0.472257301152432	0.70247743617533	0.123183819985646	0.540273583135629	-0.176353076303597
CD69	0.708406675427199	0.831488474040869	0.86130174761936	0.886059478730196	0.91220526353595	0.889380406140868	0.913873893454214	1	0.928945568261943	0.896840100015076	0.877967210967646	0.971715299528484	0.793735864421267	0.966677232861626	0.355811266754639	0.961876945509009	0.960906086708086	0.30075954160499	0.638934358551062	0.827033610557508	0.359984148452895	0.959696885804344	0.910656132080776	0.266515614281734	0.655582643093882	0.401532746487964	0.683449723901319	0.815821380359314	0.753139794438402	0.0551343828934904	0.549761096431005	0.897914403201647	0.800937339026709	0.836136979825639	0.799294084596995	0.688070516393311	0.482136490389541	0.838082847019209	0.597224619871526	0.846736203625073	0.912792150750349	0.446620235129789	0.147755548595537	0.902818061798167	0.614253287962841	0.469766411482417	0.380693100330543	0.949266245158496	0.558604806101274	0.953836206498149	0.541397969186078	0.783110994939273	0.605936511434417	0.926719856499665	0.685760370159216	0.826673817215601	0.471408525422525	0.846429271026222	0.965839233691146	0.649707293281673	0.792896509474346	0.728529989264982	0.611554959857968	0.4515957472125	0.86392695926473	0.169441580050722	0.865753144961179	0.390561807114566	0.955684426286666	-0.0283209765860139	0.862197264115001	0.832524615689574	0.431204376975618	0.186979466836907	-0.0281902849472198	0.756926690912998	0.384088914200023	-0.00902810689174596	0.378450518229236	0.497004043578123	0.914326080008469	0.381441859714735	0.938369783971932	-0.14183303805734	-0.174466145669069	-0.175672370143743	0.578827737086219	0.674466744315411	0.13421795540981	0.61661369542266	-0.126631155639997
SIGIRR	0.808603984705529	0.924205910773878	0.923628989973889	0.905514078429371	0.799345850375901	0.813091033489198	0.930416535186665	0.928945568261943	1	0.84363502066686	0.939507858464555	0.970621636812083	0.857455102835937	0.899289403860995	0.475055576980475	0.919409402005234	0.936435734833032	0.426457489601347	0.756315648364125	0.874675191295485	0.514891335265523	0.884081615693414	0.82095252494264	0.388358877624596	0.769946247221385	0.487814544036705	0.635721806139991	0.85524937521315	0.872218639256556	0.263139137235644	0.669435457300492	0.844283146904612	0.823454524312892	0.905896103217201	0.757511438513247	0.72459015447296	0.436828844414647	0.900361480254114	0.648685020706879	0.875497011504776	0.907361915530031	0.594232299074123	0.331121390405871	0.823818634065421	0.660080764571109	0.618773144980791	0.508989953401487	0.92837770589218	0.685530983127574	0.885596019943313	0.685210147559334	0.841738861540792	0.518365264665533	0.864330956468483	0.77050609864792	0.891735771108205	0.478673944827174	0.908370164827991	0.932341884446327	0.633785800655799	0.809780503461868	0.780760177307946	0.514809857331786	0.548992458759981	0.755162022123333	0.282104669667629	0.794183160014574	0.33903816588568	0.8718326152921	0.0026108847424774	0.837491626292936	0.823341303591585	0.544078034989185	0.27522448407737	0.0131830121471465	0.798214897512208	0.509309939935546	0.0237948308547727	0.443685175540358	0.507897577946999	0.878727779382836	0.306603094609216	0.856822711498917	-0.141609292243209	-0.247200913121639	-0.142656185249077	0.564829007403624	0.704529721894101	0.165566602392724	0.600501461127168	-0.0911901380677266
LAG3	0.616516216175266	0.785481507493367	0.836853310253706	0.79032946404812	0.884261110792832	0.856226049458441	0.903250141121741	0.896840100015076	0.84363502066686	1	0.796004944065509	0.887349021389836	0.707328096775721	0.922844338122398	0.351777090130741	0.941783675397476	0.914610488932433	0.247850944791686	0.562289006964314	0.755688217932995	0.370177974616568	0.882453121155507	0.844098241488691	0.504900858556542	0.628135539009741	0.415548873164808	0.635954104759815	0.746566564302245	0.716817263094449	0.0298559460736393	0.461665932997195	0.839468943399718	0.727602374713545	0.768641974275318	0.776433865483029	0.687750549730538	0.361090545675718	0.808140718755124	0.488522776060243	0.744832786404902	0.909067769899275	0.364372097743889	0.137952328132461	0.891975221061402	0.716884380036715	0.42123592275919	0.364550672682836	0.920405585603552	0.59511472923296	0.865021632320909	0.465737267618128	0.643264510137847	0.592277210154588	0.881861160810926	0.671260967064329	0.792243430248422	0.459848828902203	0.857990275764917	0.887899334099699	0.59127552488655	0.69823708732291	0.562671681338164	0.650746453564229	0.432638200955048	0.876178969061015	0.0818475022814524	0.708062151204229	0.30900068242624	0.88148307150061	-0.0348536651502249	0.699355533198262	0.700913363947386	0.328370191341039	0.151476841340987	-0.0398026242000779	0.759233750100379	0.341211094968569	-0.0691866772853676	0.220928883669671	0.420022239579946	0.75323567204885	0.297656744059429	0.881486260612381	-0.191632702753004	-0.215377007622419	-0.179692411236123	0.515677424741074	0.639515431312445	0.145473553278034	0.54465395723379	-0.136097383255648
