""	CD3D	CD8A	CD3G	CD8B	CD2	CD247	KLRD1	KLRB1	F2R	CXCR3	CCR4	ITGAL	CCR5	ICOS	FAS	PILRB	TRADD	SIRPG	CD47	CXCR4	CCR6	TNFRSF25	SELL	TNFRSF14	IGF2R	TFRC	CD81	CD4	TNFRSF1B	ITGA4	LDLR	SMAP1	ITGB1	PTPRA	TNFRSF9	NOTCH1	CD44	SLC16A7	CLEC2D	TNFRSF1A	TRAF3	CD53	RIPK1	CD226	ITGB2	VSIR	LAG3	SMAD3	HLA.DPA1	TSPAN5	S1PR4	NOTCH2	ADGRE5	PDCD1	CANX	PTGER4	SORL1	CD69	RACK1	JMJD6	TSPAN14	LPP	SLC16A1	ADCY7	CD74	PTPRC	IL6R	STX4	HAVCR2	APLP2	LAMP1	SIGIRR	CD63
CD3D	1	0.0804891386128045	0.963716802254104	0.0820964402231738	0.947135607765857	0.9379652561223	-0.0420420188381734	0.768633124333277	0.202965555561932	0.683926850124433	0.749765394548037	0.6213468979707	0.490633924107822	0.896749197153748	0.880218940773667	0.37372646618867	0.86218915557602	0.77915155999429	0.875993172857343	0.845982808220402	0.841274500236999	0.856166660347638	0.694681895259848	0.924755932785168	0.67629334681935	0.756188383183563	0.560880624513654	0.835143379442735	0.810796880629364	0.765657250095288	0.77708147733401	0.878769648478315	0.696044270134184	0.813886059384479	0.548121163053117	0.634683393541921	0.802100801818259	0.727545664287347	0.841407243144593	0.458608647510693	0.861700612488835	0.925533638587292	0.761435343295487	0.806211234243222	0.808752852196903	0.862443162850235	0.582368388239798	0.711051231639245	0.398055166242462	0.853110110616454	0.917477251158776	0.779613675127944	0.818909533673546	0.729325510977782	0.611410086550728	0.719231439359883	0.727755828855208	0.822860232893138	0.827454348207461	0.57852567826298	0.80670632213529	0.597997094956008	0.665570372500506	0.615966918616025	0.507063211713229	0.846213273275771	0.756438725274292	0.697354712287574	0.467033431981421	0.384287460934985	0.711841721370978	0.915039390692543	0.452175693254996
CD8A	0.0804891386128045	1	0.109517218296684	0.963388251049627	0.148431611067653	0.130984193185114	0.734821461258883	-0.327256136076846	0.779428414973039	0.463585902748272	-0.370341897160988	0.608654437696735	0.64685060273756	-0.166244883481302	-0.120289994201349	0.627339384235452	-0.275684417167795	0.121250665720765	0.1048664556571	0.284653294245014	-0.312367429120975	-0.288973611770919	-0.173670444712092	0.0652994832883591	0.247621448278602	0.0245712898150563	0.451553363792039	-0.142838477463554	0.0102116743959029	0.291785917476985	0.0308378685053144	-0.0100731509419372	-0.0235608095184637	0.13722465046175	0.0911276786055569	0.256921809466315	0.179256693675802	0.251460195939308	0.162847088197426	0.176748383961574	0.0379513581375556	0.0910211456069327	0.139568444382679	-0.252838064298567	0.298723091571463	-0.132786408160141	0.342787117572274	0.0381968623970798	0.212928682791925	0.265109039220865	0.0118451954520349	-0.0292401482869586	0.322125557414752	0.235532814010757	0.0910528991025594	-0.0804394192255745	0.000848098233304556	-0.0370078160630868	-0.127328556703709	0.689159725552178	0.0561344785220032	0.112283347263953	0.0685502586816629	0.405376189462319	0.204196597628923	0.334647978217856	-0.144007102351329	0.219443856891213	0.17004029654662	0.0963018225700127	0.149987012107921	0.168111136708528	0.097273289180604
CD3G	0.963716802254104	0.109517218296684	1	0.109127099028335	0.912940960420817	0.8984747368304	-0.0364900562048421	0.739590946308355	0.2317897297979	0.638234345265274	0.768847545613302	0.617695421752116	0.459180583741756	0.873217820522233	0.851433997705595	0.41100125345901	0.834321479040905	0.713673745302347	0.897255892538693	0.881582972182614	0.803359478409533	0.837332833967469	0.748848404105303	0.927088743191127	0.694848006323082	0.72393836513749	0.577446428922684	0.804966692422171	0.766007384189926	0.762955837221956	0.80775531496089	0.872993280445406	0.722729736369255	0.840126682319026	0.520753129591712	0.642285899758039	0.835099998645555	0.762869574026971	0.871941290075811	0.471914102629433	0.83560915585902	0.915421769778699	0.777588124022629	0.792677977823578	0.79592655464586	0.854877161456282	0.492542675988926	0.73971235978727	0.406141537662439	0.842807477718348	0.903661476033494	0.762970610640118	0.841545204981884	0.65190546606339	0.624157346899951	0.778588724592395	0.782463930369497	0.84939909582695	0.845984529432563	0.613486769694787	0.824120938306905	0.628077769349107	0.662454565161254	0.614522317364542	0.513058156076204	0.875323739211763	0.759532310646006	0.704978829555722	0.439670524882516	0.406256272385235	0.712794551819528	0.90288904553573	0.457702211124503
CD8B	0.0820964402231738	0.963388251049627	0.109127099028335	1	0.128189509029833	0.108973865021508	0.734209158069058	-0.323942863167013	0.7422017982587	0.430254126436824	-0.379275860821144	0.557486777412776	0.588406997663154	-0.179522901978391	-0.149619563599692	0.559873716059085	-0.263979324613375	0.0973995421638267	0.0848113040983175	0.305531806745549	-0.330293670455064	-0.306402235151367	-0.165662428490468	0.0497519045185892	0.195474762114147	-0.035333529819259	0.409792627157108	-0.186280952660687	-0.0301572857307175	0.254735431904882	-0.0200931314663274	-0.031859784426608	-0.0654930164533294	0.0849565195036436	0.0697018002102732	0.199554043222947	0.152371900298651	0.23462189061572	0.13844654594598	0.120752650255025	-0.0131845748974024	0.0675708908743963	0.120388102285459	-0.269135140274682	0.253875054774004	-0.149956374832946	0.301809634554872	-0.00204072741257614	0.159378423809539	0.235040701527867	-0.0035911415130322	-0.0771342165843642	0.291513539367465	0.20613353071659	0.0393878269892063	-0.0485629399266672	-0.00921339827261543	-0.00702912412511158	-0.127440353075754	0.675892359050627	0.0214310329250378	0.0513660854303461	0.0221195820778763	0.355669628059401	0.14481448573632	0.313418359324074	-0.194101973095858	0.1764864701758	0.107775488841013	0.0355175422201146	0.10981413179472	0.144638236910945	0.0470279961803344
CD2	0.947135607765857	0.148431611067653	0.912940960420817	0.128189509029833	1	0.954984455136417	0.0160622155611281	0.644121373300078	0.315647625457928	0.757699000592996	0.659191433581994	0.719555910133184	0.621649744812897	0.876794079725274	0.88873988278062	0.464749283909988	0.749702976801855	0.864223924164694	0.832829715899445	0.755082785872908	0.813096850266617	0.798299596189801	0.566401552693942	0.86833984661905	0.747425854200848	0.836498453313832	0.59991090476205	0.864227186699716	0.884819726561769	0.861748613457534	0.77381983552118	0.823406189183415	0.682797481626882	0.830863852166156	0.658474343559873	0.666637163902739	0.790892212661253	0.723226823135598	0.852872734105191	0.499435432635348	0.909688141991857	0.896684019109124	0.786410778568886	0.784084759384643	0.83041635494061	0.815179192377263	0.709988266674122	0.690626840026903	0.453591362902974	0.893303002544992	0.88552759047799	0.812436958497962	0.83174492684334	0.784277006493597	0.640610163924963	0.570571807707972	0.653204552276391	0.685683666183289	0.707077481682569	0.614580072556882	0.808859248574263	0.632474780935802	0.740904584440817	0.66211123054795	0.567846181594815	0.879276573718597	0.780358599545283	0.706817610604998	0.576795473593596	0.44540939180151	0.742110225483487	0.888331921953171	0.483167875342832
CD247	0.9379652561223	0.130984193185114	0.8984747368304	0.108973865021508	0.954984455136417	1	0.074099338141174	0.656802292000769	0.269792724852387	0.754239475770194	0.651892065699902	0.686565830998329	0.575189095198026	0.866292940408618	0.860138137319997	0.426283746996772	0.754735745472953	0.831866948180939	0.806049617190191	0.758668665514751	0.801950527575712	0.77959572032064	0.563653836039144	0.856404285815073	0.700042658343855	0.794068128724803	0.554676763981754	0.834826943972995	0.857389968430403	0.807643683169464	0.736475080786148	0.811976134336925	0.640272604955603	0.789875370923493	0.632733032122923	0.639461001160297	0.754329702646427	0.679484100497502	0.815243945603434	0.449651538124653	0.876719955839768	0.886639833557033	0.751885038364455	0.771267178423256	0.811483979295942	0.784724339224916	0.68473443606566	0.646760697856432	0.402009734126794	0.860099193992477	0.871673091425349	0.778300820998286	0.785248330276991	0.786602627431308	0.592288906280248	0.567251996173166	0.629205098166147	0.68499467453869	0.695756901078831	0.594082762157404	0.767923930562	0.585340425925781	0.69136212173611	0.63249919564604	0.512367883706616	0.840485274163549	0.75318922723581	0.677980686223862	0.561378844901692	0.393717551586717	0.705525480174375	0.875205405703821	0.441268747620716
KLRD1	-0.0420420188381734	0.734821461258883	-0.0364900562048421	0.734209158069058	0.0160622155611281	0.074099338141174	1	-0.25906840204831	0.547306776257189	0.326259240149012	-0.412506004054826	0.390785536524171	0.393568490673223	-0.231455463545536	-0.211865823987181	0.447146981358424	-0.299798506530977	0.0366657537589854	-0.0163254189658462	0.138587020895194	-0.347502607805646	-0.305547191834142	-0.274686606351083	-0.0693409525328061	0.151780658843267	-0.038065962726278	0.304516076098128	-0.186477191686479	-0.0726431565228036	0.12820882976786	-0.155384949955701	-0.0973506056937402	-0.0938611951183421	-0.00125118799612862	-0.0299848275897655	0.120787321755587	0.0159472839301031	0.0768687962081535	-0.0231346241072575	0.11199690939958	-0.0643481420224008	-0.0119637241974759	0.0230828036460617	-0.205336691237681	0.191944308893677	-0.185560773050561	0.239969265069755	-0.0460609832488335	0.121369142849402	0.15114118803103	-0.0900302201657788	-0.0700439211520358	0.181789020492756	0.193673758032899	0.0162252540312684	-0.128801822742581	-0.0810474036250046	-0.0959633901714043	-0.206554569081762	0.541616463868762	-0.0498414299700327	0.0176856394671929	-0.0473822286218329	0.261615550427573	0.0900015661098938	0.129280810873395	-0.217390260521588	0.139294621981982	0.187080093832891	0.0311842910796456	0.0722644625924903	0.0518763382664342	0.0557397519835569
KLRB1	0.768633124333277	-0.327256136076846	0.739590946308355	-0.323942863167013	0.644121373300078	0.656802292000769	-0.25906840204831	1	-0.245988551665768	0.295143925425299	0.772648991035386	0.156891715135303	0.0456041261220897	0.716482858239296	0.69975381508111	-0.00802419280157692	0.903018193526187	0.420164998257542	0.673882507983479	0.654957226183121	0.758455360737873	0.863155667991301	0.704729030215951	0.756778697697233	0.379955917664443	0.51545350060539	0.262310333344597	0.690363347833962	0.483405421234866	0.394316576851667	0.579366205924131	0.756165350210732	0.572998058928833	0.578978247838234	0.139427164380292	0.358986833429838	0.563271862797902	0.491849964498888	0.567291969783791	0.279812366876311	0.621454434806062	0.737123739892483	0.484425028508323	0.808131635312529	0.532796270766052	0.804280818417422	0.234626011813391	0.628480521766375	0.199211329961791	0.544462164526777	0.750739674209569	0.67383990801152	0.538274943817224	0.515986073048667	0.431814613503462	0.760229237883082	0.682044082920791	0.797840239831348	0.835245134946231	0.19682206482886	0.616844806907014	0.389680161490714	0.392503068204205	0.323610779779594	0.279776594914365	0.465142017015464	0.615828878269318	0.475893978423131	0.224984351926396	0.202584671777885	0.484079794380926	0.712699373402192	0.294200790964711
F2R	0.202965555561932	0.779428414973039	0.2317897297979	0.7422017982587	0.315647625457928	0.269792724852387	0.547306776257189	-0.245988551665768	1	0.508714067396653	-0.153874217189991	0.714894860371559	0.729587742058294	0.0411555068575369	0.106610669217948	0.789532664834552	-0.134478610414486	0.310697199231077	0.32427341904463	0.289466393555255	-0.0929183898843163	-0.091203218046259	-0.046842061867195	0.187291365452952	0.526040199522651	0.297244974995757	0.67147607189081	0.141580526375462	0.281307946330641	0.537945630328862	0.296707114997967	0.186442182931029	0.334265698585716	0.40331938813475	0.286261882739596	0.555447868577403	0.39820925382608	0.433569861066127	0.35495151422263	0.500315159662972	0.297861504926694	0.261937004071156	0.390509231281434	-0.0341870461828924	0.47692453510685	0.0803119582675799	0.471766932499012	0.280993895958576	0.483942440628562	0.439530765295624	0.187134676633961	0.201909100252758	0.490414760811225	0.313922101755101	0.455290720019172	-0.0320969911909494	0.142265791847165	0.0081065477727827	0.0297836214755545	0.731752355256854	0.323478603056902	0.477225433889534	0.439652292710403	0.578148244365843	0.492604960789314	0.509990097802357	0.193116197003168	0.487603740607773	0.400911568502885	0.478793877710679	0.427896598314673	0.30548749423243	0.450964309600057
CXCR3	0.683926850124433	0.463585902748272	0.638234345265274	0.430254126436824	0.757699000592996	0.754239475770194	0.326259240149012	0.295143925425299	0.508714067396653	1	0.218484440930099	0.724375004682779	0.745581725943248	0.56078361127547	0.54779549893964	0.505975690086151	0.383881148146561	0.748723163512026	0.538316108773168	0.544774757943481	0.439068360480991	0.38548618272839	0.18278740358643	0.578106017265892	0.625278056931975	0.60141396718718	0.575195716954914	0.55484573321371	0.684408906678495	0.72297240756115	0.470797724650537	0.541745377842129	0.431604694142943	0.569336899224001	0.571580011962988	0.540510013216569	0.525409222155643	0.468173557683004	0.574389048006626	0.42676026275455	0.635135633998679	0.636973959964511	0.560576438175481	0.423711016959762	0.694374527513629	0.477042975656242	0.695021702388705	0.41850032379664	0.423032724127236	0.685273303223521	0.643161389836417	0.542179547073014	0.616085391372452	0.772393883913879	0.454226434083449	0.204538339740574	0.307997417423409	0.324687157579498	0.33535937998985	0.690095350034317	0.549681916802799	0.451669646621632	0.558531156820122	0.532070304389463	0.496958692371072	0.658665398944011	0.462303684020071	0.540206308018019	0.575703926645399	0.338562276341306	0.564167826004751	0.649371354380541	0.376464498387986
