""	CD3D	CD3G	CD8A	KLRD1	KLRK1	CD44	CD247	CD69	LAG3	CD8B	SIGIRR	ITGA4	CD2	IFITM1	PTGER4	PTPRC	CXCR4	KLRC1	CXCR6	CCR5	CD47	TNFRSF14	IL2RG	CD4	CD226	ADGRE5	ITGB2	CCR4	TNFRSF1A	ITGB1	TGFBR3	ADRB2	CD28	TNFRSF1B	CD5	ICOS	CD46	CXCR3	S1PR4	LDLR	F2R	TRADD	CTLA4	ADCY7	SORL1	PILRB	CLEC2D	RACK1	FAS	SPN	SLC1A5	HAVCR2	DPP4	ITGAL	TSPAN5	CD96	TIGIT	TFRC	TNFRSF13C	NOTCH1	SEMA4C	SIRPG	PTGDR	IGF2R	PDCD1	CD81	CRTAM	JMJD6	PTGER2	HLA.DPB1	LPP	STX4	TSPAN14	SLC16A1	CD82	CD63	C1QBP	VSIR	KLRB1	LRP10	CD74	PTPRA	ATP5F1B	RPSA	CANX	LAMP1	CADM1	ERAP1	APLP2	HLA.DPA1	SMAP1
CD3D	1	0.994726199413124	0.957066132747115	0.954190379244693	0.992194001993804	0.973330378063053	0.975570829386126	0.968350259840259	0.895340485297458	0.977567797159187	0.974435256415191	0.702055139340006	0.995268925076773	0.922574980042912	0.937537476394808	0.901906099530128	0.955583789956202	0.896675267898928	0.915226253948336	0.363437441721099	0.755653768675689	0.744660083463885	0.96618869522058	0.196324566590921	0.905859681738927	0.985586784722184	0.60736260600688	0.90532779401396	-0.141586088666357	0.748761524121143	0.911613327708082	0.523588342796906	0.690317708756954	0.587454096960922	0.918168571515667	0.887763805673511	0.305791311675601	0.85492632764271	0.8575408861337	0.839836291420601	0.809126858040666	0.814222302220726	0.162356928240307	0.528617461133628	-0.179162621159116	0.56113639255701	0.989875707478651	0.828447652703469	0.839271564610552	0.703112688216375	-0.371567642506281	-0.118667476630076	0.912041891723329	0.816687531136324	0.945609060163558	-0.000957644313388141	0.74230069989605	0.344690836986237	-0.667574302531212	0.822020233384914	0.855807894531195	0.920745117161195	0.893222363018982	0.872036445411924	0.701781720127572	-0.358892587098283	0.0972268275446524	0.760752978709795	0.893572966704464	-0.440292030544168	0.123744202377689	0.452534989540606	0.171189613504926	0.873839852595613	-0.279702073586631	-0.312545723484819	0.324038168475382	-0.658723542943196	0.924991922799991	0.770794861692877	-0.537177319992047	0.714412047978208	0.267878858770103	0.93062617104963	-0.136455648241079	-0.0143039054166429	-0.451859134491882	0.521407196520489	-0.204448438140669	-0.463780860144827	0.472856044045151
CD3G	0.994726199413124	1	0.933853877455571	0.969399096826842	0.986820341042938	0.989793231523859	0.964694970395591	0.985311116619377	0.885484352057342	0.976747779983954	0.974623169219391	0.67869249271497	0.989465182123261	0.914850999577293	0.952043154400122	0.881943456232811	0.95827176142103	0.907669011750794	0.918814440244335	0.298067600688512	0.756368299482032	0.730759788983704	0.946005446680208	0.158926314782917	0.901867596234123	0.991013275012312	0.576869549562602	0.904046479882717	-0.142607041948624	0.761155090979454	0.92042213938071	0.513445390331644	0.674479768799813	0.558746112244298	0.91617371752184	0.897537474566294	0.342622578570591	0.837891655962085	0.856212898306825	0.852574549197245	0.785855063011178	0.79640610688565	0.11737403070563	0.552793861368808	-0.179883878978814	0.576619554086118	0.985214775675404	0.810375298879873	0.875681046981935	0.75374449916705	-0.40095443860455	-0.0897327184654434	0.944976653514824	0.797817113166666	0.951011628247236	-0.0485992587847432	0.692096419162293	0.374141182743207	-0.718239783942324	0.810869048463662	0.896644905066149	0.92104561410096	0.909387448246684	0.87581069375673	0.635076070830962	-0.381455324846216	0.027620312901234	0.775837017661256	0.915542435290579	-0.467578255527424	0.11865135762271	0.503013429201706	0.195334953882292	0.890104884482994	-0.276189220772945	-0.344840368018	0.293632013291472	-0.668850298618341	0.953409080009027	0.793053578633344	-0.563341554387786	0.715461389428642	0.248586154450106	0.925310458461821	-0.165448414268878	-0.0592379914421564	-0.478419248113157	0.510557079762077	-0.223769876329688	-0.48623001235415	0.452774592073646
CD8A	0.957066132747115	0.933853877455571	1	0.900348279661449	0.941856997158111	0.895333100418627	0.975918618531497	0.907933380370221	0.917573146808092	0.932189026437645	0.887063363350515	0.606735900193301	0.970023160511657	0.916406858555152	0.82106961702748	0.87071767516528	0.914890391518318	0.778420101579871	0.787902654512571	0.591812061536893	0.602035127131687	0.619581243749012	0.927663973914284	0.362535776595385	0.792803415034725	0.901079192427027	0.723335735396826	0.783793191063219	0.0358239458900384	0.623816809873469	0.883317370641234	0.389007614986912	0.579142963115052	0.584722683033132	0.870546908805977	0.771879408155597	0.0890209825451383	0.788643406249463	0.878123692158045	0.685003390112943	0.735855959109469	0.857734247331583	0.359690428945217	0.306393717290915	-0.157198200030943	0.367526975511385	0.964144226040439	0.869259004836956	0.686272354076881	0.623004558242596	-0.362317505503497	-0.278700714156158	0.830725627263877	0.727681963339432	0.877804607487087	0.249132289855786	0.756301988011315	0.148143075135054	-0.490657131093078	0.789651740757544	0.707927489664988	0.830288942759818	0.852470469524212	0.786077512064049	0.834048924010169	-0.317462917285869	0.179071438830113	0.641227580585134	0.847369573879103	-0.284698231695257	-0.028869768669171	0.217978808532226	-0.00519931992831918	0.805476069690108	-0.293223874902922	-0.193654967778579	0.413516871776782	-0.660130111271788	0.825671944875577	0.762951927178662	-0.420505685240835	0.607709344180133	0.219044530188942	0.932239808044221	-0.16803417433528	0.0857972881658421	-0.474934342797539	0.390648525325684	-0.229139184366088	-0.32475896335344	0.404196410686799
KLRD1	0.954190379244693	0.969399096826842	0.900348279661449	1	0.94669016830793	0.986042084434147	0.905907757728691	0.98736657669118	0.932461519593739	0.981782886712635	0.946222108308175	0.555557509938719	0.955546662087173	0.834075647430529	0.900953201786561	0.816549104018318	0.942031657419056	0.872708985694477	0.860412216560066	0.282687778674301	0.709334024744829	0.676610138498094	0.889290192677351	0.139004882777843	0.80668254866678	0.953425864025914	0.523270471255295	0.840973134767639	-0.0357026020537296	0.707175232101728	0.871219119545516	0.457909941427248	0.554481010085375	0.524256072953793	0.815371945038557	0.834966630051433	0.317618625303754	0.722071263039966	0.918225920256841	0.798122627110373	0.668106415538823	0.816397270327984	-0.0018392713616208	0.4910800901633	-0.17544404451674	0.607068031382737	0.969107683567362	0.751490756584763	0.847540196489625	0.864399813897561	-0.455697355431627	-0.0230959648266472	0.976076454189695	0.739990736827888	0.908014232400166	-0.102551581886259	0.54116373669326	0.371400381540135	-0.748062808393088	0.791428113997132	0.881032057664546	0.852415488760795	0.97435475853308	0.868486376929121	0.559779866392498	-0.429161017249513	-0.150510989233299	0.80102290040215	0.945803704867015	-0.458331317952029	0.0505311137419528	0.569225303426437	0.197595803350259	0.950513120090861	-0.329500044563229	-0.399643396368983	0.193384678159871	-0.645326261040939	0.928438217236528	0.863893445557217	-0.551334723707883	0.698213629685713	0.175360399973164	0.873612549395391	-0.247977005878122	-0.0638059195945164	-0.583033837144424	0.429350105041328	-0.305985437280329	-0.475892792627848	0.399431484950225
KLRK1	0.992194001993804	0.986820341042938	0.941856997158111	0.94669016830793	1	0.962035696334651	0.9667018304041	0.954283364031743	0.869100062655089	0.978044944454063	0.976413861422014	0.765673996921473	0.981005767587943	0.921283327247435	0.956614449175438	0.922575394642982	0.951382684503659	0.935867567463433	0.944290174733075	0.322041213989007	0.811174264640264	0.792423387810111	0.980122190574982	0.159016603469351	0.932047385913342	0.987601776871833	0.575560218148338	0.93895983812904	-0.171040059465891	0.803859969189164	0.923605878438114	0.603373636613898	0.755030527428942	0.622010032967976	0.926428494294245	0.923512702902274	0.377998327131263	0.89191611318102	0.816259931482448	0.875833109103115	0.853594911394412	0.766068532327606	0.137635495578811	0.589096492886509	-0.150928215875172	0.603060688825847	0.972314607748429	0.821594377097975	0.858360577992742	0.672559075411969	-0.308807440494358	-0.0727903254307365	0.894412383385971	0.868650039036255	0.962228314421123	-0.0587042475457511	0.765959624759657	0.413418119861846	-0.674154032075485	0.858510018734527	0.863807522071997	0.952765418482927	0.881179090386818	0.908728314655066	0.689555117189532	-0.309669646271007	0.150722229607125	0.801836259629571	0.850818892018539	-0.454766348978503	0.216299187800304	0.478001707433058	0.247661142977875	0.881180001626415	-0.194840926305988	-0.283871637718074	0.339261924878894	-0.609177372278041	0.929638109446623	0.717207280010873	-0.52564167990313	0.764592207409415	0.339614422961011	0.919705306500519	-0.050344589390288	0.0293513280560428	-0.389574088694226	0.592550797878334	-0.133157056825569	-0.470932141913522	0.520803536007622
CD44	0.973330378063053	0.989793231523859	0.895333100418627	0.986042084434147	0.962035696334651	1	0.927175698991551	0.995052466241421	0.889720092870725	0.972036722981532	0.966718188269896	0.606722739991306	0.970088697597389	0.870675484165259	0.93840290051101	0.832295465549029	0.944345146285128	0.893151465292551	0.897163674866702	0.223796416545131	0.737769916951433	0.700769702293619	0.904016513336433	0.112744417577251	0.861345881301653	0.979937947310473	0.522089464471709	0.877306885983364	-0.12757304875691	0.735863137688884	0.892982548558224	0.478183174784448	0.608781816163562	0.509262856990537	0.86663946059262	0.871632409724301	0.356555144745064	0.769465869729808	0.878464054260022	0.839207757357195	0.713694981794938	0.798899454393896	0.0208874763931641	0.547735619675445	-0.194074734098011	0.61184208316234	0.974040525519504	0.761569459790073	0.886645555673146	0.833675616257665	-0.458088616840709	-0.0433445863890904	0.9786006061247	0.756110757671149	0.927255631227674	-0.115029305289934	0.586575360262987	0.388357973638739	-0.772685936672263	0.775013725020484	0.92031954199676	0.885683749575436	0.940858260575285	0.864832116068201	0.556220426780332	-0.432614610121446	-0.107080178837401	0.781808941665677	0.947645998878032	-0.493834126873854	0.0833949450203187	0.576946160071466	0.206222238580136	0.915175374593843	-0.318891733488651	-0.410851573875654	0.208912419931689	-0.675254756244308	0.957946212373436	0.842275161926611	-0.591093736736468	0.698718580601163	0.190106383800147	0.893256041360562	-0.234697768807423	-0.113441595342658	-0.544915226224874	0.464697919999129	-0.286144835976448	-0.511026385498535	0.41141753823768
CD247	0.975570829386126	0.964694970395591	0.975918618531497	0.905907757728691	0.9667018304041	0.927175698991551	1	0.936289735168138	0.851454687397235	0.927387583289785	0.907861295400468	0.681087944427129	0.980317842853758	0.967488732536596	0.895648512432659	0.887411072552993	0.929218431537679	0.845140207656339	0.849574032231376	0.459878423497409	0.660493658746661	0.650311197599875	0.937055840007271	0.280123022143413	0.866121030054101	0.941781212282042	0.685270956777232	0.844150061024939	-0.0518952002525314	0.708122924685117	0.949547496541366	0.440850991241129	0.666698801028625	0.56124535412119	0.947912807796623	0.85380440029386	0.203897326578887	0.855962374187993	0.812337780538939	0.760839587703059	0.793723328033462	0.784491378071277	0.361955406676431	0.421159013383213	-0.164886656051191	0.395084539360311	0.961952806098934	0.872617139401657	0.787404838814175	0.631582278141652	-0.364094222878074	-0.269545050298035	0.866743428484396	0.756433064316076	0.926731687964898	0.180797560523428	0.781109318414023	0.230526183811817	-0.572084086313855	0.795939765519347	0.806658815554659	0.898566323379003	0.82881699337071	0.814563835443269	0.763847419498082	-0.314399691783632	0.200824694802329	0.663676104269056	0.851367836645351	-0.360117477761781	0.0439899031149987	0.273132450708667	0.0650212205194339	0.793709855697399	-0.201779509904276	-0.212363355539519	0.421913088362934	-0.68444938729886	0.906978582240882	0.732719649312389	-0.485987968107721	0.637587216456688	0.257936845987769	0.957908113216622	-0.134583065225979	0.010592488096964	-0.430357765583868	0.44945051456646	-0.186509698769241	-0.390512070092877	0.412936993638428
CD69	0.968350259840259	0.985311116619377	0.907933380370221	0.98736657669118	0.954283364031743	0.995052466241421	0.936289735168138	1	0.896093735412466	0.96694220790667	0.946754230592484	0.576567492933556	0.970541505862134	0.880312363911068	0.926548629938373	0.83483443532898	0.95568432345777	0.875673136627865	0.868362889195715	0.277864278136031	0.698553623247216	0.658279498592415	0.89331185754432	0.177676018747209	0.836598093993576	0.969807676922095	0.570297759417278	0.848594307291714	-0.0455455687414672	0.726806490040459	0.910304506268169	0.437616846414537	0.579764521286537	0.518735365031153	0.871993017742007	0.860624760568266	0.325240004559998	0.755080253677195	0.887294879863046	0.810207990149285	0.694181414613201	0.808168686491906	0.0797585509316428	0.50288510371447	-0.157759269780491	0.554491796241579	0.974285294660192	0.792892035922935	0.879533740877353	0.842737555563963	-0.449835199745861	-0.0698867445952368	0.981955517178841	0.728435569745625	0.923911118871218	-0.048408497178646	0.577184496468355	0.360572595554169	-0.734711389515577	0.779977337213142	0.906696510964547	0.875603688322798	0.944692920368218	0.85284748121892	0.571201275947777	-0.407461574166196	-0.105617607657071	0.771325652187838	0.950326248295555	-0.4429749236838	0.0434880870817036	0.527537638014619	0.1796286588711	0.9094463999021	-0.302086638900268	-0.36691810365868	0.253594372500421	-0.67230360417909	0.959859406474669	0.859853932175222	-0.549438074301605	0.673493819820006	0.190699868000367	0.914699488167614	-0.246026297393852	-0.0842163898479975	-0.555518292774443	0.430427470745241	-0.278464961560888	-0.459810085715514	0.402270582883668
LAG3	0.895340485297458	0.885484352057342	0.917573146808092	0.932461519593739	0.869100062655089	0.889720092870725	0.851454687397235	0.896093735412466	1	0.936727529156254	0.867952009363796	0.418017908706017	0.912177499921908	0.75281717323554	0.739856345946716	0.751386450504795	0.874931151252776	0.713874636323368	0.721259792728968	0.530900175005905	0.560068626425056	0.580326334411274	0.841752545771844	0.278915138888764	0.663795187203277	0.847917962916464	0.587477844301139	0.703379051772899	0.0950253314336682	0.517252416683395	0.735752834874802	0.319093740389165	0.394409281464115	0.513494173315952	0.686155928435827	0.659133163065167	0.0714048618320676	0.605305131977695	0.97580597284	0.62379481579963	0.558814497594035	0.89434162557126	0.0780470175424644	0.256144623173836	-0.196065132603134	0.486450905146429	0.937143651991576	0.728625585930756	0.625524088010371	0.775177849876924	-0.455169232312801	-0.12020231163952	0.863891043754872	0.646737551709968	0.78953774760268	0.0808523711663037	0.534328481393699	0.160353621564668	-0.575816235265639	0.725870790138102	0.67266610755876	0.70793972757785	0.933476085661251	0.746596927657412	0.674894467013088	-0.430761368107056	-0.128961742180407	0.681146277900888	0.899441877012308	-0.313708561073069	-0.111232346798342	0.400540682240203	0.0243195505945781	0.90564763468963	-0.462276884865829	-0.344799456968974	0.184143728952023	-0.6132227874506	0.759927278433293	0.865121570126392	-0.437963540001834	0.582202160149813	0.0695914792068409	0.810535072413433	-0.318098477003841	0.0157732355596898	-0.636067509361348	0.275048027835902	-0.391679476595859	-0.355985032815592	0.333725291970345
CD8B	0.977567797159187	0.976747779983954	0.932189026437645	0.981782886712635	0.978044944454063	0.972036722981532	0.927387583289785	0.96694220790667	0.936727529156254	1	0.975840484019098	0.664952700849923	0.972457719329035	0.854811353996185	0.920133335880809	0.887681357212883	0.957362025156806	0.904452523832964	0.907936565591001	0.343370393101262	0.779180721794704	0.767903076579525	0.953692571748783	0.171290481209546	0.866322778723282	0.972010393619775	0.556422356248255	0.896785337516702	-0.0919869495370571	0.753798717300305	0.869828339298255	0.559022760659524	0.654550228893509	0.618009747128521	0.845201814135691	0.872096191038867	0.345042581575942	0.802192477010372	0.896571037213684	0.840702482387561	0.767185607330224	0.822946652513692	0.0292987509651976	0.542350490447713	-0.145343031386568	0.641369557624108	0.981043831643708	0.786748441904584	0.8341478018072	0.765740943294159	-0.351803669805062	0.00017004204358961	0.92548148078887	0.831085426993852	0.929848623129434	-0.0998967262092731	0.661083483299683	0.408105120917694	-0.689223809861997	0.845568700630704	0.844927364790436	0.897811403518978	0.949196010503828	0.904568629149754	0.652463490277181	-0.357198133135839	0.00108955335802955	0.834580073507829	0.895329256643043	-0.439947747702666	0.153068542165364	0.543317725609553	0.242581326230185	0.942795246643502	-0.297551405560519	-0.339288361203521	0.260174393182237	-0.593457846987111	0.903516907517346	0.796961983742331	-0.510942721931075	0.753500083778075	0.273489450226039	0.887017394480615	-0.131370902293571	0.0344715754920904	-0.484446647913826	0.534075560143904	-0.210085377767426	-0.456765702799414	0.494689857542643
