""	PTPRZ1	SDC3	NCL	NRCAM	EGFR	THY1	APLP2	NRXN1	ITGB1	ACKR3	LRP1	NOTCH1	ROBO1	ITGAV	NCAM2	NLGN1	RPSA	CD63	PTPRA	SLC16A1	RXRA	NLGN3	CDH2	PDGFRA	FGFR1	LINGO1	LRP6	GPC1	NOTCH2	TNFRSF21	TSPAN12	APLP1	NLGN2	PLXNA3	CD99L2	CHL1	PTPRF	NRXN2	CNTN1	INSR	TYRO3	LIFR	LAMP1	CAV1	MCFD2	EPHB1	DDR1	CADM1	F3	EPHA4	NCSTN	MCAM	BMPR2	DAG1	ANTXR1	SORT1	AMFR	KLRC2	IGF1R	GPR37L1	ACTR2	ABCA1	TSPAN5	TFRC	STX4	CD81	LY96	CANX	CD74	SORL1	C1QBP	TNFRSF1A	TSPAN14	CD46
PTPRZ1	1	0.722422166070547	0.860391441233641	0.808677215257181	0.332157005687712	0.935046410139376	0.750930249492774	0.762143896790088	0.746683939902328	0.741194733722227	0.837151807346316	0.864773306165283	0.77641337134442	0.692873847328308	0.917606129411707	0.906680518620324	0.836474188197715	0.75130044534566	0.763764707264169	0.765085860797345	0.526991636160593	0.931618280544244	0.90714751826552	0.573433511230702	0.742149177377888	0.896348400199372	0.866748696636156	0.723058272244714	0.563031098954015	0.619938335516265	0.8048367705237	0.528291148786819	0.819909185851681	0.749619889187882	0.687310878635308	0.430314384018377	0.611443257193726	0.887508917173284	0.879903374093076	0.653333225351024	0.782696930220416	0.407517420579724	0.703585149743521	0.795730024826983	0.795595467049878	0.83468242542639	0.724900524802571	0.799386194073937	0.382968213801654	0.442877348207057	0.706069290296054	0.82212315876872	0.86679467915276	0.792016410189253	0.776773280679857	0.766668026971958	0.646723219146471	0.731952651472247	0.669781510776174	0.290451579660572	0.654353419247441	0.392336873001088	0.692270566575841	0.315562182018305	0.51433091945206	0.629704503323161	0.311189343435458	0.797515458850309	0.0579685279642833	0.0418877633460534	0.85895939090805	0.593102432907435	0.491004922033354	0.713574373419638
SDC3	0.722422166070547	1	0.755179128291782	0.726844871411634	0.339934051831954	0.616374629648381	0.819787146022094	0.774022558242106	0.82108309841206	0.841541000195104	0.811134388386947	0.800334943523418	0.860765981984847	0.772407209920281	0.779591675236945	0.811875159920414	0.692083890219791	0.84616695487937	0.809949475227951	0.773562013797118	0.733919221660234	0.82412641408245	0.809879359823764	0.00200154422692367	0.816026892493754	0.560357742634919	0.547135603593406	0.787389060170928	0.724116772385017	0.267299860834164	0.766382591177685	0.556562745509848	0.738176932938738	0.613644990867468	0.876860113435984	0.724843778518486	0.825522770159197	0.782518130031939	0.501013906154135	0.716852114170863	0.85740100044935	0.830290126363822	0.82853305468994	0.8300791098307	0.845786832495959	0.47975143385924	0.914136021053395	0.687833872529085	0.770538976562453	0.788633648188715	0.741362085378483	0.637271100078164	0.812805614369278	0.855540293669995	0.784947038292829	0.865831126805655	0.807688347781899	0.442819737338009	0.870587291984574	0.460968741297835	0.791919979656955	0.755488785029926	0.763923217830524	0.575279585068517	0.619370546488095	0.820431270921757	0.544785459941228	0.901059586387619	0.262873413271182	0.351882456280245	0.734501340843493	0.825483724458707	0.668281630557756	0.870528425964935
NCL	0.860391441233641	0.755179128291782	1	0.682770198630085	0.165210959687424	0.881144273883455	0.891535472242187	0.780592646141642	0.919424447311867	0.827448312176225	0.826504745916269	0.901737147131327	0.862745127350508	0.747772237355222	0.846906032103423	0.880894732921569	0.962921429559617	0.915957432993766	0.857816998410454	0.857629065317314	0.631125471872444	0.889292444071189	0.949229616303816	0.206975898695447	0.845094373746078	0.828282099186275	0.743467372630012	0.890745283366973	0.624674743390979	0.446306977483838	0.88157801689871	0.581778305543862	0.857130019484746	0.72705722811821	0.745595795561102	0.512189688919373	0.63675236561298	0.840602985094373	0.612180487750001	0.564129304063365	0.86717835088093	0.399698137034942	0.833853989082813	0.903225820229556	0.872071923667233	0.609308771297136	0.779851811020612	0.675325296611503	0.506462813509879	0.582490755319909	0.757518372423505	0.818696913315797	0.876031868156561	0.8440941299934	0.736644185325893	0.828189204246879	0.810641364899999	0.706115425320013	0.79503591961502	0.0931952267746738	0.821051424610982	0.554346270098269	0.777859070604641	0.561908417310935	0.684731802732249	0.725760758623725	0.573274076279145	0.899607527782526	0.305638571685608	0.261290777016559	0.968546394672226	0.77063594007472	0.658673469546281	0.796744793185222
NRCAM	0.808677215257181	0.726844871411634	0.682770198630085	1	0.451449971192099	0.712741041038617	0.752079902136875	0.716354472901532	0.646666595124992	0.765839208070145	0.863300631250904	0.799500384526936	0.756077609647682	0.852313522536048	0.726556045820168	0.733393174665117	0.626477916497821	0.681466146657097	0.80061689735658	0.77818230377481	0.674612429284402	0.797621231724058	0.730366011333836	0.52727487003037	0.726113615167606	0.680635324577643	0.751214212602136	0.627758897195096	0.825527774521433	0.501176577953826	0.757110646134453	0.492315409616975	0.752933237537114	0.651546948413312	0.775820494627031	0.674942762889743	0.781021935812097	0.662839829023615	0.757380290174659	0.62287209302487	0.749923491797213	0.569719826404526	0.797303226782742	0.635288707305283	0.71555059190611	0.810704088729535	0.775898644171565	0.741823362146302	0.691734074238029	0.685221716463791	0.6488264988604	0.522165072290785	0.731582113752799	0.747426804090222	0.700481470027552	0.753459540107609	0.727282183167175	0.411525664451183	0.679748808265179	0.529953304423559	0.670560296092854	0.621421494388227	0.583049598021172	0.410709694760039	0.549466907005683	0.76666236907908	0.470304855994193	0.777705517369705	0.213545361882111	0.281280679579188	0.628739609604069	0.680261076710003	0.548030276877037	0.746326913677863
EGFR	0.332157005687712	0.339934051831954	0.165210959687424	0.451449971192099	1	0.130077521086944	0.162117306838769	0.584528316694789	0.183227558314341	0.223619520904261	0.282580494376606	0.277013617341637	0.238809555416127	0.23079438132205	0.203327443216053	0.393304135899024	0.0500185893630043	0.0382190416491371	0.354260530423845	0.259996723751414	0.292860554274601	0.237908736526192	0.212205848081398	0.413329664203415	0.133608722314155	0.349590857242113	0.460460961071147	0.0347614748755301	0.290154018061082	0.0702667608879114	0.300469368437554	0.253482493690071	0.29545065994143	0.20177526377642	0.424442149154242	0.444642997240591	0.434658185409207	0.23342412315164	0.430015429282926	0.324814433052055	0.195623209663274	0.349417362135585	0.224875356512574	0.0122545092838691	0.152254715933491	0.413351105580767	0.257032152163336	0.386828551169417	0.256753200165174	0.301763161185681	0.0971376807395894	0.161936414514397	0.391283763780481	0.283659628216661	0.183673232090004	0.208952077963039	0.224591169886995	0.13874985485473	0.23709130375422	0.365133882727707	0.207120093739323	0.168266128669151	0.287890159843807	0.0280766679956793	0.024460114679962	0.225319491535885	-0.0742271515239439	0.214679050873371	-0.0543702126188372	0.0666241385548725	0.0746432706931699	0.0609501919361468	0.156625367395318	0.36792759974346
THY1	0.935046410139376	0.616374629648381	0.881144273883455	0.712741041038617	0.130077521086944	1	0.732367732827347	0.668903751706949	0.715054124718003	0.692423118298735	0.758193130003617	0.832264422097589	0.713676813484474	0.607234741359607	0.889867415019528	0.826119108727543	0.907503736908591	0.7445177309971	0.670003756715847	0.710362515109062	0.420063154099226	0.903223243754741	0.873214975502101	0.497620788424686	0.732391135906957	0.846809653186017	0.812884972235224	0.727971465936713	0.487354176900075	0.697660347087425	0.818376698732223	0.493472306842693	0.799586672522663	0.773940404315137	0.555749933273749	0.302165998910151	0.486977172316688	0.858196788701166	0.778058247220005	0.533541463528767	0.718386455048947	0.268732325814613	0.660760492233576	0.796019140229903	0.740698221728774	0.791427720967776	0.64250893459808	0.763036672294375	0.309258161851029	0.316254335571604	0.708980923230058	0.81421360755301	0.825977014910135	0.733219133738211	0.747587136566713	0.716018455250292	0.587499863979203	0.745464893081686	0.576313499810553	0.140108127199783	0.616887953308842	0.300131333125126	0.633299156349576	0.309691059135375	0.480917176309051	0.546473937901696	0.307632986585067	0.747106434654661	0.0391187183922198	-0.00538044402826602	0.909330908561681	0.550517498491697	0.427915814644515	0.617673138732856
APLP2	0.750930249492774	0.819787146022094	0.891535472242187	0.752079902136875	0.162117306838769	0.732367732827347	1	0.736506724663432	0.942458230909332	0.856398425817678	0.911143004075863	0.854310979897369	0.870300852810584	0.904852416878389	0.796517555829192	0.829551443983895	0.837260085081764	0.9437334211981	0.894859227702397	0.908651265974779	0.8448790505641	0.823391345779691	0.869367187965464	0.0973370172232785	0.803310858622489	0.668477358544865	0.683570648578008	0.952567804423493	0.838668274567175	0.333920623454097	0.884529597724678	0.588599026622687	0.860496272414617	0.705271279644735	0.863849791348052	0.716094929300422	0.809650282962994	0.767260560413102	0.476693069270293	0.602124492037838	0.891030986600106	0.531701377365448	0.95966109601878	0.87328380956091	0.896878233253185	0.555156498223777	0.901827689368159	0.667920253053573	0.72574665179952	0.803064583906803	0.842224384959573	0.61326929042765	0.810689187769529	0.900332334491256	0.683170109557419	0.875884993663147	0.900899581298514	0.513595617974725	0.896536163745692	0.228027870072488	0.89960542131317	0.7725510943372	0.719271651636514	0.698717718987505	0.801858051444851	0.881220258819304	0.733640692520625	0.96716804695601	0.498890963648637	0.493368255956712	0.825822017467664	0.895418147395571	0.736975417229331	0.841985556864877
NRXN1	0.762143896790088	0.774022558242106	0.780592646141642	0.716354472901532	0.584528316694789	0.668903751706949	0.736506724663432	1	0.768531384422567	0.669137392715426	0.718255653806573	0.773851767065461	0.806726988492001	0.624563092390835	0.705812962916352	0.8402574771064	0.668341932731843	0.682948737584646	0.809985060815099	0.766496894571387	0.670824023829508	0.789371111885892	0.815391355367439	0.273920602625829	0.697259959996181	0.806166169986907	0.719705299875226	0.661334260404267	0.608310406744052	0.255259953252782	0.78548027245394	0.586645448881115	0.798654350526794	0.713410428885298	0.806968089208609	0.601699801770189	0.726830743126422	0.778330677794979	0.588209413073885	0.524920012150407	0.685596627421696	0.549263485810107	0.711868969369517	0.664662382661732	0.717527576452374	0.611032113272632	0.775924434545398	0.714766529374704	0.539851968531709	0.651716233407038	0.573671810346019	0.558517014654073	0.845126153234496	0.815107080896887	0.582397309021979	0.696588944435591	0.654929152146863	0.639562772956423	0.748506773548558	0.288857214665356	0.688488166518877	0.52188447729291	0.737939759756613	0.406205137053398	0.44671991281672	0.615285461159257	0.344565714978854	0.76685407655337	0.145976078530742	0.19607910871546	0.739498251004552	0.593323187675612	0.524498240081797	0.742024052764597
ITGB1	0.746683939902328	0.82108309841206	0.919424447311867	0.646666595124992	0.183227558314341	0.715054124718003	0.942458230909332	0.768531384422567	1	0.793275171801548	0.851056145291476	0.852504642316791	0.871625726922885	0.803139518710526	0.780807187446855	0.855660249254153	0.858204917029329	0.95145519508659	0.867613760296099	0.860505190369656	0.771223496031917	0.829490812046425	0.906111488502539	0.040249350498704	0.803168249097751	0.704067405386339	0.628265488457709	0.930170257644982	0.717085246999645	0.266148502420042	0.847303792348902	0.617936210212958	0.805611028086102	0.669988790190565	0.826756586628784	0.660672676624822	0.770575389666332	0.795580444656152	0.474159281111071	0.613692843671427	0.876971989407269	0.49996142400031	0.898454391765907	0.891379533124623	0.89690120972122	0.488621941417985	0.859123628147179	0.641298516060242	0.633829997830025	0.744902273427431	0.769651091499271	0.685405662003269	0.848999597176078	0.910143166675613	0.662244768999326	0.855932078431561	0.874554382378111	0.562130556163467	0.889858013859705	0.128803998866818	0.914140497404895	0.741105214058233	0.784178902048042	0.719784376259566	0.802420859792673	0.824424373864087	0.708323563438197	0.942388917331675	0.493950397863826	0.472016170572986	0.868811627257139	0.870058223565603	0.789371583333146	0.862667142485173
ACKR3	0.741194733722227	0.841541000195104	0.827448312176225	0.765839208070145	0.223619520904261	0.692423118298735	0.856398425817678	0.669137392715426	0.793275171801548	1	0.809484097266349	0.825795597868668	0.871033522707052	0.862576705701834	0.792573506231338	0.787860224300228	0.772773784372256	0.875564960749132	0.84421924676929	0.807494312117053	0.705570391585658	0.772914551706613	0.816552751765861	0.0967471551343446	0.840043319460828	0.613343269782312	0.599678485175158	0.801557675468941	0.746423563021877	0.294269288454822	0.795900970689497	0.488263035693273	0.769375329577565	0.561765639692531	0.828441852068006	0.727058092110909	0.749930487722992	0.720933101629544	0.558012486544065	0.634894752751857	0.891374734320997	0.677279353045818	0.870102609860606	0.856411189230358	0.848778705953316	0.520526323459484	0.859530206852673	0.586300964253081	0.774110549663945	0.760237224784587	0.745831476736474	0.67415653121457	0.75499391029501	0.7895837247148	0.770631961590167	0.846834577170781	0.891092672678307	0.483287749519352	0.8511468607434	0.370901604384048	0.761236012070799	0.687361054665252	0.700607423119606	0.502414315341392	0.6063252006741	0.818341102162062	0.589992634630589	0.895748378735908	0.279918266506743	0.314882867403172	0.766391453214176	0.836517278415741	0.60231626524381	0.814501465497308
