""	CD2	CD3D	CXCR3	DPP4	CD3G	CXCR4	KLRB1	KLRK1	CD8A	CD247	CD8B	KLRC1	KLRD1	CD69	CD44	CD53	ADGRE5	PTGER4	ITGB2	KLRF1	S1PR4	S1PR1	PTPRC	SMAP1	ITGB1	TNFRSF1A	VSIR	ITGA4	CD226	PTPRA	TRADD	CCR6	TNFRSF25	TNFRSF1B	GPR171	TNFRSF14	CXCR6	SLC16A7	CD9	SORL1	LPP	CD47	SIGIRR	CANX	HAVCR2	C1QBP	CAV1	HLA.DPB1	MCFD2	CD74	APLP2	CD81	CD63	RHBDF2	NCL	TREM2	CD68	RAMP1	PTPRZ1
CD2	1	0.949518042789725	0.831447206537627	0.82860898427141	0.94998770359104	0.950736223548961	0.894398428965882	0.423966053737047	0.700600216204721	0.866867837033177	0.720718601246256	0.326888995411932	0.587603075558865	0.898726727710847	0.970004307665861	0.889815401223717	0.848772771361212	0.877758291640147	0.635099595151706	0.279056354184452	0.916586293486091	0.866394681220211	0.962688812612762	-0.458091227706157	-0.373360253965769	-0.626832851773538	0.670341460788004	0.882466482546552	0.886559242194057	-0.34129323811809	0.822774847185213	0.91794160442941	0.795392314409668	0.437540647402748	0.916476136948573	0.895797801759577	0.712001534783226	0.679920619920199	-0.70284594307569	0.209727447354135	-0.558890992639333	-0.510380977978243	0.915570526548337	-0.703253240296549	-0.0572656981847434	-0.272381102301874	-0.667006858014099	0.460971121103022	-0.607753776722886	0.366342789821387	-0.782865244352687	-0.696500859168237	-0.621502862574142	0.457995765778597	-0.411678736870606	-0.0068386914220874	-0.0777734657767186	-0.662172562246272	-0.704763077738756
CD3D	0.949518042789725	1	0.824874979064622	0.807261091266398	0.920070968988499	0.937663231479584	0.887141705742402	0.184493176075759	0.621102582061892	0.710108749082106	0.632960620201548	0.105399437261973	0.361545345807063	0.971031569991686	0.948793475799834	0.83602620680279	0.911262086944624	0.949723360989189	0.521523730580772	0.0209732781108678	0.941818349835246	0.919416477762539	0.918506071801808	-0.553585490875247	-0.522362994686789	-0.762486867538182	0.529984435299191	0.895869466371589	0.88727996782161	-0.434812547810089	0.880454436288127	0.921106411628589	0.86742282070214	0.484188613265187	0.929283434997785	0.906342268102615	0.647939571777983	0.676418475844523	-0.765275452582655	0.0350480278047244	-0.684432090629375	-0.600572448740367	0.803104000218174	-0.764676712080254	-0.253146167340998	-0.39885519529291	-0.725336501445673	0.298019456485557	-0.676894886814651	0.223820914335801	-0.873447847019615	-0.815590275052865	-0.735652427654459	0.408609510215841	-0.529332525073153	-0.155712100976822	-0.217498939116616	-0.726289463776997	-0.760089395004367
CXCR3	0.831447206537627	0.824874979064622	1	0.598869265333472	0.875545661856189	0.747751363248349	0.675814176167891	0.366649142038401	0.762556891462333	0.747768009228008	0.793210727816161	0.129024215584146	0.500750089749069	0.715024817529537	0.829493697391185	0.598116481645128	0.66627970688576	0.762610743614259	0.325759993091407	0.147432542788141	0.898027220113764	0.606259915262705	0.804925423371513	-0.388985422286417	-0.36935643121186	-0.532042095647732	0.437663590838195	0.662437263289303	0.719307772765676	-0.316800119564108	0.70081237180902	0.732195618151874	0.631663420646292	0.486661654713615	0.657900812600658	0.693319500252797	0.758081817378307	0.634324673636341	-0.592693177957466	0.155191818278907	-0.519213019923012	-0.480048217895225	0.686873764124607	-0.622994515375713	-0.138502071616734	-0.313672298607931	-0.574473432524505	0.242906372058037	-0.627955573056129	0.126581557382252	-0.700768466823062	-0.646095314841557	-0.606288269214314	0.210806001588941	-0.391444612179134	-0.122243719107717	-0.176668039388257	-0.589257022651136	-0.596770788483503
DPP4	0.82860898427141	0.807261091266398	0.598869265333472	1	0.833933413618411	0.738121939991358	0.957999011502644	0.0794200009537227	0.244427179030783	0.701229062941491	0.353010077237414	0.180490194210111	0.296255509702228	0.830486483837166	0.846215540217339	0.769118210733929	0.670019423468895	0.722317482842464	0.555330795194258	0.213158720730463	0.780141058700283	0.788617726068469	0.82557794805407	-0.373099849345936	-0.24194069919715	-0.578092062157643	0.573384039110115	0.671311251764197	0.911446227277841	-0.29209284271815	0.883869377765444	0.793281628298629	0.749690133297581	0.433935699828786	0.80729016719297	0.776588395035956	0.55084271651065	0.700424366125098	-0.59853671020991	0.00786315719748209	-0.503622947061285	-0.361554218945045	0.802860281145843	-0.577481097922176	-0.120585268420703	-0.17380806724299	-0.585551432236771	0.306694854728989	-0.536775904500509	0.300657663913071	-0.658776729713277	-0.554865987498023	-0.492906389662228	0.510951764809089	-0.348515793987417	0.00450215595041814	-0.0804974513871144	-0.541685900444883	-0.575500482522501
CD3G	0.94998770359104	0.920070968988499	0.875545661856189	0.833933413618411	1	0.902572099471099	0.905907103618924	0.376386467411577	0.690163435252243	0.891919487487747	0.743446179716012	0.209387553672648	0.578947444451633	0.845857399604593	0.960097555032301	0.777212231131459	0.730280792740893	0.796469114440051	0.500580572914406	0.184251132146483	0.915131842579088	0.77285762819374	0.929421478911665	-0.406126338275951	-0.320089703247346	-0.587427032707651	0.588760143802284	0.744402538724429	0.904676340665802	-0.240339688530299	0.820021459035616	0.881102316137517	0.737967813346654	0.448458477934809	0.834268612230795	0.878195251944842	0.749839718025016	0.750775940863793	-0.654583621815704	0.235153981116369	-0.463722095928111	-0.463367748550211	0.879411214559561	-0.641803727984603	-0.124400225443671	-0.272612721124062	-0.634798225160072	0.398857631364375	-0.629254787250412	0.260676820841037	-0.728436745387238	-0.671298877626207	-0.611375457217684	0.368938130744741	-0.381933126361534	-0.0632900684229252	-0.123037367994569	-0.612741821816186	-0.632812870732977
CXCR4	0.950736223548961	0.937663231479584	0.747751363248349	0.738121939991358	0.902572099471099	1	0.850969722201798	0.393895926226849	0.720763435659675	0.813593383609037	0.720217610692396	0.227925725604733	0.564789715510771	0.896649730732888	0.951972577522115	0.907973283197881	0.844194604055957	0.859234807602671	0.67096480830917	0.165226401855539	0.86553122194514	0.863397125890819	0.944403994149561	-0.462517619436172	-0.391673346202397	-0.605864873635894	0.693282272280701	0.877615518772197	0.866414664976689	-0.293447002977413	0.780665181293137	0.910553218577929	0.798853258482305	0.464512006112405	0.94053362694973	0.937519496009464	0.688616549947372	0.67739804409439	-0.680621287186645	0.319171661824043	-0.520901717979444	-0.533613825514834	0.897307584515052	-0.664072437083135	-0.0297171952858727	-0.306748508581381	-0.663360510357377	0.560506628730299	-0.536351707113325	0.43469973921333	-0.745526488221647	-0.691326767862128	-0.611737243683803	0.487114408372137	-0.431406464818338	0.0381647069782922	0.0018893414810377	-0.667806651758067	-0.713858762073523
KLRB1	0.894398428965882	0.887141705742402	0.675814176167891	0.957999011502644	0.905907103618924	0.850969722201798	1	0.141540063928682	0.376272561199571	0.772477678851879	0.446393377688065	0.173283466270642	0.366095659074964	0.904075658273512	0.919453856125848	0.811367483801986	0.736084523825612	0.788394912133122	0.549887126381726	0.14141578394634	0.8323528976519	0.838462222915452	0.880477755925563	-0.396271115894434	-0.305695714644167	-0.621224052059539	0.599132413413177	0.723446451202447	0.972154631157255	-0.24053624398689	0.920684111296838	0.88150021584472	0.827613036070212	0.400115185743381	0.901708538017435	0.885714711540981	0.573620608352427	0.772989946241981	-0.627456316653818	0.0866297314997893	-0.488718520535684	-0.404692553022131	0.865707203155668	-0.604253592992953	-0.19483024121088	-0.219952969481367	-0.617443969043437	0.36778444006658	-0.557887636916101	0.294583864602809	-0.71680097291948	-0.640692730624506	-0.572367176668809	0.473009844080812	-0.382241669552677	-0.061797210642995	-0.136779979892782	-0.579627280239048	-0.617864264465673
KLRK1	0.423966053737047	0.184493176075759	0.366649142038401	0.0794200009537227	0.376386467411577	0.393895926226849	0.141540063928682	1	0.735984502750243	0.693062710345197	0.711934738673357	0.658939545158481	0.913797466211044	0.0364659713323552	0.350558190777685	0.323264251622585	0.138119913027562	0.0832264891350211	0.366123556355419	0.682519336715255	0.23714043799908	0.0702818379371489	0.393356580406274	0.217730332095183	0.307970762521143	0.251060204841317	0.430666561974443	0.257320578928387	0.130275971293421	0.251683720155239	-0.0276196486817548	0.224306410753983	-0.0168292500603494	0.00382294790375054	0.184288404954038	0.269863565493033	0.476404655869559	0.216524348298966	0.0113067598437006	0.63044067112595	0.233519622930889	0.127993911889005	0.516983183925189	-0.0147246520634807	0.472312002382016	0.307394317554617	0.0411941791344164	0.561794034327095	0.0931680258350269	0.36911200662106	0.0160071427617281	0.114623418339636	0.123005761483412	0.0922991998422898	0.26832083371577	0.269028550061437	0.262701225381237	0.0628089562090267	0.0303428677328149
CD8A	0.700600216204721	0.621102582061892	0.762556891462333	0.244427179030783	0.690163435252243	0.720763435659675	0.376272561199571	0.735984502750243	1	0.736575098548564	0.955348113324107	0.294760726369081	0.777654944338316	0.451986221378771	0.661533334067866	0.53195628901512	0.509169583765798	0.536858543368837	0.383317738697282	0.263608902271964	0.653061944387768	0.414627353357459	0.683660405837772	-0.264716013306078	-0.233855463702281	-0.267008127381191	0.439590542334726	0.598098834901519	0.413421728775107	-0.14508478707352	0.28709584899889	0.557183267767791	0.327570494969714	0.310128221953897	0.500825743615237	0.575676596876203	0.728044094984703	0.398114380217764	-0.428993535044692	0.475105696973252	-0.248337932666665	-0.384494264561564	0.62312923535395	-0.467248979212174	0.134730432528963	-0.21041712574273	-0.402401440870654	0.453119959411928	-0.400271707573722	0.249151498469873	-0.476374599676102	-0.454113194166667	-0.407483839206104	0.119944790179339	-0.22363374847031	0.0326209905310214	0.0273969653451028	-0.423334212283446	-0.439774030796823
CD247	0.866867837033177	0.710108749082106	0.747768009228008	0.701229062941491	0.891919487487747	0.813593383609037	0.772477678851879	0.693062710345197	0.736575098548564	1	0.78269303163947	0.50189829229657	0.84101106939167	0.615108004526173	0.851724684375167	0.725092375769481	0.528187644421965	0.561964233279922	0.563513135893876	0.496471255795938	0.725331503956059	0.572274978187108	0.842873459352385	-0.141078887684344	0.0074545524954191	-0.249906393569357	0.688990905589935	0.593416538471967	0.768619410441488	0.0235918540737388	0.60534855711334	0.756916569772092	0.53273092180289	0.297807097330737	0.702969702008932	0.769969618532363	0.719585771930968	0.704379488458869	-0.41343551873549	0.510702579726452	-0.145584238707473	-0.199464548424729	0.915961747828595	-0.412366838587787	0.173140243930249	0.0187243695156492	-0.401110665625717	0.611937110756991	-0.36071639820536	0.426184449562562	-0.45453061800359	-0.363860360627715	-0.308596654789193	0.360237700765611	-0.0901762946162054	0.142656140538096	0.0929902342201187	-0.363243045822342	-0.400746046775412
