""	TREM2	C3AR1	PLXDC2	ITGAX	CD33	HAVCR2	HLA.DPB1	CD81	ITGB2	CD4	ITGAM	CD68	SORL1	LAIR1	TMIGD3	ITGB1	PTPRC	TLR1	GPNMB	LRP1	AXL	CD163	TLR6	MRC2	TLR2	TLR4	P2RY12	FPR1	C5AR1	LILRB1	RHBDF2	CCR1	LILRA4	SCARB1	IL6R	CD40	CD46	ADORA3	PTGER4	TNFRSF1B	ADRB2	TNFRSF1A	LILRB2	MERTK	CD74	SORT1	ENG	CD9	SLC1A5	CD180	NRP1	PLAUR	C1QBP	ABCA1	TSPAN14	KCNQ3	UNC5B	ADCY7	CD69	RIPK1	PECAM1	IL18BP	PLSCR1	SIGIRR	ITGAL	SELL	CXCR4	LPP	CD47	CD226	RYR1	CD300LF	KCNQ1	CD44	ITGB5	PILRA	ST14	PLXNB2	SIGLEC1	SIRPA	TNFRSF11B	PLD2	TLR7	ITGA6	PDE1B	FPR3	STAB1	TNFRSF10B	TREM1	INSR	TFRC	P2RY6	VSIR	ITGA4	ALOX5	SMAD3	KCNN4	ITGAV	IGF2R	ITGA5	CADM1	TRPM2	TSPAN15	NOTCH1	ADGRE2	NOTCH2	RXRA	CANX	ATP5F1B	PROCR	GPR84	OPRL1	PLXND1	LILRA1	PLD1	ASGR1	PDCD2	SEMA4C	SPN	NCSTN	RYK	CD82	TNFRSF12A	TSPAN17	STX3	JMJD6	MCFD2	STX4	RACK1	FAS	APLP2	TNFRSF14	SMAP1	CD63	ADGRE5	TRADD	PLXNA3	AMFR	LAMP1	PTPRA	EPHB6	PLXNA1	LRP10	SDC3	CD99L2	IL2RG	SLC16A1	CCRL2	RPSA	EPHB2	PILRB	EGFR	SIGLEC10	ERAP1	CLEC2D	NCL	PTPRZ1
TREM2	1	0.97187230709656	0.898157988958548	0.949174523664886	0.916186109897944	0.986070684311876	0.760652775553026	0.994309365535823	0.958547348911096	0.937175298823629	0.926956944751336	0.984102860171088	0.946898689169942	0.951475071170033	0.975561221070101	0.972818827985204	0.896281553417635	0.828137303888138	0.942563369059709	0.922316014005717	0.941493331340278	0.731270588719709	0.826632599891246	0.727068373625339	0.886697295404973	0.921161925392404	0.845277422965775	0.919518091594729	0.807985116222362	0.880040994364384	0.876045873310589	0.955348418355774	0.981818705577234	0.912038774079804	0.892239701227339	0.914642274493166	0.925267758348662	0.94670712099726	0.73851718307673	0.872620686620175	0.888023561905624	0.897788844114458	0.786905816515503	0.893020351657759	0.879309325347622	0.944746771338658	0.961950090475948	0.973423340175755	0.939974034308834	0.954981912602044	0.865695235768394	0.97041283287695	0.957262634371494	0.897007809042105	0.891104641706676	0.874463326213553	0.918479090818039	0.904046241474406	0.724272531471803	0.897184664517976	0.870802469510921	0.942009347042205	0.922277004207613	0.929339938720775	0.87455908537607	0.844861435099379	0.569885517753604	0.922479120543958	0.956880206454218	0.800061269356981	0.721625772214321	0.931492553749836	0.94214454843552	0.71668614680058	0.899962993472481	0.988677586450556	0.906851396026016	0.87027031482963	0.919220678269742	0.972284429344466	0.813125282364805	0.852428947799091	0.876194914972143	0.914216316672434	0.799818190773877	0.963081850889914	0.865364180686344	0.865843491163603	0.792777118373757	0.527588201510826	0.768543740145692	0.856717476904173	0.840542622767454	0.141058981588887	0.935683362186933	0.915659202318403	0.942016649821421	0.937500620581219	0.95185549571052	0.867798503552184	0.873462854886142	0.845762335897734	0.83414167136152	0.823473655236096	0.659930062780756	0.85804104230076	0.915127031428451	0.935589374686404	0.966484157932688	0.955391048126133	0.922909960271154	0.860469071118886	0.925120795032061	0.669559400999001	0.930505653217742	0.479649059413076	0.904753910704529	0.728137995716164	0.916222480005237	0.938724627104732	0.849882196871637	0.892671898462887	0.948522848954854	0.843762288533614	0.881672359189648	0.848060573089831	0.952069685106908	0.92089935023532	0.941328952147681	0.901915290074137	0.944815858948227	0.927243812465766	0.946153727363673	0.978571952723901	0.93023730202118	0.940140023426407	0.856322322463407	0.776061976052894	0.992499448789679	0.917890364079494	0.893383529760781	0.859747664155355	0.939639692282156	0.556988540327744	0.792658379362991	0.830185903455091	0.89472913496949	0.960859444116275	0.939143432387928	0.87751057878718	0.587579238923853	0.344673131424407	0.913370483898345	0.721343983321356	0.737942898219622	0.874068459515452	0.192762911143061
C3AR1	0.97187230709656	1	0.899591362410609	0.945666179344118	0.934684337706695	0.974903884828338	0.777336835042214	0.969998328981165	0.938620422109022	0.924040356953049	0.928539339256401	0.947445369126327	0.932105736339743	0.940999400883408	0.946045768712371	0.953832954569186	0.909782336436161	0.861179635808148	0.888774627989426	0.918727109081586	0.942549283532416	0.717015445992375	0.833431574449043	0.775871650197175	0.889854033359506	0.931650613584661	0.884078817707112	0.924050897307273	0.822601840041477	0.886593109391639	0.886047945178096	0.953016776908161	0.936722098290848	0.896978153351184	0.879325135697957	0.911936489679254	0.915547682850108	0.945196748804927	0.778779004872954	0.888732485614394	0.910192866623596	0.909649999727247	0.786693547213933	0.922836914562405	0.874884591345055	0.93273827001854	0.950524313189118	0.946521133390212	0.952013480148653	0.921210153874121	0.876205697025451	0.936323226327269	0.93592379833678	0.920555948239951	0.903860229990392	0.864696288668561	0.904576204451245	0.89383299650242	0.76738157293916	0.901384711027752	0.867206994848272	0.941811629337883	0.939761400847498	0.91539996601816	0.872407980508353	0.883331157551014	0.62374339068728	0.89832262823629	0.932072316625173	0.82192435367892	0.769560620667916	0.900124627900578	0.94535980056135	0.709033157829006	0.901211330311444	0.96935219655328	0.893572445549407	0.893521887483526	0.888571235018026	0.957785998799281	0.861938324199927	0.892589267369303	0.908019541980886	0.908483361179451	0.827158734395571	0.933900021937038	0.878820265122523	0.874915229529689	0.820108088018841	0.556256602531812	0.782656405719669	0.884756570614339	0.856481514583055	0.144310305984017	0.928883631184321	0.886000055020674	0.928787850426406	0.93070049752484	0.912598861529843	0.885167954679318	0.860058666992783	0.868781512315221	0.860739256867729	0.811603889856477	0.730931399217283	0.849019656599652	0.90506695600949	0.928778751915675	0.946065233042796	0.919431346689302	0.920244884365089	0.860646693432812	0.893895609180211	0.690728859965632	0.909261688008783	0.486734735184848	0.92206734858558	0.7482038158622	0.897719508732627	0.918211944852874	0.845808786490274	0.870845841589788	0.910636399843167	0.862068050828057	0.8865995703309	0.841620464191086	0.949811508419038	0.93879543902628	0.940618749307416	0.914393462806396	0.936805215313696	0.898947210635668	0.92456782592772	0.935460219729804	0.923075236162111	0.931383049823543	0.841358325624661	0.80750814094055	0.962104618386462	0.905923778960645	0.898614576477966	0.853500784968118	0.924694741656754	0.534269511989533	0.804303521922504	0.793224147219296	0.892608654832443	0.940422948987104	0.933583844790257	0.874100860463715	0.607945440907615	0.341962065703782	0.910178876205325	0.773897529296079	0.741007666803911	0.892576231919391	0.184910873190663
PLXDC2	0.898157988958548	0.899591362410609	1	0.933093292504581	0.925692002944411	0.920523441363308	0.884003869060961	0.917380779569941	0.966935703697718	0.955060059853614	0.963330490332105	0.880770512386568	0.972508151627266	0.968846990330293	0.835084760124437	0.967211022450805	0.986777308718351	0.951655138410067	0.813066747673113	0.969261431823645	0.969158953010878	0.875491278087245	0.964971402018937	0.909647367588007	0.980507814733017	0.958541215818591	0.82343608955328	0.959711939691592	0.92039038924508	0.984762966353344	0.964424717020228	0.934159554624894	0.838947376564445	0.946952239367848	0.97597877084983	0.88987311890206	0.969762195360229	0.950314254392153	0.904349570447152	0.978044795353418	0.935912016037519	0.964923311422227	0.884204477567562	0.945412200254571	0.958054226937539	0.962742707125309	0.935361717000225	0.883501388823221	0.955659644830568	0.855473232047131	0.915981076462939	0.870668144323522	0.946989055745456	0.96071016971337	0.966233905599781	0.981096814422578	0.96469628049057	0.965539945145025	0.796882875268362	0.94120758706971	0.962967965035619	0.915507275166453	0.965879668456346	0.922493709373202	0.960292699225592	0.903403293743191	0.755312922151069	0.955504426396621	0.932731552068862	0.883248507917609	0.876432868602045	0.877444138374677	0.949449024649876	0.857679643773478	0.952357573287623	0.895410268634312	0.937074747879305	0.948983997730582	0.953537812755933	0.956336592210159	0.751977648420553	0.889080448372547	0.950773800936214	0.947415501858048	0.896873459696206	0.838804132210263	0.901855549704942	0.906258260256672	0.802497066806552	0.75257668454114	0.891873461082006	0.827173952095207	0.901003581804707	0.441604411626171	0.975838298963384	0.892598001071838	0.874260180528188	0.96398376193635	0.902802673843823	0.966196539792132	0.942368755058109	0.917686147563679	0.733493355501397	0.931527569165307	0.868104206924443	0.960695791370468	0.969381544466749	0.968627330894154	0.928911802157717	0.873966423076134	0.91711089122229	0.878530822312711	0.938683600848235	0.755267954025207	0.901279331270868	0.628950198253176	0.952439511089566	0.90587485991163	0.960151498912384	0.944002700543638	0.956382857582663	0.912110618702262	0.896824888674459	0.871324970753102	0.941601257841551	0.906600427030666	0.949923436995564	0.946904640468938	0.944949069637004	0.898204266761662	0.976742407105036	0.948502213384007	0.964526609948753	0.850095913366138	0.950147996000082	0.915402193976717	0.851459450747026	0.851455413895248	0.912861332042826	0.956624418480149	0.904809503225747	0.911785497115676	0.957995701553487	0.633650634261197	0.81459420075361	0.86227340384912	0.903930820079013	0.88647035046823	0.952653486621545	0.94387853273273	0.761805130562994	0.474252024368015	0.971014628579602	0.866044989174214	0.893364296773966	0.976359341073655	0.318231767749304
ITGAX	0.949174523664886	0.945666179344118	0.933093292504581	1	0.875842742285723	0.970148590263332	0.719920042284065	0.937535196563769	0.926092794428861	0.951492465812066	0.951810691154149	0.905598641735469	0.958886480914897	0.929747612796949	0.941576946305348	0.963058659392456	0.930720340132135	0.862726655013646	0.875158737586509	0.943704308087739	0.911371190048642	0.702600640072597	0.859280071231214	0.826157484448665	0.916132156535094	0.934495037677573	0.903525785597461	0.958503603882102	0.914016634360372	0.923868756425186	0.933133839375615	0.943023798139304	0.912462872339441	0.907420285414375	0.917236542571154	0.882046253628311	0.926427439381322	0.945883325816104	0.815895913647228	0.920953967115467	0.926726657030075	0.91759675671862	0.817132237384494	0.94105357300174	0.853535260900764	0.960800003190433	0.955844253105231	0.91062931905568	0.93791638355185	0.89139696247371	0.946655176851761	0.912882952061222	0.911234796422813	0.945437976199106	0.942194512292224	0.908792265945895	0.944109243850307	0.920100417654618	0.850402971441767	0.946388873031971	0.857038349016763	0.951403832591481	0.911435655538475	0.881501950696314	0.927384708271214	0.871469742098466	0.681227322493016	0.952034405305917	0.918749302802488	0.900269944929923	0.787472991873844	0.874922403236384	0.952420420399218	0.6836186210565	0.910923514765266	0.942043961301726	0.874158795644707	0.91132960662376	0.899987295175991	0.957971118525587	0.832808562785705	0.873023409122881	0.866427940880967	0.890727401902859	0.859160050439797	0.902470874758199	0.868175840474924	0.911716890366029	0.884883179140291	0.567012412905235	0.872590215270876	0.833878069663308	0.809468214889453	0.127746045179614	0.933271366810993	0.885539983011941	0.925048737630186	0.967113527498107	0.912657095348088	0.910599395849305	0.835372508447947	0.848784455270019	0.839248749738249	0.876233035787401	0.726226154215908	0.886178603106737	0.924052089991708	0.947777625899139	0.902634168486933	0.923801688374089	0.924285618961346	0.847728487777449	0.912883744922281	0.652439175551985	0.936152660443577	0.390283599139852	0.884711454580964	0.794049380971354	0.911805552409123	0.918637148310882	0.879656505096078	0.875250603854702	0.928804804899589	0.837115039058334	0.92003184424799	0.920675009759247	0.937542842788147	0.965703396889098	0.897678379715205	0.940620648908488	0.964373434705802	0.891758655405781	0.918329755108827	0.903704752803079	0.964660142934535	0.902750571262824	0.916190201952499	0.748881005825941	0.956833465094521	0.938625731841124	0.893993773531601	0.900143397288742	0.925595562342605	0.620580076442292	0.866027537830003	0.827277957946531	0.878525366005094	0.957501178129269	0.897557170880457	0.884335879174034	0.70410490625247	0.439152510021822	0.906668526673672	0.758545499770535	0.797900619157377	0.935135796470943	0.291566961649358
CD33	0.916186109897944	0.934684337706695	0.925692002944411	0.875842742285723	1	0.919664216307933	0.894549039407935	0.941758358971752	0.949378105520795	0.906602410804913	0.927734443225041	0.911839867844943	0.930617354631211	0.952022907761105	0.845018078718131	0.931713428981882	0.941218857247656	0.898725389564876	0.815755042124034	0.918792131695034	0.966483123791225	0.818091519948258	0.888728098902241	0.820831613013184	0.929922003600475	0.944206465194974	0.814000917745894	0.909692609365278	0.800071777871221	0.918862468660958	0.899606326572607	0.943939966426167	0.863618748558419	0.907655037345717	0.904939982845026	0.92504210905927	0.931895730476254	0.937711119332328	0.834613664379468	0.918491922984589	0.911265335789316	0.94998326349452	0.812499444606619	0.901512145282949	0.942935835407661	0.906323515866115	0.924523001336641	0.898622057446096	0.949563526436129	0.884718720645233	0.83151809133438	0.885601283121661	0.950718871702622	0.911932981204919	0.907739145457796	0.894716184686109	0.912260429729609	0.926434925087913	0.719589113112059	0.87715344066318	0.934472462121087	0.900680114171219	0.969506330948404	0.945055404880841	0.888962488018178	0.917676573767566	0.669969720415571	0.877971605322319	0.934765415058602	0.802102433399283	0.834653291730717	0.897611974585576	0.917303110015433	0.839101450876952	0.920216966435026	0.922393102990789	0.92162166260712	0.908338905606471	0.916353217672525	0.933199390845489	0.800006518444383	0.898049664496148	0.960830058422072	0.924243644057879	0.847300828790354	0.867890765046095	0.887986390488512	0.860380944586032	0.750745345445263	0.694628830231877	0.781991436781519	0.891069175953625	0.932978665430957	0.38599670355928	0.9490170374728	0.891387951298722	0.864155418263309	0.901328646790029	0.87459224119754	0.917856922573234	0.922810624768733	0.899339996631755	0.796421804242484	0.845358343257144	0.80137045682592	0.892245528248969	0.928772091657975	0.926163595789777	0.954556087381156	0.842140340129497	0.902693277725676	0.900623299315258	0.879589998020794	0.760645976013087	0.854908736102461	0.660094346269442	0.960513269162436	0.828011235687061	0.922550367708303	0.928031251251139	0.892997971106188	0.902770014603535	0.878560201814893	0.89287682975079	0.888471626168489	0.816864043388506	0.937331505090382	0.908810982941953	0.97198329279307	0.838063509346802	0.925162714928076	0.920421784350213	0.952280552055725	0.869699010963009	0.891766651688956	0.937113571503906	0.781690627228975	0.885778910234662	0.911541153097706	0.9197441702699	0.881003485066483	0.846467256902043	0.934678346379714	0.550424025460182	0.758904282775063	0.802282482484483	0.919485807327549	0.870488818733986	0.969452646306253	0.916473471755697	0.644840225733685	0.385180891613204	0.952777491991423	0.842128107229315	0.806987127986288	0.909652829104336	0.226261352831946
HAVCR2	0.986070684311876	0.974903884828338	0.920523441363308	0.970148590263332	0.919664216307933	1	0.759239678200298	0.980282815767819	0.955670196357475	0.942519444672523	0.944305168175566	0.962175527757511	0.961185702716543	0.951596011280457	0.964655196405667	0.975409848732142	0.924745123831777	0.857469486069146	0.921576701889868	0.929832709184567	0.94093293409019	0.730989609660639	0.857756242728262	0.764727347509898	0.914475892031914	0.943041637090045	0.880334995407546	0.938569776733335	0.84301144357862	0.902843623639114	0.905180289695922	0.970086300184517	0.957501081833963	0.916308103505367	0.908280114434617	0.914241357713519	0.931573847645155	0.952241499580035	0.775474549033108	0.902929721013626	0.916408696858227	0.921338810408265	0.779293388067867	0.917271153854256	0.876687108073988	0.953328045816025	0.967483982558063	0.95692076331419	0.953741862925295	0.933244710071672	0.897243074156234	0.95589007437802	0.944799613240382	0.922808612426499	0.915066316061467	0.892156781847593	0.933721824412984	0.920136754613467	0.771838570827867	0.920307549307787	0.875553728083583	0.949522869713459	0.933990413634437	0.917367707004765	0.900921103945421	0.866051987108484	0.614034724765413	0.930536682618097	0.945221003328528	0.837144542391341	0.748002309874961	0.924168283489291	0.952936044550031	0.710778322657334	0.916758923269622	0.981568524491331	0.91074176725551	0.897650255354707	0.91661035238156	0.973500304845902	0.831550622837451	0.868677004942516	0.888734337739015	0.918754916674983	0.824804433453864	0.943518668289043	0.873175466034864	0.874466358819173	0.83474366828108	0.546270939774998	0.800747470717106	0.874855664373526	0.841925265650289	0.150301165163323	0.944185349577534	0.907193612974696	0.942274858729275	0.94894331439148	0.948432221370856	0.891964740076565	0.869192776070799	0.854858490208799	0.852058172617148	0.840663485894074	0.698837300180998	0.874534946459509	0.918797443144573	0.942772515395323	0.954369724364885	0.944251894874093	0.930272157267789	0.877905575340978	0.917061617264698	0.663090745420667	0.943629187987187	0.465279850242458	0.905866465039419	0.760689913331644	0.91929364374816	0.94096700736395	0.86700895122642	0.876065221230252	0.947141182627637	0.864644514111264	0.913736526891656	0.88006106109393	0.950652686461164	0.942501391805764	0.933380893555108	0.917356160708034	0.956947555911012	0.919092197209494	0.944441836085893	0.957330400178773	0.941710840715248	0.930988086557118	0.879980718591349	0.78384284854878	0.985347725078323	0.931040027280569	0.905232326192787	0.872777312647792	0.934280942840663	0.55983138857422	0.825125903482621	0.823294252938242	0.891963958502871	0.958778596853265	0.932825859727301	0.882484504473622	0.62069444333638	0.355251208290531	0.92162852456454	0.747998914287473	0.776699295565261	0.903843825039791	0.202403780429014
HLA-DPB1	0.760652775553026	0.777336835042214	0.884003869060961	0.719920042284065	0.894549039407935	0.759239678200298	1	0.807477724226136	0.876753682793526	0.816670326640108	0.831923559478103	0.779128436051877	0.823021586331238	0.882167564345915	0.643956010206615	0.827360399355072	0.883115552970593	0.884910092241841	0.668194148166601	0.820766717038157	0.91091327583752	0.913808246520153	0.884219007142279	0.796807173722553	0.882435301359744	0.828272055058785	0.630388632399455	0.81353112650796	0.737814232387436	0.863213598307716	0.823675868957057	0.811543970198373	0.687213476423486	0.819517828735308	0.862098781464807	0.782163089396269	0.878041745847016	0.830864055599052	0.823326606363776	0.85734100377465	0.803743380419883	0.866673270193803	0.801913600404083	0.775413946042763	0.954362759128515	0.801297388315858	0.781689086757711	0.777773616708253	0.856928417466903	0.736668612654605	0.689092861903161	0.754118634336509	0.889755567615371	0.803679290330691	0.824901545881675	0.862430982549419	0.809002356185045	0.849871714361185	0.625742124862961	0.768277410685191	0.921543873643877	0.760749537332337	0.904486912471836	0.903232242443124	0.812304353710433	0.83185284420686	0.727762388552914	0.766541765504072	0.847841493963674	0.659746065219274	0.816371048790758	0.810743126273681	0.811769939256306	0.902520278437895	0.808506951449973	0.756183141162549	0.864106144102377	0.823048938632625	0.843112231607548	0.806860521730176	0.593275024899482	0.770310125362705	0.919419458177299	0.870367436643872	0.763267382650399	0.695090142738716	0.777670449032311	0.759956444590777	0.610219039581273	0.840705671071658	0.716737680399693	0.735770461641466	0.911229327426393	0.665186957024951	0.880856106525635	0.781417680131523	0.733785087290877	0.778286430737952	0.743845605036126	0.862711048863811	0.910700642058981	0.863799236407681	0.559971057947905	0.794193597588364	0.845166218494029	0.840159945617219	0.875511228383149	0.833066139465313	0.871085367461627	0.726695847316254	0.810682193550798	0.787203108106422	0.801050917481643	0.803463230825956	0.705507936885186	0.822551881635831	0.908630439114309	0.844226935821604	0.856390614844135	0.826455742331246	0.858432862041736	0.820244742171301	0.739948378009062	0.808212361395178	0.81220542855582	0.740860352508096	0.827157592810232	0.790561754315685	0.920162055503705	0.687035947310171	0.823595621919345	0.877361057434164	0.887990404357678	0.720868091215162	0.765159257407271	0.833514928455862	0.615332612841296	0.826270501423828	0.756733024434409	0.806991151945625	0.81012038955926	0.740298322578063	0.868522747507529	0.467040326286713	0.611258859884362	0.76696587861851	0.812434645093689	0.711508320310351	0.922426977553596	0.82466643917299	0.617109372364842	0.331557624070967	0.902131671462986	0.820688085852147	0.799053477660395	0.846603516046804	0.18242770812863
CD81	0.994309365535823	0.969998328981165	0.917380779569941	0.937535196563769	0.941758358971752	0.980282815767819	0.807477724226136	1	0.976293870845115	0.943501320277447	0.934302211538378	0.988991856782237	0.95678869718728	0.971123896742037	0.954301392471388	0.978678916443102	0.914020151450983	0.852681112980812	0.93715953072281	0.935104289521004	0.96366727192817	0.777339917993378	0.852277836098803	0.752774287055216	0.904777286673241	0.936122886464518	0.832389440414459	0.925037309281525	0.809180126856752	0.899249832394567	0.88904177911481	0.963475065962335	0.972651633337146	0.931247252915219	0.912584831806143	0.924698676770182	0.944437998215446	0.95753578108564	0.765347426239942	0.890170608560852	0.900222184272945	0.919721020790677	0.804402829429512	0.897679960415987	0.914342990026859	0.951056859676995	0.963387409007078	0.975394989351568	0.95232677944199	0.956676012632771	0.857265993023714	0.969749482071176	0.97528126782518	0.909637405998732	0.902427818007415	0.896773296544641	0.929073976662571	0.922493330692772	0.711409120336208	0.899161918092172	0.905126899998285	0.939945637303203	0.944554191235354	0.949242705389977	0.886782835191894	0.861848246557046	0.586605205427944	0.92774296934402	0.969729265746987	0.799214936008212	0.748639568941491	0.946669940581837	0.94665365258104	0.766802296311979	0.915368323366648	0.986045770331411	0.930826013747322	0.886689768597761	0.940925687197046	0.977097544905604	0.797966961691311	0.8655468156522	0.907007053798494	0.936290660722876	0.816796261112695	0.958042438940826	0.881956720740329	0.875753336495278	0.778227812206715	0.576513998928887	0.771876826976745	0.864807313811789	0.876654000742245	0.216629962089979	0.951655287940797	0.924584633274041	0.935493030857913	0.941572328872214	0.956967716956816	0.888792085616068	0.908268623743771	0.872123891164955	0.817046624237636	0.840867603829008	0.698065672350404	0.881170594753346	0.933393693302973	0.948218720989503	0.981774612741991	0.949748029838659	0.926974071301529	0.87634198740005	0.935608325742878	0.694440440957533	0.92784351353152	0.549708893378863	0.926344271974681	0.760163699382688	0.936837698812223	0.951940724069941	0.870485904927974	0.913014107111245	0.947160645327659	0.859781381913202	0.889227680160115	0.846212813521059	0.962356409111502	0.920189129527281	0.961870887934736	0.896873190863617	0.951802576487758	0.94804476990464	0.965309857257895	0.973775545290142	0.92909371647023	0.953339921622558	0.846134300519707	0.813703603009185	0.989354394285888	0.929602238382048	0.896593927619119	0.866369806477875	0.956571234353427	0.56775252945366	0.779659040925259	0.84083406313781	0.914443262635212	0.952367747822633	0.960201794817725	0.902274956220745	0.604212859690818	0.359972090446374	0.93515370453781	0.755652783944417	0.758312230277774	0.886961271126607	0.204119385829648
ITGB2	0.958547348911096	0.938620422109022	0.966935703697718	0.926092794428861	0.949378105520795	0.955670196357475	0.876753682793526	0.976293870845115	1	0.957133368652247	0.951265783916476	0.957866478067515	0.974054760599677	0.992093324643868	0.895200294756915	0.983999297434846	0.953517285427257	0.905153009764547	0.88948136323047	0.961623841126717	0.987697901445774	0.869528401828276	0.916916927732039	0.826447722190028	0.949832122137633	0.952713814354775	0.805083517519428	0.942556420659457	0.854824770509198	0.945529592078357	0.929014862704529	0.950247464094126	0.918711658400214	0.959372708854754	0.963371317335002	0.92011785923024	0.968620710146953	0.965686936617982	0.83802572442566	0.937039733755638	0.913503072344054	0.952759426029787	0.846779755967475	0.916813002779212	0.965106124688074	0.964556654348649	0.961228207513652	0.948372928298488	0.964205380109239	0.92217832956656	0.873991941132653	0.941598358312969	0.9854658470768	0.935771780231232	0.936002075496084	0.95132274794597	0.95242928824382	0.956122645917916	0.732797942345831	0.919797652424078	0.962049632090218	0.925315626918161	0.970593741447644	0.963477858667127	0.928645704701431	0.889904801172675	0.663413550755898	0.945955725363401	0.969046768287816	0.816475362359903	0.806646754365532	0.93500715085781	0.948659461915998	0.846864553260034	0.946377805285281	0.948116993737137	0.958555335287553	0.925509174426137	0.971182229319549	0.980089367818827	0.760170954582521	0.879859982230437	0.946531936698002	0.95544323038226	0.860226039057692	0.908358564817464	0.913725597244211	0.891998934878772	0.774261795027675	0.689720152836928	0.819656344154998	0.857441039982358	0.912419690570028	0.37438143954205	0.97762104205647	0.921834766338371	0.913588898733874	0.954598262486232	0.95048587776788	0.931872754621385	0.958155792708337	0.906904183142376	0.763380546444367	0.886736198878718	0.801517328218411	0.931346494479469	0.967040214229889	0.964979169273726	0.981124073116014	0.930547693271472	0.933109976702698	0.884792086493181	0.959122541022351	0.729967015555475	0.922078370892459	0.649899011546856	0.954490491413339	0.837409780930322	0.969791619095518	0.961848851053101	0.918370810570941	0.936396109767638	0.939422275602559	0.86445862343539	0.921400976860029	0.875093737312831	0.965545626110903	0.928624717417488	0.973374511988609	0.887611697785967	0.9692867332635	0.969455369517697	0.981255628946607	0.9315710815843	0.935815592593517	0.951331104231019	0.840212074915788	0.853435110946544	0.960479054688066	0.945208689870384	0.901540720698902	0.883735767119807	0.97653578323905	0.599936816887672	0.777531904930599	0.867387552517536	0.921476497491652	0.920999313548472	0.977845462738348	0.930808010916357	0.675634240603751	0.404689803387143	0.974637127816662	0.817652520451305	0.830348663498223	0.928793009081582	0.247993515806621
CD4	0.937175298823629	0.924040356953049	0.955060059853614	0.951492465812066	0.906602410804913	0.942519444672523	0.816670326640108	0.943501320277447	0.957133368652247	1	0.967755718288218	0.905952954999708	0.967324630625073	0.956137125827792	0.905512148191668	0.961170664989824	0.945190537690498	0.884460408978878	0.838595730379883	0.956056830926624	0.95037355193938	0.767540752515806	0.896622079704423	0.855799147632895	0.936178632650616	0.949799347195009	0.87209023530449	0.981303046996274	0.916954530767915	0.958836730655525	0.96653198960195	0.935467845891476	0.894736189290154	0.932439526857279	0.965781931853995	0.906214737604583	0.949516682292979	0.981575621428935	0.847094384751435	0.932803462117313	0.937817889664974	0.946593173256476	0.905978859332858	0.906963622770616	0.935078761644023	0.96572940420715	0.934932441144709	0.878118043038495	0.953636606128409	0.884425944396108	0.920710952245837	0.897265767140049	0.948617195157801	0.930299703010848	0.963747769170455	0.946743556591314	0.971181603660143	0.960193227537187	0.827623478848217	0.939223777934245	0.912087898033222	0.939031123198406	0.924834125503045	0.919650320823148	0.953697813048477	0.918599082625183	0.727059909908573	0.953344440043231	0.939428308035672	0.888831104619562	0.849116991648755	0.885125052955249	0.943846809304049	0.755780158728207	0.925628245974325	0.932724548438966	0.885420206437541	0.930648595117542	0.953541091099257	0.959572786438682	0.789679813034579	0.849616101406205	0.901759772533773	0.901473968742993	0.896246133228033	0.869146859386542	0.902768901781185	0.914031011137988	0.837867897478202	0.643917166773902	0.86973198668451	0.817547765817513	0.909650375830313	0.266744469444821	0.96674911999603	0.908453858894535	0.9137369434572	0.957769187849106	0.888303926823706	0.930137705518995	0.887137932212157	0.885907802189152	0.768794829382609	0.909445180877557	0.758502890085948	0.907774602749096	0.963611208432028	0.943752325537654	0.921626087556254	0.92228590968301	0.951568001297858	0.865753398608841	0.926925054941399	0.76628574118306	0.934271164440093	0.50414375458189	0.921372665121367	0.867487896134749	0.937516885770537	0.943434217451565	0.916476743346171	0.937088482359711	0.927981408576533	0.847353144019212	0.889325923819491	0.927051337891104	0.936764336655026	0.944282353430102	0.943641151922628	0.911419565053355	0.959888179274133	0.945529157868472	0.946769840199774	0.873243900732919	0.968203627496539	0.913941855594236	0.857335612887496	0.764170058458166	0.937507526380051	0.941994618292063	0.912201684543441	0.908720299082606	0.964150061851271	0.61559074084482	0.770447572129388	0.848642364775505	0.890781332107429	0.926707838414365	0.941779608625848	0.920915492763224	0.707146003407434	0.43790662231681	0.950539388168681	0.77767846031212	0.817515289763389	0.947340958460762	0.281221068226187
