""	CD3D	CD247	CD3G	CXCR4	CD2	CXCR3	KLRB1	CCR5	CD8A	DPP4	KLRC1	KLRD1	F2R	CD69	ITGAL	KLRK1	ITGB2	SELL	TSPAN5	HMMR	FAS	PTPRC	CD27	CCR1	ADGRE5	SMAP1	TNFRSF14	ATP5F1B	RACK1	PILRB	CD44	S1PR4	LAG3	SIRPG	CD47	TNFRSF1B	TRADD	CD4	TSPAN14	CXCR6	AMFR	HAVCR2	ICOS	NCR3	ADCY7	LDLR	TNFRSF25	LRP8	RXRA	CD82	ITGB1	ITGA4	SORL1	CANX	HLA.DPB1	SLC1A5	TNFRSF1A	PTPRA	CADM1	SIGIRR	CD74	APLP2	VSIR	PTGER4	LPP	TFRC	CD81	SLC16A1	C1QBP	CD63	LRP1
CD3D	1	0.951560176517217	0.973351034699057	0.96190594866089	0.961501577264912	0.788014623657137	0.621246375744866	0.48212716900982	0.799776310882762	0.379875537522352	-0.175185398736144	-0.128027278524527	0.0799451644074763	0.888700635476661	0.868123386934997	-0.0890509277493613	0.166353661293545	0.631482312006754	0.369291012643048	0.349816330679827	0.66945424399196	0.87478107362074	0.955433613499923	-0.449231947730462	0.797865935395891	0.286965118873711	0.316150060758843	0.364432976018782	0.497064792350219	-0.0304292514192053	-0.231855817579659	0.850455627115323	0.650823499351005	0.747020422985248	0.824106787326366	0.53115650210026	0.911990510667177	0.138913584827425	-0.476993683763837	0.780048802690396	-0.1226003330389	-0.387402532152393	0.904518278372844	0.575533089224004	0.306844339050414	-0.469899057971326	0.864177123451547	0.703519525066128	-0.761596491508596	0.805824009848967	0.307060371644904	0.858055523697551	-0.380872121570601	-0.459182476764848	0.330682315926795	0.286309475300991	-0.554861873202175	-0.3034728183948	-0.316025557593257	0.838643311570748	0.131614452155612	-0.622382670160366	-0.0092517561666501	0.291816943074452	-0.126114836178845	-0.64250260275158	-0.599094518352479	-0.0118540891970397	0.316885960737774	-0.20481414060199	-0.81746162183027
CD247	0.951560176517217	1	0.936685541437735	0.966843602993763	0.911707095423515	0.686761285891645	0.737483001100797	0.307620050075456	0.746050798419071	0.455713846301987	-0.0221368281289765	-0.1596357914397	-0.0170463928055846	0.953619190828718	0.825891006373898	0.0078522975971493	0.157399038289767	0.501812331288217	0.241243021063784	0.243174391517346	0.634583864441823	0.831697609057781	0.870116328447022	-0.486438509735842	0.70636102668192	0.178152854640279	0.0923255226697905	0.27138178158265	0.475745970685053	-0.128622294656193	-0.286707577745432	0.766231946330289	0.552497189050623	0.82771069856618	0.781947350753567	0.391212460994227	0.885306761668213	0.115881661382994	-0.480775949305664	0.668328611506425	-0.246957166265201	-0.296582418915126	0.794186206919472	0.587131636996264	0.40276179971012	-0.56405210168574	0.931017604963612	0.563826725330708	-0.736649843666886	0.707049849496086	0.22935579939638	0.794067108081199	-0.312400798261962	-0.538097957497816	0.322498320914553	0.286254145848515	-0.627612867090853	-0.369726457753433	-0.388206192882149	0.768251241747902	0.141388428320382	-0.716072150819209	0.0901089914950244	0.346550543656618	-0.175299908686447	-0.604272679390117	-0.62691510333923	-0.0337103877903609	0.264526424612443	-0.327224100223582	-0.837791781847241
CD3G	0.973351034699057	0.936685541437735	1	0.936624467002768	0.97058075138417	0.740194021608506	0.575471888837452	0.443664767663114	0.820145680335282	0.389671510444608	-0.213637597464475	-0.148598658879408	0.114262545307376	0.858643056216377	0.83904443976476	-0.0870794397534673	0.097826130994143	0.619158829875732	0.436107238188334	0.502571607708663	0.718402301107812	0.847327896478068	0.93026274289083	-0.464459308166418	0.835047967719126	0.34684521470022	0.227472461029845	0.409763946335174	0.457192150824474	0.0264060303220093	-0.255034378595612	0.881247905928761	0.767230983313118	0.739293317179609	0.838975668203499	0.537660498868365	0.862481000440027	0.124493279907004	-0.526369999974266	0.833512460465905	-0.0500043768878141	-0.413794112231893	0.898708531309634	0.515589994034275	0.276066226517692	-0.407056332209248	0.874041187504697	0.583792843312452	-0.810336483980017	0.785273636791983	0.245137324749749	0.892208052920987	-0.379231759388469	-0.40122222708177	0.298366326310407	0.294162289696679	-0.530552193004978	-0.23882098914327	-0.217981238262551	0.812681180812889	0.0972724696068371	-0.528879824501167	-0.0282501798757617	0.261144043992258	-0.13861024292901	-0.664604518526711	-0.606240514937292	-0.062483679242032	0.305433791488216	-0.14093305912209	-0.753360840580303
CXCR4	0.96190594866089	0.966843602993763	0.936624467002768	1	0.932646319613219	0.725479730521695	0.741128227769806	0.406506974920872	0.771224778168508	0.414012648245494	-0.151409738537163	-0.208291988105685	0.000201765503140506	0.957162262763355	0.833990470746814	-0.0737611012782456	0.252182687940882	0.58898143690907	0.264690492451249	0.252287415493014	0.645181101219503	0.870445078769595	0.894908451233624	-0.420581992972101	0.742505531613908	0.229715661310309	0.22080233432423	0.330759932616485	0.564481596438947	-0.0846119719230044	-0.25387853441236	0.758307257159714	0.531369155051909	0.843843472926301	0.828247492608917	0.441296112165208	0.905097006878221	0.218642393972807	-0.40130580796485	0.646154954838712	-0.165623833771404	-0.285183711348983	0.791659877639435	0.57100842847497	0.415806112925327	-0.525875849631634	0.917724427283875	0.633293701537759	-0.755788107525345	0.755226278726234	0.337291349746472	0.827719115236426	-0.314312541804884	-0.511398498412176	0.412319507404548	0.278532379746178	-0.552267012423461	-0.363889859370722	-0.353992483249071	0.84129482558611	0.232000847622991	-0.675154261617872	0.124716002292182	0.421525902522561	-0.134715414426892	-0.595705740958937	-0.561258388395248	0.00220410458637137	0.358821090615011	-0.242058327438826	-0.846730821513844
CD2	0.961501577264912	0.911707095423515	0.97058075138417	0.932646319613219	1	0.726338499804084	0.631982116996908	0.509746131977947	0.804578352045184	0.3903616169796	-0.231975018098331	-0.153380429832962	0.0788487466373355	0.8552044004207	0.866472713964754	-0.0952076620453322	0.100326301466236	0.633194528637251	0.368868550771345	0.403093949077609	0.688097175400558	0.799923077141159	0.894889574273978	-0.43273944101248	0.779589206743543	0.317915694801638	0.258291612837721	0.312668375262328	0.371171228682862	-0.0172354942170917	-0.235486199665084	0.821757937702501	0.675431458601184	0.720773928385101	0.76020305981689	0.508289742225037	0.815158980066509	0.097156585591007	-0.45897731198782	0.801202293865346	-0.0690058164432404	-0.425420405162896	0.899535863439163	0.467316833333099	0.223920535888144	-0.417760447719948	0.878590783323072	0.612919318096852	-0.795400561685602	0.739820902075331	0.227928685011703	0.828891801586293	-0.359727710183403	-0.470350527101931	0.185473086086121	0.161738342055814	-0.516291719122233	-0.265726447563139	-0.288615037830964	0.762793780060998	-0.000127852605123693	-0.543443449177707	-0.100180943211955	0.214304687337996	-0.154092774903847	-0.626024540782472	-0.598907592566228	-0.101548538930065	0.244082405316542	-0.191593338305045	-0.749302055958862
CXCR3	0.788014623657137	0.686761285891645	0.740194021608506	0.725479730521695	0.726338499804084	1	0.3221575654504	0.684816361007708	0.530505450536377	0.115935619375663	-0.206102703151961	0.132296443199003	-0.0624338813359564	0.630521336426992	0.631583656306399	0.00290041089022714	0.449554192388487	0.673102198401336	0.242695666949044	0.22770592464786	0.364119502028811	0.841062976690741	0.790565261114875	-0.113607552810726	0.718111527454055	0.0475757849941927	0.630485137932273	0.214768437485951	0.410107158297891	-0.104532935506831	-0.133477382815401	0.716571488546367	0.579852958755599	0.408713066251162	0.599162149936345	0.747041676570609	0.770515147113836	0.367957144673675	-0.142662915019294	0.735566457187895	-0.124929622063499	-0.104693331324175	0.786999831216523	0.458583669686072	0.399476625361334	-0.536972782429863	0.575823691839577	0.687545084012885	-0.425442574752088	0.719539930432969	0.27095737303196	0.693821316661385	-0.0660252326792624	-0.480098906434586	0.427982108408992	0.318250782234242	-0.414158523861977	-0.331018247363058	-0.302775514247307	0.743258381689569	0.329345441044668	-0.455796669106966	0.171025574213254	0.450193611054239	-0.114499179160276	-0.266678285975615	-0.222935805271909	0.0465001985951986	0.190720328232099	-0.199085791429733	-0.620196343963124
KLRB1	0.621246375744866	0.737483001100797	0.575471888837452	0.741128227769806	0.631982116996908	0.3221575654504	1	-0.00277863835094057	0.296114621798951	0.699999182158131	-0.0448352955874577	-0.319594842878733	-0.311283956997908	0.85038491234901	0.450415835609833	-0.245671876750829	0.0623434357554316	0.24464677068462	-0.100408542848484	-0.207921402557877	0.215908251225771	0.401825046138385	0.519820273021091	-0.343529436858392	0.291125410783809	-0.0200545556426428	-0.0787996857704767	-0.0696423473393706	0.326159310526514	-0.198944546288695	-0.0855479741191798	0.187008889989462	0.019439070005592	0.881835185834719	0.419426599732308	-0.0833552859773608	0.587341178439413	-0.0757373655413733	-0.387333305606433	0.250724398162944	-0.387900534457528	-0.321221666253715	0.415650728722678	0.33707074237431	0.308325952857651	-0.499528685987662	0.853247584273333	0.393985689940503	-0.642422156148327	0.411626180441072	0.0562920925805412	0.321202652437515	-0.290786411571767	-0.546163375745725	0.0706280102729524	-0.174229590763904	-0.590602571762718	-0.467289063589419	-0.522056904080307	0.493980796282768	-0.0555565390731151	-0.736355385739001	-0.014453093419893	0.194773668400347	-0.232220959844613	-0.46859792688318	-0.561493152256168	-0.0385419974410227	0.159524133982317	-0.462794468118939	-0.739326537470398
CCR5	0.48212716900982	0.307620050075456	0.443664767663114	0.406506974920872	0.509746131977947	0.684816361007708	-0.00277863835094057	1	0.580300115314329	-0.194610367897023	-0.285361996145963	-0.0926708956739629	-0.125461002439283	0.295133551911853	0.631920920174443	-0.0422058244396535	0.570220121448567	0.292441168235272	-0.0726303799723338	0.152776108272879	0.178748785356527	0.621629060464886	0.398068020112828	0.286895992386118	0.386796472293199	-0.173750421180707	0.664161043407584	-0.0204910890944629	0.0702340538941113	-0.323742788448074	0.112739876421754	0.52274914602142	0.434327235382146	0.0444803006201244	0.292007284751979	0.677288227307763	0.33260818609348	0.440458634649539	0.248125632063674	0.420842375213938	0.000817372818975982	0.0755577208330831	0.515864697971423	0.167157964781024	0.377190978519772	-0.483817418936632	0.16770356718601	0.342599597462929	-0.171979222616792	0.347071967521649	0.132829190437589	0.409215278104409	0.150946998808802	-0.423241535789677	0.162300170451422	0.185829136775281	-0.279976786252029	-0.390337902644077	-0.345897387061844	0.298303615880571	0.213562961072923	-0.2266100557235	0.2148101074538	0.20501975372649	-0.368567235716593	0.0860791042222351	0.0200315018199392	-0.271992784013905	-0.107230113621385	-0.21515847910467	-0.314364371591715
CD8A	0.799776310882762	0.746050798419071	0.820145680335282	0.771224778168508	0.804578352045184	0.530505450536377	0.296114621798951	0.580300115314329	1	0.00384431634259341	-0.146743499685013	-0.160391703235746	0.211330634397229	0.646213331605401	0.919715878437762	0.175756659562015	0.152481794173814	0.354499598611332	0.305026775437088	0.486284614802794	0.769283064691049	0.784943971847354	0.714849712124593	-0.365350518600441	0.642035683341225	0.242649101437375	0.145509829703239	0.393714061228662	0.329660034669213	-0.0525500351241404	-0.286533807164324	0.882277215167505	0.697069446882108	0.501348638091623	0.726524892517362	0.469539380458095	0.614722349115763	0.209069264415925	-0.285496710780988	0.579750629365512	-0.00748203980225603	-0.217237934320174	0.725523177504081	0.375102064717663	0.269139106145944	-0.396956933872953	0.594896022431013	0.330359721118145	-0.59445629100375	0.496352988412869	0.264304599015945	0.810382265593623	-0.280503211686524	-0.3802540773208	0.271946461204488	0.438774488923768	-0.438183250553499	-0.210223767002362	-0.190432492707827	0.57552182344019	0.145414565005915	-0.433715410540053	0.0885059135724777	0.16908803140681	-0.194148739324564	-0.494084427165998	-0.481391848158117	-0.187933893233337	0.230888245632606	-0.105599631166978	-0.58167654712514
DPP4	0.379875537522352	0.455713846301987	0.389671510444608	0.414012648245494	0.3903616169796	0.115935619375663	0.699999182158131	-0.194610367897023	0.00384431634259341	1	-0.105347003159156	-0.49338501934459	-0.387130997513819	0.528765348882812	0.133679680181122	-0.606596454577668	-0.181796364476431	0.0636857514278514	-0.0841624437327957	-0.0835492836613653	0.0211830690532176	0.0917219939222238	0.315111463530478	-0.21882291811399	0.180043855270424	0.0294302549241206	-0.00595307030278636	-0.084342527002713	0.198882641428629	-0.242302453664996	0.406381943981701	0.00939824469685978	0.0386255243220327	0.612931435666724	0.244624758789884	-0.115926223248554	0.390482219102531	-0.327382881744243	-0.596918153768874	0.26607336497891	-0.342289214350567	-0.541260695499958	0.235071699025549	0.203568892601652	0.0839444114804692	-0.168684166352239	0.559610092467339	0.172893502736618	-0.644010771514151	0.398563029125654	-0.0641121472947933	0.121200110579935	-0.485799444320706	-0.0411969870488844	-0.0579108653828223	-0.34534065523133	-0.534329162321578	-0.430484961483718	-0.408253927788566	0.251789548122145	-0.228644541848859	-0.465871387408167	-0.250959661094142	0.00920422735500549	-0.325353367981479	-0.514571397769655	-0.594030167067125	-0.216650577329683	0.0431485019096788	-0.27665385448925	-0.556352270179159
