""	GPR171	NCL	CD44	CLEC2D	CD2	CXCR4	SELL	ITGA4	CD69	RPSA	PTGDR	CD3D	PTGER2	LRP10	CD6	CXCR3	TNFRSF14	PDCD1	ITGB1	CCR5	ADRB2	F2R	SLC16A7	CRTAM	S1PR4	PTPRA	SIRPG	VSIR	CD3G	JAML	ITGA1	SORL1	LAMP1	ACTR2	PTPRC	TSPAN5	CD47	TIGIT	DIP2A	TNFRSF1B	FAS	CD46	TRADD	CD74	CD247	KLRD1	LAG3	ITGB2	CD8B	CD8A	JMJD6	KLRB1	STX4	ADCY7	TNFRSF25	TSPAN14	PTGER4	CD63	ATP5F1B	TFRC	HLA.DPB1	RACK1	HAVCR2	CD82	IFITM1	ITGAL	APLP2	SMAP1	PILRB	PTPRZ1	CD4	SIGIRR	CD226	TNFRSF1A	CD81	C1QBP	CANX	LPP
GPR171	1	0.54958894126959	0.473255020909055	0.478120424495815	0.390864758595358	0.710852381996866	0.804268585216957	0.315452021918887	0.835882095052955	0.904804244260576	-0.251356477231349	0.556826976664777	0.823592827946556	0.624457783411781	0.706683367990273	0.117955909591326	0.58196002257804	0.420130354499273	0.664547307823718	-0.151282315584966	0.00975874181350171	0.0187477856038557	0.531349017371223	-0.0988881388101188	0.749188882208819	0.450464667956396	0.376539759878257	0.803187493915351	0.596679500971109	0.451097701506792	-0.211157252252956	0.659172272692136	0.625079748478379	0.557550868874592	0.355228391220358	0.428552400243697	0.660056833084479	0.100305309121079	0.282703793003386	0.311925712263328	0.386273821155452	0.493061955333128	0.862793812520288	0.273673151339464	0.559661318265423	0.0616525199949717	0.063563166776565	0.377250084466395	-0.153578022239443	-0.206579111892914	0.155797270211646	0.818276565142401	0.434393715407395	0.377305851566036	0.763856561085707	0.580580688751574	0.835751935229623	0.341483703689172	0.67313304145551	0.37178354974828	0.157732228899564	0.854344167932888	0.18278214577386	0.576325579018808	0.855876769006166	0.267337256011287	0.22510487020594	0.696524906820502	0.0378504463414478	-0.111524851956291	0.561566196030144	0.657952834378718	0.715966721926284	0.37255009631959	0.197962469455179	0.809648806511621	0.606123364027623	0.415569090756704
NCL	0.54958894126959	1	0.890156413343375	0.876398743726572	0.742657268597302	0.747297919564892	0.549691921575264	0.816860850323625	0.736324720362088	0.709534017139621	0.0211114455040005	0.756040089902175	0.462954908514783	0.833925857640487	0.71438235251035	0.413511767977654	0.805953709020119	0.513578813615323	0.908994606671794	0.331155489385608	0.325109831665955	0.436887920652868	0.848017327657425	0.20005088239318	0.746330656401942	0.873274731280234	0.679755996489973	0.709001721343566	0.82773699198161	0.710885692743737	0.152823180294002	0.735628374616482	0.845787102154525	0.902146748703124	0.878598248634893	0.785189577009296	0.840991240290603	0.566074026902337	0.796164832236437	0.740042582476155	0.708719330005271	0.867659249859205	0.628719630804801	0.592548049707579	0.763726349350658	0.146345569544417	0.462470807523725	0.707847870800561	0.00617187322469021	0.0163115786644593	0.469056019652911	0.547241060072896	0.838530165702129	0.771105971331714	0.630327331614172	0.87588118694377	0.734490916906487	0.650220328919164	0.796861862932057	0.810709814736777	0.55371288980905	0.785183872685336	0.657703827044597	0.816220777262511	0.694688449056567	0.745298850108887	0.590761009144736	0.787143663259992	0.414041709127249	0.143033703221006	0.708052237129559	0.757994521364382	0.737312289274176	0.646972354997367	0.578617021900465	0.756702249125607	0.832396207715024	0.846682673319103
CD44	0.473255020909055	0.890156413343375	1	0.85621279481012	0.810740027518391	0.836550472986953	0.427361058269161	0.822947993782345	0.748036438127364	0.61984316321197	0.164324784588584	0.808698928904921	0.403327711801125	0.775808045378013	0.703528520129354	0.575471568182801	0.820250764552665	0.512979281463654	0.805163147698188	0.497408040149107	0.472961704949892	0.529669421554759	0.844350717944604	0.383829811217142	0.716674614648909	0.835056488631841	0.661359892605468	0.599127365530636	0.895409248848048	0.750947346359859	0.335978446288918	0.6350909862467	0.754114020772624	0.850105233797174	0.939087277049369	0.799279653082041	0.840319546997517	0.563883480114942	0.80772973408072	0.714964374375836	0.714874637634451	0.799019157075331	0.52927910141877	0.535592149858334	0.792353264215709	0.246692448437842	0.58152233871676	0.770272109770321	0.23509642461442	0.246208608599124	0.621784666380444	0.439668369889507	0.823187230766737	0.77745708295637	0.526982908769546	0.820247467424886	0.719415945610642	0.477010414452237	0.682353819931525	0.736931957742478	0.580073124841969	0.708629235377451	0.654823115548612	0.781059386611894	0.648632348540537	0.851449622917589	0.411356523436804	0.714089784834694	0.526301807261414	-0.0514071631592371	0.606523793065445	0.779131639680899	0.629485222878851	0.572397342367896	0.634288434783009	0.618396812092392	0.699829812750661	0.73734382301707
CLEC2D	0.478120424495815	0.876398743726572	0.85621279481012	1	0.795869195252243	0.709316901401462	0.494638889570307	0.881969802911215	0.722807537157797	0.635365075382666	-0.062832695062312	0.793400735929422	0.438336623554976	0.833567826937357	0.681760947131925	0.44415080242296	0.829603266309196	0.613041293722621	0.793186510428031	0.317289799077012	0.217386526463626	0.285552829232898	0.795595819963532	0.0568083687530615	0.772633226907345	0.871893311315871	0.818969072236222	0.66151558585293	0.828324388882305	0.702986029075088	0.0472637615070608	0.645468932359897	0.73401065100671	0.854038006752534	0.878694251261839	0.781410038306504	0.772178810054652	0.738292276175894	0.7903258456012	0.851660515792499	0.841987835556543	0.843696423971133	0.617836593895312	0.462095022573925	0.783162007822999	0.0198176216324861	0.438860372705846	0.674413959205908	-0.104004681179051	-0.101301344314316	0.358352169616883	0.53861040920946	0.763123826524274	0.745073386883872	0.687451905223919	0.87771996026285	0.642502838174909	0.4805929915374	0.680687800974925	0.784159420699871	0.415436296050258	0.715187698483063	0.677974624777201	0.823317859348444	0.598067144894333	0.760239003551881	0.415337792803003	0.762489415281959	0.299601156877671	0.00723019585560066	0.778240836602884	0.745433800373972	0.765380265933402	0.482136129399138	0.37057621433663	0.621491581433626	0.687641092290881	0.766835019891169
CD2	0.390864758595358	0.742657268597302	0.810740027518391	0.795869195252243	1	0.785441343024989	0.249499871940175	0.838453501704563	0.695900891450257	0.547334521922605	0.0661609999668745	0.950906067372213	0.248083072212592	0.74114791313872	0.775240740483459	0.734180941589917	0.857627901973963	0.800229454756695	0.678797520674161	0.521619081097696	0.244953705155791	0.424136397195005	0.608622006055496	0.260853678712717	0.736171648640456	0.789436403356718	0.838854954324393	0.575063535869019	0.906758429791894	0.78808706294608	0.23476940074812	0.416701723054548	0.703774008247836	0.815764283957965	0.856336417978425	0.864054002880499	0.73712534967592	0.705542247941505	0.741422743730464	0.819794859272831	0.800834577429942	0.669045019237278	0.487543260555506	0.454118599263275	0.87524618687766	0.16795644469416	0.663328618634111	0.828838605401346	0.187383755260514	0.172805551636242	0.555327836871952	0.529562521430686	0.727418410199531	0.651655657069295	0.619076880480817	0.756939191408819	0.532380543359593	0.413986504472672	0.719299604446244	0.656058355756417	0.511267655483602	0.644602448530153	0.7365030161185	0.826099832107377	0.599497269514395	0.816605094454708	0.276534717758774	0.767062964410043	0.365629625189079	-0.105555588351655	0.676907086680481	0.839440952756919	0.584795469009987	0.576306958098291	0.542944003721896	0.563408762765453	0.605945125730086	0.653426647638371
CXCR4	0.710852381996866	0.747297919564892	0.836550472986953	0.709316901401462	0.785441343024989	1	0.524332575490853	0.658219787649357	0.907747644243663	0.77067334453025	0.0531172188850783	0.867895355835177	0.592878453072921	0.756479305356391	0.793978940622894	0.583339701030455	0.81561918993678	0.598846157754361	0.742071835824467	0.318004103787405	0.346115196855475	0.371401286920986	0.693252597517206	0.348835963122826	0.81714500651587	0.699510624290884	0.616262091678632	0.690752608119735	0.910695312721617	0.716270989755457	0.187981513677458	0.590364000228323	0.731159352878129	0.758990267001382	0.768751453893097	0.754435651881384	0.856616659122412	0.437751551128333	0.635522168558473	0.599989212450123	0.633529720029718	0.661193592591318	0.680186308792209	0.428080697025156	0.856675385248511	0.334491527614692	0.502062313044807	0.730881796766345	0.281911648747892	0.224334460469965	0.621658188460453	0.626349814714822	0.677880751231111	0.618207531037806	0.64528399700356	0.733447138059328	0.839791683495036	0.381414330156153	0.733585351909765	0.559011446859025	0.480840309623334	0.817406837102518	0.51157659148738	0.737577899827783	0.839685889689238	0.698682400526367	0.233323404242563	0.77481283943199	0.372349498735512	-0.164112057288392	0.574490110958789	0.84727310114009	0.659343928834382	0.551233490338596	0.572375172091898	0.711803719952339	0.6235786859306	0.562627189759885
SELL	0.804268585216957	0.549691921575264	0.427361058269161	0.494638889570307	0.249499871940175	0.524332575490853	1	0.269016140381358	0.715234686273414	0.876771118387615	-0.425461539774269	0.422770167558286	0.763619542701298	0.586912908895393	0.51833292114254	-0.0392590676524925	0.527136725982813	0.237071151030953	0.635712154870978	-0.318215918008976	-0.129159368592816	-0.160162837107896	0.53735520796594	-0.263397332560897	0.687717496502729	0.427681772044752	0.338290377525286	0.761389770493055	0.480280551317696	0.201552993119883	-0.343053536422428	0.646141999928088	0.568135489259268	0.508785190054373	0.308980032256289	0.301186479419129	0.585187560577509	0.159492053519311	0.212898830168384	0.303963027171427	0.404912650941374	0.541911334917306	0.872042823427932	0.236731247536251	0.420852644628353	-0.185057174907803	-0.115214542537442	0.234861182232804	-0.37005527892322	-0.399990354717332	-0.0479866149351964	0.651277503554296	0.384685805296636	0.338270563177398	0.690162991203167	0.54923980669754	0.76758009805001	0.295891791379927	0.564194386596224	0.394258706364769	0.0740036180883881	0.833956512227413	0.133750338559901	0.501570075406382	0.759025202697694	0.146816565806557	0.298071581050847	0.628283469275138	-0.116847039634119	-0.0398074030174436	0.564943660807349	0.526044338208437	0.685998259396606	0.22393504842576	0.0342893933787327	0.782916514739876	0.561055308984979	0.425393640820661
ITGA4	0.315452021918887	0.816860850323625	0.822947993782345	0.881969802911215	0.838453501704563	0.658219787649357	0.269016140381358	1	0.613385377341876	0.478552075574248	0.0695874884748184	0.788617643937883	0.257288719347808	0.760083398461711	0.632316186158697	0.543998114756285	0.808657845763125	0.642629341190857	0.728024996516265	0.441429989665193	0.246083736694193	0.403503598863184	0.700033492651047	0.15914673993685	0.690567687678808	0.859076931805244	0.819634959412558	0.539294870077407	0.803500746901825	0.74412637348063	0.148137193612585	0.522260007052802	0.689681110653152	0.8416650321064	0.887894858680321	0.80892141134765	0.701796811795064	0.76853479534629	0.806004936757149	0.859703259143503	0.797568772290051	0.749891532162987	0.449516868657295	0.476857032871893	0.786034660506131	0.118752488549712	0.511346788936433	0.730715222488534	0.0157810192418165	0.0102438906303222	0.415984284453374	0.439708623634065	0.757617228629606	0.729901645630998	0.580448387878326	0.819744041884356	0.50495198386569	0.477014050846416	0.634710765306066	0.768992657721511	0.476555129690752	0.580539117874598	0.741248281414283	0.770760194180491	0.493906774762919	0.795331845726649	0.399670136686363	0.713442646404363	0.37140315873214	-0.0166911989425487	0.724244483313195	0.701733494412285	0.660110871191224	0.52246301870699	0.442275730513502	0.503924159587236	0.627623072627429	0.743338279851599
CD69	0.835882095052955	0.736324720362088	0.748036438127364	0.722807537157797	0.695900891450257	0.907747644243663	0.715234686273414	0.613385377341876	1	0.891763125802347	-0.161153906307478	0.803189666875603	0.732427519671215	0.778440457121835	0.85101445188225	0.357433641641785	0.789683358207715	0.604469283134527	0.767129819480865	0.0754958292226507	0.13901233552978	0.149339233479291	0.680278146778504	0.0636313577784003	0.865896919227834	0.690514752230911	0.625995710323043	0.81675000201786	0.836887586786947	0.633232130382376	-0.0843703875442286	0.662412501279384	0.74599306587212	0.751017441337218	0.653639976208492	0.693002696708155	0.838181537766901	0.397078599086864	0.517258932465453	0.587843797875815	0.636745292652112	0.667869485537335	0.853569847259943	0.363093636221513	0.802290298744731	0.138095495748588	0.258893401678274	0.619269270744471	-0.0278147754005161	-0.0861012598602348	0.35745162890856	0.816025656226288	0.623399051048701	0.566575348902025	0.816308924603603	0.747015059439017	0.897902841542594	0.38037017310532	0.748246014075742	0.573229161524044	0.311711043056694	0.90175294100204	0.428091726714812	0.750936238308942	0.889571691675633	0.542085742432049	0.247404607097058	0.826909282613462	0.171330578163075	-0.137345915254436	0.692565870967233	0.828799366396144	0.819939775504036	0.471838176202488	0.34468060597787	0.803457219262158	0.658342825578401	0.55817294285569
RPSA	0.904804244260576	0.709534017139621	0.61984316321197	0.635365075382666	0.547334521922605	0.77067334453025	0.876771118387615	0.478552075574248	0.891763125802347	1	-0.306983593996145	0.703564993538125	0.812539367609702	0.770470373409859	0.777969055066021	0.219367181988764	0.748372158923941	0.528682396533723	0.809139019006408	-0.106228546973023	0.0027159007924816	0.0469987640165534	0.631231893683923	-0.1145905345256	0.86352926415503	0.609805558801037	0.553205130718088	0.911998147784139	0.722673838805631	0.519845717181215	-0.226726377157934	0.733209025736643	0.777189190781588	0.733608543013754	0.514088355486554	0.570035003415191	0.767867951630441	0.307498665722275	0.40293445407703	0.512876703212413	0.563047723827814	0.659349852928225	0.939995444624056	0.428798704458401	0.68178300498627	-0.00324307169000586	0.149574627804749	0.530526867422179	-0.201868479751298	-0.250645713172721	0.197947287870151	0.850704734832727	0.58870374424349	0.502986650944905	0.85007356323203	0.736249306615346	0.87856085726785	0.488167881197497	0.819197956894972	0.533650479092409	0.304153922623364	0.982384356155136	0.361385459348799	0.736617929995553	0.930236774904215	0.402501944506524	0.390153268617539	0.835054035896164	0.0415619983069713	-0.0408834451307845	0.724014600939311	0.793423112033283	0.815768358612477	0.49213108373605	0.293888845170094	0.931485236534843	0.751070256407176	0.595876983898876
