""	DPP4	CD2	CD3D	CD3G	KLRD1	KLRB1	CCR5	CD8A	CD8B	KLRK1	CD247	CD69	KLRC1	ITGA4	CXCR4	KLRF1	ADGRE5	F2R	CD44	ITGB1	IGF2R	CD53	ITGAL	ITGB2	PILRB	PTGER4	PTPRC	CD226	S1PR4	RIPK1	TNFRSF14	PTGER2	ERAP1	CD9	SMAP1	EGFR	CLEC2D	CD4	CANX	TFRC	TSPAN5	SIGIRR	TSPAN14	PTPRA	HAVCR2	NCL	CD81	LPP	CD74	RPSA	PTPRZ1	SORL1	CD46	APLP2	CD63	C1QBP	ITGB8	LAMP1
DPP4	1	0.878300107359562	0.903239645821431	0.859860543506763	0.129223805214076	0.90201865697532	0.566418230710465	0.70116926223929	0.777874130743767	0.289943317316846	0.750992274917199	0.878428287533009	0.177348541921971	0.663758670905538	0.846783621914127	-0.0481227970931739	0.896070127060621	0.180254097306885	0.72673544386445	0.54790055850274	0.527105666748399	0.775588344474853	0.716730606740341	0.692299020195089	0.0424677466577757	0.947952842181588	0.865981667192745	0.887882235806341	0.921386777376052	0.184771189321304	0.839118648147655	0.899299318166749	0.772879644786616	-0.159456633165082	0.658383494906036	-0.213875437922219	0.858896338293074	0.693247139819225	0.162812084910849	0.0820279478337142	0.637399919395646	0.832159798362132	0.689522217084445	-0.0310430666904364	0.359614658499404	0.68844996950659	0.219593157237188	0.248290199158342	0.152966704486138	0.909992676255215	-0.291727951155479	0.194153361917765	0.570056975272613	-0.0458691141046564	-0.0235768176950563	0.656918301804467	-0.325284081197728	0.405001546045878
CD2	0.878300107359562	1	0.977499537400007	0.963233686968111	0.138950313565828	0.843432116671631	0.753137034692052	0.86402037620054	0.864467261513461	0.494333816902263	0.76813403228382	0.958286885134913	0.219597421823909	0.88551790674721	0.946213126631408	0.0703280434312768	0.976097407175718	0.270311871990776	0.932393025628059	0.641470878007609	0.411944632919696	0.831348996367685	0.661916035334518	0.693117959985678	-0.123923387249585	0.918657764842066	0.956769665867394	0.869707017693212	0.815532383032346	0.439988948919074	0.889314127236922	0.821494489621631	0.887263656847731	-0.240363500611836	0.63111992682068	-0.323285945008274	0.939518829625704	0.618130012683687	0.0590937633320804	-0.0542104978782789	0.533678944232585	0.850315196135174	0.507074029415723	-0.115976077480768	0.267506955670844	0.647055772075618	0.198799411971518	0.138559565484871	0.114809783791637	0.867233930836873	-0.417720720251972	0.139654941350021	0.396435868689894	-0.186008365216118	-0.117012402774994	0.667497621710437	-0.43164524165112	0.295113960499196
CD3D	0.903239645821431	0.977499537400007	1	0.989519288546994	0.113218534910058	0.830799308376213	0.747586826860255	0.895470338290529	0.886345048505212	0.463785778328459	0.754732394368443	0.927676397300694	0.193801477242813	0.856865082921511	0.929520375907092	0.0107504347404153	0.966055258792042	0.276242671097806	0.885601840845197	0.599239136518702	0.447485183509766	0.822357266105697	0.688327280646492	0.715137005910469	-0.101400449592478	0.924855182065254	0.948228888194449	0.914612760864225	0.841366288046214	0.365052154347888	0.874853993255034	0.800096064247832	0.852899022708756	-0.240278049263632	0.59508615453109	-0.315838374344175	0.907179392272928	0.627117877020233	0.0542967380331954	-0.0489238516939565	0.509887137003903	0.870880366716475	0.529973373420162	-0.100686432517711	0.299287871240165	0.647501686613246	0.204027048245995	0.138349613298763	0.128654250881954	0.865567333552304	-0.40549470660432	0.150111845088531	0.429954549765905	-0.176242362765286	-0.112802366671834	0.647225540547188	-0.422597710016984	0.31663824556668
CD3G	0.859860543506763	0.963233686968111	0.989519288546994	1	0.0329552969785287	0.782561582762101	0.741529011505974	0.917798032928748	0.87714688819241	0.438226357669745	0.682076521463259	0.89501479358325	0.124491559696423	0.850750684043159	0.891598500985131	-0.061985325802057	0.939356434273805	0.266946038521193	0.876040991432458	0.581761992031875	0.387905893240619	0.782923969887267	0.622496984716203	0.687567871572455	-0.163912808969175	0.876589480892035	0.918358138178713	0.894613469351447	0.808300370952888	0.401882281201566	0.839339389115719	0.757171688675552	0.846989254370671	-0.25264100058464	0.552733433335764	-0.312207791148776	0.882838407379166	0.60561488227828	0.0269547446652702	-0.0759084523137214	0.469277616992999	0.828746676672507	0.4689839466727	-0.110871912093677	0.256992038612377	0.606047699443943	0.199714949166031	0.117342155609279	0.119718444848711	0.833009484678835	-0.399417876674474	0.128293612114945	0.399387453511184	-0.191123980835308	-0.121018766091651	0.610968075879027	-0.413930783996402	0.281286335945368
KLRD1	0.129223805214076	0.138950313565828	0.113218534910058	0.0329552969785287	1	0.0647489351854263	0.501700440396754	0.129555345347758	0.327515719877543	0.774778429566483	0.631894957235532	0.149073228613238	0.943072885578969	0.380391191995503	0.41258766327331	0.930740669755317	0.238761381135193	0.603906052273566	0.353180929763732	0.318563807804696	0.585882220289396	0.408044840175696	0.650945904216543	0.205007504670542	0.628154474051995	0.294600068030856	0.284996072119135	0.0228427693890713	0.102543795711168	-0.0397360710875689	0.143660365568186	0.0974103282194835	0.0390619088551745	0.103250470917796	0.260056516126816	-0.17666733468756	0.0835005653279013	-0.195471162966529	0.0596722654872639	-0.0188312053959223	-0.0247342839279448	0.321343680738953	0.142040870186862	0.0665511999871397	0.419923073770429	0.325079019169687	-0.0072763062261215	0.216892776749199	0.0137680163454249	0.0077361788068777	-0.200495736333903	0.120266159577002	0.0252317257696482	-0.0568598705051574	-0.000206266631721786	0.248984809003332	-0.16826253986441	0.0311747640285685
KLRB1	0.90201865697532	0.843432116671631	0.830799308376213	0.782561582762101	0.0647489351854263	1	0.440944038671137	0.520083556250189	0.581426279236154	0.143065825277088	0.745495462141069	0.923706545050151	0.090993909314395	0.60920482550646	0.786116245185421	-0.0644555884035069	0.870095037411014	0.11341625340235	0.674575604564199	0.47632743165872	0.463142526115717	0.751707350522029	0.567114422644336	0.659322787058549	-0.136831830639407	0.886913553823631	0.807771953626538	0.851128758489674	0.806584957744498	0.137002709338347	0.904640754589146	0.906978592507205	0.700940509189899	-0.244096452610113	0.686914714202571	-0.23700563687895	0.907246334895133	0.771901378230615	0.147693348524799	0.122368160403391	0.679119995131449	0.781530596750173	0.683052382055745	-0.049219616948933	0.24528600050095	0.586098115748301	0.164352575319051	0.154387288482045	0.0887256876381887	0.927530423548669	-0.301699366835821	0.15628032475111	0.527347680609558	-0.0583794420563165	-0.0563450847567132	0.651987772448407	-0.345699513669406	0.442153657754242
CCR5	0.566418230710465	0.753137034692052	0.747586826860255	0.741529011505974	0.501700440396754	0.440944038671137	1	0.777389516493912	0.845086502102497	0.814363210918878	0.762939158739378	0.659001441556787	0.588218085530587	0.899213650040704	0.858825732856862	0.451754191269364	0.754657592550307	0.528108949534921	0.877106007026312	0.655541075889247	0.528680611439558	0.763658466282976	0.801950125876288	0.564376176870434	0.210368552964136	0.728762843220383	0.81849960826447	0.533780454319613	0.535945324925642	0.425240499870471	0.620754583910474	0.417685423307043	0.618173715573211	-0.135368429793223	0.440437095903942	-0.344122910148717	0.672673940495385	0.241567002186299	-0.000847135926433941	-0.166324927798929	0.204167456243733	0.720357789241442	0.305195892437537	-0.0508994227652145	0.390007734022332	0.582872667531508	0.160666499486519	0.164405439964927	0.145127928630132	0.495048845090381	-0.420559106347781	0.158549290807601	0.141271016942628	-0.219734170705027	-0.139404638707823	0.540219184490461	-0.40791925664082	0.146223803866003
CD8A	0.70116926223929	0.86402037620054	0.895470338290529	0.917798032928748	0.129555345347758	0.520083556250189	0.777389516493912	1	0.923963883601125	0.612524564478724	0.57541178787925	0.720410535617139	0.240712403970687	0.853520606905934	0.824627919012635	0.0745901774244154	0.819632160722952	0.337864118510245	0.851987179852273	0.584391851196132	0.313563556473122	0.687960814169381	0.596326015714608	0.597013785872356	-0.0579517776780915	0.732940927063717	0.838507409019831	0.761043718040033	0.683247179078808	0.505165311841487	0.648874181957202	0.564865918689864	0.803978930128746	-0.149598717307812	0.423683284307305	-0.29883885289117	0.703680850839609	0.387807037335586	-0.00342494643915453	-0.131542944126487	0.292857113485864	0.730482160666364	0.297517041513127	-0.0971727256281907	0.295224956579895	0.561186206217916	0.219392137566759	0.125079697005691	0.15656171058618	0.631821051580533	-0.387029259106029	0.14625309290434	0.284790399374746	-0.200135780322533	-0.105096428099589	0.519752260772402	-0.373595172043238	0.17314911529549
CD8B	0.777874130743767	0.864467261513461	0.886345048505212	0.87714688819241	0.327515719877543	0.581426279236154	0.845086502102497	0.923963883601125	1	0.678420793232569	0.738169468893561	0.731606224323425	0.38896467949107	0.831235320330794	0.891445131463404	0.209580175332498	0.85320165513971	0.420524976627194	0.86559257781948	0.628890971903567	0.528154958574842	0.801494085128745	0.780218052272838	0.634694315608584	0.0847417164105731	0.851381527978727	0.883364284895004	0.750812668314962	0.728254613286227	0.35323495471558	0.719888458771981	0.652972849963883	0.77187080714818	-0.123781458314874	0.49928324620608	-0.294631191463604	0.732811792597207	0.392312499929267	0.0481125343292845	-0.0984190609424911	0.327549538362146	0.837472458087117	0.472940853490272	-0.0508386933015229	0.452538116538917	0.682573340579876	0.224576987208994	0.221216012788178	0.180955908171633	0.669020265145476	-0.389330714750747	0.169402081801634	0.371758069123327	-0.149628295843298	-0.0712981483738233	0.60359109417922	-0.379526008500656	0.193302386229045
KLRK1	0.289943317316846	0.494333816902263	0.463785778328459	0.438226357669745	0.774778429566483	0.143065825277088	0.814363210918878	0.612524564478724	0.678420793232569	1	0.65450240429553	0.412756462243841	0.784692470369973	0.761469313868362	0.67547649449839	0.782344003164559	0.529909742343257	0.583859261343283	0.718944326333638	0.48039294895489	0.42957254550968	0.538904521241142	0.663912565580876	0.33470128222277	0.358098638791561	0.453670259472459	0.567542886590178	0.294062695548727	0.220938619240124	0.296935255355891	0.336465345438922	0.159432573699504	0.443568665181396	-0.0492259214464094	0.285288273095092	-0.328746999713933	0.342245259530706	-0.124687557675549	-0.067595079915226	-0.218305236632894	-0.0553203899327658	0.504795719660819	0.01559500871648	-0.0620495215274778	0.342025934545418	0.3842508268056	0.0225060022099516	0.111141297191332	0.00362668419504395	0.174609792488046	-0.384443784807627	0.0661957401188588	-0.0355740804419292	-0.275263773506346	-0.151444197351505	0.347799163702847	-0.348207930453018	-0.0465037760518347
