""	TLR2	CD44	TLR1	SIGLEC10	ACTR2	TNFRSF14	CD74	KCNQ3	CD2	PTGER2	ADCY7	SORL1	ADRB2	NCL	ITGB1	PTPRA	CD3D	CXCR4	TNFRSF1B	ADORA3	CD3G	VSIR	ITGB2	KLRD1	CD247	STAB1	RPSA	ABCA1	SIRPA	RHBDF2	CSF3R	CSF2RA	JMJD6	CX3CR1	APLP2	SORT1	HAVCR2	LILRB1	CD69	P2RY12	RACK1	PTPRC	TSPAN14	FPR1	CD81	KLRK1	TNFRSF1A	TREM2	ATP5F1B	CD47	CANX	PTGER4	CD4
TLR2	1	-0.0244989253397692	0.698146999458747	0.57097287998826	0.600605261753325	0.31910322949751	0.652158040766991	0.648820257586636	-0.0847930598663844	0.0097458092354122	0.521905526024515	0.642232277122535	0.510932095700417	0.616644142977838	0.517317811717873	0.46790217394899	-0.0417132259817503	0.366668560784306	0.731428693096818	0.714857861896937	-0.107729703374154	0.495173377211779	0.65823981675881	0.0194727814274464	0.0418268276553263	0.298524595963664	0.370439009935035	0.690860998248308	0.627976050945446	0.590478528072351	0.714494494872247	0.76068142126345	0.355032991557535	0.68861051269465	0.739148730683832	0.359039062548094	0.793216673727583	0.533475566735206	0.156812041513398	0.595806779791151	0.452501433634759	0.644804366703095	0.636135837625992	0.730255208348868	0.560168427758386	0.146046722582895	0.493017400105441	0.676979653764474	0.476290036143577	0.291627265585505	0.680113332824982	0.479281193334431	0.679433347748691
CD44	-0.0244989253397692	1	0.0682353365544011	-0.0764744925504927	0.345243321195389	0.817078189820759	0.295237456750716	-0.219883870573296	0.960319701070861	0.913316959874464	-0.0972796914450189	0.0263995487271361	0.27779280814199	0.336127543923506	0.287385961113476	0.139270494739372	0.960932960959022	0.794282860076187	0.248158470417001	-0.0070234344322582	0.949012841668819	0.31037050441815	0.357006751568156	0.941286927100884	0.887900428553186	-0.375308975610477	0.559550630069349	-0.0838604439957777	-0.124034275747742	-0.222522313598453	-0.138611983171518	0.123116127625568	0.674619087125391	0.217692654706745	0.115488968845401	-0.288481844160329	0.166157710897726	-0.013108099767332	0.890564983784538	0.224058780045964	0.45631155516446	0.450602417551696	0.297331886613559	0.174983865326014	0.404408716584427	0.954430156865014	0.34620654660449	0.245173023489023	0.343621514637405	0.590456572353162	0.215742708912267	0.557132647296287	0.249025154525144
TLR1	0.698146999458747	0.0682353365544011	1	0.626331725134618	0.695692477088768	0.458216569965844	0.69542590030583	0.623461697849843	0.0450331756819694	0.131728563005457	0.461367943115737	0.75900684499857	0.540451962898946	0.545956403540897	0.545716270635607	0.418840334712033	0.102778405856638	0.506564874589445	0.745068565364374	0.822885763434429	0.0572623803160541	0.678464372092303	0.789423557547602	0.104298605995092	0.13489746300731	0.348660973036249	0.441639508149271	0.646262012797483	0.703685929850738	0.781304502002149	0.662125587455915	0.815368147810097	0.368999975912858	0.745045640509247	0.676755741406474	0.35362741337934	0.817896335606218	0.421509767238219	0.308882150031275	0.710028813968267	0.51840637037561	0.755508720256039	0.651453983641658	0.650573800484249	0.664419135449406	0.19104572190971	0.721564182076951	0.682163320929576	0.476417615427944	0.477534727960919	0.706122813586947	0.555897722820024	0.766770417362611
SIGLEC10	0.57097287998826	-0.0764744925504927	0.626331725134618	1	0.684317155521257	0.377705985836273	0.697979998781794	0.529723183660972	-0.0535150594840019	0.00829191562107235	0.568972264693983	0.896140587712571	0.722422849179899	0.529853759179712	0.662373607122596	0.45865951640004	-0.0249412521922239	0.345405497154493	0.718462890782758	0.748275627928997	-0.0599501035766363	0.755800017752167	0.800935949368263	-0.025579570080163	0.0179283463564422	0.332640462702432	0.344371942753715	0.686299905936336	0.796893406521593	0.578622769571617	0.622397906400853	0.760636268738614	0.262642527852042	0.823990778462183	0.792572741749399	0.28789414325001	0.721969113425983	0.53751423529059	0.105773005403896	0.822584324257729	0.440548303263565	0.758565923203144	0.664035401841064	0.662547469787137	0.678240699661513	0.0330390054425488	0.693365905021787	0.718255015370512	0.442930263590246	0.228378385257765	0.713318678987156	0.253363665747613	0.779785061422303
ACTR2	0.600605261753325	0.345243321195389	0.695692477088768	0.684317155521257	1	0.682508106062684	0.926793031010291	0.51998450570567	0.268739596658105	0.257945860352657	0.455998125456897	0.812090216000816	0.576589567071696	0.908421830930625	0.893462589189163	0.676584277462187	0.328885724350047	0.700720235448187	0.869417852240876	0.805237723473145	0.285075015928482	0.712875547836865	0.869903643478034	0.253181109755692	0.239061501292399	0.256394198722288	0.858724617932705	0.762529283543211	0.751488273677415	0.510236793617895	0.519100181305869	0.82256424507611	0.743205130795828	0.853114412408062	0.868516449444033	0.30517610913844	0.853219654131801	0.648080722828713	0.570985625926046	0.860750196343275	0.894274244505537	0.832614951213455	0.848446279631104	0.893642825400967	0.915647367425116	0.453476019490445	0.755894779323581	0.900394521980248	0.895047464759376	0.67004366031771	0.957039234411834	0.727037154784235	0.888781010663144
TNFRSF14	0.31910322949751	0.817078189820759	0.458216569965844	0.377705985836273	0.682508106062684	1	0.660281492551158	0.0952545323543999	0.805740875127662	0.825061248056167	0.176502418461608	0.462714242118622	0.533514503829441	0.652608205712807	0.616598324143495	0.408721606446203	0.840891012148735	0.950978691779926	0.623481921275344	0.40984353201821	0.807567170889532	0.675826068668161	0.740970673756789	0.803640644761073	0.789136292449874	-0.176773499987609	0.770898809161901	0.317661735852163	0.299543021937049	0.113836221251363	0.151678261545259	0.557276669555975	0.771239406855497	0.627056841425222	0.502683806215241	-0.0984633993151186	0.579665495368051	0.211407804035144	0.926896367677476	0.638092254886968	0.743154148925652	0.775860227105669	0.571354692794108	0.542290184831364	0.766762400860024	0.850289874882141	0.687795862638476	0.638753089111594	0.617162002443682	0.780122068843053	0.582615756996916	0.731111350461396	0.588874894740967
CD74	0.652158040766991	0.295237456750716	0.69542590030583	0.697979998781794	0.926793031010291	0.660281492551158	1	0.467437593620868	0.203252548143636	0.225803581489121	0.581356050766177	0.792091261454686	0.68980303920603	0.864176454906988	0.884762740349801	0.713142871388497	0.259148402927814	0.718529764329798	0.844996088627371	0.793577327954284	0.213618196672958	0.776931721129952	0.910519351355727	0.222264495494285	0.189182126821209	0.214658082802381	0.821814466928912	0.692382458825898	0.770315090076511	0.467541393773967	0.483901838854082	0.858567978099567	0.670818971845192	0.904758066029382	0.861845302248977	0.251433843624135	0.902739044572977	0.615019419717042	0.562018248527072	0.908416871316192	0.875439822013898	0.818263360755594	0.809356868872122	0.952389748866433	0.956482594546622	0.438046097971259	0.785607785177388	0.975967794630101	0.852238984309624	0.608022982058294	0.914500880868167	0.644933656832287	0.885209427421028
KCNQ3	0.648820257586636	-0.219883870573296	0.623461697849843	0.529723183660972	0.51998450570567	0.0952545323543999	0.467437593620868	1	-0.293527979688081	-0.187371962537673	0.337831054129934	0.609816703541986	0.247756153675461	0.42217103938821	0.428507704517911	0.197488098330879	-0.267842307328795	0.149641207357939	0.706371062928643	0.74466859666295	-0.327738858681765	0.342574434328358	0.491679039088654	-0.205448408884699	-0.207180702501556	0.602247165242163	0.175268385370869	0.740735225670328	0.577126555146768	0.838413561331127	0.649613612002431	0.665248483492233	0.147372271046672	0.496016479029079	0.530918620958269	0.613193872345166	0.663106556909587	0.488267985177313	-0.0726550251258657	0.404515976852128	0.272055143456602	0.443769586165859	0.552014368755345	0.611351825860061	0.360012503134789	-0.126355637187075	0.37125753648604	0.535343851278184	0.323199976506905	0.0851373144894853	0.589521483076076	0.429197379604558	0.580615749042106
CD2	-0.0847930598663844	0.960319701070861	0.0450331756819694	-0.0535150594840019	0.268739596658105	0.805740875127662	0.203252548143636	-0.293527979688081	1	0.956906497876147	-0.122723760738659	0.0138457533616112	0.279931239525149	0.238729306240079	0.220523563809676	0.044018514942217	0.989422796083916	0.772981583545676	0.19964134972015	-0.0354950806766867	0.980008371926078	0.331873324386219	0.321007530390781	0.97363877373417	0.928031530363674	-0.41748532843685	0.475741261105982	-0.144206357182749	-0.130064563865763	-0.295282108086057	-0.158634178009778	0.0834371859283112	0.630017794277268	0.189335849337289	0.0707655569276178	-0.337754313681757	0.0919900469838461	-0.0918655470262826	0.867181917923243	0.226155161466409	0.369598667249886	0.450010818700118	0.243988236993714	0.0539893141105929	0.353568637968987	0.922489478779138	0.351011297040056	0.146175697846059	0.24616449186353	0.604184803791913	0.131107486511163	0.486622880121813	0.178254139270419
PTGER2	0.0097458092354122	0.913316959874464	0.131728563005457	0.00829191562107235	0.257945860352657	0.825061248056167	0.225803581489121	-0.187371962537673	0.956906497876147	1	-0.110337531627118	0.0807022220665855	0.356785817225091	0.239212150581306	0.222498607931925	0.0408727521801915	0.955272661967497	0.782580499168381	0.267673289455193	0.0492763163562457	0.936948947245056	0.38412369260609	0.374977365436666	0.974738204520424	0.972499910623079	-0.385924795603221	0.42020012653227	-0.0875902683144495	-0.0680760769238497	-0.209308189966862	-0.0860618202389273	0.157815111918081	0.562806045022326	0.247826132574244	0.0945881978838175	-0.270424319960428	0.170133436727524	-0.0896641695777209	0.851057734096058	0.254655852823614	0.339291072688842	0.523020386805595	0.262261485761674	0.0907012662208749	0.3607683076393	0.884993225647348	0.401161956647151	0.184168277625408	0.20495806633892	0.576005184425494	0.135857467414859	0.546190909118418	0.222566236701992
