""	SDC1	EGFR	F2R	PARD3	CHRM3	CD9	ERBB2	TNFRSF1A	THY1	TFRC	CANX	LRP6	NOTCH1	PVR	CXADR	PLXNB1	ITGB8	KCND2	APLP2	ADGRV1	KCNJ10	PTPRA	TNFRSF11B	SMAP1	GRIN2B	CD99L2	TNFRSF12A	CD47	ADCYAP1R1	HMMR	INSR	PILRB	NOTCH2	ADORA1	CNR1	EDNRB	ACKR3	IGF1R	TNFRSF10B	IGF2R	PLXNB2	RIPK1	PTPRS	LRP4	CD81	LRP5	TNFRSF19	NOTCH3	PTPRZ1	RXRA	LRP1	LINGO1	GPR37L1	SLC16A1	LPP	MCFD2	SDC3	SMAD3	ADGRE5	TRAF2	S1PR2	SORT1	ITGAV	RACK1	SIRPA	ASGR1	NRCAM	LRP8	NCL	AMFR	ABCA1	ITGB1	CD63	CD44	C1QBP	SORL1	CD74
SDC1	1	0.682888639878645	0.702919719356534	0.751365565970608	0.530144363883909	0.711378329791467	0.411576758370183	0.485796031196264	0.519360945123901	0.569971425443288	0.598283133295974	0.626268866307444	0.755405737151423	0.773715511244702	0.711927854996568	0.661140847931903	0.559701673361253	0.566493287437659	0.623722227299257	0.389214941128571	0.53384113529421	0.69007571880175	0.515202395203952	0.812297842232005	0.36602787502982	0.670349464247916	0.493716807576947	0.683031669760835	0.222807387848457	0.528893945754474	0.754524396501036	0.568868035216975	0.615015334372227	0.396922878492739	0.338005491499952	0.452786752625766	0.703662959798379	0.623650807089956	0.729432240510223	0.531319628490527	0.568762578313585	0.656760940154448	0.672928865472052	0.59257236818483	0.659997759600446	0.71312641411434	0.530462245727264	0.621384007062432	0.630550712551794	0.632559200917843	0.69393990426346	0.583612588993453	0.508015786042862	0.758453525047155	0.491804482795344	0.621598604130995	0.503529208852742	0.400777242150873	0.525568317553375	0.825782222105745	0.716003706515038	0.624394222390588	0.554187288977876	0.778341032804499	0.329770492324953	0.573894490014112	0.492366829803497	0.664586311761837	0.84692626909779	0.709876119658409	0.344288108398855	0.572358037022497	0.608305178835533	0.216040028079282	0.825855833087424	0.299209307199793	0.0401767004861615
EGFR	0.682888639878645	1	0.762741351515902	0.859315005475047	0.609023813509752	0.838220113325576	0.400769260043889	0.512406128368058	0.326994819733126	0.706505470121165	0.653990064189849	0.760363681981841	0.875775037298937	0.655865245708808	0.703918658911997	0.755832678265832	0.735423703502475	0.615567203849973	0.607152811763585	0.435669530005266	0.690604139932944	0.81233476618522	0.82675081667545	0.837344967198324	0.740156613324204	0.630929960371153	0.379989290397438	0.675805766539308	0.325113417438752	0.653483645340301	0.686950857774387	0.742917882353249	0.75542147109776	0.485480275130957	0.503237270622616	0.58312762377563	0.902901461005711	0.67542118261737	0.61497066853967	0.533605056674941	0.481778379882597	0.729920375699876	0.829481614228571	0.806987641322585	0.678351073299228	0.876482292121406	0.823462720793885	0.754424549360722	0.805793119190285	0.784146449912551	0.841857266602029	0.669257243926833	0.564672108928877	0.880102025029144	0.517392812479725	0.630229943018714	0.735230510396738	0.415505812027927	0.547943229745916	0.763097486382789	0.747881847492916	0.718579234342499	0.549408575931069	0.784287319027551	0.252440736129633	0.63566457054565	0.378914694102775	0.727791488064298	0.877049242742709	0.685448351569134	0.327843008033883	0.482118207375715	0.643816361663658	0.041771916261982	0.786080152721974	0.22763996667563	0.0419188381825294
F2R	0.702919719356534	0.762741351515902	1	0.778820916340504	0.466628726683088	0.763292770885194	0.801335188065686	0.846470115813366	0.265674746307746	0.897710752814881	0.925196367156818	0.677573266796099	0.729804061642155	0.870022276974384	0.628568328297405	0.789182029299651	0.91970533062698	0.442950730269604	0.920948498705738	0.66265901388817	0.784411862761452	0.934267417773709	0.614814396700047	0.901523066611929	0.59239039536178	0.879406648228707	0.789763577129224	0.90705827954125	0.563754059549161	0.458508968900035	0.715292045479965	0.755801390115815	0.934454328642313	0.793542540515298	0.764565580203698	0.858640803834959	0.695873567844811	0.847140178453544	0.853633240531447	0.815918822828053	0.848568795186782	0.92232000081482	0.833512627317725	0.688942837175033	0.918682662477692	0.823404418687769	0.784934943875001	0.864969719239012	0.8618026469374	0.830949120813537	0.914819956344502	0.465018570095098	0.887272358413918	0.843862861601828	0.879956602637576	0.943589915835607	0.852936945241155	0.768173467833427	0.889172525472885	0.616056960984581	0.58948008352944	0.903172485427313	0.901004588614545	0.819223176881574	0.682350444394258	0.699777019912929	0.807717663920479	0.674238617790802	0.870207849837377	0.889228601416368	0.774346063006222	0.872480838440857	0.872621142642628	0.609842036164739	0.830647077471116	0.679785967702547	0.0765044090078917
PARD3	0.751365565970608	0.859315005475047	0.778820916340504	1	0.556067975579046	0.806870815076861	0.480422006172504	0.56760563079845	0.334405070847484	0.69398697221687	0.725911942791071	0.750592333878468	0.85720006768108	0.763728566536844	0.636585283287731	0.769238590108932	0.731985051341866	0.586110624823002	0.713234600582103	0.530621422620873	0.701649311475185	0.844378226476021	0.641006993839925	0.890985533029186	0.586546550928821	0.721028511655872	0.499904258026882	0.781869690933298	0.359591222865853	0.77363345192145	0.745005310019863	0.828469422407543	0.782633625336575	0.494700950163759	0.541964391181991	0.623433181729308	0.798957290110468	0.739746564497781	0.69486394889067	0.595100142032691	0.618754719660535	0.788697862424647	0.815996734336069	0.72348475273926	0.703043610064257	0.819983780022739	0.766822860190197	0.757187703144429	0.810788759198664	0.801657027984186	0.834755732820042	0.603883498712192	0.58279184214356	0.883531841028218	0.594580817238836	0.69751253246619	0.693892063786378	0.487754252586661	0.564720735743031	0.828097684606479	0.716145778520107	0.804200206056425	0.647332669913998	0.769179693726803	0.386917438061876	0.612425855827339	0.531118052916231	0.736471442082403	0.89990942169181	0.791991148954783	0.446788848411984	0.608273965577926	0.650205495416907	0.208180229125262	0.774965788871892	0.351723268976291	0.0504382988670702
CHRM3	0.530144363883909	0.609023813509752	0.466628726683088	0.556067975579046	1	0.637153394425706	0.121430295279782	0.198851775945684	0.495675358513846	0.459569695285828	0.391876761717895	0.684800999209046	0.701780694761289	0.469436780366412	0.703767847480381	0.601507791325851	0.471506069815769	0.668065016201766	0.316638200398666	0.248232767663376	0.529495903883118	0.465225674373495	0.427687064321277	0.554743661881295	0.638811823877422	0.334101442543443	0.189692130533583	0.35184976100552	0.0293253108270833	0.30358693200582	0.597268864776596	0.426234028914047	0.393968143098607	0.224136727127696	0.290148591890563	0.224157790845585	0.597148907455442	0.55432785381029	0.535346746746497	0.359723529126633	0.228993602751261	0.441293743062813	0.632327529893411	0.544857849913454	0.401001672288497	0.5973760596636	0.371969649934395	0.409353965040573	0.602913692310199	0.573729717282106	0.578135981417957	0.703108046704141	0.277994385321331	0.645379504117071	0.301563758045562	0.382801547922122	0.36904031585952	0.157312304936962	0.410495969638305	0.521048473954282	0.713109323809522	0.362582686354591	0.334689702158768	0.541330756247174	0.0195033480574335	0.657818491083567	0.347603330483797	0.644619617102267	0.636066608626788	0.394286489237426	0.164011631962788	0.292155798383601	0.317875234268611	-0.118016706359123	0.519498591800247	-0.00250220462331131	0.00736381579680857
CD9	0.711378329791467	0.838220113325576	0.763292770885194	0.806870815076861	0.637153394425706	1	0.461091466876925	0.618992214587491	0.436799543144927	0.723224727339633	0.68839795991996	0.648903848180459	0.791201906695122	0.759508200006359	0.721150927960284	0.691664422330848	0.647621849837308	0.479827466275608	0.667606864175888	0.325199889526942	0.60729258673465	0.768048790442672	0.804286251366279	0.902330533958155	0.575986785482681	0.647133495342229	0.547958756135452	0.757525279073732	0.255874932199144	0.605130226971646	0.603899146994686	0.680477268474442	0.729850901614314	0.541075973207351	0.447653067201719	0.550126985351267	0.872832329990787	0.629365877090339	0.674398887061209	0.540616386465187	0.55781244717562	0.717327723758785	0.773004595829469	0.644007284245703	0.795205367877485	0.809075945279404	0.735276035411944	0.731921678472086	0.678738904801094	0.736489797649873	0.778766335671586	0.65455129902434	0.565456381837162	0.910262301292029	0.532656781407478	0.724862959117599	0.649673076058335	0.439420526461998	0.59769657059924	0.774078422841711	0.722438142237647	0.71207165797136	0.556672733363773	0.942550535522662	0.291749836080108	0.666752632220908	0.4328549414399	0.614378802233156	0.889385141834881	0.699194322918868	0.413809098276748	0.588500091815905	0.768141505822022	0.170092097669229	0.912486587475807	0.287025267162174	0.0452266456531438
ERBB2	0.411576758370183	0.400769260043889	0.801335188065686	0.480422006172504	0.121430295279782	0.461091466876925	1	0.946655250691863	-0.0859398753404814	0.790768734044592	0.894009086821927	0.318476339327911	0.337248608411029	0.747816369310414	0.212508971791467	0.528516399150911	0.804579934519651	0.034677823583447	0.915096358455143	0.720400985086778	0.594592898048591	0.798887937267653	0.285344898214746	0.649485921487556	0.355217843941473	0.85841861195979	0.899402680829105	0.847761878489627	0.741422042246779	0.204429011360038	0.453819817128455	0.568963263940161	0.851096775579424	0.891403481472054	0.834334777047925	0.886251097998916	0.306192951199091	0.716833756569855	0.658669371473465	0.804868871610112	0.929517720322291	0.830470761055067	0.53752455928826	0.423521081318176	0.842553892588457	0.52313505620571	0.660942616781438	0.80664448969002	0.6428169876408	0.670127056317559	0.70996866885526	0.00835542337620892	0.923556131326711	0.56998932258942	0.929630223183278	0.891286469236055	0.802523358770098	0.876229009381436	0.83401115536112	0.255890491187749	0.138901589369619	0.843780017348474	0.886053842290446	0.540005093535497	0.891793671104772	0.404557753684252	0.796502274189153	0.354283644055587	0.538178068388727	0.781693388039645	0.94066026360138	0.869003942477847	0.827593600413997	0.897580404533143	0.539196951737128	0.88069995140605	0.0966186548950336
TNFRSF1A	0.485796031196264	0.512406128368058	0.846470115813366	0.56760563079845	0.198851775945684	0.618992214587491	0.946655250691863	1	-0.066185820603733	0.852009353981275	0.921821074995859	0.344381818199755	0.412753773287235	0.795123487695599	0.264885524840115	0.55625837329462	0.811170706349718	0.0423312174901954	0.938324520616199	0.674834043297052	0.603900224135182	0.852956406864872	0.456664304305713	0.749910208730452	0.418477530578986	0.878295020280014	0.919729814020254	0.909066581225654	0.725391703941454	0.283123220563383	0.465204673203895	0.599981510182437	0.892370101810306	0.926814981556133	0.825328290244794	0.899902134737069	0.464013767026137	0.70231456888421	0.661180860038017	0.802084130250553	0.926177081959229	0.859995411252479	0.584460965880862	0.478165166946271	0.919341803707638	0.60387891499502	0.771586503250209	0.867770037100144	0.655242633508666	0.719857233976931	0.759385016907485	0.0877627326418546	0.918809081825849	0.688112593426262	0.905692073770543	0.924093540360682	0.85562318211727	0.851530282892809	0.815733739059003	0.367518804920063	0.215648487868807	0.882426923605313	0.863818737036129	0.686497985268826	0.84924496501034	0.470438902277817	0.722004838983194	0.383167463726693	0.630019695971411	0.817019192890654	0.902038113135424	0.868891278309878	0.930311553260482	0.816170461598745	0.677888996196437	0.844806302982338	0.134771859184032
THY1	0.519360945123901	0.326994819733126	0.265674746307746	0.334405070847484	0.495675358513846	0.436799543144927	-0.0859398753404814	-0.066185820603733	1	0.10834086971279	0.0940721682126484	0.571343094294031	0.596524892668872	0.313374967219371	0.793342208425706	0.538114863175196	0.104426007355708	0.74542330544596	0.0737912232221571	-0.0233066945917791	0.405180167813922	0.17294346797475	0.213349041528875	0.408742845142863	0.118200075642631	0.160555655319386	-0.0722837446868982	0.12615582501822	-0.185844726451063	0.287192030218249	0.46403305039598	0.283739563413084	0.109025708394632	-0.082771452247652	-0.108175295709791	-0.0418697213169252	0.433291661058109	0.317887433352136	0.45945675348858	0.146524208724103	0.022606477030242	0.161467451700277	0.453499390581135	0.354973705736966	0.223750962420096	0.424388666899602	-0.0405010743502521	0.0698084654520727	0.34736498718343	0.270081646592322	0.325633939886119	0.769796879737636	0.0933583927126358	0.326553598597274	0.0259261418636322	0.176754259111195	-0.00620275978064068	0.00995426544568147	0.251167178649858	0.535381353628263	0.712898148867619	0.108495737647158	0.129003202308064	0.435376110430026	-0.128597573243243	0.556175000955303	0.280956784394327	0.472611903526512	0.498939175592619	0.193121215098906	-0.05707174700873	0.0650618360431738	0.0270322622823708	-0.168011172426508	0.473296553902444	-0.166198824141699	-0.0449740059923408
TFRC	0.569971425443288	0.706505470121165	0.897710752814881	0.69398697221687	0.459569695285828	0.723224727339633	0.790768734044592	0.852009353981275	0.10834086971279	1	0.929034261759301	0.598183735818148	0.638713028908181	0.777708027559411	0.511130298840315	0.710001437573756	0.924701870482219	0.334088614617835	0.879016959078202	0.715124039491391	0.698038445331252	0.916233805180693	0.616232739312449	0.814593939457416	0.660988014867196	0.837871550571705	0.763655353888069	0.86219967583078	0.660633618866004	0.286830394756585	0.650954339741724	0.642384796949069	0.90028047672429	0.857062128000879	0.847850714306187	0.888199026357414	0.621066051397748	0.807750363181381	0.739844029045418	0.79978386038968	0.803590222011064	0.882750754292503	0.761234879588286	0.711813789979049	0.888964010573419	0.784659290110697	0.813512988401037	0.881875012375434	0.834925928160884	0.819756691806809	0.883761467950223	0.367756224511473	0.890307189270364	0.832060949489705	0.871167891215605	0.890244950259643	0.907594381070257	0.75358638329453	0.83838321251867	0.479562606808447	0.487578839572236	0.873757864046634	0.865003562447988	0.740257916385626	0.724669223450157	0.646078946067587	0.730703391519502	0.578066208939785	0.782050707471397	0.827299357550044	0.772796071038437	0.818702924868653	0.852820907481824	0.584950233982658	0.725872625578651	0.700564609611475	0.100738782360032
