""	CD44	PTGER4	IFITM1	ITGA4	CD3G	S1PR4	KLRK1	CD3D	CD69	CD4	CD46	CXCR4	LPP	TNFRSF14	ITGB1	HAVCR2	TNFRSF1B	PTPRC	SLC1A5	ITGAX	ITGB2	KLRB1	CD47	ALOX5	TSPAN14	TMIGD3	TREM2	RHBDF2	PLXDC2	PILRA	AXL	VSIR	CD74	SORL1	APLP2
CD46	0.572839307500741	0.363155553888974	0.323254225232044	0.256796224675188	0.33867281943728	0.382751745354543	0.476054073459691	0.296905547706411	0.457388572702721	0.578176052847471	1	0.569059034938076	0.617824718924266	0.336164068257113	0.601137369877085	0.279439476452225	0.217753191594529	0.612048822623338	0.503725094776536	0.23425887981908	0.742319788462247	0.244533933942106	0.709300588461255	0.348375476234644	0.538667081466809	0.642563910009891	0.61099595389284	0.234014359958201	0.607504186462992	0.727228575842446	0.375900809760657	0.348841212762489	0.558374891559666	0.468683716430148	0.645062827011096
CXCR4	0.333733187964169	0.341554222132285	0.123189006607468	0.0441958746642463	0.273744593042822	0.00563844948580193	0.165768100930362	0.13607454506861	0.376815746202213	0.853926988129292	0.569059034938076	1	0.485632499411346	0.198744102835924	0.869357386715858	0.37436266094732	0.552309159628386	0.808124914484013	0.747910999268432	0.49448217281039	0.871620831890712	-0.103918546916769	0.492279630445233	0.505160173113385	0.84284215322041	0.800471906239451	0.873583430333212	0.549382596704935	0.860992793023887	0.59158754661937	0.845348233264812	0.685931203390995	0.819997972957647	0.795044106178132	0.824718435338949
LPP	0.159453328303408	0.0380297902880914	0.0289526999915802	0.062830712350614	0.0272432784298015	0.0566648943821844	0.0719740952694239	-0.0358115591826475	0.135966639080373	0.485103452334758	0.617824718924266	0.485632499411346	1	-0.0443101834833902	0.757336902639317	0.493385668788659	0.600220846344797	0.21325272147808	0.821654453156135	0.257585403982911	0.805451901275702	-0.00450199168376931	0.542252458673716	0.47926350388776	0.418817219883286	0.730652800933294	0.740408891950546	0.421918842064297	0.508976552447422	0.930457039527433	0.564355501044653	0.58249333206097	0.752748513790763	0.644233195294476	0.573856530283093
TNFRSF14	0.830788538768029	0.798705213219631	0.8432306261829	0.839704731505138	0.937336314104019	0.695149504247141	0.632418899530421	0.896331557349501	0.851679564319328	-0.154768010907583	0.336164068257113	0.198744102835924	-0.0443101834833902	1	0.0100484740684069	-0.531148361920666	-0.505938621296466	0.535925353972914	0.254767851939372	-0.568240060485889	0.222300752279075	0.690010345550077	0.738006943449139	-0.355068480255999	-0.0545661477888373	-0.131374541693138	-0.00698917731795268	-0.518003835470268	-0.0970935307437823	-0.0535298582684295	0.0858710357547809	-0.445136767034123	-0.130051357598588	-0.236402658707594	0.110275299594678
ITGB1	0.172664959248745	0.0861997826370321	-0.0497908319355926	-0.0352493374246048	0.0628583657409225	-0.12169866826224	-0.00555119317169227	-0.0746403613994137	0.149154510709226	0.810037834931724	0.601137369877085	0.869357386715858	0.757336902639317	0.0100484740684069	1	0.546920147135904	0.754901959103029	0.564630891545613	0.856581469422318	0.522175302414826	0.93488439837891	-0.209832349710395	0.449926073199126	0.730619615331606	0.760124854307988	0.896144555819618	0.968327776921099	0.614439345461133	0.806392638531827	0.817869781728925	0.868422968200578	0.810139885029418	0.948673528888592	0.900765139467113	0.770483058698568
HAVCR2	-0.437235402733237	-0.55162653926885	-0.635413323898477	-0.695239918363312	-0.539919557493318	-0.645766774314671	-0.489274248411218	-0.663052726259526	-0.485821901835263	0.702761839850323	0.279439476452225	0.37436266094732	0.493385668788659	-0.531148361920666	0.546920147135904	1	0.850177601809853	-0.0224521767683951	0.373775084563868	0.783354310158762	0.396516801738598	-0.735036157353349	-0.0746165600704425	0.832959316944229	0.692633788042981	0.711550666464257	0.617649628696582	0.805808240475632	0.691707666667413	0.455358097523127	0.48256595687391	0.763020464105803	0.686440881173788	0.695204030662703	0.570900620894842
TNFRSF1B	-0.468866888768695	-0.51949648975934	-0.633334440974267	-0.61933490513603	-0.505216496407781	-0.67260622950055	-0.574466935777012	-0.651813040793595	-0.45220057905903	0.710505213927389	0.217753191594529	0.552309159628386	0.600220846344797	-0.505938621296466	0.754901959103029	0.850177601809853	1	0.104293480293187	0.581778813641025	0.778947308118005	0.557412946933135	-0.731229178141661	-0.0783838678779798	0.835414387196508	0.686307751697975	0.821975473782666	0.774400691595911	0.866413975338048	0.728181159376069	0.615809221692277	0.747021209748349	0.926337351698136	0.85080307010706	0.868618198873955	0.628647809211742
PTPRC	0.574501540797589	0.583568852640387	0.395040803101318	0.321598483171989	0.511688731609015	0.300985967839133	0.452603082646143	0.452834479453426	0.625519065791837	0.571127665118775	0.612048822623338	0.808124914484013	0.21325272147808	0.535925353972914	0.564630891545613	-0.0224521767683951	0.104293480293187	1	0.531113488911026	0.231491738532514	0.646115579236642	0.211122349135838	0.538405420278381	0.195482372354619	0.621107529385137	0.53505797510828	0.542136829147571	0.22540615283096	0.648329001992095	0.351754817420801	0.587554793910595	0.31405070120716	0.47884439199674	0.462448526043939	0.696203279868888
SLC1A5	0.278105731784053	0.239247941210283	0.148745674535377	0.181505147794424	0.286309034012215	0.0147409517836202	0.0609198529889583	0.147542079855602	0.337734883795868	0.563740160100361	0.503725094776536	0.747910999268432	0.821654453156135	0.254767851939372	0.856581469422318	0.373775084563868	0.581778813641025	0.531113488911026	1	0.239015487923518	0.881067930099997	-0.032107016114144	0.628404313166607	0.460918725737198	0.599302675576028	0.766950018364905	0.847789635926043	0.444996917424929	0.640092346511258	0.754952777609456	0.84172115467283	0.59402191043647	0.820907998620875	0.722433033650149	0.75128687110315
ITGAX	-0.459434170621682	-0.464757258411534	-0.669147446062909	-0.760918802557385	-0.564176324946152	-0.659749055185523	-0.427516254994023	-0.652906037329883	-0.462986598354825	0.761378141598247	0.23425887981908	0.49448217281039	0.257585403982911	-0.568240060485889	0.522175302414826	0.783354310158762	0.778947308118005	0.231491738532514	0.239015487923518	1	0.349321941110967	-0.738506140115784	-0.270222937580285	0.744990946251749	0.785500757127608	0.675697962328607	0.58080710013788	0.892087870037476	0.788897016326191	0.335813724554696	0.503894675171978	0.781042176796869	0.648606026591477	0.729987052684266	0.611015089725452
ITGB2	0.423149847147833	0.339690317666877	0.218708383691374	0.19655032992887	0.304262214382475	0.157148036581467	0.245721611680693	0.190936325977025	0.403111344836772	0.758895408776334	0.742319788462247	0.871620831890712	0.805451901275702	0.222300752279075	0.93488439837891	0.396516801738598	0.557412946933135	0.646115579236642	0.881067930099997	0.349321941110967	1	0.0517316880599292	0.681185975926318	0.518381852237428	0.702638525749843	0.843550347222409	0.928636178384725	0.461337652527435	0.760805064259295	0.857955551508073	0.791636083947701	0.657336867115867	0.878790884053418	0.795236878636268	0.785391750742018
KLRB1	0.835947594898695	0.850148308678124	0.936574281144004	0.930305022289119	0.789157908482705	0.980235973061733	0.896063728115747	0.908797502698309	0.824349068529278	-0.411578567342595	0.244533933942106	-0.103918546916769	-0.00450199168376931	0.690010345550077	-0.209832349710395	-0.735036157353349	-0.731229178141661	0.211122349135838	-0.032107016114144	-0.738506140115784	0.0517316880599292	1	0.600633587726766	-0.607457881200107	-0.437385327392613	-0.420020030028565	-0.302377708922719	-0.798979515574526	-0.450929985074607	-0.0185384501858491	-0.387306688884307	-0.654866002560714	-0.419388134924245	-0.527299346772453	-0.332495418917424
CD47	0.84747212453604	0.747004896880212	0.763417408603653	0.703243493117475	0.806723273566698	0.679532749491222	0.666788630450213	0.739845627335555	0.837883710580478	0.266935168384463	0.709300588461255	0.492279630445233	0.542252458673716	0.738006943449139	0.449926073199126	-0.0746165600704425	-0.0783838678779798	0.538405420278381	0.628404313166607	-0.270222937580285	0.681185975926318	0.600633587726766	1	-0.00891277002408109	0.265244805711873	0.321673250119638	0.446169236789919	-0.175190666360674	0.267076641274404	0.513749303338042	0.318988990758167	-0.0264400684632715	0.324303503673127	0.159383651708458	0.421530558113373
ALOX5	-0.257162723738509	-0.406778294147734	-0.49342520904832	-0.494518354775591	-0.3953823974932	-0.536946717762151	-0.34839371892594	-0.515520151886793	-0.34130894383253	0.728524182028288	0.348375476234644	0.505160173113385	0.47926350388776	-0.355068480255999	0.730619615331606	0.832959316944229	0.835414387196508	0.195482372354619	0.460918725737198	0.744990946251749	0.518381852237428	-0.607457881200107	-0.00891277002408109	1	0.706040350116674	0.731165345629521	0.708623212188599	0.71056747949773	0.691669104036965	0.498928870611418	0.57923096101566	0.756326616693045	0.747149024386317	0.749676691674785	0.543318641734092
TSPAN14	0.0491732309382682	0.0136127623681768	-0.207311026313084	-0.338116269642665	-0.0232021649329422	-0.309804063094999	-0.0780632657492904	-0.183843238578671	0.0525284724224536	0.917774727303866	0.538667081466809	0.84284215322041	0.418817219883286	-0.0545661477888373	0.760124854307988	0.692633788042981	0.686307751697975	0.621107529385137	0.599302675576028	0.785500757127608	0.702638525749843	-0.437385327392613	0.265244805711873	0.706040350116674	1	0.835356266834019	0.830586562624876	0.761379322018596	0.960413942622173	0.479685768990691	0.744689046564996	0.738951715810987	0.809680232863899	0.808816765070315	0.864439430451277
TMIGD3	-0.0199750708064426	-0.122735751139433	-0.263873675908841	-0.288521696463908	-0.142542434717054	-0.298552769265785	-0.179421337418852	-0.272860158264395	-0.0262926312425922	0.866940841375165	0.642563910009891	0.800471906239451	0.730652800933294	-0.131374541693138	0.896144555819618	0.711550666464257	0.821975473782666	0.53505797510828	0.766950018364905	0.675697962328607	0.843550347222409	-0.420020030028565	0.321673250119638	0.731165345629521	0.835356266834019	1	0.932913633769321	0.797402555477837	0.923581505667098	0.813535423754999	0.851350349579018	0.910958941587415	0.962350416083651	0.943890347149021	0.907472067775354
TREM2	0.125492701338863	0.0365929032260868	-0.108419887146343	-0.128828567354987	0.0421175542718727	-0.196641009946134	-0.0857067735064327	-0.125025371969162	0.10123951470705	0.869076104124078	0.61099595389284	0.873583430333212	0.740408891950546	-0.00698917731795268	0.968327776921099	0.617649628696582	0.774400691595911	0.542136829147571	0.847789635926043	0.58080710013788	0.928636178384725	-0.302377708922719	0.446169236789919	0.708623212188599	0.830586562624876	0.932913633769321	1	0.711563926034365	0.877008523108173	0.800410965313832	0.897629971470858	0.839942222047653	0.981674380578284	0.939405598432489	0.855435646569108
RHBDF2	-0.484961957336302	-0.513817304042685	-0.692208289829551	-0.743731781890383	-0.539563295194822	-0.720989375547035	-0.568066140182691	-0.676673185352898	-0.468058002097384	0.788196398502908	0.234014359958201	0.549382596704935	0.421918842064297	-0.518003835470268	0.614439345461133	0.805808240475632	0.866413975338048	0.22540615283096	0.444996917424929	0.892087870037476	0.461337652527435	-0.798979515574526	-0.175190666360674	0.71056747949773	0.761379322018596	0.797402555477837	0.711563926034365	1	0.832891086674631	0.477319813414008	0.695593368871219	0.902201698708917	0.794827686915198	0.858255105442243	0.748016778787905
PLXDC2	0.0179761350442781	-0.0393785383521233	-0.251598570423213	-0.353444071823669	-0.0924015038897138	-0.317132268771362	-0.114419460643408	-0.232048688409556	0.0224386173574647	0.946133002006069	0.607504186462992	0.860992793023887	0.508976552447422	-0.0970935307437823	0.806392638531827	0.691707666667413	0.728181159376069	0.648329001992095	0.640092346511258	0.788897016326191	0.760805064259295	-0.450929985074607	0.267076641274404	0.691669104036965	0.960413942622173	0.923581505667098	0.877008523108173	0.832891086674631	1	0.607632919656038	0.801744042456903	0.838211513113899	0.882894514164646	0.890671819827919	0.939012888055935
PILRA	0.174798373713842	0.0452616297764325	0.0108463722200884	0.0352941278428143	0.00357565542746978	0.0752030006240257	0.080607587801939	-0.0533828472592033	0.132646865583904	0.588913929496566	0.727228575842446	0.59158754661937	0.930457039527433	-0.0535298582684295	0.817869781728925	0.455358097523127	0.615809221692277	0.351754817420801	0.754952777609456	0.335813724554696	0.857955551508073	-0.0185384501858491	0.513749303338042	0.498928870611418	0.479685768990691	0.813535423754999	0.800410965313832	0.477319813414008	0.607632919656038	1	0.622040764839448	0.685978170405646	0.816102013882772	0.74242933335008	0.634404183972267
AXL	-0.00158665876046304	-0.0129624780195694	-0.169383802820521	-0.140871183745907	0.0547444065592759	-0.32496206105814	-0.265831359045017	-0.136139309484864	0.0602865214115836	0.726696557284691	0.375900809760657	0.845348233264812	0.564355501044653	0.0858710357547809	0.868422968200578	0.48256595687391	0.747021209748349	0.587554793910595	0.84172115467283	0.503894675171978	0.791636083947701	-0.387306688884307	0.318988990758167	0.57923096101566	0.744689046564996	0.851350349579018	0.897629971470858	0.695593368871219	0.801744042456903	0.622040764839448	1	0.809029282673912	0.907382855538548	0.899618423592657	0.845474608710261
VSIR	-0.349423985419816	-0.396655577036034	-0.555099586995237	-0.549526515203395	-0.442570614145167	-0.565791058731525	-0.460747141894424	-0.568434612908811	-0.342549689980716	0.818277716456889	0.348841212762489	0.685931203390995	0.58249333206097	-0.445136767034123	0.810139885029418	0.763020464105803	0.926337351698136	0.31405070120716	0.59402191043647	0.781042176796869	0.657336867115867	-0.654866002560714	-0.0264400684632715	0.756326616693045	0.738951715810987	0.910958941587415	0.839942222047653	0.902201698708917	0.838211513113899	0.685978170405646	0.809029282673912	1	0.910942168095492	0.952672577423491	0.75171942817177
CD74	-0.0285965211318784	-0.114629875243148	-0.255426738264539	-0.255607228079005	-0.112825513590035	-0.321217658153327	-0.218673903021433	-0.268824518309815	-0.043160805824103	0.855395576090494	0.558374891559666	0.819997972957647	0.752748513790763	-0.130051357598588	0.948673528888592	0.686440881173788	0.85080307010706	0.47884439199674	0.820907998620875	0.648606026591477	0.878790884053418	-0.419388134924245	0.324303503673127	0.747149024386317	0.809680232863899	0.962350416083651	0.981674380578284	0.794827686915198	0.882894514164646	0.816102013882772	0.907382855538548	0.910942168095492	1	0.979397965691755	0.86083671420821
SORL1	-0.158215321543724	-0.218207898294085	-0.382822799011415	-0.377154621214852	-0.236786217792569	-0.435204251165308	-0.324090314528014	-0.385033662950863	-0.168623004689771	0.85791524259166	0.468683716430148	0.795044106178132	0.644233195294476	-0.236402658707594	0.900765139467113	0.695204030662703	0.868618198873955	0.462448526043939	0.722433033650149	0.729987052684266	0.795236878636268	-0.527299346772453	0.159383651708458	0.749676691674785	0.808816765070315	0.943890347149021	0.939405598432489	0.858255105442243	0.890671819827919	0.74242933335008	0.899618423592657	0.952672577423491	0.979397965691755	1	0.842249050371389
APLP2	0.120128435442984	0.0525479107900718	-0.120289661591058	-0.183270603276917	0.0626421576415802	-0.216872827921474	-0.0753187916385311	-0.0808646439004203	0.154945749377941	0.828828357526487	0.645062827011096	0.824718435338949	0.573856530283093	0.110275299594678	0.770483058698568	0.570900620894842	0.628647809211742	0.696203279868888	0.75128687110315	0.611015089725452	0.785391750742018	-0.332495418917424	0.421530558113373	0.543318641734092	0.864439430451277	0.907472067775354	0.855435646569108	0.748016778787905	0.939012888055935	0.634404183972267	0.845474608710261	0.75171942817177	0.86083671420821	0.842249050371389	1
