""	CD44	PTGER4	IFITM1	ITGA4	CD3G	S1PR4	KLRK1	CD3D	CD69	CD4	CD46	CXCR4	LPP	TNFRSF14	ITGB1	HAVCR2	TNFRSF1B	PTPRC	SLC1A5	ITGAX	ITGB2	KLRB1	CD47	ALOX5	TSPAN14	TMIGD3	TREM2	RHBDF2	PLXDC2	PILRA	AXL	VSIR	CD74	SORL1	APLP2
CD44	1	0.935182895449419	0.938775229113999	0.87010246422453	0.916395332090584	0.891229321242339	0.91382230763464	0.926493787060884	0.952462247073311	0.063702534279315	0.572839307500741	0.333733187964169	0.159453328303408	0.830788538768029	0.172664959248745	-0.437235402733237	-0.468866888768695	0.574501540797589	0.278105731784053	-0.459434170621682	0.423149847147833	0.835947594898695	0.84747212453604	-0.257162723738509	0.0491732309382682	-0.0199750708064426	0.125492701338863	-0.484961957336302	0.0179761350442781	0.174798373713842	-0.00158665876046304	-0.349423985419816	-0.0285965211318784	-0.158215321543724	0.120128435442984
PTGER4	0.935182895449419	1	0.951896859457251	0.86138535316677	0.928375640358904	0.880983417625601	0.901087527803573	0.954870072769433	0.973434042192912	-0.00845031580217513	0.363155553888974	0.341554222132285	0.0380297902880914	0.798705213219631	0.0861997826370321	-0.55162653926885	-0.51949648975934	0.583568852640387	0.239247941210283	-0.464757258411534	0.339690317666877	0.850148308678124	0.747004896880212	-0.406778294147734	0.0136127623681768	-0.122735751139433	0.0365929032260868	-0.513817304042685	-0.0393785383521233	0.0452616297764325	-0.0129624780195694	-0.396655577036034	-0.114629875243148	-0.218207898294085	0.0525479107900718
IFITM1	0.938775229113999	0.951896859457251	1	0.950786846526308	0.939572905944727	0.94940146639073	0.893721900162112	0.987468762222352	0.947920129597682	-0.214382264951689	0.323254225232044	0.123189006607468	0.0289526999915802	0.8432306261829	-0.0497908319355926	-0.635413323898477	-0.633334440974267	0.395040803101318	0.148745674535377	-0.669147446062909	0.218708383691374	0.936574281144004	0.763417408603653	-0.49342520904832	-0.207311026313084	-0.263873675908841	-0.108419887146343	-0.692208289829551	-0.251598570423213	0.0108463722200884	-0.169383802820521	-0.555099586995237	-0.255426738264539	-0.382822799011415	-0.120289661591058
ITGA4	0.87010246422453	0.86138535316677	0.950786846526308	1	0.885010855969276	0.905122789270439	0.799824762097266	0.944639034319371	0.867035545631759	-0.343829516390028	0.256796224675188	0.0441958746642463	0.062830712350614	0.839704731505138	-0.0352493374246048	-0.695239918363312	-0.61933490513603	0.321598483171989	0.181505147794424	-0.760918802557385	0.19655032992887	0.930305022289119	0.703243493117475	-0.494518354775591	-0.338116269642665	-0.288521696463908	-0.128828567354987	-0.743731781890383	-0.353444071823669	0.0352941278428143	-0.140871183745907	-0.549526515203395	-0.255607228079005	-0.377154621214852	-0.183270603276917
CD3G	0.916395332090584	0.928375640358904	0.939572905944727	0.885010855969276	1	0.807286104997717	0.762375779763534	0.958725036453032	0.940695091264394	-0.0848266457032807	0.33867281943728	0.273744593042822	0.0272432784298015	0.937336314104019	0.0628583657409225	-0.539919557493318	-0.505216496407781	0.511688731609015	0.286309034012215	-0.564176324946152	0.304262214382475	0.789157908482705	0.806723273566698	-0.3953823974932	-0.0232021649329422	-0.142542434717054	0.0421175542718727	-0.539563295194822	-0.0924015038897138	0.00357565542746978	0.0547444065592759	-0.442570614145167	-0.112825513590035	-0.236786217792569	0.0626421576415802
S1PR4	0.891229321242339	0.880983417625601	0.94940146639073	0.905122789270439	0.807286104997717	1	0.935662322146927	0.912702037022954	0.86449941755248	-0.26808450331813	0.382751745354543	0.00563844948580193	0.0566648943821844	0.695149504247141	-0.12169866826224	-0.645766774314671	-0.67260622950055	0.300985967839133	0.0147409517836202	-0.659749055185523	0.157148036581467	0.980235973061733	0.679532749491222	-0.536946717762151	-0.309804063094999	-0.298552769265785	-0.196641009946134	-0.720989375547035	-0.317132268771362	0.0752030006240257	-0.32496206105814	-0.565791058731525	-0.321217658153327	-0.435204251165308	-0.216872827921474
KLRK1	0.91382230763464	0.901087527803573	0.893721900162112	0.799824762097266	0.762375779763534	0.935662322146927	1	0.866080781768402	0.877129334158302	-0.0566690236800907	0.476054073459691	0.165768100930362	0.0719740952694239	0.632418899530421	-0.00555119317169227	-0.489274248411218	-0.574466935777012	0.452603082646143	0.0609198529889583	-0.427516254994023	0.245721611680693	0.896063728115747	0.666788630450213	-0.34839371892594	-0.0780632657492904	-0.179421337418852	-0.0857067735064327	-0.568066140182691	-0.114419460643408	0.080607587801939	-0.265831359045017	-0.460747141894424	-0.218673903021433	-0.324090314528014	-0.0753187916385311
CD3D	0.926493787060884	0.954870072769433	0.987468762222352	0.944639034319371	0.958725036453032	0.912702037022954	0.866080781768402	1	0.954192340124163	-0.228741336769136	0.296905547706411	0.13607454506861	-0.0358115591826475	0.896331557349501	-0.0746403613994137	-0.663052726259526	-0.651813040793595	0.452834479453426	0.147542079855602	-0.652906037329883	0.190936325977025	0.908797502698309	0.739845627335555	-0.515520151886793	-0.183843238578671	-0.272860158264395	-0.125025371969162	-0.676673185352898	-0.232048688409556	-0.0533828472592033	-0.136139309484864	-0.568434612908811	-0.268824518309815	-0.385033662950863	-0.0808646439004203
CD69	0.952462247073311	0.973434042192912	0.947920129597682	0.867035545631759	0.940695091264394	0.86449941755248	0.877129334158302	0.954192340124163	1	0.0278529464755984	0.457388572702721	0.376815746202213	0.135966639080373	0.851679564319328	0.149154510709226	-0.485821901835263	-0.45220057905903	0.625519065791837	0.337734883795868	-0.462986598354825	0.403111344836772	0.824349068529278	0.837883710580478	-0.34130894383253	0.0525284724224536	-0.0262926312425922	0.10123951470705	-0.468058002097384	0.0224386173574647	0.132646865583904	0.0602865214115836	-0.342549689980716	-0.043160805824103	-0.168623004689771	0.154945749377941
CD4	0.063702534279315	-0.00845031580217513	-0.214382264951689	-0.343829516390028	-0.0848266457032807	-0.26808450331813	-0.0566690236800907	-0.228741336769136	0.0278529464755984	1	0.578176052847471	0.853926988129292	0.485103452334758	-0.154768010907583	0.810037834931724	0.702761839850323	0.710505213927389	0.571127665118775	0.563740160100361	0.761378141598247	0.758895408776334	-0.411578567342595	0.266935168384463	0.728524182028288	0.917774727303866	0.866940841375165	0.869076104124078	0.788196398502908	0.946133002006069	0.588913929496566	0.726696557284691	0.818277716456889	0.855395576090494	0.85791524259166	0.828828357526487
