""	CD4	PTPRZ1	SIGLEC10	NCL	TREM2	CXCR4	TNFRSF1A	ITGB1	ITGB2	SORL1	LRP1	C5AR1	CD81	ITGAV	FPR1	LAIR1	CD44	PILRA	HAVCR2	C1QBP	ITGAX	CANX	CD3D	CD69	AQP1	CD163	CD47	PTPRC	SLC1A5	APLP2	CD63	PTPRA	C3AR1	TNFRSF1B	PLXDC2
LRP1	0.934688357917613	0.959470530909683	0.932028568014166	0.832612209685313	0.961412821900919	0.96394194395437	0.929958404427769	0.939128600395156	0.964021557985818	0.959339677189902	1	0.91849917703516	0.963576506213545	0.942243845161168	0.941007730477308	0.942865644916164	0.916488699179959	0.922146454313933	0.942319498643549	0.944691094481162	0.941349174453283	0.93758631809988	0.94767770322574	0.944009283577623	0.923317784616055	0.932117979622122	0.904124274194559	0.917049677845924	0.915299403834397	0.897575769391536	0.960348014123432	0.929435864510257	0.937673427607305	0.909294950530746	0.949572381387741
C5AR1	0.891819840800092	0.932248139811536	0.886791934580319	0.806062920002168	0.917592643196205	0.919504274571352	0.881599755737159	0.905270663800012	0.922078132456567	0.914436157994126	0.91849917703516	1	0.919596052731654	0.909559881965793	0.916774776112589	0.901887348259666	0.856420159530159	0.888495203719895	0.893497552813273	0.898785111731304	0.897148780982586	0.89423520921465	0.895090002320069	0.899636826859846	0.879512008681614	0.908501737685976	0.855628105776383	0.883179094890328	0.892072437256339	0.867937107029774	0.915093909817149	0.896702905157877	0.885232180740018	0.88351504121027	0.922437480475597
CD81	0.947274730261622	0.951947465366144	0.945892607910649	0.792636480145437	0.991594102330916	0.984013396607615	0.952194556094918	0.93682391824811	0.988363560995445	0.964489455464826	0.963576506213545	0.919596052731654	1	0.960132150269552	0.965492990298094	0.959956864973786	0.934250395726971	0.939233890759304	0.956410924938522	0.973177511285641	0.954163804851929	0.94683206735012	0.971326503609154	0.961182303367561	0.941737713939505	0.930687719076237	0.93181295452999	0.898505771768696	0.925768774087247	0.890662721058964	0.993204227554234	0.92902329335065	0.960841169884395	0.92535944152064	0.955959336194579
ITGAV	0.917237614675092	0.941802125415818	0.921828755046672	0.814435145200757	0.957450058737502	0.953723783795218	0.924526362859016	0.928087418079774	0.9535143235199	0.942422795023434	0.942243845161168	0.909559881965793	0.960132150269552	1	0.940558155763255	0.925617035551926	0.883087710486463	0.909583737449306	0.927904866225201	0.934716938620837	0.927639356843481	0.921340981250663	0.934776552834233	0.927477760448166	0.912721014840805	0.916679129333401	0.887508506557533	0.898517924956894	0.898860575003271	0.890575683277593	0.956459008906975	0.922172505995686	0.938758223686285	0.889132795845862	0.946263531135011
FPR1	0.916017433192093	0.931189680262232	0.928447597955804	0.787445470523393	0.960979719880459	0.955102545073539	0.919541815619345	0.913525226598783	0.960212721951306	0.937351801471417	0.941007730477308	0.916774776112589	0.965492990298094	0.940558155763255	1	0.935289299476327	0.901314951552737	0.907582053670194	0.920975146928184	0.933775685174638	0.913840567864625	0.915959029817549	0.940852836051739	0.928705990360995	0.901573676592254	0.906902653441508	0.899364994753379	0.879116173940749	0.905899213761385	0.862242660346179	0.963434840935038	0.911927374102829	0.925298462552067	0.899694494509844	0.93778616696157
LAIR1	0.925036488343421	0.927234096819736	0.914128405569633	0.783335518823582	0.955393901159843	0.950761908978883	0.922518136218264	0.908172267796041	0.960824861057473	0.9346292588762	0.942865644916164	0.901887348259666	0.959956864973786	0.925617035551926	0.935289299476327	1	0.891529987489991	0.917706395284357	0.931943043415078	0.936657003948237	0.930218909722312	0.914517262414119	0.93832870277916	0.93671227748862	0.899994406279001	0.901515272058691	0.893253918151498	0.876482818772762	0.908135214964866	0.865366714170147	0.959523890444596	0.905551050531528	0.928322618431094	0.903517565364103	0.931432657628147
CD44	0.901213633921003	0.896167391015197	0.893349496342647	0.764470437696598	0.928868727879904	0.920659039180929	0.90298625084095	0.875316862610784	0.926600708424469	0.920338596081363	0.916488699179959	0.856420159530159	0.934250395726971	0.883087710486463	0.901314951552737	0.891529987489991	1	0.885135080773376	0.89815450008391	0.914488057061171	0.899327637913663	0.896699171270182	0.909618682094461	0.908797389222054	0.892964705107519	0.870247611077664	0.902685377581735	0.848309688515735	0.860364063987471	0.850177909688704	0.928309293624739	0.86812632402461	0.896985603849443	0.870626433264345	0.898837790463147
PILRA	0.915142524030072	0.902822464875586	0.897698315122422	0.761033727518452	0.938404373514585	0.93220419071671	0.898233947329711	0.884404236101492	0.927617321715134	0.909105357298676	0.922146454313933	0.888495203719895	0.939233890759304	0.909583737449306	0.907582053670194	0.917706395284357	0.885135080773376	1	0.915323369808048	0.923567585003249	0.901779467615292	0.891619733374128	0.92363173574196	0.911706437274393	0.902245635999415	0.878186677812762	0.876533258419344	0.850917499347556	0.89139695450879	0.832736895161282	0.938585387349207	0.866552391886771	0.91246588070773	0.874931253976231	0.902846530922983
HAVCR2	0.916065712005278	0.933774770134597	0.895472926695143	0.806889178037683	0.948232954649093	0.950735191669737	0.916156271749709	0.917703237647	0.95338842993763	0.939395756407428	0.942319498643549	0.893497552813273	0.956410924938522	0.927904866225201	0.920975146928184	0.931943043415078	0.89815450008391	0.915323369808048	1	0.948070903270428	0.932145296970686	0.922721264976523	0.940779375399865	0.934345717607983	0.914051236295388	0.898960818756825	0.903742337489621	0.894251126126493	0.893068638546552	0.87651413539034	0.954561873056087	0.905494986900791	0.93284613105921	0.895871002890974	0.923508557393909
C1QBP	0.931365156624629	0.934141658786258	0.924442380879914	0.77064795075072	0.969764815749353	0.965951781254223	0.931818675837663	0.911351762846622	0.967487729107797	0.942737218961256	0.944691094481162	0.898785111731304	0.973177511285641	0.934716938620837	0.933775685174638	0.936657003948237	0.914488057061171	0.923567585003249	0.948070903270428	1	0.934639867281996	0.93408810186752	0.950379129832231	0.940717789620413	0.928860458502573	0.9142411893534	0.916206273574439	0.884228434886741	0.911932729597916	0.872409895915775	0.972733770126576	0.909706735954655	0.938441713873848	0.914750063594423	0.93258297550848
ITGAX	0.927535243922324	0.943038014901062	0.920202399041646	0.810190966393367	0.945890932419454	0.95268022442692	0.92403406848277	0.918669248896065	0.947907753310692	0.945438821903523	0.941349174453283	0.897148780982586	0.954163804851929	0.927639356843481	0.913840567864625	0.930218909722312	0.899327637913663	0.901779467615292	0.932145296970686	0.934639867281996	1	0.929023560174707	0.937618139479278	0.940189387263671	0.917873211886653	0.923109379111742	0.893316246534185	0.905923548059305	0.892139631988364	0.886962272020028	0.949661012551997	0.925324842121899	0.921912192668849	0.899849546127144	0.935382247572775
CANX	0.925703414290871	0.950291496151344	0.908011535223421	0.84521078061373	0.943187186996937	0.956690786678415	0.927127314878211	0.940699007956848	0.942955370192164	0.951910813366358	0.93758631809988	0.89423520921465	0.94683206735012	0.921340981250663	0.915959029817549	0.914517262414119	0.896699171270182	0.891619733374128	0.922721264976523	0.93408810186752	0.929023560174707	1	0.9212102424781	0.943299982173838	0.898319918011475	0.917989080450585	0.889751081497081	0.941371305175091	0.916949791124952	0.906838739122488	0.936443855058814	0.931414998990883	0.918854615319573	0.896706419136314	0.948047582083615
CD3D	0.929922184218491	0.928881740101703	0.910237422701534	0.762672590956594	0.967215644190607	0.962626702482197	0.92884330545024	0.91602363456147	0.962845795712561	0.94083952801957	0.94767770322574	0.895090002320069	0.971326503609154	0.934776552834233	0.940852836051739	0.93832870277916	0.909618682094461	0.92363173574196	0.940779375399865	0.950379129832231	0.937618139479278	0.9212102424781	1	0.942340632883461	0.920267020288827	0.908692508596211	0.904099995041922	0.868591084131581	0.904891426962542	0.863540115589134	0.969901236865139	0.906769450525841	0.934345750740695	0.897720274764492	0.920376488837558
CD69	0.9248735235286	0.947635748915854	0.920983355233429	0.814994979269996	0.959300617013758	0.960370398844329	0.931301107991657	0.936786879977297	0.958825987246599	0.948120353902185	0.944009283577623	0.899636826859846	0.961182303367561	0.927477760448166	0.928705990360995	0.93671227748862	0.908797389222054	0.911706437274393	0.934345717607983	0.940717789620413	0.940189387263671	0.943299982173838	0.942340632883461	1	0.911437987485176	0.908013839252759	0.898973992283511	0.906080790959878	0.908356499114722	0.893774619695115	0.962247074916032	0.921301175619415	0.929703577132926	0.913900717855764	0.933078572319738
AQP1	0.91370299808161	0.909886412237603	0.894401487424526	0.761710285021642	0.94437841686251	0.931805581087663	0.901809144369458	0.88632564498618	0.933610676985696	0.916082388541075	0.923317784616055	0.879512008681614	0.941737713939505	0.912721014840805	0.901573676592254	0.899994406279001	0.892964705107519	0.902245635999415	0.914051236295388	0.928860458502573	0.917873211886653	0.898319918011475	0.920267020288827	0.911437987485176	1	0.878652254289662	0.889282463432854	0.865299715101214	0.877349491256528	0.840139175424707	0.938570465236667	0.891078349382026	0.907350755852431	0.866812848930535	0.899494722838539
CD163	0.904063999208275	0.932128740697631	0.902586780535351	0.83192022223702	0.922400964828805	0.940587972154848	0.909022708317141	0.915441135793425	0.92554757418634	0.931570597370662	0.932117979622122	0.908501737685976	0.930687719076237	0.916679129333401	0.906902653441508	0.901515272058691	0.870247611077664	0.878186677812762	0.898960818756825	0.9142411893534	0.923109379111742	0.917989080450585	0.908692508596211	0.908013839252759	0.878652254289662	1	0.866577647178625	0.906615969042574	0.899528958166434	0.885819132616367	0.923122069499193	0.912002238659778	0.901577046006553	0.911238223273835	0.935444663848832
CD47	0.897932451136385	0.890428450948397	0.878935666901861	0.753991314701577	0.928740498516846	0.916554171635263	0.898208060571153	0.8745017751446	0.929745611278778	0.908808522761395	0.904124274194559	0.855628105776383	0.93181295452999	0.887508506557533	0.899364994753379	0.893253918151498	0.902685377581735	0.876533258419344	0.903742337489621	0.916206273574439	0.893316246534185	0.889751081497081	0.904099995041922	0.898973992283511	0.889282463432854	0.866577647178625	1	0.848693209026619	0.85905953571007	0.84810503782155	0.927776907457025	0.855370315296693	0.907697604598261	0.883744963840125	0.892434962197122
PTPRC	0.887363742017507	0.939262900259904	0.883971781116279	0.887733428526501	0.890219231902113	0.918188564863958	0.885751286964714	0.925622105972844	0.897783561108186	0.925311607650861	0.917049677845924	0.883179094890328	0.898505771768696	0.898517924956894	0.879116173940749	0.876482818772762	0.848309688515735	0.850917499347556	0.894251126126493	0.884228434886741	0.905923548059305	0.941371305175091	0.868591084131581	0.906080790959878	0.865299715101214	0.906615969042574	0.848693209026619	1	0.877519939482798	0.905333957265582	0.881768958548683	0.925203828425665	0.883602968507341	0.866621655262721	0.938868885925393
SLC1A5	0.904120029717608	0.911810738224109	0.890585270956985	0.758895356209903	0.927490919609761	0.929875010404835	0.898821078143302	0.889543060479572	0.921667285843563	0.909284302546635	0.915299403834397	0.892072437256339	0.925768774087247	0.898860575003271	0.905899213761385	0.908135214964866	0.860364063987471	0.89139695450879	0.893068638546552	0.911932729597916	0.892139631988364	0.916949791124952	0.904891426962542	0.908356499114722	0.877349491256528	0.899528958166434	0.85905953571007	0.877519939482798	1	0.854030477985238	0.925303910287645	0.876632444909215	0.891108394752779	0.867832656302815	0.919674048581399
APLP2	0.868937584754363	0.931946268865896	0.858018616094856	0.879536053984633	0.890698532554132	0.903682469482968	0.866305608887605	0.906581659453483	0.889493159584191	0.905117799075241	0.897575769391536	0.867937107029774	0.890662721058964	0.890575683277593	0.862242660346179	0.865366714170147	0.850177909688704	0.832736895161282	0.87651413539034	0.872409895915775	0.886962272020028	0.906838739122488	0.863540115589134	0.893774619695115	0.840139175424707	0.885819132616367	0.84810503782155	0.905333957265582	0.854030477985238	1	0.879115829260381	0.903929318808925	0.895495654532004	0.876510726107869	0.913065363912257
CD63	0.942645406892266	0.943747713196855	0.942349700491755	0.770150992011162	0.990651859164119	0.979215257362636	0.94743499467884	0.925321217814329	0.989084017747657	0.958339713866332	0.960348014123432	0.915093909817149	0.993204227554234	0.956459008906975	0.963434840935038	0.959523890444596	0.928309293624739	0.938585387349207	0.954561873056087	0.972733770126576	0.949661012551997	0.936443855058814	0.969901236865139	0.962247074916032	0.938570465236667	0.923122069499193	0.927776907457025	0.881768958548683	0.925303910287645	0.879115829260381	1	0.916955438467086	0.956514686575519	0.923297869164486	0.944793398426063
PTPRA	0.901654372361354	0.944583484545932	0.897788333781156	0.855262716987749	0.925398622335537	0.935591326688395	0.904892063451832	0.93456461721018	0.928266335909758	0.932960599669984	0.929435864510257	0.896702905157877	0.92902329335065	0.922172505995686	0.911927374102829	0.905551050531528	0.86812632402461	0.866552391886771	0.905494986900791	0.909706735954655	0.925324842121899	0.931414998990883	0.906769450525841	0.921301175619415	0.891078349382026	0.912002238659778	0.855370315296693	0.925203828425665	0.876632444909215	0.903929318808925	0.916955438467086	1	0.907261729647182	0.887044489366998	0.939536290664762
C3AR1	0.915663543880651	0.936182745842432	0.918787191290344	0.810690479915528	0.9588859397969	0.951989556020086	0.920890260109453	0.925551282195325	0.950823789465255	0.93841166444619	0.937673427607305	0.885232180740018	0.960841169884395	0.938758223686285	0.925298462552067	0.928322618431094	0.896985603849443	0.91246588070773	0.93284613105921	0.938441713873848	0.921912192668849	0.918854615319573	0.934345750740695	0.929703577132926	0.907350755852431	0.901577046006553	0.907697604598261	0.883602968507341	0.891108394752779	0.895495654532004	0.956514686575519	0.907261729647182	1	0.901118180967737	0.928879996833597
TNFRSF1B	0.890596261091869	0.918379402933296	0.885326669494894	0.809554997065342	0.919101854833657	0.92606655827065	0.905589486606695	0.896201811408731	0.929206672345793	0.916700498567512	0.909294950530746	0.88351504121027	0.92535944152064	0.889132795845862	0.899694494509844	0.903517565364103	0.870626433264345	0.874931253976231	0.895871002890974	0.914750063594423	0.899849546127144	0.896706419136314	0.897720274764492	0.913900717855764	0.866812848930535	0.911238223273835	0.883744963840125	0.866621655262721	0.867832656302815	0.876510726107869	0.923297869164486	0.887044489366998	0.901118180967737	1	0.914347535997889
PLXDC2	0.923830523059086	0.96330392429905	0.926679157950243	0.863284470270672	0.950925845154607	0.961526803199563	0.932102096312507	0.945671472673045	0.948895876390535	0.957584634779544	0.949572381387741	0.922437480475597	0.955959336194579	0.946263531135011	0.93778616696157	0.931432657628147	0.898837790463147	0.902846530922983	0.923508557393909	0.93258297550848	0.935382247572775	0.948047582083615	0.920376488837558	0.933078572319738	0.899494722838539	0.935444663848832	0.892434962197122	0.938868885925393	0.919674048581399	0.913065363912257	0.944793398426063	0.939536290664762	0.928879996833597	0.914347535997889	1
