""	CD4	PTPRZ1	SIGLEC10	NCL	TREM2	CXCR4	TNFRSF1A	ITGB1	ITGB2	SORL1	LRP1	C5AR1	CD81	ITGAV	FPR1	LAIR1	CD44	PILRA	HAVCR2	C1QBP	ITGAX	CANX	CD3D	CD69	AQP1	CD163	CD47	PTPRC	SLC1A5	APLP2	CD63	PTPRA	C3AR1	TNFRSF1B	PLXDC2
CD4	1	0.925580354178722	0.905705219281368	0.79436582501112	0.945273713709575	0.941473155991985	0.925423066340904	0.905063234284287	0.946189413275373	0.935755169395938	0.934688357917613	0.891819840800092	0.947274730261622	0.917237614675092	0.916017433192093	0.925036488343421	0.901213633921003	0.915142524030072	0.916065712005278	0.931365156624629	0.927535243922324	0.925703414290871	0.929922184218491	0.9248735235286	0.91370299808161	0.904063999208275	0.897932451136385	0.887363742017507	0.904120029717608	0.868937584754363	0.942645406892266	0.901654372361354	0.915663543880651	0.890596261091869	0.923830523059086
PTPRZ1	0.925580354178722	1	0.920970070694306	0.878584883826771	0.948844474364857	0.956960887043898	0.928249697800014	0.954796710497513	0.951716293031293	0.965281870574911	0.959470530909683	0.932248139811536	0.951947465366144	0.941802125415818	0.931189680262232	0.927234096819736	0.896167391015197	0.902822464875586	0.933774770134597	0.934141658786258	0.943038014901062	0.950291496151344	0.928881740101703	0.947635748915854	0.909886412237603	0.932128740697631	0.890428450948397	0.939262900259904	0.911810738224109	0.931946268865896	0.943747713196855	0.944583484545932	0.936182745842432	0.918379402933296	0.96330392429905
SIGLEC10	0.905705219281368	0.920970070694306	1	0.790087408977842	0.943963140184503	0.940932138329987	0.925301391825265	0.898435462289937	0.939061170535271	0.926993273505463	0.932028568014166	0.886791934580319	0.945892607910649	0.921828755046672	0.928447597955804	0.914128405569633	0.893349496342647	0.897698315122422	0.895472926695143	0.924442380879914	0.920202399041646	0.908011535223421	0.910237422701534	0.920983355233429	0.894401487424526	0.902586780535351	0.878935666901861	0.883971781116279	0.890585270956985	0.858018616094856	0.942349700491755	0.897788333781156	0.918787191290344	0.885326669494894	0.926679157950243
NCL	0.79436582501112	0.878584883826771	0.790087408977842	1	0.792461621512705	0.81412727591162	0.792021625503011	0.884980613790281	0.791622855781619	0.838176504135666	0.832612209685313	0.806062920002168	0.792636480145437	0.814435145200757	0.787445470523393	0.783335518823582	0.764470437696598	0.761033727518452	0.806889178037683	0.77064795075072	0.810190966393367	0.84521078061373	0.762672590956594	0.814994979269996	0.761710285021642	0.83192022223702	0.753991314701577	0.887733428526501	0.758895356209903	0.879536053984633	0.770150992011162	0.855262716987749	0.810690479915528	0.809554997065342	0.863284470270672
TREM2	0.945273713709575	0.948844474364857	0.943963140184503	0.792461621512705	1	0.97991039806266	0.94491593453277	0.932002033076272	0.985404766321378	0.958718998290679	0.961412821900919	0.917592643196205	0.991594102330916	0.957450058737502	0.960979719880459	0.955393901159843	0.928868727879904	0.938404373514585	0.948232954649093	0.969764815749353	0.945890932419454	0.943187186996937	0.967215644190607	0.959300617013758	0.94437841686251	0.922400964828805	0.928740498516846	0.890219231902113	0.927490919609761	0.890698532554132	0.990651859164119	0.925398622335537	0.9588859397969	0.919101854833657	0.950925845154607
CXCR4	0.941473155991985	0.956960887043898	0.940932138329987	0.81412727591162	0.97991039806266	1	0.944206103772212	0.944320754166572	0.976163854657754	0.961713444641683	0.96394194395437	0.919504274571352	0.984013396607615	0.953723783795218	0.955102545073539	0.950761908978883	0.920659039180929	0.93220419071671	0.950735191669737	0.965951781254223	0.95268022442692	0.956690786678415	0.962626702482197	0.960370398844329	0.931805581087663	0.940587972154848	0.916554171635263	0.918188564863958	0.929875010404835	0.903682469482968	0.979215257362636	0.935591326688395	0.951989556020086	0.92606655827065	0.961526803199563
TNFRSF1A	0.925423066340904	0.928249697800014	0.925301391825265	0.792021625503011	0.94491593453277	0.944206103772212	1	0.913905295446007	0.946995564404073	0.948909959149323	0.929958404427769	0.881599755737159	0.952194556094918	0.924526362859016	0.919541815619345	0.922518136218264	0.90298625084095	0.898233947329711	0.916156271749709	0.931818675837663	0.92403406848277	0.927127314878211	0.92884330545024	0.931301107991657	0.901809144369458	0.909022708317141	0.898208060571153	0.885751286964714	0.898821078143302	0.866305608887605	0.94743499467884	0.904892063451832	0.920890260109453	0.905589486606695	0.932102096312507
ITGB1	0.905063234284287	0.954796710497513	0.898435462289937	0.884980613790281	0.932002033076272	0.944320754166572	0.913905295446007	1	0.933076604805795	0.949703488844431	0.939128600395156	0.905270663800012	0.93682391824811	0.928087418079774	0.913525226598783	0.908172267796041	0.875316862610784	0.884404236101492	0.917703237647	0.911351762846622	0.918669248896065	0.940699007956848	0.91602363456147	0.936786879977297	0.88632564498618	0.915441135793425	0.8745017751446	0.925622105972844	0.889543060479572	0.906581659453483	0.925321217814329	0.93456461721018	0.925551282195325	0.896201811408731	0.945671472673045
ITGB2	0.946189413275373	0.951716293031293	0.939061170535271	0.791622855781619	0.985404766321378	0.976163854657754	0.946995564404073	0.933076604805795	1	0.964867245893245	0.964021557985818	0.922078132456567	0.988363560995445	0.9535143235199	0.960212721951306	0.960824861057473	0.926600708424469	0.927617321715134	0.95338842993763	0.967487729107797	0.947907753310692	0.942955370192164	0.962845795712561	0.958825987246599	0.933610676985696	0.92554757418634	0.929745611278778	0.897783561108186	0.921667285843563	0.889493159584191	0.989084017747657	0.928266335909758	0.950823789465255	0.929206672345793	0.948895876390535
SORL1	0.935755169395938	0.965281870574911	0.926993273505463	0.838176504135666	0.958718998290679	0.961713444641683	0.948909959149323	0.949703488844431	0.964867245893245	1	0.959339677189902	0.914436157994126	0.964489455464826	0.942422795023434	0.937351801471417	0.9346292588762	0.920338596081363	0.909105357298676	0.939395756407428	0.942737218961256	0.945438821903523	0.951910813366358	0.94083952801957	0.948120353902185	0.916082388541075	0.931570597370662	0.908808522761395	0.925311607650861	0.909284302546635	0.905117799075241	0.958339713866332	0.932960599669984	0.93841166444619	0.916700498567512	0.957584634779544
