""	PARD3	TNFRSF1A	TFRC	EGFR	SDC4	CD9	NRCAM	ERBB2	NOTCH4	TNFRSF11B	CAV1	ITGB8	MET	TNFRSF10B	NECTIN1	PVR	SDC2	RIPK1	LRP6	IGF2R	PLXNB1	AQP1	PTPRA	ADCYAP1R1	MYLK	TSPAN5	F2R	APLP2	LDLR	CANX	CADM1	INSR	SMAP1	LPP	TSPAN12	SIRPA	PLXNB2	KCNJ10	CXADR	ADCY8	NECTIN2	LTBR	NOTCH3	ADORA1	EDNRA	CNR1	CD99L2	LIFR	MTTP	THY1	SLC16A1	IGF1R	SORT1	SMAD3	LRP1	NOTCH2	TNFRSF19	PTPRS	CD81	TGFBR3	NOTCH1	PTPRZ1	MCFD2	EDNRB	TRAF2	GPR37	GPR37L1	MCAM	TNFRSF14	ITGB1	CD44	ADCY9	PILRB	UNC5B	GPC1	RXRA	SDC3	CD63	ITGB5	GPNMB	ADGRE5	TSPAN17	SLC16A7	ITGAV	NCL	ITGA2	NRP2	LAMP1	IL6R	ERAP1	SORL1	NRP1	TSPAN14	TLR4	IL17RC	ITGA6	CD74
PARD3	1	0.929092011867296	0.678188068346695	0.863289611885167	0.752801753604994	0.818782161394764	0.905357477839953	0.906913775749569	0.796137934292968	0.853416947569085	0.401209127153386	0.902637987196397	0.446926148081945	0.929964325143287	0.896974643386708	0.781241801620348	0.91409220779966	0.93714697373064	0.925445494508833	0.902864120927027	0.866236056817756	0.862018588994943	0.934769635037194	0.801326608898238	0.825176713194393	0.871995940979705	0.713478170519614	0.936034658475898	0.870792013023865	0.934126101545954	0.872498089924383	0.553797390911082	0.906666828231132	0.936700899494352	0.848153069304251	0.898953502296047	0.922787377001078	0.782740350225376	0.70112417665516	0.690500099561584	0.892056746449973	0.934064047262065	0.514433285837756	0.866547644776713	0.736462977604355	0.89985322358045	0.883877681256336	0.89133041146941	0.87719463838532	0.78416859418384	0.836161525374652	0.890147572731793	0.936170090832258	0.884234256117303	0.884086810282813	0.933735650238756	0.857169966681207	0.815913143439674	0.905504444400849	0.611725866824952	0.864154419114461	0.872448769335503	0.943636852401	0.857719727061526	0.814321511565837	0.904135547747901	0.68301456115934	0.770623508087275	0.860276970723559	0.930301618576035	0.900424315364281	0.901728122138237	0.864163425236047	0.27989938133671	0.89713771920148	0.833337374276119	0.855228720559692	0.908247138846238	0.881307871845835	0.57926441364747	0.865116158389876	0.790376792832644	0.898919159758304	0.890941943315059	0.933709350356216	0.906349228264205	0.869317201098306	0.940439993960658	0.830376792183414	0.885056215768583	0.865888834507461	0.839941701089099	0.838921338259041	0.813138948226407	0.904421648307961	0.8025273497443	0.087465627880363
TNFRSF1A	0.929092011867296	1	0.621061970016123	0.780959674893531	0.732833147416154	0.858937807960156	0.932598352930867	0.906946598548495	0.773724040801533	0.827407944269329	0.354479966943592	0.890174261291994	0.406604040466115	0.950068218143422	0.930649360598379	0.757529552304747	0.887975575885405	0.935507429902687	0.907300989890871	0.867771831366674	0.881351499922267	0.892540889213214	0.955936716838524	0.832864369939496	0.803948395975518	0.86507372428411	0.681224748955751	0.933749442221266	0.835048182918517	0.914839818559271	0.877150577734382	0.491000335602656	0.898347956921728	0.932880296672343	0.835376749248791	0.897319572937744	0.935797175459036	0.80019865559835	0.654545418900348	0.668797388210985	0.909467425592707	0.967170642673328	0.464263511923412	0.908127650592128	0.726614639264094	0.932756537352401	0.931757086938936	0.89825906877042	0.904736552867145	0.796300756337224	0.807484420981063	0.903844532818259	0.955912787314932	0.894086413571836	0.891064623948977	0.940694116246542	0.883414642593895	0.801580043960763	0.951181282160765	0.557473042439039	0.846001967065105	0.891976973521193	0.941731095382652	0.868816803893592	0.792000149165435	0.953976136775914	0.651589322520259	0.704436390591737	0.913853877436499	0.916251863727395	0.957072938409734	0.90862694561779	0.821210802794081	0.212156987048281	0.894270239413154	0.810217123687555	0.869983684957837	0.945676258540342	0.857127776402145	0.511997402699876	0.827648144912598	0.815735901157223	0.879278378499287	0.918819762909176	0.903896231745545	0.905573791347972	0.918595603180359	0.946202605241423	0.889340360981384	0.900051495338602	0.904122872692617	0.809105504209422	0.810604438602763	0.837932090414142	0.904315365370037	0.802949835255754	0.0502200596840841
TFRC	0.678188068346695	0.621061970016123	1	0.829080072919058	0.91175910441231	0.789286596131778	0.489343514001769	0.624749439561578	0.535667745725462	0.80445642356899	0.836089967828989	0.506477968633579	0.854690196478489	0.738625868877754	0.53955405691266	0.872864682777311	0.822646518638818	0.721426911304898	0.618327240798954	0.708954499556547	0.472966022832394	0.483767064741183	0.666063163651838	0.628600903139145	0.501270435445227	0.50527923237772	0.572836297881181	0.594691853795099	0.724600678636048	0.783868073317609	0.486886141055084	0.525927879358392	0.753527541060009	0.68784161455662	0.475854356968335	0.834064127819321	0.643156054299269	0.357437306655835	0.88336606177667	0.795263899316509	0.670898188431291	0.716553149016109	0.874672533714266	0.536808028325897	0.696421253511663	0.514107349371833	0.453001626714628	0.574886378298964	0.46892418298618	0.295117073200513	0.912145920811897	0.648258828344752	0.581940779560984	0.553198166940468	0.848639252962162	0.624094323281435	0.504852280996405	0.576164746424142	0.509453028853626	0.836297110994325	0.484846973850587	0.445041199772055	0.779590048440734	0.38860342137701	0.610022191460988	0.482239176126016	0.318617713267962	0.493556678098114	0.429244614855555	0.635581876072126	0.603277820052972	0.586222610539505	0.628003237119271	0.811484837851558	0.6488084286903	0.777540184095006	0.397246189605011	0.629747132750159	0.578611371460686	0.851131187164115	0.670554379625286	0.694206918720744	0.612480954468157	0.442336285164884	0.764428516871414	0.49986142315181	0.395140689319857	0.623948157720681	0.414104705490345	0.500346748017751	0.477739523077627	0.740099937187422	0.543144234574369	0.507422538283608	0.552996851758797	0.380142805644431	0.077650698850283
EGFR	0.863289611885167	0.780959674893531	0.829080072919058	1	0.813037414804101	0.84060809227726	0.749739110520964	0.824718297113475	0.784578871290388	0.896365073597815	0.600210686208037	0.806343172324781	0.580248065129648	0.88373448171277	0.756431531231813	0.861108817517648	0.931229310976941	0.868730660078888	0.839547981432626	0.855768355128768	0.776825891050625	0.726455910613537	0.862423686755005	0.808931201476675	0.745563166265213	0.832544287860653	0.731175280041361	0.852427171668542	0.911621820921781	0.919032717165339	0.787919632695797	0.617002876720872	0.884441709842124	0.853205363075898	0.805196363114804	0.906858667576822	0.833149787260281	0.69808107101974	0.794734105576723	0.728316390537989	0.811047961792817	0.830999621773023	0.721258373150422	0.778972056295781	0.723031145281754	0.701855740882898	0.710517217352692	0.818946533184595	0.763763507606928	0.668561802074417	0.903081638369092	0.761219678381055	0.809730373120394	0.787449309379456	0.900456793129002	0.845904786274369	0.763500420825793	0.776941038882647	0.773114725681452	0.726603121434552	0.815941924644843	0.753401543065423	0.904376510794184	0.732877063339007	0.793889361678198	0.733034763794965	0.70384493417459	0.766878575137412	0.688543252504475	0.878076851485111	0.719822651153114	0.804376287991597	0.856897758272705	0.528149374878478	0.83895462461327	0.826909072341419	0.730832262389104	0.828968143790143	0.817726306502281	0.71519493238532	0.885569188174765	0.735698242517528	0.839893487592791	0.734341401772019	0.9254367860831	0.800653070991519	0.662682387800496	0.838814834076372	0.60023535742378	0.744824435804903	0.724327225250096	0.867360098857181	0.798636385280093	0.733028031355872	0.805846978722741	0.716309943558165	0.136066334159809
SDC4	0.752801753604994	0.732833147416154	0.91175910441231	0.813037414804101	1	0.837222860284817	0.618539988194151	0.699726784270512	0.602042415671992	0.787315100228549	0.770258598734681	0.584930719517626	0.790141982750279	0.813889011496781	0.659220928163032	0.871097175641649	0.867959845138028	0.808463591655514	0.682765437452171	0.784952372937599	0.555418097064482	0.634864828237734	0.728459773849472	0.653004244411635	0.604032892851906	0.569465259411498	0.622228877440443	0.701912143760696	0.778520546012601	0.839376790825645	0.558191034973944	0.572697202664477	0.791341801999879	0.797513771177719	0.528758287842676	0.882959832041001	0.757355873808743	0.426301650748912	0.835386629457013	0.806409552096391	0.763839902544152	0.807210135829036	0.817070733249377	0.609715690314042	0.78339411513145	0.662865584690602	0.591752558674676	0.620218831903626	0.571857445129297	0.373818975477555	0.941755031415187	0.771056737366662	0.708262750165598	0.606887220158176	0.902116011392989	0.706061649886982	0.582146796126856	0.624248845946644	0.61375851586896	0.799741933438024	0.543146819635702	0.519428141498782	0.828163874137757	0.478439869178948	0.620670744018699	0.606625596731392	0.336481921161746	0.557482028826174	0.565784155540189	0.713962675468627	0.742815717417332	0.708409129837216	0.694640832645411	0.736260175468932	0.728787300101655	0.823795916635191	0.483963074927184	0.712795406439086	0.682057781069471	0.875513866244057	0.736842266718276	0.7766895724791	0.720593044854619	0.559998512263979	0.807608450446272	0.589373909407269	0.524558049355453	0.718691899820006	0.555594132115143	0.60327827179668	0.622752476149484	0.800603158634166	0.639509667825366	0.624354026886169	0.650193972414681	0.43716975888611	0.120147143021587
CD9	0.818782161394764	0.858937807960156	0.789286596131778	0.84060809227726	0.837222860284817	1	0.743446565536549	0.795875754303244	0.666135029712986	0.869900284611887	0.65589214550106	0.71190475908617	0.603947588114379	0.878153795856678	0.741680506482154	0.844068253844411	0.91625489464597	0.854729744069353	0.773077419800794	0.762184066312422	0.703918417068172	0.714945895200334	0.836476934341718	0.771993959114336	0.663114499576491	0.735711964605137	0.609241613021169	0.79713471117068	0.797282288631168	0.861455340039483	0.713161392463748	0.466848259744627	0.850317947589042	0.814263786489091	0.704673618437561	0.898180452952039	0.814385451872891	0.597684420760144	0.77538900663897	0.749649634967812	0.796788009864134	0.850866921745964	0.720736052955158	0.806380864373199	0.726286894383392	0.744772464309934	0.721802107744105	0.763190501232645	0.719042486221526	0.592885657290162	0.900169457305088	0.775913828499945	0.80367728897523	0.726408932640837	0.933449858576179	0.793634697042656	0.715157328290131	0.682931893745558	0.786296787526492	0.622875320758333	0.675749985069072	0.696483398433113	0.891926557934862	0.657004327652336	0.725934859926191	0.761473839729201	0.546867948514485	0.564748840453984	0.718830522515536	0.793921262535451	0.79677384012484	0.759059012483163	0.70766294612879	0.533429989338156	0.787231286086127	0.780827617355491	0.648396352467451	0.864495829267445	0.725427138070673	0.650454136357172	0.784372878777543	0.801485525631689	0.790465156137582	0.694281338501256	0.864058420802464	0.727939504516219	0.65719882904308	0.798343608599513	0.622550091005766	0.70120515341977	0.713754807600052	0.784476648764973	0.655071312252769	0.680022501853209	0.810030396691986	0.59220084154862	0.00591878495962759
NRCAM	0.905357477839953	0.932598352930867	0.489343514001769	0.749739110520964	0.618539988194151	0.743446565536549	1	0.889012115077282	0.813576836380899	0.746865566973806	0.179740921425204	0.953621472795532	0.262844050754521	0.88958047365047	0.927963119783525	0.64980023201242	0.842481959272587	0.915550575948034	0.94892767835949	0.876241754303669	0.863537259158287	0.92437468852054	0.91617608442031	0.773547358587278	0.832807675833598	0.892163287305985	0.734385155449893	0.959917506564129	0.838414174364149	0.880677002661426	0.902556015527411	0.550168258951904	0.811720387997677	0.925070190996525	0.875444643484376	0.817963078330666	0.898210040451808	0.85430158871553	0.521845687977494	0.634061779461884	0.837885230479814	0.893379237152475	0.316286098348539	0.87603852978378	0.675973823409873	0.951788587734753	0.944999395836026	0.91100796521769	0.937348167656933	0.823610684253927	0.712113868907322	0.853698000993415	0.950973923436855	0.915729822067434	0.806535491418162	0.947440227873178	0.896778260508019	0.841599577392452	0.923893943233003	0.449027164757098	0.894616966726038	0.943555306737467	0.877843202141185	0.905898751672851	0.756346356874385	0.96560312729741	0.684493121741338	0.785868202138891	0.914658236089947	0.931843814232547	0.9264364287451	0.933676670710765	0.872453897554643	0.0687030315574195	0.858430121423254	0.742931119699655	0.913526477438484	0.889610381665928	0.883325530004609	0.427391220152182	0.822291592111868	0.697228000145525	0.880057214916088	0.961948257362494	0.8836219543276	0.930701750540356	0.953523248076907	0.938643104619175	0.883449663131765	0.904600254893824	0.924980414980079	0.81969385841159	0.885254448861659	0.845011686385089	0.891445201722917	0.861074251763216	0.0652863523336414
ERBB2	0.906913775749569	0.906946598548495	0.624749439561578	0.824718297113475	0.699726784270512	0.795875754303244	0.889012115077282	1	0.791617541354078	0.807682274899558	0.345359525392202	0.870506022988166	0.391988938176642	0.907580061225041	0.856953673055484	0.737851310207251	0.857699453953314	0.902440839392759	0.896246268260299	0.86895674114508	0.840090011247162	0.860466541741036	0.899106458639662	0.806680695691085	0.792868459048054	0.86410311512944	0.69359062543702	0.916392308829776	0.850230867426638	0.883960012862699	0.855312684879549	0.56288054550537	0.841863873177567	0.900075367497171	0.84133823884417	0.876792379074705	0.91342667938182	0.771853787563433	0.647747527043231	0.703972678978231	0.863746538089867	0.89263475071292	0.479260724309592	0.87321133626678	0.704119711242412	0.876044179449582	0.872229607535104	0.878452004705702	0.88106306103271	0.753416400917718	0.79902168419819	0.869594605120199	0.902743265327292	0.83805577645482	0.864140120827948	0.915432774629494	0.83716447900597	0.811028722365297	0.8794564989545	0.567557857627724	0.861262012595971	0.864937949375075	0.900019236406659	0.834109732343354	0.768214682931683	0.908721358519827	0.678112562626757	0.752004720663074	0.835660545858804	0.905998595479085	0.870049903553639	0.888753498141083	0.848642669092133	0.259964006420285	0.867903195891129	0.778746030344891	0.844222996362745	0.864634209550265	0.842606304220517	0.536269151212024	0.828662802163431	0.728076899643515	0.85830149864883	0.878083334580083	0.877301732352315	0.893726273702629	0.847880179930966	0.912491091229155	0.814058525848549	0.883592952425311	0.866949129687761	0.820367702146381	0.822126961381123	0.800213986169407	0.851675432031529	0.798399575930019	0.096765493102293
NOTCH4	0.796137934292968	0.773724040801533	0.535667745725462	0.784578871290388	0.602042415671992	0.666135029712986	0.813576836380899	0.791617541354078	1	0.697113278339734	0.280007180568073	0.842913968467905	0.318535665394005	0.806950302155785	0.796426376786528	0.693490368395583	0.777992209595961	0.774509352410401	0.857462610470075	0.853599868386221	0.77652491979516	0.856552273624752	0.819884953282211	0.705270830007878	0.742819259271797	0.847396763809791	0.836649141363246	0.852025510547924	0.822318626609972	0.822951805631514	0.827157900571229	0.801031289036963	0.766161354020963	0.822184674906753	0.813230006291736	0.755588309892373	0.787128811138721	0.764373372171311	0.521985752406846	0.576778650669509	0.786592593421697	0.789884601960521	0.416156390919283	0.799088152339135	0.584006319330703	0.739195147835709	0.773789102822268	0.82459003086724	0.807740857452003	0.733799631724665	0.672536296327407	0.6909815235958	0.821370000438678	0.81192070256247	0.733516036577081	0.826295787575068	0.802655631505958	0.769436487932989	0.798110305874655	0.539277452716049	0.876167463535118	0.808094298127436	0.795211272457752	0.808351676246856	0.729677720766856	0.791186625361738	0.709067395000356	0.892637506259549	0.791069920746006	0.90283002271578	0.732343558325461	0.793712561589457	0.834293765573254	0.202308599023912	0.792924487852891	0.693099647425758	0.799640158907841	0.789816110980053	0.87625300212282	0.465028480229673	0.79417084324384	0.691088554143989	0.785873595548201	0.794297865385111	0.809864922820104	0.846900469971158	0.766371687533877	0.861261090767916	0.701741133681538	0.779003431721195	0.784003499079972	0.881337007339735	0.873757325013011	0.757183145155354	0.818219250879914	0.83586878182063	0.187536678529245
TNFRSF11B	0.853416947569085	0.827407944269329	0.80445642356899	0.896365073597815	0.787315100228549	0.869900284611887	0.746865566973806	0.807682274899558	0.697113278339734	1	0.530775101031433	0.776415664738195	0.523864760854476	0.881255669369668	0.747218385360941	0.79641155939508	0.889801639204718	0.864411161719303	0.83620448387693	0.823342593504361	0.764022126389663	0.703251776993037	0.867501026333367	0.852128740345499	0.67789728546573	0.789353481774152	0.635924948896224	0.822725720954728	0.835346340831486	0.88056930381491	0.770225223602639	0.483236410322803	0.841760014020558	0.822629126560399	0.773295091455518	0.910200271885093	0.839453651376664	0.689412449231395	0.767681724424955	0.735143162158845	0.770314320506977	0.842051966681488	0.674660301486183	0.812383962980586	0.727715522063804	0.719050574129635	0.732594114506031	0.829676691093405	0.761681467657758	0.63996867512639	0.881425809420411	0.794173269344904	0.821622236957953	0.795031772904559	0.914688836561399	0.852540218431165	0.758950962608954	0.739714340894619	0.786127304013051	0.65903314103997	0.769040230765761	0.770305866801787	0.889032811716005	0.728404518257429	0.735083252278468	0.773055397749184	0.632096902907882	0.633929871439656	0.708159934240721	0.825047330918056	0.75218090862294	0.799739929711853	0.763584702998122	0.461040832110524	0.806764425464361	0.792565273503475	0.726452861445606	0.812183558058535	0.741146497571859	0.648815392615338	0.783260915527623	0.753685132731997	0.827686128867099	0.751274551080535	0.881708972737315	0.780187110165631	0.688561297208077	0.816453693459377	0.663871843745792	0.751939707563414	0.730246934748996	0.792955282666988	0.72898070925906	0.714251247188414	0.78915133397745	0.69601536031217	0.0886573826576423
