""	CD69	LAG3	ITGAL	ITGA4	PTPRC	CXCR6	SIGIRR	IL2RG	IFITM1	CTLA4	CD2	SELL	CD82	IL2RA	CCR4	CXCR4	PTGER4	CD47	SPN	CD6	ITGA6	RIPK1	TNFRSF1B	CD3D	CXCR3	CD27	CD28	CCR5	ITGB1	ITGB2	CD7	CD4	TSPAN5	CD226	CD44	CD3G	S1PR4	PTPRJ	RPSA	CCR6	SLC1A5	LDLR	CLEC2D	CD96	RACK1	F2R	ICOS	SMAD3	TIGIT	SIRPG	CD63	ADGRE5	SORL1	IL6R	TNFRSF14	TSPAN14	CD8A	C1QBP	JMJD6	SLC16A7	CD46	NOTCH1	TFRC	SMAP1	LRP10	NOTCH2	CD81	TRADD	LPP	HAVCR2	TNFRSF25	PDCD1	CD247	CD8B	TNFRSF1A	ADCY7	IFNAR1	CRTAM	KLRD1	IGF2R	ACTR2	CAP1	FAS	HLA.DPB1	CD74	PILRB	PTGER2	ATP5F1B	VSIR	STX4	CANX	SLC16A1	PTPRA	KLRB1	LAMP1	APLP2
CD69	1	0.159634614114437	0.361568547985978	0.484003822251475	0.699707857396781	0.217342321754635	0.77715949082133	0.713697591814191	0.934899547890961	0.395587476163877	0.685683666183289	0.843148458470532	0.708345214401105	0.431182589068353	0.788315610498653	0.908465782729447	0.925157380442284	0.821018953931376	0.629988744488097	0.776437713210435	0.346957011873882	0.625514216587394	0.487639296728235	0.822860232893138	0.324687157579498	0.476453862665053	0.706855642310505	0.139161127418902	0.618753683104238	0.610895387606019	0.660617836664612	0.624271506911461	0.665313648871196	0.737565833700294	0.759262488952557	0.84939909582695	0.775414277174539	0.298032914905395	0.894586976975992	0.707858999681392	0.562509640071447	0.69197380413057	0.739301945133673	0.693066048822973	0.898681656632363	0.0081065477727827	0.714685436493927	0.722608691134361	0.292773139780366	0.407955517058971	0.331643080765687	0.731161159485029	0.826894379641915	0.607622246386273	0.86964502417346	0.71644702527796	-0.0370078160630868	0.667529026031443	0.450990136729766	0.692707279670347	0.669841491708053	0.486953061928009	0.48954593619546	0.777315491420574	0.709293072567283	0.604275996818111	0.410820557668962	0.857993692359479	0.487344660369176	0.14686550381744	0.827145098015746	0.413129060840018	0.68499467453869	-0.00702912412511158	0.316810966410643	0.507223230253355	0.551156993833319	0.0741390539369577	-0.0959633901714043	0.458351734462566	0.626456539864773	0.606920621799454	0.72087126193634	0.268515525269983	0.341148258105193	0.252981819354454	0.833213783818904	0.581120937229309	0.810827127530201	0.596669296297811	0.486205933121766	0.446763804652577	0.685986257055935	0.797840239831348	0.540202905176117	0.254824699311104
LAG3	0.159634614114437	1	0.675878661752488	0.684130772417031	0.572414193978117	0.762352092838129	0.55798818002055	0.685167503782767	0.184194679035432	0.712356306400215	0.709988266674122	0.0712227357051017	0.58236971476633	0.702855933394585	0.152952665022627	0.309737741323481	0.0568285072555242	0.462279254926177	0.646127859111459	0.542175477094012	0.189139277504329	0.474894804425191	0.653299662761743	0.582368388239798	0.695021702388705	0.601252342935915	0.529172426963621	0.713118410294893	0.381994362167296	0.64531079348653	0.685499935428485	0.58314325337591	0.641160956250327	0.425172861988087	0.436689938717275	0.492542675988926	0.515698431260915	0.642524256919693	0.141762307458347	0.395837546970372	0.496797493718235	0.405304625450061	0.494310948617207	0.636060081184911	0.244664303025791	0.471766932499012	0.453154349468931	0.330746022059343	0.555300208313014	0.715410748806501	0.392937724490136	0.526639920947006	0.231609101037909	0.47039440250643	0.415781180581806	0.455444921065996	0.342787117572274	0.363349974012153	0.501483753739061	0.40280826266413	0.456232952334085	0.500122540244911	0.673477346196043	0.477563936258173	0.578149271214698	0.577236580061139	0.523577334345799	0.305273770313795	0.411583365337099	0.640706783396409	0.352747274356341	0.714266724261194	0.68473443606566	0.301809634554872	0.418723292363857	0.529635563124634	0.440896536737674	0.279787187627226	0.239969265069755	0.587738456679667	0.550779672741444	0.59460995989853	0.542546128854713	0.419412463989118	0.470787807400519	0.46914770224153	-0.0379641398604458	0.495948138032422	0.394339524868226	0.486046572723772	0.458979297860504	0.526228033069594	0.516694789404384	0.234626011813391	0.544733297250869	0.364753628380499
ITGAL	0.361568547985978	0.675878661752488	1	0.786788939188196	0.801713217559854	0.674950146170439	0.644718066962579	0.66587465143108	0.360286481128117	0.532709249389626	0.719555910133184	0.250829344423528	0.54112598210802	0.548429507191225	0.236499779399973	0.575942086000613	0.2703939160889	0.627163562502115	0.707352442149899	0.578601848088091	0.3204107766517	0.656029552909393	0.643859946242622	0.6213468979707	0.724375004682779	0.731496234021084	0.545573861897645	0.831876249475092	0.491345898061	0.77103253723303	0.586523234586945	0.571141034629307	0.730146206200992	0.42230168623643	0.694228644748326	0.617695421752116	0.554893912705843	0.782281302644986	0.22557828234228	0.35458931592777	0.588105247102649	0.581115678655994	0.70197992712573	0.731722129912994	0.343456680229455	0.714894860371559	0.484653939250442	0.514553583680034	0.597847660872042	0.645333397139677	0.472971279856189	0.780783839733036	0.460400916711162	0.510220127025543	0.573824052234687	0.62135833441728	0.608654437696735	0.403426905228639	0.724705831480204	0.6650735544742	0.650133902659137	0.657695991735906	0.651457304476723	0.531280226054322	0.609420292806571	0.560423863297213	0.689474826706161	0.28946221985951	0.583389852038267	0.582219290572948	0.349679983750009	0.623758839755012	0.686565830998329	0.557486777412776	0.505513562448864	0.780826460829451	0.574585169356194	0.591850191099837	0.390785536524171	0.726960197308587	0.66637069990758	0.647227020104205	0.520567449619371	0.57081678860917	0.589792194963146	0.780291210239458	0.118352203266481	0.532333646278542	0.455486160174673	0.652373508768886	0.561860624486459	0.622289150628734	0.677845853083794	0.156891715135303	0.638823098829363	0.489159733203999
ITGA4	0.484003822251475	0.684130772417031	0.786788939188196	1	0.879057952130592	0.747313392522986	0.762204429396046	0.806926415458781	0.430721248595117	0.766887759505482	0.861748613457534	0.385333004878335	0.736737581640101	0.772650879030032	0.498073315675289	0.612237491147919	0.414780524633347	0.766930484038879	0.829791768148723	0.733006551693521	0.478380623195088	0.801851461659594	0.840591227510073	0.765657250095288	0.72297240756115	0.782902695783806	0.784504377985835	0.724023354849098	0.710130706597616	0.824242341790061	0.750609445185929	0.797359979375906	0.838772791088815	0.650524813103677	0.785589164302594	0.762955837221956	0.757684059144013	0.814211568920388	0.403091620821058	0.639109452622889	0.772843318894533	0.740463585690995	0.812877875216079	0.786678993063922	0.52519234725254	0.537945630328862	0.728220934286291	0.68786807439582	0.724955339176462	0.789529553802631	0.606279894476517	0.819103798666456	0.586455964687782	0.745708164652371	0.720012908465792	0.789189169921368	0.291785917476985	0.602322285923741	0.683304083924327	0.719267881162442	0.790406417946679	0.740042809000296	0.842346136523776	0.718088142105242	0.821139245661361	0.771809187403292	0.705946805045311	0.504694713077316	0.751527950081489	0.714273776220403	0.585413094278832	0.673366878397341	0.807643683169464	0.254735431904882	0.619190925125572	0.703843356356659	0.730476040600823	0.310891665676501	0.12820882976786	0.821784564623864	0.841036186714977	0.819931828726548	0.758324928334884	0.637316705735834	0.696551208865554	0.64410852771414	0.250913164935453	0.723619772707706	0.68072799477032	0.745167267431209	0.735558745125783	0.814163953160036	0.852215869516018	0.394316576851667	0.781163458110648	0.620950386985435
PTPRC	0.699707857396781	0.572414193978117	0.801713217559854	0.879057952130592	1	0.600292015929587	0.820114227817217	0.837333049000751	0.652442654941279	0.655803045948006	0.879276573718597	0.587368611196363	0.734498162213015	0.684866310522205	0.625509449006553	0.810858324281313	0.624018229735244	0.863557189974527	0.820565203405878	0.774725033626622	0.43281292915825	0.839951516705311	0.784930728866208	0.846213273275771	0.658665398944011	0.812014355883148	0.839829197773176	0.638760156015821	0.696353232411944	0.828591600833253	0.7567562750878	0.751949709464733	0.886351942879684	0.676422041823604	0.89491048056	0.875323739211763	0.785373585709071	0.738632336901278	0.564433600822	0.686401283830948	0.713243849512077	0.81624588660892	0.922661391181081	0.845623028206259	0.661329143185528	0.509990097802357	0.751890875566372	0.729923074085654	0.65787964522568	0.696815723273805	0.515084621815156	0.907467218060649	0.728771005820891	0.756028162112556	0.840797845344762	0.824138621047359	0.334647978217856	0.620808015742513	0.736379197384864	0.812808963695998	0.827608907080661	0.73649036109667	0.766016784271813	0.767545544648895	0.832725265337302	0.739827775196975	0.663650391325125	0.603325645080497	0.711100196172549	0.528957630994011	0.68545479340847	0.6134155152887	0.840485274163549	0.313418359324074	0.514222022532588	0.762911923105148	0.729675149589305	0.379685635456404	0.129280810873395	0.791568365389444	0.829232836834407	0.779278412499341	0.790789390234545	0.54955980728773	0.60477059391198	0.656291572952898	0.460754027630763	0.665986317532129	0.734269500822007	0.773065914482114	0.673307861743047	0.725380871731634	0.86760958381157	0.465142017015464	0.748601025182128	0.511971814018581
CXCR6	0.217342321754635	0.762352092838129	0.674950146170439	0.747313392522986	0.600292015929587	1	0.596479458768787	0.722107777284286	0.193304603002067	0.784350410558628	0.757430846024704	0.0588527176015486	0.606705314596992	0.737067266508674	0.195569391075171	0.400923981757288	0.100348411410164	0.442395348014462	0.636357157603393	0.538172421169161	0.0722359620997457	0.542478300480074	0.7292572623417	0.646958813377973	0.818916897744021	0.75284048793527	0.568036891559302	0.731933076082989	0.346042184738985	0.625748030152353	0.71927801589928	0.608186902573873	0.682243122000098	0.455562307955025	0.427830182248302	0.582584443642031	0.573327243746029	0.66805868803813	0.0994355738294647	0.49076955588441	0.49007591395379	0.41393278551592	0.549667332449296	0.672649752718465	0.214278976008313	0.383862090392745	0.620481871257379	0.307748386616657	0.763820515888463	0.796140862657552	0.299620053448889	0.513570787891901	0.253012036243052	0.489423622559207	0.503102592261702	0.489679157053271	0.300557692011479	0.239184033816438	0.530138764012131	0.38952348974868	0.448780228869304	0.441218138157772	0.661700988695783	0.503931265723971	0.603103424571264	0.573079249004063	0.427917488402616	0.339153481668237	0.38992937331673	0.61359133464982	0.379450654888821	0.776388779924592	0.754319732028131	0.274038835956616	0.334928833015659	0.429706296464269	0.415732105428443	0.235044069789473	0.232116349285547	0.604733381121186	0.52503131805011	0.564984669834502	0.553237775524545	0.371609788658811	0.405639669153691	0.405784873489862	-0.0243092502112493	0.415855345139152	0.430188845963115	0.446109655874945	0.369046882613998	0.55874204213756	0.547880415982803	0.302942402295171	0.519917282418285	0.29578826415959
SIGIRR	0.77715949082133	0.55798818002055	0.644718066962579	0.762204429396046	0.820114227817217	0.596479458768787	1	0.902885580856858	0.773622984868757	0.694030042506075	0.888331921953171	0.70271926605729	0.871162938817172	0.706163229630914	0.679491585110931	0.840846906039653	0.689734709437029	0.892599253508716	0.842785091461381	0.870495765874944	0.489785821844922	0.776177670967505	0.769152584393393	0.915039390692543	0.649371354380541	0.703075212418106	0.81728547620747	0.525691594644876	0.767418847180345	0.859778854248775	0.841623487381323	0.822891318782122	0.871295753223799	0.779948371651167	0.829904565483464	0.90288904553573	0.875532258182468	0.661136442629748	0.758247593672382	0.754510969294648	0.79719605008749	0.819676987915005	0.812058686574148	0.841030020130864	0.829389844849444	0.30548749423243	0.818362015505517	0.760075900465344	0.559453071008063	0.730159249094362	0.584597694449774	0.851329967244327	0.765959029272109	0.780634288117783	0.90663308046459	0.844074327154418	0.168111136708528	0.776272081801891	0.648846915491674	0.767032668018869	0.794931703803072	0.739811166244412	0.780724692393329	0.877284442493572	0.872776415033233	0.801572261077051	0.692454517682171	0.80333734817429	0.699612059025541	0.544089856321947	0.799072151804855	0.715522535391987	0.875205405703821	0.144638236910945	0.620028667596537	0.71152373197672	0.746812039455979	0.169202142492832	0.0518763382664342	0.733465561530297	0.84656874487155	0.86381651878279	0.824582999669871	0.565542866600898	0.640826582193021	0.515823514261629	0.599482592666842	0.809143995748446	0.872673243081306	0.788941997332634	0.719344143921497	0.708231824173932	0.859626670401276	0.712699373402192	0.784970312291278	0.530498877249234
IL2RG	0.713697591814191	0.685167503782767	0.66587465143108	0.806926415458781	0.837333049000751	0.722107777284286	0.902885580856858	1	0.679999574332536	0.865374273221336	0.960804963847843	0.610032939255695	0.928232347048485	0.862884832127641	0.708991481171053	0.748948594189308	0.609988565354501	0.856558695742215	0.86250554366303	0.887508002764242	0.374648192885236	0.783327417646789	0.878903245423725	0.951360080761664	0.715968873504929	0.760759484044	0.901767971423944	0.550824964752288	0.715253098641402	0.851126000232676	0.947754631529782	0.89903030124567	0.872171845134834	0.845600418451572	0.800740574010798	0.903697032337233	0.889490452517798	0.682829103827189	0.674899224756827	0.85315114958243	0.763678338264425	0.78372088862272	0.837806669728773	0.857732334019261	0.755690913339656	0.224010007972318	0.889579903632654	0.714386998448855	0.697362148212125	0.833568302086937	0.517506162447897	0.824260623357197	0.698423090218111	0.819734869708878	0.885342064162285	0.830363787335401	0.0532977966633822	0.692303116529556	0.559260009336647	0.698155474180625	0.762129528781669	0.680931681091879	0.854219547793462	0.865964148878771	0.910696068423301	0.850978752668663	0.582104580591265	0.814822992908355	0.650398840114397	0.588418832811601	0.855305730325275	0.785716820613997	0.945683874247229	0.0263418416605127	0.515566105469493	0.667470383174598	0.710327588837692	0.074302621175692	-0.0241477405706926	0.750261470764519	0.835585075379555	0.845187087385503	0.902219989207547	0.490489754389224	0.58845572435274	0.435937566049013	0.50195296356383	0.743894204610451	0.861992183382634	0.730242878371463	0.663465207658959	0.72889274083635	0.835468584058008	0.727752002354068	0.757289051639308	0.46526137254936
IFITM1	0.934899547890961	0.184194679035432	0.360286481128117	0.430721248595117	0.652442654941279	0.193304603002067	0.773622984868757	0.679999574332536	1	0.333833159022052	0.647256190301022	0.845711705375406	0.690736360760947	0.365410389738606	0.737540674185918	0.896255916736763	0.917981435126037	0.805581930013773	0.612894573549857	0.775878399886545	0.38460851347507	0.58151520414312	0.415915378949348	0.8043904977356	0.346915312628614	0.44257010326286	0.642269722662426	0.144060055602323	0.6218882775484	0.620450174216925	0.636317106617362	0.580580456075484	0.62019301521068	0.686372786788784	0.718833015528678	0.829887799406069	0.740660208058302	0.290437954206045	0.916456861260034	0.619322938159798	0.533801985432797	0.652035278511559	0.694555103234789	0.663351992592987	0.913807430463938	0.0613585859482572	0.64944180265621	0.694672064491661	0.204111850367539	0.376161291087692	0.365001491926237	0.705377314795832	0.801777053915704	0.558989647115603	0.832974276983092	0.683881189681956	0.0363363691215405	0.697320400050762	0.474379058433124	0.684585019837235	0.633523038324153	0.510356261945711	0.451034149127237	0.785719556645538	0.670000338958625	0.576326457789925	0.470284650330379	0.846122018913783	0.4831213990117	0.153096234055843	0.773623969751573	0.435056127463551	0.664085630218248	0.0645349645139369	0.361525582636898	0.486420405948418	0.558546765889975	0.0741259447085891	-0.0441186468782574	0.42045374389723	0.599586852764059	0.613434860041956	0.652849311524845	0.305489633276886	0.3610511574612	0.25740069068246	0.836040459765583	0.608132411935361	0.777479612905889	0.589942492250181	0.496363014547198	0.410568126724753	0.663890552067006	0.782032359285644	0.547700947655532	0.270104955141492
CTLA4	0.395587476163877	0.712356306400215	0.532709249389626	0.766887759505482	0.655803045948006	0.784350410558628	0.694030042506075	0.865374273221336	0.333833159022052	1	0.854061665254746	0.351542317749553	0.806078629388594	0.946171185084576	0.569359795677789	0.412392668616352	0.279641893482993	0.623367990146524	0.728428544266183	0.680303809986902	0.271233596323859	0.647274080641168	0.912530569080724	0.76948476476022	0.656346540354783	0.714266333408439	0.837218724728395	0.493730620147075	0.571560561204426	0.66283288151797	0.892081619899137	0.86124552161327	0.720221432576383	0.729388163611746	0.569344311851947	0.693533599868096	0.735789091916861	0.664297305126748	0.390156580540648	0.807882879212844	0.664736360971975	0.61970997230803	0.666702724240214	0.65155124976622	0.480925576861808	0.115676827501895	0.850253528191565	0.502555162203225	0.831970528790453	0.879530837608243	0.440777581625052	0.57503767990222	0.425305165627126	0.765342156008998	0.657646983226765	0.655832147670734	-0.135814493314946	0.500702088372796	0.329400110075532	0.461498651504673	0.57568858242291	0.531536278940824	0.842388301118617	0.678098019795728	0.816006078011568	0.765694033863802	0.401561709302258	0.623052996324427	0.548920550748971	0.649094676497075	0.700780838711683	0.723401103331682	0.838828186341793	-0.169657863997728	0.423246096330298	0.465369029287344	0.577667005754678	-0.104111121524386	-0.150439493435986	0.645930433507686	0.707626565012458	0.716392232422075	0.832696996043207	0.390563478517228	0.497854621302502	0.270152177748105	0.203131010823499	0.607223499448994	0.68130056172653	0.541018396494228	0.548255372825514	0.720774869908678	0.680891680376444	0.523377053799134	0.6432321182447	0.429874864009722
