""	PARD3	EGFR	TNFRSF1A	AQP1	SDC4	ITGB8	LRP6	SLC16A1	INSR	CANX	CD9	MYLK	DPP4	PTPRA	CADM1	AR	HMMR	NRCAM	ITGAV	PILRB	THY1	LPP	APLP2	ATP5F1B	PTPRZ1	CD99L2	CD47	CALCRL	ADORA1	LIFR	TLR4	ADCY1	SMAD3	SMAP1	RAMP1	SORT1	CHL1	CCR1	TFRC	TSPAN5	NECTIN2	PLXNB1	ROBO3	IGF2R	CD44	RIPK1	FAS	SLC16A7	SDC2	RAMP2	KCND2	NOTCH1	TNFRSF10B	ITGA3	JMJD6	CDH11	KCNJ10	CCR10	RACK1	LTBR	ERAP1	TRAF2	ABCA1	TNFRSF12A	FGFR2	TSPAN12	MCFD2	PLXNB2	AMFR	NOTCH2	NOTCH3	ACKR3	CD63	SELL	MCAM	TLR2	CELSR2	TNFRSF21	LRP1	CXADR	MTTP	CNR1	ITGB1	IGF1R	LRP4	EDNRB	GPR37L1	GPR37	ITGA2	TYRO3	ERBB4	CNTNAP1	MUC1	VLDLR	TSPAN10	GPC1	SDC3	TNFRSF14	TNFRSF19	NT5E	NCSTN	IL17RC	SCARB1	PTPRK	LRP8	NCAM2	ROBO1	MRC2	TSPAN17	STX3	CD81	STX4	ITGA6	TRADD	ADGRE5	FGFR1	ITGB5	ITGB2	SORL1	APLP1	NRP2	RXRA	COLEC12	ITGA4	SLC1A5	C5AR1	SIRPA	C1QBP	CD4	CD163	ENG	RHBDF2	VSIR	CD74	LAMP1	CD86	NRP1	MERTK	TSPAN14	TREM1	CXCR4	GPNMB	CD46	TMIGD3	PLAUR	TNFRSF1B	CSF2RA	CLEC2D	ADORA3	TREM2	HAVCR2	LAIR1	RPSA	STAB1	LRP10	CD93	SIGIRR	CD68	HLA.DPB1	PTPRC	C3AR1	ITGAX
PARD3	1	0.901290591137122	0.886801351605421	0.552548116533336	0.817126653813996	0.914509287515646	0.834787453757113	0.810361372073371	0.850597159350741	0.909376362684679	0.838479285228781	0.783622467463388	0.70737206535815	0.887944417568085	0.895938334350541	0.937534829693207	0.702748698976714	0.914622561838953	0.915351662605294	0.929121400281486	0.873838427635112	0.911061748462449	0.86725527675895	0.874820700276727	0.903078687811387	0.890912207831581	0.926526629784979	0.91167222037293	0.893701275410445	0.875901006767267	0.858679050540781	0.815728251442095	0.794194037786421	0.8500274360888	0.896133955820428	0.946377352996598	0.868157420116538	0.387712766404282	0.819719813666294	0.909514492597701	0.723462998661046	0.923798278837423	0.903921275993296	0.676796949635779	0.858228724844776	0.812892078839301	0.782969755196495	0.810483372363964	0.789433113082967	0.788577776355356	0.884357401613086	0.907008987558624	0.829616418982966	0.842069293122363	0.879689758367586	0.865777891876207	0.763867705480072	0.765687145500936	0.87857722481809	0.894215433856173	0.85377299227174	0.828929186255081	0.8591763779233	0.817356682637564	0.769220212707183	0.830395888182279	0.879035851198077	0.60031431547977	0.866094596410424	0.939325418144752	0.563133109231077	0.671872275072975	0.90837659376718	0.86717657631188	0.769730181815907	0.534494936765322	0.822974544971406	0.908646103539927	0.873757198499007	0.847305187264924	0.779747831957051	0.878384646252149	0.814751417084218	0.817414137923697	0.814093303368102	0.892750169383916	0.779898264756139	0.918798139729843	0.792556458733825	0.840121717599675	0.853970218917259	0.85969976272785	0.931839635729933	0.85435667756417	0.826949277361043	0.712733678278464	0.840341670881344	0.732900718046004	0.840368230403777	0.885839791209205	0.887466850406114	0.926261754627339	0.570041619157465	0.857942825575587	0.778787603233296	0.889605282695463	0.882350087130653	0.866344134202888	0.836063216500626	0.824891320819436	0.772828249323919	0.830678065080104	0.880649624162462	0.75835198476259	0.771438353757226	0.79358765111858	0.642008247794465	0.416091277144302	0.85612748622127	0.847273230099619	0.873839052234125	0.710551807587033	0.736534241276058	0.42997345529614	0.774934783723293	0.508663766284805	0.588387417411104	0.863782888000158	0.437489710350828	0.396843040191159	0.420751133071778	0.678644634900494	0.440191568868923	0.464686586029947	0.780754873810901	0.404752721970299	0.698953417990014	0.535283583642863	0.752427524454256	0.283789797555525	0.369326640659246	0.481768798523023	0.825697620346271	0.334986163319215	0.386610354913257	0.346050932259951	0.474483450736169	0.763238554529038	0.430645505017597	0.434574466831707	0.411214637193401	0.438111285209954	0.883028596191978	0.404247049936076	0.915525216405071	0.347528868657707	0.687813065695997	0.420022380285942	0.456931792336288	0.269934946875199	0.409285980344187	0.445626991816165
EGFR	0.901290591137122	1	0.927185227128637	0.56829107646467	0.867456085862374	0.978044338889884	0.930467931667832	0.901282974456067	0.822085218322543	0.941284080201245	0.907478328364212	0.795834883341841	0.78713935754505	0.973280042810574	0.915539160704975	0.928838909992649	0.719360501197721	0.942784199050183	0.963510062141525	0.926272116082182	0.943215653624665	0.958347977506366	0.840664304738347	0.890944578438227	0.970647224976085	0.890132189233921	0.934810253565825	0.935880541772951	0.924008708055747	0.955878456725705	0.845652489188403	0.902482864311169	0.908922486370418	0.817447559337597	0.944944577228249	0.940083835788434	0.952930128779602	0.303564834168247	0.819743818348549	0.917822315535634	0.678452547019801	0.900926262410626	0.902189208056164	0.683842633156099	0.806878187316984	0.72928024403113	0.764517106436629	0.878945165739258	0.787688046549905	0.84419069012759	0.891016611318235	0.939500927699242	0.737361577913978	0.916428552751361	0.894920205650061	0.905650329666199	0.815390393151195	0.868669832584005	0.894731678457844	0.895379984017464	0.855834370544823	0.822968408334232	0.861634067043532	0.831948503641262	0.728961534013033	0.901189181156867	0.87200167665918	0.506088413175842	0.911580223305383	0.946258589353089	0.582395136050347	0.615699014583163	0.93551215314869	0.818863441977362	0.835131579501718	0.487323684570664	0.798749573105971	0.909482516390219	0.897330261158519	0.892458454671846	0.856404922959027	0.912247836706865	0.780782755551282	0.929533864063464	0.823443453266532	0.910420659506557	0.810598056163276	0.894891087123074	0.893546243627601	0.810143575017758	0.921831302685714	0.880459242240679	0.914709005496617	0.877740659952791	0.849102659018593	0.627788819943447	0.836492277471374	0.673431392018562	0.823547854194465	0.937046272552941	0.855589769065912	0.928095083599961	0.575700860326646	0.916679089017769	0.771943741348001	0.962213422376253	0.962984851280116	0.884668948972733	0.841934383920074	0.8481569504134	0.738021427822208	0.802186062882832	0.908793236315292	0.762500526761948	0.77829570887016	0.848502436276808	0.590287164710145	0.329413140296529	0.835118237371996	0.800781930402686	0.811476646618523	0.690687607524065	0.737522535024222	0.38418184198563	0.671279830351341	0.461259315210059	0.548206646551617	0.864627348517331	0.363999671986754	0.317260131840696	0.327190058547768	0.580976015405748	0.34868944600302	0.392646158185443	0.747402249162566	0.322347569190878	0.623443730891006	0.456591653735067	0.685863545968407	0.188573324111362	0.299654978290792	0.424144851174769	0.840106128392271	0.220919309814339	0.288190778075029	0.212337227837755	0.400472810805917	0.67613444609007	0.345164985103402	0.368956322079682	0.318972502123269	0.356825867017993	0.879611070410871	0.33492878395617	0.909873909788199	0.266899906992223	0.647838888974925	0.352112550709389	0.388151270803876	0.187282827922921	0.322923021134193	0.375000162408716
TNFRSF1A	0.886801351605421	0.927185227128637	1	0.557771460971015	0.883841055887631	0.903666025579805	0.850867498487771	0.839739493434653	0.810217214607283	0.962366886235325	0.920637925344774	0.777043305986088	0.691936569682311	0.909154171224423	0.930370853163366	0.916097611158363	0.667807282750956	0.912727995630267	0.935169156055576	0.905560211223225	0.890223338920898	0.950454371208117	0.930004858306376	0.913538992013236	0.91435218466127	0.903395322615392	0.941200765271252	0.896115484222433	0.903398383502147	0.887326558915802	0.902961664277901	0.87479497582507	0.813982514172962	0.910049123700316	0.934734521252337	0.928423398303641	0.910993792414252	0.522233716453543	0.894001687208692	0.899861722195699	0.826622921080114	0.898838530931502	0.889216076400057	0.776704493516887	0.934743587001239	0.846164745419273	0.863692239697382	0.861657863273511	0.906663203391102	0.815567907928218	0.854669237949349	0.925832820657071	0.839620064193606	0.901038904081763	0.913517914425068	0.852794496634965	0.743310169150748	0.797809588756929	0.954738412404527	0.935308966254694	0.894845592469843	0.794261392565379	0.906531318773927	0.844560388133104	0.722018426219131	0.880032481524175	0.940065027994084	0.701565312603925	0.914733644946125	0.933659967648972	0.567281818242323	0.759736838904368	0.980476358841303	0.812774975699322	0.755724532060233	0.64261755836528	0.834984180139289	0.947079626998643	0.934145955757461	0.923400654126815	0.801265390557899	0.872247443547555	0.906045963068154	0.869097462712696	0.825581921441749	0.88108470426578	0.706920221727816	0.854581591283259	0.792405099177145	0.813059780754338	0.851600412630413	0.8509889502344	0.88720507359668	0.824652941093372	0.765930842130337	0.695920711950873	0.901261683658785	0.791892510835937	0.826536905678912	0.903562407587301	0.913432132653865	0.899680714665369	0.720261925075777	0.833112170336944	0.830765226067406	0.92018072518164	0.891342655697425	0.939287273275972	0.821770128359282	0.889400236395312	0.858711217687975	0.918895977594233	0.946917565517269	0.86566345565685	0.873021075650436	0.841966641017775	0.757576585127939	0.541961990117051	0.924984879007578	0.807441607228294	0.901463543318516	0.807487496111629	0.830454969756531	0.577365573884272	0.778948340462028	0.639623653747984	0.720471658268789	0.950026684314481	0.556894133746098	0.531474938931046	0.543010747873568	0.755758077819835	0.575561713329559	0.594304838313644	0.869675270392171	0.535889830306176	0.791739203389334	0.643991632408839	0.811350177612311	0.433381937987139	0.490593298621359	0.604598718263977	0.897145998817506	0.441897876305785	0.521173915164789	0.44118958994682	0.586738196716198	0.803189752058906	0.548278986243445	0.577958552762899	0.534716361489352	0.5688402878916	0.956212314995496	0.535813442604167	0.937784581300592	0.488509557877669	0.793460544547874	0.561773214743384	0.586531696442965	0.409204552882138	0.532638907625941	0.574521555514231
AQP1	0.552548116533336	0.56829107646467	0.557771460971015	1	0.619856757083906	0.606876772475516	0.584660623012516	0.474605686471567	0.517771022960329	0.560795470574032	0.451840925082108	0.508501457328351	0.429251824543791	0.680914682217571	0.574164821285454	0.565154158482055	0.401524571718136	0.702814557765245	0.597780378466888	0.568190428911592	0.633375772970853	0.581649688412427	0.462984414974118	0.526219196221073	0.645219152176545	0.499217718610191	0.587136701274318	0.685482153840946	0.651454556146102	0.683037826383493	0.493374203703584	0.469858437347213	0.638914414819513	0.386140028880194	0.621485790903622	0.59219711290355	0.666824986541903	-0.00227500495074443	0.365871809715874	0.593509628556201	0.352542677240685	0.694439813763966	0.588895768261224	0.294729835997027	0.572064273339252	0.431409938496876	0.403606036604579	0.508596779212223	0.451044919598687	0.488423335422398	0.560339544390066	0.604614315584044	0.373782968288824	0.626362975198995	0.488976033219973	0.507920409560185	0.41232545929944	0.637651275248035	0.462715648797623	0.523911525005504	0.472998728435502	0.539056788517287	0.483438100268932	0.539936959980039	0.404782027385684	0.526621211011277	0.479408021005075	0.227989365187186	0.543145149029695	0.597092264718308	0.725835813619535	0.226263335485047	0.589278499221047	0.48064904104193	0.711447428057376	0.13714427856447	0.446213110760119	0.469423304929424	0.531509671187494	0.473660681705672	0.442549816441102	0.617605757130952	0.394602853947509	0.516837618007378	0.409820978510412	0.626606284032699	0.731605505635625	0.582645558469247	0.601502013922193	0.554926735335688	0.485238603083816	0.664982270865345	0.613493512187145	0.531651492373498	0.634802404449121	0.687739893469942	0.527094262117811	0.242919745826195	0.480109933395072	0.62607579406231	0.510671428032755	0.614817497021128	0.244262786147954	0.555716658601395	0.528822725026491	0.622303756989617	0.633614666754465	0.62905241835173	0.481530631744574	0.439229402713643	0.358277866619745	0.359959784238204	0.538807283922676	0.369228295869798	0.371020483247782	0.446597416419355	0.199531739626306	0.0396613404090446	0.481720713564115	0.498852779241401	0.67553187869018	0.305967552430333	0.431120596604353	0.0799861430355407	0.351988644063235	0.131264562460837	0.193481491047467	0.500967603079682	0.043425520347045	0.0132204008325079	0.0189191645672012	0.204930456073244	0.0581250427441059	0.0758781719059783	0.324303953347668	0.0158206182419707	0.2705377962742	0.0982663333452317	0.330969069336767	-0.0680813258554494	0.00955613578857175	0.0975596929247066	0.468885393445022	-0.0251551060473614	0.0256707572654974	-0.0530795631184028	0.0543655120228725	0.364002097442103	0.0435131246775923	0.0704812370747037	0.0483086677589018	0.0601491800993414	0.477468492950488	0.0430863220332777	0.543895408359196	-0.0124395119260519	0.211430949807502	0.0559166640521146	0.068477658016884	-0.07052272324582	0.0182326038983072	0.0386794656204288
SDC4	0.817126653813996	0.867456085862374	0.883841055887631	0.619856757083906	1	0.878766470822865	0.836048387037933	0.828366446304471	0.742377605702936	0.93167924647388	0.833914383044015	0.831053779173246	0.757186179666824	0.871938032521447	0.906182605286521	0.85254767375375	0.700304983142321	0.897635838297547	0.901350260893009	0.847508296854615	0.878158328685491	0.87994750226974	0.853464726369813	0.865718732346044	0.864668354121946	0.847575473824044	0.909380409225901	0.860343743477856	0.836980903133896	0.888784982594889	0.821932609777231	0.870642181833338	0.831709794674407	0.826876600919789	0.876906133891593	0.884881307400135	0.870804522933986	0.385625586704065	0.761789039266323	0.868083652436342	0.720989891146672	0.872550813896915	0.855024543250377	0.752148406792088	0.856563467181862	0.681174144235581	0.794298027296197	0.79926896753929	0.831332695997516	0.836247171060879	0.88088217196941	0.853418309080425	0.749691589581481	0.907316210160424	0.858211673813508	0.825631136869912	0.702075982083524	0.832435502067243	0.866377060287345	0.854052159719287	0.877008786129971	0.873121699731892	0.857288122555544	0.80387408315762	0.678976511230338	0.810439045069668	0.883263844978103	0.59681667367243	0.869998091657713	0.896973895902853	0.661923929180368	0.66424936324156	0.896768046609115	0.798430412301351	0.804570288436327	0.497297637829996	0.744252939047721	0.834276479776806	0.860639218870694	0.88076835446809	0.848097391943746	0.869890467537689	0.815674260866587	0.835127533515914	0.679599450953353	0.848906032829718	0.68292942832476	0.840528951543638	0.877488719804837	0.786706314327281	0.832306152934879	0.80884960626524	0.834300324711791	0.771297635387716	0.804393282808179	0.726000339315875	0.814372833204775	0.668123305398664	0.755041119836531	0.879748751948427	0.869208408406866	0.851635583442551	0.57989060189622	0.827255916563481	0.770282278035623	0.899700127406804	0.882793086536282	0.913636002615726	0.815251943666731	0.855380293408441	0.747341341632305	0.782511497350389	0.878977205493755	0.805239291951456	0.754295195741884	0.838153729203353	0.643608047114367	0.421413566384221	0.80839285921494	0.793275134993238	0.873940043554795	0.69535789469824	0.722847798019075	0.463984560600906	0.790025510097221	0.502351968212891	0.597945827643906	0.870805178676696	0.432342592858536	0.393000244548541	0.40812250982926	0.613757688298761	0.445590608239023	0.446784762515214	0.78487805393778	0.406530888527153	0.680280560581962	0.485702493119426	0.706759867749365	0.3035744276161	0.378987233138834	0.496654958944041	0.83332869280629	0.340236803351833	0.41570199805942	0.329042927820345	0.440173793449744	0.688546700569768	0.413128218329746	0.439801250504833	0.393215996728355	0.421062832430026	0.869194232808053	0.422946689077427	0.868949163103013	0.369087835411489	0.670035061544442	0.433618899452598	0.440396528869251	0.297321396770813	0.396548123146001	0.41538648326143
ITGB8	0.914509287515646	0.978044338889884	0.903666025579805	0.606876772475516	0.878766470822865	1	0.934558147566134	0.89279674897247	0.853201153374556	0.935594841660422	0.872879812433402	0.839768613295552	0.818745702308831	0.964732314015754	0.919924338988783	0.946875580605353	0.711367748881661	0.965998327133664	0.96649637086213	0.940788615070951	0.934272529306771	0.94060689474044	0.819268614475967	0.874603233817735	0.978447137600186	0.884440768855003	0.946599270754466	0.951898222996736	0.942003224017812	0.97097856342148	0.832288374910134	0.896186217391838	0.925237468387524	0.79413184127121	0.946160944231922	0.954035142473039	0.962474317220409	0.245879270380251	0.772400849917062	0.920714282166636	0.648542952329856	0.918841098265898	0.925692773320359	0.670872069508357	0.797915414916728	0.694284843487025	0.762805199436174	0.857787887866435	0.753090499506377	0.818784576192038	0.900103280933363	0.938522841331222	0.72378596559475	0.904100388018651	0.885092765610994	0.921735835110013	0.855158934500133	0.869759859012593	0.860748356430612	0.884769545274504	0.85203445688888	0.859913925073431	0.849748793279973	0.869204234148961	0.76345978550682	0.888310274982854	0.861206536371383	0.468505288493632	0.888420230703051	0.955567014019634	0.618360823224844	0.58556765850101	0.917228104878147	0.835130904136994	0.842388019619839	0.425202735173988	0.815611406335222	0.892045790681046	0.875402728432109	0.877040524061436	0.880095585002802	0.90804214998361	0.749137615173115	0.92404686756371	0.811962368591678	0.924736876445777	0.854829848843969	0.930306871025825	0.912194332493433	0.831160471135458	0.943084020255266	0.88463224629742	0.933119696775027	0.878425100626018	0.890704906155623	0.682402806641852	0.823708277146763	0.639346819036811	0.843203757046417	0.936413026322927	0.86359567308507	0.945334024849335	0.497683478465125	0.932325154949099	0.77757190317937	0.967591788974745	0.974571962847172	0.90110989715722	0.847610401551623	0.827258972680067	0.696988166303394	0.768689819683559	0.90184147186932	0.748572655184748	0.727877803361237	0.860480532155385	0.546316521880231	0.275495214821214	0.813431981765312	0.828003120877285	0.825422923890544	0.64403155622998	0.681360267823941	0.327668305811316	0.68560184334537	0.406403740952833	0.487489068224719	0.847722481370685	0.308442437710207	0.263001245153684	0.276187461644404	0.539621300830202	0.307801298051464	0.334125342118806	0.722415344848763	0.270396244936666	0.588536920091212	0.403316282081464	0.648458625863276	0.132618609584888	0.232746877045718	0.363238327805244	0.813566718429589	0.179335098869355	0.245299064850467	0.170133044927028	0.342931199882075	0.645301001054109	0.29017850412873	0.308274751809983	0.261998410261319	0.298496319019053	0.857370468702111	0.283464369809668	0.891708188407413	0.213358275815799	0.618237850720592	0.29162657872994	0.330033785870232	0.13402776946859	0.264330847848475	0.319738783768546
LRP6	0.834787453757113	0.930467931667832	0.850867498487771	0.584660623012516	0.836048387037933	0.934558147566134	1	0.789573715667762	0.801899914603178	0.903487368849562	0.778284805213889	0.772337703195964	0.884669243368302	0.927024652009872	0.863888869962354	0.91289247159812	0.681689192554383	0.923187379556515	0.963713867456523	0.8822975895205	0.856886918702315	0.932184738166001	0.798929164702665	0.771301334342101	0.91810532093089	0.872898284796335	0.876867020982842	0.866958682438116	0.836121645035873	0.942973126040627	0.858741586154117	0.878867202060075	0.960825463369127	0.783325805767356	0.848838460762906	0.895946522849845	0.915750065883465	0.313871270208024	0.750088412778612	0.837907639234078	0.631279551196869	0.852415858592704	0.839912458601336	0.742980565463563	0.769443936330243	0.640309275897757	0.675125812027222	0.739327054023126	0.704958060448588	0.734388565435928	0.855018935550764	0.926503883147999	0.678152246249493	0.929962396782532	0.813111285194371	0.876820597001552	0.710860612892096	0.890581752921789	0.844828118564998	0.903556224900397	0.799085204572893	0.832787761814535	0.865793471697726	0.857732805020989	0.673513027780322	0.775030439824718	0.834831736572827	0.467367296825855	0.897207015787851	0.904410003300739	0.514062405383507	0.626316800743795	0.853799239767714	0.811574923881251	0.84120325954159	0.513978193789857	0.752344617007218	0.827193010266765	0.890824983778246	0.875735087399913	0.840673260096845	0.901278198065275	0.740332643481742	0.937532946359929	0.780963219105478	0.908206792278666	0.742478238664322	0.830272812946593	0.913045996654767	0.686254096818577	0.913832963105361	0.877693579912575	0.889715539196162	0.870236033581164	0.869046782270729	0.546981958042775	0.865187772722721	0.654973860441772	0.732427340527818	0.882778153523251	0.843699320347209	0.908255454636982	0.536545579637381	0.915210339509163	0.704156861945691	0.919418913479402	0.941462284846626	0.857995872092339	0.845033810646552	0.787126615610326	0.72652187395991	0.769748251516192	0.874942769302145	0.76270792963371	0.77153883897092	0.777060992211926	0.581205376148611	0.348540438437837	0.824440551001623	0.702995606818079	0.787137179770662	0.700043821473621	0.696279517803422	0.40961864485736	0.647869092094807	0.48431521680033	0.554315058413437	0.785079746911456	0.388569685256666	0.343072798834174	0.350050292424668	0.549758866607242	0.343199190006955	0.404448006461987	0.726615680597042	0.335007911901966	0.59496531036588	0.468880712380186	0.663673147994945	0.201509533208791	0.307658733194896	0.440523005297457	0.847369244688368	0.228788712833196	0.305187932188316	0.216349646166077	0.424152006585282	0.666479729827907	0.355795125781567	0.373288108672182	0.328661476881343	0.37043299454388	0.821540013007168	0.363640070926302	0.869874639994985	0.289788336112962	0.601479215952769	0.364429008743425	0.409303046325458	0.217553271441107	0.339461128305075	0.399520613990947
SLC16A1	0.810361372073371	0.901282974456067	0.839739493434653	0.474605686471567	0.828366446304471	0.89279674897247	0.789573715667762	1	0.725582010954481	0.87091388715657	0.950923575159593	0.814520370325161	0.662865271213276	0.881147118704928	0.851975973275472	0.835704794694926	0.653820014981207	0.855682023575585	0.834728568843121	0.840362224947797	0.850953632589543	0.839574876990045	0.737658420710349	0.852389392843836	0.889260641549354	0.823242382252851	0.871409628082824	0.849005272902467	0.874124583362735	0.876308772144497	0.691802112267113	0.838599817544099	0.810043158431186	0.716158068390091	0.881377774911345	0.848398108236081	0.877313024508904	0.19697384319988	0.764949907106526	0.838430585199986	0.606724479070401	0.780932198776265	0.826431103048521	0.543044580992942	0.709643009209143	0.612675877366421	0.752646688243646	0.821001753217314	0.721529711470018	0.854714430958187	0.851512184847231	0.791939649242478	0.605434933851445	0.800523637476429	0.842017850792693	0.833890472340783	0.880743362980344	0.831848868398833	0.797744079369925	0.747997765805066	0.867207348294755	0.805409845858986	0.75403866310359	0.728508780307941	0.734594967144015	0.893670499389034	0.774404039485011	0.415563154587634	0.763379333368147	0.845669536444454	0.634113763420053	0.517102581358395	0.846416411067089	0.743689261120431	0.692343016112759	0.306402065899905	0.765964367758565	0.848470694520135	0.756179435211305	0.802591256615105	0.829884854738784	0.806139708606237	0.681490820466962	0.820253518341307	0.732631554393957	0.790535593793653	0.748966134722991	0.844083831269446	0.814701764413012	0.817195013382986	0.853990747150592	0.738523115049515	0.821303195611092	0.774100629988486	0.743345699089208	0.609525975762116	0.675098487385954	0.55875531344361	0.868072866360873	0.840172297148705	0.775864512459667	0.82470279225569	0.488961264585802	0.85669867291698	0.759343611603016	0.875979262233242	0.888797696679249	0.834667731349004	0.743602127599512	0.856045437888434	0.596717640450496	0.690562092005633	0.800712373116472	0.681767094156509	0.632607928326793	0.859369321163141	0.499664932689445	0.205541277743007	0.69691987013228	0.810444256322574	0.737555742624073	0.542307751607265	0.555744469219925	0.260244410410488	0.628931952990489	0.309511401618956	0.412760907874453	0.832890173705045	0.230283312818059	0.18563523305495	0.20882504138046	0.4482646909262	0.28002438186056	0.254472764036686	0.628342017091998	0.206068908077447	0.509252620377144	0.299285003138321	0.553592053114746	0.0989990409037497	0.188730279364251	0.286379410358614	0.720971712432989	0.133690279439931	0.189699882267331	0.128718880389956	0.249818407078039	0.528403140075099	0.21278266258132	0.238179855559748	0.190163328381897	0.22575320497987	0.784513518090176	0.200286540195673	0.798562526115124	0.149637570930924	0.586622743971762	0.227492067318258	0.250221942087402	0.0850675017256971	0.203578054848122	0.222574978019868
INSR	0.850597159350741	0.822085218322543	0.810217214607283	0.517771022960329	0.742377605702936	0.853201153374556	0.801899914603178	0.725582010954481	1	0.816876085134843	0.743082771810333	0.792315008571885	0.676678996090217	0.808202884419914	0.80098594920283	0.850441179888356	0.569601986088492	0.855394112063704	0.848201062183968	0.860285215115278	0.769616499477179	0.795020376866484	0.721323887269403	0.75079665780425	0.850143295235945	0.75785514740356	0.834981451783689	0.831107361319115	0.80079295840662	0.811513403012209	0.716886225006439	0.788114203056038	0.760923174548054	0.710622237130699	0.823496050924842	0.888204078627567	0.830954537336647	0.261606574891603	0.73206991191615	0.839316332864574	0.598599019289951	0.879057050609054	0.818051046030571	0.59024755743043	0.753824058183091	0.748235929770739	0.681805035234027	0.788725033284927	0.700953291343578	0.640099732274801	0.794625883360401	0.858900540987708	0.721408663464379	0.769333933739367	0.802977478532844	0.842768566034667	0.766758625941698	0.738296589190168	0.751886210873551	0.806604591312743	0.751244316741619	0.717189293195629	0.749375775513546	0.801725052868367	0.814000818619697	0.694412384303722	0.759788743446258	0.442571968264783	0.797583627644151	0.820465699540928	0.552994504239143	0.526500984867339	0.796039420222741	0.717458592188905	0.774047631434982	0.38598072657323	0.765088848723506	0.823579188513797	0.759301021625302	0.758645483250696	0.699178459665288	0.732802480930001	0.693223838321091	0.813449134049269	0.805227299011923	0.786005459912763	0.747052499859607	0.885920245863261	0.762205174712983	0.848265553102004	0.806423557277174	0.741310658263818	0.821661819704986	0.769264970777813	0.825817353828126	0.723431422554791	0.756843313986248	0.597804137863643	0.823311579001472	0.789250900833601	0.793559141730319	0.826808280798236	0.430742033923422	0.877023601517881	0.735611897841022	0.831547091058329	0.844460434200734	0.792275129348441	0.710816685195406	0.688791849572598	0.632097654621205	0.721055149655761	0.81579765279227	0.620251890190685	0.656943517655566	0.719912715395468	0.511845543813129	0.281353129368364	0.745463044284744	0.840492135891549	0.810790717063847	0.557187037368508	0.576620053100419	0.284905087385041	0.667402796250431	0.390327950972404	0.451718490863365	0.731855610764749	0.289316681580052	0.273462902392691	0.285660177409879	0.554047066250807	0.303370870702681	0.332647617993381	0.684573390401212	0.280959412230442	0.546628631564363	0.408048854733482	0.606902911768976	0.168132288017312	0.225039067013358	0.355537748931171	0.736107098670387	0.204289040959911	0.263313400152882	0.226611882673106	0.338810628675919	0.677122746308639	0.296276906863246	0.298777063557029	0.274864493741333	0.307091929522469	0.75831876458715	0.263041651747825	0.766257911902562	0.215216387972342	0.590637501385607	0.297114799672124	0.326836145320742	0.143384073983027	0.267826241603128	0.35065497480986
CANX	0.909376362684679	0.941284080201245	0.962366886235325	0.560795470574032	0.93167924647388	0.935594841660422	0.903487368849562	0.87091388715657	0.816876085134843	1	0.910894094172958	0.837807554597406	0.804777800332206	0.923751901731631	0.97141574367761	0.937576973823122	0.770910479952257	0.942619831081071	0.966137507897644	0.944203949497887	0.926757774490476	0.955055782828045	0.943302662054821	0.940044758074804	0.930454293024725	0.94438213049256	0.9738407621742	0.914200345536303	0.907933722366784	0.920693857793672	0.908811082153981	0.900436016067531	0.872122988600258	0.920987455960458	0.933058569475366	0.965306325530113	0.931857451478519	0.479805198866329	0.873693854116455	0.937438673800345	0.83374825679604	0.912949165156868	0.932643219708822	0.810648354767961	0.913785898258109	0.812500666009865	0.873256311051767	0.828967467609959	0.903713131136324	0.846154863214775	0.910009077393044	0.938638713268104	0.849054004445814	0.933868105540349	0.912789382046316	0.910899761032362	0.758488167762684	0.852343971688098	0.965360353285264	0.947021460044792	0.919808218529933	0.891882640895076	0.931009878234323	0.871093249664039	0.775741006391535	0.881074469113279	0.958262829641029	0.665735495353254	0.935986405705771	0.967055148831503	0.595379111911959	0.779440135544968	0.971667071875805	0.885652071710577	0.769351321930023	0.608719336729427	0.858129443788596	0.951855819007793	0.939396421529884	0.940868761112739	0.887803322460906	0.8983216145737	0.899844004334409	0.886610040218041	0.788023771331605	0.929457620233694	0.721865386276693	0.897654891803954	0.882908576330647	0.816487714207666	0.901274709766873	0.853157448976145	0.920756188612185	0.85101075435948	0.823909998730759	0.706135591276909	0.905342833151815	0.792053221285316	0.834253423256511	0.942176162849062	0.9581931142112	0.945945870708814	0.659987866083536	0.870964671406195	0.835941044596682	0.94573630091932	0.936856127796699	0.956098884498742	0.89606560407552	0.90576730187162	0.847313177079518	0.904418237874237	0.954051860128972	0.876769418897337	0.864776537131832	0.896559536743644	0.740907049663983	0.511373239480933	0.909227405544942	0.84603805397011	0.903885584310381	0.787929284154248	0.78926535226375	0.548651587277209	0.846234886452287	0.601352478806585	0.690930559477953	0.951700190951201	0.529956470574898	0.495162672840594	0.517451062261025	0.726322468795202	0.53748861840239	0.553150910205091	0.873040605602862	0.509075950461665	0.782189625465445	0.614903088992884	0.809023354718052	0.391488896942324	0.459625332735174	0.582470205434726	0.914557616076431	0.424430255836372	0.493250111479088	0.419822549777749	0.553343267603275	0.781279976937282	0.516054482149356	0.533296461181535	0.497076713604653	0.528952142454315	0.961366719690033	0.510033357719706	0.95200018980324	0.454359193371747	0.794863720990497	0.523919448405708	0.548736630955836	0.377029116688267	0.494371645963196	0.531972721738251
