""	ERBB3	THY1	KLRC2	TNFRSF1A	CAV1	CD9	SMAP1	INSR	MYLK	ITGB1	LPP	LRP6	PTPRA	CANX	ITGB8	APLP2	NOTCH1	TNFRSF21	CELSR2	LRP1	SDC3	NOTCH2	C1QBP	ABCA1	TRAF2	CD44	TNFRSF12A	ITGA3	ADORA1	AR	ACKR3	IGF1R	CD99L2	GRIN2B	LIFR	GPR37L1	CALCRL	RAMP2	LINGO1	GPC1	RAMP1	MRC2	MCFD2	SLC16A1	ITGAV	TYRO3	MCAM	S1PR2	GPC2	AMFR	PTPRZ1	CD47	EPHB2	CD81	SORT1	RXRA	CD63	SLC16A7	NRCAM	TFRC	NCL	HLA.DPB1
ERBB3	1	0.925788328588323	0.907798767382324	0.773949964245624	0.609326676331517	0.574267622977244	0.848580981986146	0.352654279146564	-0.0145803178884028	0.806753473117956	0.766981262128585	0.867450440074459	0.793684659800427	0.74257878400988	0.802563110537479	0.797433486614411	0.858870968284517	0.887323696994975	0.796859401368666	0.82254151200079	0.82062555546187	0.634921762409097	0.886250188723226	-0.14990374663016	0.698354550286611	0.152252647984872	0.734228957279857	0.621685442714567	0.888708874700449	0.761644790070058	0.710942923459987	0.354122190020454	0.833989304954322	0.780647364428993	0.779010664414392	0.888018390045746	0.69249292533158	0.851928441650586	0.862846132975479	0.7764225959772	0.852740712688894	0.538176914282557	0.764796728893345	0.421977752866135	0.662702166654732	0.890527554368178	0.888008020341116	0.831297583634517	0.834511043003307	0.77253132011683	0.914690095380494	0.863727837096974	0.767686616196232	0.877243666763958	0.795239516818442	0.0125037345873806	0.837906639698841	0.554529322463431	0.806751631884941	0.67702733736525	0.842899510798707	0.583514509082507
THY1	0.925788328588323	1	0.938068202243448	0.767856679236783	0.591622172872234	0.589777183846158	0.875326224677957	0.290459647874468	-0.071016699990435	0.837301169013325	0.73827139683401	0.831842537702991	0.786676557105872	0.752643123693989	0.773202708411737	0.834174679537801	0.894070526581068	0.844923052181273	0.769319777762278	0.774288614915066	0.788083676669251	0.557733582988431	0.962452575284253	-0.229216255375159	0.794957487900506	0.134695513161416	0.768234581728736	0.576309467626334	0.880721357706524	0.733040945638186	0.786130435257222	0.276159144881421	0.843512132997706	0.791138085997925	0.774939361802536	0.859977852529347	0.661305507725132	0.862977772945222	0.860658422307393	0.791611937950681	0.856425551544994	0.502092254930951	0.768667843907413	0.427377413239243	0.610033519640506	0.883465245556365	0.929016918668341	0.850174286667318	0.896132181684813	0.751543113988324	0.897850372468299	0.904690888879067	0.818371235492346	0.860722202105457	0.812571391849241	-0.0507735863402708	0.874622143044244	0.532956930566889	0.775207209070646	0.664128344296241	0.930623253538492	0.633647158027289
KLRC2	0.907798767382324	0.938068202243448	1	0.76575859948273	0.613002172169109	0.585678566638918	0.861349325369163	0.356979175070888	-0.028883363269115	0.823410463086351	0.747907868424578	0.831488314141866	0.785850040721789	0.751120405088898	0.75821989128422	0.807150741803416	0.852078220625606	0.838195038040405	0.777127840798228	0.785005526804149	0.779616520827432	0.592436358938979	0.912400920207285	-0.158351923667887	0.776416210284947	0.135799455722858	0.743081383518395	0.592234510875904	0.842109958765796	0.72703740112963	0.728508223930933	0.334293059175571	0.844588376814334	0.77377224520186	0.760752213010763	0.822911043785851	0.692964188030862	0.845692620305094	0.846288418809989	0.772627621137877	0.840527761321032	0.510254272247166	0.774912947722538	0.454385775381619	0.617672256141125	0.859679212304488	0.879970501682295	0.842405302135621	0.858081532055707	0.74631071265605	0.880923944266475	0.875239484101572	0.782461188700776	0.848693415301114	0.781435627293606	0.0231312430544095	0.847712338774998	0.550759640950613	0.779051278248834	0.665745515744012	0.876122260062339	0.611711685259356
TNFRSF1A	0.773949964245624	0.767856679236783	0.76575859948273	1	0.848027121684905	0.846586966946638	0.863452544169495	0.549289974855667	0.317680869348204	0.907444098842496	0.887413485859123	0.808782392357365	0.891147269722461	0.874736877527562	0.867262334253881	0.906209005996446	0.777622676864115	0.822413308428929	0.820193442265207	0.870821645659682	0.887372804418658	0.782860034037645	0.7825266468406	0.227581423314163	0.719799047645185	0.524212969169979	0.819498569502527	0.798426020248842	0.77650846852503	0.812614555796269	0.746649317986015	0.616207751605103	0.876804070874888	0.865695164200221	0.886745847167495	0.715869477840204	0.772345360489728	0.840627199381425	0.875415289028141	0.911083679930339	0.864301253456865	0.791056078124788	0.854420834776537	0.666012903467973	0.845544992715736	0.787774754617401	0.74420706566709	0.788396587545132	0.675626806430378	0.849078631952961	0.860386073288322	0.893207320558032	0.782287711754823	0.911067776624122	0.831770990858502	0.38164141655652	0.927929455032019	0.768579708092713	0.886363662332014	0.762002867657259	0.788617182434565	0.623746446648772
CAV1	0.609326676331517	0.591622172872234	0.613002172169109	0.848027121684905	1	0.877827143197907	0.792023052239485	0.66798047164482	0.514347199795059	0.81407890454535	0.836456064353154	0.726692458986096	0.805850838276469	0.843298220429147	0.778035571391728	0.797143267354134	0.640170348394758	0.675045320926951	0.720147373838321	0.822761004036744	0.77591927963576	0.783591991564454	0.666893935749942	0.412934191188283	0.673684361881074	0.532451611712239	0.704420395566038	0.735091590071348	0.600094382069884	0.741074296718429	0.594898805029026	0.73702833987377	0.771556926560304	0.709217061035987	0.756202060243675	0.514350259415372	0.772433849309619	0.764880016594042	0.782770535015393	0.812170442892041	0.708008765615704	0.749850694752416	0.819960222581045	0.811077931882596	0.803191642014381	0.626913664223171	0.570365587778853	0.679106884481408	0.513512610072134	0.762374004480148	0.716453198925162	0.746249736207857	0.735485666981635	0.789827434735149	0.720429895894054	0.61176005907671	0.789631528652875	0.753316199918179	0.764769433865513	0.764122888349863	0.707725881478148	0.594185273861381
CD9	0.574267622977244	0.589777183846158	0.585678566638918	0.846586966946638	0.877827143197907	1	0.736629745213829	0.537372908907678	0.486871053761647	0.782558942938158	0.751678371874992	0.663617437560288	0.744281616962567	0.825531832924645	0.712299770905375	0.817856912905809	0.622166166667356	0.670492495678896	0.63917495397519	0.736536537669874	0.757881995188045	0.716934349174915	0.646449267397299	0.330311292192095	0.649546943801195	0.503843757214248	0.624992756429786	0.642664129077518	0.570510168897085	0.712396399626158	0.597802403449678	0.631925931186725	0.750748261028891	0.657436008573591	0.75172759550545	0.50175052173845	0.682642825924718	0.705931647383915	0.754380336813239	0.773366736054619	0.6422445323238	0.721018502730906	0.783128490832219	0.779085500307269	0.736266271589201	0.548947763309843	0.554737963197878	0.674278119586866	0.497522489144106	0.709498545301575	0.655192789362498	0.746201080503621	0.698722370938977	0.769433174192514	0.67330199511388	0.599774731525416	0.804859041623595	0.714337822538014	0.711923002829306	0.716665689566479	0.681562241161408	0.537298748629145
SMAP1	0.848580981986146	0.875326224677957	0.861349325369163	0.863452544169495	0.792023052239485	0.736629745213829	1	0.622801645027578	0.247707738974942	0.938351117293723	0.900033726946729	0.894830218221806	0.905156971355565	0.922891050655801	0.860392999552935	0.918566432494547	0.897316791646618	0.845369652166116	0.862501677413888	0.905593275792209	0.860806837910977	0.759768798677778	0.913849300342332	0.154629069081334	0.848547408272819	0.368403487590836	0.77570543031787	0.715657284403907	0.816070834328849	0.842571187996308	0.796229526891204	0.603150000905846	0.893841164778472	0.843677237380733	0.850903565293141	0.768418573989115	0.780553878168957	0.903342789668809	0.917281957678209	0.867412914685598	0.870227856505808	0.703741191966241	0.914972566365025	0.716028415262027	0.793919114937265	0.841530295034447	0.848672489556118	0.828154717349325	0.811442889744174	0.878424928836827	0.892779632901013	0.926942798149731	0.905734629735334	0.924764738044556	0.881808850336742	0.307545987847107	0.911035967222893	0.734282663114086	0.877462299145141	0.833286366971951	0.929790380821844	0.740683363861702
INSR	0.352654279146564	0.290459647874468	0.356979175070888	0.549289974855667	0.66798047164482	0.537372908907678	0.622801645027578	1	0.508045064426967	0.599741606277163	0.704230506737282	0.570278491242138	0.65836041655441	0.705691788203135	0.586700926110314	0.583635952195145	0.480960159478282	0.416463370553225	0.589611109278544	0.673278833942758	0.54232390134256	0.694088630728008	0.381838698957104	0.642929772921712	0.509098257106087	0.45103483433753	0.382073536488005	0.586415606642756	0.343536142945543	0.588902094943995	0.444172808418019	0.792330576843444	0.53551387232014	0.513241138209509	0.51695561633461	0.297624072980803	0.597123879155881	0.524783410715084	0.570441067186046	0.543490581072058	0.487628884830313	0.65976230432164	0.664742998729449	0.775238241179969	0.68111114236586	0.41767798482864	0.339176996479771	0.396650304415786	0.30540658193019	0.63729530496083	0.485219237959714	0.503109982541209	0.566528914221717	0.570285435485534	0.557053399858161	0.661780284644218	0.488891402266539	0.628093828492142	0.612336818779823	0.619758038668267	0.467802017861756	0.496818167057462
MYLK	-0.0145803178884028	-0.071016699990435	-0.028883363269115	0.317680869348204	0.514347199795059	0.486871053761647	0.247707738974942	0.508045064426967	1	0.30653768236375	0.375697728871719	0.170624485910312	0.296162712187387	0.382470310915738	0.269746945886553	0.261998648943272	0.106387090537817	0.122551447295011	0.253510165023038	0.314865161980571	0.227905117282899	0.478818718331411	0.0465107775681656	0.719095704264418	0.174879247234697	0.58676112493494	0.118934151480013	0.285138481873108	0.0017447246378275	0.271324447976391	0.0859970406200983	0.614935646547908	0.207183742787312	0.155467508606014	0.283524561686186	-0.0216775466940803	0.288804191634194	0.227769942847398	0.204112632911955	0.255298505410862	0.108270897127032	0.459185469496553	0.349492459361023	0.577217195522314	0.429556530162691	0.0142772653606433	-0.0405462567069772	0.05133148448924	-0.0549621394195781	0.294355819414213	0.0787693771221797	0.173725715418775	0.224152628648654	0.233022206533871	0.212964368685222	0.723118976431638	0.232112587082476	0.496096253479701	0.258071293325845	0.371373953250327	0.116017401487119	0.246593742688515
ITGB1	0.806753473117956	0.837301169013325	0.823410463086351	0.907444098842496	0.81407890454535	0.782558942938158	0.938351117293723	0.599741606277163	0.30653768236375	1	0.936326315008683	0.887321347691801	0.934245374017678	0.905975915058373	0.915126964757434	0.958980185623394	0.88858136561225	0.849481537832493	0.900860528408779	0.917783129797193	0.915070310176007	0.7991083206915	0.87081660845688	0.206335873963766	0.830822350819662	0.476687794028196	0.837410905433602	0.805190973349332	0.812157936321423	0.854463243641824	0.819662493662966	0.63521694986436	0.918051834367775	0.893518485365141	0.892922321874835	0.737325297489919	0.806584496283221	0.913333593440761	0.928907352044398	0.932587542489777	0.900684090979934	0.779094479342329	0.899418261926388	0.70300583659827	0.863737678258499	0.845974085707237	0.817191055427656	0.815375078502699	0.770823211654276	0.904111616064524	0.91202501333766	0.939705422350943	0.895805664402072	0.948000141202548	0.901637865377528	0.342039902775132	0.945424770166782	0.798379094180703	0.923786341699384	0.807617528001783	0.89897590395143	0.729204370463457
