""	SIGLEC10	CCR1	CCR5	TREM2	C5AR1	TNFRSF1A	CD68	ITGB2	FPR1	LILRB1	CD163	VSIR	CD53	TFRC	CD4	CD74	HAVCR2	KCNQ3	CD33	IGF2R	TLR4	ITGAM	ITGB1	ENG	THBD	TNFRSF1B	SIRPA	ADRB2	HLA.DPB1	ADCY7	APLP2	CD93	CD2	TLR2	SMAP1	STAB1	ADGRE2	SORL1	PTGER4	ITGAL	CXCR4	NECTIN2	CANX	CD44	PLXNB2	ABCA1	LRP1	EDNRB	ITGA4	PILRA	TREM1	UNC5B	TLR1	TRADD	ITGB5	NRP1	CD9	IL6R	NOTCH1	RHBDF2	CD81	NRP2	TNFRSF14	ITGAV	SLC1A5	ADGRE5	PTPRC	LPP	TNFRSF12A	PTPRA	MCFD2	RXRA	CD63	CD69	S1PR4	SORT1	SIGIRR	C1QBP	SDC3	NCL	CD47	RAMP1	PTPRZ1
SIGLEC10	1	0.965740951716337	0.912064767438267	0.963128941609451	0.677424830727598	0.824475936632471	0.920190812939131	0.958165093331063	0.983370825027347	0.986802753530565	0.991084265598546	0.970190937853487	0.962603079318135	0.966644279157956	0.971305187792311	0.982598804462636	0.964299394206436	0.896222335265334	0.939371792137902	-0.0380386307769813	0.560766455804213	0.963034251744408	0.531941679584843	0.94013870719192	0.532521180662817	0.870045646141436	0.984556652656858	0.79579551173495	0.964408176485011	0.789979417651703	0.548740662967335	0.976711633495147	-0.0647954308111315	0.710154898383937	0.332613563372594	0.957001599566379	0.961905133187551	0.973716706034531	0.963435427614612	0.967723090930166	0.617854842515785	0.918391212144237	0.215232028078732	-0.388471985975454	0.811372377245924	-0.201325389091282	0.45829343613433	0.825527911471445	0.831008771560118	0.502208834081238	0.641265369831175	0.928304771551574	0.965283980304033	0.882873441651554	0.688812284380421	0.949377171576731	-0.346586026282857	0.846740363621728	0.217530772643286	0.985917178393281	0.911043833466895	0.357757218228727	0.413504084805612	0.620826732743027	0.761657331628174	0.513323868997268	0.823432227393611	-0.0370826861342268	-0.0265760560231659	0.0448833574116297	0.0810541653049638	-0.324823559277018	0.545115608854717	0.889170786797804	0.430429844685209	-0.239413725683635	0.637330733228269	-0.0061769915414234	-0.149493244458537	0.31935943332976	-0.321170332780397	-0.288278200974181	-0.306247339282101
CCR1	0.965740951716337	1	0.843864119558121	0.966016661026637	0.555532925787077	0.871853764219647	0.934995091740013	0.980102582658884	0.984746279543314	0.950407141719947	0.971044134964391	0.976019862450179	0.965666267890962	0.919453929301165	0.961551323062181	0.955549684761422	0.977021995340467	0.897396031823095	0.964133791688024	-0.00858632375721886	0.502314643589127	0.905262221865467	0.594853639693527	0.957097606879562	0.613719011646707	0.82642326413642	0.980167007847478	0.846259727506237	0.907191382425271	0.745806789516519	0.602118949354236	0.952516981982043	-0.0522563744173922	0.620662938879573	0.378955423240954	0.909375236837069	0.924842483914383	0.912673988229108	0.946797310284092	0.944958590119348	0.628223211673692	0.935324882431095	0.266170984239479	-0.386852721170614	0.853338172737945	-0.185632438469113	0.494707320881404	0.854896559828679	0.794729666583521	0.483208279182831	0.589525335259694	0.884104545528594	0.967226373261635	0.919259291838353	0.723043760527164	0.974285354663246	-0.300036480665294	0.854627529756069	0.2742299658153	0.95996422876623	0.899299908985977	0.391069364577762	0.375367023109898	0.618591101986607	0.780614671995054	0.579806763979842	0.812192971150695	-0.0524225931120977	-0.0178053205921686	0.0708227417858926	0.134949862441563	-0.297337342599624	0.610117355185294	0.912942501209285	0.428123564419838	-0.23298562859777	0.6848669746096	0.0495786264765572	-0.133090681616414	0.367774572949612	-0.27642515582919	-0.266762262891428	-0.276310740892334
CCR5	0.912064767438267	0.843864119558121	1	0.82489913449803	0.828485127222279	0.695846258000679	0.859642304766491	0.820444794998629	0.864926363890037	0.92080866619573	0.916797303635733	0.904013343305763	0.832131583669566	0.935179974837403	0.877489562339304	0.905642017905776	0.829336581126045	0.90325483117682	0.832405418590221	0.138002087984866	0.699916984557146	0.902785974527342	0.493573476041834	0.770035911920576	0.555184313145301	0.887645078289116	0.864056248037671	0.62976985372343	0.929969402067256	0.760344151747302	0.513985110266674	0.852039591752341	-0.112723272499136	0.767049096968343	0.289469632908614	0.898459755284195	0.937637766019571	0.942874292356391	0.894026367078785	0.832769191638222	0.581483923972388	0.854948192185542	0.253869912796167	-0.286599222102429	0.723765927409134	-0.0152588136866561	0.456372462969839	0.743778321535469	0.741683488096034	0.63196258323511	0.68827639542855	0.809126954462714	0.878159556448066	0.82349475092017	0.596184880603122	0.802480523789441	-0.274119780560121	0.806142672479111	0.159170303110242	0.888967028363386	0.841124594865177	0.486359043573423	0.617924967475934	0.582110812910522	0.728699222504725	0.39166796823687	0.730990168808893	0.0507160038179535	-0.0169581895867875	0.0750764984080764	0.1524750037706	-0.222180840718723	0.475578181300566	0.720491668585689	0.362723444874146	-0.102953511379323	0.608357979893235	-0.0141303809727875	-0.113551043159557	0.264598283729857	-0.275481855252115	-0.278617849512064	-0.29350780840876
TREM2	0.963128941609451	0.966016661026637	0.82489913449803	1	0.512758300642456	0.885147556341739	0.901227898506026	0.987546357121653	0.979349998728486	0.95286829214444	0.953613237499896	0.955097387071888	0.976898163332638	0.926991348107002	0.961166888870944	0.966054822519494	0.993656638910491	0.861852405082957	0.958023657716748	-0.142106468581074	0.393047592042391	0.889800271622887	0.59829155616157	0.967829319356337	0.435801243884227	0.782539409053554	0.976731087701289	0.822864339045061	0.922570396975606	0.643443629300729	0.579394607729213	0.980051752662137	-0.0462414923660515	0.620526072519596	0.395114523853759	0.894402724667524	0.90043917122999	0.91900526247097	0.946453712210391	0.956518035558519	0.621602420747673	0.906067749479897	0.269017651239431	-0.473417692517333	0.85621460450305	-0.259617080875554	0.47451337553957	0.82968018958391	0.799391753329507	0.336429753249029	0.525842754257674	0.92490731039778	0.980985198779929	0.889036813068135	0.733326080682661	0.985733182010227	-0.291541403457289	0.797172186943033	0.297264806762921	0.960778704333605	0.89814795970668	0.332125928572956	0.348600918945122	0.652535729695836	0.785399080282493	0.578593188556343	0.798145473664812	-0.0227035615988894	0.0378949673835964	0.0999272945437162	0.137278422630931	-0.325247355387472	0.61267352926407	0.947532800847754	0.417148508448048	-0.260696054589436	0.637094299229418	0.0430003112248156	-0.110281848734462	0.38181385978104	-0.256510375237348	-0.212535516604421	-0.24877931964308
C5AR1	0.677424830727598	0.555532925787077	0.828485127222279	0.512758300642456	1	0.295841681555904	0.687723495376851	0.521362722691519	0.5867216077834	0.704043484816411	0.70615023291001	0.628426693676012	0.555907141564634	0.716070858917487	0.573766964828566	0.609866404358913	0.534097832905853	0.699426220989594	0.486203811920147	0.0632268385484475	0.857960131013621	0.726049580352755	0.18138939648417	0.485064333797079	0.520726456608006	0.870169123857197	0.610376290269779	0.39305185589037	0.667516887819946	0.691453939406775	0.314263302885531	0.564058710209495	-0.134014913392679	0.815439798367198	-0.0120858194345285	0.652568151966983	0.734541872584577	0.759470897328005	0.616957728022793	0.606128296181238	0.427629067726549	0.582884069064257	0.0363358496691063	-0.0522792191214424	0.41765241856133	0.166719438475142	0.242399072664177	0.477923688818691	0.498409982483827	0.758753306817404	0.782059500394027	0.607697720931144	0.568622596319702	0.463253896001969	0.285488510069925	0.460133281149844	-0.344878353241606	0.714858259239753	-0.140077215624709	0.656601425140214	0.545985942125264	0.510389672531883	0.586573715502506	0.225509228232212	0.558686995773618	0.150620561764834	0.566209536385371	-0.0662770984134144	-0.206893638751207	-0.126118174567689	-0.0262312170249577	-0.178656651810312	0.17865601313863	0.396644361529119	0.208120118765918	-0.0749741789216747	0.595849335079228	-0.192116845160925	-0.224505509092992	-0.0162396392950194	-0.453107725742318	-0.406136153727564	-0.391855181911454
TNFRSF1A	0.824475936632471	0.871853764219647	0.695846258000679	0.885147556341739	0.295841681555904	1	0.807564801923022	0.896720617903585	0.848571564878733	0.825140735099313	0.819071740149668	0.866716374861833	0.850041297652434	0.845832445974325	0.880825838421183	0.849788816446823	0.896070572350322	0.839747493154319	0.890293690858527	0.104432295624128	0.319823222716069	0.726656094588241	0.857435854312674	0.903449437096151	0.384724738111773	0.616134577720804	0.874972587252636	0.669733108821504	0.804114814305733	0.525699234026247	0.805488244897265	0.833097317168305	-0.106611084661723	0.441873365377213	0.74883970128791	0.749707641433382	0.827008184623298	0.782740961324843	0.861522118292418	0.803636068789262	0.518273759028071	0.905843590948952	0.619972782688843	-0.439969284472507	0.938872542030462	-0.116502671340318	0.762791272700676	0.916244346002094	0.718439019728936	0.191710559444163	0.438320762507973	0.815251433737057	0.872137525511157	0.922531773117038	0.911657240564484	0.902387733006791	0.126738137389748	0.73127647507795	0.671747096704943	0.838917186621134	0.944138684582878	0.3829715502662	0.447112579712307	0.883098383668897	0.804118705339287	0.742106446533968	0.667077950309287	0.352172404188759	0.434832730808269	0.493597452347039	0.505891849266822	-0.0180726598643088	0.871072040261505	0.873837757042264	0.320382372567501	0.12811403291219	0.512366262915566	0.458397641372969	0.298228398789773	0.732833490332723	0.181200837475209	0.202654887324924	0.17425200827869
CD68	0.920190812939131	0.934995091740013	0.859642304766491	0.901227898506026	0.687723495376851	0.807564801923022	1	0.927458137986529	0.92422341152345	0.934868568114226	0.948131052121837	0.941754873360017	0.905921955245063	0.909482085218344	0.909870840267616	0.886319359494025	0.925886297953635	0.948401653008141	0.90044153904271	-0.0295521459029933	0.688865013649703	0.839409146380469	0.628408410519287	0.896025614240287	0.696251121229548	0.925899698217617	0.934901337166505	0.719164496732219	0.848034250333837	0.686856419121237	0.697863096925161	0.880158130166843	-0.191714986450729	0.716817792523743	0.397586886359291	0.812952083148868	0.931002138157117	0.901160614400201	0.900825568775661	0.867753744824801	0.587670627131925	0.93350329500356	0.354032185156095	-0.370294842962054	0.867332538553315	0.0246892891919501	0.560063092511156	0.84241667563746	0.675122161190254	0.636202861669563	0.743486770280346	0.858234598705358	0.919214382510576	0.879401757664484	0.716211122975593	0.899273751450255	-0.21094845497933	0.937690723623807	0.265064016076191	0.912343301983327	0.877730035993955	0.609897846765212	0.558053809040679	0.57380065726564	0.885246023570758	0.539056867291729	0.734425549542641	0.0272016675746834	0.0124074697188334	0.137520036028973	0.212749204374313	-0.188810159862101	0.649656189227524	0.82127015304177	0.275805649464084	-0.115242459489889	0.812307844403838	0.0993710180842577	-0.0658129484190248	0.386076335675666	-0.284310838205802	-0.24400212926861	-0.236844225227663
ITGB2	0.958165093331063	0.980102582658884	0.820444794998629	0.987546357121653	0.521362722691519	0.896720617903585	0.927458137986529	1	0.982189922053983	0.956088664354008	0.958466934253866	0.970331385277263	0.987674878120935	0.924456215296653	0.95880987003324	0.957217038308272	0.994349874501004	0.884108660142151	0.954831938628267	-0.0880482922017747	0.447749366591093	0.890347019695808	0.628296304346071	0.973969260234178	0.516539044662609	0.798766182113325	0.981846033167595	0.844300729910517	0.913662511668426	0.66465941770728	0.624360913966465	0.968104525326342	0.0122266110086276	0.62522367129311	0.419108231781153	0.879804204962092	0.918560232419387	0.917936483993379	0.96243518453036	0.948931908749025	0.686170430295968	0.925638703419173	0.296956270870542	-0.38261675842762	0.883734063478893	-0.220763033402457	0.512896576763481	0.848701732502761	0.818528631476036	0.393102788558577	0.561676389935862	0.91711044211037	0.970049610074886	0.91888389221529	0.755695668067635	0.977764805920021	-0.270127093682811	0.837719289298427	0.329575284407111	0.956462053927986	0.903236604188968	0.372947477642203	0.396319252011702	0.651467519657485	0.81022815739306	0.65634438230961	0.842752401005821	-0.000312581239962331	0.0412320905206547	0.128846974670803	0.162873136767096	-0.295380414161199	0.64308624486734	0.96285543475446	0.473846402501523	-0.229693420572237	0.705729138511388	0.0858311796720045	-0.0944378764686467	0.418107165018726	-0.243419596626774	-0.207332404777541	-0.233981684642386
FPR1	0.983370825027347	0.984746279543314	0.864926363890037	0.979349998728486	0.5867216077834	0.848571564878733	0.92422341152345	0.982189922053983	1	0.967249562431626	0.978568125237325	0.980333106584282	0.978498441390328	0.935615196055129	0.976640973356477	0.980651385875675	0.980403597943255	0.884075985950468	0.96547069664072	-0.0698518017608149	0.494575236205981	0.939352604154621	0.539636490405751	0.951585191541465	0.570317314151928	0.826680814311973	0.9827375110435	0.85047540856688	0.943349493539461	0.75619125469601	0.54145385585574	0.985363708098227	-0.00717471307408633	0.651925706778638	0.334837169279983	0.940842573106539	0.936366325783665	0.938612047167033	0.96638779056424	0.957655209872146	0.642406682407454	0.915268690844248	0.200333138112225	-0.393052678196552	0.828981968563765	-0.264884798048791	0.441402383243869	0.827162798569555	0.835477363188439	0.47431255813358	0.570539308725045	0.899127029512193	0.977799883698992	0.910364534568887	0.69744178374325	0.972144723036182	-0.367688577619316	0.82482409447827	0.240011933805042	0.970843691052596	0.895884022902903	0.333705457569189	0.360643737314755	0.603406545834749	0.749415232399289	0.562844815114518	0.832774991277595	-0.0841432322805313	-0.0505379016218834	0.0252103236233765	0.0629773356464374	-0.365691965712482	0.551188370333785	0.916709576530982	0.47674226222188	-0.288539741559959	0.66474126410181	0.000458179843179414	-0.175383790775816	0.320025111203281	-0.323786293528428	-0.303152238907118	-0.32010824729358
LILRB1	0.986802753530565	0.950407141719947	0.92080866619573	0.95286829214444	0.704043484816411	0.825140735099313	0.934868568114226	0.956088664354008	0.967249562431626	1	0.987552304873175	0.960285689886089	0.962017563953002	0.971841822990519	0.956418249398824	0.96437787307353	0.959840586134183	0.905620113164201	0.911516515492694	-0.049877941705156	0.603323724121362	0.943196010759136	0.584435141755458	0.943191999469399	0.527293656335739	0.891487587929288	0.976122686165875	0.757640262328349	0.953764151625998	0.741861867496325	0.607804584249365	0.961075002499081	-0.0482317564444167	0.756033323600495	0.367302717607912	0.926676152203311	0.970116395606606	0.979417143605214	0.962731846454814	0.96125216534776	0.670941767017396	0.935368098866082	0.280350008088813	-0.355312804266345	0.841859222438026	-0.121254697917051	0.504556238478626	0.827072166019932	0.819983303801675	0.510088660500229	0.685008842224001	0.945646081225203	0.948436426932306	0.886959523680688	0.699550962640638	0.92953364836754	-0.279665157313489	0.88443616809014	0.248379453476863	0.983980097266643	0.910700228862096	0.436548455127593	0.492224396770443	0.639922320437772	0.819991419907676	0.543661151411632	0.836696671861493	0.0377204478705818	0.0219087373359325	0.113463878200055	0.133262522280386	-0.245911856977283	0.584664279132415	0.8974609704482	0.424881752115381	-0.185604161599837	0.673197116625689	0.02955977223517	-0.102205350669789	0.364984428266483	-0.277256664955421	-0.237623029912634	-0.263874882980248
