""	CD44	ITGA4	CLEC2D	CXCR4	CD2	ITGB1	CD69	CD3D	CD8B	CD3G	CD8A	PTGER2	NCL	CD96	RPSA	ITGA1	GPR171	PTPRC	TNFRSF14	CD46	DPP4	CD47	PTPRZ1	KLRD1	ACTR2	ITGB2	CD247	CD6	CD74	ERAP1	PILRB	TIGIT	KLRB1	SORL1	TGFBR2	CD226	EGFR	TRADD	S1PR4	KLRC1	DIP2A	CCR5	JMJD6	PTPRA	RACK1	IGF2R	F2R	LAMP1	APP	CD63	KLRK1	TSPAN5	HAVCR2	ATP5F1B	APLP2	PTGER4	TSPAN14	CD81	SMAP1	TNFRSF1B	TFRC	CANX	CD4	C1QBP
CD44	1	0.965535095817531	0.852108092968632	0.949199087694351	0.932393025628059	0.714205154452266	0.872535682215879	0.885601840845197	0.86559257781948	0.876040991432458	0.851987179852273	0.661757799226389	0.624852279127711	0.931429831878553	0.708255748974958	0.259773337675693	0.912934653320611	0.921588656987467	0.802569021926086	0.313886028583842	0.72673544386445	0.61952661089234	-0.417345381346247	0.353180929763732	0.659099350143489	0.640991401779474	0.787892349564141	0.855363246509338	0.0989798052835286	0.833509600270965	0.0291140798320029	0.783536586298136	0.674575604564199	0.141600918630746	0.806482081823899	0.721849761808145	-0.323547350727063	0.769105585221099	0.66440034702237	0.429443325524772	0.0596679181970787	0.877106007026312	0.935576143751498	-0.0834977902874458	0.665035268379748	0.467517817871807	0.454513903599296	0.229067123332681	-0.396447270548478	-0.135926976848901	0.718944326333638	0.417504098877842	0.30233663692137	0.492163137489822	-0.202536528395751	0.831775575027022	0.381523771675376	0.181508815394988	0.602373067711673	0.74322673495658	-0.0876029057746756	0.0586386046390035	0.431757672360708	0.647110246486425
ITGA4	0.965535095817531	1	0.805458463036724	0.929899350647761	0.88551790674721	0.704635709896834	0.837714106364981	0.856865082921511	0.831235320330794	0.850750684043159	0.853520606905934	0.550978197608002	0.592358050589822	0.897217700664001	0.658596475136014	0.209443266187878	0.918227650040955	0.89902235962771	0.757102702568308	0.224137068961209	0.663758670905538	0.553328368763264	-0.445516061835714	0.380391191995503	0.650139591610801	0.655636565934791	0.760429666020853	0.848452707750182	0.15150613904678	0.809469354340481	0.0538476318221341	0.783837068325333	0.60920482550646	0.184818423428858	0.846027993142078	0.707744497740385	-0.364263334072451	0.713991816397678	0.586754780107061	0.472454818748054	0.0644946990513839	0.899213650040704	0.931366934112358	-0.0848148048441308	0.622275077684656	0.438858466206428	0.45854686408487	0.240310222928394	-0.445431472690678	-0.151775341882529	0.761469313868362	0.348874853848595	0.33024000539131	0.495631414873506	-0.212739836763114	0.780093844378211	0.308582366373173	0.213495808730338	0.577748687666605	0.736390871054834	-0.121726610492321	0.0490370292168357	0.407718002803444	0.62699930173904
CLEC2D	0.852108092968632	0.805458463036724	1	0.89638501435237	0.939518829625704	0.651643465239811	0.952834014896154	0.907179392272928	0.732811792597207	0.882838407379166	0.703680850839609	0.829050715575565	0.659673890243822	0.887552974242644	0.904599717218301	0.0882931213264743	0.787538083663932	0.930518338697962	0.929014078988018	0.483851269200944	0.858896338293074	0.716469581826828	-0.342132414430125	0.0835005653279013	0.704314783244521	0.727855622435583	0.77923728133776	0.868269254981528	0.184740930119512	0.830492038421799	-0.101853175957735	0.588406587916662	0.907246334895133	0.235462787039668	0.752388084550421	0.848843835892471	-0.260973939796526	0.922735333543667	0.775638196910789	0.15834731180567	0.119520059800808	0.672673940495385	0.761042671020378	-0.0239518051545141	0.837123332922082	0.474615215246527	0.225767224153776	0.457663920786653	-0.29142617286056	-0.0756941136308834	0.342245259530706	0.641049229906136	0.302649312436849	0.588238497507588	-0.0853206040397221	0.908305794254977	0.643533311167126	0.263801127483031	0.697266717560559	0.762049652742357	0.08717824357218	0.159490396916474	0.730350668430477	0.713778680323629
CXCR4	0.949199087694351	0.929899350647761	0.89638501435237	1	0.946213126631408	0.704490723075138	0.920269433799061	0.929520375907092	0.891445131463404	0.891598500985131	0.824627919012635	0.756063215351591	0.719698920368152	0.974168779719114	0.806916176008554	0.135536904228763	0.868169453318444	0.979048560390143	0.873875663431599	0.392453452943659	0.846783621914127	0.686361060117377	-0.434225942643312	0.41258766327331	0.758221160717207	0.751398886480784	0.89843634549491	0.907504261908786	0.189800179150695	0.833197383100348	0.102046189859248	0.771288035506816	0.786116245185421	0.244869278807314	0.844007701803186	0.817933747935088	-0.345902630175265	0.820573158153002	0.764348588008991	0.469579996447623	0.0844272744666724	0.858825732856862	0.903145333409518	-0.0559134953068255	0.756633658122371	0.583539946567061	0.421225580062218	0.342304070169382	-0.411048962107704	-0.0980242618712473	0.67547649449839	0.477508141303927	0.445082852418464	0.583077837711498	-0.145716533173544	0.940771527041679	0.556254272955368	0.244424030679441	0.672125354837849	0.852748372388931	-0.030480187534957	0.108348683907862	0.551346600939125	0.719807829507968
CD2	0.932393025628059	0.88551790674721	0.939518829625704	0.946213126631408	1	0.641470878007609	0.958286885134913	0.977499537400007	0.864467261513461	0.963233686968111	0.86402037620054	0.821494489621631	0.647055772075618	0.958478845906381	0.867233930836873	0.0981176768794059	0.859834400571149	0.956769665867394	0.889314127236922	0.396435868689894	0.878300107359562	0.629936846968145	-0.417720720251972	0.138950313565828	0.703310288087419	0.693117959985678	0.76813403228382	0.924823382956075	0.114809783791637	0.887263656847731	-0.123923387249585	0.730302172283522	0.843432116671631	0.139654941350021	0.774131794449831	0.869707017693212	-0.323285945008274	0.91819759213944	0.815532383032346	0.219597421823909	0.000911133185236269	0.753137034692052	0.87592839807655	-0.115976077480768	0.7969112647168	0.411944632919696	0.270311871990776	0.295113960499196	-0.388083252237541	-0.117012402774994	0.494333816902263	0.533678944232585	0.267506955670844	0.54387262773711	-0.186008365216118	0.918657764842066	0.507074029415723	0.198799411971518	0.63111992682068	0.777355447100122	-0.0542104978782789	0.0590937633320804	0.618130012683687	0.667497621710437
ITGB1	0.714205154452266	0.704635709896834	0.651643465239811	0.704490723075138	0.641470878007609	1	0.590347417792163	0.599239136518702	0.628890971903567	0.581761992031875	0.584391851196132	0.569539977800012	0.814575429236395	0.638380500187449	0.612440476148473	0.623679244044846	0.577880477766249	0.749925302201328	0.640428122166121	0.601402297640175	0.54790055850274	0.829387596577018	-0.0375773553924951	0.318563807804696	0.850931180722494	0.778168669736669	0.588364279302414	0.54086825879773	0.587722291987764	0.674330272045007	0.359843276351236	0.605828978229412	0.47632743165872	0.624310816456335	0.82564970232093	0.518122456053076	0.0194081841882035	0.555352774505573	0.544615419431103	0.403335721371121	0.485885043928958	0.655541075889247	0.73373266141403	0.346271870855027	0.70692698937044	0.622439610890604	0.658909200619289	0.644986191806382	0.130553955981737	0.305861257541973	0.48039294895489	0.647192412238937	0.651795118140633	0.730746750795791	0.422978141570647	0.660158070451053	0.62469340971583	0.680211208498854	0.730062008614664	0.813777810101913	0.389274744539413	0.557392774218542	0.59741288791381	0.801810746809642
CD69	0.872535682215879	0.837714106364981	0.952834014896154	0.920269433799061	0.958286885134913	0.590347417792163	1	0.927676397300694	0.731606224323425	0.89501479358325	0.720410535617139	0.826944021265727	0.6131097134944	0.932096013984497	0.902133962150461	0.00493111798973081	0.851294349869707	0.921460654454853	0.930650987990599	0.40200123077214	0.878428287533009	0.63717974477802	-0.400987040636494	0.149073228613238	0.651698998617279	0.709595562185668	0.792164243015798	0.888054456367737	0.101621260565524	0.849759205780748	-0.136785469765755	0.616345682547671	0.923706545050151	0.156503825982117	0.721174221818929	0.874575972273969	-0.320644162707736	0.943577906875799	0.76686883689566	0.200537481795661	0.0199564955004876	0.659001441556787	0.762762832391422	-0.101696941064478	0.8049175211403	0.4198614027862	0.211188104014526	0.366236122344698	-0.366026164274548	-0.123864346194116	0.412756462243841	0.582239686983096	0.255420985122075	0.536246775385706	-0.161469299875959	0.912064517376763	0.535147952011556	0.185830005537768	0.688631266588435	0.737076165991629	-0.014160512666414	0.0953562675413025	0.685609205046877	0.686208340890738
CD3D	0.885601840845197	0.856865082921511	0.907179392272928	0.929520375907092	0.977499537400007	0.599239136518702	0.927676397300694	1	0.886345048505212	0.989519288546994	0.895470338290529	0.800096064247832	0.647501686613246	0.95135966509504	0.865567333552304	0.0411380151809844	0.78852468652511	0.948228888194449	0.874853993255034	0.429954549765905	0.903239645821431	0.569551328279764	-0.40549470660432	0.113218534910058	0.723904753571458	0.715137005910469	0.754732394368443	0.963172093654597	0.128654250881954	0.852899022708756	-0.101400449592478	0.714544208360602	0.830799308376213	0.150111845088531	0.800092340880567	0.914612760864225	-0.315838374344175	0.902555857397663	0.841366288046214	0.193801477242813	-0.0110495707232492	0.747586826860255	0.860677080804246	-0.100686432517711	0.791238670996646	0.447485183509766	0.276242671097806	0.31663824556668	-0.383205018609793	-0.112802366671834	0.463785778328459	0.509887137003903	0.299287871240165	0.564076706261554	-0.176242362765286	0.924855182065254	0.529973373420162	0.204027048245995	0.59508615453109	0.791463000100199	-0.0489238516939565	0.0542967380331954	0.627117877020233	0.647225540547188
CD8B	0.86559257781948	0.831235320330794	0.732811792597207	0.891445131463404	0.864467261513461	0.628890971903567	0.731606224323425	0.886345048505212	1	0.87714688819241	0.923963883601125	0.652972849963883	0.682573340579876	0.888249834673387	0.669020265145476	0.154385924016062	0.708328578189397	0.883364284895004	0.719888458771981	0.371758069123327	0.777874130743767	0.566898251722429	-0.389330714750747	0.327515719877543	0.738253345742833	0.634694315608584	0.738169468893561	0.854975984178279	0.180955908171633	0.77187080714818	0.0847417164105731	0.772972778367515	0.581426279236154	0.169402081801634	0.785826449738401	0.750812668314962	-0.294631191463604	0.698944181654645	0.728254613286227	0.38896467949107	0.0150803378954832	0.845086502102497	0.900139547007356	-0.0508386933015229	0.65161208611838	0.528154958574842	0.420524976627194	0.193302386229045	-0.389561299684987	-0.0712981483738233	0.678420793232569	0.327549538362146	0.452538116538917	0.532154964945511	-0.149628295843298	0.851381527978727	0.472940853490272	0.224576987208994	0.49928324620608	0.794075414782742	-0.0984190609424911	0.0481125343292845	0.392312499929267	0.60359109417922
CD3G	0.876040991432458	0.850750684043159	0.882838407379166	0.891598500985131	0.963233686968111	0.581761992031875	0.89501479358325	0.989519288546994	0.87714688819241	1	0.917798032928748	0.757171688675552	0.606047699443943	0.923048331013423	0.833009484678835	0.0476028703585341	0.772010769845928	0.918358138178713	0.839339389115719	0.399387453511184	0.859860543506763	0.513026550808245	-0.399417876674474	0.0329552969785287	0.696010543839881	0.687567871572455	0.682076521463259	0.954505156829947	0.119718444848711	0.846989254370671	-0.163912808969175	0.694877078046974	0.782561582762101	0.128293612114945	0.792667769199823	0.894613469351447	-0.312207791148776	0.888519169360168	0.808300370952888	0.124491559696423	-0.0372699449422139	0.741529011505974	0.864322505400837	-0.110871912093677	0.762218153582641	0.387905893240619	0.266946038521193	0.281286335945368	-0.384186256916863	-0.121018766091651	0.438226357669745	0.469277616992999	0.256992038612377	0.538204003993385	-0.191123980835308	0.876589480892035	0.4689839466727	0.199714949166031	0.552733433335764	0.744807720451813	-0.0759084523137214	0.0269547446652702	0.60561488227828	0.610968075879027
