""	CD3D	CD3G	CD44	CD247	CD2	PTPRC	IFITM1	CD8A	CXCR4	CD8B	CD69	PTGER4	ITGB2	KLRD1	ITGA4	IL2RG	KLRK1	ITGB1	ICOS	SORL1	CXCR6	CTLA4	TNFRSF1B	SPN	CD47	C1QBP	CD46	CD28	S1PR4	ADGRE5	ITGAL	TNFRSF14	LPP	CD81	HAVCR2	ITGAV	TSPAN5	F2R	LRP1	RACK1	VSIR	CLEC2D	CD96	NOTCH1	ANTXR1	PTGER2	PTPRJ	RAMP1	ERBB3	JMJD6	CD63	HLA.DPB1	SMAP1	CD6	THY1	ATP5F1B	PDGFRA	RPSA	CANX	GPR171	HLA.DPA1	CD74	PTPRA	NCL	PTPRZ1	ROBO1
CD3D	1	0.994232922855002	0.995586233237722	0.987051178237412	0.993274557234337	0.975164609370554	0.982707136459334	0.986373628458156	0.955155057324645	0.988552849223562	0.983909870897563	0.921715635088746	0.782704135858962	0.968193848480617	0.961927461796304	0.986722646806622	0.946068858574039	0.6164896966137	0.930122861970443	-0.177929340744652	0.976854710608389	0.957647417831603	0.345734349307945	0.97233567458069	0.40046722921659	0.0867715914912784	-0.0555612954439911	0.910707173329704	0.990925811840991	0.992097343132938	0.971661612968113	0.940545691630135	-0.234654809975369	-0.192199642167329	-0.0407899703336882	-0.286572735786407	0.419199324117003	0.884691142559396	-0.45235943544692	0.244720232543399	-0.0104656487555792	0.967109222702786	0.996394202171075	-0.45949601695877	-0.108668538948533	0.985277956743435	0.0596689832486163	-0.163687464691149	0.0363677584891219	0.258790357332527	-0.273369755359965	0.107930980866873	0.163985071487122	0.98257477013438	-0.384524138152441	-0.203654896786774	-0.289066108711554	0.191264441109949	-0.314855237669672	0.993583078946807	0.114106680541921	-0.0657028805178235	-0.0396992985155431	-0.0258957646550907	-0.328188658849888	-0.303527822000459
CD3G	0.994232922855002	1	0.995099106672425	0.979390800477624	0.995452130100644	0.979059123198656	0.983573448267838	0.989011184740379	0.955947540009043	0.991498565861551	0.985406815199394	0.922084606519257	0.788765289827121	0.960902588847902	0.967415709139759	0.993182227496375	0.951440185969576	0.600309867547923	0.930094807979546	-0.168502936001737	0.974115411650245	0.964070595844556	0.346838066243305	0.971208906283584	0.364400331079627	0.0616922591378496	-0.089174682248512	0.934789874900847	0.987057928175284	0.99451110501973	0.980868854628265	0.933432470035329	-0.253940209288539	-0.212138249967182	-0.0371943335143828	-0.322282222881589	0.384865868795978	0.865910558476417	-0.476527544700155	0.220018633908837	-0.00326795377535369	0.967779914163152	0.994977939203019	-0.486503506256468	-0.160774584652275	0.984354290954381	0.0547384230778464	-0.205897604776907	0.0357036958602715	0.255396598527003	-0.28863482544686	0.128706050323282	0.119124203051313	0.971403414660155	-0.409726354116812	-0.231236103171907	-0.326918069817307	0.162244641914484	-0.342703348779646	0.996539510498494	0.125587917317632	-0.0519685464372423	-0.0819725250860045	-0.0644057856917324	-0.365621923980494	-0.341912960832258
CD44	0.995586233237722	0.995099106672425	1	0.977712981197736	0.993318138304058	0.982362597744967	0.985070221774979	0.983284255579029	0.96418272548813	0.983230335927314	0.986705835102689	0.925791424823657	0.798631980619491	0.950328019907484	0.971469117254103	0.988196385317153	0.935332258313959	0.640470648508341	0.945080211362438	-0.146533118313821	0.980196210519816	0.960597031733593	0.376615471264633	0.979713746754798	0.418038619050558	0.110480323467108	-0.0160127182018349	0.917027609590478	0.987215669621648	0.9887623582381	0.969139343514813	0.938361993871861	-0.193119610698726	-0.16829540683035	-0.0183290381584682	-0.2602318489153	0.438214902851456	0.88511337475607	-0.427620695337778	0.264375834084366	0.0177418087434805	0.979737050193806	0.991284216157391	-0.423845000414082	-0.115906376683602	0.979750251623998	0.101818733217569	-0.158194646857352	0.0753618086000469	0.277379603556508	-0.245161634674845	0.133693386078366	0.167668024750715	0.977980441439312	-0.363819716354671	-0.187713912289072	-0.276138568515699	0.210069112871306	-0.29172557153378	0.993994285063238	0.135082047334246	-0.0425526504948533	-0.021173742906884	-0.0102750184517833	-0.310624120037412	-0.285257895038278
CD247	0.987051178237412	0.979390800477624	0.977712981197736	1	0.983015590294539	0.961644498885003	0.97719971186516	0.976107222451239	0.942252667885504	0.979200954135534	0.981913103359796	0.912009974369201	0.745991179635704	0.988270219420933	0.959188442298623	0.984134515294131	0.952045031807739	0.585411228768789	0.907747109485297	-0.21503363660396	0.960020152452595	0.938782488831718	0.319151269449531	0.942348696570398	0.383014073581932	0.0519199622549938	-0.0864542546808797	0.887140711347998	0.992582028730691	0.984199364802264	0.966678122455722	0.920303483889377	-0.264337141313677	-0.226011776064214	-0.0564850258058214	-0.308656302969999	0.384505894430038	0.87602117092968	-0.470771318357012	0.207307762218006	-0.0508349935431553	0.94817341863976	0.990938510981225	-0.48125081071351	-0.113785511891947	0.981835203659862	0.0181818080239517	-0.163605139916522	0.017802436753095	0.255511590619171	-0.308359700474964	0.0579629679386138	0.149608697605916	0.963444750294436	-0.407184783110767	-0.237375931700739	-0.28944529177547	0.159588673440611	-0.339450509697095	0.984342245284676	0.0742729218783361	-0.101835330521062	-0.0600025892719473	-0.0463520791689001	-0.337409496260474	-0.311647558778253
CD2	0.993274557234337	0.995452130100644	0.993318138304058	0.983015590294539	1	0.977429520628539	0.989274697782231	0.992442148714302	0.959067201955481	0.987942577151124	0.989484725505533	0.914930924076571	0.783570322727041	0.965456574532929	0.969752718821096	0.995937894255037	0.945900278325972	0.586086409074828	0.930022333638473	-0.177672133573724	0.973731002728612	0.95466361377765	0.357561311876628	0.970094531282987	0.359433285422575	0.051060897882519	-0.0949083439347507	0.934739923317331	0.988646645542801	0.987376528357055	0.975338506968141	0.922099357710546	-0.254646531314962	-0.218045449476055	-0.0328567754548255	-0.329822453828572	0.37398291908267	0.86250038456401	-0.477961407294363	0.213396952598396	-0.00571588769473581	0.962966997996929	0.994482608055683	-0.49070285947786	-0.16703301324664	0.982315293577514	0.0510016634140357	-0.209786300327839	0.0169176109045912	0.262215138019459	-0.293476292215408	0.120427575634934	0.115639808201315	0.965423090285347	-0.414582903544915	-0.236054239616909	-0.331363712812909	0.153925208706918	-0.3473881187429	0.992204715469057	0.120772476057349	-0.0549573531572887	-0.0812177705084764	-0.0673902473027752	-0.370600982934447	-0.342194947461105
PTPRC	0.975164609370554	0.979059123198656	0.982362597744967	0.961644498885003	0.977429520628539	1	0.979482358542519	0.951154024419846	0.990476509581926	0.948516863998028	0.991196772267201	0.939892564786633	0.883905300563444	0.923627761866737	0.988703172654253	0.975602123924633	0.887720184572534	0.703573565420859	0.972580818533432	0.00853179274118135	0.983291824180544	0.95070889494587	0.510932794933834	0.979724846162985	0.442417459954608	0.162033018743339	0.0322713532880912	0.921140643020948	0.971754022993797	0.967641015076447	0.960854069926648	0.947619032976366	-0.106203189766086	-0.0774211077863191	0.147460768602449	-0.23715930778824	0.455264345046888	0.844887083887086	-0.376823050905626	0.324139723016156	0.178477387690128	0.978571598751506	0.971129869263386	-0.39243801877855	-0.111646987756938	0.978937035702354	0.230229560003029	-0.183244696665362	0.0560638726408026	0.336007298728217	-0.143441383909681	0.279559129681057	0.164918016299816	0.95957712049406	-0.333037182667345	-0.121222668947319	-0.301642326774908	0.245314706780468	-0.238950777693718	0.979794233009176	0.286003424850258	0.116887504512737	0.0129122367811554	0.0250945540077291	-0.311965651317479	-0.283886782946387
IFITM1	0.982707136459334	0.983573448267838	0.985070221774979	0.97719971186516	0.989274697782231	0.979482358542519	1	0.980998546805589	0.96116848019531	0.971842573246457	0.993040258301441	0.891330865861444	0.81095593877308	0.951675656184598	0.983648551484813	0.991287935677523	0.91579247845965	0.605848596706507	0.936143935107011	-0.128311208400111	0.961679664477319	0.922166633887539	0.382261606492533	0.958334975647118	0.361990601665301	0.078018511047456	-0.0584887394762896	0.915761983536472	0.990514443796948	0.973811705374759	0.95896012821594	0.914250483816956	-0.231228342238145	-0.18233221827949	0.0305534819721461	-0.312568135701393	0.379492421208165	0.850668689402713	-0.448060654635024	0.24424574535763	0.0388176939731776	0.95449323113648	0.984354651139044	-0.462950408481982	-0.153223474197827	0.979699915916682	0.0906765150632898	-0.200024885273786	0.0140404147349687	0.261255843755753	-0.251803663960002	0.161475047938147	0.123931162989084	0.953770296625497	-0.395120826128316	-0.203540415637295	-0.319254104448574	0.181603565938582	-0.318897762167098	0.988388062398809	0.167187147504996	-0.0128808772875818	-0.0667441745167822	-0.0503385131864152	-0.353322701700822	-0.329349874773538
CD8A	0.986373628458156	0.989011184740379	0.983284255579029	0.976107222451239	0.992442148714302	0.951154024419846	0.980998546805589	1	0.925480645324401	0.994843162250999	0.971381024891948	0.887589984557773	0.724848321893623	0.969056486231718	0.9446912405053	0.990880301739669	0.962445030406111	0.528723445343844	0.888914208105607	-0.253053458458773	0.945435457765315	0.939772956731846	0.263459514686165	0.94806623612395	0.316436481080454	-0.0036774082276822	-0.15073273527867	0.927244102826743	0.982808468046096	0.985338388362544	0.972935301636756	0.894440609486786	-0.326923474276026	-0.282002163213009	-0.117981006610846	-0.367900281847877	0.323393288329741	0.855533106985535	-0.518353369002403	0.154972515454996	-0.0974013210935957	0.942221172583485	0.989431398692543	-0.528578248051034	-0.1934654653089	0.969063697211004	-0.0387117181379796	-0.223013965272811	0.0105075774366199	0.22785310067563	-0.359657114504296	0.0468782150572639	0.0883369399538751	0.955665820294086	-0.446517504853458	-0.290712378026613	-0.346627630728433	0.106184523674166	-0.393282571820713	0.986586485638103	0.0423319485084191	-0.135347060029108	-0.130596060571923	-0.116239819167208	-0.394254298899442	-0.366279566944613
CXCR4	0.955155057324645	0.955947540009043	0.96418272548813	0.942252667885504	0.959067201955481	0.990476509581926	0.96116848019531	0.925480645324401	1	0.917426537316428	0.978326359180381	0.952833293023004	0.903666275622354	0.895265700421587	0.975274078216148	0.954093317797547	0.853880303345997	0.759303342146838	0.976421986074646	0.0641344105506114	0.979349830348697	0.948572918339774	0.591413128433657	0.982165901752955	0.506806425829738	0.242019993644726	0.104932025786197	0.920597304481648	0.945630547683541	0.944868033960459	0.941993090043608	0.955096609523291	-0.010616918796952	0.0140782634757301	0.223097604884725	-0.158090244584457	0.523031123143904	0.848243773231745	-0.300445189260178	0.402651439214845	0.25290805834717	0.974509290147084	0.944550630425999	-0.330901567692153	-0.0356149084591343	0.959359117702857	0.291927228551851	-0.124220423874554	0.0887564422475549	0.435581342784419	-0.0548171485415062	0.345927186367566	0.243624529686809	0.952169232827062	-0.25055549516279	-0.0317849523261939	-0.247872665989926	0.318875845244321	-0.154526410685151	0.953853416958751	0.351713825425781	0.194305088513225	0.104436267255532	0.116057598729069	-0.244950833029798	-0.206175240607255
CD8B	0.988552849223562	0.991498565861551	0.983230335927314	0.979200954135534	0.987942577151124	0.948516863998028	0.971842573246457	0.994843162250999	0.917426537316428	1	0.965789480446757	0.896065430485847	0.712525079398047	0.974713564325076	0.938518369302401	0.986954237704583	0.976870753955509	0.524766150572804	0.883287390105345	-0.270978093201092	0.945728785954724	0.948920602298665	0.237215881393184	0.942708715232805	0.312590725881834	-0.0148032196981904	-0.162220475354755	0.91594392582624	0.983503804060965	0.991985983869246	0.976599106913508	0.900921480738291	-0.339943954535823	-0.30106236290046	-0.145790399519747	-0.375728818161131	0.324454454423196	0.857815117078738	-0.533188346528694	0.138710381649198	-0.120353946523971	0.943269278947215	0.992109577049845	-0.53532741390686	-0.195286230845189	0.972028207632127	-0.0606264289130816	-0.227011799115761	0.0191517564113378	0.201933703263561	-0.381227175472	0.0243059813936487	0.0816128058151144	0.960150267777914	-0.459773123302104	-0.305219487485582	-0.348543959959461	0.0944462542722212	-0.40812994424062	0.989781682449494	0.0212124289983362	-0.158898562534438	-0.142458455549798	-0.128008470850381	-0.399893021895279	-0.37652129996884
