""	PTPRZ1	NRCAM	SDC3	PTPRS	NCL	EGFR	PTPRA	PTPRD	LRP6	TSPAN12	GPC1	APLP1	NCAM2	FGFR1	ROBO1	PLXNA4	NOTCH2	NLGN1	NOTCH1	CDH2	SDC1	NRXN1	NLGN2	NOTCH3	NLGN3	PLXNA1	CNTN1	ITGA7	NCSTN	PDGFRA	ACKR3	TYRO3	LRP1	FGFR3	LIFR	APP	LINGO1	CD63	SLC16A1	S1PR2	DAG1	NRXN2	ADCY1	BMPR2	EPHB4	GPC2	INSR	PLXNB2	PLXNA3	ADORA1	SDC4	CDH10	DDR1	RPSA	EPHB2	EPHB1	TNFRSF19	PTPRF	LRP10	CD47	RXRA	TNFRSF21	PRTG	HMMR	BCAM	VLDLR	TRAF2	RAMP1	ADAM23	DSCAM	PLXNA2	NEO1	LRRN3	LRRC4C	THY1	ITGAV	CHL1	SMO	ROBO2	LAMP1	APLP2	SORT1	ANTXR1	ERBB2	CHRM3	LRP4	ITGA3	FLRT3	LRRTM2	ITGB1	RGMB	FGFRL1	CADM1	MCAM	TNFRSF11B	ATP5F1B	EPHB3	ITGA6	MCFD2	CD46	IGDCC4	ACTR2	BMPR1A	NRP2	CAV1	TSPAN5	FZD3	ABCA1	EDNRB	ATP1A3	ADAM22	LRP8	F3	CD44	GRIN2B	TMEM67	CELSR3	EPHA4	FZD5	DCBLD2	SMAD3	RAMP2	PVR	CALCRL	ACVR1B	NT5E	ERBB4	NECTIN2	CNR1	KREMEN1	DIP2A	IGF1R	IL17RC	LRP5	GPR37L1	AMFR	SIRPA	TSPAN17	STX4	F2R	TNFRSF12A	SMAP1	CD99L2	JMJD6	RACK1	PILRB	ASGR1	TFRC	CD81	SORL1	ITGB8	SCARB1	CLEC2D	PLAUR	IGF2R	CANX	TNFRSF1A	CD74	C1QBP	TSPAN14	LPP	GPNMB	CD163	RIPK1	CD68
PTPRZ1	1	0.828595196005392	0.812911646940838	0.917475314438523	0.90110961529212	0.925420366485671	0.925949300992898	0.636329673809797	0.900714307021379	0.842290156738015	0.615584980905711	0.58419033030695	0.832430583910508	0.736299086015703	0.914937379805766	0.500561210462518	0.844838160888934	0.918015955839302	0.867859763516789	0.813686252011044	0.687124652049266	0.876139182916907	0.856201353611586	0.781158060378866	0.882808314923421	0.867722182033441	0.615114019787371	0.750531007387843	0.781420433419726	0.832889205057417	0.691800437166657	0.899106029364869	0.923282097951977	0.628276265542241	0.673389837443096	0.815066865929122	0.749941335865544	0.656023123126021	0.837884541599739	0.817584126851032	0.841720381393624	0.812858858033368	0.790471708159057	0.864339235983836	0.708242716263749	0.74677838020342	0.882141439551375	0.714120201908601	0.7731012502602	0.705826354126218	0.48774153641584	0.738026176283618	0.830376269789758	0.725326367484377	0.824107572963871	0.721026750823662	0.746031287139876	0.67171461526605	0.63490426240783	0.763635753541516	0.862559924648951	0.835172204169733	0.874060730347395	0.501506803103954	0.683981129759214	0.777963320102766	0.687720196569335	0.613384449820222	0.952910172760372	0.800876309639074	0.839746509560295	0.858065808221162	0.622990456511947	0.767521730200579	0.765571796080746	0.784812007587157	0.725413578876028	0.858715465349034	0.877430764718856	0.761858151367229	0.782796123333422	0.906592333733899	0.874164254496649	0.589473974986824	0.799629408641176	0.833569005003244	0.400443938810791	0.79117838503543	0.940198120560632	0.627328730446363	0.942752760534714	0.664971097128825	0.596030687658526	0.79947775678609	0.787629758439549	0.718389271159232	0.688265080296073	0.495733560192517	0.773860659935628	0.920890085121167	0.744289778011455	0.874783366765479	0.799930625597747	0.454809087221055	0.385912111891751	0.771166783770473	0.954517332388218	0.685974150700247	0.814708080252612	0.596371777932444	0.864573849709153	0.848793931154067	0.483307404652576	0.356836914182342	0.745640586786553	0.884181809906821	0.800319886821449	0.603043035691368	0.850076511739193	0.686816111104124	0.645481337624754	0.678014661272856	0.818150676672256	0.742229515349296	0.874248193001161	0.828397394144489	0.878716273306584	0.645475182574639	0.740459277967275	0.686667924736163	0.919924419088734	0.920862622722272	0.688211718201397	0.857859420433167	0.78381669635422	0.782469507438827	0.548697330578712	0.828918929061477	0.787077119789842	0.823726193254687	0.49301889174662	0.876415906229224	0.825289116435648	0.798313964350716	0.684633234849719	0.865780468616779	0.765068530465742	0.791908195057821	0.740468748865438	0.472887078228154	0.897657859720383	0.785116565545181	0.78061015290383	0.59179496499891	0.80843413260889	0.844080651122735	0.662738372537271	0.334282678065699	0.725702780616704	0.849677122782351	0.815858490208727	0.314586506652701	0.100472827254639	0.832061463907641	0.249539187688275
NRCAM	0.828595196005392	1	0.742386813329732	0.73673463789957	0.768577217971822	0.753189605126322	0.846618386477326	0.490450369490629	0.668249535218122	0.59118118814249	0.823329055579642	0.855203043666277	0.525538675731628	0.924774948819949	0.817695065403918	0.81888169463489	0.907825888604512	0.955921175962563	0.604513054802665	0.913854617254837	0.659550854621192	0.796791030905461	0.675401524229048	0.733879557538683	0.723522128973575	0.868255767530202	0.393050826774742	0.841981732007007	0.848205339040057	0.502575127174023	0.399505003330356	0.793724371511837	0.846035956503944	0.763938112190807	0.800721467373203	0.971273370846459	0.449022851002888	0.716853544675634	0.682355689060652	0.581104181517982	0.881704875589922	0.58090829129621	0.618918193708602	0.875625901635077	0.590104566722247	0.470680507517987	0.71497747446972	0.878459990242732	0.862693060609818	0.729996888086259	0.808296816514469	0.564476738310237	0.867787771746495	0.656451089344574	0.631511667077178	0.520675146077427	0.780093352615011	0.841757972600848	0.844952402338178	0.828302984861914	0.767591289094042	0.805181089733172	0.633531392007023	0.42318653626724	0.766089458042053	0.868934307862044	0.586523380530558	0.764404352045011	0.761448274459385	0.538046539359799	0.640966444503213	0.885324934248055	0.924940410179383	0.487423795287464	0.663921768723224	0.958439830454272	0.757294728538515	0.711982672884083	0.747116536193922	0.879146695402545	0.907664497771153	0.889251411551906	0.66073053150082	0.798763707999118	0.522379740207773	0.650069862113513	0.801765410309923	0.518594073233603	0.902825112242109	0.904960804303497	0.812160875943997	0.640564589846593	0.842957405134425	0.864725065908868	0.553507908807214	0.636164525622189	0.371577544126943	0.549406596081478	0.908586311081526	0.834087350666548	0.823370932793463	0.861442491655075	0.816836542340145	0.836439375181625	0.758580492039519	0.836406864888473	0.838347098900387	0.890945283395134	0.807539225991642	0.375246345725604	0.612562341528827	0.729730724779573	0.758363256987547	0.733431122886508	0.487281314259078	0.82795565464271	0.705750447400644	0.869227612776779	0.744639880449147	0.938582863411395	0.810033903248914	0.497351103369061	0.843056066543429	0.773062980227945	0.81651650356831	0.668718183400555	0.737159569111673	0.803051925617072	0.802981443947133	0.702422564799754	0.807703329941949	0.831412294789123	0.848093261953811	0.702458922493758	0.819512930596776	0.804180602525202	0.730341752182452	0.807840576334337	0.854198899354498	0.912807865152305	0.727335261224492	0.776426392964175	0.865473997380487	0.697423604340506	0.638163830772165	0.875502647575519	0.638004329993274	0.732662347320601	0.786199143107858	0.717626245541704	0.931520908361541	0.770068365795656	0.532294611263604	0.58984447373288	0.869207132998364	0.884498183731269	0.788352944244433	0.346838684654659	0.663471956773091	0.692484405145261	0.951919456783235	0.408613768414908	0.151571632948538	0.882319579106051	0.336506303511216
SDC3	0.812911646940838	0.742386813329732	1	0.724773208492492	0.778852225875833	0.84233672069894	0.919544936517645	0.231757815578733	0.596993464178063	0.751727243070465	0.840918840969676	0.731850844679984	0.464044211772264	0.790326847273122	0.787608879560299	0.638345190279985	0.903515441403576	0.779473692059485	0.662360162504829	0.872411355382159	0.676856399112873	0.643523535873893	0.721393684912298	0.937578422036658	0.88947985081054	0.827033873542132	0.158257148765692	0.909608272513967	0.906420834961255	0.531730685035218	0.692479571627408	0.865939137035998	0.924552588852668	0.873256096438744	0.850362438430782	0.82420392974785	0.514270911933882	0.839674623910438	0.796126616518976	0.607325689958275	0.937692995097357	0.468164739338568	0.597473540807334	0.890249092488606	0.805125030939678	0.404888580248921	0.640774364896928	0.841821220564489	0.841832238634708	0.930345135658945	0.685379893645831	0.379818465054928	0.924622160615512	0.758566692856509	0.730433706904197	0.350243504506474	0.919215722884918	0.823043492934284	0.833429276144389	0.856161730789322	0.816480076183148	0.845202100773156	0.636068023200959	0.417068321057265	0.886787270929214	0.857352133786824	0.639955804243267	0.828322504877709	0.806712075817294	0.48553075377622	0.596269353462249	0.920949530173974	0.69962795525453	0.358196867499836	0.566623037283659	0.822302822774129	0.897278236634492	0.861675198247047	0.897051930546561	0.887837638559398	0.866563983589194	0.893532200988209	0.55056723106775	0.831816689895041	0.512006754750976	0.628074790699874	0.566409932551467	0.590530153346909	0.825206122013405	0.695105324928861	0.798739303190685	0.898451630673406	0.819658365830143	0.747248900957589	0.767989093618849	0.763142853486672	0.479972691222497	0.772295228905693	0.851965306658232	0.695627924659608	0.805914535056797	0.888969709830348	0.876495530159544	0.605624885310692	0.498983547566252	0.871282628609266	0.879837816987686	0.800025561200873	0.956687610792634	0.25203569307274	0.601302602473613	0.64906718127018	0.759584143098222	0.609822578490299	0.625877435433274	0.814298858891823	0.643355909404041	0.690849854747843	0.844494360142955	0.728050000802497	0.817317146799175	0.638062407064576	0.857783374300576	0.446622339010329	0.81471068681233	0.814994745464732	0.592580906582465	0.8284936175921	0.833573633732706	0.861349030207372	0.700081362421062	0.764018915687901	0.874249060756922	0.853079179152363	0.942613674939467	0.852576220870441	0.823879518884735	0.81434010777409	0.847899324241094	0.89663479624159	0.699867796096933	0.823388104784013	0.896549012618342	0.767649741746959	0.740307962508447	0.833946507772608	0.637511270893699	0.874976098088622	0.854029290857585	0.736888230267301	0.85743036025973	0.752578216529689	0.485431319888793	0.592059883286221	0.847024203907987	0.90216664570864	0.888978066110194	0.346229228037684	0.763801126370674	0.808573651473273	0.83959366440441	0.35521708439896	0.114656224720261	0.87234846251424	0.275914342797372
PTPRS	0.917475314438523	0.73673463789957	0.724773208492492	1	0.905102414657248	0.886900822181237	0.866811960612866	0.638300743333475	0.902906771143715	0.852784708110367	0.549324626049103	0.533437597368538	0.832474228475489	0.6207430664556	0.82617076315298	0.388538518102595	0.762624957267909	0.842894520528977	0.884838964377125	0.757822257656483	0.726247715776028	0.796092575284775	0.808498402875484	0.719592891030483	0.847436808577433	0.803070272184267	0.605739765138322	0.690904611448075	0.723541859177536	0.852328988426458	0.722304215085513	0.870275568101968	0.844260649513779	0.477796074663895	0.503649736226494	0.738228699178726	0.795129980013523	0.676739525102723	0.841953554794575	0.831506170242196	0.752191746511791	0.782230441724615	0.819531744923437	0.73978432749766	0.744907705035311	0.798366075503814	0.854791871649367	0.652785179661586	0.698840921797054	0.626669134438822	0.420312752289908	0.732832359686552	0.731743919633162	0.769161080514071	0.844871475912099	0.716129722755929	0.66466123128701	0.558695484561674	0.546507486009481	0.747929187235951	0.812908772762156	0.741892573517176	0.848633604024129	0.55150363517546	0.663573928064124	0.685894527018617	0.720396833426923	0.574845201236385	0.845353093889015	0.8391103719241	0.83110328174261	0.753701998725496	0.527095398542326	0.78082811502299	0.78588478479702	0.696667511761526	0.636623007766373	0.827927716021507	0.822273009787509	0.706039756859153	0.734176589639972	0.845514610082685	0.867908120885167	0.500047780054578	0.797095216728947	0.787774487546852	0.324609263905152	0.880546886498363	0.879017145181403	0.57860257773471	0.915389331869931	0.650904627849187	0.479092102563225	0.751643645578723	0.798828616248751	0.774669166326305	0.725716837575233	0.312803731192089	0.724910132964725	0.886161149960849	0.59814586851888	0.848954227116052	0.744189911603665	0.379309288786271	0.348239541802843	0.739601751144884	0.891138963631521	0.537947350263256	0.714352594640399	0.617831749586976	0.850917067243378	0.848913960040492	0.347174769229094	0.229939713497709	0.741355186638309	0.824480995805842	0.808733418211821	0.573490672745394	0.828811490642287	0.630474884325348	0.54322793979959	0.713146248498385	0.782217444465909	0.716662770850328	0.787362234038653	0.812674628400655	0.760597456793726	0.62262461547299	0.617711796726475	0.638808962946005	0.880318085304902	0.859769029598353	0.610081943999285	0.854455595343011	0.709722428313825	0.758229445776884	0.398884151690483	0.832064806060489	0.755834364461137	0.744346526950645	0.49153741958353	0.874498876906358	0.763319938410836	0.81149487108486	0.73690265952042	0.801752527081323	0.784447003609498	0.76397642170591	0.727866741758971	0.334449890061274	0.802891292791465	0.754230945968594	0.784053669373551	0.609275822569028	0.705301047847155	0.783046631319553	0.611350218428342	0.310210164392444	0.771452468607691	0.860430338411162	0.730274713259272	0.242689750538191	0.0790662347817354	0.783390707547223	0.225250923698515
NCL	0.90110961529212	0.768577217971822	0.778852225875833	0.905102414657248	1	0.945811853502929	0.930995787021883	0.496451715086703	0.877712960853256	0.934807941120444	0.654540269707789	0.64619499055409	0.780369769870686	0.699969074870401	0.791254044261775	0.430200053344159	0.842245938178111	0.857400181433193	0.9111141786954	0.84832726408795	0.88079916805502	0.769382045481561	0.85138188644445	0.832759619756148	0.924371168553082	0.836186105326321	0.557586612661505	0.754770636347174	0.813597029168152	0.840678650428477	0.790769638287402	0.939009249509121	0.903788373112873	0.548662380279968	0.560889119052771	0.789240206951696	0.806147422142196	0.787310504076753	0.920809848593098	0.879564848164085	0.839857398020044	0.751540450803686	0.853385407714824	0.7818679563257	0.789630634498368	0.748619162881478	0.88075103102591	0.747348512767857	0.757495045550361	0.711170336595852	0.534515241957869	0.675697915504726	0.793025486378738	0.904527329418285	0.924198728900941	0.654390167165363	0.725024747243706	0.656985790957895	0.639629252494637	0.857914981620431	0.885095552426456	0.780909649812007	0.840528964185724	0.657397777684602	0.770588220160766	0.744639636434324	0.883236433639376	0.680565200895699	0.836292129956198	0.820148929359727	0.821092486957325	0.814497854252745	0.606386543165929	0.705770796868199	0.875610268900781	0.772765456517288	0.677575027856516	0.906654088078282	0.82426333709704	0.818718220906441	0.831218717370748	0.906692259431949	0.805614245319182	0.600008028078885	0.784092222890779	0.757706183093204	0.409250324461514	0.856276867248787	0.864701016733394	0.681046701183035	0.898295280875596	0.748003236156316	0.580657005910564	0.840704325072739	0.827599628289177	0.898423336464351	0.745577326675113	0.369385949998252	0.814103810222019	0.859383896532213	0.613896146733193	0.942074134540115	0.831514375038434	0.461631756202941	0.453924183304115	0.855032802476545	0.895374585840553	0.591661326989248	0.78302140046769	0.642617462787545	0.886256729848874	0.812309789565731	0.434593927987035	0.329856079451539	0.732909995428301	0.81658967196239	0.82196543981628	0.656943329577688	0.876990026223159	0.722266463597872	0.641240403797017	0.832617004325423	0.874393783619678	0.70305266980219	0.80093751206727	0.885552987801159	0.723834538422753	0.714417111300027	0.651391298595419	0.702289296775652	0.880688539665493	0.842097254466783	0.700005864974949	0.90816850211244	0.793997982480618	0.859558160528584	0.515043888692501	0.897600751799674	0.840909563106775	0.822290318848039	0.602999881210074	0.966042236236326	0.843225552616491	0.913882616569134	0.870795113260299	0.872991311303287	0.800219179801457	0.83877321320179	0.836083929850014	0.416452081002017	0.830340764900424	0.851883937398982	0.756390227591818	0.700276872803564	0.751796194653302	0.864190703281178	0.713841920880296	0.359396029076933	0.904781590733963	0.907211539376138	0.783806899739389	0.279202681339212	0.0711162072360953	0.882029270465243	0.260613888154052
EGFR	0.925420366485671	0.753189605126322	0.84233672069894	0.886900822181237	0.945811853502929	1	0.948473762618565	0.488143890065986	0.855688051663264	0.915897082818511	0.658513085279496	0.625307999472291	0.771462612623088	0.705169505297882	0.829761132939292	0.440051481664289	0.855120557651486	0.853847684066622	0.898253260598247	0.836429769037841	0.803285670148404	0.789261154320106	0.868980230346895	0.847538087314143	0.945465921064279	0.843969810081796	0.49945165597663	0.776810237846914	0.822966387325352	0.824613719281938	0.817451696088046	0.936326931356331	0.932154801651585	0.625249964261406	0.618265923827555	0.786208296546059	0.792053835521763	0.764035483098366	0.901375025405894	0.830083333802923	0.860863246156862	0.75479250338304	0.816634681236276	0.811520534586503	0.791589691922897	0.71316446752522	0.852660425048101	0.743227776058678	0.771363530200801	0.741758390305604	0.516227718850194	0.66971433807818	0.832119996095326	0.861522887021023	0.893262122461601	0.649544886740893	0.76871302278611	0.661491931500238	0.655987992052324	0.842674269602392	0.897071845049472	0.810410707658965	0.81518764188415	0.614846480964294	0.782826658501685	0.753336980175001	0.825112884161842	0.692702170250154	0.865971348834891	0.799002660742801	0.795650725843721	0.839057657922793	0.597065533947439	0.684165502325572	0.818742727174992	0.771224988776816	0.712533333632263	0.921780440284738	0.886427913683414	0.812379857539547	0.816901402122008	0.914427109566875	0.78778214615438	0.62488753772644	0.744726392059628	0.792990021105946	0.385993968376421	0.824081601773136	0.89281515904172	0.640581982710637	0.903665332741428	0.75913805604501	0.602390614495594	0.815519797497787	0.840531205201621	0.86122482324489	0.733823005043151	0.465995793145999	0.79807381179665	0.841952316172904	0.661277953355896	0.921520099215387	0.810709434400154	0.444444250578449	0.392436519625705	0.83920200521468	0.926569881935907	0.628305394134149	0.833508024487584	0.604152330096779	0.868904847272867	0.804696860088288	0.464470146066769	0.339713257073773	0.727120227516164	0.82695142464348	0.813706209075189	0.629807602979857	0.866878735447369	0.685402292428312	0.645438010474237	0.815181629772462	0.857979718848016	0.654080309024083	0.811733583222304	0.889147508685005	0.742301802010676	0.707533413645968	0.687511327094706	0.723248693561406	0.876174128507773	0.847738507816492	0.717657723588452	0.914301360233279	0.827588276723184	0.85654431543685	0.54735394091865	0.886604295101417	0.827160203890861	0.829961557909334	0.564936332095387	0.944161245056382	0.840536294898433	0.891387099760277	0.82767844013442	0.884582162245932	0.782302489159444	0.831574767508667	0.826772107417376	0.456084261834164	0.842204984112491	0.819898005334566	0.758418884731972	0.655201461936802	0.784090535663743	0.864740478219743	0.729935239023725	0.366664735553577	0.858009996726344	0.902148092205054	0.786070713073423	0.302013801098683	0.0876950768361083	0.857866794988426	0.245593713191114
PTPRA	0.925949300992898	0.846618386477326	0.919544936517645	0.866811960612866	0.930995787021883	0.948473762618565	1	0.432671879582085	0.77856329017259	0.863638994094954	0.805956050967604	0.758523903106417	0.670806546300701	0.826530656111779	0.860276536823074	0.614846216464185	0.941339867369934	0.906358131744833	0.812407293043266	0.928608250410144	0.807828310324937	0.788539095435331	0.812720792883109	0.924083403439646	0.949746168587377	0.891736821196843	0.390575098323432	0.891166356514368	0.925114596107056	0.702831548648506	0.745244747775213	0.943045219528712	0.966958868573695	0.770246931502207	0.778632449397265	0.887631978094631	0.662866417761929	0.843279614658742	0.900408018336116	0.759073162723494	0.954140591120458	0.662526405594678	0.769433098561994	0.906000795684105	0.807693682644147	0.6006226773476	0.817626427404876	0.868103280683583	0.863394303191332	0.851909921613647	0.682424249083212	0.580139608308121	0.920376962501222	0.850909495659978	0.864332175581372	0.542213120936337	0.868774730121057	0.809149050698532	0.805781113993637	0.924482570535711	0.904246296782059	0.866423179122707	0.782564312755749	0.588554302548092	0.869036227596894	0.860847367749183	0.799399999187938	0.809310618104822	0.880845945170441	0.688457847148697	0.748508127759027	0.932303282976795	0.739238654836863	0.570095131922383	0.750645686438587	0.870812261722011	0.834816504482672	0.91465789192368	0.91419805901974	0.91470245489077	0.916293007951884	0.96887883415086	0.719277618357581	0.78035772905107	0.673557631401324	0.748998515419197	0.559765174109759	0.741059010042482	0.929015069304532	0.762704549495231	0.898938389673252	0.832304953458877	0.768706488976808	0.844521125617972	0.83062111949516	0.849091962689661	0.611842347641238	0.612397460140858	0.895599265913917	0.852976969371117	0.777435841757433	0.966115850842647	0.883153589883353	0.607238725502065	0.545390884447261	0.927941956503317	0.956905271276741	0.775531095619434	0.922729342155717	0.475132327126464	0.80665541687328	0.769586183000869	0.658818580859917	0.538064692500467	0.685446304615957	0.885679081404555	0.77637483561331	0.738310051523368	0.912166396365358	0.801330552702203	0.77963791472053	0.747242672367193	0.920831427102857	0.641014061595047	0.876253779702732	0.874640648643487	0.733159514290277	0.815895092797438	0.813598727856715	0.820079487284257	0.862188306047107	0.870522906669871	0.846158214150501	0.910680066405222	0.908477867215831	0.915647817543255	0.722260101248808	0.895826765776814	0.89947713457312	0.930542635365056	0.699053270039555	0.948578331381461	0.928665291946868	0.884255947460483	0.826557275811964	0.927042260031044	0.75576541833237	0.890779854346743	0.887482728222635	0.637452460150933	0.921957123685957	0.851765404994165	0.669828408141618	0.665172835326857	0.862680113527687	0.94786145515736	0.848498381909466	0.373906869618711	0.852198526993805	0.883220055177361	0.887942418179681	0.355186090147455	0.102086620698124	0.939073902785513	0.29995105148205
PTPRD	0.636329673809797	0.490450369490629	0.231757815578733	0.638300743333475	0.496451715086703	0.488143890065986	0.432671879582085	1	0.724126515347095	0.426030287487694	0.0699250669715331	0.164992300399015	0.796438806585851	0.346409926316499	0.704558621478219	0.210327573071237	0.336385614806093	0.600333141817909	0.630390205298606	0.293046293247061	0.285163880585757	0.722523635408079	0.537279756649759	0.228994499027944	0.373294872552442	0.535131232824372	0.709880496841163	0.200182783833638	0.275328672582666	0.632210331157614	0.269162533430539	0.44114220774093	0.447154970307191	0.0531569432451624	0.220680883114552	0.401114858019417	0.599186280161559	0.0904213624324212	0.443198753396142	0.551166483276978	0.306356386247556	0.81137602415418	0.602411629531978	0.475856141794545	0.233540539511217	0.705155990935286	0.703244944712301	0.23720174775983	0.366932361521192	0.0740525586826554	0.0498405817388004	0.77099532097527	0.359325697307836	0.259188597239643	0.496004241954915	0.71687816312135	0.220103751365497	0.265810555549914	0.138022821603218	0.279692420383531	0.543449809389357	0.385162648322007	0.624198070982309	0.314919376351481	0.11863880290991	0.386238211402271	0.299125925767983	0.0340379275249539	0.593963561014126	0.720721885185292	0.721718931236059	0.383495766815368	0.234633098156409	0.79956054226169	0.492128903085119	0.340981499288014	0.222889557893843	0.383680209102303	0.418937081679139	0.223455222459756	0.291111608316421	0.47591126484229	0.772243702077305	0.0428514260740346	0.665185388121511	0.726958009249255	0.0372860656967113	0.599452962578232	0.585431410786946	0.221509239235249	0.641353312178446	0.0524571658338596	0.0829721527960994	0.413736568586125	0.271300784684714	0.263999644383085	0.476914867128216	0.0150513214597586	0.282666454096442	0.667286816613115	0.361780418946865	0.401457105868844	0.292797879195722	0.0791131446493023	0.0882835954211577	0.283924399542117	0.556502944225773	0.297347856778038	0.221638545787931	0.620056958735902	0.64101795334411	0.731451718548654	-0.00715096872052933	-0.0493736573346997	0.375734322530345	0.492309263530672	0.615703862224736	0.200050002444518	0.400258400335079	0.278788750748268	0.186244286653227	0.262549776622934	0.327407665748518	0.71477093573928	0.563132394339576	0.289121025708684	0.75945563571848	0.145851114622122	0.258376128057898	0.233413156768668	0.700328647592193	0.702550605286931	0.17071259198283	0.400439718868948	0.200876332527555	0.319406110908106	0.0330977873850926	0.418231264753889	0.295570916219132	0.302579948907416	0.0100952476725374	0.448034677638775	0.366925439608392	0.388250330157779	0.236211044806263	0.469779811148132	0.491959773436234	0.271459314823403	0.239856083653111	0.0416406960815553	0.431537249982502	0.416825406983167	0.64197133957682	0.298641090407067	0.430017098392465	0.383203392041567	0.121223006423169	0.237383562303536	0.247423291272169	0.408113009885965	0.37601221089864	0.176521417418451	0.118050404135133	0.34823655354253	0.150333642009913
LRP6	0.900714307021379	0.668249535218122	0.596993464178063	0.902906771143715	0.877712960853256	0.855688051663264	0.77856329017259	0.724126515347095	1	0.852193075663825	0.371547597929338	0.397659719373586	0.925913430697092	0.530653011711439	0.784183811186498	0.248936435685258	0.651515225136081	0.794800346035684	0.934019651842059	0.631586104614168	0.677454404738835	0.825020727083659	0.84352892016433	0.596926250425188	0.77453066651286	0.761821102267298	0.78137129883338	0.519156381774136	0.594822778215118	0.936410981217518	0.689778650904911	0.803991852359113	0.783261769879596	0.322456595565178	0.386253638890455	0.624597264678481	0.866512077718469	0.488739101299459	0.785943677516721	0.8841577485219	0.637651988020118	0.888095375440073	0.851085926043948	0.672748749337357	0.608946437003054	0.886399172834599	0.895746858750149	0.512067143918037	0.604964431913648	0.466449124780237	0.258183338328087	0.809246597457893	0.630860853647468	0.700293081813551	0.830512420438439	0.848867870100192	0.525014259265825	0.442774183505709	0.386834733536118	0.611173902652034	0.783832348963902	0.691564525346394	0.865394352975861	0.547842092881997	0.499367640847243	0.581666708822976	0.699409405902244	0.387183111275826	0.842099858275084	0.914199920118781	0.870801103962894	0.665913124724715	0.406677960826415	0.89782166467217	0.833090981439562	0.595035144975018	0.469695805888825	0.766513856270804	0.725667042452685	0.568546884611074	0.601714709424526	0.772179904933169	0.931160281945073	0.322000076507166	0.849680576719297	0.830815761072691	0.171316113727061	0.856586366501535	0.80711801783805	0.443621833582822	0.884670863791125	0.480335425266478	0.325297297333204	0.729284311175656	0.69363661548461	0.695655578089036	0.806504822046913	0.200868214210216	0.593625183746607	0.847508816929968	0.517228458761651	0.762601091581657	0.672169821921688	0.229065308687634	0.212295184259895	0.60790491562008	0.824094829136453	0.431878618644573	0.580941615838667	0.770389037414977	0.903396156083035	0.859514105568074	0.175656032230275	0.079231630518575	0.694621514995839	0.728375896320034	0.806770696192471	0.421748279969095	0.730036354043771	0.516194391974585	0.427809918533623	0.682549637147473	0.69552015037671	0.765106701636121	0.757931649347303	0.764996194899281	0.828699739822233	0.458731454586166	0.48217150394724	0.507304541300415	0.901549969994814	0.83592708139998	0.452857449109145	0.790290186079739	0.580599277998233	0.647240745141481	0.264683229913625	0.757930208606642	0.625074216597474	0.621444451374697	0.295976444277534	0.820045178044559	0.670746866732847	0.751242172833396	0.648870770731119	0.757455270019694	0.760885320468619	0.634108325726232	0.604308611610447	0.194179130696431	0.706206219696296	0.729183857576401	0.852315306789224	0.563062286491159	0.632970330540482	0.67183725272338	0.441616820284291	0.316001973492789	0.694350624211603	0.799047624892216	0.620916747310635	0.222974372108267	0.0910028826299492	0.670940702851993	0.189745307486603
