""	ITGAX	C3AR1	CD4	HLA.DPB1	ITGB2	PLXDC2	ITGAM	TREM2	SORL1	CD93	HAVCR2	P2RY12	CD81	CD33	CCR1	C5AR1	TNFRSF1B	TLR1	NRP1	FPR1	PTGER4	PTPRC	AXL	TLR2	TMIGD3	LILRB2	LILRB1	VSIR	TLR4	CD163	ITGB1	LAIR1	TLR6	MRC2	RHBDF2	LILRA1	ITGAV	LRP1	CXCR4	TFRC	SCARB1	CD68	ADORA3	ADRB2	TNFRSF1A	NRP2	ITGA4	CD46	SORT1	ENG	CD9	ADCY7	IL18BP	ITGB5	C1QBP	PLAUR	ALOX5	ABCA1	GPNMB	SIRPA	TSPAN14	KCNQ3	UNC5B	SLC1A5	CD69	RIPK1	CCR5	CD74	CD47	KCNQ1	SIGIRR	LPP	PILRA	ST14	INSR	PLXNB2	TLR7	CD226	IL6R	CD44	LRP8	STAB1	TNFRSF14	LILRA4	SPN	ADGRE2	SEMA4C	SELL	FAS	CD40	PROCR	TNFRSF13C	TRPM2	GPR84	MERTK	ITGA6	STX4	RYK	CANX	ITGAL	PLD2	CD300LF	RYR1	IGF2R	CADM1	IFNLR1	TRADD	TNFRSF10B	TSPAN15	ITGA5	PLXND1	TREM1	PECAM1	STX3	ATP5F1B	PLXNA1	JMJD6	NCSTN	ANTXR1	APLP2	RXRA	MCFD2	ADGRG5	NOTCH1	TNFRSF12A	NOTCH2	TNFRSF21	CD99L2	RACK1	AMFR	SMAP1	CD82	CD63	IL2RG	RAMP1	LAMP1	SDC3	EGFR	CCRL2	EPHB6	ERAP1	ADGRE5	LRP10	RPSA	PTPRA	ITGB8	CLEC2D	NCL	SLC16A1	PTPRZ1
ITGAX	1	0.87958708680233	0.904662507964958	0.692508285809394	0.889061733583114	0.920889612299603	0.883520328719508	0.843700237040718	0.849490244256899	0.785313562573654	0.886713610992012	0.661195195936177	0.865807958372571	0.797752432310526	0.80687983325151	0.915170073101384	0.871904989432735	0.78434723151599	0.715863294146288	0.879209272711603	0.885499630385884	0.882729386736577	0.802806676273514	0.932085716272467	0.75510532315916	0.769267034766704	0.761493330465216	0.832915577722573	0.820617592021895	0.716155500697852	0.882332389484869	0.889098252037681	0.797440653613523	0.789053942102027	0.887071291827264	0.733338820582511	0.891947624635282	0.893433541817287	0.678847117613779	0.913080324215018	0.839463639050734	0.837634698399085	0.728338692884362	0.841554320775638	0.843915956544052	0.87696555110181	0.744676933487188	0.882082027321507	0.899638129742948	0.813068109109724	0.919047137853297	0.832614249729075	0.850348660658194	0.819855961422945	0.823495133883673	0.795696771429199	0.812968074162458	0.726094289257828	0.418869146702177	0.910551835454847	0.889483869146132	0.889319965152664	0.840161130102655	0.838049963948762	0.778476448864451	0.855738570686829	0.685069225318384	0.820539028549179	0.834539769304449	0.848754236240161	0.834458499633751	0.895289856428542	0.880590153426046	0.737317164906209	0.646276715954204	0.847321678853838	0.844544276080846	0.821527574841193	0.87194770867247	0.481232119420971	0.775490501592441	0.794897610361822	0.784376510480963	0.536769219314283	0.820323450546202	0.886106253244736	0.703267230962898	0.584500506822969	0.790889012601041	0.836389776972846	0.728659181279495	0.221856653557038	0.829478614492095	0.811619263865635	0.827687393445344	0.827954708968676	0.917573424938544	0.862232180972108	0.870895367345758	0.850270111370188	0.829326946979089	0.697583529610255	0.725711286306401	0.88213613585779	0.836981243705374	0.894548844361738	0.812005773468844	0.856195226299078	0.787975183246087	0.877990724691066	0.827062711017477	0.842922290925405	0.813067935403945	0.806661418165898	0.871805058756341	0.786800784227048	0.921186012139675	0.87534280832258	0.82708785027128	0.843341222217746	0.832909409604719	0.874650531000278	0.383703033806483	0.768210277014175	0.797634839265673	0.831500507231512	0.786835013344083	0.776584511911856	0.862064317658949	0.822882654389622	0.868992385548025	0.781665894632476	0.847027403504063	0.615979771852457	0.808031120156879	0.893874014556116	0.767820359352472	0.66724999091504	0.835408753556122	0.541119598922299	0.806682706070606	0.75980427434836	0.864477678299969	0.84607969680258	0.851966422433698	0.660779248579766	0.68493950679872	0.880158817739832	0.758296830406373	0.664735104996158
C3AR1	0.87958708680233	1	0.947222704916916	0.797590533575722	0.931866830311719	0.957647465993441	0.890988120346499	0.922046375623722	0.870719429756247	0.834456279846757	0.968330340682132	0.764458599685585	0.946308662039705	0.906624919348323	0.868849437600191	0.822634745141968	0.846257975160378	0.925463654378861	0.713743227662976	0.965399792239783	0.868800710619486	0.962228295423187	0.807175436669854	0.935565904438434	0.828380806603171	0.88497979823488	0.920066229804267	0.911875060642091	0.882738042029516	0.797440614035972	0.8297401581161	0.943637032740873	0.832831734970009	0.83750465244061	0.943062519752448	0.826323264729197	0.932032080749686	0.874861515109823	0.61426340765208	0.8739921059823	0.820433347244991	0.844551642444381	0.867893338474716	0.805391561736314	0.93429491658904	0.759621704876102	0.792308080905138	0.919943908597815	0.878648998838571	0.861380592588318	0.818988578774653	0.891618399528856	0.822608287925417	0.817008308588843	0.907952661091513	0.647293962687859	0.92110854584644	0.596356338739343	0.266181221255607	0.92882282936179	0.881107315674779	0.913833075194176	0.85516547509167	0.899078548296216	0.735272744556288	0.896614970163111	0.728494146531222	0.918720352550622	0.868715249243989	0.901787917989555	0.832723176495997	0.865454215561549	0.883532713494031	0.822949556580537	0.566441960724645	0.845841745528653	0.922991298800281	0.899153532118487	0.751733842006257	0.350997660279174	0.75921366643505	0.877883191590872	0.72685154700192	0.600379600034788	0.834440132350206	0.914792532776259	0.757457995552195	0.724583554991012	0.845888213131448	0.84098908530794	0.792219038962906	0.206377592438897	0.904046707085148	0.786910970809769	0.929350981332388	0.849501323909378	0.908053178181376	0.835652740095967	0.876126616301827	0.857520726472519	0.811549749436199	0.816556932868984	0.71766135184869	0.815542001243337	0.829371320257058	0.855194650966098	0.836700022989106	0.826950558444404	0.843321035683446	0.783177838899216	0.870531784309451	0.737385810197617	0.794835592679731	0.788704588545856	0.92094053452009	0.811347864034132	0.905074609988444	0.877648794813346	0.777429640334377	0.856451100376906	0.808938213190577	0.880764183797199	0.409284744107164	0.726778169541608	0.705955093091341	0.770699282649597	0.685324603165781	0.807757099129972	0.912770257237881	0.834048458164908	0.825052917979189	0.717452065045838	0.818608177500804	0.500943682364423	0.703452538988265	0.877427086861576	0.690232388335592	0.548472201998686	0.737479967469912	0.684723322107459	0.876050497609204	0.701912676051996	0.872904866266685	0.919752381160242	0.813705169039579	0.539077436916043	0.651470797962427	0.933174165731688	0.680163727329926	0.528504647857581
CD4	0.904662507964958	0.947222704916916	1	0.854850775862465	0.946767822897461	0.983037056409586	0.944147269333006	0.927481175127778	0.913549187783288	0.847383074834302	0.974962431166233	0.773968516504832	0.977329971865576	0.921492873899947	0.83567412550755	0.822959390112344	0.865764307297568	0.933448830259687	0.729537502371594	0.961920670439452	0.873452906378986	0.98074805723405	0.86665591773191	0.945801951227547	0.794582997259005	0.880474839882338	0.917858347482136	0.957390606044341	0.887939418171011	0.796571506432831	0.863588624518504	0.979862266040844	0.87221445307341	0.880575062929329	0.971870848055304	0.841795448672675	0.948576946335043	0.91495442064156	0.643865310636971	0.89255161073799	0.856953071988293	0.847331450017667	0.900833242834816	0.849259140378867	0.964147672499127	0.74280613345785	0.813099727847013	0.942918617775391	0.941563509466325	0.881665886616913	0.843681452263214	0.924285185336957	0.872762581126565	0.837743472589266	0.945360284962484	0.630948225002724	0.954886382406057	0.589552737459924	0.255294640534772	0.954602147055362	0.935144459111701	0.950856814888243	0.922084285323383	0.92240915478445	0.737231825442879	0.924716204000283	0.721732702149353	0.955993979563332	0.916263727574203	0.918260847457617	0.880424049054555	0.91772853041179	0.882408206254984	0.821913815433676	0.65570496663915	0.910675650303972	0.941249390339458	0.936120169519728	0.819005126039726	0.348314047576918	0.817320637683874	0.875172811169334	0.759049603815975	0.584821642646932	0.897855108993997	0.944744614295832	0.809464406177996	0.784989731399052	0.832219754230396	0.814470675140586	0.786918084628192	0.250399597677127	0.934929505547823	0.756709360727615	0.925841381366967	0.8909361285455	0.913351589517969	0.876588526096707	0.902993963178779	0.881256208653974	0.822547016120703	0.827688956296193	0.775682327879665	0.842442946345576	0.884567397848678	0.878100075531349	0.869736356943135	0.864814915335056	0.869657123549931	0.822211296333811	0.888875873680689	0.749567259498026	0.862787502787498	0.835328227100663	0.958442905795873	0.825714809089237	0.879618078369958	0.915849058182457	0.838606043276765	0.881601654442576	0.809344536698599	0.908007452722898	0.473954056595763	0.784266695332819	0.7677652055129	0.830310876321368	0.738283392345707	0.876359874016785	0.959888851170857	0.884882888679092	0.865693618084792	0.778319877488795	0.843860404918566	0.529884779530194	0.731863548637553	0.895401224938253	0.751180154658445	0.640190484797615	0.733113113092603	0.722314490949362	0.928759534906888	0.7391955511079	0.915825688352223	0.954793100509811	0.87980823074122	0.625792458801089	0.729982970348236	0.969232191816883	0.756442001302869	0.622961559143879
HLA-DPB1	0.692508285809394	0.797590533575722	0.854850775862465	1	0.71609454481525	0.856222549992311	0.761585327194665	0.792275839033947	0.869983933558771	0.606533649143027	0.81971600370355	0.727996413686228	0.877763068814155	0.843819233995304	0.589769150537713	0.655981477080175	0.615008430406362	0.811774441050299	0.396605288284968	0.796894716696831	0.690846715040183	0.8765632643289	0.915883523642016	0.811525465082608	0.456492607538351	0.733786927375741	0.811743612390826	0.895214222513509	0.726956545327739	0.546622935886861	0.614759095005003	0.84267468702005	0.858004388358735	0.834645190550762	0.84674569448146	0.835775652327346	0.712978497731832	0.651113043067477	0.746977430271431	0.603712515944592	0.702749992529819	0.604649893439057	0.915945304463716	0.670891558091326	0.81775297053436	0.49320245352539	0.587341578893775	0.783748454062417	0.793403405716201	0.600088997322572	0.686091379213136	0.8507345233947	0.709250932843729	0.624569933836977	0.810375590364916	0.383656288470751	0.853613174719002	0.299329833100709	-0.0406822980941671	0.785640914251728	0.820548104075179	0.849604070150289	0.837419015627576	0.884797810061162	0.734080024386757	0.80474806789614	0.662571657686323	0.95900471304316	0.779888787016764	0.724315739529286	0.751226178012514	0.700092498688204	0.739337215031103	0.585576371504581	0.553202128798175	0.756657161465966	0.871984971450648	0.748279416210336	0.56979075217015	0.0552700241712817	0.620230804885383	0.590660889811328	0.579347799011536	0.386441983201603	0.819553704475806	0.820163997350956	0.786443361968385	0.849531605503637	0.643545072819659	0.6011769812693	0.503824172732782	0.248650227781667	0.882040710619372	0.587200203832887	0.729897341852934	0.647952552328735	0.787024157946294	0.703322659528946	0.653671851278875	0.712989847601156	0.723021395811356	0.75558181140106	0.688173943598635	0.553212425197001	0.737446495050831	0.775342975663101	0.66529914421449	0.68880317339412	0.689363001764544	0.577553541039597	0.623295456805037	0.504138381128423	0.756306617015509	0.722583768733823	0.785361687713209	0.803306385599929	0.680173476603569	0.71806568420444	0.648089976612147	0.610274200419847	0.575707439042602	0.710317618674661	0.676322049109389	0.62198598764672	0.513714098237548	0.651811330187675	0.467204108732794	0.714667369866351	0.85335280651044	0.718250655426884	0.634881313440748	0.525346309707244	0.548404974963406	0.285447984985189	0.438430218296791	0.632336097690242	0.504851352778502	0.421526309721113	0.57977137513056	0.751941043305046	0.796844195509055	0.571524989615853	0.687033886848413	0.806947992972544	0.655969613699173	0.406338284094751	0.661691067799563	0.811199118771864	0.492227691125154	0.386478848316125
ITGB2	0.889061733583114	0.931866830311719	0.946767822897461	0.71609454481525	1	0.931212423436279	0.932204930528299	0.919062695886988	0.789034609710314	0.920329024306591	0.962564549804429	0.650501121715855	0.928340219006378	0.859405147199455	0.917802895483056	0.814782223709793	0.943890946082246	0.940784479486999	0.885257036690129	0.95639040496044	0.899492341273168	0.943478783336257	0.731142763905093	0.939834761407243	0.896107301393463	0.893481951452971	0.906318610483295	0.867696298871976	0.88508209936874	0.907772045122612	0.930196347428051	0.944703410509768	0.747083940385354	0.755435948953663	0.905790780110231	0.740321244511241	0.944908239864864	0.938437697442367	0.477093219462125	0.928737968719839	0.824716463273291	0.941861873104921	0.792714449841237	0.815211593317132	0.929747039776077	0.764527629411221	0.921578902565783	0.924539999091397	0.869576807905399	0.949916725200729	0.867936265308903	0.826048068124224	0.836260928022929	0.901230775803367	0.931356870274308	0.717154616201026	0.932555936217615	0.730174886140921	0.474743534895132	0.959391039443949	0.837757037229477	0.887336618784491	0.830748914643703	0.823242493743326	0.604897846762808	0.876943694588749	0.741364061627959	0.864967566463539	0.874730644451693	0.914484321852686	0.855166233134209	0.902815912047448	0.90435149283684	0.917548030095483	0.582425772283455	0.863134768910508	0.85502517985087	0.917602282274988	0.87119568186642	0.548161031169774	0.768743045804836	0.950056576765322	0.8203039898155	0.579492038146504	0.797475030318458	0.915759377778073	0.681100094228986	0.650282758026103	0.844747430505368	0.828858979121349	0.902323974031447	0.121938610642344	0.832461555186106	0.743906919862455	0.915554171330614	0.906689058627368	0.874196740319986	0.859978995266132	0.969036339871478	0.863472836675575	0.802740475348746	0.809255971587839	0.649499313862407	0.903874380251852	0.907321701901975	0.833820307993504	0.905879316215123	0.812852854760509	0.870199378142182	0.884268243814571	0.917800018851762	0.816559847598946	0.782168335905812	0.809618382741897	0.950310428838827	0.720314097651113	0.882253046728805	0.908301229824678	0.804224683853611	0.966372036890433	0.887493954274178	0.941181360011397	0.31010464782115	0.705488462891704	0.797953242279735	0.811492826251674	0.77652082961866	0.86107370084069	0.942214325663964	0.896900470122266	0.922227331088898	0.795371959984954	0.942512030648788	0.640166858669951	0.771564005384111	0.960246926404321	0.767449676819574	0.622263474762579	0.715151215581519	0.650432978117962	0.886581907063775	0.722724826991943	0.915052079774322	0.966429277436527	0.871667014359924	0.610160954000918	0.631285596969882	0.966105787928973	0.762342627636177	0.622756570143292
PLXDC2	0.920889612299603	0.957647465993441	0.983037056409586	0.856222549992311	0.931212423436279	1	0.928199736038218	0.930409942688068	0.936153785502427	0.818812442671931	0.970152414737545	0.778753155020557	0.972346203513961	0.915757932216711	0.809310187884197	0.831989125718244	0.844902208029555	0.918751645343658	0.688153033280594	0.957513900417952	0.866937200239677	0.978364536189293	0.897001919371532	0.949831851666633	0.778941490395587	0.857652577992215	0.903732170905833	0.950939612022835	0.902123654862026	0.765341495385344	0.852547167401163	0.976468831558039	0.888275063986057	0.888093899672755	0.978771679229437	0.850392183876249	0.945873041620847	0.903710013155175	0.678473695753818	0.885186692553391	0.869975688420007	0.825665622958328	0.900521126593688	0.845041858136029	0.951938689462183	0.756536121585166	0.783810235682991	0.941583266010655	0.94772834668756	0.856572263349654	0.861298975708518	0.933175522958158	0.862139283313375	0.821923128727848	0.926777255352103	0.626816113676365	0.938294086837955	0.58169017012869	0.227335890049523	0.960085792164742	0.944938603166151	0.958901677086378	0.92356813800763	0.931516892959019	0.764573512224273	0.924593279948902	0.734407960810388	0.956433712300086	0.914804177128511	0.908736234252226	0.871507826464018	0.916508407461987	0.878814541157191	0.790776967040117	0.65979605084308	0.901089092554191	0.952615111740903	0.915265208424166	0.799485752002719	0.309592044536427	0.811920709064432	0.850543750598061	0.734869764983303	0.595047695589944	0.902839939737996	0.949598430078068	0.818826519760068	0.764857807239836	0.836829454402125	0.830066044897075	0.758778625946838	0.263054559651524	0.94113424240073	0.761970156760475	0.925274587204854	0.876407118590369	0.92738343498335	0.88036145824342	0.881442699396388	0.885731416057602	0.842880068311921	0.818955341523373	0.784332232193849	0.834898784889656	0.87553794278854	0.895684044268927	0.849472180045859	0.873105064952945	0.854706499671219	0.804821684612691	0.869599585627644	0.737340217599167	0.865298351915553	0.831461656368472	0.943112271232666	0.849128160923477	0.886159539110744	0.908736344074679	0.844780961677616	0.853036727750218	0.790487301863955	0.897195593563632	0.492744449823141	0.784460504511413	0.75476862888658	0.824268721633671	0.732505790779625	0.851489943136796	0.937051689570766	0.873175688802774	0.846395275287257	0.761551618854326	0.817979818732188	0.496109949639385	0.74128275276325	0.877498580900817	0.738425221283791	0.631611943327411	0.742908960619761	0.719853488265095	0.910485683335088	0.745498960812953	0.908544991722162	0.93015868502876	0.868823926296302	0.619852201729849	0.746517485661556	0.955090893634011	0.743340471385588	0.610570929602514
ITGAM	0.883520328719508	0.890988120346499	0.944147269333006	0.761585327194665	0.932204930528299	0.928199736038218	1	0.895631928823778	0.850188284787685	0.827025700311667	0.934091408559455	0.731471691200604	0.924436803714133	0.870428461829734	0.816548088607313	0.778531005785016	0.874812117199805	0.885657175933581	0.773283691721266	0.918371529240903	0.845662726917717	0.929444850504145	0.799522613482634	0.914041490762361	0.820259232714518	0.819537978767718	0.857026708088576	0.890607681289543	0.868247188543186	0.777065343486369	0.872939634270281	0.919434145445091	0.826605626282422	0.823152085069614	0.912393707403077	0.787926633041781	0.893335867426172	0.900819514092064	0.562130939411356	0.858015304965946	0.774259895637755	0.854148253369468	0.826967538457167	0.838602342163495	0.914109661810913	0.725000149751937	0.820005698075732	0.88709839917508	0.900294354195843	0.878089116403966	0.862943661103701	0.870032000978189	0.861033354130996	0.849030108193152	0.917661483046487	0.644417883715031	0.908808520158806	0.635862022865796	0.355981037661384	0.940804323132784	0.873272588095688	0.916791532571467	0.843246931962501	0.852078917677549	0.63420278873017	0.866052661740621	0.687447308386981	0.870231328857719	0.881927687323392	0.886457788685599	0.851723896643839	0.896621329529073	0.861151658145169	0.801089830345239	0.60380340151403	0.878605559351461	0.86373963248916	0.883949931095117	0.842494849822818	0.430291899512915	0.782381177537032	0.846031832307103	0.745760801676331	0.592066052985527	0.844410833860916	0.881402894529392	0.728317369944954	0.707055956161605	0.794152033776749	0.812836842913649	0.793576747535135	0.29774464603152	0.862273005753306	0.703670807513029	0.851737745449535	0.850709268508898	0.866933457846499	0.836754662439046	0.900284831033283	0.852677064374042	0.781347239568761	0.778418108832614	0.728012535464485	0.841814480646269	0.844658267726729	0.847060276071212	0.873162306439414	0.823774873305837	0.847576200603238	0.83825427489113	0.838413602678598	0.759276686679267	0.800998106605547	0.790894904261907	0.925011396325552	0.759146580795204	0.825903209567115	0.872515035441931	0.783837608873185	0.879243493076686	0.802357726696177	0.875267151267449	0.471808369704156	0.71359851802081	0.797060120988905	0.786674104660368	0.729253977874394	0.866257065920308	0.928082793579564	0.860522162340967	0.869586494724475	0.759642261662191	0.855182150735458	0.583516879304057	0.73477345707927	0.895298921463763	0.719091483832675	0.621756053687742	0.693647954209608	0.652120596504629	0.845186694040052	0.735640540501993	0.876647696630773	0.925181282052299	0.845407493294468	0.600844268814616	0.674771390130887	0.938740984747942	0.741870138763555	0.610293222579963
TREM2	0.843700237040718	0.922046375623722	0.927481175127778	0.792275839033947	0.919062695886988	0.930409942688068	0.895631928823778	1	0.82933419749794	0.777545696766421	0.953953728639876	0.798469021591294	0.956993368247447	0.889611018048295	0.795084672996947	0.738683221883398	0.804742117321568	0.907775975033893	0.700132730235917	0.94145000584899	0.810619074003628	0.940966581682213	0.803859238904127	0.913170334661402	0.85587114407536	0.810976484573257	0.91672982853843	0.872337746558091	0.848707324390943	0.755900631804406	0.797095820480137	0.909919530568819	0.793960763824802	0.80827553716429	0.894629362994188	0.744809623452387	0.904748182277555	0.830801677870093	0.523582464989172	0.809845727599744	0.806686012770031	0.845027182629171	0.885541067383164	0.750518760067749	0.899642678764993	0.674196136280997	0.780302790214475	0.861676469486145	0.866144416792416	0.84866657482745	0.841587981552326	0.822996207806369	0.857322197932793	0.794957944950458	0.900333432912655	0.579980542548565	0.902462197729454	0.538246914904241	0.257892669588097	0.935716044769715	0.828789338348656	0.883031491109757	0.821963264415412	0.856713858314137	0.666689686781272	0.837406711764689	0.681209677014034	0.892794342286119	0.814122174481111	0.870244810980549	0.855410326575796	0.836169491127228	0.845884801329143	0.765409662961993	0.48339334371948	0.802563908076719	0.897936946109834	0.867434473880786	0.705124625153026	0.273358990221376	0.711396140053178	0.840464061205206	0.668351078214901	0.702378084618339	0.818261923270257	0.891681245460408	0.719241048389437	0.72775033191096	0.811601776915424	0.806042692799001	0.796754617039558	0.14304844839241	0.898984685392299	0.701922432176831	0.895084817383024	0.801240404096769	0.882112791351449	0.771448057990442	0.841763860820676	0.790084867451368	0.750225609927389	0.863098914593845	0.646938947905247	0.764062165054676	0.819152053715722	0.848867673731974	0.851604888317654	0.761630023273441	0.865284200908097	0.7360781468194	0.798158818296474	0.687491582821373	0.7385749987144	0.799546347831284	0.898754255631346	0.727255725555172	0.822362336103999	0.833182122887621	0.735220699354796	0.818235319787487	0.723181469080982	0.845119733298919	0.397853463224849	0.637604790536488	0.682336163153848	0.697469576288204	0.612123267009013	0.795492739562117	0.907492861717233	0.794006691446504	0.79439647672189	0.646905207672284	0.805161819488945	0.426557173304067	0.676630522523994	0.848328864725571	0.619290071954339	0.483676831675666	0.670721990446141	0.705004768199383	0.826050884216033	0.630811473377594	0.822971363096397	0.905684158420293	0.770629036200256	0.463307122729613	0.582133022177545	0.922776369175052	0.625030661903244	0.461683430204389
SORL1	0.849490244256899	0.870719429756247	0.913549187783288	0.869983933558771	0.789034609710314	0.936153785502427	0.850188284787685	0.82933419749794	1	0.655899085750034	0.872386969007872	0.852665132006416	0.91403426633197	0.898337307241372	0.630586384037939	0.724556773896025	0.678176849908684	0.804552033057079	0.485032547685844	0.847832413832645	0.725051686766966	0.906959664700036	0.94005624904494	0.842941399353948	0.612844047011871	0.735294115780128	0.797479357050551	0.936067148158698	0.812953636378287	0.559458753052001	0.708500410416062	0.888345242310302	0.942041080471296	0.93658318906975	0.942670034368539	0.849520523490215	0.849173614266803	0.820047736696658	0.743226716747017	0.750151927744563	0.771947164059023	0.640349381081839	0.896974632966412	0.797870698361429	0.893352340939974	0.681647753212625	0.595003120541378	0.865417481196033	0.932437798587604	0.722766477118041	0.760361242109293	0.949664394285758	0.826602735738658	0.687002352473559	0.855542938614835	0.471835139609674	0.859009915983265	0.385151292354286	0.00269074002948432	0.851101605935229	0.958731650628892	0.938271866973516	0.935255140505673	0.940121863758272	0.777236541562536	0.887276466668631	0.587689712832008	0.91922776729593	0.878788516653657	0.83909199939159	0.784511914124564	0.854910839557726	0.766264676045309	0.591855443115166	0.699207621138325	0.884834791867757	0.942162281229951	0.817359539172608	0.67907853206843	0.0993183508214841	0.821632702504679	0.683884562706376	0.572085818505582	0.586936555834729	0.934044949661591	0.845988480498882	0.880127001397237	0.776598260212006	0.765014476286097	0.741284044107601	0.573911253682324	0.454445397862891	0.923181535542565	0.67045691206033	0.82068902272115	0.785847071625124	0.837087712670781	0.825808350432804	0.738828317534568	0.8180794938659	0.798026547123809	0.757978237273721	0.865412973135246	0.71325691972138	0.750113533827253	0.841819043029343	0.696124936463855	0.872643603626052	0.773503834245927	0.682747184739717	0.758288064132969	0.583251846938195	0.869466088483849	0.773784762002607	0.860712523146258	0.886738998203045	0.763387727919917	0.849630121613719	0.780258100869364	0.685742373589293	0.662844704275876	0.775134134112156	0.629639866374395	0.807680281813148	0.682371462505911	0.767581916244085	0.635930414489323	0.811967022056706	0.859750357613258	0.774105368801726	0.726074757316136	0.703281976509633	0.648692761632525	0.37312897295359	0.654247414305304	0.730094978685692	0.664668224414601	0.626678414495969	0.672680065670073	0.715973413746535	0.851994971426833	0.689638191955333	0.820713653258862	0.82588504547197	0.806519716108354	0.6074350844015	0.823486262751862	0.854963136571561	0.701567829841842	0.589205962554995
CD93	0.785313562573654	0.834456279846757	0.847383074834302	0.606533649143027	0.920329024306591	0.818812442671931	0.827025700311667	0.777545696766421	0.655899085750034	1	0.854565551541182	0.46129729275697	0.819388172788001	0.736285803402018	0.88002885071471	0.764985249323024	0.918866709498707	0.87057424494753	0.891885916222918	0.88096521642323	0.833720780345565	0.846157029446207	0.583785958329277	0.845540230628196	0.808865071243439	0.909958946336918	0.847452107067023	0.764968655211586	0.827130734195524	0.945586290848111	0.898301614321186	0.867552321024146	0.620482193847402	0.640218635644434	0.798828237661679	0.697416537511387	0.880030815826498	0.898718554415812	0.35714629452346	0.916120864278047	0.755821506670839	0.861415499795696	0.645056409578147	0.738896761698402	0.858181569541405	0.681200647769978	0.932381134941607	0.8549819010348	0.77542347625127	0.929474202113713	0.746693051620608	0.720809639287217	0.730231768622537	0.852630801869495	0.873847550693135	0.752092379244173	0.853645526018473	0.677835881787858	0.455099439843738	0.855385994023077	0.744775326148809	0.774318434576578	0.757284488718206	0.701859385410847	0.488890598612495	0.805188445676183	0.669327871496	0.766909460288743	0.823546068531619	0.831604049112364	0.767018768370659	0.841901616109757	0.798449800431793	0.927939461606451	0.613080304386453	0.79578707755704	0.738680935069915	0.868890643566696	0.832533793164799	0.628400824161947	0.727822963037025	0.94164364452026	0.760133617305233	0.409135642962874	0.683171388483408	0.856521782850343	0.562207505814401	0.58484440961305	0.809122236510659	0.734276040657845	0.887708444534673	0.0517112342979703	0.71473120937079	0.685531674716601	0.856073107143843	0.884746313535663	0.765324566861663	0.807349360321727	0.921055222911992	0.799569791485179	0.743121556557342	0.724717373308923	0.562861279563143	0.882112974996356	0.869884558251106	0.715073423723993	0.834450778063908	0.741278860969561	0.811180415222826	0.878648666606135	0.902618029802228	0.835130712247576	0.760023069924612	0.68129286932859	0.889547272970243	0.618025227314681	0.802634419891968	0.867514685947953	0.787341232345948	0.957629149867719	0.838140186765494	0.860606761307712	0.202503733828572	0.680733343932762	0.776856789212343	0.788393110277032	0.789025856736359	0.81866255117445	0.847669072064633	0.857320538859975	0.864825837489792	0.813424268881897	0.916000873385189	0.644727299395315	0.764892326590402	0.909204923796386	0.796959400935362	0.667985238589855	0.682580331600566	0.540203493097504	0.829881166700474	0.729019852756451	0.862086759860169	0.895211900502578	0.845348555283192	0.663020449254448	0.579432853290909	0.892439977682993	0.785096239939044	0.673853295627621
