""	C3AR1	CD81	CD33	SORL1	CD4	HAVCR2	ITGB2	PTPRC	AXL	TREM2	ITGAX	TLR4	ITGB1	TLR1	TLR6	CCR1	PILRA	TFRC	ITGAM	LRP1	LAIR1	HLA.DPB1	CXCR4	PTGER4	RHBDF2	VSIR	TNFRSF1A	TNFRSF1B	PLXDC2	MERTK	ENG	SORT1	C5AR2	C5AR1	FPR1	P2RY12	LILRB1	ITGB5	TSPAN14	CD74	UNC5B	ADRB2	SLC1A5	ADORA3	LPP	TMIGD3	CD63	MRC2	TLR2	IL18BP	RIPK1	C1QBP	TLR7	STAB1	CD46	CD180	IL6R	CD47	KCNQ1	ADCY7	TNFRSF13C	KCNQ3	ABCA1	PLXNB2	APLP2	CANX	ITGAV	CD69	SIRPA	GPNMB	SIGIRR	SCARB1	TNFRSF12A	ALOX5	RYR1	LAMP1	PECAM1	NRP2	TREM1	RXRA	TNFRSF10B	TNFRSF14	CD9	TRPM2	NCSTN	RACK1	NOTCH2	STX4	MCFD2	ATP5F1B	TNFRSF21	SMAP1	PTPRA	LRP10	RPSA
C3AR1	1	0.859539537584716	0.78264798292143	0.733231628180407	0.830281529813431	0.910091551706081	0.8402917009466	0.809128469297203	0.798495758631809	0.829468455440908	0.759291315885877	0.516899863852062	0.80128587256243	0.659579044414371	0.409508321230263	0.900220034514996	0.845942684956244	0.794136910636271	0.599704184314353	0.815445979383308	0.854076268872445	0.71890796619976	0.764166707976322	0.781360104328669	0.803240890921364	0.800545176216623	0.851706508828693	0.906355498302777	0.80919975096075	0.64825784071196	0.763381023778705	0.767992078731372	0.745145569631636	0.857334740290793	0.931933409973034	0.675519529142839	0.803357298340312	0.62617148022861	0.780799578423141	0.821757761984382	0.815003825209334	0.183984431243912	0.894948183932739	0.813803836765815	0.762855393468554	0.883954223713973	0.760564283838135	0.563309440995726	0.811954706844739	0.810553294816824	0.766678691312011	0.817872827085932	0.683373293522025	0.521348206009199	0.705390132549137	0.649650494759852	0.816866295883794	0.75041809054508	0.756557219832907	0.557908723202672	0.631269099699308	0.639056892284327	0.856428347031072	0.703277143879822	0.838586458133771	0.809055152111519	0.726157547422721	0.763044601024683	0.819268211500683	0.39540926911512	0.757610231823625	0.673233321014544	0.87170317344319	0.764344768320723	0.675496802908635	0.809712891989709	0.736733131895666	0.730488002409587	0.749219013193486	0.764015523094405	0.586763068138764	0.781332883296028	0.508112072001199	0.754743845769268	0.646503802056021	0.83131828031251	0.532482838813545	0.890884026325484	0.786200170001907	0.814487810483147	0.460994998255492	0.840678043276129	0.583508699432347	0.833079859594749	0.82218854095827
CD81	0.859539537584716	1	0.895809147571955	0.695998879656572	0.798678742155919	0.898967628884534	0.950455280351134	0.741831669504491	0.873419826561363	0.972547030877635	0.746293960378478	0.47063674650119	0.91394836143288	0.603589169342693	0.360618108545555	0.848411097626446	0.889901058312716	0.619346080330888	0.569913139795088	0.808159165837355	0.889612955857497	0.760169398047	0.622470410846151	0.607949797392544	0.678158214741476	0.827957044616052	0.837211336075698	0.775756871413718	0.831607921458504	0.569544587387098	0.802802379448103	0.776096345391185	0.560125457414839	0.657751832090134	0.863329185385908	0.631494545756866	0.731125919653166	0.606166484123667	0.70236174449255	0.858693829813947	0.742355282786209	0.280664188103977	0.871254351791253	0.868780225361126	0.738357340414703	0.892516548647013	0.936865411251836	0.593309213033697	0.702817942476705	0.822129632446877	0.649368987619586	0.932393498063798	0.663909414975549	0.528149056326753	0.773102789460857	0.78355542518114	0.666230191008038	0.804238781060538	0.725050323501564	0.481899706047179	0.572006827673969	0.567091288518097	0.736066864660609	0.735831115073912	0.858119081711333	0.879466396192047	0.73221826317945	0.514955842730647	0.888544823957571	0.600861876460111	0.780073337146607	0.71076938141665	0.765501937053675	0.77688082918489	0.569315977842536	0.931855168082548	0.815660938934398	0.580483860199743	0.53306314232963	0.736867718701305	0.373325754330671	0.896433890686015	0.700310646555667	0.670163685499125	0.719288068051124	0.925959313585523	0.534371717915177	0.817266280505705	0.901846666172301	0.940454081757946	0.406179743145748	0.889835492914505	0.680392647131317	0.923674675542942	0.922705267764187
CD33	0.78264798292143	0.895809147571955	1	0.676342760491447	0.822181049337189	0.810632406951321	0.838944193117617	0.694359059717179	0.847757891939855	0.829227381443049	0.546166835460682	0.505890054621936	0.78396422687142	0.643778883309592	0.412253541910458	0.796643419298063	0.89425496533318	0.441761838928769	0.648349665787785	0.729775084695926	0.861244507375879	0.835147728745443	0.505795737440239	0.492242785963798	0.60281389164653	0.865922379135113	0.842296802540106	0.70044450600032	0.695130181830113	0.492662222506444	0.756159610369023	0.657069161040172	0.42000896561781	0.520062658555358	0.781215496348119	0.710928039281736	0.697001031915912	0.575180060324006	0.605912200995796	0.890148650730849	0.687209228823051	0.253858197519653	0.794035425354666	0.866693863595601	0.66471057713511	0.881539969541068	0.765928172760582	0.496799358381791	0.639027562075166	0.747288782321735	0.608673140367152	0.905044133401167	0.611270843987356	0.583967741648177	0.677623236199421	0.728035137417857	0.533024932303948	0.777488816433022	0.785595952770282	0.485087116414635	0.691696323056033	0.540113276350431	0.630925114761543	0.722433759608188	0.724424574574124	0.752994439286582	0.593481251308809	0.421147444598909	0.74635074174767	0.36657132281836	0.747386870664651	0.628471933930281	0.688351584509927	0.727207073423556	0.543624488065326	0.825812448385117	0.707309499004409	0.390384155858192	0.389403151571309	0.681750836303543	0.349591393430699	0.856944262380778	0.457619162943223	0.58247198190014	0.604210761776368	0.93052670903398	0.449655208804005	0.68043693165026	0.822295389366073	0.879932168629129	0.404458618982367	0.814402083369609	0.574718238325251	0.782632271901966	0.915526558972853
SORL1	0.733231628180407	0.695998879656572	0.676342760491447	1	0.852109796836391	0.825882810713008	0.741068903835287	0.911121208133376	0.669571172919116	0.658691953225336	0.702096500678977	0.767614291431053	0.748832776952168	0.734828798767208	0.736122898650462	0.752910717213638	0.70473143172382	0.600622931883601	0.784386025574696	0.885480897559633	0.78780680382632	0.555744750209753	0.457558114905611	0.571798206647756	0.850751480153084	0.703196687679246	0.751046176442305	0.829489198046876	0.848170734786615	0.783836075977098	0.702123964974496	0.837824565109849	0.642194926569061	0.640906808701663	0.774611945530271	0.880542685853101	0.76766601518337	0.662914890676514	0.830934643086802	0.704924526799477	0.790802629066982	0.340787779846506	0.739162642702305	0.841597223798481	0.862477600285788	0.772437695814671	0.558711944916901	0.723722353856437	0.768835730970368	0.738693738531506	0.769449001279902	0.68630383191843	0.758296301080061	0.454143058844939	0.766822553856471	0.528480901697133	0.752639193103834	0.669937474713233	0.705245303796066	0.770131071762757	0.728912553325942	0.840704805489636	0.716106728935654	0.758624833855185	0.818083711750379	0.768960003638885	0.759617108369463	0.55599361015874	0.74582832487534	0.228717711211505	0.658797903949916	0.722442859326911	0.641840089586621	0.809087273508467	0.766494423308568	0.737456325898551	0.659436850925522	0.577776812010197	0.5080478641498	0.760754595616777	0.544661627335614	0.668704549286056	0.349475798036754	0.761334683697191	0.69666345277445	0.676102142336162	0.598101895748266	0.692977364900913	0.676573976361644	0.680707747224554	0.475789854293869	0.747757995023354	0.689325109503941	0.74916448358124	0.68866745628491
CD4	0.830281529813431	0.798678742155919	0.822181049337189	0.852109796836391	1	0.882553240944598	0.808711511182736	0.859431923677077	0.780324173918141	0.720357939351334	0.640920334293189	0.675090608114338	0.750239311142741	0.685428232671198	0.558868486597607	0.832992780385774	0.835370123884725	0.622284056220337	0.72997043940834	0.834754041835087	0.854220206868728	0.751759242761133	0.561028332847944	0.657623863450048	0.811553807006156	0.865618740303093	0.854242806722772	0.860322635421617	0.787654717463469	0.675646210187369	0.742836003917327	0.786019490973974	0.633675807305322	0.699142776112196	0.838386951476348	0.841196296108024	0.83165576641677	0.63062647658809	0.787633124920826	0.871363038970679	0.851036883013542	0.350821637139863	0.80430332116441	0.880829604145106	0.802312287878609	0.856807245939223	0.61747675935675	0.609586780999344	0.822327544119053	0.782127957880611	0.712554564185488	0.796231939864045	0.735862526777257	0.59309238711047	0.752621902894893	0.56370837013522	0.716761588488231	0.78465086070262	0.807473345652271	0.710189031387108	0.764930843721244	0.764332166283186	0.755371749745219	0.729727947633134	0.800275832850191	0.776603310886284	0.714164189553908	0.610279116408363	0.720853398518144	0.194685338855768	0.774908903417825	0.719580835351425	0.723428019645148	0.842328119424147	0.73845799893989	0.772960578320596	0.697663104355426	0.558642287695243	0.59341245861886	0.785403158673636	0.556883001942506	0.771199314630959	0.309464631904794	0.773279868996315	0.672364879460856	0.824387130807975	0.544378593755454	0.76040730705203	0.739783712696416	0.781209688265937	0.509345116292046	0.818344741482515	0.645911939660584	0.775660028954402	0.833026833719327
HAVCR2	0.910091551706081	0.898967628884534	0.810632406951321	0.825882810713008	0.882553240944598	1	0.906375323895015	0.895468117220944	0.806937013824969	0.881409539258435	0.844959727139013	0.637165925471216	0.882195221504671	0.692295323449275	0.519722575062924	0.886034522879056	0.831919556654651	0.775379426502091	0.656909435538581	0.884067496648269	0.88629610116748	0.708039192085601	0.685931738566519	0.777803860814318	0.868443888685413	0.801810286578631	0.858078609457881	0.909952258572747	0.914876360574662	0.75167867428201	0.805442972533077	0.8600591828583	0.752691451873101	0.80589808292218	0.934390562759777	0.725188366390195	0.841858251820163	0.655807011910872	0.845051328814056	0.839888167372715	0.879795742895924	0.311143659760286	0.873670803890607	0.902069531052801	0.866882570714027	0.875468773138774	0.802277329143738	0.729844212630353	0.856099479695116	0.828868841264969	0.78719535664202	0.828349125783055	0.758861417835911	0.518806042938055	0.853341319704278	0.663650464327457	0.841905233596124	0.821380685967098	0.755619352379411	0.632809744106461	0.64198113776092	0.765093503000831	0.839385924632171	0.725850537786747	0.908551758737487	0.885686138368244	0.821983359343437	0.698809936721127	0.876489997004303	0.46202225697587	0.815239231787288	0.776830025611309	0.821600601277351	0.849274653963905	0.748560622832383	0.864253865405642	0.801960482010604	0.707568841477717	0.692724239701745	0.782239813638181	0.605949113811529	0.840110213390898	0.578149046808145	0.820233515001192	0.740298355003901	0.831739573376128	0.567949658385263	0.889565682690546	0.813131558680209	0.84340572983081	0.457495719707679	0.871578901053396	0.703152242665099	0.891959481608522	0.840787083053125
ITGB2	0.8402917009466	0.950455280351134	0.838944193117617	0.741068903835287	0.808711511182736	0.906375323895015	1	0.806938408163332	0.891253820155645	0.943544443852811	0.822052565092997	0.531178520324219	0.941449319385145	0.625607838020256	0.430848653907716	0.846372243128398	0.82096691976245	0.674052021742454	0.606580990447584	0.841397036973634	0.874998559402373	0.737393300407786	0.623320043186911	0.667362715235252	0.747940109145642	0.756690801794791	0.793311322338289	0.819542930198292	0.900974899318664	0.6708528868158	0.832098456383824	0.814595131910228	0.632437068068815	0.707614949821244	0.858136937231831	0.628385927202657	0.788572942471802	0.673222704346093	0.764572832056122	0.844031741171298	0.773314620834552	0.248088540540189	0.873034088823697	0.851503818250764	0.8025562236436	0.82950549119758	0.92412238378789	0.68514109118226	0.757745917713568	0.803792977359578	0.672403701408582	0.861740176206345	0.700021194729853	0.609939411313387	0.800766227739282	0.753498654522437	0.736020705632785	0.778194689778546	0.666786267952585	0.561010126642268	0.557676460636652	0.660162482066232	0.78036841521552	0.744457770044847	0.902874790397919	0.928008372947426	0.788121446403532	0.544384196007945	0.920085814133597	0.599939612379358	0.768939601248688	0.738490583674387	0.748276085885016	0.813285393997964	0.595805154418782	0.906918445387967	0.843362491206416	0.627348575629192	0.59231328748943	0.737694142797311	0.440536724494625	0.884536099822892	0.735556424070604	0.74075558800827	0.76761677575936	0.84177928870291	0.568351654857247	0.836995122185946	0.876401078635154	0.878853618969019	0.436257759750937	0.855132413733724	0.689618724633339	0.92678975805893	0.847443341493366
PTPRC	0.809128469297203	0.741831669504491	0.694359059717179	0.911121208133376	0.859431923677077	0.895468117220944	0.806938408163332	1	0.745527152551878	0.711779811588079	0.797302882079289	0.761089802319374	0.816672601461545	0.786182029045884	0.697298900653285	0.80002179452252	0.731964270159175	0.711074086203076	0.761319250682966	0.866318523059752	0.829026685128364	0.665110693798711	0.582974756662635	0.733508225332573	0.89755609567052	0.708651490901315	0.750741858146199	0.906559023102466	0.907587563426363	0.856161942581789	0.731763408620135	0.859414372817487	0.744977366535347	0.751465095766421	0.85091809171968	0.790101467033038	0.862451682302789	0.682057947793956	0.862821645310872	0.787661193403418	0.849405140643358	0.333055337510155	0.773758965938187	0.847163818320213	0.902151665549959	0.775331108887291	0.631470640256369	0.790994663151129	0.880206534781615	0.764041713081686	0.805473979398951	0.692745098644117	0.789371632903383	0.542914614644958	0.838148293311756	0.55865613544088	0.815082916465454	0.72801461021676	0.70585377050056	0.763190693401955	0.710983116021662	0.846662880299127	0.804072865565962	0.704568670720515	0.878380310466126	0.838302206361837	0.809905622505596	0.658611740424634	0.793072415965879	0.321289333872093	0.758032983040375	0.739668461411741	0.735630852620436	0.864696647947604	0.802845625794438	0.739991714998016	0.720783998138383	0.639283454357251	0.663601568162173	0.750377453248922	0.64954957049878	0.735878588198782	0.442894003656685	0.850601901934018	0.754378977232668	0.691602370283288	0.592839340964972	0.799943616171207	0.687065527863294	0.706842440897045	0.473907045202949	0.784711580219626	0.699880183170468	0.784396761466759	0.712732325999545
AXL	0.798495758631809	0.873419826561363	0.847757891939855	0.669571172919116	0.780324173918141	0.806937013824969	0.891253820155645	0.745527152551878	1	0.82800494822363	0.653883491647719	0.501589845970303	0.85511747039791	0.626758973446565	0.407770259442065	0.828329795051337	0.822811401785944	0.579229729645034	0.60415744010737	0.784443682898762	0.84502154555407	0.866162003114553	0.63922520277271	0.613946395209098	0.670203497377425	0.768125733410305	0.779536438193849	0.772835137111553	0.780050478611677	0.600045027782785	0.793962046438684	0.71411095808224	0.578448069629076	0.641305796925955	0.783352314996765	0.573562522295687	0.760487535837059	0.66399062118724	0.68807171268644	0.898941130271434	0.738709688609532	0.184299259517572	0.808353499381753	0.801111705877883	0.725784749867028	0.770133898500438	0.81650565754185	0.539174017017973	0.732473566025336	0.779324217849674	0.633424971516186	0.847197259308863	0.65923500567194	0.775845033128523	0.711323276328304	0.786660057791275	0.621407202349957	0.738683536055591	0.694362348915601	0.525868012159851	0.557697511384109	0.571720308766491	0.782411555173364	0.695847112853378	0.813476006934531	0.851250912787709	0.703803918383593	0.504143772362128	0.827940981185577	0.514315934153785	0.733984064991431	0.67739431734851	0.65590135741841	0.782619986690603	0.570331202944245	0.824286343955552	0.827562642841311	0.535107643495987	0.524953250035873	0.735842100529233	0.415352340698355	0.877855246249864	0.608222189336796	0.69578423934072	0.676779930645577	0.854088105797188	0.599508809515992	0.76422300362286	0.823323106676084	0.864187005368676	0.522954811692048	0.832098805641435	0.616186880417721	0.804735148112042	0.846172421096702
TREM2	0.829468455440908	0.972547030877635	0.829227381443049	0.658691953225336	0.720357939351334	0.881409539258435	0.943544443852811	0.711779811588079	0.82800494822363	1	0.805401732179778	0.438010913456156	0.921407028375055	0.567784193109428	0.350904902026515	0.815320518838758	0.828719599644675	0.649059535384884	0.503554657225847	0.781927983232841	0.846056080225767	0.656477558469215	0.613597682765003	0.611393763456975	0.669298129312647	0.724181014408294	0.763296005383007	0.739643325866163	0.859725278906723	0.594810103716581	0.765339686896963	0.766345349042394	0.566113936013564	0.657290083162652	0.839847533657278	0.558178804362254	0.683199296212848	0.582684024021356	0.692730197093814	0.765116123440583	0.691886165040761	0.271826779353765	0.860367834676237	0.818409890271982	0.720567217119117	0.83928114837537	0.968241136852205	0.634238782859764	0.658087348052842	0.786147236496203	0.629239569214456	0.864756762317247	0.637172843417358	0.445930684403787	0.758262758408221	0.767680609893245	0.699226791613377	0.736273761512608	0.656894730321059	0.425234519696058	0.487627801057613	0.546156836500437	0.728117118135045	0.706921027964787	0.85839627114849	0.870562837281789	0.725998020815813	0.505459848845111	0.917779242811788	0.695344325844128	0.713391491346549	0.69704403757288	0.754391888723928	0.726496461809802	0.526291515214965	0.927276146116969	0.807096092257264	0.608515094666639	0.527099507721329	0.680692038323424	0.35268204049685	0.85840060593047	0.791120503827466	0.641801510689114	0.71259964522249	0.847602232363446	0.494599208101921	0.813654991711786	0.877255340755577	0.883968572700156	0.325596013993736	0.833662147996011	0.639425554728252	0.926951026122615	0.840751321133545
