""	CD74	PLXNB2	CD93	SIRPA	LRP1	FPR1	RXRA	ITGAV	SORL1	ITGB1	HLA.DPB1	ENG	STAB1	LAMP1	APLP2	NOTCH2	NRP1	TLR2	PTPRJ	VSIR	TLR1	CMKLR1	KCNQ3	C5AR1	TSPAN15	ADCY7	MERTK	CCR1	TLR4	FPR2	ACTR2	CD44	CD163	TNFRSF21	FPR3	KCNQ1	TLR7	HAVCR2	NCL	LY96	MS4A4A	ITGAM	PLAUR	NCSTN	ST14	ITGA5	PECAM1	LRP10	CSF3R	BMPR2	TNFRSF14	AXL	SIGLEC8	CSF2RA	ITGA4	ABCA1	CD33	ITGB5	PDE1B	INSR	PILRA	CCR2	RHBDF2	TREM1	CXCR4	SIGLEC7	CD81	CD63	THBD	TREM2	TNFRSF10D	EPHB2	SDC3	IL6R	ERAP1	ITGA9	ACKR3	ASGR1	LILRB2	ITGA6	UNC5B	ADORA3	DIP2A	NETO2	SORT1	CD46	RPSA	NECTIN2	STX4	LILRB3	SCARF1	PTPRA	JAML	GPNMB	AMFR	CCR5	STX3	PTPRC	CD47	MILR1	NRP2	ACVR1B	CLEC2D	MCFD2	CADM1	ATP5F1B	PLD2	CD40	C5AR2	PLXNA1	GPR84	FZD5	P2RY12	PILRB	NOTCH1	TNFRSF11B	ANTXR1	LILRB1	SCARB1	RYR1	CD99L2	SLC16A7	KCNN4	TLR6	RACK1	SPN	CD69	JMJD6	TSPAN14	TSPAN17	TRADD	EDNRB	ITGAX	CANX	TFRC	C3AR1	TNFRSF1B	SMAP1	SLC16A1	TNFRSF1A	LPP	PTPRZ1	PTGER4	TNFRSF12A	ITGAL	CD4	C1QBP
CD74	1	0.695952640435298	0.816842487325626	0.725624460007757	0.546731891226609	0.846574622306	0.563544696897696	0.813112902285363	0.924484265177729	0.795473675876478	0.829893598240832	0.633329418476345	0.688018638699295	0.763977009698233	0.660983879957335	0.528485276016576	0.284067165567757	0.774409698091421	0.716442921471314	0.832101980244954	0.876023910993182	0.525489021127695	0.750064359556222	0.170663660609141	0.732068632060863	0.769577461838772	0.479706332055664	0.454093632410948	0.562636309569762	0.583231499614618	0.70600328475628	0.231029884424005	0.869402559889992	0.108181704962259	0.603238124166022	0.842397843866379	0.845669754916363	0.865770275581979	0.478827179883952	0.913980438278738	0.802806067999274	0.798986722595263	0.569256192039741	0.686304108063632	0.552379101419066	0.451196205923609	0.738829048334563	0.816559054843048	0.820594013923245	0.705413047428784	0.391536046597248	0.812892618082116	0.920860438059941	0.850712595100224	0.822079269787554	0.0313575261416408	0.844144806384704	0.547141294090244	0.45981075041813	0.346621640332093	0.768841666505026	0.300229122612183	0.846819535714423	0.148378619256722	0.63579863319253	0.59456240037155	0.866548936358612	0.737854783402723	0.264442099110911	0.905117120955793	0.0709065443531765	0.35880465606727	0.321163731526928	0.580351733424154	0.803665794948444	0.646369679749454	0.330606752677179	0.581479572551929	0.574718111445406	0.708587118419943	0.787233140727565	0.874884801163604	0.486995052604754	0.330352095241927	0.792280373783474	0.786874011780443	0.627208037801978	0.710631485676726	0.347257781738944	0.258032236733091	0.630113655476277	0.619498811610255	0.650298652949744	-0.0794600734596695	0.62852801001788	0.661395548029083	0.50613215094423	0.83595628954573	0.678753948774201	0.787759157071527	0.0614767716631468	0.536361317390096	0.588364392236345	0.673522321559061	0.748252969963021	0.652159884161224	0.808059433318053	0.791922816233732	0.195467672266671	0.431167285081319	0.420023955075838	0.573776972816492	0.864257539729697	0.228305931005095	0.46535136527526	0.627118753134378	0.81129305325537	0.809778015225193	0.779442406753117	0.445498890833704	0.677540461138378	0.241082946562222	0.393385506424232	0.592733307208459	0.655041098522964	0.56012788774657	0.251169866181059	0.366750027001879	0.561333993713017	0.67090476274295	0.569398144147914	0.162029555337151	0.0377131375214033	0.713868593163799	0.222783777977705	0.865477830976792	0.696432746914187	0.799426828243369	0.060640637153933	0.757160193635631	0.61036235430352	-0.15282937417856	0.319298300011013	0.28461743100042	0.396010824038263	0.720454779814674	0.569913904200653
PLXNB2	0.695952640435298	1	0.856371586122977	0.938398266839104	0.836426528224493	0.831185527032964	0.850523694412458	0.890929636670715	0.721894131462046	0.871524849896269	0.407030386494917	0.905484143840107	0.845443849032785	0.889553721790326	0.928550984605843	0.751851714670196	0.759458781339467	0.887494203672225	0.929169649199993	0.670021282419211	0.805481235307591	0.699193427996938	0.752862295958452	0.565915916097437	0.686530587394458	0.923270003229728	0.76435477895023	0.77646276834903	0.824521205990243	0.629809081076358	0.868290041211139	0.649643208740429	0.907090491924	0.512614800219673	0.876696877980556	0.736020673270605	0.853518039103782	0.864111423373267	0.762195007210379	0.751482948126075	0.70578917984091	0.830289944178608	0.785751006180716	0.824169734755346	0.873000639462224	0.806077397517436	0.700916604202225	0.818406322721082	0.718844762345938	0.8888674097638	0.715888739717697	0.72644711581482	0.708767074866179	0.79157423255975	0.878982615598156	0.415594112501903	0.76724117665813	0.839468351937094	0.779963526030486	0.469437344893748	0.465103058716153	0.228968922886124	0.888374919000352	0.545202720248513	0.511221670860884	0.746568956547481	0.722384771252116	0.746923923664496	0.70494093626279	0.764359419355683	0.570027367479124	0.728184130537375	0.595370355045118	0.877383407918765	0.810210551362372	0.623334050388874	0.607869103083276	0.560946442153863	0.759996436390818	0.762170669952501	0.906369624772584	0.844622397007261	0.725392825750193	0.688687610059689	0.892807568252698	0.772416611913091	0.591918941053999	0.823577845109193	0.689141080248143	0.544906694930835	0.760631614057577	0.684772895234225	0.285596145366256	0.30600538672594	0.830081703443506	0.588305613730393	0.760611532951031	0.830781463513496	0.791458612295696	0.760513900306178	0.484814823094591	0.682504373592852	0.624456176821325	0.736560684102717	0.839041339209558	0.735960524778442	0.782050425138826	0.612691844740225	0.625231960522938	0.749771585786068	0.572328347286034	0.705526543302431	0.506450170010583	0.51831707037198	0.739154051004512	0.453581152997727	0.679579243007165	0.809381514664991	0.743348040363663	0.570658194314268	0.789492884981849	0.523215866652138	0.673770625925929	0.645950885661355	0.55335088643794	0.692925219600343	0.460417901549591	0.638812758702043	0.842520093042153	0.606923039206684	0.543603820671008	0.439834826246706	0.379798903818179	0.914502616874591	0.551564876890446	0.853570757684997	0.875019317042998	0.769656738737348	0.39017539884091	0.873399481528741	0.857953552941484	-0.0617600979810516	0.681485519314369	0.512895527155378	0.705025063965752	0.930162604904653	0.571966537927987
CD93	0.816842487325626	0.856371586122977	1	0.818302999956523	0.704401188176838	0.884320290211339	0.805715345835129	0.864988583458609	0.854005835058544	0.746475262611195	0.509399248134364	0.782345775987552	0.887453814199625	0.766352515565337	0.745665589488473	0.580488825539046	0.516532060575388	0.9133480115475	0.89940375199257	0.753392995193936	0.884672161619337	0.531881529453774	0.843400083627271	0.269673492007631	0.707773854735703	0.91579349705556	0.608051852469624	0.663091864471896	0.726522433578478	0.687824603371004	0.812945558452653	0.346363386984415	0.89249700911634	0.203660519726423	0.807847597003214	0.792266567021506	0.931335824447306	0.816298532812579	0.592716078589971	0.779129348421377	0.709354057624111	0.879362427540258	0.604003952957807	0.733527914889726	0.722291623007341	0.643167912114401	0.70424055020342	0.778230939636399	0.841269655443125	0.810364352618665	0.460526490857674	0.759077876219589	0.805282207022208	0.815442883370996	0.858972248034012	0.132307074230083	0.851742276561099	0.66923706881402	0.662032699817478	0.353465569449185	0.555487012292294	0.344874884929165	0.934223348968576	0.239872259592075	0.414621370750018	0.645568031295434	0.718871589552666	0.632622709358872	0.461343220325901	0.762061200932172	0.276174995560535	0.534528519276063	0.41224480093053	0.796483064524144	0.852019974885039	0.742330632051686	0.421475947979212	0.565253238846238	0.715709141070542	0.709568616853289	0.874624033354928	0.900754337733888	0.617325460696009	0.555435244413832	0.869660526317153	0.716285261230219	0.549734236134993	0.732020008637429	0.391608715606119	0.332671588959989	0.750857266037817	0.611009285117162	0.434567894991332	-0.0392470839443279	0.684395535296431	0.545447513284269	0.647948198035281	0.806459259727163	0.657898966737499	0.843599711919549	0.176747743837179	0.745950743671514	0.634516506093766	0.630681443140068	0.720881547942755	0.674605306753006	0.814622806516593	0.638063576768509	0.393739967459274	0.499702845187877	0.615597052164417	0.645677651230336	0.71083345698518	0.410844618599689	0.600182249553907	0.506614237374347	0.823982975099146	0.920130702974035	0.72701700109269	0.629441078194053	0.63626779959209	0.477336288203654	0.48928738736325	0.743366204706249	0.532583822770561	0.668792592266884	0.290911839744081	0.412519335007316	0.682822817490565	0.659045161325329	0.450995018391465	0.317041616892079	0.0263392462001716	0.815073595989968	0.295081106529959	0.820628769132698	0.756107241661382	0.725345098853758	0.135306893981472	0.7979750881464	0.8261260789822	-0.186724457840398	0.425237875944926	0.282540316876886	0.495265641651338	0.844177972239367	0.519804274383159
SIRPA	0.725624460007757	0.938398266839104	0.818302999956523	1	0.794889682318115	0.845908851888677	0.800935482831256	0.866176279915733	0.742238701542225	0.926021504982656	0.512661793551609	0.904006705154043	0.769103560802372	0.930083131937595	0.955964871980618	0.794770231289004	0.746453372639015	0.848227739175935	0.896065302765757	0.714859565989232	0.793468125388423	0.686876739578991	0.668996609935778	0.594739777750807	0.744301528170758	0.915267387083912	0.709381032847952	0.803084234025909	0.792541511710202	0.635052658024716	0.892818962939179	0.719107333482906	0.900952269039477	0.568192028839976	0.871725542847659	0.783322508773672	0.833040418971768	0.909896980616334	0.795292926766648	0.787625209463218	0.780024457774057	0.843534501669288	0.854499413904573	0.855553635610455	0.88020364707219	0.835916582372544	0.698961424487115	0.858627713754208	0.725960069066704	0.858197672697409	0.762314433006604	0.732991341058847	0.707997500043188	0.772480250424769	0.89699017659757	0.444779574561714	0.762363147641703	0.844216594125165	0.760576460688854	0.50044720417382	0.539689286947369	0.293649908122168	0.86389930491978	0.638216426488369	0.599292925686163	0.804586574343645	0.792166407595255	0.820155738313281	0.751893006522191	0.813917388666443	0.596669346985279	0.706638127020125	0.576440995105325	0.88086463889857	0.754224815715588	0.520125906367417	0.648734231011793	0.632876446911937	0.772797614610048	0.792099974856553	0.877617612949832	0.841055797344541	0.713576621955845	0.718388899975374	0.886708587140874	0.805279740061987	0.669756798253377	0.899580969099313	0.756778058428452	0.570513942325097	0.789935882010129	0.722611740531075	0.364491131905853	0.374585803726558	0.888516760716124	0.647139682138397	0.795161922164989	0.864854783916365	0.832426753753247	0.748789294823832	0.493357867348932	0.703647632316388	0.552657983206698	0.804623855659015	0.850876590257725	0.785019868393429	0.768696489454011	0.647180570042044	0.627476217491743	0.782179159512421	0.634864075409333	0.700132540230905	0.516628544735242	0.48779883435168	0.737235140343239	0.523782240687387	0.714492564052559	0.76228476627444	0.778142507630523	0.431678540578151	0.836044246892525	0.511678301371705	0.723036011082462	0.549051874960862	0.650612686669466	0.75175912588085	0.496549698522722	0.72165242942819	0.840803783419065	0.625623856704616	0.630785313897447	0.426701337507609	0.44498268075609	0.924652608248585	0.589522349777202	0.885476823629528	0.881465687552553	0.820342167445735	0.431867905350209	0.905263294507888	0.79630862200185	-0.059294574002615	0.689145403661924	0.580088050776713	0.691494224561058	0.92596694319742	0.638817155855179
LRP1	0.546731891226609	0.836426528224493	0.704401188176838	0.794889682318115	1	0.590345602473238	0.745941683906159	0.811582396249951	0.588090523363142	0.716112411166635	0.228133682890769	0.820088016602874	0.833547818808825	0.773035127426376	0.820554599663423	0.676565611547051	0.787929559739609	0.798169293503115	0.814843646108971	0.424339339844245	0.668187644652958	0.742652526386141	0.676240143469511	0.753491782536484	0.479856661173871	0.756021666069343	0.901207086439247	0.536679206752158	0.847281703550195	0.390574584184842	0.566585834063332	0.578888644709846	0.790578986300921	0.644153676645767	0.839749619270688	0.545337574354534	0.707082923151177	0.747019072440464	0.516758477447294	0.555479830951506	0.425275034709165	0.674363191764631	0.734606392321199	0.658370159319749	0.691057442832119	0.645003908011831	0.734786149103542	0.647099256058769	0.680463775691299	0.851286495979002	0.777765693625077	0.729559260785879	0.633166888060879	0.758358015954417	0.648263756522919	0.655740663999659	0.562232182953572	0.878829763428182	0.679492248338663	0.555266021039683	0.46952361488834	-0.0241354171676716	0.74882542465136	0.54009819799774	0.39326538291633	0.579639163523911	0.49497035821553	0.571865343878889	0.678551017959663	0.62521181028773	0.590135072241284	0.772554659458241	0.805569026061062	0.669927267470232	0.61255484551958	0.614140275028305	0.753319636957538	0.330229836199105	0.725625959643825	0.556654288915995	0.675940441608372	0.665476213034446	0.79362165643254	0.431567204493296	0.734261410822001	0.74723241793027	0.289381521305997	0.631833188212627	0.607126457773945	0.720189079490385	0.674913025052922	0.554655209207853	0.118240073802061	0.481856779765425	0.80580438290929	0.358594655164578	0.791213515838662	0.610673096614437	0.645295275603287	0.547554844753754	0.698374911563433	0.659485638218556	0.600937136458202	0.516977485895926	0.84148188753712	0.405698903669606	0.686745653858565	0.472545483544471	0.716199892637421	0.794280014474549	0.349546320966028	0.5310385642862	0.360481021815513	0.473311713856801	0.704009005250225	0.13977046064504	0.549504510567756	0.668116406638237	0.659353309984163	0.541587011103849	0.657802736174494	0.314883501561043	0.572716911151188	0.605182277236429	0.301223155836597	0.363303792576963	0.290865819733805	0.500475225171469	0.896402828618135	0.337316598119374	0.29701216332642	0.509260799910428	0.574584391836385	0.697269843500463	0.501011233405952	0.708669124849593	0.846525605718508	0.558589701884315	0.372775308351441	0.663079663010791	0.837574366008513	0.13401549869406	0.659141438342953	0.500092014001034	0.637290292245325	0.796268171501462	0.290678993161847
FPR1	0.846574622306	0.831185527032964	0.884320290211339	0.845908851888677	0.590345602473238	1	0.753403174386112	0.807784836436909	0.864951869794109	0.841819933380109	0.698578809434246	0.804000100287614	0.70080142870105	0.843989567632339	0.801118787316557	0.619709371188172	0.443352239076809	0.851377706617934	0.798172881830713	0.902219937254259	0.85497874382059	0.50311374024596	0.695946720508451	0.296829414968453	0.826874305137526	0.879927444599854	0.497673768809924	0.694706211700639	0.641209434155956	0.714948828432375	0.900249586515841	0.501247853289201	0.88528504834661	0.247289514520786	0.786511600735167	0.854068397332658	0.89148544920327	0.869627514306538	0.689093511348854	0.896843061422901	0.842786798019708	0.894164637596717	0.708813329481561	0.78312791379987	0.790957205591977	0.719109667360549	0.669675038237522	0.878511496739118	0.812798685088895	0.771650173421955	0.514263649543365	0.713174632171669	0.773865147531119	0.804549468458728	0.891970131695989	0.110616109944847	0.905490667240904	0.627945360020471	0.636532499968893	0.360081386936048	0.657846580895295	0.507958967838959	0.907549673826185	0.369155073683083	0.589234106897536	0.776780401313394	0.885275159550348	0.824428511340892	0.526105571536902	0.870633044685645	0.318052152346956	0.47732659872264	0.312554748466809	0.807039741125206	0.843409502432787	0.613627858317038	0.415849231321008	0.725729308022386	0.715726861979958	0.752284528793389	0.866330486508607	0.881756928718398	0.479321721745839	0.593826582534275	0.859758008255345	0.749241406254026	0.772495789981968	0.847852820952176	0.524333552400181	0.357095089765657	0.732036112892706	0.689671223964359	0.589875256177817	0.0176600946247163	0.700766343426601	0.700880575352603	0.606469375297756	0.919482001635767	0.747542416930729	0.873844158318187	0.129557103940461	0.650683578344504	0.506356765093447	0.776625126782867	0.725883894323119	0.850264594765127	0.806833450013915	0.717709373877268	0.356921675522177	0.468410246502097	0.677509966336608	0.649465469583397	0.737210516965795	0.311218056395676	0.568411232911567	0.661018113528599	0.785461875931882	0.838603663637372	0.788616665098011	0.459921601856555	0.704530055735475	0.455814284620946	0.56988238483805	0.59729137386154	0.77487947030054	0.754694914720912	0.404199814419314	0.597959800793122	0.634187615667316	0.741928726692522	0.712734260417807	0.359553953742812	0.0994323902821389	0.855330603416859	0.386618472800915	0.913799013509263	0.808509568854965	0.855331628131556	0.215879283423866	0.878706552538244	0.705462345405164	-0.180722304590896	0.458062432557827	0.392915269293288	0.52359243382814	0.842802271567885	0.733250171088507
RXRA	0.563544696897696	0.850523694412458	0.805715345835129	0.800935482831256	0.745941683906159	0.753403174386112	1	0.80472063852675	0.673243374267935	0.703131845965102	0.257641602856895	0.792370299386041	0.773278026018967	0.760626269377708	0.788266270105772	0.729627588443805	0.678464163933661	0.859074063764948	0.858008786916634	0.527135298468553	0.740309807382085	0.59177275690722	0.705359002853012	0.528154123428684	0.532668410717533	0.83931453974631	0.691746087952533	0.773834359668821	0.798841583390972	0.608591421150664	0.778977409420685	0.566845884746605	0.795159706330055	0.412797690949758	0.836554603649785	0.569693435425655	0.758329381466362	0.706034749387133	0.618936195969873	0.611641886505065	0.578481577833112	0.741341001400053	0.66770201180067	0.696398898344505	0.802434910481873	0.736902969639889	0.628180348171051	0.674275322769188	0.69354574625908	0.807171568172293	0.60723054532323	0.611664908397814	0.576318748980182	0.675911069223154	0.745293060895128	0.413440402214725	0.712045057843746	0.732120907749715	0.709016133345359	0.376843576980344	0.422046658470546	0.311502798824833	0.791420909875897	0.403299215157565	0.411026691761003	0.719586692260662	0.529218414659686	0.570661585673166	0.609676224381806	0.579885207242971	0.438553046837217	0.645942949364532	0.506730386685422	0.860607287885754	0.710281927777903	0.579421754560437	0.594822049941908	0.430457940553017	0.767634034111203	0.648816337331664	0.749312002395701	0.711672740589531	0.686856259618514	0.602868122445099	0.760800514476735	0.641227456428335	0.444300849602867	0.701153593151227	0.488767253282747	0.585200916830288	0.650306462611124	0.579937897498166	0.228478968963867	0.258578519352247	0.715681279286664	0.513652892155616	0.727282724985342	0.740668385698103	0.602285839108895	0.701350845304421	0.384251485251003	0.762430940009228	0.627563607952212	0.609452645076195	0.71450526351658	0.601807896569259	0.650779854845932	0.42640216867077	0.61187865520506	0.620140083923219	0.507993732834882	0.613954381813597	0.386312201356456	0.588500555304947	0.618428695155636	0.348500331292907	0.627233851145216	0.752649619020444	0.628719028248687	0.537875378416261	0.639923628458064	0.439277816801582	0.610929188201341	0.742050454265642	0.406775813524095	0.675107910074822	0.289890306512536	0.497742170014105	0.770495035889983	0.606097894696653	0.35619117795682	0.465201932464364	0.316922999924051	0.813246270921319	0.369463805541804	0.711882188983167	0.829300810261228	0.638623220778808	0.245795881882638	0.742846185635503	0.852138163760971	-0.112888000950834	0.4834077495059	0.391322812489911	0.635375912120992	0.762245122868472	0.424063623194004
ITGAV	0.813112902285363	0.890929636670715	0.864988583458609	0.866176279915733	0.811582396249951	0.807784836436909	0.80472063852675	1	0.833250949203333	0.879281020154313	0.480174384032681	0.810272212755789	0.876521361758109	0.876587046168503	0.851484690244112	0.791762571529839	0.67312785490879	0.915146738044885	0.932372735874538	0.637506212756113	0.905928499370242	0.752824424607279	0.869019171144527	0.463393762872506	0.661593139141627	0.888715108014064	0.80596232545676	0.695413976483365	0.858566479358554	0.602589950559294	0.792815229962165	0.448264537855026	0.956541077581301	0.335355454370965	0.763593618763816	0.76056100103461	0.865087264640041	0.87798180779225	0.616286341767777	0.813349956793182	0.751818160462015	0.777899104931538	0.671288394487071	0.799262809281256	0.738661327104779	0.61911792632359	0.792814855995084	0.818300831419318	0.788139133892987	0.907485786384899	0.629611519351698	0.834245774970739	0.845995493291273	0.832583011610107	0.891507608829163	0.36149806848909	0.798685934054443	0.814600121872191	0.745419592389132	0.477976391566676	0.548497330697532	0.15677349754873	0.891260824084998	0.296197254399538	0.514161721019792	0.673064659814845	0.730903708460445	0.734438590421979	0.495480776698547	0.831119539799651	0.338791919968062	0.677148181064242	0.618968955656952	0.774285207288711	0.859502663333921	0.726906507199687	0.545434631408206	0.438767277208355	0.698361893244874	0.812983269712104	0.878575838598533	0.87455115962381	0.810997735868602	0.523977197732175	0.868450556224492	0.862048741600414	0.502984629730499	0.767107465612112	0.481301002544016	0.481221464610956	0.723614730571021	0.692448512829217	0.353557150666872	0.20162478178421	0.79886037495364	0.575756625744429	0.690337503199839	0.860446647901519	0.754679300757737	0.818976965924212	0.418348672872839	0.712668325098942	0.762735612534699	0.697876415193784	0.902224619580928	0.652787373788908	0.820021564037655	0.698408333825056	0.469145079244226	0.734352116751897	0.389673736440776	0.737156856931691	0.637839802750562	0.587736124797127	0.709816431002741	0.503068295384826	0.714826814237598	0.875444433178526	0.802954460421699	0.607627677713824	0.774619021917522	0.394880306676518	0.612728415904732	0.785136557050977	0.474511416566344	0.613467260853949	0.242480091867701	0.499945936001068	0.80892040371252	0.705397930997292	0.447368610322914	0.390712369458984	0.313365288674799	0.87896564694535	0.381792516452312	0.865486928246134	0.851164314169499	0.757078724056695	0.250549369678334	0.828829164310773	0.892413059488788	-0.0463921626547975	0.46997853466556	0.44263134274838	0.650909440964207	0.828949083271789	0.488326374960587
SORL1	0.924484265177729	0.721894131462046	0.854005835058544	0.742238701542225	0.588090523363142	0.864951869794109	0.673243374267935	0.833250949203333	1	0.796292050745564	0.775794348685097	0.685694630829097	0.706572647428111	0.754753371295486	0.671548410408204	0.590745134255875	0.292838711294315	0.850621419134797	0.762787353763092	0.826224849288777	0.914828219905193	0.46260861210814	0.753934983583827	0.199814419396279	0.753868313407987	0.807949712113032	0.531914321652868	0.504449561545861	0.596480347542998	0.608505995307767	0.74470740013274	0.296604477489712	0.883051609988208	0.123710946534288	0.690222354086662	0.81939655089949	0.844369601358462	0.844295321607588	0.515327618844859	0.876686324330336	0.755829818625733	0.835481230786948	0.584129751440376	0.665925350381448	0.584025471488023	0.554252806773711	0.788332371009341	0.805719585408435	0.901870742354508	0.740704368569339	0.40172106644748	0.760694058919951	0.891486708398071	0.845049690968273	0.853620391670688	0.0438643454798249	0.885189439963502	0.536387557483925	0.517317181152423	0.403693805182844	0.795711572045136	0.483286571406809	0.846911384774265	0.185341742683342	0.647501416492972	0.650464875562891	0.809552063339927	0.687199752819164	0.337595817057219	0.847207828788687	0.151963576994009	0.374452450973096	0.281222812176958	0.663618949090228	0.828607955316919	0.614413721821263	0.381309318346024	0.618058667625902	0.668236511341524	0.70288324754599	0.765422469385244	0.854544410814723	0.532819907583945	0.370169565006458	0.80810386482078	0.823174021665924	0.646829332935017	0.736164495549801	0.341538560986821	0.328614919944982	0.692898980992921	0.631399972796257	0.710125345425707	-0.106188054657047	0.624942812787732	0.691263333292706	0.592919426890048	0.882678761319522	0.653268604819657	0.824294889568288	0.0301694031621248	0.687251222542488	0.656175212596387	0.683674519766763	0.721210758019767	0.655330568394342	0.796745762036208	0.721726425368725	0.223829790132587	0.42263466911493	0.478251808563388	0.553900185847043	0.792516785337401	0.300954119277415	0.519915158169714	0.59726135577131	0.816358231559113	0.841604041883612	0.802441302747283	0.473349091469583	0.675806117899211	0.281213645127605	0.489354742625919	0.674253764316688	0.673098248724844	0.652912577792147	0.27117219261386	0.403246932686307	0.607138704067249	0.705928887637442	0.53212332656909	0.254450386752148	0.0478252786645596	0.719307543599438	0.207727902744704	0.864968665856712	0.743911870808317	0.814679266918165	0.0427306178989841	0.745243950706152	0.678626231515933	-0.167048272991493	0.31607707597918	0.274182086059419	0.46220164516134	0.700243510332486	0.574059441820707
ITGB1	0.795473675876478	0.871524849896269	0.746475262611195	0.926021504982656	0.716112411166635	0.841819933380109	0.703131845965102	0.879281020154313	0.796292050745564	1	0.651193841615781	0.862445546931697	0.675472256536541	0.931843952075012	0.934940271475129	0.800115973233828	0.647103717150393	0.802332010981116	0.831258058597446	0.765593771539244	0.810328347836965	0.674784361850963	0.658415879931783	0.506512778175707	0.78579566688111	0.850690488797655	0.657555731937147	0.734827252982534	0.727296262169938	0.621694605621514	0.885150263751108	0.681710230624551	0.899985887975937	0.46322030348515	0.753464965669465	0.802539757979479	0.799074696613593	0.928219938881877	0.811670685160878	0.874752733136596	0.861910732489946	0.81959184499295	0.829053543676571	0.853082847825048	0.812042845857247	0.770320162081356	0.749200220767536	0.908551719824881	0.711270884572149	0.84068219949514	0.714409039786191	0.731797579738245	0.773522482254	0.772185420421274	0.925871993832802	0.357724556114372	0.811770883124674	0.772345221887526	0.68216492244024	0.567496128497848	0.610538234596321	0.323505485816957	0.82815765997683	0.555777910283539	0.697358892427376	0.776508540530166	0.889128879797198	0.914525898082142	0.659355584101951	0.900520138347568	0.490506209377212	0.625184609148491	0.544710739552925	0.79631968115187	0.776613259890547	0.502211806566044	0.576303614197617	0.668618812705119	0.682130078375046	0.877618235603741	0.855807164791126	0.84213486550481	0.677557856804569	0.657666439140222	0.872051765987936	0.892744727008065	0.768067787375191	0.922302310926183	0.731247957809552	0.500213298576374	0.734449007947695	0.805627477345535	0.481355654481547	0.303430799699298	0.842090973165475	0.710303933752685	0.722013753928941	0.929971400093228	0.897482286724382	0.763673070746574	0.441138500696309	0.629913286608027	0.573757516974334	0.870591693582701	0.880005918152166	0.839901761455564	0.766640510881847	0.76853386926445	0.472795428726798	0.734406768440295	0.529334080750848	0.714976158575929	0.613986595165808	0.455554609979419	0.745947792228897	0.641153183228939	0.695757099225294	0.733487258756362	0.841048581965999	0.358177087714847	0.880185348151474	0.448892591640784	0.705417290242113	0.501021755033915	0.745643960057937	0.731617461075908	0.506694355573074	0.750740759225971	0.773994263166015	0.687100145414058	0.731267645105745	0.430737541752319	0.417325512575754	0.916009467999052	0.595871171476126	0.917841371347188	0.85680371652837	0.892388505696185	0.445234885384063	0.917476688890092	0.744824598833517	0.0100662647699386	0.632293958504612	0.629088721958175	0.675344263946714	0.867162460732854	0.745859116082507
