""	CCR1	CCRL2	ITGB3	SIGLEC10	CD40	CCR5	DPP4	C5AR1	FPR1	SDC4	ITGB2	LILRB2	LILRB1	TNFRSF1A	ENG	PILRA	TFRC	ITGAM	APLP2	CD53	CD163	IL6R	AXL	TREM2	TNFRSF1B	VSIR	LILRA1	CD4	TLR2	ITGB1	SIRPA	ITGB5	SDC2	PECAM1	HAVCR2	THBD	TLR4	ADRB2	LTBR	IGF2R	CD74	PLXNB2	GPNMB	ADGRE2	TNFRSF14	ITGAL	TREM1	RACK1	CANX	TLR1	LPP	CD81	TRPM2	CD9	PLD1	TNFRSF10B	RXRA	KCNQ3	PLD2	CD72	P2RY12	KCNQ1	SMAP1	ADCY7	TLR7	TSPAN14	RHBDF2	TNFRSF10D	SORL1	TRADD	STX4	RIPK1	ADGRE5	UNC5B	CD99L2	ITGA5	NOTCH2	SCARF1	CD226	NECTIN2	ACVRL1	ABCA1	SEMA4C	PDE1B	TRAF3	TNFRSF11B	TLR6	CD300LF	KCNN4	P2RY6	ITGA4	FLT1	FAS	CD47	TRAF2	ASGR1	RYR1	TSPAN15	TNFRSF21	STX3	SMAD3	ROBO3	NOTCH1	LRP1	CADM1	ERAP1	TNFRSF12A	ITGAV	CXCR4	SORT1	TSPAN17	NRP1	CD44	MCFD2	PTGER4	PILRB	PTPRA	INSR	PTPRC	AMFR	EDNRB	LAMP1	CD63	CD33	SCARB1	FGFR1	CD69	EGFR	NCSTN	LRP10	RPSA	SLC16A1	ITGB8	PTPRZ1	CLEC2D	C1QBP
CCR1	1	0.917653913163828	0.822740046300986	0.325129716887711	0.734459699905411	0.793548596283352	0.390186118979816	0.964039795282557	0.457873129835207	0.6652312624568	0.81659312435007	0.527332557045926	0.394434194790393	0.733521150116291	0.633256792947097	0.829137532696924	0.677219660308408	0.820839292239531	0.945767993482258	0.618852578521368	0.835388113611792	0.840796564292182	0.493495251003143	0.512696751948026	0.940666069134794	-0.0811819868173232	0.429591285966249	0.549917558694374	0.556678440694565	0.946252994515378	0.938066322889487	0.93014987379815	0.630496777611202	0.469244267875913	0.906029691882641	0.860358399563507	0.922384022553772	0.0711328579177453	0.805572007195253	0.93165104559892	0.15745233169136	0.655218063265273	0.814182210664913	0.509527687639604	0.832902743998759	0.567667045314506	0.854586303186084	0.774780699517877	0.908185998970919	0.762036718640633	0.688801561469746	0.633478387276789	0.448008321669083	0.907183547920356	0.866105509257639	0.407182822757982	0.940546470315712	0.659363822110913	0.476070309428965	0.760321101180293	-0.0392106192335581	0.515349294184704	0.912180753021785	0.659642562347707	0.136887932447827	0.763764585332928	0.362714130090366	0.598158811550657	0.219517685390588	0.861399541883707	0.906901668253474	0.900080370043222	0.652423230987053	0.265793124979182	0.472357711438073	0.861548409197579	0.593346104950633	0.431221163102174	0.400186861275837	0.912132720670411	0.720047858095764	0.814165761678975	0.159181948320044	0.608820026466843	0.864647938163808	0.00136707945195927	0.46009412364572	0.495635230001575	0.733826946769096	0.152199128616523	0.639349572530148	0.586646437760364	0.713711678885803	0.58941929158427	0.551368479338642	0.701187996424114	0.0857696078490276	0.438356695965834	0.754596763904169	0.873148777268155	-0.0467525294121651	0.240193318064479	0.263702956026539	0.898840204136214	0.887182706753832	0.447725105554545	0.875444865093936	0.472750971939126	0.275295246353241	0.533058467209081	0.512915323618027	0.943933802793105	0.674174959445305	0.926580195566194	0.714379963296871	0.0660440374593509	0.583526665739422	-0.152549760648202	0.682393490596219	0.898180678685919	0.734581831428155	0.943902856341879	0.958079017363413	0.470351801097341	0.768953771555605	0.449504906845468	0.0585097699612656	-0.28054627058215	0.877885306505573	0.850593683472354	0.745045020130215	0.342607596167812	-0.0197582025736297	-0.315381984998512	-0.071547102209182	0.481079995177604
CCRL2	0.917653913163828	1	0.809949338165111	0.101574205623268	0.578070179209665	0.856007036926165	0.47311715446878	0.929609645300421	0.24747621830699	0.77327182024565	0.679286983862726	0.347261095458845	0.183688453338507	0.567512021265061	0.525668098580361	0.701494625418283	0.497364942928261	0.689739397614466	0.960957004249135	0.425151126670445	0.831109872583325	0.670425867917399	0.27933297964192	0.319083861193211	0.844312238224853	-0.357071594727499	0.28845410314169	0.335675622884204	0.263159678277165	0.880849591831471	0.879852369725628	0.843200534831602	0.730103769987619	0.244085710238503	0.802692170587987	0.891559185933917	0.774740548083839	-0.203665329156068	0.691684590057197	0.925939227786616	-0.124081571168943	0.437835370276859	0.892941426089583	0.260557206597444	0.872247979526863	0.383043750320545	0.832482569555468	0.590053214011315	0.816247625319743	0.563629801346216	0.485004088623482	0.467149383626477	0.233828896186808	0.924929075841062	0.764800561560904	0.179477280042129	0.849657143261173	0.452376485911442	0.192812786613067	0.81133825968638	-0.304587930596821	0.30961314563549	0.863347704595468	0.425648255088548	-0.1189865239667	0.56156764708316	0.0647150236025045	0.453039620170326	-0.0649079653318111	0.802989931383888	0.843211716197147	0.856504529765503	0.431364274795045	0.00756987791138153	0.256578853862452	0.801196258280771	0.501563905867863	0.248177277548598	0.174206089674583	0.885977822282996	0.762289328225151	0.870630960644419	-0.147441004582027	0.495736541543406	0.740364062277625	-0.280676777350857	0.183308115682155	0.329811206552332	0.70664759721706	-0.074216282633291	0.505192056025454	0.639084031814189	0.626777888851992	0.42299476804924	0.313062098929889	0.668168067039603	-0.180902695752506	0.264181218293762	0.818719274953982	0.902193446493672	-0.316965180842386	-0.0389859105130633	0.138094349424998	0.797328706260386	0.846226742616019	0.240224611306065	0.91960263099468	0.259523050088631	0.0829319306410129	0.284071049928259	0.373740178233586	0.911864875667889	0.716239774684057	0.886661850609106	0.603507908249704	-0.145571776129803	0.369444836499873	-0.185414425100303	0.490617377000182	0.813734570511731	0.739929185116784	0.956370429495999	0.959676788565966	0.238251144801688	0.610815500434597	0.55197209457835	-0.207045494060824	-0.215749585965044	0.769994497576565	0.696165496188004	0.573546434889776	0.228312566599101	0.0378620648777021	-0.25849894363689	-0.339343188899211	0.300055480604758
ITGB3	0.822740046300986	0.809949338165111	1	-0.155643733001542	0.347111426078598	0.82487831309049	0.739568443469182	0.8002897267845	-0.0109868852737808	0.816475408340446	0.425080392761305	0.0903980480671509	-0.0793691001090546	0.317515862228874	0.207378844028607	0.715488217085296	0.292219664133487	0.442073932492918	0.816413081054484	0.168008509507331	0.520335814270929	0.756026093488293	0.00448149434673003	0.0522033844413029	0.814126377390771	-0.429363145011138	-0.0305495552798678	0.0848690903515973	0.193248645599734	0.696226258014148	0.692698434874815	0.772451611131689	0.803533439362109	0.078204820343908	0.57595051405327	0.791065636766747	0.697561888215885	-0.313777818667988	0.446251758993892	0.913961211419986	-0.276683400213054	0.274397799702554	0.911954060367541	0.0770880812063673	0.917736318434713	0.138254191851944	0.640048842741297	0.408928019664157	0.698112231820139	0.408048797817931	0.270934706346776	0.163280340126216	-0.0189261559977988	0.858054352521621	0.636972560566809	-0.0196734290113625	0.766094064589821	0.242277457629708	0.216370112447134	0.861466982776314	-0.426335521062488	0.0759261453839414	0.673368046163644	0.227773531506362	-0.308321564412583	0.400037997265256	-0.0550278777862815	0.738135599239853	-0.188180858227612	0.671000772709406	0.61651016086146	0.852369081244973	0.468327648934137	-0.205062118495178	0.173451825349408	0.796620508011808	0.824600347564552	0.168636117242072	-0.0341933977400403	0.759547121813406	0.631329109478887	0.931987443172301	-0.176746188636432	0.193150618520287	0.694634482397514	-0.371920585133359	0.202282861808829	0.0288191127924466	0.555045383697333	-0.328035408571658	0.288000591140344	0.398872768310185	0.349111075057502	0.191560761321223	0.361514763395487	0.471939379422065	-0.300250715321185	-0.0082468472266271	0.881694703331399	0.881384693188251	-0.292539089185035	-0.0117296571293322	-0.0710247561072074	0.601180847607961	0.828755436618612	0.00256318531863252	0.830176223280127	0.0445381051978841	0.339514860303115	0.113952291842861	0.0894769015694124	0.831494175657145	0.890333447223747	0.778945704473127	0.307653136766122	-0.170470915562219	0.284984571399548	0.0244771891797583	0.250822598393333	0.855493027440913	0.472642008595905	0.798230985752907	0.795324181565076	0.0383108141564165	0.404380421548703	0.576573314644274	-0.345574925584041	-0.153930434699253	0.584670498361445	0.534291062370121	0.384352566760785	0.0513359569077076	0.102147516860635	-0.203749856988198	-0.0929436972856152	0.0619061061375997
SIGLEC10	0.325129716887711	0.101574205623268	-0.155643733001542	1	0.781041779499718	-0.17115180287628	-0.584288747954506	0.288979409214681	0.962277100986467	-0.33851266000337	0.753461811023953	0.86507396936171	0.95886102371346	0.821670138703402	0.816374852185692	0.318036754661023	0.811311651773487	0.748930300130415	0.194805542770564	0.915139442932663	0.515790358979417	0.33620142877779	0.95138143482445	0.938666418357732	0.321351726318543	0.758737089385913	0.881363140324263	0.933578809050937	0.839615441299683	0.477959456453525	0.4736754754908	0.346417455728074	-0.382484585516111	0.778565065999057	0.622681864233102	0.108093992305446	0.480013937740647	0.876700974221705	0.718747578302702	0.0612780727395941	0.922822037777278	0.832232136533552	-0.235806081563436	0.908375003172944	-0.184148247548701	0.892874442946674	0.410100859136478	0.710159404405527	0.442290500907509	0.762706231903456	0.832965638240465	0.908584662726777	0.94620404529808	0.087518619373453	0.414075889131332	0.88257904259673	0.38507207164622	0.858045860394219	0.738351933421133	-0.220409006196343	0.847977235396862	0.921945398072545	0.414651204518649	0.872643761953803	0.948966449925246	0.762231355971503	0.9036540520607	-0.0758198937259571	0.902795323728434	0.310159686172248	0.520899503840969	0.150532409980892	0.532754183916704	0.949007861866328	0.654381135009784	0.221113220871601	-0.261747271677687	0.570192209362123	0.846644517475707	0.264530540237428	0.0852894731151278	-0.231415129084384	0.855038946551714	0.768770397248111	0.419668734789816	0.848099223069148	0.681292553784883	0.881110136308476	0.399001949708637	0.946593495927261	0.730773289577521	0.235307632180218	0.64040996495715	0.838652839343215	0.434574824830904	0.379281062748983	0.849392535751893	0.936775101533357	-0.253442320256786	-0.0108470904957385	0.649616726385286	0.749430034410228	0.695451621569095	0.595445205574907	0.130064237596296	0.847841217080622	0.0594685309640862	0.911918202288851	0.142190091031037	0.914191709627447	0.767835901232972	0.269183513540059	-0.358410755077029	0.276742836191658	0.750172290740835	0.612563157617092	0.726257651882378	-0.257285389641845	0.863930873350644	0.150659652547864	0.355696782628459	0.204765535110191	0.26164709928078	0.91828941742705	0.740041345092599	-0.29918030035091	0.897243689260786	-0.257628975716857	0.564433727157641	0.64465931753218	0.71677532838942	0.626251019534821	-0.23784211619556	-0.228518746143873	0.264109743965216	0.855915973393668
CD40	0.734459699905411	0.578070179209665	0.347111426078598	0.781041779499718	1	0.364186969476027	-0.0835626671213596	0.680641611535349	0.844848303353065	0.171889045754954	0.928448841939813	0.839763174542962	0.834755694832467	0.904078364266092	0.859319885854588	0.602332620223655	0.898942016328334	0.897748256445436	0.664757917955019	0.895630697434946	0.797234674721483	0.676682013849993	0.840339496348242	0.835203532722936	0.69510965792368	0.402354235965913	0.741951085383056	0.898698144389826	0.84440134214589	0.810506340638007	0.803052857733653	0.754299888782953	0.158411494580303	0.754542455089411	0.864912266302324	0.509313860214663	0.796500393756818	0.544023445409045	0.894648782358286	0.552459715494317	0.66214140025852	0.822569331495581	0.30664110815424	0.85407237017326	0.343060088971276	0.865197385382743	0.680185543526741	0.897754002580996	0.785368227274438	0.904689551617478	0.910638385336244	0.911742749269063	0.841178915074582	0.525318977413047	0.758503290175201	0.775157995908656	0.741164587027165	0.892504282540697	0.654818831635119	0.279007437932369	0.467815338772294	0.832843397377504	0.74244639740854	0.905299334171696	0.642958428361955	0.883775906786293	0.737468804019394	0.258155519350902	0.652599400520159	0.722247847533005	0.820952979408232	0.594085876056287	0.638913304027863	0.726638322842816	0.637731619163935	0.596415507177937	0.144502847154374	0.497877614994171	0.782708368344724	0.694028705043868	0.4720167416902	0.314201004496149	0.587618740755153	0.843767496491665	0.74752996534088	0.497128747020657	0.625258106493454	0.794286892466512	0.603260547660945	0.67530376299282	0.826456941674937	0.516972054385479	0.786444700987081	0.835303187110475	0.65199525513236	0.641925851628582	0.552206018698907	0.807095436856116	0.281778962756251	0.512542403488892	0.33622492628183	0.571299488700507	0.539260489954424	0.874973672227053	0.60445014857178	0.76322601832152	0.528332565866896	0.817729381506099	0.197872484001497	0.807626825884405	0.740860126621967	0.687802645691891	0.164809604641636	0.703107409507981	0.899766558627578	0.38191831599633	0.792380144605105	-0.244599913379039	0.902549511779185	0.555532039925149	0.620000170910039	0.665185256882912	0.704302910025641	0.831082994789104	0.896162368181506	0.107227139640684	0.571258013930742	-0.326834661748828	0.861748595026574	0.88373764074469	0.880044565085879	0.600414086769668	-0.182442136159618	-0.331643532613167	0.117687430837663	0.825674247451215
CCR5	0.793548596283352	0.856007036926165	0.82487831309049	-0.17115180287628	0.364186969476027	1	0.721020276108556	0.790368369576844	-0.0607112638760198	0.788510327897269	0.437502516117153	0.0886922898014516	-0.078268586255409	0.29223412631803	0.207805853142183	0.640033959592078	0.231196788891549	0.454799381464493	0.869767582441084	0.156107551353638	0.600068477464391	0.612205019871938	0.0252640940856807	-0.000436063769588675	0.722442132024804	-0.430878951429136	0.0400825394748653	0.0760899688677094	0.0578362829901247	0.682535529396402	0.656561606884603	0.806309499237153	0.897496966530167	0.0781955473947196	0.585142525617539	0.73999121695955	0.655388603368634	-0.380227797228329	0.449558858228075	0.858504619724959	-0.289193097834818	0.147372232642112	0.920518365702972	0.0207730179768945	0.905714919055784	0.115172030003313	0.610887066946962	0.478496746978057	0.649206618201626	0.367430732230797	0.253294243646688	0.184221024278198	-0.0447837146215202	0.785203085037158	0.69448651776994	-0.105973676490684	0.651626309718874	0.246854902598267	-0.00532807947963415	0.914160673268839	-0.460223128282306	0.0217971173494189	0.685933559196854	0.213162598066096	-0.346077424089611	0.356513414092881	-0.133578039127855	0.540262444808859	-0.241508286623685	0.762277981280026	0.626569990050325	0.833223046109484	0.260648946305754	-0.212564511248583	0.23161809189146	0.667420723683269	0.619197734952184	0.0700480323989139	0.0250655536405005	0.796678384374904	0.697062051307845	0.907099751057654	-0.344792410831023	0.301366728464434	0.622069021893681	-0.468429998743812	0.0744761905431381	0.0493592407778202	0.461691094351952	-0.258370704132472	0.262333224943543	0.545445572307742	0.359150913028609	0.107106289319983	0.267377926151642	0.504704522353332	-0.364843777029894	-0.0366980341015613	0.892791665884902	0.864950209741192	-0.426069120433007	-0.201154611060819	-0.0782117801084971	0.573781181024373	0.84062035256315	-0.00483797880961565	0.790605487006407	-0.00655276216406417	0.105159093596917	0.0367361535920603	0.105453255245449	0.779421031322863	0.830380617848035	0.797449967937509	0.352631672988871	-0.345500726843147	0.113584212022531	-0.0141822788867745	0.245912625292779	0.76835429555894	0.529059791225802	0.869107405578279	0.829924469019585	-0.0200305324981286	0.356169235741071	0.628926201784594	-0.382751189671715	-0.163000466353622	0.552767776617246	0.503224561268288	0.429369663278713	-0.0489687980908603	0.0877121266034801	-0.218080886196271	-0.220188037992483	0.0636566513979487
DPP4	0.390186118979816	0.47311715446878	0.739568443469182	-0.584288747954506	-0.0835626671213596	0.721020276108556	1	0.377027767618441	-0.503101604741157	0.734591330428306	-0.0741629627860625	-0.393150669777258	-0.527800530195158	-0.182619855561452	-0.30986916391302	0.377269982552846	-0.212938057834727	-0.08473805792207	0.500068214810047	-0.337103544013573	0.0773254436280475	0.426178315989375	-0.468169461399809	-0.474540210730102	0.409874852636627	-0.591614044018137	-0.446478571585487	-0.405798875262425	-0.245408208369619	0.199883139685421	0.201640593003267	0.436854492247198	0.883006865574708	-0.337774872671636	0.0542941143910758	0.364562078293054	0.289195170228049	-0.585169311839646	-0.0248780659967261	0.601023451710306	-0.623064418207083	-0.269102092794706	0.745628232535727	-0.387714189200188	0.743276024924045	-0.334638331809702	0.142375280555025	0.054579327598946	0.248930088596013	-0.0761858440502837	-0.246575128640874	-0.350522597413857	-0.498218595396387	0.485480372209977	0.260775276838276	-0.480573659374207	0.270358209691021	-0.251161168036138	-0.226975235169969	0.769511011970988	-0.676321537615437	-0.45011620403557	0.250892550352488	-0.241531563387697	-0.666664848751774	-0.107559214138529	-0.457906427362285	0.624797323029114	-0.548440866752359	0.390383094460531	0.155399455503651	0.592056889877006	0.0688626322684513	-0.599485514241105	-0.188399109665566	0.398614384589377	0.759083616471267	-0.247062292540525	-0.405215938612349	0.413465602124993	0.354138607917525	0.796073792436905	-0.515682947558105	-0.198308971163834	0.372360600001518	-0.635842347061498	-0.151983164288638	-0.423846480448386	0.110243982705094	-0.622341374125034	-0.192939012786926	0.117718222820956	-0.120064772925346	-0.339733667854405	0.0745785936766331	0.126276164104192	-0.634053346818396	-0.45818949427097	0.802651299794019	0.668700133671524	-0.550681946326729	-0.372532687570013	-0.470149567042036	0.127084513255168	0.557875409940944	-0.409599877198922	0.491081520210867	-0.443737097879506	0.188295621991223	-0.381959792689431	-0.272211617528922	0.442338678164743	0.858687487920629	0.415083447281353	-0.159189762591577	-0.442745997053579	-0.187891088240935	0.17232922538355	-0.265396210434813	0.484345277489523	0.0735614169329952	0.475728099245063	0.427323532904934	-0.406808402968517	-0.0503401033786202	0.576477629059105	-0.660976164147552	-0.0272593908965151	0.134697236811791	0.0225337764158644	-0.0205424249236377	-0.336073611815112	0.164475545034064	-0.0836946414818408	-0.0660667642040014	-0.348471991828491
C5AR1	0.964039795282557	0.929609645300421	0.8002897267845	0.288979409214681	0.680641611535349	0.790368369576844	0.377027767618441	1	0.436757354662647	0.624005761911564	0.790611655613756	0.492991631568464	0.369650684631663	0.708463015729357	0.652383876513612	0.848730900040349	0.651314949358488	0.818879818211798	0.938035342223723	0.60917623356895	0.851825684308692	0.790311607565471	0.483595096862746	0.511328993146686	0.939870114230614	-0.129728172805401	0.482551072940705	0.507878983578013	0.480574475941278	0.956768625937897	0.925614821044264	0.915793228384885	0.6171999966467	0.428916670198091	0.917444029938986	0.885629281959531	0.893429139728006	0.037122278029191	0.781079003591562	0.918546002867816	0.113118552834801	0.64058627710789	0.810468681201506	0.47579270452781	0.818414443980353	0.570016249897292	0.882575977454516	0.714325356987319	0.884580265093596	0.748674151171829	0.649646299794367	0.618675009934765	0.420604226048331	0.934174331626009	0.870675464907031	0.406596373930876	0.920610990482183	0.654511586580427	0.473933757201803	0.742807915696907	-0.0692244086659995	0.498497299751077	0.917164488503599	0.622117881915881	0.100162919335475	0.752855517292753	0.317521600382106	0.547881189397063	0.191985026256762	0.838262481464556	0.92455171262196	0.908379850011425	0.644936239484385	0.236051646472906	0.464513783151022	0.836613611316435	0.534908803739661	0.478574319119636	0.379304076484459	0.912144984288302	0.709515538217431	0.811923414103066	0.089084559183355	0.656417342014044	0.829536398350307	-0.0809890007252269	0.439841377460789	0.427097388293859	0.752242827570637	0.102940497427135	0.600849218081728	0.66312274102203	0.744813705187787	0.579860187549448	0.453961947244784	0.643733350987635	0.0599725910322682	0.404692750628671	0.750284000750206	0.858608774201509	-0.0419484808432495	0.206536860340943	0.339693941480958	0.874834660575311	0.850030169026415	0.388739358586257	0.878113851959806	0.456386488443322	0.321250358780841	0.524503180480398	0.486392465248787	0.930144417113437	0.632592481999472	0.912134780668987	0.721005585960936	0.0372151578688254	0.572889631974928	-0.140263235801957	0.680577617547766	0.886563004880676	0.783746953167004	0.921821913038187	0.954276216718782	0.380196036081042	0.729577884600619	0.5060774776087	0.0379522324745535	-0.227523733373094	0.850938352842677	0.830417689980633	0.688628358127519	0.318839089214978	0.0334914886464836	-0.264249915275257	-0.099839354402825	0.419725965542268
FPR1	0.457873129835207	0.24747621830699	-0.0109868852737808	0.962277100986467	0.844848303353065	-0.0607112638760198	-0.503101604741157	0.436757354662647	1	-0.214100742473354	0.845763648769989	0.911946457861462	0.972544814761218	0.883721817781583	0.895733574671536	0.397024475188316	0.90749229674523	0.82973247796685	0.327432288589049	0.958733389540572	0.635191096200669	0.436478189843543	0.951396937924739	0.979002665182513	0.462076683748028	0.629859247806436	0.886065193164339	0.967997305794989	0.874714102504125	0.620847706300745	0.617645842412015	0.457184871172998	-0.291537326576623	0.764372154876937	0.73492551114688	0.295179539180105	0.580834329626078	0.787243377925213	0.782382486403977	0.214199321174004	0.863362470587901	0.890427474957536	-0.0914976688404818	0.952268070199133	-0.0440585819518176	0.926972948732177	0.56846520054592	0.7606331135664	0.591013123408855	0.833935527674465	0.878226089506801	0.95399345449837	0.985783683899755	0.264075020351802	0.52859751745498	0.915748266756091	0.543914993327141	0.882022644326837	0.761449882149075	-0.100986342365983	0.74066950948508	0.955913898505013	0.547780056565078	0.897747011832909	0.884483698410483	0.821451538639762	0.882557517970501	0.025856248161538	0.842357380019405	0.435351355588564	0.662192872319328	0.296791477318051	0.6377987105739	0.915396861592395	0.649367504049216	0.371251876314791	-0.142928245691791	0.594376124566979	0.814745264702689	0.414685953655219	0.173721789497771	-0.0844780415367393	0.804457813371891	0.806143067908601	0.52710254284503	0.7669503647092	0.656218567402857	0.86533383764	0.555229237338156	0.860726910005889	0.82270602288232	0.293602970570292	0.742854199755988	0.909756082293186	0.521103804273832	0.495442317101868	0.790664888489747	0.933961301331118	-0.130151673359488	0.143881764297905	0.582240939356427	0.742063480702554	0.707597603212955	0.701772699961438	0.247978361160231	0.862942095037445	0.235363292314871	0.93237804324601	0.184249876621722	0.922642185530376	0.811648449593808	0.41763121456822	-0.222483919622259	0.423414579094277	0.85110520246976	0.55971313916808	0.816855476924578	-0.294725631255315	0.919873095609568	0.293639496910842	0.468746420847851	0.334055280417989	0.410031513452189	0.918201749880237	0.818570309077413	-0.212764457427192	0.84259127286248	-0.276195660337847	0.674989499986911	0.763101874039547	0.792097775231321	0.699294432103225	-0.237586793758325	-0.256731629080242	0.182301446333046	0.898246218301209
SDC4	0.6652312624568	0.77327182024565	0.816475408340446	-0.33851266000337	0.171889045754954	0.788510327897269	0.734591330428306	0.624005761911564	-0.214100742473354	1	0.234128159186383	-0.0938258957443005	-0.298944097424299	0.146349904121081	0.00675080935316073	0.45662946699956	0.0626919443803835	0.217858159975314	0.752893503329882	-0.0836427590901493	0.394324924538497	0.514363164346577	-0.217568838011628	-0.193565975386502	0.652648563151283	-0.566778865287256	-0.241997551168139	-0.13962542034844	-0.0387796421794378	0.504360259761295	0.553005137336977	0.574932487646447	0.846531302715792	-0.064436387254597	0.35248699488822	0.66214776154977	0.473702834931276	-0.504314974071763	0.267844011622128	0.77729183904053	-0.469895829549732	0.00749489403821069	0.913038930739941	-0.130052156361721	0.875105592451049	-0.0753495995952781	0.510062041698157	0.251695125831316	0.51077113627346	0.123261689746186	0.0605657667642641	-0.0380352488872062	-0.226711833168962	0.762264858475496	0.403484430652594	-0.282549272725714	0.585308227069864	-0.0358240013795255	-0.096609239218534	0.880898898963937	-0.631698477528929	-0.183049200571265	0.554059066160359	-0.0148861454868211	-0.491182620011136	0.173757924571725	-0.287994640709011	0.557408055671583	-0.415707371047347	0.540965546410303	0.461384121572404	0.706587580169899	0.198313869012052	-0.4117798622481	-0.0332991696440238	0.645568029027657	0.721870688302321	-0.0585492073851669	-0.232097651524117	0.615130015706063	0.62357420765446	0.888521032131757	-0.3527294198216	-0.0293019134623007	0.512039528252812	-0.525000444117446	-0.0790512005072614	-0.0366305535067322	0.425764941032041	-0.447508973911506	0.132066665907848	0.309008777837562	0.139171945347432	-0.0142183306646395	0.230753133700296	0.575113460866981	-0.542009196359948	-0.153143990606871	0.892626508091626	0.804843592121775	-0.521194335165584	-0.292238044649706	-0.334803554121448	0.436916170930899	0.791835325331474	-0.175568190802874	0.795854305606776	-0.213572101999119	0.0884813351353825	-0.144301779332365	0.0432616183429932	0.68169898755175	0.895740767047367	0.610494178170973	0.0958801058852315	-0.259834696870439	-0.0064500361421833	-0.010362758702127	-0.0157168542813103	0.658075733186498	0.296016874648443	0.739465862200371	0.692956280010737	-0.099395020927844	0.25695300430695	0.49230546523337	-0.545230362191301	-0.147944428123562	0.414282004691279	0.290303610765258	0.220365501672171	-0.0824645143670758	0.102998741026349	-0.194617648041258	-0.251006382439738	-0.0669432954068433
