""	ITGA4	PTPRC	IFITM1	S1PR4	CD69	LAG3	CD2	CD8B	CD8A	CCR5	CD44	PTGER4	CD47	CXCR4	SIGIRR	CD3D	CD3G	KLRD1	IL2RG	ITGAL	KLRK1	CD247	CD28	CXCR6	CD7	CTLA4	CD27	ITGB1	CD96	CXCR3	F2R	ICOS	TRADD	CD226	ADRB2	ADGRE5	CD46	ITGB2	TIGIT	CD6	SPN	SORL1	TNFRSF1B	C1QBP	TNFRSF14	FAS	JAML	TSPAN5	RACK1	TNFRSF25	TFRC	IGF2R	CRTAM	HLA.DPB1	PILRB	PDCD1	CD82	CD81	KLRB1	CLEC2D	ITGA6	VSIR	JMJD6	TSPAN14	SMAP1	LPP	ATP5F1B	HLA.DPA1	CD74	PTPRA	CANX	RPSA	STX4	CD63	LRP10	SLC16A7	LAMP1	APLP2
ITGA4	1	0.81799278311562	0.413054453953119	0.402245214483839	0.568775435778393	0.203254324870513	0.61556105814824	0.369299721508965	0.208051421503447	0.203573688586269	0.702949392435368	0.50249162342971	0.556734642966009	0.546700947213423	0.349039913228959	0.490224946980369	0.633966456122452	0.102416945295576	0.627318378295374	0.387040495831821	0.354797876756772	0.541509901038242	0.50615877464256	0.274347865575593	0.188746188062876	0.509120678799538	0.349989399999384	0.656024722659476	0.49465048122964	0.186181152528482	0.602609497962261	0.582980021780509	0.415404457395664	0.485891180006892	0.369381846726742	0.541671003597172	0.309324040113367	0.309195293352841	0.407926092138873	0.507459486946829	0.104864454825832	0.161053971872173	0.545246353209397	0.33936607299604	0.334560514190009	0.599434212250153	0.479624896171134	0.371263891958067	0.336719494840705	0.395044550801496	0.368303636668432	0.113701560462466	0.462562388152006	0.233142370847021	0.181500324769494	0.292134149779492	0.208595227954274	0.252248549769185	0.225678128943134	0.553615002174383	0.371155464187783	0.204439332831057	0.63406203797786	0.348063849729895	0.517501057727147	0.2278424949755	0.268449695622325	0.210509439701479	0.228107044970398	0.506632715054823	0.181339314679913	0.34326010909823	0.352381027761741	0.204201291774127	0.50363266581919	-0.0308554477032871	0.209186202281035	0.0337770302277755
PTPRC	0.81799278311562	1	0.407601956733029	0.463949533734796	0.50714122375962	0.211066247364772	0.772676627227131	0.255643462161315	0.249894290801364	0.34470956538302	0.759477332357418	0.460828709944543	0.628160099091461	0.50919430507592	0.405843961959113	0.544682270954867	0.74432029619288	0.11774315878851	0.679068267946142	0.443029444312278	0.366398584004703	0.675877479727441	0.608950549240257	0.393213670349637	0.272933055487657	0.572287529914775	0.396223053527659	0.705192405592084	0.687723513541963	0.207344731825213	0.650811892207192	0.570858896191611	0.427526003199246	0.583331033075606	0.421890749456046	0.517966327793438	0.38445549265473	0.34924116191378	0.484707551871307	0.522168030746417	0.192380060750848	0.21305778037516	0.625612953406911	0.291190956405772	0.431311137027523	0.632268998614514	0.553602742631987	0.446534297385974	0.315425598998776	0.479127689086718	0.341958922465568	0.18188892988718	0.421694771793405	0.26570434222843	0.175892258083728	0.307908322720473	0.208536252362372	0.280514256365799	0.287973963181811	0.617500358829189	0.307477112544209	0.305726575547983	0.559501899979908	0.393383295119854	0.498405458863947	0.198618515042042	0.28858626978906	0.245121721789912	0.24674016116383	0.596208393226125	0.241291323977615	0.307429482220419	0.394031288656622	0.172858813605948	0.441173864324227	-0.0456482909810396	0.235480746932565	0.0185544166910553
IFITM1	0.413054453953119	0.407601956733029	1	0.585959046918994	0.682427028531975	0.1251414818054	0.349679695347802	0.367537393772208	-0.00544861436703308	-0.184772691281856	0.636044302670719	0.687679448427357	0.68738525993287	0.549196735109435	0.65608103290785	0.510846100023193	0.486142316385684	-0.268732898413958	0.711979790056629	-0.00959412732602197	0.0718254428867377	0.188721098777164	0.681432687979058	0.223542563505305	0.480906364234961	0.224471134181656	0.408774965180981	0.641496607211391	0.39181913346177	0.0847070903366046	0.0933554688438628	0.591433421647201	0.824715106481523	0.530276509004043	-0.0125308392686343	0.584577763165766	0.392249071427375	0.306103179513819	0.136794006187957	0.514511319982951	0.357399486513918	0.0731388480143351	0.249208208593266	0.839951843245446	0.604519060833562	0.120548276996316	0.36335594348948	0.0702107218281903	0.869063657251066	0.663910007301168	0.35467616770532	-0.1966714191894	-0.0548488034267001	0.406232138467281	-0.0880160021744013	-0.037196319681241	0.333982676710984	0.444802364004378	0.723764274576494	0.623158566372271	0.675870473068137	0.506744645638936	0.417165308429925	0.25778780302815	0.698048502051608	0.221389134384347	0.638256485308876	0.375359828027198	0.380395263652948	0.29051700195455	0.491628780539367	0.872798040868292	0.476149433141077	0.51085365614846	0.584935421476822	-0.00820025177111542	0.30424973638658	0.174608837993033
S1PR4	0.402245214483839	0.463949533734796	0.585959046918994	1	0.340961467500535	0.619246967021571	0.709034159778968	0.379154385294325	0.143300585073348	0.160248472065351	0.577289211795003	0.430438137737321	0.681344410592226	0.340081379622776	0.717837511811839	0.810382843438839	0.737114660880772	-0.320425128376391	0.738667472902107	0.0576991134333154	0.0130008958743633	0.379306870051537	0.641588611475879	0.673597538217774	0.67947081019505	0.385384532098666	0.783878888190401	0.55664304555757	0.707148952668852	0.56938095090937	0.235081065829104	0.427494225919107	0.698728315771811	0.422628590921672	-0.0580655676070782	0.449398201122277	0.307905771016951	0.426681146392614	0.533091097151136	0.602884513648236	0.434910832983921	-0.122162278540696	0.333623614615333	0.596813562477108	0.705924654773824	0.193413770348428	0.429802476462303	0.267736051516734	0.674217029221287	0.518557883545061	0.00834044763083237	-0.0293941536059713	0.0309249940096944	0.26044271662267	-0.0779402217306226	0.355821496225173	0.505947290190892	0.381232127174531	0.59899860590828	0.615950998517768	0.396355108599829	0.369293865768961	0.239264634033959	0.126015895387003	0.548880301033141	0.0640380406863557	0.528577462901988	0.209751456158315	0.16705277587391	0.270602262796918	0.34416544441255	0.649974987717682	0.352224735740524	0.262896391972371	0.387260363212757	-0.149343097329348	0.134754412607993	-0.0334620102754168
CD69	0.568775435778393	0.50714122375962	0.682427028531975	0.340961467500535	1	0.0971325085883944	0.258953468419477	0.419804191589639	0.076598769688289	-0.238034747767941	0.761028067263714	0.909504301126983	0.55937840233096	0.916454548461272	0.334085467407075	0.472161106089518	0.447823221146892	-0.315821168132395	0.632693808460117	0.164445268457545	0.0734509810148579	0.154228709212188	0.625606880284127	0.118991435780337	0.123248331939431	0.529315099216958	0.394523179162138	0.62155793102591	0.331904480834935	-0.0133994471668719	0.105738835061524	0.822801640885933	0.70294555819101	0.469953913729045	0.295173858315408	0.762800665481532	0.183871954567215	0.248201175491914	0.271737035271965	0.596111318317948	0.101234447898403	0.0539181235283784	0.431250760735699	0.656716693407758	0.475703149218839	0.387099238366177	0.436198518648353	0.138879992164725	0.671969601972953	0.609990810930233	0.633132433483467	-0.237904674676498	0.374951319021338	0.342949935024071	-0.230044108965432	-0.0323275216521224	0.239906861106905	0.317853775263498	0.443760165728451	0.580649393323082	0.540772752255985	0.273619637188165	0.771213730439856	0.292633354732265	0.583471444785107	0.171947763404252	0.44688512538183	0.303520288469789	0.356260024631292	0.309421734964865	0.288436621295537	0.698995094443688	0.399882724615982	0.303004200329062	0.517927616072353	-0.037669802645888	0.152316718649236	0.142398035609552
LAG3	0.203254324870513	0.211066247364772	0.1251414818054	0.619246967021571	0.0971325085883944	1	0.524935031279695	0.412318708143848	0.462432330608223	0.349167253176258	0.308074119563854	0.17403345376471	0.208177358358082	0.248747107297259	0.534599832003192	0.653979863285368	0.534378335989661	-0.214579557237463	0.434726166758954	0.201082924988915	0.0256601733376656	0.32561948237006	0.199722279451664	0.638429876708854	0.417645531539843	0.436809633329663	0.846216808512863	0.368633121729444	0.43980021352603	0.798894035735021	0.357362859507512	0.166299299877023	0.257883330141476	-0.0761274227238746	0.167924023266626	0.31930422301179	-0.088253355504572	0.577687760266728	0.772155553569482	0.436158864018195	0.423715934189119	-0.196796016200224	0.36026415406719	0.173938280166229	0.534348469910951	0.280984009831795	0.212283490061022	0.430832030583847	0.223760210846381	-0.00178553343543524	-0.130661641358772	0.0192415286775797	0.310057085462725	0.220844372041262	-0.0996794359107274	0.607237968497011	0.442725253723489	0.378771285207552	-0.000109786014312334	0.307217656782362	-0.0193578981309421	0.173237381505617	0.232471555490107	-0.0628473276695986	0.210482320015829	-0.0124899205753007	0.33068984392222	0.193023979881959	0.128169997338843	0.0691312673917337	0.0988189484620466	0.166587894338406	0.17361640872587	0.14959878414478	0.0848332446844393	-0.176561434525141	0.0122573897725483	-0.0106852481195407
CD2	0.61556105814824	0.772676627227131	0.349679695347802	0.709034159778968	0.258953468419477	0.524935031279695	1	0.443403902780501	0.476198272315421	0.505249084831722	0.643465410463056	0.250787391437919	0.573463888234975	0.353184490449634	0.555488224835244	0.830879815429643	0.920178937343261	-0.10335411473814	0.725556179191905	0.307135509052782	0.221590872606624	0.648314685960979	0.498159811495058	0.729099997244747	0.537410176125905	0.542877993781515	0.668114109765969	0.585255172597562	0.830261671764747	0.593617830583117	0.612335890001046	0.394661849812584	0.474426587825097	0.362531112020315	0.145450819029571	0.434843451348124	0.244567670551513	0.406145046810895	0.595794547601736	0.647823890052615	0.310086341873115	-0.124546608620834	0.424404246281753	0.298604541763888	0.587308981780695	0.478361579567842	0.603631453153963	0.560670561978066	0.375147380853903	0.377628310650354	-0.0427783906969624	0.0224199907808631	0.392197280681864	0.180563342392103	0.057981278895518	0.510412384410762	0.324465532031647	0.260547313271537	0.335039820078745	0.543253690800225	0.170741595192047	0.17474292237091	0.324677628018367	0.114013998841419	0.461503247583874	-0.044009955911952	0.310902915627723	0.132173307308611	0.054442617838032	0.400918157436117	0.182897001526005	0.340697026989107	0.205549261337552	0.0967481024004208	0.259602492792627	-0.190125094512476	0.0683352075282712	-0.161093643879121
CD8B	0.369299721508965	0.255643462161315	0.367537393772208	0.379154385294325	0.419804191589639	0.412318708143848	0.443403902780501	1	0.731131987395369	0.312243903124049	0.374854448249249	0.334291230292484	0.197011976650047	0.478107469415433	0.370425149060874	0.609389201039049	0.533284327045487	-0.126374581804237	0.545378059711058	0.245488257937899	0.370779446568701	0.328813288713701	0.128960773982445	0.388836134028503	0.393070223582696	0.277143485055597	0.51253142167105	0.373187173081544	0.366085470677497	0.401726432419196	0.255904346882153	0.287590430020818	0.311676039418851	-0.152543660400992	0.0998070078600087	0.49838088209812	-0.126192907242446	0.320700421220081	0.367861002224717	0.473036530846919	0.0312562746100343	-0.326897096682981	0.0308901596179769	0.277746328375218	0.442544572118731	0.279539348464805	0.201573463383294	0.348372644097487	0.370030574387582	-0.0192903426223429	-0.0787629706685349	-0.302795463939335	0.517741390266791	0.251829437984845	0.0474343972482765	0.498736482435623	0.0341315856093506	0.103541140334683	0.0185979396329229	0.294676217163361	0.0851227565867679	0.0199867267404846	0.324405431475936	-0.0509772084178319	0.273957406900756	-0.261136521636872	0.196316303802246	0.172676095398723	0.0829641527223507	-0.0442440613604693	-0.0568114926219129	0.345779549898083	0.0281054166890167	-0.00798815849969361	0.0298768169530133	-0.300533457588249	-0.0747475225143255	-0.177810144797319
CD8A	0.208051421503447	0.249894290801364	-0.00544861436703308	0.143300585073348	0.076598769688289	0.462432330608223	0.476198272315421	0.731131987395369	1	0.485120311872273	0.192996020448188	0.00883554237694477	-0.0944043435609169	0.25969253627768	0.206757461976646	0.465739810987323	0.465033670097833	0.0767564213253988	0.316389413861296	0.334774756094275	0.439659663977483	0.437987426436304	-0.154711191754347	0.400170268348874	0.276177172516189	0.337981749794062	0.428805120418089	0.183094174974207	0.315426226333252	0.471137056467028	0.367541335782397	0.0616577837201155	-0.0227043679820425	-0.35797049210571	0.230727855763003	0.299929206459481	-0.35627272479838	0.313190245002709	0.466925095760092	0.330475059825203	0.0618271714020356	-0.389090037081794	0.0794790836626099	-0.126441722967772	0.287521754172968	0.307169204162932	0.201865108103768	0.467825091885249	-0.0172352855060293	-0.295627681924958	-0.255682894052053	-0.283453649040576	0.627638513316567	0.135730670425857	0.00290549792916947	0.597547424655667	-0.0872138097974863	0.000367635995675849	-0.32765843235562	0.0492255347383293	-0.287073228517686	-0.165457693676849	0.171326554393679	-0.196305762510122	-0.00922531143372521	-0.394496710826099	-0.0120909468089563	0.073497447238619	-0.0444346472606216	-0.0585433085429644	-0.233534445133547	-0.064963158183546	-0.140589833948698	-0.157029376988683	-0.298374525954359	-0.343486887322238	-0.186567324598014	-0.259277798395386
CCR5	0.203573688586269	0.34470956538302	-0.184772691281856	0.160248472065351	-0.238034747767941	0.349167253176258	0.505249084831722	0.312243903124049	0.485120311872273	1	0.0942202591479385	-0.305142889291111	-0.0633372004537434	-0.090888909797167	0.192508392085888	0.304254187702	0.389442491521738	0.230378024230742	0.172406816409965	0.458535481903858	0.249074516642655	0.503112429688652	-0.107510164514378	0.527245171810618	0.288385341224979	0.223870237304718	0.313552858340749	0.148484393616559	0.402191773424548	0.424911950219533	0.534233043922195	-0.140287455553161	-0.20697641607678	-0.167372955803992	0.175632577316624	-0.0046747666259378	-0.0108422084886938	0.234211641329019	0.373747704403693	0.15801111075426	0.0964636435252261	-0.0959356866553706	0.0472483177102104	-0.322554620636956	0.0736626027005259	0.40641134112913	0.0690569500757196	0.465481366644218	-0.250424875562596	-0.265972682475723	-0.398548859190694	0.215186300656364	0.282936397213912	-0.000270068593660345	0.408390124829761	0.658858819657647	0.0208134533103883	0.00112796694996993	-0.260037789063605	-0.0303663510678874	-0.253534439362864	-0.0441352621621556	-0.0622911604594854	-0.0165381699908851	-0.0455428701325165	-0.144066392022275	-0.141390269785893	-0.0314845723301314	-0.0959732188546103	0.0665804127710804	-0.168000918582738	-0.304576143026769	-0.0730105630139985	-0.165211395893972	-0.182145113483843	-0.164608485438834	-0.102139065602436	-0.193504345852123
