""	CD3D	KLRD1	CD3G	CD247	CD2	CD8A	CD44	KLRK1	CD8B	KLRB1	ITGA4	KLRC1	CXCR4	ITGAL	F2R	ADGRE5	TFRC	ITGB2	CD226	PTPRC	S1PR4	ADRB2	CD69	PILRB	TNFRSF14	PTGER4	ICOS	PTGDR	ITGB1	TRADD	GPR171	PTGER2	TNFRSF1B	LPP	SMAP1	PTPRA	CD81	APLP2	CANX	SORL1	RPSA	VSIR	CD74	NCL	C1QBP	PTPRZ1
CD3D	1	0.951001278627679	0.986928044679404	0.990057731611652	0.990756374799765	0.888301651693157	0.946354638431261	0.975624597209922	0.978941468259071	0.99171244722013	0.965995720211517	0.953528839734309	0.986282066016287	0.941571494467989	0.498552929807363	0.960429546056812	0.461672606500138	0.826353392057272	0.871225908495866	0.986614314196443	0.976914382304541	0.824095038722276	0.966275539942148	0.441772760890759	0.938197612276127	0.978875310467933	0.825750682117949	0.982197709833253	0.877210824816503	0.980621399373899	0.866151908931497	0.957537132834043	0.888477794393806	0.751435184472135	0.74587762353181	0.409829176813801	0.319285553528352	0.328942109760163	0.619431820880613	0.524334697673211	0.962312174963776	0.39074713778372	0.247271070608122	0.910260351304991	0.803821322718654	-0.468673340675586
KLRD1	0.951001278627679	1	0.942349026026461	0.97623367951	0.944653658249146	0.849042570063202	0.867656951537094	0.961699918259582	0.945235197350008	0.925320539179076	0.946643765400628	0.965135323734439	0.932836325221903	0.897698843795667	0.516527301009192	0.935890624098854	0.530350783076835	0.822482610479637	0.933898217113085	0.951091524212835	0.883495033713259	0.838930849019532	0.883665543571935	0.476011795257168	0.891721946116467	0.891463187293928	0.814485168882936	0.973214786792542	0.853630693048484	0.908262456508564	0.844597097278166	0.949111680455738	0.854113496762025	0.766075163626294	0.808258394817753	0.443496998958983	0.383482380234084	0.431838648147503	0.713457405257038	0.533063927381325	0.939234230655534	0.396845232546972	0.249288450175058	0.922090395704608	0.820700744661468	-0.367858983007645
CD3G	0.986928044679404	0.942349026026461	1	0.973495757605189	0.996894146664812	0.833929247031907	0.919905668793157	0.969508679433735	0.996451542093893	0.973153688057282	0.988097281546167	0.935248536501337	0.974341284594905	0.963566731617421	0.378348047304522	0.920494116579295	0.387522720422064	0.758222430824215	0.887237303869274	0.994409888829976	0.971402392843355	0.768525305482242	0.965862176959387	0.410412567054151	0.893589622939246	0.97957270609379	0.8694842605642	0.98806089683761	0.863012429001932	0.955599915758628	0.793809335609458	0.971778872216865	0.925615154377851	0.732274647465978	0.69390121211533	0.378824040998611	0.24542278640813	0.340977044836741	0.607621110406363	0.48105971126851	0.926692304446496	0.271794338000409	0.163836112626449	0.924207590876445	0.833165507199668	-0.435200645114874
CD247	0.990057731611652	0.97623367951	0.973495757605189	1	0.978034688824281	0.873804463043983	0.916858723674281	0.969872987510848	0.967063917080469	0.98060847455303	0.96214640083671	0.958997631981801	0.96973029639864	0.939221637096649	0.517901407092292	0.962106979264287	0.52232173668238	0.837956270703419	0.903198799019039	0.979540382688654	0.945691906259726	0.825868332816541	0.934546264725615	0.491025418203493	0.93028691747605	0.949357109455071	0.835975179570658	0.981599714705069	0.893466956220576	0.960804453794126	0.869679666510616	0.967343455919395	0.883006917670205	0.758834816071571	0.787942118951352	0.429832395006431	0.342609750037823	0.354224777025043	0.654932388237693	0.521477245410181	0.963888370158468	0.412464649702237	0.252931126494741	0.905239574864704	0.804072017754971	-0.44382474110617
CD2	0.990756374799765	0.944653658249146	0.996894146664812	0.978034688824281	1	0.848665574833895	0.933770169028886	0.975338118730383	0.995785941658011	0.978069188924125	0.988366668594945	0.939810000395439	0.978936462456945	0.952052003482016	0.416071545828255	0.933432684503256	0.411976006759693	0.769820792002538	0.893913763043667	0.994365837211317	0.970627523497086	0.784041960550455	0.968746699916369	0.411738751089193	0.910438058609502	0.97939132274109	0.859461318424228	0.98590762316791	0.861587699689118	0.96510508891476	0.808423754413981	0.971993817043183	0.921144341705798	0.751733272602553	0.694016132784269	0.376209124496454	0.25131931964405	0.32739113635804	0.604416590582882	0.491353297507066	0.929700593296969	0.299275512270452	0.180232051785512	0.919038626979999	0.821622546412685	-0.444606237532364
CD8A	0.888301651693157	0.849042570063202	0.833929247031907	0.873804463043983	0.848665574833895	1	0.960657109030009	0.922553570943363	0.828592699904292	0.881268228069288	0.784146071840913	0.932229069423217	0.919395050145542	0.715752086596234	0.784471581780915	0.945048318515381	0.491028140548764	0.83571061295657	0.662137874058222	0.827323652848381	0.892298665786307	0.956978818015665	0.90215007011378	0.376049666433198	0.936283307966237	0.880017130194528	0.484513664412572	0.869239966774344	0.707524292217351	0.910933625839253	0.966186658910102	0.740312301369554	0.602561063499892	0.701877213897455	0.694937489237037	0.490037327054837	0.46625702754625	0.245874571922996	0.56428652311821	0.560873118903266	0.902244516562579	0.537800619667522	0.350834110001012	0.819929819047361	0.643438144481909	-0.414252545510564
CD44	0.946354638431261	0.867656951537094	0.919905668793157	0.916858723674281	0.933770169028886	0.960657109030009	1	0.962949951785973	0.918001426054977	0.945376627020084	0.884657498080693	0.937593007495074	0.972619795385688	0.815496148441541	0.630593381528783	0.951089722258734	0.413118239992475	0.782523684015524	0.733886293197193	0.911868614008622	0.962785277618831	0.89340421801262	0.976803634552062	0.358892082467244	0.949851301397125	0.960199351518123	0.629889122737571	0.925590588898255	0.755360034792225	0.964634979108664	0.900925102220615	0.836518323585522	0.747388304576611	0.732610795089664	0.634661936535082	0.433235389902548	0.330089714641349	0.22685120121629	0.540178881114185	0.525144794000261	0.908382504749822	0.402999805634031	0.255291428539724	0.86347278529274	0.708817429141421	-0.448188527530561
KLRK1	0.975624597209922	0.961699918259582	0.969508679433735	0.969872987510848	0.975338118730383	0.922553570943363	0.962949951785973	1	0.974433193321478	0.958082340356968	0.956925305065688	0.981385680107807	0.984978736354563	0.887500549185351	0.546549711376172	0.958145027000741	0.445984986952807	0.79610981280172	0.861754578934907	0.966389043483451	0.956400596259743	0.885896973800761	0.970121895894872	0.402519406818757	0.936341149854555	0.961347177407955	0.756149765736946	0.987664987804962	0.815215876495205	0.963369740149326	0.87378323091908	0.924150390909446	0.839298686790435	0.766646905946313	0.718099629417548	0.444888364934035	0.337920968799545	0.343889471041453	0.642881709600176	0.530312121277544	0.939492908794886	0.353137229182759	0.217197062385329	0.935427886206065	0.808113997208144	-0.398713168709337
CD8B	0.978941468259071	0.945235197350008	0.996451542093893	0.967063917080469	0.995785941658011	0.828592699904292	0.918001426054977	0.974433193321478	1	0.961034387645698	0.991701581650441	0.936756716695099	0.96983541757213	0.949021480917837	0.369458593807603	0.911361477938261	0.37551418243968	0.737743420501405	0.897577836153379	0.99184020348329	0.960521677773557	0.772405069545302	0.963629324492884	0.391011401967287	0.88924067790035	0.970637184179168	0.868591285015955	0.988152307336293	0.84302666373151	0.950516973837883	0.77665840654554	0.970231667088848	0.927138762563155	0.739922284433583	0.675069702791972	0.372772700118869	0.229082833229571	0.33930721740208	0.607987341650049	0.471863784682896	0.912020494520222	0.243367458041424	0.141243260147972	0.927206295229268	0.835684025125987	-0.417410949392141
KLRB1	0.99171244722013	0.925320539179076	0.973153688057282	0.98060847455303	0.978069188924125	0.881268228069288	0.945376627020084	0.958082340356968	0.961034387645698	1	0.946416354769442	0.939516284048862	0.983168913799547	0.929873913118673	0.498572427777172	0.951547758160259	0.446113038702091	0.817771383932114	0.832433480180242	0.97335121025921	0.977741910174498	0.811489986863741	0.966702326991773	0.429360699583457	0.931000945215846	0.977627458749693	0.812080975913075	0.964506403231	0.866333730816164	0.980154930133747	0.867034048644753	0.94476927231827	0.87703052848236	0.723654649241753	0.732448785533109	0.396633808291794	0.305870615592896	0.293282940380101	0.584736298403074	0.507399614351388	0.95786243957725	0.392483585776102	0.253215206528868	0.882008945015502	0.785347420870859	-0.483744391619724
