""	C3AR1	CD4	ITGAX	ITGB2	CD68	CCR1	PLXDC2	TMIGD3	HLA.DPB1	TREM2	ITGAM	CD33	TLR4	HAVCR2	LAIR1	TLR1	IFNLR1	PTGER4	TLR6	PTPRC	ITGB1	TNFRSF1B	LRP1	MRC2	IL6R	SORL1	AXL	VSIR	LILRA1	LILRB2	LILRB1	CD93	CD226	TLR2	C5AR2	CD81	PILRA	GPNMB	C5AR1	P2RY12	ADRB2	LILRA4	FPR1	TNFRSF1A	CD74	MERTK	SORT1	ENG	CD46	ADORA3	NRP1	CD180	CD44	ADCY7	ABCA1	TSPAN14	IL18BP	RXRA	SIGIRR	TLR7	UNC5B	SLC1A5	CD69	RHBDF2	RIPK1	LPP	TFRC	CD47	SCARB1	C1QBP	ALOX5	PROCR	STAB1	RYR1	SMAD3	PLAUR	ITGAL	CD40	ADGRE2	TNFRSF10B	ITGB5	CXCR4	ITGA6	CD300LF	SIRPA	CD163	APLP2	SEMA4C	TNFRSF10D	CADM1	CANX	FAS	NOTCH2	KCNQ3	TREM1	LTBR	TRPM2	ITGAV	P2RY6	TSPAN15	MILR1	PLXNB2	IGF2R	NOTCH1	PLD2	STX4	SPN	ADGRE5	OPRL1	FPR3	FZD2	PDE1B	ITGA5	FZD1	FLT1	KCNQ1	PLD1	CD9	PECAM1	TRADD	JMJD6	STX3	CCRL2	TNFRSF12A	TNFRSF14	ATP5F1B	NCSTN	RYK	MCFD2	RACK1	SDC3	PILRB	LAMP1	CD63	SMAP1	CD82	AMFR	EDNRB	EGFR	ERAP1	PTPRA	LRP10	CLEC2D	RPSA	SLC16A1	NCL	PTPRZ1
C3AR1	1	0.928198927979384	0.89572714321798	0.920024239418743	0.674664264052528	0.814567777469657	0.930853815430033	0.910429338485161	0.893969385195241	0.885897964380399	0.835251006971514	0.855062300250319	0.704935470661917	0.863764460917525	0.921130506116133	0.86201030904956	0.730274255820308	0.812549417292728	0.728705877500983	0.919532529401628	0.755182979203576	0.75300403297776	0.711046215484145	0.853691732469016	0.86498198947076	0.891883119997331	0.944479075962995	0.843929985046093	0.618209307742333	0.411283065170757	0.89891627222887	-0.0522392902192709	0.813860850764199	0.799362089651754	0.792104029496368	0.921874986212259	0.92014256983469	0.399272955173395	0.709304717262612	0.767745809635881	0.888590781813539	0.890730941548018	0.879536268648567	0.851072801948557	0.959809128951435	0.713203009524853	0.891466984421668	0.815705645058192	0.539496617788665	0.933444044680125	0.711447864903446	0.682693571511212	0.0702501010239491	0.875608335294367	0.536671283014827	0.877419439546641	0.850780815364009	0.668726859087367	0.562729612320573	0.893679976389432	0.813202601541069	0.849667908835642	0.900460896787351	0.896812691298954	0.75646073775833	0.68743245674004	0.716495469562149	0.703841626573399	0.651553952254615	0.704214180074717	0.812794429685271	0.662198641950593	0.877408373896379	0.775425110013052	0.586839959501928	0.582419328395978	0.88040936526306	0.85066847352031	0.688824659628318	0.851916136557947	0.752352274013603	0.616541707309359	0.612035195664433	0.68254357535683	0.816794007308707	0.23683000195788	0.67116687685218	0.707789686578362	0.712516403268539	0.515710080981296	0.635625909262741	0.73873722507145	0.383093906451622	0.797972666463099	0.658026571467391	0.768710197912504	0.919358026886436	0.556644836313392	0.859950056760833	0.760867692258614	0.878912386965365	0.728050764564979	0.566244267285779	0.408839758747748	0.550891525586948	0.812114504639266	0.795202423343906	0.765845768372389	0.82151375008907	0.404747881106429	0.594901017785713	0.704815214190933	0.532413524204686	0.757040365904492	0.208548349428502	0.803027439659533	0.744490746333537	0.587755068143551	0.729320571142612	0.779199187558904	0.887925142861817	0.445681465243838	0.667778754403476	0.441528176834149	0.622156980513354	0.717434088557805	0.588939285822759	0.425792476236578	0.582142707472929	0.868293568277606	-0.0254551631038886	0.188808016240354	0.752210272438077	0.644891707185764	0.694518922534323	0.0509394603236375	0.466124106411571	0.0407793662400475	-0.19923123185484	0.635905960893524	0.42175142450131	0.852739182647279	0.596015562558642	0.830995216768528	0.184346083458759	0.766475370315584	-0.165985161923599
CD4	0.928198927979384	1	0.919851805763526	0.913338789968246	0.628925601823875	0.797511333152745	0.941433578715609	0.88424358923701	0.78878821874624	0.859911861611683	0.868366167213808	0.799221759590754	0.781362141066016	0.861989721741558	0.842351455768728	0.823371202942422	0.723646650222077	0.850831662850742	0.654529102546125	0.89928275227592	0.788273177359391	0.786502969753966	0.781625618431761	0.881164450177307	0.896787210535292	0.875186213464881	0.919778314368655	0.71793862879113	0.573980527740468	0.484458663468552	0.960282920443871	0.0270999092363296	0.895027204318357	0.801603661171442	0.877418007544557	0.88707718599184	0.806912686184036	0.386343202567086	0.757677843192063	0.669188868512761	0.854923292560497	0.790639393139331	0.890942068687958	0.881647220142923	0.917283778239686	0.754574885545058	0.940202034755507	0.829605909564105	0.534419632294191	0.877334512353061	0.741109391220149	0.680409356457052	0.0923148156724229	0.937718583450852	0.565259304985765	0.929189711783968	0.765970250922308	0.755998390310091	0.50987788724818	0.90068535558223	0.860390315134663	0.783714019911128	0.959259589868101	0.936363029988228	0.820582630895484	0.744719319243184	0.800838248136236	0.744355225254654	0.704877264726978	0.7167998141335	0.762355780963534	0.643803016581858	0.864085219774036	0.899338514798255	0.744679900998211	0.575870694184841	0.917070503664363	0.741427429644416	0.771705248600856	0.845564589541815	0.762375239532118	0.68304880490821	0.663731277729441	0.622606738436271	0.847488675490846	0.228945650788954	0.715664092377632	0.778864867000766	0.784757077038303	0.551547355290637	0.696049239875162	0.761115050385672	0.448187970569688	0.889225175753392	0.662150902850314	0.728755132812359	0.906048842158884	0.65598980905874	0.820129084402084	0.595602110378352	0.833716342777245	0.699046143117503	0.615893630041375	0.577280033174298	0.515564258568843	0.889879951008901	0.840126944503253	0.819144822670807	0.84501816107844	0.420420792777615	0.552714126591549	0.80644861808053	0.558695919104903	0.684488136887426	0.275489464945953	0.86162078072625	0.753596256890268	0.630519716568672	0.838459039392877	0.732121557716264	0.875493091795752	0.485257675408418	0.608826871067598	0.433598744884826	0.59909522432668	0.752435040472364	0.595094957026066	0.443579990990465	0.62717876152188	0.835951791296377	0.102744761996673	0.288827543669688	0.726669631351729	0.62849293469919	0.745387730014893	0.173574106185855	0.547476743531351	0.148240901754082	-0.0890083200594263	0.655639249135581	0.555829316521993	0.875935454432844	0.685650772037257	0.804207115715052	0.316103962104722	0.832547483038167	-0.033205902438626
ITGAX	0.89572714321798	0.919851805763526	1	0.927115056670732	0.786819829082167	0.906009944475965	0.958832056338229	0.884544771117875	0.708193761650863	0.907669028634234	0.899752419384933	0.796722503900972	0.866947369924223	0.93920884530267	0.896395547332656	0.849576995191781	0.859834112791417	0.92168265791589	0.633515636478523	0.929550953850138	0.885057939242313	0.82794250084096	0.874093841101423	0.921728916387489	0.937565303962563	0.833003438705531	0.932730010877365	0.602728816266551	0.498107184398163	0.461817340011131	0.930014074681506	-0.076512407876434	0.900833302466945	0.801439787188157	0.83424463062072	0.923856288632344	0.837112226458865	0.608722092878737	0.800693629249445	0.576114316680814	0.753703525105243	0.829056807777338	0.908805849515749	0.909578747569966	0.841163247002228	0.893598989617862	0.928572379256999	0.89226895624632	0.666707513541657	0.873639629282226	0.858661391378021	0.830525406314127	0.254723191966549	0.933644306267605	0.740617805677181	0.916901059553165	0.826585983508742	0.732023674596258	0.541791245329157	0.921415526029188	0.866768021436919	0.873091744843564	0.903738462279727	0.884241615154461	0.851394117824775	0.780784904887481	0.8283855666053	0.797073146798812	0.812187185475378	0.75984973113703	0.830207813066462	0.740225756502062	0.896640968023093	0.797096517994541	0.762438668104194	0.719407880653526	0.921488068765011	0.755787034396339	0.83314702347393	0.807934361566378	0.835842884386087	0.651300469696402	0.792519048209767	0.732707995508098	0.936788925092328	0.350119920195531	0.846157855683781	0.700466165407623	0.847884343342478	0.730389846325332	0.812166466634664	0.883353289028641	0.59920440942237	0.898883021494865	0.758925333330243	0.828692194825381	0.861891255360965	0.711300219905584	0.778203220792658	0.669823170047926	0.798327810894578	0.790148502282016	0.724544480596105	0.633227847532172	0.646222395436703	0.881919555300445	0.863691067650971	0.842688550256037	0.795891798562579	0.624973096044268	0.37971913192861	0.692392195865152	0.738046788917473	0.695131865902481	0.482412418958599	0.769060042835771	0.881495835964179	0.775382386083677	0.857604256855613	0.79091818400349	0.89622178210082	0.689465979515551	0.742271318126359	0.620964917797784	0.74259209020173	0.779057593879749	0.707917656818384	0.519198971079433	0.768019020210883	0.850828285877986	0.152528437491941	0.283554548104552	0.846447497296575	0.773203190632471	0.796041478391416	0.224684646094309	0.570109450050875	0.205238176591501	-0.0622053097174708	0.772235988790878	0.616914658287436	0.899139801920383	0.711321984037503	0.83175675369112	0.295879478511171	0.859027146746508	0.000754210673364619
ITGB2	0.920024239418743	0.913338789968246	0.927115056670732	1	0.852198510301169	0.91737949643355	0.932172353575355	0.911035459876362	0.715283455573151	0.965940304074742	0.955743251193592	0.815415012685088	0.778059002497685	0.963070250916125	0.922240597671426	0.878575991673935	0.874405345081537	0.921722666557744	0.533324539928499	0.914073807218214	0.901724966800906	0.776009746961951	0.789684554054439	0.941075962327068	0.937752540626428	0.75336204502678	0.958649251974578	0.621758527888191	0.547160737530514	0.541336279206509	0.908194186678009	-0.126889811074921	0.846388774742455	0.729333735678225	0.724819838308922	0.964863273813256	0.883047284317973	0.652919804047354	0.814960962048638	0.530191831234592	0.702553223118814	0.837664436602932	0.978886722886789	0.916425941610783	0.831313545651636	0.82949979165065	0.898303362927872	0.94936653907996	0.491980673025562	0.862934578349361	0.833473780118688	0.868784124869867	0.340044562776942	0.891018640795367	0.708823636254139	0.894383650124497	0.783386402170882	0.774546398489695	0.589526148059048	0.841062936095326	0.895105483340101	0.849407392831226	0.873616034453297	0.875402814233078	0.75875224097073	0.647151807148893	0.890623485774503	0.78517897783484	0.741250164725682	0.810518315406241	0.885866203017903	0.814776228475282	0.931647929300287	0.738779808029645	0.620020874351841	0.807927755512675	0.933706158640538	0.835594276306628	0.876035864389044	0.73985928628902	0.896363799021792	0.564550063816472	0.706010166225918	0.755748582506256	0.922520333620775	0.399003450904957	0.826673194628912	0.581185591570721	0.822360098494131	0.662241919527139	0.779244435937778	0.870168560704267	0.539275138008467	0.793319743384427	0.859932166878783	0.839006196425233	0.838890556867008	0.655337190701947	0.846447868337625	0.721028850026193	0.773613724737381	0.848731567704733	0.692825899888424	0.590199084633177	0.753417064809209	0.845673231743628	0.921745142097343	0.814735267822001	0.707506305010904	0.599613011703652	0.401974903020151	0.62651898723937	0.709128809849431	0.718396577890705	0.507893517145548	0.762525579069471	0.886376238041674	0.81536552555112	0.782340606156267	0.811858150343318	0.87714823752818	0.650240613452397	0.830717659970931	0.676741072674711	0.806496760217702	0.761895393924629	0.671167533417164	0.504076677876282	0.708535129363421	0.894436014198335	0.0434390617627669	0.108517374705609	0.857040848385234	0.843735526016128	0.757339035787006	0.102180698671222	0.432022578041138	0.107157264739931	-0.16653749291185	0.744326267717168	0.503381605825802	0.9014751353031	0.529726523727991	0.922685014531794	0.25349229248992	0.820517382981361	-0.128191084700185
CD68	0.674664264052528	0.628925601823875	0.786819829082167	0.852198510301169	1	0.905620387632473	0.736674949805212	0.792671163725996	0.468640391885869	0.902050936450972	0.868043798794851	0.654723570537747	0.704604387750731	0.907146888498282	0.827598711377225	0.727956912783352	0.864398551314279	0.802161656282616	0.263650863093354	0.742579068430336	0.910404552447012	0.699059211163906	0.720417544772051	0.800071797363881	0.767117509806959	0.43381865069566	0.808491578431681	0.331016242068755	0.34021194759443	0.53048339374811	0.635568021544181	-0.228594637567075	0.63360585760598	0.498200102408601	0.424794906708848	0.866412875143016	0.76484174177521	0.921306285530685	0.765511915208056	0.209560032759956	0.337511431774483	0.741026504793059	0.876691537294998	0.801323456712387	0.531692900044884	0.804456464282829	0.65766676931661	0.877666069606648	0.435587193156918	0.664767654908966	0.81615646342562	0.969806607815382	0.636694326921231	0.655829256306214	0.817107856146053	0.691670013523975	0.635670127393098	0.640746706935576	0.60818150304145	0.609522194206581	0.694859279100328	0.765458140268335	0.595234144692434	0.604114938711566	0.582770303795209	0.448816279311617	0.782660834446629	0.707541622794746	0.689352654104245	0.793598420246643	0.828803767535613	0.850380801949122	0.834030344956716	0.377264380651494	0.383977308543894	0.932755742863796	0.747007168708353	0.719712689310535	0.799623404421326	0.445026173669293	0.824118336358491	0.414044621103597	0.718062607898626	0.820120010333202	0.878833517201063	0.602834283019925	0.864101086522769	0.258011856709749	0.714108412681975	0.750991796027305	0.783106055607246	0.844380189612013	0.612207680090752	0.530126856772439	0.890427391274041	0.836838063970014	0.558282590071888	0.5640021530812	0.673666516234514	0.655318290910663	0.52761764462261	0.817386633815606	0.745449124068832	0.522960075936494	0.845576341633873	0.615715228561773	0.827772077575582	0.685468173833618	0.447062985318804	0.798475842954125	0.0568308552093173	0.283152949221527	0.823877824872706	0.503001142107539	0.748531364066422	0.497284227721037	0.870530814990855	0.904097566515687	0.617454559795394	0.781773738464748	0.699181614007522	0.768982730954214	0.957247280594098	0.866434625006371	0.897196800896123	0.665456286637755	0.664139070902038	0.482060049717553	0.749089071161506	0.823577239024672	0.0283801962121961	-0.0881302959314312	0.933190225115831	0.97676042478988	0.682093160201708	0.0758528683158157	0.265359831989149	0.0952324449087734	-0.169433431847684	0.731732826121596	0.405766159999961	0.748528682441285	0.34322487918399	0.894945162409814	0.172677061829905	0.667429860089672	-0.150536950018815
CCR1	0.814567777469657	0.797511333152745	0.906009944475965	0.91737949643355	0.905620387632473	1	0.84635275352091	0.811456826987275	0.578934217170961	0.900169935426907	0.903711829165809	0.714326958794008	0.785842404239804	0.935842230411817	0.894090146871033	0.764736060448012	0.907267695071109	0.895245675820543	0.429514149346384	0.848034719607458	0.891860098122873	0.777190303389122	0.836089964674216	0.849499785268881	0.881874752060871	0.631658003862999	0.882455731509803	0.483043944012215	0.428759486765755	0.517216811326472	0.809890899216821	-0.120621662524218	0.761117912506566	0.648660487824581	0.646247209254918	0.900960369739729	0.807268808415869	0.780866632248536	0.847369357884295	0.378121615105334	0.562250940581595	0.776235212235382	0.916007082702402	0.863375646708423	0.692365099733507	0.86408386731483	0.812121980617216	0.94164775389953	0.531005976585286	0.749179013663243	0.876288588432873	0.894544051885695	0.49159491777923	0.807791797636031	0.816466544723365	0.780529343664456	0.812562368013893	0.705688558319623	0.580064160221208	0.77400933196336	0.830536552654155	0.79698090261305	0.772368529485538	0.769584088534915	0.74408223353407	0.612473189742738	0.860420998472573	0.792104360578663	0.766034981142078	0.804193850685475	0.842702951908665	0.809778998479397	0.904263600422752	0.62564827442634	0.585713014428431	0.890227949221935	0.868770817937759	0.765424288152684	0.874078115259531	0.710593080009638	0.871404105472023	0.551788028054516	0.749607862281433	0.763806080542191	0.939590779991873	0.511372846892806	0.883723038501342	0.473681198875848	0.790321454761212	0.747621671704968	0.820621297215003	0.88376349275724	0.667235712943868	0.70237975942594	0.901520838733769	0.822217958563414	0.728508407579155	0.65133142021069	0.757982812710089	0.663799441084499	0.647909400235465	0.869708306043295	0.727306988251765	0.602403469070635	0.808146447327178	0.776663998204622	0.871881442830996	0.801470492925486	0.643826921766723	0.737828965368654	0.206235416275819	0.48108445950626	0.81009012447359	0.693962133371999	0.673929559745084	0.647023365853171	0.920537161069832	0.856588257574188	0.715485107821223	0.815104515873678	0.852403400683417	0.723610408123662	0.88704169958233	0.809669219554942	0.847024576732187	0.743567162425996	0.677412908159975	0.541186010348558	0.792741241738073	0.848758709094545	0.10640921080635	0.14824797105547	0.902577182091344	0.885439120286683	0.802592982567281	0.178331411418591	0.484843983892816	0.174842513511309	-0.0941054558787336	0.820607828880332	0.526163229082127	0.844612415287947	0.488263605474625	0.865628090366671	0.27114796184189	0.819839812807098	-0.0513902553391992
PLXDC2	0.930853815430033	0.941433578715609	0.958832056338229	0.932172353575355	0.736674949805212	0.84635275352091	1	0.926739336747931	0.788188575056017	0.914188896956867	0.90497963481241	0.887198376354214	0.839483542229087	0.925069734180147	0.905382066676449	0.914667315451414	0.811879308467073	0.89009564534175	0.735526938488989	0.947286972350094	0.867699473323622	0.779750451949635	0.821624054083818	0.918197753353816	0.935716605404857	0.900251452303592	0.954779854256924	0.687229825682259	0.5730619575058	0.434068231426523	0.952966181461592	-0.0881233134264101	0.941183634405944	0.862959158271577	0.843816402330889	0.931910409658836	0.886342645022611	0.516652056953747	0.722675612152738	0.68726311718346	0.823184159322682	0.816032077988966	0.922110221681986	0.907229801734659	0.904673600618365	0.868177612932845	0.938913456041887	0.855921854962155	0.637670619965468	0.918862512685717	0.805257969696572	0.78570794091045	0.150774241393026	0.922747184096571	0.665880621464952	0.941348943116331	0.780458558890855	0.72045384169751	0.586465123859876	0.922247217469827	0.822675242972487	0.883942964863293	0.909252110911899	0.928388084142574	0.824515975027629	0.768383949226744	0.793540839057275	0.765520996331388	0.769058868469389	0.759397015915741	0.849713303765706	0.736733089026585	0.883475664661551	0.816581767675812	0.721962701649981	0.639780276619624	0.904028966471358	0.800218639260171	0.775466752983029	0.790198783003992	0.82862504209549	0.572323513878296	0.748094837619474	0.686792808684831	0.896646645960388	0.29238776838284	0.782140896591227	0.743301158924991	0.830431434712041	0.636474694069521	0.753907130700215	0.818888642063272	0.476944927197336	0.904212305744157	0.682737762630508	0.83510889640596	0.921649059278927	0.680200926887691	0.840888933343452	0.707289779463971	0.853193446358026	0.753063965652024	0.685134556959179	0.560148996145062	0.585346938351935	0.863308376737208	0.855833142303227	0.794527388189114	0.812007876187593	0.560985465612718	0.521212483991071	0.763401968898872	0.647526606633729	0.64929176476161	0.354685344246078	0.809382138639056	0.833768749920102	0.701149977072907	0.857334170515864	0.757407191543089	0.866021055057014	0.613458769916494	0.678086273770116	0.51580972218753	0.657538035399112	0.75904755916613	0.670590207919677	0.468416074912091	0.695479396850474	0.858475341344289	0.0832218179803625	0.201129641774	0.815276325763864	0.726414394364258	0.736744371553442	0.15222901924069	0.524658938726053	0.140435454213219	-0.121319191507167	0.709946922600867	0.577892593445097	0.898694424044924	0.718922424763361	0.840987572116969	0.276004119451858	0.829776327704576	-0.0706295270270491
TMIGD3	0.910429338485161	0.88424358923701	0.884544771117875	0.911035459876362	0.792671163725996	0.811456826987275	0.926739336747931	1	0.82708865510243	0.9463705468594	0.87452663434089	0.835239241708645	0.72311443038396	0.919463414120508	0.897519123155715	0.838838239186093	0.751101505202789	0.819770695010618	0.620556316735901	0.87293885201395	0.8729545114097	0.752720297428943	0.744590197042688	0.885107547500248	0.82436223442821	0.793197905259742	0.955316470556576	0.685484865168018	0.544474049517464	0.404668737975182	0.832242566986191	-0.161588090648921	0.825447613108335	0.700302104874412	0.753694192081156	0.961536118443514	0.912414922403686	0.559591508824966	0.696262035592556	0.650534269618492	0.76380480507631	0.881606311750242	0.915033387250622	0.865729211040408	0.882280860572835	0.760837394703533	0.855172745425173	0.824956201285633	0.488131463170107	0.924247319225071	0.745612825483388	0.809876818093792	0.180083813444973	0.811276955308745	0.639991120346737	0.903631464475617	0.720392270541143	0.678467992194374	0.603406366390825	0.853138969841748	0.753481228205069	0.865452177547144	0.847054653616008	0.824147720796479	0.77076166115862	0.664903078974582	0.711144876525541	0.731994642612726	0.711718756929934	0.78388024523721	0.831999280799984	0.735210299082119	0.900118198656644	0.70738816878683	0.510192555077254	0.649579312780043	0.853260143924299	0.810948117618627	0.701406737979238	0.672241362435924	0.776465684084512	0.549039502280418	0.709268319843624	0.745556467706566	0.857826468017326	0.28018861021111	0.745654864798798	0.667846160543103	0.774191548634976	0.603363146615677	0.720117982162409	0.751629007696191	0.385662671950361	0.773008098154834	0.674723845717154	0.775863574406894	0.837727938451306	0.614389360874441	0.856275295651239	0.711104436993799	0.837473620180696	0.707080297245079	0.632082199747431	0.463914728420344	0.591666121017947	0.812409816569608	0.796454565995694	0.728730781407923	0.741001951090893	0.495352401876538	0.461644911770596	0.629511183597566	0.585912761617418	0.595052835911975	0.327611784402739	0.741912932920338	0.77138567133953	0.696874054151563	0.737490976038596	0.834869435119687	0.851288620603488	0.528566958251967	0.747133201303325	0.536982869375284	0.670426373111572	0.774963018658704	0.655153169176823	0.370581793008496	0.672205950357406	0.93044732122201	0.0186038879787657	0.0532042568675241	0.850341852696939	0.785613974356285	0.73033896236012	0.0784648094087049	0.3964693971492	0.0872979967286025	-0.193113378088655	0.635024005301892	0.470759693039541	0.845315364759009	0.55305575197117	0.919674926021785	0.198709663980571	0.762502454529904	-0.155401032129573
HLA-DPB1	0.893969385195241	0.78878821874624	0.708193761650863	0.715283455573151	0.468640391885869	0.578934217170961	0.788188575056017	0.82708865510243	1	0.727077719714765	0.642727204601718	0.789353090329645	0.555376655730926	0.669457218481117	0.810971893541744	0.755979309106405	0.438771677476861	0.541999940607699	0.794912744351011	0.801633876529228	0.53706429617824	0.643838549010311	0.485931218856022	0.677133093047818	0.641644770131057	0.866446574215635	0.820764139595488	0.943788067582416	0.635947844538189	0.296119177840257	0.711596071151154	-0.0380528617901031	0.654097244418877	0.745532129459639	0.672972446916439	0.785552506170786	0.860857335570857	0.1467858283018	0.482546358223684	0.869957056108933	0.86369741383478	0.866430932775569	0.688603291919005	0.708515153068755	0.950387626965147	0.491794212965527	0.712999309430047	0.560762909789611	0.484735925847632	0.878245126587792	0.459718502460551	0.451720888333813	-0.162329626836152	0.712702760238497	0.294718734190145	0.715978843889364	0.725377145155074	0.489766618174076	0.609185801330652	0.803187663016418	0.593756479431011	0.695393149616661	0.719962680030304	0.72655475463231	0.561622800829148	0.595554216947406	0.406751095217267	0.498630438723069	0.431000076335193	0.568938264783436	0.669705688703084	0.465135886090479	0.714649039397189	0.623023400518445	0.391691355070405	0.296388883867268	0.658717910607586	0.779928955959795	0.388712034295711	0.724025205732985	0.554067239046632	0.530803669479165	0.422741734299571	0.545485054153976	0.604420114348548	0.0502422850836903	0.424204267115717	0.627581682005965	0.481660777871344	0.28832829028369	0.383923373093466	0.501509036370762	0.118430869672654	0.642443402035819	0.36057229536822	0.643220403394456	0.817385453524486	0.351326694467408	0.726673734609391	0.718665257469598	0.857541835552858	0.508787673836836	0.392636207003574	0.128496930089134	0.324834397840113	0.614559079956202	0.554219108907271	0.571357659135766	0.751287263073856	0.182529209354158	0.725730774453126	0.618239603505284	0.316708756540664	0.601443653721366	-0.0839902987362838	0.709772294187602	0.483239955138295	0.316667993395836	0.553340038381978	0.678646120880506	0.718417727719766	0.223248730330791	0.460531039393278	0.175301270130382	0.406929873900345	0.598929734736472	0.458205879704188	0.294026280589302	0.377131846484542	0.790265572361549	-0.141216851090259	0.179859242413356	0.613013931740709	0.421961465211472	0.499969823684036	-0.0555417431598871	0.366368769846464	-0.059008459145978	-0.263593653676745	0.352213276675557	0.268461265509152	0.688844883446818	0.524189470068511	0.709888654803167	0.051427896365545	0.57723566082895	-0.242964025919305
TREM2	0.885897964380399	0.859911861611683	0.907669028634234	0.965940304074742	0.902050936450972	0.900169935426907	0.914188896956867	0.9463705468594	0.727077719714765	1	0.932567011755631	0.833344676864104	0.769898075629819	0.969719482904547	0.941382857117033	0.864901091176828	0.836301178717266	0.865603354586304	0.51435573900605	0.875618475860753	0.925605750971125	0.751391790754791	0.756046935290149	0.931151340842676	0.892113984134263	0.703848466104846	0.965804230940426	0.591727536595671	0.506999013006498	0.492158565087863	0.846415931992411	-0.234460659116035	0.804592209329944	0.704719448512292	0.669539558276008	0.979943690802471	0.901948019578461	0.699249766140525	0.75100727337422	0.513146662452687	0.642602292492038	0.871792223792094	0.968127128280893	0.911415603962055	0.809911835621058	0.833469876882631	0.854704061668676	0.90389150965596	0.493665223587866	0.862959266840534	0.798720107757215	0.920245875330305	0.336357463114903	0.837046108623695	0.699314968744804	0.867309734318146	0.719767646087977	0.719186070072745	0.624001244985819	0.807719051622986	0.817238510632813	0.847505269767251	0.814244336189525	0.81038102725022	0.698466467832697	0.603045777690698	0.825578058111592	0.77884491286871	0.731825367650299	0.842649376286151	0.889270242478871	0.811722544156589	0.915982647972152	0.637311733249311	0.518322347545019	0.788312293811256	0.878614506830813	0.838576377901282	0.82868026615762	0.640944554892786	0.86687673424472	0.503853388198357	0.710743077743365	0.758472557290497	0.921861038426126	0.3617924564058	0.81319461717042	0.549496136232916	0.76833287047137	0.687138986897769	0.764536666918767	0.874748899941045	0.48505362941401	0.73919496833476	0.817904524933176	0.878419109042418	0.794153732968747	0.625669340407252	0.840766830731789	0.729560864145155	0.787143270498701	0.819679321551682	0.686106434730637	0.540144378592548	0.756657374318694	0.773919672515534	0.893650034669639	0.766966186718149	0.659764367542908	0.642759416214288	0.363675387921312	0.542561801269572	0.703911556390197	0.62866486200108	0.51476523174673	0.735684271750173	0.88311016173798	0.838751185233151	0.73042158204558	0.804210810650916	0.828400978787817	0.62641999329083	0.854086337760416	0.6888046662263	0.808792321994993	0.752701256925263	0.689855858426176	0.459523441722016	0.712692850669114	0.918047920822433	0.0256735664607289	0.0358323732316411	0.889918868973577	0.895916253179347	0.730064726135446	0.0743145714991937	0.361311132745561	0.0893037414352574	-0.183741985605408	0.723588274321044	0.46476945437654	0.889988957894515	0.5170428372348	0.953139981399213	0.227633105948406	0.767559382975337	-0.155461945578804
