""	PTPRZ1	EGFR	NRCAM	SDC3	NOTCH1	GPC1	NLGN1	NOTCH3	PTPRS	NLGN3	NOTCH2	SDC1	NCAM2	PTPRA	CDH2	NRXN1	PTPRF	NCL	TSPAN12	EPHB1	SLC16A1	LRP1	BCAM	GPC2	LINGO1	NLGN2	ADORA1	PTPRD	ROBO1	TNFRSF21	APLP1	RPSA	FGFR1	LRP6	NRXN2	APP	FZD3	PDGFRA	ITGA7	LRP4	CNTN1	LIFR	ADAM23	DAG1	ACKR3	APLP2	ROBO2	FLRT3	LRP10	NCSTN	CELSR3	FGFR3	PLXNB2	FGFRL1	CD63	TRAF2	EPHA4	PLXNA1	DDR1	TYRO3	TNFRSF19	RXRA	EPHB2	BMPR2	S1PR2	EPHB3	PLXNA3	EPHB4	LRRN3	PLXNA2	NEO1	DCBLD2	ADCYAP1R1	PRTG	CD47	INSR	ATP1A3	CD46	FZD5	ERBB2	ADAM22	HMMR	NT5E	ANTXR1	CHL1	ATP5F1B	GRIN2B	LRRTM2	TSPAN5	ITGB1	TNFRSF11B	DSCAM	ITGAV	TMEM67	PVR	NECTIN2	LAMP1	NRP2	ACTR2	ITGA6	SORT1	THY1	MCFD2	CNR1	ACVR1B	BMPR1A	IL17RC	SMAD3	CHRM3	LRP8	ERBB4	CADM1	DIP2A	EDNRB	IGF1R	ABCA1	TSPAN17	F2R	LRP5	AMFR	TRPM3	SIRPA	GPR37L1	ASGR1	CD44	STX4	CD99L2	RACK1	SMAP1	PILRB	TNFRSF12A	TFRC	JMJD6	CD81	IGF2R	CLEC2D	SORL1	TNFRSF1A	CANX	TSPAN14	CD74	C1QBP
PTPRZ1	1	0.805793119190285	0.77050985423889	0.840948330863444	0.858664511515143	0.630657640355598	0.91801965118648	0.82333965394807	0.913894152222566	0.911331905128886	0.856931037200357	0.630550712551794	0.742794072795015	0.913498815463327	0.839444623618198	0.781054513833857	0.627506998318892	0.849172801193457	0.789286792052465	0.524972819414092	0.82785811795505	0.950911248904628	0.667650897049232	0.692655552446328	0.621050671547696	0.867780186622418	0.665036468224757	0.624211911926638	0.916818460719155	0.795279902814919	0.637577140381924	0.659415225793395	0.763753205047598	0.871314160565768	0.725917880502346	0.854820970831263	0.933857417945672	0.748126050971246	0.764445978325702	0.839479089316899	0.393215559611351	0.678314126671817	0.949820147303651	0.840210759556258	0.673344905713471	0.784310288441409	0.846376913793762	0.647411652369592	0.66080535521613	0.812468129089564	0.799948144076419	0.681548058146447	0.703678033234331	0.701347160370952	0.633139961841332	0.608939961870935	0.726537033988713	0.906723089251003	0.862270106039732	0.886670191677125	0.743180299949076	0.905592511190711	0.831855074928294	0.869917559428519	0.699637097859624	0.651234760692633	0.786152283013822	0.724725135609111	0.646965320073545	0.773668677404217	0.889739665591306	0.724718248424997	0.574564615658436	0.81795936980787	0.774822831377453	0.83360593851807	0.489843922930698	0.941656684564814	0.790104817540308	0.6428169876408	0.805035451964541	0.490061664772367	0.845064382108003	0.856062198803791	0.667111163572272	0.662526849531973	0.733267378643364	0.930294626905805	0.77002212538915	0.674100549830635	0.523827925162294	0.669071624146228	0.826934500765775	0.869932663276125	0.772896133154527	0.665888706922035	0.7584358581441	0.437278045149836	0.880965903982955	0.545902395541065	0.860974395524744	0.34736498718343	0.79381087772107	0.781903249068605	0.88230189226818	0.898966138419984	0.640611416549076	0.685530658019113	0.602913692310199	0.813047575100757	0.841551434252075	0.651552753779239	0.907476066168011	0.789481021204967	0.91572105896934	0.666029520861881	0.762637887259221	0.8618026469374	0.870874160015635	0.825840101117878	0.723843463016634	0.589445008372091	0.79604880308677	0.746975892760945	0.400159166850931	0.768991925737088	0.812082509231239	0.644640645766649	0.829886027260588	0.809806555220111	0.542522538600765	0.834925928160884	0.706828174340336	0.761557634819119	0.792331108215682	0.787627411232028	0.523129716523142	0.655242633508666	0.847525333931034	0.735330721117174	0.0547111658041111	0.656453820939065
EGFR	0.805793119190285	1	0.378914694102775	0.735230510396738	0.875775037298937	0.379274240800634	0.675861325734751	0.754424549360722	0.829481614228571	0.824270349955615	0.75542147109776	0.682888639878645	0.681663091949408	0.81233476618522	0.693612220810287	0.465952610831775	0.320703069613394	0.877049242742709	0.920925412497054	0.369602610864307	0.880102025029144	0.841857266602029	0.587449407446503	0.689319965309178	0.669257243926833	0.727207103635377	0.485480275130957	0.53535252040271	0.793002144651195	0.523260111200861	0.349298061422857	0.807008643279468	0.463469347338764	0.760363681981841	0.559886471823427	0.59780816115975	0.838493816062901	0.838550897128272	0.61943924405451	0.806987641322585	0.211781033601956	0.370665213172638	0.771761395153214	0.647029547768668	0.902901461005711	0.607152811763585	0.794101766951898	0.844641360188441	0.397223041125656	0.650146709728436	0.662845155817926	0.404384657738321	0.481778379882597	0.646477326163364	0.643816361663658	0.763097486382789	0.735839253317368	0.708007038485702	0.629456113998409	0.849136887065193	0.823462720793885	0.784146449912551	0.776725899584997	0.587253976070024	0.747881847492916	0.780732907616218	0.538933423152392	0.881224681121703	0.333800240675199	0.705013571658441	0.684338396025704	0.516648931104313	0.325113417438752	0.794302987959829	0.675805766539308	0.686950857774387	0.4889813356955	0.703485226199111	0.735351323161786	0.400769260043889	0.804828188909866	0.653483645340301	0.88358810813939	0.65658382752552	0.448708627062636	0.812726885746819	0.740156613324204	0.751578287673585	0.803990281901823	0.482118207375715	0.82675081667545	0.663972461553351	0.549408575931069	0.775757507039782	0.655865245708808	0.52848826652361	0.566110186048141	0.125727785674051	0.798000150038258	0.251647522964472	0.718579234342499	0.326994819733126	0.630229943018714	0.503237270622616	0.686712813220387	0.703851708924299	0.45052564279907	0.415505812027927	0.609023813509752	0.727791488064298	0.532556040805322	0.381328490622936	0.861291504883735	0.58312762377563	0.67542118261737	0.327843008033883	0.712119285685519	0.762741351515902	0.876482292121406	0.685448351569134	0.762766792078367	0.252440736129633	0.564672108928877	0.63566457054565	0.041771916261982	0.6989146061926	0.630929960371153	0.784287319027551	0.837344967198324	0.742917882353249	0.379989290397438	0.706505470121165	0.758305152870315	0.678351073299228	0.533605056674941	0.788219292839388	0.22763996667563	0.512406128368058	0.653990064189849	0.833071330759251	0.0419188381825294	0.786080152721974
NRCAM	0.77050985423889	0.378914694102775	1	0.646229084062228	0.513593266928843	0.833625170486075	0.895779154804861	0.651772490349058	0.692101202119013	0.718459422674314	0.757192632861242	0.492366829803497	0.413887125775267	0.737858303140798	0.830903400769495	0.694152112431586	0.811291662097456	0.625256945697309	0.429530545263421	0.411489328565169	0.567615339811805	0.742845600911286	0.670843340802282	0.401015967972153	0.316714045054431	0.631702448058254	0.67397599949037	0.401141089032554	0.677351085513094	0.809901799367586	0.885850103090604	0.480716128790173	0.882398595246376	0.595500922301499	0.470555498690836	0.91269780855966	0.705758232719462	0.371453302262246	0.762521271313325	0.479697227432222	0.306755200254513	0.810052425547244	0.682592682023842	0.799770938384964	0.288511829145727	0.835782201898857	0.573359669421406	0.271068278776326	0.834609595428749	0.789898474782478	0.594063992677404	0.698753454093422	0.8321565886029	0.655031635325044	0.625025254710153	0.325844125475798	0.662597994872385	0.782952975009828	0.828190762220229	0.659032386161482	0.446630671687569	0.700881854014002	0.562627901492566	0.871780279504871	0.389480542593322	0.283839062878607	0.823646793025079	0.415155076860092	0.880245355039322	0.588188341546182	0.816868235047322	0.8812455205716	0.526569444256455	0.470459234883674	0.749880238822899	0.653629233550882	0.287566677611186	0.788642246602578	0.627699956466125	0.796502274189153	0.453559287505766	0.237580844742265	0.537842366606009	0.661822850961442	0.686297855740383	0.46375656961248	0.389420575360507	0.782385498988697	0.595619935541857	0.86625439969954	0.168693942056493	0.385131116352652	0.908657196436072	0.697142168597883	0.753517059488851	0.749823367597951	0.829963935188391	0.825110494307391	0.770923024824256	0.582918356685352	0.761500319163107	0.280956784394327	0.848398078653752	0.744332136046129	0.772383995143691	0.814887630657152	0.739412899651436	0.755628421258587	0.347603330483797	0.589670560249719	0.719139994592468	0.814147351057857	0.612064047285346	0.749646746947919	0.843095067505356	0.858057099323547	0.700402084919671	0.807717663920479	0.573828335177864	0.777174216816442	0.507401595627787	0.74782453577973	0.824117731574466	0.602846688473953	0.777135160461101	0.743720733132196	0.773488097097779	0.50011475681148	0.665347775686301	0.634905482449603	0.746385716589995	0.730703391519502	0.584121020126047	0.731788873252788	0.828632562101394	0.487925871088253	0.757037448147609	0.722004838983194	0.83477558826205	0.536427502161041	0.0687222337844282	0.507478969289322
SDC3	0.840948330863444	0.735230510396738	0.646229084062228	1	0.632416895707553	0.781692688722423	0.775953412497031	0.937648882545196	0.726541228677104	0.924555572008474	0.903531045235768	0.503529208852742	0.365152988074883	0.928762628609442	0.886833076510879	0.455836062504842	0.740977996845119	0.7144286831599	0.701536545817779	0.165414569456602	0.789753584079368	0.904648883644971	0.843383283093652	0.342780255838383	0.317498367480035	0.613238916657777	0.887002317886067	0.29119142029906	0.88141545046521	0.836727193268535	0.659366227477421	0.649965439916875	0.810468978715536	0.5612739809544	0.397725997290042	0.865035549329033	0.921609778132188	0.446365315205807	0.915161493477118	0.742758398555032	-0.0796310812972311	0.833885869887924	0.849003406495711	0.922855120932432	0.634358469739651	0.852030456120886	0.947868306416156	0.497513953227598	0.815611492691402	0.877061794077129	0.496077770232819	0.871851546297204	0.790767524443764	0.880197222955123	0.817344792764051	0.452454903545898	0.844551219019175	0.783741806624832	0.924488338865935	0.88852660806766	0.902975215568585	0.844928782389576	0.727533208646343	0.879030740730916	0.415894315798069	0.415581278580359	0.802282793385186	0.7590107174389	0.711400677030535	0.555827991714723	0.88536908884413	0.728403905762214	0.803188868175681	0.591083754026132	0.831284041451596	0.618037223455374	0.129134413787255	0.805304488582432	0.907404404935034	0.802523358770098	0.541998487547387	0.331332783586213	0.74253063025577	0.552770004270632	0.87284892075104	0.659015922716286	0.67753508462685	0.863045625796676	0.829842386923473	0.731411430698193	0.60005526518448	0.317277003246523	0.8445593054034	0.869448513610337	0.73771477334007	0.815954581784204	0.862594471200914	0.568850321249763	0.85788085038036	0.788659904615954	0.909910125467718	-0.00620275978064068	0.836764617330413	0.898827159317901	0.80528798789207	0.870770094517477	0.825159049797987	0.79763489553282	0.36904031585952	0.566185593102688	0.609394005246718	0.81480313216795	0.73031235846155	0.927904236940763	0.796089140544151	0.772107972280328	0.758047557320789	0.852936945241155	0.78266495940808	0.823645807957123	0.892060466671249	0.771215203650656	0.904440940988338	0.581310184938275	0.567386701177882	0.821503753471827	0.851656713555154	0.658619699163265	0.762558919818317	0.685596615499998	0.689228779964389	0.907594381070257	0.655902383517455	0.851985312276874	0.804353830080622	0.578845245686802	0.697297646708188	0.85562318211727	0.917107628611611	0.713211710017929	0.0779171250359788	0.655161409740037
NOTCH1	0.858664511515143	0.875775037298937	0.513593266928843	0.632416895707553	1	0.340092447327806	0.759029477093681	0.679434312626044	0.880932770020468	0.785493422068577	0.676951563924398	0.755405737151423	0.876295899495449	0.768142997411523	0.638438638691152	0.700915746174065	0.334214501200399	0.913687635766146	0.907491369357778	0.621039213371304	0.856788116211775	0.851325822979175	0.484277816321966	0.85873574028532	0.854605700755688	0.877548281501242	0.39347121838534	0.702835135450849	0.769434165316928	0.553490319513797	0.421767068306966	0.783420082533589	0.488644375893599	0.90991554418719	0.802373232036618	0.604244262981021	0.782529972230353	0.921903634014002	0.50260933550504	0.793590109584006	0.538816128366849	0.340007705152467	0.808760058094568	0.620477125687568	0.842418253487672	0.574095780030812	0.649375503726837	0.823004987790551	0.356627845249646	0.629308975976327	0.847701358370196	0.337560700069025	0.470466669135953	0.520687656746762	0.501500061461174	0.816350776989208	0.5908481573192	0.786484601337334	0.626455467926055	0.823850845144674	0.648337529743597	0.802790373024651	0.875331300925358	0.62383132713536	0.899929232686001	0.881934284456154	0.557476043625865	0.770324635797506	0.339852099848395	0.819748494816405	0.703171327320443	0.541287726843049	0.285312722597776	0.86157463520829	0.630084703042555	0.825714665434613	0.728589703240788	0.754928174874962	0.630506364150123	0.337248608411029	0.893538518000598	0.650297212490583	0.847786546502163	0.828261735938899	0.33322117112469	0.788873044418625	0.633392486725823	0.75099761752899	0.697701808614778	0.456397716580576	0.651905190593375	0.844013510790606	0.572713276588184	0.71022998843625	0.698409393153664	0.456566919717505	0.537720761121506	0.119820029746009	0.792134525164004	0.195331783551274	0.689118570862379	0.596524892668872	0.605588959847661	0.449403667940508	0.747723360282102	0.710778222446311	0.346019634903141	0.405656798039571	0.701780694761289	0.849118971674649	0.667656570042684	0.337362034046193	0.902432022402488	0.510933796270782	0.759354608630624	0.33151805352798	0.683944743048108	0.729804061642155	0.887228920970839	0.694852139331536	0.574605663821953	0.254907411805654	0.525605626571275	0.730980114894625	0.0442271632958652	0.655179269749413	0.641951734904592	0.744486716558369	0.84117887086868	0.767739446089611	0.299772417694223	0.638713028908181	0.738667161765609	0.632423404953014	0.5822193590058	0.870107367701033	0.194735076519721	0.412753773287235	0.62671461542125	0.77657915534552	0.0360950518043546	0.76170665163187
GPC1	0.630657640355598	0.379274240800634	0.833625170486075	0.781692688722423	0.340092447327806	1	0.756708515380192	0.793258925831334	0.550225142409682	0.753681663221534	0.848188464991609	0.45235511728594	0.0815633715601826	0.795604260688714	0.904987325979953	0.351848736937893	0.924626992421529	0.569541483133846	0.402715152954034	0.0133526583021132	0.596744868301608	0.708754688581171	0.901951598042391	0.0775505507165913	0.0384894706987635	0.390314512510086	0.890140311519278	0.107054857160821	0.676044978813244	0.803012892599438	0.924675654945736	0.557442415410058	0.909195505645323	0.320795706544429	0.141363218221884	0.9081350368254	0.714658025554104	0.133798403566883	0.922559869394953	0.392688472089066	-0.168851942127731	0.914360064319874	0.572433628244997	0.89881239396401	0.325055196450347	0.939209039957366	0.678734950199686	0.190499575607374	0.969104096594112	0.878882870143138	0.306194918646175	0.850978467080393	0.943367633019357	0.835382243531669	0.869807136634782	0.280278247677986	0.814597501792225	0.655695882904504	0.888375369769177	0.708513503033315	0.640502352203416	0.66620761833325	0.505646170432031	0.847739087706853	0.161933215656946	0.103711357289786	0.81794476586629	0.530093600886294	0.953583322381333	0.419782985570216	0.8176602741584	0.8959661184204	0.680390394529818	0.267270505790078	0.881333618544439	0.462329524761191	-0.045085603281439	0.665104260521856	0.787737483204381	0.962533510327183	0.258821883878543	0.195482180012813	0.461543572067821	0.349651850570289	0.869295211825934	0.553016669093797	0.34506065999845	0.743665637712724	0.741752663937258	0.919759500414418	0.298300794372861	0.0710647823978961	0.896171591921389	0.720005381633169	0.778719036494572	0.934220334957187	0.952152506051964	0.908872135264479	0.796032330806612	0.773971598794326	0.843221106074086	-0.0379153174860284	0.92552301178335	0.829043453132913	0.712504772049895	0.791769672056068	0.93491441471397	0.853090211411121	0.165885270977632	0.367021874196095	0.497765118736042	0.969342268139364	0.480386300992856	0.873664065064242	0.715266288135574	0.949588120449232	0.770559773615827	0.828770360487525	0.524862211470293	0.80104246793718	0.67389008087843	0.879330155064465	0.914036982812727	0.459069773735103	0.910242008669336	0.847701439437852	0.858271915981773	0.599315104915282	0.682264097824369	0.555385752299013	0.948274774400818	0.812161759544195	0.616090608836612	0.870326634366081	0.811632980813275	0.329715053210909	0.887821629389793	0.956669037363641	0.910198814943533	0.552193090530995	0.0898718819309267	0.596146679451863
NLGN1	0.91801965118648	0.675861325734751	0.895779154804861	0.775953412497031	0.759029477093681	0.756708515380192	1	0.787178920185739	0.861532396250219	0.86513044565687	0.871095744805464	0.649142620568732	0.633561377877307	0.890639723604889	0.879150893804653	0.776837851405619	0.750900017370156	0.816204340449087	0.672844687020296	0.452967068091185	0.760223561325348	0.901370880916336	0.703294182037365	0.590716762735685	0.513289081086539	0.794610079242449	0.679788365601961	0.562826564453578	0.847377406841198	0.813561460994693	0.814891563730848	0.647604015162378	0.863655192393451	0.768440525999298	0.635993948416836	0.926777260072794	0.867746224216851	0.621823313414502	0.800910485746298	0.691598438819916	0.350936101114642	0.775597804423253	0.840164668810775	0.873758940541834	0.556476234828504	0.868119219044428	0.746615824083383	0.513411456876851	0.779462320839835	0.858922229704955	0.752974746913918	0.689044315182941	0.828849831503082	0.688289464301672	0.677431169775584	0.589056580544713	0.754446094774521	0.883442200400456	0.880349327309937	0.836011765574251	0.660718864540169	0.851600586600897	0.782892201585399	0.913771081762736	0.595567190340061	0.533553578592935	0.831452491219694	0.639766955999362	0.799272655174952	0.728875710945341	0.910460189043153	0.857055108370699	0.576295747138629	0.683923045670789	0.830411430345655	0.802871553836763	0.429817671477758	0.882304315460801	0.762712599256781	0.760167733812861	0.701184553785488	0.50734718039347	0.716173111764336	0.783490961722864	0.677044822392967	0.65340815743221	0.561303574129225	0.909006258311199	0.775513095581767	0.816643499060455	0.402826996253705	0.558081004547629	0.911080801837312	0.82793005727512	0.831628266397622	0.750594899015513	0.841911037630205	0.658778408117803	0.898794957365044	0.563811760124079	0.882948850615281	0.333619985364382	0.866048733359896	0.768484539687623	0.891123391593073	0.901761847671816	0.712726648067353	0.757549564224572	0.472910866035237	0.771474851814004	0.808699469756677	0.766332095424541	0.841340011366364	0.802774379192814	0.931295390109064	0.783307681957203	0.806230674634507	0.895197339340597	0.781871507891505	0.877768474585716	0.66299265392223	0.691106675279699	0.832524937263828	0.671533114777076	0.604095655935653	0.809264054500021	0.852423333954794	0.647655701526048	0.826538699733853	0.824543585619228	0.673309867712636	0.796628717597939	0.69041827138562	0.794715764035765	0.860295072466328	0.739192856154056	0.661047537729138	0.73030154600562	0.884619488942571	0.707314977370507	0.0763074446470059	0.655103084598027
NOTCH3	0.82333965394807	0.754424549360722	0.651772490349058	0.937648882545196	0.679434312626044	0.793258925831334	0.787178920185739	1	0.736732410364804	0.911349344829368	0.917846863230373	0.621384007062432	0.388041205868079	0.937331058107033	0.900621889276323	0.455993333720129	0.768413779907765	0.788546134110887	0.74306343784133	0.165071112643156	0.855518628403348	0.894860045330363	0.865013788044881	0.367875623117347	0.352827020081582	0.602674614826753	0.841436219216974	0.348254059516143	0.873703890302179	0.77455719186468	0.714425874804116	0.721867459712038	0.821459187680992	0.587817574590915	0.401316991296964	0.859040954490691	0.896273079086132	0.487722926148396	0.90344739750121	0.707874743483686	-0.0560483138027843	0.801343955502912	0.805364712617653	0.930591503926524	0.671995059291791	0.88982397221789	0.884860572691616	0.536813152322517	0.80043300089808	0.887629835690109	0.525318801320428	0.812335218093357	0.83295764365504	0.845717468196942	0.846666427587981	0.559290192057341	0.853150599419734	0.783850857155815	0.902216728607378	0.905883407455797	0.892621540115119	0.847475253365785	0.784989648019878	0.864960753669001	0.462489618643527	0.467093919132366	0.793033477479398	0.810136504729045	0.735976605988344	0.624878719070038	0.893426827614592	0.783508008089797	0.725115638941979	0.577344054774499	0.891630632669902	0.650592008494677	0.173020826098868	0.793277709579221	0.915915565589942	0.80664448969002	0.605118759443728	0.447752494064976	0.718468068921658	0.527570522341333	0.817459658757401	0.735577411130852	0.601814176328508	0.844612493851036	0.882303373303155	0.766311267132143	0.604942956597966	0.351366999534779	0.832657953845788	0.862642922801445	0.813944871369053	0.839183687884278	0.883634687524743	0.572094750295906	0.89571126326924	0.712061302134317	0.931814658726716	0.0698084654520727	0.870356128721837	0.813243422085102	0.801812811761723	0.87058978217201	0.816752236309595	0.783767371552722	0.409353965040573	0.58595429774816	0.574503178589219	0.80936583239726	0.757228551078821	0.884733026280465	0.805279834641639	0.765399946944074	0.804098173129343	0.864969719239012	0.793953819870218	0.868917823205719	0.846385989558483	0.743951229063117	0.866200848478117	0.580919760460223	0.567232823333087	0.866178946166051	0.887413458036165	0.733057585151306	0.835343662904195	0.733413666644445	0.734435515528003	0.881875012375434	0.72927104058757	0.873290844652303	0.795018748425897	0.637092826973561	0.68038671877	0.867770037100144	0.923400877932118	0.750443107500915	0.0769511337651751	0.736951898706894
PTPRS	0.913894152222566	0.829481614228571	0.692101202119013	0.726541228677104	0.880932770020468	0.550225142409682	0.861532396250219	0.736732410364804	1	0.843369319498429	0.800861149728142	0.672928865472052	0.743762231449907	0.852745672171432	0.785631954003904	0.694990851645386	0.511390578756451	0.897341626102582	0.815094883173859	0.559580152012689	0.855840660974279	0.889141579529644	0.635552840308717	0.752985665696113	0.708714402822622	0.858616154400153	0.569363540169995	0.663793952039046	0.86012763264	0.709965161710058	0.579278092985026	0.761872780620809	0.664234470393884	0.88915815234834	0.696466628661791	0.777779016735845	0.873341106950974	0.81328976246688	0.678809347371302	0.781654272201653	0.427159803743406	0.53459791746941	0.845532500277159	0.742859159776781	0.749138320810975	0.726066980550283	0.751469287803766	0.763758464391692	0.573162317106349	0.754650265644898	0.799939614651546	0.50900180583351	0.625080883713773	0.655665333152638	0.64324430705794	0.689090060628914	0.712155909696886	0.854536894973855	0.755609595230105	0.852067637963966	0.704406864370625	0.868067373365733	0.816849765804865	0.753101155546382	0.774267550259292	0.740699619167392	0.731739058134857	0.757837172882119	0.545689261532599	0.76350084159955	0.788686266279079	0.687637863530666	0.396945564113796	0.832882319887308	0.746735667117094	0.81290231728674	0.583931314198808	0.867311460986685	0.753804591208569	0.53752455928826	0.803015269428582	0.56797076241299	0.853514622854938	0.836469953834934	0.536867882080168	0.763684940176698	0.663927438891512	0.86715364309359	0.761428997621029	0.63288640696646	0.624880330640944	0.742303724966087	0.724826136016237	0.816590284210706	0.76647439211261	0.631521915622172	0.689257418123648	0.348251974378902	0.874781473170911	0.373695637279658	0.798387958272036	0.453499390581135	0.761499363180646	0.63251920359636	0.809918729704594	0.827459465568372	0.543474517098652	0.585991946293916	0.632327529893411	0.841672821164952	0.737963693950083	0.543287333194382	0.89150812273141	0.663775731275343	0.83777230136129	0.555668483185759	0.800602001716787	0.833512627317725	0.883883754656556	0.786226128060306	0.678250384959925	0.434712197214903	0.683526971077483	0.747588136298846	0.282925613556483	0.762984260268837	0.720942146165353	0.754860799772663	0.858033556200388	0.797029295439002	0.498678641354693	0.761234879588286	0.770080316447749	0.738684632275115	0.712075282594753	0.813151894250502	0.402096708087217	0.584460965880862	0.773167605365505	0.778915790180865	0.0556485903200607	0.756754832205434
NLGN3	0.911331905128886	0.824270349955615	0.718459422674314	0.924555572008474	0.785493422068577	0.753681663221534	0.86513044565687	0.911349344829368	0.843369319498429	1	0.912226817975263	0.677798721324858	0.561044394314429	0.957314748000013	0.911899077134891	0.592135109750876	0.696638430889697	0.859693632844156	0.824951172418837	0.34997596899904	0.872332399567353	0.962348779541358	0.830811644061548	0.549078668294861	0.527866827482029	0.757183152937729	0.800098697758331	0.450843884036201	0.902020586323911	0.840905386772566	0.711712329297943	0.793057432025494	0.79148634514574	0.708374288101044	0.553108334460177	0.881228252037485	0.935930822317363	0.63212866470943	0.873516956159528	0.801918184540182	0.156044289877406	0.738361065542445	0.871634799960314	0.907004511858347	0.738311433789403	0.865930297814304	0.897067424425348	0.64712460471526	0.764899087143913	0.891478722117287	0.651880448754944	0.755913682751934	0.789111587658284	0.8611689630339	0.830880910335308	0.621823134659536	0.850701677323978	0.846059371076908	0.917759707368924	0.939266327640383	0.859546641637553	0.900731752634717	0.809234756393916	0.873534156789615	0.61113561666188	0.589961186094739	0.804901666533229	0.818338678458304	0.709113039271238	0.701750109664825	0.904132923583934	0.785118543799785	0.644989282468492	0.694521481590955	0.867796898228986	0.748470272399496	0.358935822300336	0.853518577829476	0.875232041800184	0.762178053552016	0.697487851834624	0.447324905498507	0.838398138586864	0.701192178678255	0.768375714366796	0.792052718482278	0.687508021120888	0.909264587583519	0.877998989362719	0.75760499123353	0.663333363690304	0.530255843947584	0.852143968291258	0.881583317702083	0.834528098046247	0.809317572074013	0.86577800994406	0.534058805818002	0.926780175769765	0.62230602258635	0.907955358720115	0.244539216697799	0.875874279827635	0.812127949240387	0.854996340528528	0.891555590751376	0.768042013590199	0.734853017119695	0.523187630847662	0.702004764650656	0.671747312030262	0.753118937998859	0.830141983963527	0.861411951924831	0.861977440643393	0.723760577505833	0.840579540024332	0.913297367577647	0.864858755810666	0.865703670745508	0.836851344180362	0.664377178707919	0.882821254102624	0.71058703792414	0.495081845799478	0.881828226776805	0.873080258790626	0.789316652541207	0.891694505938972	0.753754328309737	0.695339620618888	0.90842517069533	0.785469576578964	0.898339542060326	0.817593172532477	0.70570328420792	0.618383435925714	0.818274276892884	0.909638617884774	0.804226499442451	0.0696858046188555	0.789969886743152
