""	THY1	EGFR	LRP4	ITGB8	CHRNA4	LRP8	LRP6	LDLR	C1QBP	LRP1	GPR37L1	SDC3	KLRC2	CD47	ITGAV	NRCAM	VLDLR	IL1RAPL1	CADM1	CD46	CANX	PTPRK	NOTCH1	IGF1R	SCARB1	TFRC	CD81	FZD3	TSPAN5	KCNJ10	ITGB1	INSR	APLP2	PDGFRA	TSHR	CD99L2	TYRO3	ABCA1	RAMP1	TNFRSF21	VANGL2	ANTXR1	PTPRS	RYK	F2R	CELSR2	SORT1	KCND2	PILRB	CALCRL	SORL1	NOTCH4	SEMA4C	ATP5F1B	SMAP1	RAMP2	LPP	IGF2R	ADCYAP1R1	CD82	CELSR3	FGFR1	RACK1	MCFD2	LIFR	PODXL	ERBB4	TSPAN15	GPC1	RTN4R	ITGA6	LINGO1	TRPC3	NOTCH2	CD63	PLXNB1	NCSTN	PLXNB2	AMFR	CD9	SIRPA	SLC16A7	PTPRA	STX4	CHL1	APLP1	SLC16A1	LAMP1	JMJD6	NRP2	RPSA	TSPAN14	GFRA1	NCAM2	ROBO1	PTPRZ1	CD74
THY1	1	0.521245071452969	0.792802246748758	0.802945236128457	0.948293708714038	0.842744445875972	0.875193440756842	0.92437832949426	0.982626787717304	0.916023278047507	0.960593861676525	0.891079218513552	0.877812559696968	0.854980445593398	0.839461147588316	0.871173642333401	0.886047413221125	0.810038037620426	0.953436875277226	0.814256425555052	0.91358192612925	0.87939027993247	0.930498031051247	0.846794218643398	0.93922594244162	0.799100611244831	0.944728393680118	0.825702357728741	0.851847088420769	0.931267333832905	0.907651340111151	0.860603576508246	0.887861955620852	0.769540904427159	0.526579222954823	0.880026405111883	0.912966179035922	0.374140645947866	0.713686074534796	0.978802619427393	0.845703240077593	0.799732539587383	0.760536045625244	0.891991817398832	0.903424639327691	0.875418645748016	0.578375447616312	0.688840638459582	0.801877612954701	0.713723169905545	0.054440983996843	0.732678173421383	0.877059012206446	0.978907046750245	0.942094020147147	0.943859644010993	0.677990243090529	0.858406286008904	0.718677025962574	0.77166459780678	0.908102853227816	0.840840562251097	0.966406228611821	0.883512216378566	0.520100187532273	0.824947121070797	0.779402202631348	0.904878171624663	0.969226977854267	0.950133310958142	0.79361245085897	0.902800308001777	0.839651585384853	0.713114834392898	0.967038630456651	0.930844130276947	0.879311548511434	0.884417710799508	0.879868786556938	0.753148825767508	0.794043324253276	0.751856681508177	0.878761621229083	0.919815679560582	0.858239624224576	0.95051477868961	0.930333052793499	0.953788613291543	0.86088451453966	0.608126570260077	0.977188560973571	0.758399257905041	0.883919349736112	0.74326534803032	0.921445215811618	0.89209837896276	0.0778610708593669
EGFR	0.521245071452969	1	0.884395283309944	0.874909845538988	0.621683804790091	0.803404642338604	0.757534096763654	0.605288280489181	0.580483934034173	0.765758590664106	0.569674516889112	0.784264303555725	0.757125666234813	0.830216828623677	0.811720634301995	0.809899079577437	0.63040276172601	0.812834091269045	0.693074337762948	0.831467897992054	0.779157098608906	0.770713613354705	0.700745467782685	0.82644018947313	0.51989876619231	0.785184472070319	0.730412576484958	0.850678140457475	0.840461597225148	0.728024637264051	0.721116041031785	0.783399395861141	0.794196887029678	0.863390705707745	0.781441382161994	0.752206399092688	0.726817189042895	0.831155579559358	0.809058859801005	0.529019226047173	0.823154738489248	0.825408778541954	0.827240243266173	0.773920080214039	0.743294952126128	0.714756321527508	0.775112820285124	0.890135709615587	0.792895047012455	0.810878349820593	0.512346901479625	0.603741725176014	0.693777597563327	0.59286665197361	0.726361282020706	0.606530883679532	0.884794019627912	0.737121208690243	0.876309049219791	0.853655122549085	0.717458287259254	0.816961073578757	0.627207974125495	0.787645378884615	0.961235051487893	0.725305119387158	0.816443258219458	0.647901391160673	0.616857019223475	0.56934516987935	0.778782509262371	0.763541972145375	0.746804864526091	0.854730096948148	0.673111529886617	0.650393477962488	0.78383404099193	0.732597973401175	0.753710178044999	0.761539114520503	0.774712360328507	0.869667522927598	0.826283744365953	0.680402440782192	0.802155837587041	0.548657745595732	0.676231168276929	0.668894229659438	0.777174451894594	0.831736026761488	0.625488499841926	0.763734821271678	0.792634267147156	0.927941600656648	0.74516888161624	0.773630641199138	0.19153041021555
LRP4	0.792802246748758	0.884395283309944	1	0.965096284462178	0.851484906946412	0.91568996698905	0.931680200212046	0.854390889021683	0.808082028790398	0.943476887101337	0.83035638998918	0.948480219537292	0.879257430067377	0.938595080518389	0.933504364082789	0.938048272515662	0.821042666009971	0.912233338812734	0.899583375997292	0.941979500135752	0.945036154097145	0.920794463294031	0.906091349202315	0.939543359373057	0.789190511472195	0.902029797798918	0.900862075496952	0.945139230648944	0.933713635628091	0.920446214626693	0.894654631000116	0.92570749119504	0.944440999857415	0.929899357688939	0.786909427073993	0.887712831187285	0.905811204254342	0.713948108559519	0.837343158331613	0.812439585134418	0.946727239895934	0.927733413480636	0.905947218115473	0.929102201518603	0.9033211655653	0.884471887415147	0.792880562647971	0.919410031179294	0.900065934225344	0.865223636314352	0.378314681093065	0.700478354994695	0.851583515033445	0.814769280457272	0.90022372138218	0.806597007369743	0.912842896586439	0.896603114838532	0.903098392624819	0.917928651746028	0.895709687838661	0.951145455095294	0.823065619063063	0.920239479115711	0.890733052511027	0.85676098625275	0.927635614446376	0.849229746196777	0.860304361974527	0.82791385954169	0.918544213352695	0.9084137737953	0.901015972939651	0.923905269962231	0.876333635958501	0.876435260317671	0.908020002267718	0.897418314307191	0.915266531214784	0.86118173890556	0.862001710091177	0.934525458071892	0.950961285551393	0.85534155025866	0.926041255545137	0.796399914418898	0.875695614039207	0.877142923740905	0.907897679045974	0.825673925899763	0.836649384220223	0.85208526662075	0.93740266554165	0.95269801143176	0.926999994696127	0.935302436704415	0.163370610207359
ITGB8	0.802945236128457	0.874909845538988	0.965096284462178	1	0.833428377902171	0.939895398284095	0.959717531135816	0.862547697084639	0.818880017145283	0.939702613030181	0.821346320168286	0.941845760200421	0.901050830708246	0.965237619369783	0.96290685263158	0.964076187214804	0.83578967449851	0.946221432515148	0.914201564833219	0.97086630797146	0.963073333119797	0.944088842565921	0.9276842885932	0.96295345094417	0.808808802552053	0.925211904762715	0.896523998727692	0.972966081036512	0.941131568887506	0.937372238255652	0.927118222929495	0.939999141732997	0.967272708541525	0.958476285527303	0.748450012622702	0.904500791448665	0.900843938193005	0.731617675137271	0.799487678408052	0.820460706761435	0.954049463773648	0.946962371909429	0.940382361656783	0.948818498658199	0.929989113081392	0.915425792993143	0.809977865112562	0.908444404715901	0.90655399649327	0.893251181938232	0.36720193275552	0.707126368365085	0.872896137533081	0.819984366333479	0.918777462652493	0.828667915082175	0.921866336086737	0.934881986009226	0.88677551008112	0.907233973020657	0.90665518559016	0.957517674287402	0.838338122331282	0.942555839863603	0.882665565681848	0.877642497595347	0.939666842217966	0.849029843139322	0.856936561474979	0.811561811266736	0.911114631568397	0.914296177346689	0.920562099784067	0.918136337893885	0.885191909504776	0.874857593696395	0.905240922930431	0.894681821201395	0.925000356787799	0.839863210623164	0.865146478656052	0.946440438097209	0.971611637166431	0.859614551367183	0.96068815569636	0.807928690204232	0.901662775540954	0.886442256989921	0.912225433567862	0.853357880318688	0.848405971140821	0.856054150751508	0.959808677939007	0.968376367329248	0.952926062953784	0.969328108833617	0.167411462787383
CHRNA4	0.948293708714038	0.621683804790091	0.851484906946412	0.833428377902171	1	0.866484643183221	0.878824085583188	0.920401628149277	0.945227841445184	0.935386805350272	0.946728754896431	0.91600789592906	0.869497097602701	0.868082004373552	0.84924374395836	0.881983395724492	0.886955165804991	0.824270065820887	0.950441510336725	0.830286574406238	0.918107070960192	0.887026565122563	0.925746818092278	0.883794472748821	0.921672999853524	0.821573486726661	0.940401240783883	0.84768396560741	0.886853790784397	0.93283384552993	0.895958754603401	0.891945164725762	0.894577668607943	0.795775776066147	0.616873205211562	0.897790877444898	0.928155764821523	0.462581598839325	0.760769977310861	0.950133474257986	0.878950926963679	0.816019654084272	0.77911340850327	0.912870506104354	0.891248972721061	0.872282017824034	0.631769812760157	0.751373455257811	0.85078143509302	0.729737236387984	0.146054650296685	0.720606789987168	0.874298874211972	0.952280332771002	0.941258913008052	0.918871171564031	0.747689335837687	0.86102421108414	0.783263066505519	0.82722243890237	0.921688059539076	0.871671047068254	0.93289243287203	0.89259033223021	0.614751955948429	0.869373363994911	0.799548351520187	0.889628240410852	0.944749718595956	0.939943400736098	0.830782377255287	0.908066476383432	0.857437103102392	0.779905680017515	0.94546996599282	0.950936479238809	0.899887168228983	0.89583989869845	0.900393101852847	0.785416153270513	0.822278380804434	0.801090487384858	0.892260711141899	0.91954278043158	0.867870861191058	0.917006993667104	0.922533795207659	0.935780990704194	0.870666786960337	0.651633543296349	0.951572638997582	0.794828288469611	0.895516947903167	0.794397696146377	0.92142315264169	0.883860890780996	0.108071385454381
LRP8	0.842744445875972	0.803404642338604	0.91568996698905	0.939895398284095	0.866484643183221	1	0.945627745285141	0.881573266745142	0.854968924072411	0.930188363953126	0.85025919435139	0.919464055523294	0.879107770002427	0.95465277531756	0.941620372578124	0.965510123306317	0.884754321794893	0.927031584487392	0.937769260200338	0.948041157820333	0.953409347638117	0.954194469768007	0.934931742068437	0.963347456288135	0.859160441530406	0.898919498020947	0.906813719291612	0.956503940575262	0.927706814237207	0.943193072294155	0.948944838443446	0.939215713787247	0.963912666264877	0.886862616359638	0.703292939009727	0.913576418392092	0.902756506924075	0.690696922002659	0.742086946023137	0.856515529516906	0.933314202700066	0.919892271270898	0.928625955615156	0.942662121214116	0.93802800788067	0.911822331406493	0.78887196057238	0.850080302742384	0.913298233837552	0.826473621960714	0.358501912668916	0.760320720977221	0.891454636948086	0.858952308402349	0.920897114249742	0.84743022953734	0.8815045407161	0.939866190264558	0.841383006758755	0.862237688388586	0.930946663782837	0.911894519530959	0.867569375058755	0.945440521359592	0.80131529524787	0.901652323201746	0.915194618859893	0.859333982952063	0.875008968081601	0.861619747062774	0.89553739156515	0.901859771560814	0.914497472114377	0.857761572322678	0.900818773195393	0.92020196719185	0.910861917565665	0.882241908895044	0.926716068811106	0.814143094832858	0.881324639277953	0.92104267770637	0.956708232703732	0.876347511326155	0.938408764065646	0.861157189771964	0.924687297679409	0.905585500048471	0.900772760283409	0.834903215684137	0.87574571750609	0.873552945812375	0.934665960748685	0.928513408887596	0.950660750965168	0.944883125652419	0.186140842723946
LRP6	0.875193440756842	0.757534096763654	0.931680200212046	0.959717531135816	0.878824085583188	0.945627745285141	1	0.932858265624207	0.86942398882399	0.951157651012631	0.882289548098022	0.937089101042285	0.891584963805741	0.956809023383658	0.950415793690662	0.969698774972678	0.882830338832662	0.936049839695673	0.951811422705685	0.965294882117895	0.971847602309527	0.959110033019203	0.954765546629438	0.958308660110393	0.895274365619224	0.909987028585305	0.908580765031862	0.954967923429451	0.911995479855413	0.964946333712111	0.958202449271817	0.941989361500619	0.977273921568246	0.909343821234282	0.709282714184404	0.903598227238455	0.91296039834971	0.617017375755082	0.739126685640505	0.893808525857035	0.941847961385303	0.928475969273078	0.919564545731088	0.966577530449416	0.954542831203909	0.920359206261882	0.763533025874623	0.855471023707448	0.902305641162686	0.859854095816714	0.285418405123801	0.71940066147053	0.906991030676033	0.866728389345465	0.93331109517185	0.86305448346831	0.880526155686398	0.941892039218389	0.814042473200595	0.862923775856061	0.933978863863068	0.944970244850622	0.870171209602464	0.94210192090847	0.777441623230416	0.883398674304019	0.926880757491931	0.884722989710003	0.90541334824261	0.885746998673523	0.918847428095904	0.902724661678255	0.937101853330344	0.86283385307439	0.91422246482145	0.924419319095902	0.890747227470898	0.897905218029785	0.949219558520878	0.810276596389808	0.855366839305756	0.931227427199069	0.966099424966406	0.871946875231216	0.957376836848676	0.870254684214225	0.942550149568538	0.921255032435834	0.916780377070654	0.79234713486127	0.887237131601754	0.853502729661694	0.956712642849758	0.913414569207907	0.974078788414429	0.978605844211044	0.150814603238385
LDLR	0.92437832949426	0.605288280489181	0.854390889021683	0.862547697084639	0.920401628149277	0.881573266745142	0.932858265624207	1	0.900449173658762	0.926965524234197	0.92076582472322	0.909314797023124	0.846105766627637	0.87745307561132	0.856662435342487	0.890251547950004	0.895560813036597	0.838704936456571	0.947667292356748	0.874058342397845	0.926378070247811	0.908086437416748	0.931983823694154	0.890096530660447	0.944141589149614	0.846294226052279	0.899684730622411	0.860440478443763	0.857612329720056	0.939060480728228	0.914448283897414	0.890058951349479	0.916480121812604	0.807275200372452	0.650297799677763	0.874639778482282	0.907079776899788	0.473204202837172	0.701375352302752	0.937183140203153	0.871936229880789	0.832663760758588	0.816451226974232	0.91660924198252	0.908999650580478	0.877954048044781	0.651115041489732	0.758651840819935	0.839807865692355	0.743777658013799	0.163978187142038	0.699431294250329	0.877031448285157	0.899091600433514	0.918506029983499	0.869979280703077	0.759943411348913	0.88858520594872	0.742350927816561	0.795218192056715	0.912339027250492	0.886154160951307	0.881816188545393	0.898854505498593	0.625292038675371	0.860927156236719	0.818208739483062	0.893545535408322	0.925842838852027	0.927091274548329	0.854382071843574	0.86850218604849	0.887129882174027	0.778391869471478	0.917333863271159	0.935595006141715	0.853857558600977	0.846146057878698	0.92017752644523	0.781314507462028	0.798800317231368	0.835707608262939	0.898376967196567	0.874887640663027	0.889430665487543	0.910094853342486	0.930265717878201	0.925354848979609	0.870402956480316	0.677369711402894	0.911620028401782	0.794967356626544	0.898148120258785	0.800601611256077	0.931036494592316	0.910040558599014	0.116310090854607
C1QBP	0.982626787717304	0.580483934034173	0.808082028790398	0.818880017145283	0.945227841445184	0.854968924072411	0.86942398882399	0.900449173658762	1	0.924382605534459	0.950020697376427	0.897261443113679	0.899074335903007	0.875480630737677	0.857820574700826	0.889643746127297	0.884536535521546	0.828118012575658	0.953565359797188	0.823904239045989	0.923339207190783	0.890657029215905	0.93256132746359	0.86348334617778	0.919233069048032	0.819180184562307	0.962983517914542	0.849985996744186	0.88459360923241	0.935205525523885	0.913649728932053	0.873022351294777	0.896565114792743	0.789312546642255	0.537512209405024	0.90773301394036	0.917755102552538	0.433064673876112	0.7515195499297	0.962054944253617	0.868267047734313	0.828092410208339	0.784883086867558	0.901487347054808	0.916594497937131	0.883541997129936	0.618414790926099	0.718659269159117	0.830253434060342	0.736214574889348	0.0995923216875418	0.747649835165364	0.887965448746659	0.991520791544031	0.954722689040847	0.958374823758725	0.708743439729379	0.864650450647314	0.751439588201722	0.798640114255371	0.91918682115565	0.852971393966393	0.986946045655492	0.901458053224392	0.57038985717717	0.838493244505332	0.795753692118301	0.893846817323388	0.968121210651707	0.939252854880935	0.802226540450583	0.922294208087532	0.850274409136474	0.735690200594779	0.976474648721867	0.931150316761146	0.909466336020079	0.901036593101203	0.887157481815825	0.768450636635987	0.823365432355384	0.76930224823747	0.895854394277535	0.934082786447639	0.869901596972971	0.9474986136511	0.931034366192863	0.959148856620322	0.88175143706583	0.647572586283974	0.990107596246808	0.784918593725863	0.893682815308584	0.780649604889711	0.92736189518721	0.895113890476194	0.101105775867934
LRP1	0.916023278047507	0.765758590664106	0.943476887101337	0.939702613030181	0.935386805350272	0.930188363953126	0.951157651012631	0.926965524234197	0.924382605534459	1	0.92962230273208	0.97346928015626	0.931037221340695	0.944409609502927	0.937763399290655	0.955490373219201	0.903549771857914	0.91555568475523	0.962430209457789	0.924349133083417	0.974468214170022	0.945019922679359	0.970275405988532	0.951615983884562	0.895762509324025	0.905682177779666	0.962858045582187	0.937013165919996	0.942794329422374	0.973638990197479	0.938837099350364	0.944211316434189	0.960642631953591	0.914380811906598	0.711565136070572	0.937254157405491	0.955535725578555	0.600247775437325	0.832699533072352	0.92592852663805	0.947225742513756	0.918206703361516	0.879007451421607	0.964329883813572	0.943496262167826	0.92254440367304	0.740647397164244	0.872936510941472	0.906978727141676	0.859608503757792	0.270822147350621	0.752483713588378	0.909538455182069	0.928574466221122	0.963605361739871	0.917947694939016	0.854848435579979	0.921349137277337	0.874734697541211	0.89442031126416	0.957013893194117	0.968746014806267	0.930248807723251	0.94750811114417	0.773543117986528	0.894344498458002	0.897282882878189	0.902877389891517	0.953010785627261	0.915238628929531	0.908661863675306	0.956003584472698	0.92211716896923	0.890887478360693	0.960765481315345	0.952466266409092	0.933694829912018	0.934567354929705	0.946452121108247	0.852191131127349	0.88552645081568	0.893988813619171	0.961636356652621	0.928497670724078	0.941734081756585	0.892688558150819	0.941450833388775	0.952766465924881	0.935540649353004	0.778006929786208	0.944729620091068	0.860557722157611	0.959129401449525	0.904868751157624	0.973648031321339	0.96223536562297	0.16726584300232
