""	HILPDA	ADM	DDIT3	NDRG1	HERPUD1	DNAJB9	TRIB3	ENO2	AKAP12	SQSTM1	MT1X	ATF3	NAMPT	NRN1	SLC2A1	BNIP3	LGALS3	INSIG2	IGFBP3	PPP1R15A	VIM	PLOD2	GBE1	SLC2A3	FTL	WARS	XPOT	HSPA5	GDF15	ANXA2	EPAS1	LDHA	P4HA1	SERTAD1	PFKP	PGK1	EGLN3	SLC6A6	CA9	BNIP3L	RPL21	TRAM1	UFM1	ASNS	GOLT1B	ANGPTL4	SLC39A14	CDKN1A	HSPA9	CHI3L1	ANXA2.1	ANXA1	CD44	VIM.1	MT2A	C1S	NAMPT.1	EFEMP1	C1R	SOD2	IFITM3	TIMP1	SPP1	A2M	S100A11	MT1X.1	S100A10	FN1	LGALS1	S100A16	CLIC1	MGST1	RCAN1	TAGLN2	NPC2	SERPING1	EMP1	APOE	CTSB	C3	LGALS3.1	MT1E	EMP3	SERPINA3	ACTN1	PRDX6	IGFBP7	SERPINE1	PLP2	MGP	CLIC4	GFPT2	GSN	NNMT	TUBA1C	GJA1	TNFRSF1A	WWTR1	CST3	S100B	SLC1A3	HEPN1	HOPX	MT3	SPARCL1	MLC1	GFAP	FABP7	BCAN	PON2	METTL7B	SPARC	GATM	RAMP1	PMP2	AQP4	DBI	EDNRB	PTPRZ1	CLU	PMP22	ATP1A2	S100A16.1	HEY1	PCDHGC3	TTYH1	NDRG2	PRCP	ATP1B2	AGT	PLTP	GPM6B	F3	RAB31	ANXA5	TSPAN7	BCAN.1	PLP1	GPR17	FIBIN	LHFPL3	OLIG1	PSAT1	SCRG1	OMG	APOD	SIRT2	TNR	THY1	PHYHIPL	SOX2.OT	PTPRZ1.1	VCAN	DBI.1	PMP2.1	CNP	TNS3	LIMA1	PCDHGC3.1	CNTN1	SCD5	P2RX7	CADM2	TTYH1.1	FGF12	NEU4	FXYD6	RNF13	RTKN	GPM6B.1	LMF1	ALCAM	PGRMC1	BCAS1	RAB31.1	PLLP	FABP5	NLGN3	SERINC5	EPB41L2	GPR37L1	DLL3	DLL1	SOX4	TUBB3	HES6	TAGLN3	NEU4.1	MARCKSL1	CD24	STMN1	TCF12	BEX1	OLIG1.1	MAP2	FXYD6.1	PTPRS	MLLT11	BCAN.2	MEST	ASCL1	BTG2	DCX	PFN2	SCG3	MYT1	CHD7	TUBA1A	PCBP4	ETV1	TNR.1	AMOTL2	DBN1	HIP1	ABAT	ELAVL4	LMF1.1	GRIK2	SERINC5.1	TSPAN13	ELMO1	GLCCI1	SEZ6L	LRRN1	SEZ6	SOX11	STMN2	CD24.1	RND3	TUBB3.1	MIAT	DCX.1	NSG1	ELAVL4.1	MLLT11.1	DLX6.AS1	SOX11.1	NREP	FNBP1L	TAGLN3.1	STMN4	DLX5	SOX4.1	MAP1B	RBFOX2	IGFBPL1	STMN1.1	TMEM161B.AS1	DPYSL3	PKIA	ATP1B1	DYNC1I1	CD200	SNAP25	PAK3	NDRG4	KIF5A	UCHL1	ENO2.1	KIF5C	DDAH2	TUBB2A	LBH	TCF4	GNG3	NFIB	DPYSL5	DBN1.1	NFIX	CEP170	BLCAP
HILPDA	1	0.817186644772852	0.730706075533662	0.741652983032293	0.550629447181171	0.610290093048714	0.333880678708265	0.859332238642583	0.880613494595763	0.756978653530378	0.756978653530378	0.376026272577997	0.506841817186645	0.785987958401751	0.590038314176245	0.717022441160372	0.707717569786535	0.732895457033388	0.475469223067971	0.520525451559934	0.581828133552271	0.902025177887247	0.228790366721401	0.651340996168582	0.576354679802956	0.530377668308703	0.263273125342091	0.629447181171319	0.766830870279146	0.469074986316366	0.940339354132458	0.611384783798577	0.668856048166393	0.535303776683087	0.703338806787083	0.621237000547345	0.784893267651888	0.43951833607006	0.874202340422631	0.667214012041598	0.31143951833607	0.535851122058019	0.637657361795293	0.00547345374931582	0.644225506294472	0.770662287903667	0.761904761904762	0.604816639299398	0.656267104542967	0.819376026272578	0.469074986316366	0.509031198686371	0.615763546798029	0.581828133552271	0.777230432402846	0.820372521706749	0.506841817186645	0.781061850027367	0.775588396278051	0.628352490421456	0.713738368910783	0.655719759168035	0.553366174055829	0.585659551176792	0.270935960591133	0.756978653530378	0.598795840175151	0.361795292829776	0.263820470717022	0.736179529282978	0.423645320197044	0.71975916803503	0.653530377668309	0.543513957307061	0.420361247947455	0.571428571428571	0.760810071154899	0.51888341543514	0.537493158182813	0.351943076081007	0.707717569786535	0.712643678160919	0.56048166392994	0.755336617405583	0.527640941434045	0.504105090311987	0.652435686918445	0.733990147783251	0.57799671592775	0.73344280240832	0.869731800766284	0.891918484571819	0.435686918445539	0.722495894909688	0.562671045429666	0.820211989213541	0.581828133552271	0.738368910782704	0.492063492063492	0.732348111658457	0.71975916803503	0.751505199781062	0.684729064039409	0.875752599890531	0.911877394636015	0.711646373162202	0.802408319649699	0.628352490421456	0.603174603174603	0.577449370552819	0.772304324028462	0.575807334428024	0.780514504652436	0.793650793650794	0.818281335522715	0.728516694033935	0.678708264915161	0.747502401963836	0.844006568144499	0.758073344280241	0.715927750410509	0.624151969423601	0.736179529282978	0.540229885057471	0.673182550913684	0.86081840138274	0.469074986316366	0.648056923918993	0.841817186644773	0.762999452654625	0.572523262178435	0.871373836891078	0.77175697865353	0.545703338806787	0.575259989053092	0.798029556650246	0.603174603174603	0.476190476190476	0.0509560110423222	0.84885007252701	0.830140580878533	0.837985769020252	0.801313628899836	0.742747673782156	0.378186159362462	0.436781609195402	0.637657361795293	0.416597206423008	0.437876299945265	0.9168035030104	0.751505199781062	0.844006568144499	0.682539682539682	0.678708264915161	0.818281335522715	0.708812260536399	0.479474548440066	0.482758620689655	0.673182550913684	0.72201821955771	0.774493705528188	0.479474548440066	0.877941981390257	0.86081840138274	0.671960670316543	0.779800198899659	0.629994526546251	0.683087027914614	0.780514504652436	0.871373836891078	0.647509578544061	0.455391351943076	0.766283524904215	0.530377668308703	0.545703338806787	0.853311439518336	0.37383689107827	0.689655172413793	0.700054734537493	0.404488232074439	0.744491590385073	0.766663127011752	0.30175250965315	0.578544061302682	0.391899288451013	0.75095785440613	0.759547483103379	0.779800198899659	0.746031746031746	0.449616715835274	0.490421455938697	0.642583470169677	0.632183908045977	0.837985769020252	0.723590585659551	0.629994526546251	0.750604455517826	0.761904761904762	0.603174603174603	0.669403393541325	0.793354436023684	0.556102900930487	0.795875436439765	0.753694581280788	0.915013009800477	0.863282752329205	0.648604269293924	0.707717569786535	0.825944170771757	0.652435686918445	0.416597206423008	0.471910555378376	0.624521072796935	0.864805692391899	0.504652435686919	0.45134802667095	0.647509578544061	-0.496335649526974	0.700054734537493	0.685823754789272	0.625068418171867	0.648604269293924	0.835617052614273	0.85220291065421	0.767060188446037	0.446968664374567	0.127842872520914	0.449616715835274	0.438423645320197	0.391899288451013	0.651340996168582	0.795875436439765	-0.491406259965196	0.45134802667095	0.761904761904762	0.601148080132584	0.446968664374567	0.685823754789272	0.800766283524904	0.759547483103379	0.0448238381531579	0.579354689107585	0.578544061302682	0.708264915161467	0.833607006020799	-0.0894550412097258	0.490421455938697	0.844553913519431	0.673782156540777	0.700150547134197	0.804050355774494	0.12807881773399	0.73984910856915	0.492063492063492	-0.27142865243773	0.858355010091025	0.822176531629515	0.67816091954023	0.859332238642583	0.9272030651341	0.616858237547893	0.644772851669403	-0.180623973727422	0.748221127531472	0.553243191110411	0.803503010399562	0.88300211233	0.624521072796935	0.831964969896004	0.443897099069513	0.618500273672687
ADM	0.817186644772852	1	0.827586206896552	0.762999452654625	0.733990147783251	0.701696770662288	0.298303229337712	0.875752599890531	0.746440418615687	0.838533114395183	0.891625615763547	0.628899835796388	0.665024630541872	0.64367816091954	0.686371100164204	0.848932676518883	0.713191023535851	0.869184455391352	0.395488901322198	0.698412698412698	0.788177339901478	0.879584017515052	0.405582922824302	0.900383141762452	0.807334428024083	0.714285714285714	0.388615216201423	0.83032293377121	0.762999452654625	0.632731253420909	0.718664477285167	0.795292829775588	0.862616310892173	0.766283524904215	0.880678708264915	0.807334428024083	0.783251231527094	0.646414887794198	0.872002397445789	0.848385331143952	0.580733442802408	0.712096332785988	0.800766283524904	0.0552818828680898	0.810071154898741	0.875752599890531	0.621237000547345	0.773946360153257	0.813902572523262	0.672687465790914	0.632731253420909	0.67487684729064	0.812260536398467	0.788177339901478	0.869731800766284	0.824206038163323	0.665024630541872	0.724685276409414	0.778325123152709	0.836891078270389	0.643130815544609	0.777230432402846	0.760810071154899	0.749863163656267	0.532567049808429	0.891625615763547	0.794745484400657	0.615216201423098	0.517788724685276	0.67816091954023	0.632183908045977	0.724685276409414	0.659551176792556	0.75424192665572	0.673782156540777	0.770114942528736	0.884510125889436	0.705528188286809	0.747673782156541	0.478927203065134	0.713191023535851	0.857142857142857	0.745484400656815	0.755883962780514	0.700602079912425	0.611384783798577	0.638752052545156	0.917898193760263	0.779419813902572	0.517788724685276	0.789272030651341	0.881438304480994	0.620689655172414	0.607006020799124	0.707170224411604	0.722580837841115	0.75424192665572	0.698412698412698	0.689655172413793	0.656814449917898	0.852216748768473	0.769020251778873	0.644772851669403	0.740010946907499	0.808976464148878	0.614479272211209	0.650793650793651	0.616310892172961	0.613026819923372	0.703886152162014	0.746031746031746	0.474548440065682	0.804597701149425	0.766283524904215	0.774493705528188	0.730706075533662	0.712096332785988	0.81757219870596	0.810618500273673	0.680350301039956	0.820470717022441	0.742277917600957	0.67816091954023	0.261083743842365	0.631933620097895	0.641850286563601	0.604269293924466	0.762452107279693	0.802408319649699	0.687465790914067	0.737821565407772	0.75424192665572	0.715927750410509	0.715927750410509	0.73015873015873	0.731800766283525	0.613026819923372	0.153256704980843	-0.132485628710038	0.830777780660306	0.658596580444497	0.817186644772852	0.691297208538588	0.702791461412151	0.343108022841886	0.275314723590586	0.786535303776683	0.324630113077567	0.500821018062397	0.728516694033935	0.744389709906951	0.810618500273673	0.868089764641489	0.712096332785988	0.774493705528188	0.740010946907499	0.715380405035577	0.603721948549535	0.631933620097895	0.860372370240995	0.757525998905309	0.684181718664477	0.832512315270936	0.641850286563601	0.651697797617511	0.701519097851817	0.730706075533662	0.857690202517789	0.851669403393541	0.75424192665572	0.736726874657909	0.642036124794745	0.715927750410509	0.198686371100164	0.715927750410509	0.784893267651888	0.628899835796388	0.76135741652983	0.684729064039409	0.590038314176245	0.841384981192542	0.787982397788172	0.150602432222534	0.796387520525452	0.432950191570881	0.775588396278051	0.722858426950524	0.701519097851817	0.703886152162014	0.552574014954679	0.621784345922277	0.810071154898741	0.591133004926108	0.817186644772852	0.774493705528188	0.730706075533662	0.878520080176342	0.721948549534756	0.613026819923372	0.739463601532567	0.712506531624737	0.723590585659551	0.859157795640921	0.609195402298851	0.719857677467919	0.790448563283772	0.81992337164751	0.706622879036672	0.716475095785441	0.773946360153257	0.324630113077567	0.351329461088896	0.598795840175151	0.854406130268199	0.540229885057471	0.657999185031513	0.736726874657909	-0.316503892451983	0.684729064039409	0.821018062397373	0.819376026272578	0.800766283524904	0.759395226869052	0.817003823024736	0.764319709030367	0.353907215576433	0.375333561631915	0.552574014954679	0.607553366174056	0.432950191570881	0.640941434044882	0.859157795640921	-0.42346042234431	0.657999185031513	0.721948549534756	0.541759136980078	0.353907215576433	0.716475095785441	0.846195949644226	0.722858426950524	-0.327516510677368	0.386038186068606	0.796387520525452	0.725779967159278	0.729064039408867	-0.0147049382810508	0.621784345922277	0.840175150519978	0.792008757525999	0.761461619283556	0.797482211275315	0.0060207991242474	0.613064877056187	0.185550082101806	0.00183811728513135	0.803886691529764	0.654777438073439	0.571975916803503	0.875752599890531	0.777777777777778	0.823207443897099	0.62287903667214	-0.0623973727422003	0.834154351395731	0.543314599445419	0.824302134646962	0.885752041051052	0.598795840175151	0.802955665024631	0.684729064039409	0.778325123152709
DDIT3	0.730706075533662	0.827586206896552	1	0.60207991242474	0.829228243021347	0.850027367268747	0.286808976464149	0.876299945265463	0.606790890554792	0.953475643130816	0.689107827038861	0.811713191023536	0.777230432402846	0.764094143404488	0.651888341543514	0.841817186644773	0.805692391899289	0.838533114395183	0.466092219828811	0.790366721401204	0.866995073891626	0.876847290640394	0.302681992337165	0.827586206896552	0.82703886152162	0.774493705528188	0.380952380952381	0.900383141762452	0.717569786535304	0.827586206896552	0.594417077175698	0.895457033388068	0.875752599890531	0.864258347016968	0.807334428024083	0.881773399014778	0.642036124794745	0.592775041050903	0.886852012539473	0.845648604269294	0.726874657909141	0.842911877394636	0.863711001642036	0.166940339354132	0.906403940886699	0.817733990147783	0.603174603174603	0.831964969896004	0.942528735632184	0.772304324028462	0.827586206896552	0.818281335522715	0.896551724137931	0.866995073891626	0.679255610290093	0.866374719185632	0.777230432402846	0.857690202517789	0.85112205801861	0.864805692391899	0.729611384783799	0.845648604269294	0.820470717022441	0.854953475643131	0.67816091954023	0.689107827038861	0.87903667214012	0.696770662287904	0.64696223316913	0.828133552271483	0.786535303776683	0.85112205801861	0.788724685276409	0.862068965517241	0.764094143404488	0.833059660645868	0.808429118773946	0.82703886152162	0.824849480021894	0.650246305418719	0.805692391899289	0.666666666666667	0.862068965517241	0.80952380952381	0.877941981390257	0.800766283524904	0.813902572523262	0.826491516146689	0.88943623426382	0.584564860426929	0.836343732895457	0.845033468376022	0.749315818281335	0.744937055281883	0.812807881773399	0.625501274894523	0.863163656267104	0.74384236453202	0.810618500273673	0.796387520525452	0.917350848385331	0.82703886152162	0.779967159277504	0.753694581280788	0.766283524904215	0.693034083402575	0.711548987411056	0.830870279146141	0.516146688560482	0.839080459770115	0.828133552271483	0.624521072796935	0.871373836891078	0.781061850027367	0.786535303776683	0.812807881773399	0.865353037766831	0.861913241956836	0.869184455391352	0.816091954022988	0.898193760262726	0.81155718991038	0.828133552271483	0.389162561576355	0.694082009193684	0.662378547327895	0.626710454296661	0.880678708264915	0.831964969896004	0.719211822660098	0.831964969896004	0.749315818281335	0.807881773399015	0.854953475643131	0.875205254515599	0.78544061302682	0.516146688560482	0.00875752599890531	-0.278219820291079	0.79244261609457	0.597921853602877	0.834154351395731	0.77504105090312	0.822112753147236	0.297616064541763	0.179529282977559	0.841817186644773	0.404243417764666	0.721401204159825	0.755883962780514	0.818281335522715	0.869184455391352	0.893814997263273	0.865353037766831	0.786535303776683	0.796934865900383	0.735632183908046	0.83032293377121	0.694082009193684	0.848609466741607	0.853858784893268	0.706075533661741	0.854953475643131	0.662378547327895	0.807229036712782	0.632817851827312	0.874657909140668	0.885057471264368	0.893267651888342	0.749315818281335	0.831417624521073	0.768472906403941	0.852216748768473	0.201970443349754	0.854953475643131	0.769020251778873	0.720306513409962	0.917898193760263	0.815544608648057	0.714833059660646	0.869577125975506	0.897070614488291	0.027929905612179	0.865353037766831	0.530925013683634	0.841269841269841	0.648079968990125	0.632817851827312	0.840175150519978	0.687842381350919	0.815544608648057	0.905856595511768	0.794198139025725	0.834154351395731	0.907498631636562	0.874657909140668	0.895963119902503	0.844006568144499	0.516146688560482	0.893814997263273	0.687207187391052	0.84783798576902	0.928996435299855	0.65407772304324	0.791843445214711	0.778591834834515	0.822112753147236	0.857142857142857	0.777230432402846	0.796934865900383	0.404243417764666	0.341463735192484	0.785987958401751	0.816091954022988	0.67487684729064	0.793211995932331	0.831417624521073	-0.205008203065489	0.815544608648057	0.942528735632184	0.854953475643131	0.906403940886699	0.777462622601253	0.792254464535263	0.825432399999808	0.477350490305723	0.502356928559747	0.687842381350919	0.657909140667761	0.530925013683634	0.593322386425835	0.928996435299855	-0.376447393283394	0.793211995932331	0.844006568144499	0.423641127821206	0.477350490305723	0.813355227148331	0.908045977011494	0.648079968990125	-0.275267864977368	0.440761626928871	0.865353037766831	0.870279146141215	0.731253420908593	0.0361496399409166	0.815544608648057	0.932129173508484	0.907498631636562	0.854796778225214	0.869184455391352	-0.146141215106732	0.576291961422557	0.307060755336617	-0.0631086934561764	0.837279329039683	0.609771780133772	0.729064039408867	0.876299945265463	0.790366721401204	0.87192118226601	0.845101258894362	0.166940339354132	0.930487137383689	0.672937879516153	0.890530925013684	0.831853438118421	0.785987958401751	0.813355227148331	0.789272030651341	0.909140667761357
NDRG1	0.741652983032293	0.762999452654625	0.60207991242474	1	0.466338259441708	0.521620142309797	0.143404488232074	0.759168035030104	0.78970439005416	0.598795840175151	0.818828680897646	0.333880678708265	0.447181171319102	0.365079365079365	0.747673782156541	0.702791461412151	0.538587848932676	0.70935960591133	0.52842171194793	0.457580733442802	0.507389162561576	0.684181718664477	0.41160372194855	0.67487684729064	0.580733442802408	0.397372742200328	0.477832512315271	0.489326765188834	0.685823754789272	0.313081554460865	0.717569786535304	0.547892720306513	0.656814449917898	0.423645320197044	0.713738368910783	0.563765736179529	0.670498084291188	0.550629447181171	0.750180555103158	0.740010946907499	0.326765188834154	0.458128078817734	0.556650246305419	0.227148330596606	0.574165298303229	0.888341543513957	0.398467432950192	0.452654625068418	0.544608648056924	0.368910782703886	0.313081554460865	0.349206349206349	0.514504652435687	0.507389162561576	0.782703886152162	0.525739399758664	0.447181171319102	0.374931581828134	0.412698412698413	0.570333880678708	0.300492610837438	0.417077175697865	0.526546250684182	0.482758620689655	0.271483305966065	0.818828680897646	0.538587848932676	0.372742200328407	0.284619594964423	0.420361247947455	0.359605911330049	0.361247947454844	0.409961685823755	0.457033388067871	0.413793103448276	0.589490968801314	0.532019704433498	0.447181171319102	0.469622331691297	0.302134646962233	0.538587848932676	0.776135741652983	0.486042692939245	0.528735632183908	0.425287356321839	0.339901477832512	0.287903667214012	0.753147235905857	0.493705528188287	0.263273125342091	0.472906403940887	0.743541198022766	0.349753694581281	0.215106732348112	0.398467432950192	0.419758792058846	0.488232074438971	0.274220032840723	0.42200328407225	0.339354132457581	0.568144499178982	0.476737821565408	0.372194854953476	0.497536945812808	0.545703338806787	0.249897361037342	0.325670498084291	0.318555008210181	0.129720853858785	0.419813902572523	0.528188286808977	0.150519978106185	0.593322386425835	0.40831964969896	0.523809523809524	0.367816091954023	0.431308155446087	0.410291505142362	0.543513957307061	0.326765188834154	0.599890530925014	0.616809005077441	0.420361247947455	0.108921729611385	0.161695808797895	0.412754896434077	0.488232074438971	0.401204159824849	0.586754241926656	0.275314723590586	0.476190476190476	0.520525451559934	0.451559934318555	0.441160372194855	0.415982484948002	0.499178981937603	0.129720853858785	0.201423097974822	0.436183454522278	0.624863182421496	0.425826264743008	0.660645867542419	0.355227148330597	0.457033388067871	0.596602368791362	0.421455938697318	0.596606458675424	0.162658217334848	0.188286808976464	0.548987411056377	0.451012588943623	0.543513957307061	0.594417077175698	0.431308155446087	0.523809523809524	0.505747126436782	0.477285166940339	0.310892172961138	0.161695808797895	0.552856464471265	0.437328954570334	0.60207991242474	0.579091406677614	0.412754896434077	0.226177470937842	0.436841389064182	0.354679802955665	0.645867542419266	0.571975916803503	0.520525451559934	0.495894909688013	0.382047071702244	0.396825396825397	0.126984126984127	0.441160372194855	0.727969348659004	0.34592227695676	0.498084291187739	0.48440065681445	0.316912972085386	0.540851243603273	0.42500104729615	0.124315462234601	0.480569239189929	0.297755883962781	0.354132457580733	0.383694709384819	0.436841389064182	0.370552818828681	0.236582729891399	0.334428024083197	0.526546250684182	0.362889983579639	0.660645867542419	0.470169677066229	0.354679802955665	0.682493538491863	0.376573617952928	0.129720853858785	0.419266557197592	0.3657405199	0.458675424192666	0.603462857787601	0.303229337712096	0.602983446183204	0.447168044371962	0.510673234811166	0.406130268199234	0.504652435686919	0.444444444444444	0.162658217334848	-0.00301452735723701	0.35303776683087	0.691844553913519	0.258347016967707	0.430546055763132	0.495894909688013	-0.440587804833727	0.48440065681445	0.508483853311439	0.551176792556103	0.455938697318008	0.413291677374087	0.629183691376842	0.378460207304029	0.122622144298718	0.40319675179673	0.236582729891399	0.421455938697318	0.297755883962781	0.220580186097427	0.603462857787601	-0.248105255555054	0.430546055763132	0.376573617952928	0.178826706603655	0.122622144298718	0.456486042692939	0.561029009304871	0.383694709384819	-0.39241482849421	0.0684043010753308	0.480569239189929	0.401751505199781	0.538040503557745	-0.0490164609368361	0.334428024083197	0.637110016420361	0.459770114942529	0.416860548586936	0.457033388067871	-0.113300492610837	0.267838549689722	0.112205801860974	-0.0655595165030182	0.61037362005835	0.444568084525973	0.197044334975369	0.759168035030104	0.655719759168035	0.527640941434045	0.351395730706076	-0.185550082101806	0.556102900930487	0.330401467073915	0.51559934318555	0.730931054055789	0.35303776683087	0.579091406677614	0.388615216201423	0.512862616310892
HERPUD1	0.550629447181171	0.733990147783251	0.829228243021347	0.466338259441708	1	0.851669403393541	0.158182813355227	0.719211822660098	0.538335239544549	0.821565407772304	0.65407772304324	0.830870279146141	0.953475643130816	0.545703338806787	0.542966611932129	0.885604816639299	0.736179529282978	0.856048166392994	0.599576618880376	0.980842911877394	0.941434044882321	0.793103448275862	0.483305966064587	0.822112753147236	0.943076081007115	0.834701696770662	0.418171866447729	0.924466338259442	0.565955117679256	0.907498631636562	0.386973180076628	0.906951286261631	0.92391899288451	0.897099069512863	0.741652983032293	0.908593322386426	0.38752052545156	0.857142857142857	0.77850482093	0.869731800766284	0.834701696770662	0.928845101258894	0.940339354132458	0.100164203612479	0.956212370005473	0.753694581280788	0.417624521072797	0.917350848385331	0.923371647509578	0.666119321291735	0.907498631636562	0.927750410509031	0.964969896004379	0.941434044882321	0.661193212917351	0.812705488793602	0.953475643130816	0.745484400656815	0.790366721401204	0.967706622879037	0.721401204159825	0.88943623426382	0.972632731253421	0.991242474001095	0.897646414887794	0.65407772304324	0.912424740010947	0.918445539135194	0.807881773399015	0.669950738916256	0.91351943076081	0.769567597153804	0.713738368910783	0.883415435139573	0.93431855500821	0.873015873015873	0.722495894909688	0.986863711001642	0.984126984126984	0.910782703886152	0.736179529282978	0.714285714285714	0.936507936507937	0.742200328407225	0.935960591133005	0.857690202517789	0.804597701149425	0.842364532019704	0.905309250136836	0.496989600437876	0.707170224411604	0.700517300807799	0.961138478379858	0.62616310892173	0.946907498631636	0.513528824450441	0.964422550629447	0.55008210180624	0.966611932129173	0.712096332785988	0.937055281882868	0.723590585659551	0.677613574165298	0.633825944170772	0.654625068418172	0.60134118532206	0.636015325670498	0.64696223316913	0.44991789819376	0.930487137383689	0.749863163656267	0.675971538040504	0.805145046524357	0.733990147783251	0.648604269293924	0.744937055281883	0.810071154898741	0.740933358519262	0.756431308155446	0.698412698412698	0.86863711001642	0.806449040800008	0.669950738916256	0.254515599343186	0.652558085505789	0.57479130140024	0.825396825396825	0.85823754789272	0.744389709906951	0.620142309797482	0.980295566502463	0.658456486042693	0.720306513409962	0.957854406130268	0.887794198139026	0.72304324028462	0.44991789819376	0.0569239189928845	-0.377074481713185	0.732201643205556	0.55489795638791	0.710454296661193	0.617952928297756	0.740010946907499	0.380378542894998	0.368910782703886	0.922276956759715	0.498612636682563	0.852764094143404	0.604269293924466	0.686918445539135	0.756431308155446	0.880131362889984	0.810071154898741	0.648604269293924	0.875205254515599	0.956212370005473	0.797482211275315	0.652558085505789	0.754506238746498	0.790914066776136	0.887794198139026	0.779967159277504	0.57479130140024	0.633077860542725	0.523060084274218	0.76464148877942	0.944170771756978	0.806787082649152	0.658456486042693	0.903667214012042	0.95511767925561	0.808976464148878	0.176792556102901	0.957854406130268	0.573617952928298	0.944170771756978	0.769567597153804	0.752599890530925	0.930487137383689	0.78335843076547	0.780783682980549	0.261226764255086	0.883962780514505	0.523262178434592	0.78544061302682	0.55341660273314	0.523060084274218	0.748221127531472	0.773822679019784	0.902572523262178	0.973180076628352	0.718117131910235	0.710454296661193	0.81992337164751	0.76464148877942	0.884334426751729	0.719211822660098	0.44991789819376	0.762999452654625	0.537336072093684	0.985769020251779	0.826946504696188	0.573617952928298	0.602436025896156	0.646474003542799	0.805145046524357	0.777230432402846	0.64696223316913	0.772851669403394	0.498612636682563	0.281721283930877	0.675971538040504	0.754789272030651	0.689107827038861	0.868755995544934	0.903667214012042	-0.0890167197521203	0.752599890530925	0.876299945265463	0.967706622879037	0.869184455391352	0.673010491024469	0.729556089695263	0.754179935192387	0.431367186193704	0.667077552769386	0.773822679019784	0.905309250136836	0.523262178434592	0.503557744937055	0.826946504696188	-0.348994529598187	0.868755995544934	0.719211822660098	0.217099581079715	0.431367186193704	0.80623973727422	0.768472906403941	0.55341660273314	-0.278842772314737	0.434218606826013	0.883962780514505	0.766830870279146	0.722495894909688	0.314318055757461	0.902572523262178	0.753147235905857	0.789819376026273	0.721499938329063	0.810618500273673	0.0114942528735632	0.49506223733633	0.181171319102354	0.264688889058915	0.803339271242716	0.570254617064797	0.631636562671045	0.719211822660098	0.580733442802408	0.962233169129721	0.747673782156541	0.438970990695129	0.887794198139026	0.699414123956133	0.77504105090312	0.753755462440526	0.675971538040504	0.75424192665572	0.947454844006568	0.956212370005473
