""	PTGER2	CXCR4	CD2	PTGDR	CD44	CLEC2D	GPR171	RPSA	CD69	CD3D	SELL	CD3G	TNFRSF14	PTPRC	ITGA4	CD8B	NCL	KLRD1	SLC16A7	LAG3	CD8A	CD247	ITGB1	CD96	TNFRSF1B	TIGIT	CD6	SIRPG	ADRB2	CCR2	ACTR2	S1PR4	ITGA6	NCR3	SORL1	CD46	CXCR3	CD47	TGFBR3	PTPRA	VSIR	S1PR1	TNFRSF25	NOTCH2	NCSTN	PTPRZ1	LRP10	LAMP1	EGFR	CX3CR1	RYK	CD63	JMJD6	PILRB	APP	TSPAN14	STX4	RACK1	CD74	ATP5F1B	TSPAN5	IL6R	SMAP1	CD81	PTGER4	TNFRSF1A	CANX	HLA.DPB1
PTGER2	1	0.970051986655074	0.988438602313713	0.928153408176251	0.873879459080812	0.960889285088067	0.987473976570376	0.933194738439695	0.966118247406299	0.996177234417443	0.911843000453707	0.990860962276799	0.845475088477191	0.981824347822952	0.956222168195234	0.993965127823835	0.922329911370233	0.913418639602931	0.984815336915316	0.903989572244528	0.987764155926602	0.979420172189908	0.916304506361732	0.986330632299099	0.910114329051033	0.997569562611687	0.936213765564366	0.964002890245731	0.904731065577109	0.893114352937139	0.891695132176969	0.9618471491707	0.932783449217081	0.839395379513459	0.733435690570967	0.830669246831577	0.978092603432942	0.907684208205297	0.993163508451592	0.867874254204043	0.813940044044436	0.847873071419758	0.965765429926704	0.587287699655142	0.781710212636128	-0.728500446931386	0.806552059396414	0.885787696824813	-0.76087761977399	0.649912408513669	0.960701459216607	0.118520208180725	0.83288897182814	0.892656962266977	-0.512449816606424	0.979447560625647	0.886719926808336	0.915790856810554	0.754535914777678	0.541707127850949	0.709077646829142	0.945442133458712	0.851295372500384	0.669059491827035	0.973460052505962	0.7768960928768	0.271334223993872	0.769750672533795
CXCR4	0.970051986655074	1	0.971088400556638	0.825931098552871	0.961511928106748	0.996248677961427	0.990781054625807	0.990965532708005	0.997961174150766	0.971406661720244	0.983590828429188	0.988061138174531	0.941529985585808	0.980948208831483	0.995563556581123	0.964915699139769	0.942911882643774	0.791914896985857	0.979367784206774	0.782354426321477	0.933137709911856	0.906288442232485	0.975288043003519	0.992568281820801	0.878351708894251	0.971536360170846	0.986151754364758	0.993240885180415	0.845733275515248	0.969928758493048	0.832542352231062	0.998292195738727	0.863888060433366	0.691505319910207	0.682895398038185	0.775371164511654	0.994589185568275	0.955223232332943	0.957227315241884	0.925103977998589	0.734881509355517	0.940716951087084	0.991992205593017	0.515460009355196	0.861332637596721	-0.761144042619158	0.701151537507737	0.925245932751202	-0.792044515381531	0.549741737032331	0.903634923354335	0.109981185184564	0.744807292829782	0.88049562228053	-0.560026303805359	0.962276204804926	0.949056079062912	0.974201551188513	0.792281637064308	0.635585327183736	0.695507748675337	0.978040440926312	0.901344309558631	0.637454935090981	0.976132395818233	0.694371320770591	0.207538386050205	0.772314319046323
CD2	0.988438602313713	0.971088400556638	1	0.929446441439838	0.88194393282477	0.954311998766662	0.987764212999874	0.941736405047277	0.962522042928781	0.989761387946566	0.917466386112257	0.990364302769574	0.858443304616168	0.987829203266597	0.958442555538285	0.990428316951063	0.93593030504524	0.896573215352296	0.980753957859395	0.896764541449509	0.983942582345861	0.960530451999515	0.92245676524589	0.981064092536543	0.938366841867529	0.989310165125283	0.927338059064186	0.978174893099245	0.918502470534373	0.916905151731231	0.911590136039523	0.964135572996948	0.911022182894036	0.825340256916112	0.74420785569031	0.803526646116798	0.980368612292246	0.907273056211326	0.984603434153962	0.857266735547787	0.842202842529506	0.848799704598022	0.964945741465406	0.577210760230889	0.769065059479768	-0.748527365381264	0.784668262032578	0.909800761706873	-0.772429089091546	0.675423015412526	0.943611990479027	0.192617756866654	0.819225064182173	0.887401252719065	-0.55584150189641	0.977613868030473	0.904389939499286	0.935953135682816	0.805806946345687	0.598242259681976	0.701107823482673	0.948790629046746	0.872862776503605	0.717898118463037	0.990069126513282	0.790892900756615	0.270382526799982	0.824168730984569
PTGDR	0.928153408176251	0.825931098552871	0.929446441439838	1	0.663508227000449	0.798527990068483	0.885024358237832	0.7577117638183	0.813811164458052	0.92118359135574	0.715795952734858	0.892505961595163	0.631349380793143	0.893126461381104	0.797410490856138	0.935250902774804	0.814124954653789	0.990409321269196	0.89036761285044	0.992829574018029	0.968687310083166	0.965150482775402	0.742778979611796	0.866311651749534	0.907170594361264	0.927301018769523	0.753681271387151	0.838986414251401	0.931569562681901	0.718367659500573	0.919148894802852	0.813384728040636	0.915245851721849	0.963081201000673	0.753430823077972	0.800645930002261	0.849950378670897	0.74362515474066	0.942979329796094	0.671422658552473	0.892863824757522	0.622966417314228	0.828998927631658	0.627078312963328	0.564532213498712	-0.631780350474587	0.863207671921004	0.76963001922516	-0.650435210835782	0.772043604483023	0.924329659793422	0.20185502410225	0.854139508541283	0.824083686011723	-0.439034930083292	0.903807906271514	0.724810680126937	0.754186852409284	0.687336216555234	0.408022163765858	0.654603328668555	0.803054784526313	0.703649830866353	0.70891750280618	0.89203924136521	0.847307753831048	0.328283738534444	0.759240862782029
CD44	0.873879459080812	0.961511928106748	0.88194393282477	0.663508227000449	1	0.970257049454134	0.92948919828033	0.982388564947047	0.965637953123652	0.870695316139322	0.991216633233503	0.909785573314486	0.995441861344088	0.916337512088862	0.969089946799134	0.860142995575217	0.907510677674199	0.615264489284096	0.911008714520334	0.5972694393484	0.806437772227593	0.76353437873595	0.987655228165229	0.934645208953395	0.775739332774982	0.879644628411432	0.980742679711662	0.948679518698825	0.728142738934037	0.987633535968811	0.709845553896259	0.968718921882235	0.752019963749716	0.47802885204996	0.602879224333544	0.703286151914781	0.939291532023009	0.961952200714395	0.859059693252663	0.93871081435703	0.582485850928941	0.993592818587252	0.964136983507823	0.448806593438928	0.921635694609	-0.716067826320359	0.573598678372786	0.914334432574055	-0.743623842664939	0.400516190666981	0.781143273427133	0.0749842414311788	0.58991287363264	0.842074128991266	-0.495784991713333	0.884415757563836	0.947745678701303	0.963835153293751	0.770423845555822	0.68652359304781	0.662793767257306	0.953318934835184	0.869502656078735	0.557126961862578	0.904627803830244	0.572110803811419	0.144209287242651	0.699397332101091
CLEC2D	0.960889285088067	0.996248677961427	0.954311998766662	0.798527990068483	0.970257049454134	1	0.984878312143892	0.990031196894344	0.998993163048276	0.959643162786854	0.986694066948237	0.978010261725992	0.951374829117978	0.968087957918624	0.992924335165514	0.94982038451447	0.934728454023587	0.768480706748801	0.972339562806457	0.753372554150953	0.914852444634772	0.891780854108119	0.979767171285752	0.990757650595051	0.841569624138817	0.962822106263627	0.995287661973179	0.98462466335423	0.812331492660923	0.966242234854416	0.795414429675847	0.996307700849608	0.855163674010134	0.659092815716839	0.654564243015151	0.773963040165228	0.988250898243878	0.961593420315113	0.946018682070379	0.937285618161215	0.684808488402962	0.95810290650894	0.993517515927804	0.501079280140211	0.880846799697755	-0.749994581087189	0.686417284611964	0.910109513875462	-0.782142914231989	0.499672886627267	0.887458939338516	0.0614847801454351	0.715559713853171	0.878124414958499	-0.531598461605203	0.949728403865547	0.942375767791872	0.96571662175283	0.75834853218419	0.622532260368061	0.703814056665005	0.972649548813471	0.883487240282426	0.593199222044864	0.957165335562608	0.657507437550152	0.181434706446293	0.726650152107317
GPR171	0.987473976570376	0.990781054625807	0.987764212999874	0.885024358237832	0.92948919828033	0.984878312143892	1	0.968778489380078	0.989675585594829	0.985927340102946	0.955549614486461	0.99477627489251	0.905899827614291	0.985300185320429	0.977495147388762	0.984825197541177	0.943941122705711	0.854104150912573	0.987613764256648	0.845806822516177	0.965559231771389	0.941386884263307	0.955318589445206	0.995266853452814	0.891938417281342	0.991494036338855	0.970851606866931	0.989620595080265	0.872767549447331	0.942753436537327	0.854729853896464	0.989493828754171	0.893604455589804	0.761505587633106	0.692981698555354	0.798703951307154	0.989405159712478	0.94131374804882	0.981963347143471	0.898804491599468	0.763803742145626	0.909173969315268	0.990102331974811	0.534120703763342	0.827841918793122	-0.757557265179751	0.750931067544448	0.905137435647818	-0.782637127702456	0.581227287864633	0.924958935807648	0.104597856767196	0.769331935781128	0.893144457571118	-0.545179519604368	0.970477033917735	0.924954270116096	0.949276353202061	0.767778608138493	0.601622324517926	0.724830174540261	0.962086093009297	0.868375243723929	0.642243727407015	0.979454061404917	0.725314824026679	0.210420480297091	0.764857587103804
RPSA	0.933194738439695	0.990965532708005	0.941736405047277	0.7577117638183	0.982388564947047	0.990031196894344	0.968778489380078	1	0.989914744914561	0.936578377430832	0.994790414915591	0.962384912742763	0.968717588988133	0.960160556747887	0.993279293399738	0.925351232570871	0.940228029936843	0.714390651022028	0.956656008093631	0.705635072198591	0.883326556662374	0.849808151606575	0.98559835256801	0.973607859332524	0.84781829827222	0.935001828590568	0.986963255241604	0.984838044327614	0.798991642223766	0.986390060329967	0.794492094442819	0.9913181732823	0.820032102551299	0.603369082093401	0.65340183906005	0.735719522868351	0.980844360280516	0.96703193607906	0.915686143479461	0.94916550673073	0.684482985437577	0.964972784365841	0.982612165799209	0.486786420190135	0.889873617840403	-0.742173903494525	0.643282935532359	0.930928739458388	-0.767165558744094	0.50080299176559	0.859767927114659	0.150698094005781	0.688502700663151	0.856379762851016	-0.545717268810212	0.938748042755348	0.969307992011139	0.989556952695695	0.804617641986243	0.703402347012816	0.694309652104367	0.97529041163	0.912113869597006	0.632920994811134	0.957206439008293	0.657639865031142	0.211205635452321	0.766168838865155
CD69	0.966118247406299	0.997961174150766	0.962522042928781	0.813811164458052	0.965637953123652	0.998993163048276	0.989675585594829	0.989914744914561	1	0.966459397061418	0.9846246344112	0.983735342154457	0.945661929981508	0.971959154893158	0.992177366619784	0.958267723676917	0.938219964641211	0.781430712777566	0.9757185585513	0.768871417669112	0.925047616858761	0.900747566904871	0.976380080467382	0.992474225287421	0.851744887225166	0.969070877872464	0.99319683630498	0.989449594708165	0.821395133726435	0.965361232827198	0.805629921136372	0.998096522131749	0.859747935431816	0.676359474516992	0.655457505555217	0.771968128568494	0.99071192942834	0.957901947152171	0.952996418244572	0.931248127633921	0.699149969785118	0.951633194553092	0.994347495425799	0.498344074319827	0.869771055813722	-0.759842959414424	0.691180155239494	0.909464568956219	-0.789068463872056	0.511098422675264	0.893501297778718	0.0721591381900119	0.721332228599987	0.877295552780302	-0.545881965667763	0.953276094076526	0.944195003616698	0.966806326459284	0.762434203738259	0.626017256899584	0.707827905748951	0.970746365751834	0.884884831095531	0.602172232481407	0.963821772509923	0.665468548632579	0.179147447784181	0.737315266856525
CD3D	0.996177234417443	0.971406661720244	0.989761387946566	0.92118359135574	0.870695316139322	0.959643162786854	0.985927340102946	0.936578377430832	0.966459397061418	1	0.915193117027248	0.995260169068623	0.839411883278514	0.975957817792272	0.956451538860683	0.995983586171355	0.916672344845377	0.902786548207536	0.981658502339372	0.898871614238811	0.987706573569531	0.978571706576215	0.907327439192812	0.985536210215762	0.905402943051265	0.99495670246344	0.933926711897882	0.970073663933851	0.890609044586018	0.893151298296603	0.883393773448384	0.96291924834802	0.916034273827742	0.837804953442834	0.704187979687001	0.797088437651204	0.981572722526899	0.897028900124204	0.988215792241642	0.860662037962482	0.809205987759492	0.842228241861888	0.95976568551116	0.547579226289769	0.763255492076938	-0.749011840274836	0.776703157852892	0.87468655399398	-0.778901546398667	0.633189152256536	0.954743507384729	0.123990521679845	0.824894531898371	0.867782714442728	-0.562984140426552	0.971934679072228	0.886867010162115	0.919940404899129	0.748178294433394	0.549828273504276	0.693878731066568	0.937021001609922	0.861318091485814	0.657212597188646	0.974161700971093	0.75534490010997	0.244831928388516	0.770780959632114
