""	TREM2	ITGB2	CD4	CD93	PLAUR	LRP1	HLA.DPB1	C3AR1	CD68	ITGB1	SORL1	CD33	PTPRC	CD44	C5AR1	PTGER4	ITGA4	C1QBP	CD81	ABCA1	CD74	ITGAM	APLP2	NRP1	TLR4	FPR1	TLR1	CD47	LAIR1	HAVCR2	ITGA6	ADORA3	SDC2	MRC2	TNFRSF1A	SCARB1	PLXDC2	TSPAN15	SDC3	TNFRSF1B	AXL	CCR1	CD163	ENG	TNFRSF12A	TMIGD3	C5AR2	TNFRSF14	TNFRSF21	ITGAX	TLR2	CD63	STAB1	CD46	CD9	VSIR	UNC5B	LILRB2	RXRA	KCNQ3	LILRB1	RHBDF2	ADCY7	CANX	GPNMB	TFRC	TLR7	ASGR1	ITGB5	MERTK	SIGIRR	CD180	LPP	CADM1	PECAM1	SIRPA	SLC1A5	TREM1	ST14	THBD	ACKR3	TSPAN14	PTPRJ	PILRA	ADGRE2	ITGAV	FPR3	JAML	ALOX5	ITGA5	IL6R	TRPM2	AMFR	FZD1	CD69	CXADR	RACK1	SORT1	CXCR4	KCNN4	SMAP1	PLXNB2	IGF2R	MCFD2	ANTXR1	RYK	GPR84	TRADD	CD82	NCSTN	NOTCH2	ATP5F1B	SIGLEC10	NRP2	JMJD6	LAMP1	ADGRE5	IL2RG	PTPRA	ERAP1	LRP10	RPSA	CLEC2D
TREM2	1	0.943469385134112	0.830407647606783	0.777664285790939	0.904334871071508	0.699419078195991	0.812170386046695	0.952654235271764	0.857791252514476	0.921912061693623	0.929472327700543	0.938708868602653	0.936649901533427	0.659795834858167	0.671123006368426	0.765225502402469	0.859381319972043	0.826864041275174	0.825945480163692	0.232590306867077	0.900013886040113	0.759425437567368	0.900679806197751	0.749371599274648	0.705669784414289	0.953356421797339	0.915773423990124	0.920015979678897	0.948545107551619	0.950586604403013	0.818643482714456	0.973058284823159	0.497148421937745	0.771305214939815	0.937375540713254	0.672471407490901	0.888506085090127	0.90041450447193	0.479490237645399	0.878398172048668	0.886963635055885	0.840133504467211	0.86606617635709	0.876022451204071	0.761945656727633	0.819820377067923	0.289334179412243	0.710450554691824	0.314090030139642	0.556440567177395	0.885298273694763	0.917426076490189	0.641150814395528	0.873990746539109	0.834044003734239	0.871894319875804	0.892291402326736	0.868910906850948	0.576301096821019	0.756154984435731	0.932489047060994	0.94533157347791	0.866720881046541	0.88847864033249	0.184583405399513	0.68713297039879	0.818148653298168	0.572118076902554	0.587599326390793	0.660716969348664	0.82954409778016	0.564553138278107	0.844714789007231	0.786710396331972	0.843392731470688	0.853638480980561	0.861906792311654	0.539165917080973	0.805780967312656	0.736531052857792	0.245449307753821	0.759408725215115	0.7252788278532	0.764913338875845	0.865529532493704	0.886539241509871	0.677820153915907	0.534522425056063	0.882208426063595	0.501603768631835	0.687276882290002	0.875337719810891	0.643324739493493	0.738510711549277	0.80671427187915	0.862552904887986	0.864807419663915	0.79794997846632	0.606723370498098	0.727373622473625	0.77484724685146	0.703173146661378	0.429003900245153	0.849237069317329	0.709955558324261	0.633916813817522	0.893218024750399	0.905207875381537	0.607110714315144	0.859875003476407	0.609479223237626	0.868121298747687	0.877697236149995	0.466866905994749	0.767432052556175	0.906237475980766	0.726245568707778	0.715392491132388	0.847211521628377	0.744658968390294	0.912195814160494	0.823427365668679	0.681150210355443
ITGB2	0.943469385134112	1	0.844703448487726	0.81306816975104	0.928620388234139	0.66873368586398	0.689733270586983	0.901491841117766	0.825703142862436	0.928053777742736	0.892623722880906	0.94543287405067	0.937896327640621	0.770327004422011	0.590992862755658	0.714045254083464	0.912471725295522	0.910891772645743	0.79817257858643	0.302830412863413	0.794259089721033	0.836907443100329	0.903626892928907	0.772407990698392	0.65441620511786	0.92506535732255	0.879953801973193	0.945288864232783	0.893270145250343	0.926936700352799	0.807722139911645	0.914509517055903	0.462249365442689	0.801823261167224	0.910291692655881	0.663483800094834	0.863992005154397	0.896632090687011	0.390815322617231	0.855783093209017	0.789062989035037	0.876764210733405	0.790941411421213	0.891162950051995	0.868901115440143	0.77559893520493	0.310698219156739	0.736207114676166	0.307800557955049	0.523050593561355	0.842087136104179	0.943289591802175	0.611948237855127	0.860292592891253	0.847533230149156	0.830329416088447	0.88125380784625	0.838594975292415	0.684775606513106	0.766942071585105	0.885161689815511	0.900839930916006	0.835433822699128	0.940685018601178	0.306097559746426	0.586785839414041	0.749877764212132	0.718749829954818	0.581770304688977	0.581879386325299	0.887625978671362	0.741909205134976	0.823567928638335	0.802140359282924	0.781961814039381	0.871520831901217	0.899493060407117	0.675014890510514	0.839570642015441	0.75634718065897	0.275561291611219	0.729022454733856	0.724234651402802	0.666141609421782	0.835816849974799	0.844703315163318	0.637853180946209	0.602263684637771	0.911669217967664	0.63796037469277	0.7918387570837	0.852856723445877	0.659672630746062	0.744469381122879	0.775734128808791	0.831480072377297	0.929908606099213	0.804173644768225	0.547409971486282	0.835006599359828	0.855523186637432	0.738720441267221	0.434627830999239	0.900337389993447	0.796464238209251	0.614415788187966	0.882858975114615	0.917350122379024	0.679396236661442	0.864989626625306	0.621004089838146	0.936541145708334	0.751022220451852	0.523789489042023	0.825634895826214	0.871041139956868	0.793733872215087	0.775531084941424	0.864190941220296	0.728608835093214	0.878203853681065	0.921528121173952	0.697447410284516
CD4	0.830407647606783	0.844703448487726	1	0.910953469287176	0.895533337815903	0.866614117467486	0.559969093968392	0.72832704096339	0.809248962146341	0.915181032201368	0.865729226223743	0.803153951169731	0.806047723668518	0.808956769990233	0.700949322090961	0.781045451899001	0.829868930464024	0.763033078157415	0.958124133322152	0.511381268120873	0.670359258020084	0.918202560994687	0.942718025153053	0.90064118262793	0.799033712381237	0.734102229820727	0.779112619042497	0.858480434398313	0.872664948970123	0.823175300310555	0.891259741699926	0.842511330559782	0.57953775347441	0.862564545298251	0.872136520822043	0.813095273866889	0.872094950479487	0.900994176008999	0.72112169960761	0.822728215135824	0.667596517291962	0.895245824728747	0.909420619768403	0.945736033871511	0.766806752082846	0.817680881495666	0.566270684158041	0.738459114424729	0.548722540485466	0.624753534612032	0.831310635177748	0.856093824693731	0.890626079019016	0.823318851316343	0.701491657844209	0.629757652401906	0.891825821587491	0.803127591807461	0.822232025534694	0.822575715516655	0.871136820426623	0.859119166488943	0.89290550964675	0.92186028423739	0.324832240846185	0.75433997935095	0.810381335887094	0.627269477046279	0.824604524710513	0.834820631723506	0.818553487041858	0.637234961977019	0.881246273505198	0.808222265392703	0.871664614899661	0.936256727201185	0.716706361381261	0.681527290589122	0.900882689086328	0.890131578067049	0.552566186823052	0.862841145231536	0.893209724995155	0.560626654777986	0.875442002161103	0.901016746817852	0.863480055515351	0.368476589529806	0.818590741828426	0.763445811794291	0.819805766678442	0.874376508324435	0.784055107104729	0.840828109944203	0.749284111027422	0.756222662267533	0.825201438001078	0.801238376454862	0.408740302729113	0.688738241634605	0.761456447498042	0.899750767543833	0.607651159496926	0.862588131358033	0.732417436302967	0.747450233431284	0.812929895915728	0.819029224174122	0.747802930929311	0.87765605952333	0.680016670971334	0.767542318485631	0.669523082929617	0.677380944396442	0.757509291654382	0.84100884332749	0.83297990800622	0.753107494151354	0.882847539116148	0.852724051426976	0.872131699303674	0.812357868759999	0.813338632055253
CD93	0.777664285790939	0.81306816975104	0.910953469287176	1	0.812630112378671	0.732246952542566	0.507085895148549	0.666940252237545	0.659463596822346	0.828043100891379	0.803385943682376	0.797775652420396	0.765478392327207	0.742384014917901	0.509737222905487	0.698605966425496	0.873835943538361	0.79964496107802	0.880773976677615	0.302272360591883	0.617134900969568	0.883872620176595	0.840421747164192	0.823484117896676	0.649884609570857	0.722705622905219	0.72462134637176	0.823657521839737	0.818500146529291	0.734662404353566	0.835107138190696	0.79554155253578	0.355198990255064	0.834901942391227	0.789688139816121	0.718970256452178	0.833561711489703	0.87273328934194	0.60076021511685	0.703758951582863	0.608317409772704	0.784507975308598	0.808746324589533	0.910058585464327	0.753473376219847	0.708878490544604	0.405587358514312	0.58296666188492	0.451923759913147	0.416282960302068	0.791429034718616	0.781210223028899	0.85792223501657	0.72631860622874	0.571396151832921	0.608425391835355	0.872556113675297	0.756708055818568	0.756861508177045	0.778267373806884	0.815876629849583	0.801562044417195	0.859140693373097	0.869054444350257	0.115815732582541	0.625076144203119	0.747679266905235	0.716390438516729	0.712242551234906	0.716376702410557	0.753313951562535	0.614495456413097	0.821362745195386	0.704223248628869	0.781323271598939	0.89240937915713	0.733534030359833	0.586529534747188	0.893079876456009	0.830637135816884	0.469600346357686	0.745772219090254	0.825985666012077	0.398842603842634	0.809839383588627	0.837124360232003	0.818949052042036	0.356130486299731	0.840473046538181	0.720644783801684	0.753657808048659	0.860352763676634	0.640155227716295	0.757949628029365	0.677367954110695	0.634269986484212	0.797007665901796	0.723939725011901	0.32508079359177	0.761834592051206	0.69166731345363	0.865888879997629	0.473195881893898	0.801941701128988	0.78923930630741	0.64076954866051	0.771845866243747	0.747363235183009	0.59717028210379	0.803254746406321	0.565788188518021	0.78989522866756	0.581268674622273	0.492386259251522	0.678088377677745	0.711385503261602	0.747957851517464	0.653808944763338	0.816082242971874	0.82363623740823	0.778257638136601	0.817407252360559	0.706772508284046
PLAUR	0.904334871071508	0.928620388234139	0.895533337815903	0.812630112378671	1	0.815206493198446	0.634068005898533	0.832077070319693	0.908705545983468	0.953153288677445	0.883192831983888	0.875843324763135	0.865136935640773	0.829343050151095	0.738049013128155	0.770149719166723	0.811471877078166	0.805641435350224	0.893337471123899	0.522345735462933	0.733189705782052	0.862422440621585	0.953351511204971	0.859278783792798	0.785906384677857	0.821306767896974	0.822065217538302	0.904254610338744	0.88588094170706	0.89469279007056	0.827406025252928	0.883940900301845	0.636081283157782	0.800491082008609	0.911179957437452	0.780496162542161	0.858493821101798	0.901501089741993	0.599887646354396	0.886885353205369	0.750046466576774	0.909628646554165	0.872162519203462	0.928010518744765	0.825271608873414	0.86844505289226	0.469519157806324	0.796855152384833	0.503679416025959	0.682905938423287	0.836802162521839	0.940682854703413	0.722156227484921	0.864216090053517	0.864567016205552	0.731998472181873	0.866951761664987	0.828135880863966	0.767841032219732	0.777034699415313	0.859057089953821	0.892273860423246	0.845313623677935	0.937430815437352	0.459071278983617	0.714363062207373	0.805171524626623	0.641449651366011	0.745371454116115	0.755994811199213	0.874455669804808	0.680666709643634	0.87625660907654	0.831345255105313	0.856849768048055	0.9068924488025	0.801947333321625	0.74787068369437	0.848862199658785	0.808133296189806	0.452547968180079	0.850462969459463	0.824927349967547	0.716959316598372	0.869193788362773	0.881603488305869	0.739876536165539	0.492811372762634	0.832743985924921	0.706801956877607	0.833790077722258	0.837493165273167	0.774426873193877	0.815393197707758	0.781079854663012	0.879381551927695	0.876967358053224	0.818928931345646	0.520645475327677	0.73906022505291	0.864283933507301	0.797795244340471	0.587235850204358	0.909095408237913	0.695012843719201	0.752792618954887	0.879463348104102	0.891876363408862	0.798804273123712	0.881671567773604	0.688246566500456	0.82529872079258	0.72367952367321	0.689312074558969	0.841899048865252	0.931867502706222	0.844520860545649	0.777805193225784	0.889584819022291	0.755741008490418	0.908024743848522	0.842406648751355	0.775130711025768
LRP1	0.699419078195991	0.66873368586398	0.866614117467486	0.732246952542566	0.815206493198446	1	0.490865951965634	0.592001130759717	0.814691013135011	0.830874453504791	0.780845755213891	0.633991401294539	0.641709116656621	0.750082410371795	0.818592396971851	0.707950663456948	0.574251847540704	0.478280022060089	0.907494254428384	0.707669328243428	0.568251018888807	0.795919823399624	0.865006111402714	0.854343367037221	0.866665755616476	0.541404227363073	0.646088031630696	0.665872625476923	0.733431880114207	0.712445667254205	0.786524569307001	0.703976964566927	0.716048127350855	0.736844387788685	0.774652889614345	0.777281427434446	0.765490311892006	0.74502300030354	0.844076058516707	0.790558319486358	0.588123439594248	0.773755292598311	0.906248736976748	0.833647542313221	0.55913504660708	0.792400682317511	0.662844621187363	0.767743636918998	0.635679880694363	0.787795250844538	0.75032100479577	0.732326400285167	0.831303248157441	0.764019110415311	0.722846478017283	0.480384033347177	0.74400647228774	0.670438849183076	0.77107342104246	0.741069246625716	0.737413920430386	0.761764705935098	0.789380450975133	0.775324662437466	0.497353483605079	0.798902619997031	0.768620861091866	0.392070266531551	0.8909015038137	0.900250852406141	0.703241475911397	0.435052764246166	0.84475189886753	0.7745687105299	0.874129843048723	0.842659929180537	0.493838601637887	0.664907209753004	0.725472936340579	0.76879244997456	0.645339270590597	0.917476152123446	0.867506220318453	0.65339423822219	0.812379746432864	0.819869921807542	0.839634761487946	0.280158083996716	0.642229171920664	0.643723729169626	0.725440137127806	0.718373702529371	0.819539859813425	0.781237670672856	0.613523330210645	0.746623338407753	0.644830158414828	0.706177870091756	0.369857415993699	0.432366816940202	0.665541290819892	0.821927813749455	0.752310156187624	0.734211139198868	0.496834924652158	0.784885772823203	0.68366890909865	0.695138640686179	0.769425990360613	0.77579518351694	0.720734485421543	0.497304015216026	0.604628173484728	0.776784081525921	0.679682163910527	0.823470063789262	0.760302498653715	0.685546448094871	0.802726980037008	0.742304673544673	0.798977075132558	0.566014745383454	0.812914636379524
HLA-DPB1	0.812170386046695	0.689733270586983	0.559969093968392	0.507085895148549	0.634068005898533	0.490865951965634	1	0.870090297488206	0.686959091003908	0.690530374065053	0.805550075601168	0.765952564120332	0.842129699528542	0.509320976774324	0.702231097112675	0.79629116717282	0.656364202396145	0.576519123563486	0.537584426758731	0.00271608489224291	0.97813414188456	0.435136488583424	0.632677429959555	0.371054854719196	0.674546445271034	0.833738860361827	0.846612971153165	0.714178879033644	0.833108187933494	0.830649418259348	0.668412819395702	0.834854471403407	0.357340825550872	0.56821505380647	0.812372514513664	0.524231484654918	0.81934616213655	0.662034013133761	0.318021116029106	0.772347501444092	0.949922928838756	0.593544135319204	0.654912970664386	0.55358842074084	0.371202339353613	0.505783823775978	0.220197040756142	0.629257167910066	0.24815825302759	0.357225290331042	0.796239636508267	0.616527440327145	0.34539589700589	0.768807088979522	0.636125301736748	0.930887048233981	0.711470486958901	0.793309746214899	0.241372575380488	0.674345264050769	0.819469073605903	0.820362791058266	0.719778576034351	0.632990047127929	-0.0568393962769908	0.669873040784982	0.791811713192148	0.290456858606311	0.328970584646924	0.537285894779362	0.685680612337197	0.314139125111717	0.696587600368192	0.727339888779601	0.743844600483459	0.639441037209526	0.705306046095597	0.111980270616202	0.586762450694027	0.487311922787607	0.152475924618209	0.613632815789759	0.441875896348549	0.800398356706089	0.72866662646496	0.755832718068298	0.477080481517177	0.63584340579222	0.745287340834496	0.182461379874559	0.447623096590478	0.707535804194164	0.462090525198793	0.623641894866404	0.802075947091054	0.57479096577406	0.722384965710349	0.684910287281286	0.860687330904172	0.334744612293256	0.620411986307603	0.448243196835384	0.194819929520349	0.596043318550493	0.598241347299246	0.513625804454312	0.739048453806371	0.7527238367459	0.309067471373933	0.609481087779877	0.586854795820794	0.633867425901479	0.91546037488468	0.302263960672326	0.67663025464011	0.662711792100414	0.488827816349325	0.561935814777544	0.692860383185379	0.622075420495714	0.78816184302886	0.607610916426338	0.526844745046018
C3AR1	0.952654235271764	0.901491841117766	0.72832704096339	0.666940252237545	0.832077070319693	0.592001130759717	0.870090297488206	1	0.804602632747556	0.850670684296089	0.868743219681072	0.904174247866575	0.926308662539284	0.609404457428266	0.65170350386404	0.751667710736757	0.806875436207217	0.792904971186101	0.704861057717225	0.151995206461618	0.92813169682005	0.639537378637122	0.820741708914035	0.614713885451928	0.655503154971035	0.958335585258242	0.907042976423444	0.881207783535648	0.912915296409231	0.935101667965395	0.752681037114116	0.934565928500047	0.452005105934742	0.683928362751363	0.908331091617911	0.59740041367721	0.842243410182921	0.825102416085921	0.373821934354715	0.842404512346855	0.902461112238401	0.785410968914886	0.784558430432449	0.771950891957066	0.667105712298923	0.700668721236761	0.247370069071413	0.686548502877116	0.236598785063507	0.464315956362179	0.852353059146724	0.853989656258379	0.495154078161737	0.864083058977251	0.796187888586113	0.913480568098296	0.823593514495997	0.844092138133649	0.461189843098465	0.69795541579476	0.894718457997826	0.89637632388104	0.795926741786609	0.8218897137468	0.135501322845139	0.636750150965189	0.778893274028305	0.504701305791188	0.472458814031633	0.573790125568976	0.793699508781335	0.530396357661955	0.77111616910235	0.771641843278643	0.773407895089866	0.772053778454251	0.853538477532452	0.42089077138782	0.747882603850844	0.657824380776475	0.173702927179429	0.674030711528106	0.592182761093952	0.773987751891724	0.796274197526301	0.830858860956563	0.582204457674752	0.615938735675476	0.845356943318772	0.394150978306566	0.618580383546186	0.815861854613488	0.577631215724292	0.684101033749717	0.812621298743331	0.786034072337718	0.83555175574588	0.760974101482931	0.71620849128588	0.642916846405703	0.746971456574953	0.579397984398944	0.347503490631134	0.789184699181538	0.686129007966572	0.542311363232286	0.868929619981672	0.876670993584648	0.520070669158316	0.801663918752547	0.574029932406852	0.84417026604466	0.891138986722248	0.398372407854081	0.750616902530183	0.840146236861495	0.657302101770997	0.672079079019544	0.785064629498495	0.683342499496664	0.866374171736725	0.787746043126971	0.592105659408665
CD68	0.857791252514476	0.825703142862436	0.809248962146341	0.659463596822346	0.908705545983468	0.814691013135011	0.686959091003908	0.804602632747556	1	0.892323087747207	0.821220996760607	0.797010709523898	0.794937908587947	0.770977997617198	0.801302622994037	0.731386650379485	0.681348631801962	0.665193783216273	0.835926137469194	0.588914619110738	0.749730830589122	0.743007737390437	0.918722911884191	0.790254942454113	0.835584109879221	0.751399197289318	0.809459260356686	0.819843406657314	0.850769007179167	0.868567228877899	0.79285066696136	0.850886939459241	0.745048535920848	0.687629282346676	0.886180303349818	0.778581312098659	0.798744717048793	0.834358406886309	0.633035921225182	0.849725037252598	0.75944697545665	0.850903297416318	0.854952859747357	0.813235985376552	0.667763052436009	0.871545925936094	0.477690162886257	0.866528429351459	0.532272831477126	0.727096036209464	0.775736676929021	0.909087163446088	0.648865149606595	0.870061035883541	0.881349561267154	0.70675020746165	0.753713235725836	0.762617575568473	0.666647606709467	0.682653661639859	0.808336894993764	0.845743490472906	0.791900436788488	0.859359947400683	0.55644300621742	0.726602259210398	0.783962191270859	0.513764313595155	0.761353619278355	0.782550287276202	0.810219247755618	0.590982792406981	0.807337085994282	0.845293779936539	0.857139556601318	0.823824051959913	0.68796372272645	0.657311409209162	0.768420705511677	0.699176713938882	0.420412499546768	0.819131190021369	0.773495923345172	0.828991338512018	0.785275215567303	0.826744287183512	0.726817535447137	0.480098808275307	0.715570637611243	0.61635668748323	0.758855344360869	0.722104515381554	0.770122130784667	0.697815800328033	0.697772338676459	0.840502652189062	0.810990703989177	0.722577077389348	0.555728954370624	0.545278899995795	0.830537378295647	0.675252443308771	0.659914408940787	0.840852614698846	0.53413959475385	0.754340221263665	0.765518170294507	0.85855490176065	0.785276624995915	0.815766978109992	0.730875755925591	0.702268420261484	0.744777497449907	0.729087696740154	0.784546725116683	0.957041059054403	0.783662248871929	0.707199853879357	0.808638043766914	0.705777934974908	0.883104642268714	0.731926648541469	0.734406652963117
ITGB1	0.921912061693623	0.928053777742736	0.915181032201368	0.828043100891379	0.953153288677445	0.830874453504791	0.690530374065053	0.850670684296089	0.892323087747207	1	0.931942246132202	0.886020073716963	0.903911344686923	0.835687910548577	0.748976436088933	0.802795428325253	0.849576572528895	0.806919019475875	0.908637368711699	0.480882790451625	0.783973798422664	0.869096774294685	0.962726510416818	0.858397693982411	0.816424197342257	0.838543161847207	0.85408827840934	0.918620492036148	0.911071891666241	0.922003182348255	0.886771932829657	0.902150376606041	0.634964546745056	0.856504118593585	0.928597239175587	0.790580983669362	0.910491094696477	0.90024846780401	0.615900877789628	0.911980171589776	0.794435053158502	0.906442080343168	0.899650429071513	0.927545615391835	0.814615713653958	0.830477461369181	0.508144045957955	0.811738269228592	0.494673925166302	0.69722026148748	0.885296958029697	0.930906305320721	0.74053887928834	0.897385626695231	0.86862634242343	0.761808155253516	0.903793299549612	0.861056708379149	0.748372564486185	0.832813267693249	0.894992096424629	0.920644328123686	0.886407597654102	0.947319640159375	0.397048978887773	0.731722600145655	0.85011433220295	0.628700608175875	0.746619855978471	0.772616226189938	0.895327406970375	0.676659964630559	0.90692225141761	0.869269453666276	0.89029445506075	0.934871791674454	0.81819690110323	0.700426350748727	0.864596047417754	0.810242394342775	0.457923716630589	0.870108689852173	0.846653724650151	0.722234208484318	0.911638353273887	0.916029435472145	0.764340849318162	0.528075970861603	0.870131298355711	0.69277641481914	0.825116572658369	0.872037742409641	0.798011392134135	0.834015852999751	0.809215938894631	0.851441373798884	0.893487170437351	0.858361735979966	0.572238379517513	0.718157197003564	0.860376436708485	0.832189236000432	0.587649834528291	0.911853693552617	0.731773568538611	0.761768665154132	0.872608626409281	0.903081405363337	0.772176643748126	0.894802388159399	0.72396730629069	0.835452965137292	0.762769576893381	0.675663575899212	0.851677817205938	0.921898159517993	0.846747014109196	0.82042821903569	0.927334124887235	0.812888984653482	0.933434300199421	0.852516095835908	0.835565403297224
