""	IFITM1	ITGA4	CD3G	CD3D	KLRD1	CD44	CD47	PTGER4	CD2	CXCR4	TRADD	IL2RG	PTPRC	IL2RA	ITGB1	CD46	KLRB1	SORL1	ALOX5	TSPAN14	TNFRSF1B	HAVCR2	ITGB2	ITGA6	HLA.DPB1	VSIR	SMAP1	LPP	CD69	RHBDF2	CANX	C1QBP	CD74	APLP2	PTPRA
IFITM1	1	0.515473050454351	0.758286781781889	0.592701791100745	0.863221173256092	0.916026816742843	0.674323595932281	0.751063919738216	0.934328832060938	0.844173462439359	0.437076496445527	0.311515902977802	0.754093134954168	0.749901376015206	0.804004744502077	0.220010728665827	0.771779981914048	0.446201283594232	0.650998441256961	0.618858993414978	0.49346989693989	0.0428730333856399	0.592479463064359	0.517154507233144	0.49704555871893	0.556418409921359	0.453996752260101	0.458408242852566	0.681979380196976	0.397993428526092	0.505331598567405	0.617547415401317	0.379089290702284	0.624825417269783	0.616841403020349
ITGA4	0.515473050454351	1	0.0189219971760664	0.981738646313387	0.702569969769048	0.650491664648792	0.755438081816683	0.317504624194383	0.547324474035533	0.344346535063101	0.946635969636144	0.8455079583628	0.539030569049421	0.003857392903677	0.495215764982468	-0.0454869729631647	0.338040898754299	-0.0967392107775237	0.0895123775192463	0.119433531283909	0.321156795975935	-0.155770566497599	0.380070276728331	0.940652617498379	0.00700215988229379	-0.0676278292579388	-0.243681862161662	-0.0960488089894017	0.145784541020794	-0.105184128360369	0.510234062394042	0.82759197105779	-0.0739917365479506	0.0250600171481574	0.12874939319601
CD3G	0.758286781781889	0.0189219971760664	1	0.060362983152875	0.576508600968731	0.548726584596825	0.507635526656129	0.679694532094369	0.839908288540964	0.770565666396981	0.0797157242469942	-0.0048052869946666	0.526571334655747	0.99095123438189	0.714775399661673	0.233915218900622	0.894044002678177	0.649587152930641	0.620034145243273	0.766526166637125	0.53034069718816	0.214543971153998	0.455922008040438	0.0434083629275196	0.534900760394123	0.798917916666037	0.629608101986399	0.556036170264296	0.889900322587607	0.622482404362747	0.18510447389808	0.25115240896458	0.522022086530944	0.732032524616182	0.59064108384916
CD3D	0.592701791100745	0.981738646313387	0.060362983152875	1	0.777961871777153	0.718074948954915	0.752384050081403	0.391953202611136	0.583264768335411	0.374302620868388	0.903192326199493	0.817991826661284	0.575481191025273	0.0464851595312247	0.485545544527106	-0.0609932005504057	0.355104863563963	-0.114727220209334	0.112895054833417	0.121042973323295	0.278839913709259	-0.192067535807585	0.349938914568247	0.921931803083203	0.000793468145083823	-0.0593688062286958	-0.228905628237976	-0.0830550473865058	0.164611114450343	-0.113504119761978	0.500056502638596	0.805656350835598	-0.108405141291469	0.041601878393737	0.196332049520499
KLRD1	0.863221173256092	0.702569969769048	0.576508600968731	0.777961871777153	1	0.84053521139533	0.847113444203587	0.742685236128346	0.860762130886423	0.642554295019538	0.642220638921239	0.627307877541714	0.71968364718604	0.559539325803695	0.627655858240087	-0.0183353607745033	0.725924657458231	0.148941226636658	0.333341236445586	0.448093144522759	0.349537233809894	-0.0974096161809612	0.331353681200102	0.661092035754528	0.145813921875965	0.325747195757117	0.0572187035364687	0.169789064218041	0.602877731510672	0.197636514006727	0.34620826422878	0.638072817228413	0.054587860209656	0.398516137732807	0.548433873498066
CD44	0.916026816742843	0.650491664648792	0.548726584596825	0.718074948954915	0.84053521139533	1	0.679349478214456	0.768976007177822	0.835950125606204	0.801485844286664	0.571680403067306	0.483398084697072	0.812522039011192	0.544438703353935	0.672430221083658	0.229273532485198	0.645097260350592	0.359347070814596	0.590957988687802	0.526728758876352	0.547866001587306	0.0915777145488937	0.448287650190032	0.646003827071877	0.248658015104058	0.406826085503869	0.202187654605416	0.442909373510347	0.578266700352088	0.336563250386599	0.534851219680717	0.591682392681487	0.275703497090797	0.495750948393108	0.638575646900755
CD47	0.674323595932281	0.755438081816683	0.507635526656129	0.752384050081403	0.847113444203587	0.679349478214456	1	0.713840031803398	0.813568716413263	0.658743051625485	0.817639181127903	0.76111913901459	0.755813425405992	0.508973219689618	0.725141745756817	0.164214927673163	0.771397620690482	0.316052370999055	0.293325306042362	0.590288493812821	0.526675443494165	0.171619499149528	0.422401045968436	0.721957687424627	0.135328011310574	0.434714528789573	0.012571404985863	0.239733935164568	0.694354481025151	0.380492847009977	0.413354769151698	0.725203627735967	0.238223218698101	0.473143374783521	0.55914744979924
PTGER4	0.751063919738216	0.317504624194383	0.679694532094369	0.391953202611136	0.742685236128346	0.768976007177822	0.713840031803398	1	0.770391748012175	0.818918835800824	0.352930882747427	0.367115021357572	0.831947956517867	0.708584381180149	0.580086639923915	0.399189719297345	0.757714695363606	0.540179468811506	0.584558346418141	0.7261389933321	0.521261165262817	0.433202044100646	0.244135702237051	0.314396151337136	0.15811130406976	0.650541618747315	0.26449979798009	0.61509939572807	0.858327424890682	0.637552231104673	0.24654449051568	0.288083274476874	0.415269964691174	0.706089325821863	0.925352482412634
CD2	0.934328832060938	0.547324474035533	0.839908288540964	0.583264768335411	0.860762130886423	0.835950125606204	0.813568716413263	0.770391748012175	1	0.847045725189753	0.55932504823967	0.436236184613652	0.760291093040941	0.827571523089162	0.863856291227065	0.194773607690158	0.911550568605614	0.500233486449824	0.596141039763921	0.707845098499157	0.600862311229035	0.107062317970469	0.597117737556455	0.541891225551054	0.470809448713452	0.639858640441443	0.42263187111923	0.438295088469187	0.821970397104181	0.473881670440063	0.440151678544721	0.649000268988883	0.412122760261292	0.645340493590353	0.603891638597238
CXCR4	0.844173462439359	0.344346535063101	0.770565666396981	0.374302620868388	0.642554295019538	0.801485844286664	0.658743051625485	0.818918835800824	0.847045725189753	1	0.364910476791092	0.211836804007359	0.864269406684481	0.780498129968134	0.875681676486385	0.592449222597576	0.783865683988972	0.819302609416077	0.832957580781535	0.907811408597958	0.797227942423996	0.538143132403077	0.632023042503625	0.39315823644681	0.523532199461259	0.810684257574713	0.530706722303039	0.816370037412465	0.816812109045823	0.790840392979916	0.615046190772574	0.528720885319856	0.7494938063698	0.840668952021742	0.796574523098327
