""	CD74	VSIR	TLR2	TLR1	ITGB1	SIGLEC10	TNFRSF1B	LRP10	ABCA1	PLXNB2	ACTR2	SORL1	KCNQ1	NOTCH4	HAVCR2	SELL	CD9	SIRPA	TFRC	CXCR4	NRP1	TLR4	HLA.DPB1	KCNQ3	NOTCH2	FPR1	APLP2	PLAUR	ADRB2	LAMP1	TNFRSF14	C5AR1	ADORA3	ADCY7	TREM2	NCSTN	ENG	LRP1	STAB1	SORT1	RHBDF2	AXL	GPNMB	PLXNA1	SDC3	P2RY12	LILRB3	ITGB5	RPSA	NCL	MERTK	TLR7	PLXND1	NRP2	TMED5	INSR	CD33	BMPR2	PTPRA	FGFR1	TSPAN14	MCFD2	CD46	CD93	UNC5B	MILR1	PECAM1	FLOT1	IL6R	CD40	TNFRSF13C	ITGAV	PTPRG	STX3	RXRA	CD47	CADM1	NOTCH1	TNFRSF1A	TRADD	PLD1	STX4	SCARB1	LILRB1	ATP5F1B	CD82	PTPRZ1	JMJD6	SMAP1	PILRA	CCR1	CANX	CD4	PTGER4	PTPRC	CD81	CD69	C1QBP
CD74	1	0.926352676609158	0.834698409522544	0.709785041183307	0.895866951117307	0.900447828539125	0.925511732364087	0.796798592272705	0.900790229411497	0.820394375560326	0.925057339020802	0.915601837592026	0.845878458341737	0.785497359749188	0.902029838084579	0.693866992392934	0.530470712650901	0.756503126385583	0.741664908643329	0.859196870048737	0.701870319836106	0.745476725081491	0.96030003024964	0.689806271559077	0.758620579584255	0.849480530201456	0.886616747938032	0.583622301156762	0.809943975171908	0.868409951916106	0.895600480888128	0.767349509773009	0.875123351527195	0.645863627404175	0.72651765876434	0.8602465661455	0.800065887498785	0.904216350851747	0.740680386493372	0.873765612454929	0.806664274979789	0.928333938467901	0.639478889075097	0.788250304561139	0.586779669868508	0.782088928532505	0.767318902699069	0.770371280283094	0.930657850664274	0.870587100071381	0.802146885654483	0.850407105139358	0.846005618566439	0.631917442367616	0.848958797067001	0.575827874812322	0.884712875316464	0.7634287846545	0.760374614420013	0.48425123669993	0.914217502808133	0.816995825796959	0.849058186579266	0.597356724517585	0.708588783758257	0.815997439353034	0.881374275312034	0.930738443371234	0.82321306831924	0.772044833983591	0.78694000867757	0.742144922422849	0.296517211025256	0.828621773462084	0.799625263202274	0.738431958916664	0.533844435466577	0.469570510410971	0.895257834221567	0.845392962267591	0.628321412624923	0.782655798659435	0.768373671446103	0.831016108475151	0.818682574832621	0.832731601380787	-0.000350363969024387	0.720281867007739	0.841560776912673	0.944828276556324	0.869392416694683	0.839663539014548	0.91094506423825	0.666367195074541	0.871122954843896	0.864908701470233	0.68306040150537	0.897273477852932
VSIR	0.926352676609158	1	0.868463315382368	0.74765704452596	0.80447920875641	0.909793065109711	0.900850562665938	0.692230967842612	0.878798875984653	0.842605052856828	0.820684120993209	0.930189276650261	0.885680024117517	0.690507473445092	0.840440400384738	0.707080648260076	0.33703698755509	0.638263121341228	0.595093572024208	0.803796879387799	0.712083236093663	0.675297771387139	0.888776556687756	0.738496351932398	0.663238318735209	0.768941384826591	0.781468003701277	0.43890037977337	0.748636593435757	0.829740394924712	0.843534926000182	0.612943117745388	0.890923462748634	0.730002453628583	0.591407302601112	0.789750000080734	0.651020227983405	0.843253695353358	0.787717290849112	0.803154952635307	0.823963520450864	0.874757468461777	0.47454001892088	0.705639986336954	0.630306767182282	0.874317776559679	0.738222962922471	0.676010595489829	0.82487356853799	0.745700877790892	0.829346072842274	0.844287684389674	0.890439558307713	0.595611268296971	0.724456477764509	0.482485625344848	0.908911602622236	0.654188252742977	0.679925514694212	0.367221945394487	0.873613382758565	0.713397568748474	0.8080581957555	0.692781511850836	0.723774680711773	0.770558048305831	0.850737159566405	0.883350110789522	0.728691031352085	0.611892113489104	0.867363072881638	0.737083596413955	0.210290962980697	0.795049067839597	0.808154185429188	0.567633572591472	0.35272124543703	0.353864161915779	0.891875942053195	0.722063361913815	0.490559390863002	0.666599143259479	0.705840926077394	0.735600378949978	0.70825738399157	0.739195921519411	-0.112339490901064	0.594957765667039	0.721064413340695	0.864253020350761	0.840901670538518	0.732452196166548	0.867629868394041	0.500556284316266	0.827385241225928	0.769093336041865	0.597014679001715	0.788524545139577
TLR2	0.834698409522544	0.868463315382368	1	0.780216872720681	0.794106618763997	0.863298068726517	0.883983189298793	0.618428224640687	0.897951489351312	0.831782955566688	0.81476351846876	0.88452734166809	0.811364238899445	0.783890860942277	0.780082335837943	0.475415452033058	0.326175040833121	0.6300793149633	0.702400784461546	0.835553419236548	0.719086350940413	0.772373509750916	0.730477951153926	0.766330193410377	0.673502258672021	0.757629724672844	0.801169829793102	0.539826490776867	0.813487396216259	0.739127554887929	0.73820448761434	0.72586522240434	0.88790252532501	0.812021892926024	0.532642889926934	0.771836299220146	0.657494434662242	0.818228140135746	0.720771733085101	0.826116608427603	0.82939018725274	0.78973504205178	0.416855029147304	0.690063162930409	0.647604623680559	0.81821006840277	0.640947935158224	0.583905418808111	0.695087197340437	0.820311568656879	0.941166760009684	0.825744253007986	0.83141021462863	0.782552761824145	0.741894828468589	0.605182514325405	0.8112680753921	0.711902659605479	0.686965958989126	0.508645995351525	0.880494763512433	0.739496700695952	0.811205266348439	0.709234439010525	0.710559491454166	0.728288427278353	0.834180998970684	0.825956274164811	0.771986941121119	0.637822352727928	0.710849898716045	0.786714978807389	0.313528288261269	0.794768023917382	0.752301213510436	0.567743235513919	0.401219649158436	0.453595464718513	0.76678300533719	0.681683009402162	0.571121224230332	0.75640931303579	0.748348862571465	0.738411539229571	0.641638536755848	0.662369764619685	-0.0165942251229073	0.683678366749938	0.731919666797959	0.75507548759967	0.756170155772393	0.730276910728047	0.850886608906884	0.651051922260024	0.88602989439675	0.689892601903584	0.69815119301422	0.681398954374328
TLR1	0.709785041183307	0.74765704452596	0.780216872720681	1	0.817766991894743	0.860299321349395	0.853170189903014	0.730981654066261	0.780398274743012	0.769614703989805	0.791056415020465	0.841705429155405	0.640459188362763	0.677597423618012	0.806860378765104	0.513901442493491	0.546447041433314	0.728613198042524	0.482453422949911	0.566912795382681	0.697842995602957	0.604482148472297	0.617719594580661	0.798715297258563	0.648500240825544	0.741748234242041	0.774774704981102	0.350778342427098	0.603114494973124	0.799518636663877	0.713978234130541	0.493243644669868	0.846046361694833	0.836671893110795	0.670228319553251	0.779398293269962	0.721762538140002	0.737108952176685	0.711390757894911	0.832288185832853	0.83116480711553	0.808306150053516	0.586032952937227	0.664592146022924	0.599632576830763	0.796551223762228	0.607696525119757	0.731477108008956	0.69837989352323	0.702011187787252	0.729715689528726	0.744262027034179	0.759187828673682	0.486046346516938	0.762584947947236	0.440007465707636	0.772833425101294	0.714266389350902	0.680065120390879	0.364460126272704	0.783044134573524	0.732386448850583	0.783789740265298	0.580565408767088	0.783446144876275	0.717365837803107	0.815320041042036	0.776469379371482	0.722008568515357	0.522221582301405	0.533935195617875	0.770143523850528	0.604008739813785	0.6358272064741	0.713169720749316	0.628750569434304	0.44559859994174	0.299827993557073	0.776350650992633	0.677802332030075	0.66963191629219	0.624123253240721	0.743505547390788	0.74441946830438	0.727655258226176	0.732360688654069	-0.00475563383102025	0.445403953168451	0.691078284974786	0.755709352048858	0.72575022649421	0.793579206738154	0.793870905998574	0.452964309312174	0.839385580777962	0.774033876731609	0.453763363668629	0.698851695311982
ITGB1	0.895866951117307	0.80447920875641	0.794106618763997	0.817766991894743	1	0.889829324085227	0.925517785258946	0.889553716763746	0.901058981309579	0.80178672709702	0.961642100706259	0.900399385841045	0.750172690102925	0.824047029430019	0.940272367745832	0.566427223701971	0.747021757964587	0.901705866023762	0.721043453628469	0.743509194223724	0.723165674600608	0.746820396068596	0.792178115520751	0.768714574791889	0.806251553089663	0.909054627466437	0.944649855367409	0.587100524896898	0.766341844468534	0.930697976258752	0.866054677033843	0.75012540131517	0.877732122999301	0.77113938397809	0.867998947683992	0.906927188219034	0.899254292208075	0.901708243924818	0.725043635366975	0.937835080891345	0.865732880231738	0.923138138515721	0.790682941306962	0.846926477378257	0.62446894189682	0.749769857581129	0.711499372471577	0.881622161266258	0.908294346589291	0.896878679082391	0.747189259430646	0.820076028878422	0.783161741606005	0.609570116239582	0.933071466490657	0.55151679910063	0.853939001488261	0.893614189218044	0.863668786757784	0.52361753827703	0.908159966983709	0.926604226433461	0.878382043828061	0.51448547261828	0.76892824055042	0.830455245191923	0.899279651416734	0.908158117157391	0.891341908260715	0.777182821068934	0.568962180839898	0.795605982611527	0.607542402614893	0.749479996027739	0.742261425880983	0.864185199771515	0.695761225972839	0.528037500860067	0.845355057148188	0.887120967562409	0.830127573309717	0.819996389395243	0.869504362561766	0.892592534032416	0.916186532288935	0.900193868279965	0.151042906188975	0.683469029341153	0.906565728938809	0.919715409791716	0.844361369306937	0.946142948307482	0.919759556605273	0.69047410693539	0.935455348999325	0.941913742612945	0.658571991123406	0.912473816572227
SIGLEC10	0.900447828539125	0.909793065109711	0.863298068726517	0.860299321349395	0.889829324085227	1	0.942395648799462	0.783975075812394	0.904767887580143	0.907571749587232	0.906610947066203	0.948036280836547	0.796372479779684	0.756906062019977	0.896298038681718	0.625107385498777	0.544427112046502	0.776532850306765	0.660257387334828	0.748395043557735	0.816963868812012	0.720270407550419	0.818778958728939	0.770486638158896	0.756146697471614	0.815003114491918	0.889728363415904	0.557139628458339	0.734580357519066	0.907883951754137	0.8877499709776	0.689587224712092	0.923231818985006	0.828608487626553	0.729952273709056	0.909433578477198	0.786702766078854	0.893685443783961	0.827330308634528	0.920953977996307	0.897023378576473	0.934338766182666	0.63604366899246	0.771785088577438	0.655718386155059	0.878912253732133	0.670725858832427	0.800720953672935	0.866171737245338	0.838409299815004	0.813175957948128	0.825856052409802	0.856075137660701	0.632473917282054	0.852427782179107	0.52418730356949	0.896687162122396	0.777560688276981	0.772011603324626	0.48101723558896	0.913741829007466	0.839686932783685	0.848730535562123	0.693473780073521	0.829886793440983	0.858372410065511	0.927330307365709	0.931646016921515	0.829536922105953	0.697881672816773	0.728246945095572	0.857512303604049	0.461167345883956	0.845293978895751	0.847523086602383	0.719725170276308	0.50870910768318	0.437041257655831	0.876324757506088	0.818362683933898	0.672460046657261	0.770973774192576	0.799844387799686	0.846548980793494	0.823049410638171	0.812427223477535	-0.00443700537102013	0.666282211810843	0.830555585017547	0.896676681651749	0.83821259080283	0.867404999487668	0.922635431931557	0.599696869996813	0.908491222762967	0.881689042553709	0.631355277531124	0.844063173381365
TNFRSF1B	0.925511732364087	0.900850562665938	0.883983189298793	0.853170189903014	0.925517785258946	0.942395648799462	1	0.823717519035827	0.933793455001614	0.882075434827774	0.94489471714714	0.953935003272616	0.793809493708844	0.800593878816763	0.919929875616412	0.629794788697934	0.587322602161656	0.837105982400182	0.725795106899319	0.804986604757108	0.781019407649985	0.766191986646655	0.828086329216331	0.807945843891475	0.769546477872876	0.892615872195952	0.92094004419652	0.572900905551935	0.756952569210411	0.912156402607092	0.86631074872071	0.741002506611447	0.938308331279523	0.807486476129806	0.774935696484609	0.875219932628551	0.819405933138472	0.917242695126073	0.810602891994975	0.940529014758084	0.915389255978094	0.925360811841651	0.661953507645713	0.802013688185694	0.684683956475705	0.838239167237858	0.741432542847762	0.818704495290101	0.88421348952319	0.878294563311215	0.826498413137854	0.866310192014821	0.853160249931102	0.625612915980267	0.894347585733915	0.575426435891085	0.924409361534923	0.844851580114079	0.808812366559413	0.543674658920762	0.941311509918951	0.8706615880903	0.890803527288176	0.647285763452554	0.80963865563114	0.834566815613423	0.926535336134268	0.946657179754836	0.875920628475199	0.732244835914622	0.717281558971584	0.865142449538569	0.499948794963863	0.802258128622041	0.821365875746962	0.758309954875958	0.559706134441944	0.479437114705656	0.893101378713157	0.856557555544886	0.720823656970609	0.793364504198185	0.824670298385523	0.880909135701033	0.845991198401503	0.853129518465973	0.0504047760881271	0.705723847207024	0.845947878512243	0.902143706576361	0.867594619509439	0.898495459467099	0.9384796639842	0.64112925721001	0.927366159006321	0.891087401046325	0.681639065971156	0.87278819276777
LRP10	0.796798592272705	0.692230967842612	0.618428224640687	0.730981654066261	0.889553716763746	0.783975075812394	0.823717519035827	1	0.76113017390981	0.664852399606138	0.866049668307724	0.773948058456455	0.605462956875169	0.680885076161561	0.921535064799407	0.53766943199095	0.857150465520629	0.902589204859568	0.620295417498556	0.599344216766361	0.610415130881083	0.618914209450853	0.702497092104449	0.633174453550242	0.682581285301285	0.879111947586539	0.855143843774618	0.517647634286129	0.615322771502744	0.8946471309659	0.81587288930648	0.64613998234861	0.754714810475243	0.639631583887459	0.94376826051824	0.80891557912329	0.879023170718483	0.778164002129055	0.68622429301743	0.841671761022934	0.781688113457345	0.880362375187308	0.868013749733547	0.769179999475479	0.51023547192232	0.621991274890001	0.697253625668743	0.925953006623493	0.864013715142256	0.76020890184891	0.538036913954888	0.704382552504596	0.639946756397227	0.453722048944164	0.908117212039698	0.423745167294528	0.778666538295621	0.792786001779322	0.738268741329772	0.398671455383332	0.795937296867166	0.871283863734799	0.746578124420633	0.328067927056526	0.672522901704068	0.8314453685739	0.785080165583641	0.797902976269122	0.803742652418188	0.757917306921201	0.454671055650428	0.670439501633238	0.608355993486024	0.589237630954369	0.631532844865354	0.830866319204804	0.669749333507855	0.353784592414825	0.806576196711157	0.853566973211448	0.823761431562549	0.731335533969866	0.80156448671843	0.866467406469734	0.912021017804375	0.863644272840792	0.0740250222166772	0.56584978003997	0.809108957883236	0.8751353361781	0.803951699197256	0.897909713247147	0.826346556645812	0.603330514900326	0.789246686679611	0.946682542317734	0.576806961362351	0.865045378247262
ABCA1	0.900790229411497	0.878798875984653	0.897951489351312	0.780398274743012	0.901058981309579	0.904767887580143	0.933793455001614	0.76113017390981	1	0.85254591118053	0.903404524231502	0.91294144858968	0.799949738717095	0.8178166390834	0.886429468692227	0.561956003406526	0.534187892436584	0.781103218947882	0.79980767089198	0.884922253111715	0.745683724370912	0.819306801708499	0.793386909045966	0.773274862994903	0.792205348442153	0.843663053703443	0.919840825380997	0.63250618625353	0.871612231283453	0.871586995091417	0.849805236804952	0.808264654221554	0.902158057983344	0.792953983264011	0.70028691815166	0.868886569007476	0.779177228341918	0.921128240919855	0.728356086890746	0.89042114009001	0.847894296474765	0.871023855571309	0.646702401474444	0.812377514761963	0.71732901961626	0.780391596076323	0.722979095848785	0.736098658623521	0.836039038174494	0.900975830751389	0.895487412289182	0.842928212977174	0.847815978222103	0.753625889157588	0.87006134292976	0.626633555078504	0.867637327105093	0.823540931632449	0.794036133677346	0.605442287216328	0.944927334661507	0.856427831961528	0.875067264442648	0.66610774695963	0.72252160298934	0.788164318215616	0.892579155463043	0.899267711124885	0.876398883472203	0.761303009983204	0.718556491941776	0.8295513590248	0.407235287730459	0.815608332053702	0.776039180790079	0.712621055435696	0.563802509178273	0.561527276444466	0.808629575575809	0.841863055923001	0.723287918580788	0.842150279557093	0.847400175443089	0.833437506322422	0.784743355706458	0.801203442405053	0.0838722530886285	0.759920039596622	0.8567301247289	0.869833326660942	0.842935440080546	0.857708522887443	0.894352466867542	0.727297300445072	0.928277789350024	0.837288112860921	0.780489691152788	0.813868702828987
PLXNB2	0.820394375560326	0.842605052856828	0.831782955566688	0.769614703989805	0.80178672709702	0.907571749587232	0.882075434827774	0.664852399606138	0.85254591118053	1	0.83238151759857	0.880528728367646	0.743113109819894	0.735219166486234	0.802496002296374	0.492595190856904	0.414315926528413	0.695068619020258	0.676767638886825	0.724921044270006	0.777172856107254	0.693001447275228	0.736168969689539	0.724540903023497	0.716353891110011	0.717942158998961	0.825349780400108	0.617461449592072	0.692577490030414	0.801323246777398	0.784721433097335	0.705555304410568	0.878143125017153	0.811460064814816	0.610127986993764	0.842660090020744	0.698316033423577	0.858483226949659	0.82609236388598	0.844980189277961	0.881662696879869	0.843449685265129	0.499724295935756	0.708878243685174	0.677101207294045	0.840736068442544	0.575932439984061	0.694800843813499	0.788973145249843	0.815781184457391	0.775851424123013	0.782463379445773	0.817369447193323	0.669254213284663	0.769867968119872	0.508576951035813	0.851086427470485	0.741713209188079	0.766223301338949	0.568770924156398	0.86492285452059	0.80099246322187	0.806178634974759	0.733485810161623	0.824557567512525	0.787506675667232	0.892692030254556	0.886571147812923	0.773204350974781	0.668846451279539	0.664727787774067	0.859762176304207	0.430727868034222	0.820616081043614	0.81901153743718	0.679585977417188	0.485282996094519	0.493333946511393	0.780857314712754	0.757766598675824	0.603981063470762	0.795691067070774	0.767976473172487	0.777547669815281	0.756336211614508	0.720274439045497	0.0910657658052306	0.722187816484829	0.763121236053743	0.791872158000856	0.735567585336357	0.803533341394322	0.880077695850629	0.629712066388899	0.832360972229242	0.78438373053909	0.643985641663972	0.792000701327752
