""	PTPRC	CD3D	CD3G	ITGAL	CD226	CD69	LAG3	CD6	ITGA4	IFITM1	DPP4	PTGER4	CD7	CD8B	CD8A	CD44	S1PR4	CD96	CD28	CXCR4	KLRD1	ITGB1	CXCR6	CD2	CD47	CD247	CXCR3	CCR5	TNFRSF1B	F2R	ADGRE5	CD46	SORL1	TSPAN5	KLRB1	SLC1A5	IL2RG	ITGB2	C1QBP	CD4	TSPAN14	CD81	HLA.DPB1	SLC16A7	SIGIRR	TNFRSF25	CLEC2D	IGF2R	CAP1	RACK1	SPN	CD82	PTGER2	TRADD	JMJD6	TFRC	SMAP1	TNFRSF14	ATP5F1B	RPSA	PTPRA	CD74	STX4	CANX	CD63	LRP10	LAMP1	APLP2	NCL	PTPRZ1
PTPRC	1	0.860863287291845	0.872755293377458	0.780970330600399	0.765623981204127	0.690425786199518	0.827939641566468	0.821955443120712	0.774676239669219	0.831403897222044	0.668589991802342	0.658229267187953	0.772141058901122	0.757838699976857	0.754599239784004	0.897346189680447	0.791257653546287	0.866591490783823	0.799152227596147	0.715321509432271	0.668069485083186	0.684775882020495	0.735353085901969	0.909856506761057	0.851639210207568	0.865577879043504	0.716278898130697	0.756820339074181	0.743852884295163	0.640538350308321	0.844629573974418	0.821812924810182	0.530205444117649	0.527293114255762	0.64278901253167	0.467840896501585	0.73657824793758	0.287683956612123	0.0562524254455326	0.519703014740853	0.632571484729062	0.12095733157063	0.46728340619641	0.757312733758208	0.817877817842649	0.789927538147547	0.932763029779827	0.482612523048858	0.540096463269714	0.587556097560819	0.776595816525491	0.555038530749264	0.827902092595345	0.742899174568859	0.668371243732844	-0.054262239389347	0.680498162359385	0.835259258585932	0.283008901946834	0.464995712058935	0.57450415496982	0.0938008861168192	0.345214619521854	0.143635067852842	0.0227110001999207	0.316220670232534	0.569173030529827	-0.192941860932321	0.322404007206543	-0.32897307811776
CD3D	0.860863287291845	1	0.981314272880374	0.654996061847213	0.875733201473552	0.752987452360399	0.778487301594724	0.706949832616354	0.509459161601012	0.901953149507938	0.841599503201324	0.678533746422037	0.941156769255909	0.697727450491981	0.692519307387402	0.846382837559955	0.869720626269578	0.863559062524414	0.759444808221665	0.796095038200813	0.54222828411245	0.555801545639859	0.577750469941989	0.945068129598148	0.789890700847064	0.77035433244169	0.842869321399651	0.513035228306671	0.676086027422562	0.34293863354145	0.863040178436626	0.614759607263594	0.306182883629982	0.625430974162345	0.86578672164867	0.342661881646844	0.850759354344952	0.113621527562157	0.163899976273421	0.376925686968751	0.353759789123738	0.0905996402884029	0.364633713141582	0.650453528122001	0.784058137358779	0.895004551213055	0.77302735874474	0.353179726068297	0.480007867611619	0.712327061136084	0.711836889474313	0.562685892830491	0.818134659635866	0.915945361725975	0.736741168714315	-0.136547740191946	0.702345859886139	0.878924125580035	0.316628224298834	0.626870151300618	0.4194629517231	-0.0230592122696583	0.325847295077766	0.0778566685119	0.0833449984897271	0.388910357126705	0.410208021927905	-0.27492604933794	0.297161400822495	-0.373273628636599
CD3G	0.872755293377458	0.981314272880374	1	0.665480607289074	0.894651486709597	0.727465430558202	0.808469483023472	0.721611360942954	0.530347083761567	0.861205887924308	0.865918119453908	0.6569432263686	0.943782947897978	0.706899871932085	0.6935788134025	0.821724375114608	0.895995907792028	0.889897704891136	0.708535089385105	0.781707143260408	0.545092386152145	0.515486163524454	0.657074763333625	0.973194380718147	0.820571512919841	0.803896886330976	0.818772747629741	0.573511178422828	0.646508848262616	0.357622837416774	0.853355250325389	0.626490114564862	0.28710458036884	0.605256391937055	0.859206573170037	0.388631096000274	0.890914280739305	0.104599373676705	0.118894930193931	0.365002008739809	0.377981388909927	0.0500731498373205	0.333930314191796	0.639989923183327	0.767974102385944	0.840395420465639	0.781497879609675	0.391536148599493	0.466540547297201	0.66589940531398	0.771473884861812	0.588593700721471	0.840538785921966	0.908244104669161	0.674468365623872	-0.175975847694217	0.654138601073623	0.862463632348492	0.297464318924568	0.578901885899763	0.412602107932434	-0.0489135541104136	0.298076497295811	0.0216672067776134	0.0265647339850552	0.307995724213738	0.404558989296487	-0.310967511755974	0.244795136676739	-0.409938227817954
ITGAL	0.780970330600399	0.654996061847213	0.665480607289074	1	0.490160523434003	0.720961241492417	0.659478513887065	0.72314871905001	0.656714831800316	0.577603176116937	0.401454840008305	0.725219343576482	0.51466413830371	0.774409942928823	0.84122510971676	0.711535034091376	0.7141912106125	0.68442815103628	0.724768154137044	0.759531210686458	0.821821412954123	0.634268408009796	0.59905768192898	0.64694285195974	0.759814475035508	0.798148716441823	0.483555960369391	0.456391774301987	0.62399140482907	0.611783733173268	0.638306254867766	0.731510132199142	0.365277935230839	0.382428135886957	0.500335523578015	0.248521292800032	0.565541876358568	0.239224547177454	-0.0266350415445444	0.383344063087913	0.536774727043328	0.0904219413542674	0.404548583252207	0.735469192223734	0.738241026096509	0.627020096511514	0.739762830543754	0.227055052750786	0.34731841117964	0.421153520599154	0.756246303327932	0.282526744174458	0.651034003534072	0.470655858128182	0.592249457343364	-0.0461964842030807	0.560712795235497	0.603011514520805	0.123013240791373	0.298990590339383	0.373078190852989	0.0160489481931303	0.179646887750327	0.0966695391805898	-0.0352212362841509	0.230600226330271	0.322924067078201	-0.184769598570113	0.180727589768104	-0.251023399488797
CD226	0.765623981204127	0.875733201473552	0.894651486709597	0.490160523434003	1	0.668087768515164	0.707733341596039	0.570143496319481	0.564162754738868	0.716356970730976	0.847965056489573	0.59661198089891	0.897370974245514	0.461766037167589	0.465722912574082	0.690781273512325	0.841325760510086	0.867215752421784	0.573373127715174	0.737033543960342	0.393818771596107	0.433298467755403	0.518053337014791	0.877274889906906	0.734710432981954	0.681067519021295	0.722897216253231	0.550126476401463	0.575938105514041	0.182552182868902	0.850853340472602	0.572313923617896	0.330279836354816	0.528560708761759	0.854931332321834	0.443156374445312	0.782997166361694	0.097267832331409	0.125847141991279	0.328915176976159	0.310811554031568	0.0455779590067461	0.262935657644244	0.499082465967391	0.722873680955236	0.72804281527653	0.667603708038421	0.545765385509603	0.456173245170297	0.645137500962889	0.693084494707928	0.54676363427228	0.813009830897608	0.878070346756802	0.543224801512468	-0.16071809340446	0.568849225423045	0.78902272334823	0.345449558562276	0.593259389546079	0.368354537671593	-0.00968513331094609	0.33085156212114	0.0153433306269918	0.0407342715086077	0.317417076373094	0.424059156955006	-0.2644190639087	0.2688969724706	-0.395388988308928
CD69	0.690425786199518	0.752987452360399	0.727465430558202	0.720961241492417	0.668087768515164	1	0.599379427599905	0.495318166472188	0.584327694361868	0.630992560233317	0.592473904149675	0.921010299647273	0.655727676147557	0.591392833270712	0.618675379530708	0.70408537366822	0.790750304492724	0.722224673618476	0.663959524732192	0.949473954013543	0.713125286716264	0.633193350819468	0.374447145338306	0.68849228874225	0.742370080979216	0.692805187591424	0.585240869044977	0.326187881098714	0.668967918571725	0.36830357995898	0.753718450716747	0.574003876467752	0.354347052464474	0.479740667351919	0.801628856356593	0.269352218518409	0.654791406422512	0.271176651320543	0.200444117416266	0.414611756215554	0.36845998092793	0.209765520519042	0.4257272073256	0.61165032840584	0.811121253797217	0.761740450084385	0.560632815056359	0.222972025998846	0.464447998032066	0.64593235813142	0.683347632273578	0.371421371823156	0.62219326995771	0.701117129972818	0.694607384983688	0.0694406841338987	0.722779671788008	0.708853012732176	0.329526628450202	0.563319149609767	0.339634995621507	0.0887828563378298	0.380571720709278	0.193484229994466	0.157626049603007	0.419141146225841	0.325255066415671	-0.103531892291778	0.355072933021128	-0.183443175450844
LAG3	0.827939641566468	0.778487301594724	0.808469483023472	0.659478513887065	0.707733341596039	0.599379427599905	1	0.692111637585346	0.591046972299256	0.723684996301212	0.687506459634913	0.543855632340036	0.749713743591964	0.696760287862758	0.667464693182727	0.702985848561316	0.819239041741093	0.82100644324692	0.638409073231058	0.695806815513218	0.519558634284835	0.472834190236229	0.671357069929392	0.846892584328646	0.785606262346685	0.786814937418948	0.739205820157252	0.703810333787563	0.643272060485351	0.523081971422382	0.739579446440081	0.562033638659083	0.315045817406187	0.481650787129714	0.639377946366647	0.345916153838972	0.735588529054117	0.12340213818861	0.00804987672339901	0.323085133031266	0.352401129997769	-0.0214030311975492	0.250109413110626	0.671930841927562	0.769595026468004	0.624935510809202	0.801993096418693	0.289163486761352	0.421172724515679	0.47487463316854	0.763109714839283	0.415740676218887	0.754850842894993	0.632789922567225	0.406154278150012	-0.129792687576956	0.523714752919288	0.753861195137801	0.209494826320643	0.392045817293311	0.369513927196793	-0.0629620916484781	0.26466616534594	-0.0274136706864581	-0.0589231035897342	0.180623142337654	0.433545214111895	-0.315540549930677	0.188044023962352	-0.383280576933295
CD6	0.821955443120712	0.706949832616354	0.721611360942954	0.72314871905001	0.570143496319481	0.495318166472188	0.692111637585346	1	0.617590146553068	0.705272831428898	0.517961844134751	0.451280829069816	0.60380593774019	0.803141459070965	0.839526742311384	0.666678384781302	0.56365762829382	0.698730602285438	0.699504329652586	0.489843514678929	0.67509494076546	0.475566801045606	0.684303370751003	0.744344027897211	0.693972641851466	0.71462861106294	0.493593267179335	0.700305670260888	0.464710524592972	0.619604068931087	0.621594994319004	0.689092379875231	0.246070515725935	0.388548416774621	0.401105381855262	0.253581750751663	0.561596558426553	0.0133590572531467	-0.124123317085958	0.222350602423146	0.574269552109186	-0.0993940636745924	0.237973847300836	0.638956801477721	0.671551963787905	0.677105811654473	0.873011934786553	0.367297874958807	0.19701333214513	0.319212751736651	0.590196830029496	0.280621202112726	0.624156845238619	0.497457077803971	0.497054535412557	-0.223600826863134	0.418167380716485	0.587616242768378	-0.00380644695967267	0.231283428798296	0.345149951187802	-0.150404246060841	0.103703415023985	-0.0937227261756609	-0.17637647295942	-0.018277811609213	0.405325616936088	-0.363348830374803	0.0643027192459368	-0.391162004309245
ITGA4	0.774676239669219	0.509459161601012	0.530347083761567	0.656714831800316	0.564162754738868	0.584327694361868	0.591046972299256	0.617590146553068	1	0.446906363634052	0.398117092016218	0.58366471384989	0.447411900235586	0.431484952262318	0.557497296912562	0.662350683696708	0.563266373026425	0.701404994457634	0.492365726755628	0.590554473097645	0.655565497955919	0.696641000211326	0.506992181698769	0.573421717899973	0.718887872455987	0.733727319910844	0.339187683329578	0.666297184174856	0.597863466479476	0.511657218392479	0.698021619759706	0.788664639946815	0.652660409715038	0.296887629046364	0.409958774617028	0.640473797447396	0.420692702462322	0.53210094273211	0.0834173693308684	0.567514132832234	0.707847400802233	0.303105059897326	0.535513317463603	0.535869974507042	0.724850702493443	0.514024644394154	0.739668373119988	0.587628066315838	0.561700013690959	0.461727838712511	0.638239541862575	0.362703007678225	0.631672669504589	0.44940284216925	0.469596176494349	0.0568080033779024	0.539137205312337	0.579154656658609	0.379955472609852	0.368708001746127	0.496577159666068	0.349332518768062	0.395638686086911	0.293362969824622	0.123244173914617	0.252245093344993	0.579302208757166	0.0778579833163506	0.391792149180637	-0.237327980773168
IFITM1	0.831403897222044	0.901953149507938	0.861205887924308	0.577603176116937	0.716356970730976	0.630992560233317	0.723684996301212	0.705272831428898	0.446906363634052	1	0.688191046028192	0.595999209567719	0.814897745976153	0.686682645515458	0.617841876920146	0.833666333627497	0.699148698287714	0.713549884849991	0.813653307093315	0.640512841159789	0.475744236106351	0.613334908894823	0.469246702869348	0.844305595623247	0.717714149790751	0.676710263859117	0.813996206022247	0.521325174496555	0.679085549488926	0.464808814995678	0.766063124586098	0.55753308249345	0.302955912719153	0.678378169277106	0.680280760138686	0.268988169204171	0.707577223752427	0.132162289727664	0.189142212191203	0.419240554143911	0.420752441954354	0.142464623295261	0.406546288998217	0.706374684676099	0.727386506529247	0.838455168273285	0.783800733601492	0.290398920503532	0.46649375330268	0.670965341507276	0.545644320866979	0.537716268319697	0.680611111683865	0.798094093768519	0.726380333583042	-0.0437006718276534	0.689112251944623	0.799314245485473	0.302194273403998	0.577149775226892	0.487691224683024	0.0349337217371116	0.36775342439768	0.164443188945906	0.13147500697549	0.431796824132321	0.480345651251141	-0.183417935710997	0.355169751474888	-0.274841698463574
