""	CD3G	IFITM1	CD8A	CD8B	CD3D	KLRD1	CD69	KLRK1	LAG3	PTPRC	CCR5	CD2	KLRC2	KLRC1	CD247	IL2RG	LSR	CXCR4	CXCR3	DPP4	CD6	SIGIRR	CD96	PTGER4	S1PR4	CD27	KLRF1	CD44	CD226	CTLA4	C1QBP	ICOS	SPN	SLC1A5	CCR2	TIGIT	ITGAL	CD47	CD46	KLRB1	ITGA4	TNFRSF14	TSPAN14	TNFRSF25	TNFRSF1B	ITGAX	RXRA	TSPAN5	CCR1	FAS	TLR1	CD82	NCR3	LPP	LRP1	ITGB1	ADGRE5	SLC16A7	CRTAM	SORL1	SMAP1	ABCA1	RACK1	ITGB2	TFRC	NOTCH2	PTGER2	TRAF2	RPSA	JAML	HAVCR2	ADCY7	RYK	TLR4	CD4	CD28	ITGAM	VSIR	CLEC2D	SIRPG	ATP5F1B	ITGB5	MCFD2	C3AR1	IGF2R	PTPRJ	TRADD	CD81	CD68	PLXND1	LAIR1	NRP1	HLA.DPB1	PLXNB2	PLAUR	CD9	GPNMB	MERTK	CD86	TNFRSF1A	JMJD6	FPR3	CD163	CD74	PTPRA	PILRB	CD63	C5AR1	ENG	CANX	NCSTN	TREM2	PLXDC2	ITGAV	AMFR	LRP10	SIRPA	CADM1	NRP2	APLP2	STAB1	LAMP1	STX4	TREM1	NCL
CD3G	1	0.901553312999028	0.958101412901623	0.988423496837048	0.982932086081353	0.904842980053063	0.858713133527617	0.937095269234283	0.913811725951628	0.569572020745486	0.632040680558925	0.944934994624667	0.489389915721765	0.654425327715128	0.800884822075689	0.824134646326103	0.702386802209073	0.832946303975002	0.838811641521466	0.896157303147302	0.911345707003938	0.551072260067714	0.904210390791437	0.337363618782908	0.901728086406929	0.967093265517864	0.417210467543186	-0.554101572577812	0.573392705486869	0.86679139842053	-0.227465169286833	0.881368592378794	0.758425308920995	-0.237667240139229	0.520819211512287	0.965988714558391	0.0454551592270796	-0.0967796722856543	-0.573460914854216	0.644254368490969	-0.243344820154008	-0.200557021848896	-0.290622925142776	0.921481704551226	-0.219651623634772	-0.513968023482746	-0.618057109898691	0.383315662297466	-0.819891837706235	0.731382294277958	-0.720568757810644	-0.387225847446173	0.695100111264417	-0.462843572842456	-0.787856225329713	-0.579922792540038	0.915329696301407	0.617070626027389	0.827976221828978	-0.629112079777841	-0.2132256771652	-0.861465622029261	-0.320613863648469	-0.602027086279153	-0.540941201740019	-0.467025329654446	0.838102546161883	-0.0897159862491565	0.0473019116081682	0.663777807490602	-0.599818435527818	-0.46853981657669	-0.357604945659968	-0.827379093547068	-0.623849138504511	-0.225409548774742	-0.737798683455772	-0.412497846480073	0.937434049668608	0.855803083697918	-0.355185552969106	-0.794029803194171	-0.514257693460076	-0.703844821537708	-0.805593956569677	-0.670317166304829	0.0262432451544391	-0.705618006094342	-0.77938591839931	-0.742538826232996	-0.625409795309081	-0.768849730770011	-0.50722234370215	-0.734171679493382	-0.711371752750132	-0.773507509510825	-0.777433154974094	-0.72768161135544	-0.72134681007503	-0.781929521498073	-0.306292621366515	-0.760230241908323	-0.734120185504776	-0.565000259706933	-0.297037204368541	0.0876341043918675	-0.683250027667995	-0.68948761404358	-0.696518512231048	-0.797441745692134	-0.739629647606067	-0.641626255234526	-0.690602282141191	-0.622125070142609	-0.853790427080793	-0.495311919658615	-0.741881037925626	-0.764217936970456	-0.802260755937364	-0.792595385301052	-0.667331147379379	-0.788279717002148	-0.719859913312839	-0.756177482692419	-0.385659950262312
IFITM1	0.901553312999028	1	0.967702476530101	0.873811847590632	0.935197350311321	0.906521233635428	0.949282016962515	0.943614086126575	0.804258687606459	0.573058907767071	0.588732042196737	0.965479362577414	0.713135872078908	0.876513857805452	0.96613486127545	0.96310692030008	0.807247636621492	0.808525923462859	0.969469874287957	0.855577947803571	0.968021816304215	0.579806959878352	0.980124103301502	0.278469750256814	0.922041051403069	0.809950120367337	0.711612938553045	-0.580473075252219	0.712090348987781	0.727866159415284	-0.101994868628516	0.964211993235151	0.835928005826692	-0.176964089838255	0.380513370634326	0.900778454526726	-0.180625878986896	0.01484812052337	-0.492342632178858	0.878395856999111	-0.286633570022432	-0.197823818185216	-0.183434653563963	0.898177923456684	-0.357462430681252	-0.511160229720111	-0.481536649024021	0.494991913339646	-0.819509611277769	0.540970062722923	-0.718596859166407	-0.284886095781648	0.868256341388865	-0.269242265730375	-0.816999869845473	-0.562046639540974	0.94679004416096	0.772128124232965	0.870689790428686	-0.635714852249581	-0.0855257706522688	-0.885562550923093	-0.19996770005364	-0.613489029218884	-0.581452084449285	-0.416339277888347	0.955281328073555	0.093249065388214	0.222899463887815	0.617300382528604	-0.603284061667252	-0.48183615618708	-0.25578541284318	-0.835179695248726	-0.618646672897632	-0.266687703534117	-0.747265504418459	-0.453037736338558	0.827592863591422	0.961045545483889	-0.287988828136187	-0.813405060801315	-0.413682274333219	-0.732161497478553	-0.890189759665166	-0.652329657785136	-0.104630603032028	-0.683740465179076	-0.792089357048496	-0.756128684121814	-0.640007096393846	-0.805049195559635	-0.49913375906825	-0.748026044513123	-0.708856195545335	-0.768870476332444	-0.812348251534816	-0.746434051188743	-0.720479944121004	-0.760570466269705	-0.357785622343723	-0.768064570306864	-0.754191560436407	-0.564518600108637	-0.236802684755144	0.0345191713020494	-0.618973716657278	-0.731710628409554	-0.6907607628741	-0.773461219107306	-0.746499007184001	-0.649370029792314	-0.711599588550202	-0.632421862765667	-0.84718582846583	-0.363751535463521	-0.741371731107991	-0.784137125644578	-0.803146298127831	-0.806246191065	-0.669892582404605	-0.786356953649095	-0.719580343762317	-0.769139704571691	-0.302670003155609
CD8A	0.958101412901623	0.967702476530101	1	0.931837114939183	0.983538925004185	0.958258904141975	0.918077144095831	0.97781836220925	0.878220408216225	0.562314394412465	0.658208124130094	0.97633148757891	0.598668756678111	0.805738644501242	0.919168968484146	0.91405541842759	0.747901571793006	0.830323002270278	0.930429756492379	0.907594303169267	0.964410154746874	0.545793672939432	0.960068139165013	0.260789888562801	0.953635487507498	0.894742934324609	0.628985373074985	-0.607015254805976	0.640432629858541	0.773075659686655	-0.200197612775113	0.936075775894245	0.779368049414177	-0.23701930655686	0.403349423965877	0.947992310605506	-0.0735262277514631	-0.0408549507132781	-0.559292424547645	0.779992743050241	-0.305907019214996	-0.246504762680795	-0.235321100870761	0.90353054036739	-0.315787603063662	-0.543070829001744	-0.602627421772305	0.459309923100737	-0.840080449573876	0.604066263826976	-0.73239855544191	-0.318189854330498	0.792656158915493	-0.352939855884503	-0.815069234925646	-0.588556904760817	0.943776664685606	0.702559125099961	0.834527975675454	-0.658494083733789	-0.176212747838912	-0.89292573953335	-0.302183418957538	-0.642031883057577	-0.569438690801983	-0.416742047948113	0.919650456296115	0.00957240827023542	0.101780352829175	0.605769116060227	-0.628079623408141	-0.50270203331888	-0.30230447087659	-0.848173768610541	-0.663176115512203	-0.238296679169943	-0.767520620521031	-0.47573377835582	0.884845562707631	0.92870333606816	-0.343254372108988	-0.827558949878635	-0.485898109168572	-0.735814010653147	-0.870580623010588	-0.691383209833134	-0.0628449888927966	-0.718755433787927	-0.820311134783838	-0.777207220915077	-0.6683244419651	-0.814911360644048	-0.531440618828813	-0.762471771418084	-0.748181347751384	-0.772206834036069	-0.812999756396976	-0.760325908772932	-0.748814971390495	-0.79362128801864	-0.334225704528382	-0.795114884622015	-0.766488186017222	-0.592919783800291	-0.247425872466144	0.0668253764885021	-0.664058821327403	-0.727538859830886	-0.723268533886255	-0.80985328719577	-0.776564894090589	-0.673123853937095	-0.723066408379791	-0.62573768809821	-0.867693672820111	-0.459033817396557	-0.765991988215053	-0.783656235843344	-0.813692951852063	-0.818565407706598	-0.689520268782125	-0.823694079933234	-0.733636830612187	-0.803880768410212	-0.374350006384061
CD8B	0.988423496837048	0.873811847590632	0.931837114939183	1	0.963714670768966	0.872278859561324	0.838899728860843	0.905939429214034	0.920268644362724	0.57532375073754	0.639597779745821	0.915296584351167	0.46166608210066	0.623086825873316	0.768477907053675	0.797991099245042	0.680463601462655	0.831034408414188	0.804214944591317	0.880116418562748	0.889874672243452	0.546847709549031	0.874236196017823	0.362617257523589	0.877555530306377	0.96087994479736	0.353289651254664	-0.511862111096289	0.535162821412288	0.877124385576614	-0.213179621185787	0.855466019884777	0.74672312303844	-0.210916439483079	0.539651569844177	0.941508690564108	0.0665453612542489	-0.0890154737773318	-0.544648836872263	0.598069100391201	-0.222821699079928	-0.177541608975698	-0.290810523245326	0.918727361089649	-0.178173098718904	-0.490821144905987	-0.610072004049965	0.377296931820972	-0.796524238362291	0.76291417808451	-0.69655608884318	-0.378168435663678	0.660137179370427	-0.467793448624359	-0.761131465091664	-0.554052715821084	0.905762532555537	0.57771471467895	0.812340058382313	-0.600998768119633	-0.213498270235697	-0.831855412542304	-0.31379216448622	-0.574142734975455	-0.510348460678582	-0.454560986096848	0.800761359816032	-0.08796283733164	0.0431944239104843	0.661715992089303	-0.577546498902549	-0.452982960686731	-0.347034905307045	-0.795852325933729	-0.59518420545266	-0.208188540430193	-0.712792532215077	-0.384792942927217	0.948770922056731	0.815661620661123	-0.331221294322759	-0.771686911081469	-0.49014481263741	-0.67605823691257	-0.779630263152412	-0.645793635950278	0.0382126089299463	-0.682237822773692	-0.756417314468491	-0.723063518720323	-0.603084047089345	-0.739839767313343	-0.487482012639582	-0.707188489955483	-0.685971097641398	-0.747849854129272	-0.748624707898753	-0.706859670749293	-0.700338632013842	-0.759506983074819	-0.301799019359861	-0.736563194098821	-0.703658912821191	-0.540063057749579	-0.297108992764372	0.106795836370438	-0.665622842199711	-0.656162019136232	-0.676775240724391	-0.771855471062282	-0.711514264374179	-0.617441082867881	-0.664532433181863	-0.598517090126683	-0.828401932283758	-0.480663172098429	-0.720576235049414	-0.735676243662657	-0.772763362085862	-0.760787572939416	-0.650225525608365	-0.754322420001955	-0.698551024440324	-0.727494113600238	-0.368790087387853
CD3D	0.982932086081353	0.935197350311321	0.983538925004185	0.963714670768966	1	0.940335580385432	0.898928627643269	0.972627325852025	0.912536076925354	0.602502250261444	0.695132978729413	0.969643402560049	0.546657674406469	0.730521636677618	0.864439430998966	0.883502693134668	0.73410245174907	0.868002591049594	0.890486428522728	0.90096022117505	0.942393327340163	0.588336758957858	0.935736543320747	0.353272458101923	0.949604265983594	0.946317496826183	0.530545855452198	-0.547956980660815	0.608886021630159	0.819231985503078	-0.201529994561089	0.91735000741828	0.783145429753259	-0.197676845353217	0.471377731502572	0.964891501621491	0.0234046160972599	-0.0536084440456794	-0.520631097244727	0.709600281843632	-0.241206496724338	-0.191417660819187	-0.199618319782943	0.914492461775752	-0.205811251854885	-0.482466128165736	-0.594508926534418	0.407655076323062	-0.809765631447169	0.689139406502861	-0.700919713336825	-0.338974551763917	0.741240991839109	-0.386202672849991	-0.770768975711295	-0.538118965498902	0.947173915473163	0.642257108748931	0.835939655746039	-0.610603240090336	-0.169255352820487	-0.8628357744035	-0.285899811080924	-0.584615316989968	-0.495417314940938	-0.435028876610036	0.879229276081797	-0.0416151798717797	0.0890662919597907	0.635436355960568	-0.578954147230399	-0.444596234590009	-0.305493660374225	-0.813249589860919	-0.606168789429194	-0.171353096044109	-0.719561818410653	-0.407592290900712	0.936013233781458	0.897873314334114	-0.334356216797995	-0.786424322502904	-0.473608879436601	-0.687638214093598	-0.822381826303307	-0.653279751058081	0.0253109339429978	-0.67716843833943	-0.772716331443317	-0.74307858849462	-0.613094556164023	-0.7670092603675	-0.475222313183319	-0.720023531656594	-0.698858053458314	-0.749427143755799	-0.776893482951941	-0.711924476774827	-0.703776755897406	-0.770504395966826	-0.285944218588726	-0.753264776680335	-0.717824200272391	-0.538672133138056	-0.262699512331802	0.0904486190078322	-0.655566518842354	-0.66464036267381	-0.681193637786079	-0.784518101081224	-0.731940329037864	-0.617692400507646	-0.671110394283122	-0.600455107653257	-0.841693724847526	-0.445435060711478	-0.719048287796301	-0.753689966838748	-0.783252219313756	-0.774844665682793	-0.646407407839132	-0.777354383047298	-0.69102205127727	-0.753795099883679	-0.357210902043961
KLRD1	0.904842980053063	0.906521233635428	0.958258904141975	0.872278859561324	0.940335580385432	1	0.865146009738873	0.966578207391145	0.834498503683608	0.50184654946488	0.656747088239687	0.932654261635707	0.564138848059577	0.74886438330593	0.864801969062667	0.857440157636555	0.639458150194113	0.807080190936465	0.896153087246037	0.899214614360383	0.905511385537529	0.495277721364606	0.898445063689852	0.210965711882375	0.922500151116468	0.859866747400636	0.614935813273298	-0.630789128604417	0.59939341552121	0.687705820034543	-0.247213584964754	0.862498397128728	0.701512796011181	-0.28046782845527	0.361804023069968	0.913938174572561	-0.0885630012488172	-0.107496913119588	-0.585005939299214	0.734136786424895	-0.333541717392033	-0.250598463534445	-0.240000301633738	0.816551191134863	-0.325920624100426	-0.540839598224533	-0.643714579365646	0.372932667021711	-0.795484033869115	0.529843570534386	-0.695491880761914	-0.348338215744243	0.743500323095015	-0.375244610181075	-0.80311320457416	-0.59275588844892	0.894451042114687	0.604603680419893	0.776292872637067	-0.664299042565393	-0.220692713395982	-0.865784619756103	-0.34806228419581	-0.641901208582991	-0.584323182091762	-0.410995068531098	0.897957537527586	-0.0447884067473497	0.0292188230814967	0.564956371006779	-0.627803381018139	-0.493950392170249	-0.342043641217597	-0.83327242587924	-0.681101911523325	-0.216618872712072	-0.751996146923562	-0.499169291929417	0.821090318612263	0.887310606866931	-0.393558359424817	-0.809993096519349	-0.537058885116388	-0.721595102624026	-0.840976823337354	-0.701398034506073	-0.0997593984037543	-0.726419248085876	-0.803761329991597	-0.758345657032113	-0.664635339630252	-0.80249453943062	-0.545283280168081	-0.757923113844409	-0.751116090381729	-0.76342445452537	-0.773140922547043	-0.747728960761822	-0.742739761824621	-0.7957674054599	-0.318335673386435	-0.789964033106256	-0.752152351957825	-0.597752790272165	-0.277757289861815	0.0337751279418558	-0.684025115021678	-0.705917441929227	-0.721299879458914	-0.811433250119592	-0.79238810544514	-0.671397557320246	-0.713705023517735	-0.629736993173338	-0.859079776376433	-0.525678517540244	-0.758226948414458	-0.784712222980701	-0.800902756281366	-0.804064198107505	-0.683872756188771	-0.824922411130355	-0.730183555626744	-0.79703311872148	-0.413396992512048
CD69	0.858713133527617	0.949282016962515	0.918077144095831	0.838899728860843	0.898928627643269	0.865146009738873	1	0.931838396082159	0.762376283304987	0.767299418770421	0.62146593746721	0.93181218727329	0.806121730103344	0.88906191930492	0.953569377459593	0.974230509167264	0.774274877664885	0.892327056071457	0.937678258227507	0.79250521387191	0.95045352078591	0.740069637624621	0.960251132213055	0.489781951836844	0.927682796716813	0.769496617513955	0.659441734506718	-0.405861940097788	0.737608921622333	0.715121139620601	0.109787548027843	0.922871289895947	0.939652465814881	0.0632034712067688	0.457887196840387	0.86547066666605	-0.0384968508045295	0.0965382706938706	-0.332940619356281	0.853795459360695	-0.0475771039155124	-0.0859365749092515	-0.0364773752723128	0.847832562727702	-0.191104146781636	-0.450223742709075	-0.332621401807348	0.420095053500266	-0.698362129526804	0.577510034432598	-0.562641822581376	-0.268318775464976	0.846359085914421	-0.189530620132172	-0.737832733076474	-0.363724584096619	0.954683861932394	0.749998780173891	0.880282051411977	-0.474624133048047	0.146202054681559	-0.866947242516427	0.00452246186056286	-0.410693694195759	-0.483285212059176	-0.380264118822673	0.938255218808322	0.270689739278259	0.415125321034277	0.685789479221512	-0.402797167844038	-0.27351778853012	-0.128025925742293	-0.73174759629989	-0.44521156687037	-0.156804811580229	-0.592488058901064	-0.219645134227558	0.856163431263469	0.937508681479634	-0.0928178917649278	-0.713327983095664	-0.219325974491523	-0.551171429467054	-0.811774564664317	-0.509789682215157	0.121390187892211	-0.516096685735226	-0.686472183606362	-0.639013941244713	-0.440827126694945	-0.668871080909563	-0.282490812276507	-0.598883550599399	-0.532443208041939	-0.702693805761698	-0.77457185566881	-0.623570252330789	-0.548517846230958	-0.621751667353563	-0.272019520670208	-0.616263721082824	-0.605457508799929	-0.334935528735497	-0.184230113734654	0.058495770767386	-0.504670788311151	-0.638577251730691	-0.524526894011715	-0.653294380506493	-0.613643396352236	-0.456918574115241	-0.530101666557991	-0.590762017135106	-0.772746752208946	-0.226687782476736	-0.584172786668998	-0.717513656928236	-0.71343053903848	-0.670252016184651	-0.508466342038411	-0.64949675071869	-0.573299871523252	-0.634877462993085	-0.0872964437739466
KLRK1	0.937095269234283	0.943614086126575	0.97781836220925	0.905939429214034	0.972627325852025	0.966578207391145	0.931838396082159	1	0.850375070886237	0.629193291734022	0.66377450682522	0.970332095361597	0.642763224427747	0.791241190864474	0.903837512002403	0.915281149823191	0.729783440596413	0.875824971517636	0.928062746910273	0.88854229700443	0.941401754616551	0.594535000343217	0.946074053839014	0.355698481047441	0.955349553641825	0.885896037569274	0.603641302115091	-0.566326591376386	0.663791917313096	0.766670432925032	-0.145769910853629	0.919514821538684	0.810684838314542	-0.171651801494803	0.423720466288166	0.944933967602447	-0.019433488716427	-0.0253905229789923	-0.491040717784838	0.781037612176447	-0.219121005034745	-0.20591245260114	-0.140346694355594	0.874318308029648	-0.234727405319187	-0.490555212599068	-0.562868376892848	0.41167468646247	-0.793149820912197	0.6197869731302	-0.666440061340199	-0.323953292867191	0.793221876348186	-0.301284870063438	-0.769407975855244	-0.502580050369109	0.948262970928259	0.671181334962704	0.849116117702573	-0.571109276285925	-0.105372714557934	-0.882195403804589	-0.247159966227857	-0.564541648425019	-0.500422432068979	-0.405529249902828	0.926910011401159	0.0446747698191516	0.14343233674215	0.635765004956222	-0.545877000808541	-0.411916051882874	-0.268069864921956	-0.804355503217862	-0.587194058151549	-0.140635812630223	-0.69923231571256	-0.391186500622248	0.893381072476249	0.926389875171121	-0.306967245570492	-0.777912748645665	-0.428817356553256	-0.655707011519415	-0.829378028079719	-0.628006111021658	0.0269658441660577	-0.642649923627853	-0.775393085285212	-0.734787598794705	-0.575626336656125	-0.754259229247307	-0.429468871132455	-0.693690874993564	-0.679600081853686	-0.747692727813198	-0.796857707372213	-0.69046206397133	-0.682025270138718	-0.740879055529284	-0.321947732542489	-0.742401063052647	-0.697151055965171	-0.49106875651682	-0.225367786590898	0.0767034554295315	-0.63142919481812	-0.664246936328373	-0.655598759349394	-0.771876614280475	-0.732963702075376	-0.585567559795285	-0.638442129842247	-0.599325866166224	-0.838105280608906	-0.395446716021855	-0.694152028068625	-0.749224927771409	-0.772046131152709	-0.760277123750105	-0.609124344000888	-0.774202565999815	-0.663557061340531	-0.756202140322185	-0.31064527506281
LAG3	0.913811725951628	0.804258687606459	0.878220408216225	0.920268644362724	0.912536076925354	0.834498503683608	0.762376283304987	0.850375070886237	1	0.522270586587735	0.761174521829964	0.807509026007707	0.275052474446383	0.634455579158111	0.717779733747146	0.703882576896283	0.500720455029477	0.723819217328078	0.693917698789556	0.856729107294011	0.870172684905016	0.515033083246216	0.775548981607126	0.28793443738906	0.888173435679315	0.878217175263583	0.359303100472871	-0.406257138021999	0.326897024913636	0.675953342377718	-0.242476150436543	0.737370978451495	0.658648433057555	-0.132036294990506	0.307654021185789	0.808655792011882	0.206732352487138	-0.00494779272043396	-0.442684408332236	0.453609934415055	-0.215870248121052	-0.242399126913426	-0.156957690000864	0.814091226698956	-0.0692197552664992	-0.45840525476435	-0.571687811382823	0.379989283474362	-0.696778846827368	0.587346265291256	-0.599733056329908	-0.227626827580111	0.489841714419768	-0.420643041252801	-0.61347943244799	-0.416049135879402	0.845605025702733	0.400230745814514	0.604191818204282	-0.553299221967794	-0.290071287047565	-0.71148302263548	-0.372324272363804	-0.473517863997868	-0.369530299974714	-0.255401005411127	0.668843971069946	-0.0269991883495245	-0.0401440686396922	0.391569683979622	-0.496427932686848	-0.328353373904345	-0.25127417871989	-0.641027835268305	-0.530231127755032	-0.111838605754212	-0.605872956807104	-0.333696761303433	0.883559781535198	0.68670724142896	-0.228562877795847	-0.651298654941594	-0.391760062403805	-0.573202218682023	-0.690765416729952	-0.52652869063467	0.0508746476701202	-0.567797790903993	-0.65356017092823	-0.597095732578315	-0.529885524421753	-0.635070302290885	-0.443063861309316	-0.595896408734426	-0.59875191188334	-0.599732898918579	-0.64163646895472	-0.587932776180691	-0.607752342946414	-0.628872210673682	-0.13120970160222	-0.629675527863959	-0.587045696018707	-0.472564853063093	-0.196256332798358	0.084309743419189	-0.520414952623622	-0.54597477164483	-0.578183410170938	-0.657271022281574	-0.590098982231246	-0.510209825363914	-0.560404082403383	-0.461681309251329	-0.683245914396817	-0.476727008588164	-0.608275254005862	-0.595964137167669	-0.614801052507796	-0.610924405187204	-0.541209810784981	-0.647829286370908	-0.5639425534694	-0.63435446886665	-0.319576483898691
PTPRC	0.569572020745486	0.573058907767071	0.562314394412465	0.57532375073754	0.602502250261444	0.50184654946488	0.767299418770421	0.629193291734022	0.522270586587735	1	0.610425930641446	0.609084386038435	0.615401729287014	0.596182487834847	0.616132155558097	0.693354464322572	0.523414300548873	0.841243387351381	0.566640255854767	0.389064613921057	0.63180467920282	0.872611052917617	0.619436049105015	0.852337799309793	0.693126055403466	0.534349118388548	0.345204702135338	0.157643093405405	0.507218992497239	0.504270024918816	0.459474328655468	0.564493130552549	0.871234852186244	0.558078000261373	0.576084655488933	0.55707227721402	0.42979168239271	0.116178161037481	0.122424286285855	0.491767331724255	0.543535262802642	0.271396512405702	0.368277715061819	0.548188609318603	0.378457341528324	-0.0319459485442483	0.168646054836915	0.00749978401900969	-0.191131945459882	0.548835736043927	-0.00491738759949797	-0.237457196747902	0.488251698072175	-0.0399952793649986	-0.284107279505664	0.215301519499208	0.714333646668994	0.442772636039437	0.614142484051916	0.0095644394113806	0.572660151230066	-0.496107451553059	0.433523973423393	0.213232392600117	-0.0439380076614348	-0.213889165674793	0.57983852949252	0.489442233099839	0.656710626072619	0.638223118455678	0.216811781573031	0.328716088873659	0.117141625904081	-0.269201872063019	0.158740760537795	0.183837149133156	-0.00726643449398182	0.401358320152395	0.706929090113879	0.583641682093037	0.277248046529366	-0.197729308512959	0.258078923901311	0.0588447672852444	-0.34446697085942	0.040929416046845	0.664371159684458	0.0461449882825772	-0.164657084610054	-0.121088121969767	0.160277387477661	-0.095216677511998	0.313514838626761	-0.0206546043061578	0.0655438994255863	-0.389004722919495	-0.367631107451638	-0.0898236187408245	0.0505664754844749	-0.163615001610637	-0.027693578375832	-0.0415781423521333	-0.0269188652590509	0.275887531909331	-0.143965040519381	-0.0030367589431149	-0.179326350859295	-0.130827451028771	0.0698338587158422	-0.219230266481105	-0.115090580593259	0.135399908952453	0.0736669047498317	-0.361397897640654	-0.349257035946991	0.123715409167585	0.000660180882962857	-0.369955715528625	-0.336985700122178	-0.141346546367774	0.0526704934531224	-0.0990465284918599	-0.0617687738722405	-0.0677289066788974	0.376821000490591
