""	SIGLEC10	CD163	THBD	C5AR1	TLR2	TFRC	LILRB1	CD74	CD86	LILRB2	HAVCR2	CD40	SIGLEC1	TLR4	CCR1	ITGB2	FPR1	CCRL2	TREM2	CD4	ITGAM	CD93	CD44	ENG	TNFRSF1A	CXCR4	GPNMB	ADRB2	STAB1	PECAM1	SIRPA	ITGB1	KCNQ3	TMIGD3	ITGB5	ADCY7	PILRA	UNC5B	CD63	CD81	APLP2	SDC4	GPR84	CANX	CD47	NECTIN2	CD68	ADGRE2	HLA.DPB1	NOTCH2	SMAP1	ADORA3	NRP1	ABCA1	ITGAV	SORL1	PLAUR	ITGA5	TNFRSF10B	TREM1	RXRA	CD72	CR1	SCARF1	PLXNB2	FPR2	TLR1	IL6R	ASGR1	ITGA4	ERAP1	SDC2	RHBDF2	AXL	CD226	CMKLR1	LAMP1	LRP1	TSPAN14	TNFRSF14	PTPRC	CD9	LPP	SCARB1	TRADD	MCFD2	ATP5F1B	ADGRE5	CD33	PTGER4	NRP2	EDNRB	SORT1	CD69	RACK1	CD46	NCSTN	CADM1	TNFRSF1B	PTPRA	TNFRSF12A	RPSA	SLC16A1	ITGA6	TNFRSF21	NCL	SIGIRR	SDC3	LRP10	C1QBP	PTPRZ1
SIGLEC10	1	0.847882649471548	0.414761117282029	0.761492200715293	0.556851116614042	0.734386305380542	0.600800960955372	0.321777067497525	0.173198119558849	0.426461579036995	0.491170811633556	0.288342884015969	0.493269195718394	0.71397754804072	0.560002130030931	0.668362670756718	0.829106387765919	0.505216627282846	0.80526767277939	0.640980186913104	0.561133119429437	0.725879391052457	0.531813379583182	0.769317620080008	0.374254276629223	-0.294598552721076	-0.230131494377522	0.472822772581034	0.855309153671462	0.145677539658491	0.605858348068535	-0.00350243953253891	0.580123151092903	0.663353639945441	0.618872487177313	0.778301193940445	0.14717657014018	0.669585568459137	-0.00850832863328669	0.68471149764639	0.310700032545326	-0.198424349104267	0.701534089490279	0.142126147598498	0.164254233398678	0.151287134398307	0.301436736767858	0.74222223213388	0.0573361345557802	-0.0704023195237222	-0.04060635533239	0.851167236624688	0.608011444774585	0.0656204011514504	0.346666818882957	0.642696705457818	0.534241443751669	0.0541103879587736	-0.0819970341209774	-0.381561888255168	0.283919059122992	0.155584909076391	0.595326326985439	0.48097945661747	0.223028339124989	0.513646612240237	0.669991108939296	0.536113363614415	0.087097444398622	0.569537387274781	0.276711963641696	-0.513541609396341	0.684967410892195	0.261642187849403	0.185428524465295	0.612449033431942	0.41693961668674	0.449131491678372	0.623083954354568	-0.0535136788479339	0.451426198921284	-0.21245709697064	0.0282502705525234	0.249923375133124	0.32712185397075	-0.0803662364111402	0.00689374320758003	0.0165497121556049	0.647092449568864	0.570595766833297	0.22091070233317	-0.135091400902546	0.325198034426294	0.451793553154609	0.0738961320344197	0.301100212483872	0.0765688691037626	-0.00712372718088957	0.468097984883164	-0.0418978483959197	-0.159845260014676	0.0637596417374834	-0.0979409029344563	0.292219147783783	0.137843623488798	0.0763575909200948	0.0968197175988345	0.130640280398831	0.265211642801634	0.062219698539264	-0.165789584409646
CD163	0.847882649471548	1	0.655427708345407	0.773959739159277	0.764255084815913	0.720277870639925	0.604482449070172	0.0294246863259628	0.207091732209232	0.301116459667929	0.560228217311502	0.256812363672383	0.642254009558136	0.675997196638705	0.751543108624848	0.73366915397302	0.820223355163276	0.549038858319133	0.893328001063529	0.750512667980217	0.739348221762527	0.847951667795187	0.663571392784774	0.776218651851476	0.382437742873462	-0.38441446575388	0.0748361934614725	0.671913464314342	0.925763184034782	-0.051852857300926	0.715121519815469	0.0507109852163191	0.591629655343276	0.837649135894551	0.740380440978928	0.749687325522536	0.362521692619532	0.650977793296462	0.064213562711962	0.777934536797163	0.502315246518474	-0.155733300209566	0.848716357206296	0.293325300523518	0.15609953560564	0.161201029707358	0.471678182807421	0.604852991316399	-0.181991268151863	0.0424474649396907	0.0662401278572834	0.921532393985262	0.810556227858948	0.333724689766251	0.337968905029794	0.615748440922211	0.601652841429796	0.119464472243853	0.0137011719545452	-0.126169701513779	0.523225922888486	0.165487201363519	0.617434142736411	0.435121588340297	0.232885952951138	0.414037035201922	0.693743426863069	0.711504451185869	0.0208920786399936	0.433170705301349	0.206214625372996	-0.31017674498105	0.631492725999812	0.204111803476747	0.248167166025412	0.821425122244918	0.670463378833901	0.678450482270471	0.726929922129029	0.147659219605064	0.337929217088804	-0.180376305998557	0.100558354421411	0.382776162100045	0.205259819883545	0.000266462516825803	-0.0446816405195625	-0.0224044172339002	0.595053274062937	0.571500202096701	0.324408201448781	0.011455709330894	0.416620464115634	0.317218019892433	0.0276070145439057	0.291500551720212	0.0949752261921691	-0.117796546676784	0.477842102447733	-0.0520554096354073	-0.13205813247439	0.0209541468579615	-0.104606111659103	0.207752266530602	0.211227008895905	0.0575937989523443	0.118487259906549	0.171210670261322	0.269777605391441	0.0165756581733791	-0.174586820923296
THBD	0.414761117282029	0.655427708345407	1	0.543520424045954	0.656294917225551	0.197709340604474	0.374209287372993	-0.251910599425566	0.345473316895477	0.180610236843626	0.300161717959616	0.131411528526196	0.574021082551811	0.489375171371261	0.705595863976337	0.416459110466327	0.414685098832865	0.427314163152228	0.483403780466071	0.449231051782626	0.745820583917377	0.663304259595336	0.7190710941668	0.345371786914517	0.155239352583557	-0.335278836610784	0.4915241981483	0.57100060865782	0.451262235949903	-0.102329938649203	0.441917219209918	0.0197155458612379	0.0882409598031575	0.730874051482148	0.501504054211613	0.262932895159538	0.574614018819359	0.146001574793388	0.0804705626275471	0.428717332977645	0.466609074117077	-0.129662519179261	0.574957846823652	0.322611913927158	0.146904843707882	-0.0579003118419942	0.584070539963001	0.174619503966437	-0.294929432167229	0.104102597654201	0.142293401829474	0.566165686086893	0.675268160578463	0.408659689082312	0.0302230556021223	0.163628461748806	0.572603161579096	0.0542824064824355	0.024236136701381	0.391491551878453	0.574947716831531	0.116442357979834	0.469461573085953	0.173774450697234	-0.000811019127421323	0.168192646505028	0.323163356700163	0.538384782418797	0.215838601827752	0.0785446305822294	0.0520578520596756	0.153154824202569	0.0887548992363065	-0.0965311519147238	0.341426232000235	0.652948938267701	0.691025045172672	0.501011833627958	0.501214401670406	0.314159193542277	-0.0487448337130798	-0.197665700336349	-0.0183685966425302	0.27186862759244	-0.0566928341399869	0.0213054617397541	-0.170496368751718	-0.131782228126806	0.258104722907812	0.254190416705644	0.201531731465896	0.184879138110729	0.209710557315037	-0.193205962885147	-0.0242976289831071	0.102279388960544	-0.0480963724391518	-0.334836564598857	0.0944808319919251	-0.209917081548189	-0.203048394195924	-0.0457941653485926	-0.183356305336499	-0.198352300306001	0.284573551785083	-0.0353958482169566	0.0470165593782412	-0.0554871399543107	0.156418478571353	-0.0984102642059019	-0.269478346172276
C5AR1	0.761492200715293	0.773959739159277	0.543520424045954	1	0.592374640260605	0.667574211465032	0.454573117840305	0.101949572534063	0.114272280013102	0.277789226873574	0.344628032346455	0.0531624659816819	0.587939642337986	0.652449068320022	0.504092629618605	0.437783146191674	0.783240548031731	0.720721247260435	0.675080844431095	0.452279219657916	0.44952081767389	0.648799521332601	0.53457844238467	0.527396387688236	0.160191342224507	-0.456034812402993	-0.0552750407969342	0.536682071498962	0.785739112532581	0.0693954961257985	0.434090767924452	-0.162326412719148	0.551046991827821	0.551884918115239	0.432152344881781	0.648770033100594	0.375527076007282	0.511313805644852	-0.126282733686196	0.459973957682452	0.220488935439389	-0.250076293296508	0.706774333145633	0.0173364847240049	-0.0873830165199811	-0.0476213853017225	0.281661153061264	0.643233941668977	-0.164844608587537	-0.133983203120885	-0.0416472111902486	0.716676590317836	0.478421073946454	0.207015204378549	0.148812786594878	0.527473097852293	0.759826045949435	-0.110069012072394	-0.187924272350605	-0.129557948029282	0.213010313709591	0.453153737653769	0.682608708172457	0.263934221241084	0.0232100198623603	0.403699315160016	0.564381645478778	0.528514625924305	0.106701996767488	0.293405382368354	0.0110325566854167	-0.323085948597738	0.621667860026545	0.225794935518386	0.0113754360340891	0.640555921531475	0.41915782121127	0.419131852425627	0.519656015588104	0.0372479235033674	0.134918565023042	-0.288125967489005	-0.116335168050528	0.167080082481376	0.050023811595544	-0.179286614456558	-0.236904004836971	-0.260208429066425	0.362097444770564	0.521790479215704	0.0799780716672298	-0.147384796116505	0.130634711920107	0.319938137970317	-0.11100431609988	0.121533843924162	-0.110398765011004	-0.215238179093181	0.501412154077718	-0.181723932860297	-0.29812583135356	-0.185352687048523	-0.228976534127144	0.0969598566509361	0.00342603586379902	-0.169921257197812	-0.0221812181867801	0.0340907049915621	0.169059879268239	-0.198175484412773	-0.226658579846243
TLR2	0.556851116614042	0.764255084815913	0.656294917225551	0.592374640260605	1	0.511699865949468	0.524266394769319	-0.188991705980709	0.360864126960057	0.200215119889512	0.500636715013798	0.314407592059523	0.406367271621548	0.662182880584934	0.707919374215333	0.618350412756937	0.603273554447962	0.431011788353439	0.678894690560986	0.581381881299592	0.646067834973821	0.677994424627528	0.720526856230762	0.597861633367721	0.332226716876813	-0.261852728397963	0.329536348310609	0.645162286829008	0.632468887961152	-0.156404546551657	0.638718954624531	0.230326417120765	0.371455004619383	0.745486613197678	0.591591160814257	0.509216950595075	0.467070678131783	0.551950351368134	0.246704228107152	0.634138831825153	0.600885832298201	0.0165360844208952	0.727965667238098	0.447451816295045	0.27283811592386	0.157159830627089	0.491499272181441	0.492085953467475	-0.292653422398344	0.278642271254506	0.363635827110695	0.636274449516496	0.788362883177375	0.478224022329101	0.313742734132017	0.455644729827713	0.634008837381112	0.19638604911065	0.201005388037681	0.286639764895702	0.626183026185021	0.200986225446574	0.351035525294072	0.283966472614056	0.237992328516487	0.406860788222638	0.642470098034053	0.702484335462659	0.202488975835169	0.291469448634844	0.236958186586644	0.121008867957353	0.436348964697255	0.105182190547505	0.257974406025354	0.626186495251966	0.625107275318128	0.697187542115608	0.628664009043659	0.2918962228634	0.2454823328784	-0.00700820927473972	0.211966718846572	0.404581396965719	0.205647660709536	0.184932282999932	0.0523664186042978	0.0982695781654103	0.522272376027388	0.43344833951366	0.361576617321033	0.207684906847193	0.396122621796288	0.0720336053200677	0.188580759251559	0.301675385210558	0.232350138927198	-0.0695037297375089	0.462550753430058	0.0634000938454027	0.0135485282081082	0.157015566584122	0.0333736464842266	0.164080874451882	0.268043843410293	0.177448177466571	0.205428364703684	0.128981425543069	0.25695099764276	0.104745370897463	-0.0984201663811602
TFRC	0.734386305380542	0.720277870639925	0.197709340604474	0.667574211465032	0.511699865949468	1	0.414208459631425	0.217696296187308	0.112146795851471	0.0566875055254593	0.476122275505791	0.200154447098816	0.320764633369047	0.452284737081761	0.370367870347476	0.553194581670615	0.795648201039679	0.481827810345841	0.795567351958752	0.552340006522347	0.269911942574206	0.536097525240852	0.296946365312238	0.607787870896769	0.379470020663866	-0.232844609475356	-0.209313198093401	0.478152432800662	0.830050580806802	-0.0378557908096841	0.556250819541339	0.0373586805291439	0.778969862975817	0.480235786908006	0.479407797661894	0.788344341164312	0.173072740119865	0.782180311550763	0.0241781683721107	0.62025824553673	0.241023928176072	-0.0651311592311136	0.678673893998846	0.0552659202168601	-0.0921431981036517	0.189991525268078	0.111989328219197	0.694946184391881	-0.0112873749835338	-0.0517724459931976	0.0220928397124719	0.737750388374581	0.500017654626167	0.225355417895697	0.396260095752399	0.728006774649408	0.460961490701297	0.000140639103908559	-0.0605370371129818	-0.369759431886677	0.158557250069935	0.274562669796031	0.380902522574209	0.303661728472704	0.180398426890229	0.363011693643418	0.728062491091356	0.597748496519879	-0.318884920046843	0.303938038634874	0.150721345754475	-0.394991684699209	0.876326513272455	0.492848744305391	0.0976961254945962	0.536208788360772	0.279031822108478	0.533752916876096	0.553637955229295	-0.0355981048566811	0.402204649399724	-0.00840707993883164	0.208774253038847	0.302050973364087	0.300209686309292	-0.0400032455458461	-0.0336899620660945	-0.027105459964613	0.401143737266537	0.660152225202067	0.248639584299114	-0.173483930946125	0.459821438132802	0.675784959145375	0.0162606195972457	0.321392947326867	0.148570807083673	0.176903233471716	0.727134783370516	0.152632407297601	0.0055566552686506	-0.035624143304716	-0.00136476557644735	0.514232622672198	0.0363712810754712	-0.0459397992564763	0.0458838032827239	0.297329084239807	0.285250458722549	-0.052707246101538	0.0528380711503962
LILRB1	0.600800960955372	0.604482449070172	0.374209287372993	0.454573117840305	0.524266394769319	0.414208459631425	1	0.209014392667648	0.279709086700084	0.726186217062544	0.590131975944871	0.534217970925695	0.375990158196816	0.639385740795152	0.667196701364543	0.811062147636248	0.48362975720278	0.347107044813515	0.512508880334488	0.814924334809	0.670406450920672	0.56509713851112	0.596195048220138	0.797051621074866	0.487915457750754	-0.117275670692096	0.0595793626907053	0.421293949259631	0.508723767950904	0.0312985882274568	0.665413046538039	0.436964994091375	0.254406241634105	0.583338231126727	0.620064685444561	0.619339766054057	0.174997041332816	0.466072465605941	0.341174819657172	0.710973176100859	0.628418612381017	0.180416842057254	0.488440850003744	0.481790765442515	0.630827615971831	0.534151095130275	0.523501828594341	0.675105110481428	-0.0485027100152942	0.43402018533161	0.381776105411371	0.539334193334811	0.653860213011217	0.250580552002356	0.643092080158818	0.490230760453308	0.390221556570181	0.574170170615923	0.364823723042897	-0.0946805289526888	0.493353883739041	0.0673601278365883	0.366030042226132	0.742252243087162	0.685564852902679	0.336076047408004	0.401840435798583	0.616644599142483	0.216751149597457	0.601064563607853	0.513405588303782	-0.208849130156631	0.342164765718849	0.136817655479042	0.0563430219234017	0.556938842459411	0.543976504651243	0.437268025898015	0.636195027082186	0.225278296135705	0.694072876508739	0.0752961734396106	0.189851303937086	0.344825347079584	0.558043896209337	0.346241391778622	0.544987115544904	0.552694899655314	0.782809499833271	0.573934269654421	0.557380903358183	0.0716207126586209	0.336851256955832	0.19055524506609	0.550731203359741	0.464569880658688	0.401645873521825	0.154772457476402	0.348508944150651	0.124291209086762	0.136234839420097	0.581878066651058	0.219456594974089	0.329832276319682	0.309672952903584	0.630006692287154	0.522998502732212	0.0416178685560091	0.380952623014643	0.613753175699736	-0.13087227103303
CD74	0.321777067497525	0.0294246863259628	-0.251910599425566	0.101949572534063	-0.188991705980709	0.217696296187308	0.209014392667648	1	0.381433150955675	0.238030042847907	0.468972384412987	0.366298906559584	0.0646765359912456	0.14608049712982	-0.0519333303525263	0.206051496050795	0.226804960063071	-0.0044584279737982	0.148223658052053	0.174162998228716	-0.0858865987797914	0.0394341289400286	-0.151847811169803	0.213756934350561	0.171908624945276	0.58922533702418	-0.400668917479835	-0.100092103844392	0.169699766726375	0.583105687266466	0.0234691706317044	0.0468542696811038	0.220439053405656	-0.102933939944442	0.0570906056471833	0.320319982297865	-0.163453201031549	0.257495994767689	-0.0217909618971431	0.131206768929441	-0.144893876435945	-0.207212722759953	-0.00518618525432813	-0.114693811128774	0.209776549286644	0.142750096222185	-0.0568185738784052	0.312636451924256	0.90890063824647	-0.154427174874969	0.0038356221848034	0.132806777548447	-0.0871546623896025	-0.272002901400871	0.179340209348779	0.309965998299077	-0.0800146896688034	-0.0209315884125193	-0.00822468380155029	-0.495583687733982	-0.256650640449542	0.159992079854102	0.129878191788569	0.374257961088756	0.1068283887115	-0.0346601404413565	0.130402753312818	0.0883620662192773	-0.153788853880553	0.614131317667225	0.16687603241216	-0.407102435124125	0.354538609239794	0.481171831505797	0.394863718396075	0.054790954254711	-0.123062152790567	-0.163496761622374	0.0783518534405404	-0.0185266901890431	0.590865383367589	-0.0302712492357526	-0.000286728155104017	-0.0647409281348886	0.408314580447014	0.065844439056173	0.210738262224834	0.179731051244037	0.291621591938252	0.528387551953457	0.0131819833259281	-0.258185650414703	-0.0573654853636694	0.596533362006086	0.301010631773068	0.139143059452188	0.0760661714450504	0.342489622323087	0.216393716667748	0.028157795368671	-0.0318186275974154	0.306210261036428	-0.010267092995454	0.290528065965049	-0.0324815230478986	0.186690547188128	0.385849512169239	-0.0145253994387688	0.269266586469787	0.242159815294266	-0.0746777915550763
CD86	0.173198119558849	0.207091732209232	0.345473316895477	0.114272280013102	0.360864126960057	0.112146795851471	0.279709086700084	0.381433150955675	1	0.0520799708744013	0.618715820857045	0.584171765835106	0.206265869327902	0.340729635349809	0.411597179983788	0.442903001729751	0.266589313727376	-0.00107932847585136	0.326371975691345	0.346567674061909	0.31371635529413	0.202098412883263	0.344717778801581	0.15142604161336	0.227926824799467	0.509171921953501	0.471949119472995	0.417520757485419	0.129714773135383	0.193937334904716	0.23236340410101	0.286370414765164	0.258208654466387	0.396255800869346	0.326927548456257	0.134089063468762	0.528811047229931	0.24801307908169	0.320274984700518	0.32605983224475	0.371539265765081	-0.1381425657253	0.261287051603441	0.366621100153206	0.392318438837722	0.124550292714945	0.54443821475865	0.240351022464051	0.431192273504577	0.21986190566736	0.422401296819115	0.230190754019586	0.377884615151375	0.322439375996821	0.175435547083956	0.313159041269504	0.162345931648558	0.102417804713029	0.322742453224121	0.339188714796094	0.401476382101008	0.341060710123546	0.0722656660970575	0.183503337940506	0.147547931377633	-0.0585375059592994	0.279009637428554	0.411797929541718	0.0707093131960078	0.3087055573335	0.205505439888442	0.331335432743783	0.225324366339345	0.362525557478918	0.583199987221029	0.32224621360374	0.428133163764982	0.30588681544565	0.323629535961807	0.507113450379344	0.411552176892011	0.0982719109885134	0.146730461303397	0.305383765530818	0.315009908870253	0.358044095662919	0.202863732974165	0.176945400336737	0.292094739592054	0.424282168199965	0.272598360336164	0.174464469342396	0.190395580629364	0.110483010527303	0.476171338874042	0.266640412621857	0.194643261249446	0.155716819196674	0.226155721931814	0.0242644138877541	0.0304937178472394	0.442596206822752	0.0236986917580756	0.147962977885664	0.222817354099227	0.290964911059398	0.521893824075582	-0.0675921982632767	0.406314493883327	0.26293835354396	-0.15644859269481
LILRB2	0.426461579036995	0.301116459667929	0.180610236843626	0.277789226873574	0.200215119889512	0.0566875055254593	0.726186217062544	0.238030042847907	0.0520799708744013	1	0.223038900029338	0.376407218489133	0.240968037945387	0.50549146745569	0.395366494174396	0.557207514486606	0.178359179964163	0.105466348445231	0.161617366631018	0.5562914166845	0.546704485373499	0.384767304632331	0.371052242634137	0.670563003566422	0.235373939807241	-0.148990345759377	-0.16303442782954	0.118354166667037	0.222871555561145	0.0271563910356681	0.328369506256225	0.337243350322975	-0.0305635913911928	0.265948818437522	0.378360074678647	0.397676686080578	-0.137935696317746	0.146503335158665	0.170629886770561	0.384906000865665	0.331798059239448	0.119932007023791	0.108884720764298	0.24338648723263	0.572351587785087	0.417620962477192	0.282825683158719	0.466869115791968	-0.0363221727862107	0.233975423137179	0.153118231594662	0.25891114428367	0.339428824662694	-0.117629226635361	0.488719688340206	0.130117864430603	0.200853100735162	0.540388075256611	0.216387010605907	-0.208398305365601	0.269479212391218	-0.0606363096885506	0.280183126163289	0.705113455857373	0.605971838269193	0.185000323097893	0.134624548495858	0.247081944068131	0.383650167901935	0.637407477033215	0.485476004629857	-0.288904011432611	0.00749198861691983	-0.154714530345014	-0.146092968827316	0.255905583263571	0.206562340841072	0.0248411934648027	0.301188863223888	-0.00431873081371216	0.580065364664561	-0.0985361856020132	-0.0759456128302508	0.0442819249963294	0.448825068757847	0.166053524416179	0.566214794087671	0.4918001154267	0.699065873945888	0.225785713527267	0.329245951382995	-0.101868536315768	-0.0328328744092328	-0.0272095468178083	0.46572689270693	0.241062438046635	0.276017113603704	0.00264788335372548	0.059471758718728	-0.0555072105650595	0.0386560967961193	0.540689817536035	0.152110295321998	0.0453048583650833	0.209924078027345	0.601223649383765	0.392058260549086	-0.183149712489351	0.111037645364923	0.630050584173396	-0.264562639934068
