""	CD74	SORL1	LRP1	PLXNB2	TLR4	CD163	TLR2	NCL	ADRB2	TLR7	KCNQ3	ITGB1	ADCY7	CD63	PILRA	HAVCR2	TNFRSF1B	APLP2	LY96	SIRPA	ENG	SIGLEC10	CD81	ACTR2	VSIR	LRP10	CD33	CXCR4	ITGAV	RPSA	SORT1	LAMP1	PTPRC	ITGAM	STAB1	CMKLR1	INSR	CD69	NRP2	TREM2	LILRB1	TFRC	AXL	PTPRA	TSPAN14	ABCA1	PECAM1	P2RY12	BMPR2	STX4	IL6R	C5AR1	TREM1	FPR1	LILRA4	RHBDF2	GPNMB	JMJD6	CCR1	PLXDC2	PTGER4	TNFRSF1A	C3AR1	CANX	CD4	ITGAX	CD46	C1QBP
CD74	1	0.887041543243423	0.870162252487166	0.788657098711523	0.611734133358366	0.770593690940847	0.679995401138867	0.824342280761456	0.262837042072088	0.804619126529274	0.797150437309269	0.82577575578795	0.779858563145466	0.799317113621155	0.875545783130606	0.860345076047777	0.779896625675203	0.771894965080139	0.810220869471521	0.819242440280976	0.693811886602372	0.805476572390886	0.871333762653798	0.876298683882103	0.791639351427439	0.784314808210161	0.825097786559539	0.400113630455304	0.880546679209428	0.883440159688029	0.821284130755314	0.775205221516788	0.877675387267512	0.790696713262035	0.806745517296305	0.77341466671154	0.405761771894266	0.893462395690033	0.810116977177996	0.931436439286413	0.827268913044004	0.842991344330578	0.956185578566587	0.6414136361947	0.876515358306912	0.714546326234714	0.716388000382177	0.284059871529803	0.852290107911617	0.872285898001062	0.748595767908347	0.819609095530235	0.765034903499618	0.889649909982978	0.79366589754492	0.850237199331387	0.548970799519236	0.757714856273756	0.818371308894993	0.937310024775444	0.821495931897579	0.887282329572461	0.842578143191069	0.807591679787512	0.885332038476449	0.837122575116608	0.725114733604135	0.817171535193957
SORL1	0.887041543243423	1	0.804286847211745	0.737230633751305	0.612452806702137	0.636815194794986	0.731404950572445	0.755132096750399	0.418151766405127	0.811137870002589	0.758623119593652	0.713173828813618	0.739364753389883	0.631778874484778	0.803413537881958	0.817564872827495	0.700091328825652	0.650517240667003	0.566658177075895	0.738885632538904	0.574268440607483	0.67088416014106	0.765697516276878	0.844854173587705	0.80588708049716	0.721862774751277	0.688025389454492	0.587388168267111	0.74523283296554	0.751396188834251	0.798582384594026	0.657468250196711	0.878117707610634	0.758489749262052	0.664300397732987	0.670804607388717	0.474750217853892	0.773681421438197	0.696890276608361	0.780832249429129	0.795423239236408	0.724772468706346	0.859432151068666	0.61204338265255	0.841877555606348	0.62616211692622	0.709362870118197	0.344515900647463	0.784192190555946	0.775746356267978	0.774863547928322	0.709062794022874	0.673778783403373	0.78578914715651	0.796546562191097	0.864864793468055	0.436597744278147	0.71182065101005	0.73400872409731	0.878329009603292	0.733154546401584	0.782299166832202	0.823640407280998	0.670835089609346	0.786832923585494	0.835887171584838	0.69527370556713	0.683605459236587
LRP1	0.870162252487166	0.804286847211745	1	0.846564498001936	0.664430885563646	0.922751086487263	0.681449964613588	0.849960869233629	0.245726483353707	0.718428680312266	0.787371649413924	0.928895449091796	0.774450604905538	0.885245252178332	0.842038424155387	0.885822881062687	0.886463215751642	0.919229263388644	0.824774940482411	0.907763250844144	0.821094858879924	0.859417004443934	0.945276539840064	0.924246581806057	0.639308899113943	0.871238757463556	0.674690740899726	0.397971986640113	0.925779892868863	0.86155289381547	0.731568844021269	0.908593173595689	0.790858753470467	0.857638506443945	0.906230861872814	0.856208987427263	0.425642545034747	0.799443527988913	0.8675312810976	0.885243176234836	0.823541166250636	0.89689282661193	0.850030304507804	0.755353776872334	0.837674862364121	0.892732304343729	0.779894388504537	0.0951781845497409	0.855096775467953	0.844532929186627	0.788904046380781	0.870456873619935	0.749046525505277	0.871486062088391	0.715154639687491	0.771230353451301	0.774056880951603	0.710504979234501	0.901738155274367	0.92954032650208	0.842522390643484	0.886433204631307	0.782656666089922	0.914267914627027	0.925406802093839	0.874083156996793	0.76112682959422	0.850883951548929
PLXNB2	0.788657098711523	0.737230633751305	0.846564498001936	1	0.610538984929868	0.77759278214001	0.675231941720348	0.776350332015495	0.278992312598858	0.662569855567377	0.755225419185831	0.845205958030223	0.726341253940488	0.784853999535731	0.735569463671899	0.78677198028679	0.817367613651991	0.821091970945889	0.694349605663634	0.815247050788496	0.783216119142404	0.774314859288818	0.827926407719414	0.815613595265978	0.617605083337643	0.79313729367337	0.640707850469368	0.414050797896329	0.831057176494633	0.723924991688139	0.689717782446351	0.79020986736625	0.774190854029238	0.763025916888556	0.823891127009424	0.764643030336598	0.467464523139525	0.75562266870619	0.793229101162674	0.774524022234468	0.751168286444578	0.793913253647417	0.740712140455328	0.636924161149127	0.748609762439183	0.804387301305891	0.683506717287141	0.147955420202219	0.749122113694685	0.778672005887363	0.709108069995838	0.821364553086335	0.73387395872257	0.827211488451478	0.63264758443785	0.717765866099435	0.678807780722825	0.694964200496117	0.795274750511646	0.844298726027972	0.792966535086623	0.803612680215114	0.752333576840782	0.794621163004959	0.835436433222025	0.811667212252944	0.669123709269619	0.744374934362964
TLR4	0.611734133358366	0.612452806702137	0.664430885563646	0.610538984929868	1	0.611255997629073	0.6895488935962	0.53569955122745	0.449024687990963	0.548003577661512	0.638928962925462	0.608180794410494	0.58400484808418	0.590517782266152	0.641536287298104	0.729509718739223	0.632546972199869	0.643459082309313	0.459860085184684	0.61922050082524	0.517336542103212	0.661435740293913	0.627473432684598	0.667734704138127	0.597977748247456	0.595433810852102	0.490861776233706	0.363583588947077	0.657102953096706	0.472838239027561	0.532998200504146	0.651076207190081	0.585784815473316	0.645336437245221	0.617567309770008	0.597311907599948	0.322128288222293	0.527706348086315	0.666917753527768	0.583042675474061	0.560793114621947	0.682432971476231	0.584353354815602	0.58417273241886	0.622634246643722	0.567729095150108	0.613624593617762	0.184563309006467	0.594196460057683	0.567694030877402	0.617827030692392	0.59198073416163	0.470941328649998	0.597601152257605	0.519814997714087	0.661188249412104	0.476873952420863	0.591374564946564	0.622688447270647	0.670372523967204	0.609740621110869	0.6749046711401	0.695965215755736	0.620568008520694	0.657983237189588	0.622996172291733	0.567017325618781	0.53193909848665
CD163	0.770593690940847	0.636815194794986	0.922751086487263	0.77759278214001	0.611255997629073	1	0.565893821612234	0.729251075940762	0.179371072881398	0.587434876958405	0.74070145401623	0.897196395146647	0.730437810345235	0.91774077874543	0.765332125043976	0.806242244359784	0.898011729881023	0.943717520634805	0.863107799252749	0.9063514207058	0.864804077584835	0.862652970479646	0.946712461215598	0.845165280797065	0.48864913630326	0.849903744071073	0.592819634177562	0.278339122261329	0.88883564019461	0.807611876982753	0.603000076880366	0.913754992504263	0.633051929407775	0.798142981135326	0.936137504285901	0.891150282487829	0.284825675483211	0.705515149037751	0.842152533414825	0.864598724677503	0.765185207178836	0.87170379872753	0.755010633472272	0.670354833474317	0.716293672548849	0.920389009134147	0.730635456563556	0.0300401237884984	0.770092863879253	0.753297804796866	0.71828312839098	0.847690012309055	0.652686458307362	0.811450389731762	0.61052951833087	0.625625266508055	0.891425534950073	0.603415600639504	0.91414083710108	0.853127899332558	0.820048402084238	0.849227704395286	0.690971493633753	0.925464124757785	0.905002391870953	0.780810788754021	0.692817076334681	0.78989272968558
TLR2	0.679995401138867	0.731404950572445	0.681449964613588	0.675231941720348	0.6895488935962	0.565893821612234	1	0.611532403278736	0.490442692483476	0.626379304574244	0.629543607907575	0.628284185082638	0.654142515389978	0.516906706785828	0.697016494795583	0.758096008082925	0.627166399503828	0.597866234980777	0.42646439675075	0.619346030028852	0.519529566925594	0.607169450244153	0.609547122703642	0.71860479450473	0.760803916232773	0.617467610889437	0.532765925817673	0.543557788612317	0.628356256737735	0.50009438307315	0.618852962348894	0.585880129867245	0.759439529734221	0.659504785213504	0.570403372680521	0.562210527896238	0.51264815144621	0.624797364131719	0.645727029939717	0.561559331382064	0.600012354430202	0.658147073741991	0.621547672410927	0.550033607652885	0.734227892833967	0.562230772098389	0.670640557974833	0.32142988664751	0.62170644293631	0.633535124726096	0.679867573953077	0.629084920058839	0.612416143452288	0.661453730413797	0.578844846307709	0.771712197097811	0.383604887596738	0.672506899507311	0.605339647010847	0.703311759230024	0.620190072427343	0.67877964374177	0.709067828352484	0.56190757949679	0.682686832493243	0.657609170973957	0.637091831401123	0.554586975517003
NCL	0.824342280761456	0.755132096750399	0.849960869233629	0.776350332015495	0.53569955122745	0.729251075940762	0.611532403278736	1	0.248893486501081	0.718806094162243	0.712289443458088	0.864705315362679	0.697502512064055	0.749230768891872	0.770678663092863	0.82421601646724	0.760664958788683	0.772638801185954	0.732797471564821	0.756998869521665	0.715515501562067	0.720750677230739	0.789015711085008	0.874366929261055	0.607796740513955	0.793199152822894	0.612226677658352	0.423199291400916	0.832366117395905	0.819531868790963	0.691273219360715	0.765486479608117	0.821163242926523	0.755301407392912	0.7435767676255	0.693451551503031	0.489697196376716	0.805730205586939	0.754106727408023	0.789026383666446	0.781278411816987	0.751777032575309	0.806349041834997	0.771112090051543	0.814122521391067	0.779086383538091	0.677405011660275	0.111499905232821	0.772191409525762	0.83424602585123	0.747556321179116	0.779180380957518	0.814212462342473	0.86799929687127	0.642917322430147	0.753051077045743	0.569612437280722	0.720761659844082	0.767110364303503	0.825052675188263	0.813170263299329	0.790010452159391	0.746792490488544	0.794260047933691	0.802828247514848	0.820776857927438	0.678289893872311	0.827657550259697
ADRB2	0.262837042072088	0.418151766405127	0.245726483353707	0.278992312598858	0.449024687990963	0.179371072881398	0.490442692483476	0.248893486501081	1	0.319967865317354	0.361510735263866	0.250358155926417	0.334585646378613	0.148835782167004	0.29763956842271	0.393074251085427	0.262650465710651	0.20373417583619	-0.0148630785758272	0.206124489300878	0.204652704675916	0.219491758607077	0.2134853852055	0.358053664769364	0.508029190980624	0.320870724720444	0.0890767778858848	0.46923935789936	0.197152444694625	0.130256683806345	0.311414670043517	0.213327515824354	0.366751106706934	0.320078447522138	0.1818998172366	0.259288716583112	0.201384934701794	0.0792582577506819	0.177305177129524	0.172180766035842	0.303233857100661	0.204096148407825	0.211416477632279	0.301878533764109	0.233978869167755	0.240313013921009	0.254731947552143	0.416794530362346	0.202259605637846	0.166180430904787	0.336918911699342	0.123836254460963	0.102861990307574	0.225804813519744	0.382405694715564	0.396953644621148	0.151541136515853	0.284772067939212	0.285747067478437	0.291182127762389	0.237297850521648	0.329188924288812	0.440974748950528	0.174350888480909	0.297553524484985	0.342166924085055	0.286035855467089	0.0887237324011246
TLR7	0.804619126529274	0.811137870002589	0.718428680312266	0.662569855567377	0.548003577661512	0.587434876958405	0.626379304574244	0.718806094162243	0.319967865317354	1	0.722908914257032	0.65235602019814	0.722206793156851	0.565372265697493	0.780326702794753	0.692152057231495	0.646801048522713	0.616451775693031	0.581605763857537	0.655931181674389	0.530034881343799	0.628015041643442	0.694214140961733	0.753233658143955	0.73717346672205	0.668984063361084	0.656603099002514	0.494541377803256	0.727645982576921	0.739463961931371	0.7858250194577	0.611872487222784	0.805145097739703	0.661638998686528	0.610948141153869	0.646103880838999	0.477834887030198	0.725141512138343	0.664459616383771	0.700865112290086	0.700435506193341	0.676179300946516	0.804563035069173	0.556281920476197	0.764586818248063	0.583338117693445	0.603940553046241	0.300509877088397	0.71986334799543	0.754345668370817	0.639305973997555	0.68601393095152	0.649990865092033	0.75573226659451	0.672355154922451	0.776400413080734	0.391214751211078	0.712067803696285	0.687998686645495	0.776890575584915	0.713700120339564	0.732645631452234	0.69914372421498	0.633751605017324	0.716184832346366	0.731482734276138	0.63502522025907	0.700854973001996
