""	CD3D	CD2	CD3G	KLRB1	CXCR3	KLRD1	CD247	KLRC1	CXCR4	CD8A	CD8B	ITGA4	ITGAL	CD44	ADGRE5	ITGB1	FAS	TNFRSF14	SELL	CD69	S1PR4	ITGB2	ICOS	CD226	PTGER4	TRADD	PTPRC	SMAP1	TNFRSF1B	PILRB	IFITM1	LPP	SIGIRR	PTPRA	HAVCR2	CD74	SORL1	VSIR	CANX	TFRC	CD81	C1QBP	APLP2	CD63	CD46	TREM2
CD3D	1	0.885400946212515	0.803016176519201	0.13798399919403	0.335693647799984	0.141833883730121	0.259092179752122	0.303453871854161	0.382336479113025	0.540194766714071	0.604461027991937	0.569012608037401	0.476026661028185	0.581245668985856	0.60680829225411	-0.00447938692489927	0.161494361617886	0.0973544489628172	0.0210112806909633	0.245119752653583	0.432091707904847	0.00599811208586608	0.537667254874588	-0.0297872325739717	-0.0652226959184544	0.0959693895090012	0.722970379178208	0.00699595180091672	0.0633475851638683	0.0890362899478903	0.192031570027458	-0.190919031382602	0.17897906370325	-0.078040571739073	-0.162866484391649	-0.14031005074505	-0.324226433796969	-0.153351891346174	-0.11933835415618	-0.383592880158898	-0.278670504313687	-0.00840144640247954	-0.265034065075306	-0.171451119396769	0.0233443402722244	-0.378302016647362
CD2	0.885400946212515	1	0.867566949717176	0.198664693604355	0.444840011442708	0.0699042572506313	0.327246954684934	0.162092792272736	0.429033356404717	0.439270988827118	0.649743557834234	0.533173451527401	0.470065125585971	0.591425870299905	0.600859949139112	0.147725445642274	0.170104720525667	0.260447508078393	0.0604576683407336	0.211998263694665	0.430222096632633	0.0701828752225962	0.566479235186048	-0.0755371883177781	0.00149989243040321	0.168992791875539	0.800755947647188	0.137375936540979	0.214480011683465	0.240839140002067	0.321616749196866	-0.0697975038044121	0.404879578542618	0.0477181665255495	-0.069323633319557	-0.032877623330579	-0.207394341517195	-0.0411687246892034	0.000347651425174501	-0.280339095675091	-0.157610127877629	-0.0114228498068954	-0.17928797650094	-0.106382535108561	0.246519552884389	-0.331088454156195
CD3G	0.803016176519201	0.867566949717176	1	0.258320020672662	0.43060322306647	-0.031158389970148	0.310996262068685	0.0291136039263774	0.60424429223466	0.461310426971453	0.540177204041236	0.634219889481454	0.468463397285007	0.726383495190467	0.710262539701679	0.260458339809637	0.225878026977274	0.353174646851444	0.0759899630840424	0.386845240365591	0.621209557187087	0.165391576060031	0.609176283231428	-0.0489112118973362	0.19570636023398	0.258831569106412	0.859647517700554	0.205685107021486	0.307594759295751	0.318703995680073	0.425585003019041	0.0555034474247513	0.43223560665959	0.0808234296105093	-0.0291531121117354	0.0973912566576725	-0.100810267612386	0.10522346146279	0.0941837348885747	-0.209926938380786	-0.072236791801714	0.124514390830276	-0.0862424722233764	-0.0189142424923045	0.329327363653259	-0.282579649072756
KLRB1	0.13798399919403	0.198664693604355	0.258320020672662	1	0.0182410275321091	-0.115753001239822	0.269295663018888	-0.118802201981402	0.320948458701424	-0.401681187792647	-0.293832512890441	0.080298087991244	-0.231046097527828	0.108879216103038	0.00407452956355681	0.0933141907661888	0.230329784304304	0.415088969736763	0.505953056409779	0.511461827083577	0.394427910534142	-0.107920856054094	0.578432431359745	0.432832135683478	0.357282860884286	0.410281938782379	0.220699414270617	0.283770331604735	-0.0861462033020306	-0.178010414716114	0.279477861271149	0.105882806721739	0.0532874192362586	-0.0624432145731044	-0.157973202166271	0.159563456617862	0.0539471867693137	0.098600702904895	0.138005471259274	-0.126483312484285	-0.134546534150856	0.40826187398984	-0.0691531173270067	-0.0685728673255734	0.086776371575813	-0.198614920151823
CXCR3	0.335693647799984	0.444840011442708	0.43060322306647	0.0182410275321091	1	0.240882949408828	0.337526168204633	0.248053167410567	0.301990464297243	0.309296272355362	0.505695866327467	0.406213020963937	0.225652522382425	0.453896475178358	0.327468902670642	0.41101800934753	0.312370837534399	0.396633311626293	0.0168945947473279	-0.0975694411950244	0.1718375063689	0.303993093809166	-0.0747847718381974	-0.39967670093914	0.223995166952974	0.280799590861406	0.427830186525501	0.214744436025698	0.329998604537125	0.324734062706727	0.478462503332383	0.123209070397584	0.560006259825321	0.24184066671924	0.0306233798715678	0.219299295121691	0.0589988915962573	0.0989335550575346	0.217318715115708	-0.0052549578054353	0.154674758209738	0.248505275290807	0.0978298439084293	0.193534108960872	0.407997708890205	-0.0647159625842761
KLRD1	0.141833883730121	0.0699042572506313	-0.031158389970148	-0.115753001239822	0.240882949408828	1	0.678220072730951	0.728149046017137	0.209570614829749	0.52337386572311	0.457023239903158	0.260637933774319	0.480626757109149	0.282693799023373	0.367192736240202	-0.145833308980467	0.00768373943666989	-0.123009597414708	-0.374778270466492	-0.122742132826802	-0.18091404562575	0.160996582348105	-0.351848386420612	-0.161001162767256	-0.0509305550025084	-0.120969172917417	0.061424016016603	-0.261679030160865	0.0349241551659867	0.267460089701401	-0.00994365998535338	-0.221236300253595	0.0520879467333726	-0.125698747531449	-0.033114537852266	-0.148809561497561	-0.284566667834618	-0.255921183524395	-0.25973052140321	-0.139482136147392	-0.131225111394807	-0.185494988350911	-0.231482505879072	-0.154190597624879	-0.150523871179167	-0.130801946020787
CD247	0.259092179752122	0.327246954684934	0.310996262068685	0.269295663018888	0.337526168204633	0.678220072730951	1	0.359403834667166	0.337419075033639	0.444866659634154	0.349670270366292	0.335606809468611	0.331930052645425	0.507139843213755	0.420366364527257	-0.0103007609710638	0.348633814905216	0.195510423727108	-0.19878872155025	0.0279630237303894	0.126677924105439	0.224918478422711	-0.0854319855047662	-0.113264404043572	0.0371086758867562	0.312350153197357	0.321627778850619	-0.0781150036050604	0.0128878462136717	0.316222778201316	0.264291612101308	-0.0904549112453135	0.187593695717886	-0.135126099030963	-0.0824542631819213	-0.0257886098406176	-0.257996257465327	-0.174233586205949	-0.11115105765968	-0.209880633112103	-0.11069714744946	0.0640781020581032	-0.201655054579497	-0.10793073668074	0.0440367702778617	-0.238714250257614
KLRC1	0.303453871854161	0.162092792272736	0.0291136039263774	-0.118802201981402	0.248053167410567	0.728149046017137	0.359403834667166	1	0.204693520175895	0.455811664624133	0.530510419658453	0.312098667138466	0.408145792056941	0.19955971760661	0.281454247696212	-0.186869404449446	-0.162984281373678	-0.184960445469764	-0.277185947234942	-0.0397635570399836	-0.114900263081304	-0.0224670042830639	-0.20269565367321	-0.139555175456138	-0.156831890649988	-0.291671291370592	0.174891210830029	-0.289746342100236	-0.0357324320863605	0.016621347885042	-0.0759994374759275	-0.343256502666972	-0.0384144446130443	-0.15273594510341	-0.156897448841384	-0.210844129856316	-0.337484779323802	-0.292861453887359	-0.279475546640327	-0.257176008970389	-0.262627921712974	-0.152550584476929	-0.284428723141469	-0.21999928677593	-0.206092517935518	-0.212728113078988
CXCR4	0.382336479113025	0.429033356404717	0.60424429223466	0.320948458701424	0.301990464297243	0.209570614829749	0.337419075033639	0.204693520175895	1	0.35459002385695	0.436759313509591	0.608473885654464	0.597221239077261	0.704275293240489	0.590008760371358	0.184441344463917	-0.178015856152822	0.30646597085689	-0.183058948930672	0.731800988935134	0.356019760715882	0.198402814793045	0.380411238159266	0.225186986556283	0.593578311163881	-0.0224260499238383	0.695182342752978	0.20754097228161	0.443269742248492	0.237775960957575	0.248045826806632	0.113096800610824	0.36532411747521	0.0417797501801724	0.058752925762613	0.222945233785231	0.012254299492911	0.234105768750486	0.0859196524055508	-0.0127037470255045	0.00284221826139156	0.00847907843399337	-0.0897309096829547	-0.0921781010310339	0.275850314604074	-0.125763691536756
CD8A	0.540194766714071	0.439270988827118	0.461310426971453	-0.401681187792647	0.309296272355362	0.52337386572311	0.444866659634154	0.455811664624133	0.35459002385695	1	0.752747354702585	0.504672701434151	0.604355119902857	0.632975796409419	0.633621420218278	-0.134224503603738	0.060281902196658	-0.135825811065703	-0.574736999627308	-0.0635521639888449	0.10089574850191	0.258102615767592	-0.127610090411464	-0.452452182118468	-0.116540712007458	-0.0575445040418982	0.478427541377069	-0.287963857235636	0.140060022701888	0.474155134189083	0.00794692025937421	-0.216195912755424	0.120343256915944	-0.131691109593545	0.0133347972250789	-0.163089490856701	-0.327618706635471	-0.197333956905524	-0.263855020756206	-0.184389213873044	-0.109297432930255	-0.295473627904414	-0.24666474044088	-0.168597031856788	-0.0244544140464936	-0.171633232652189
CD8B	0.604461027991937	0.649743557834234	0.540177204041236	-0.293832512890441	0.505695866327467	0.457023239903158	0.349670270366292	0.530510419658453	0.436759313509591	0.752747354702585	1	0.612274212112146	0.689747193295355	0.581627401541834	0.635519065897797	0.115953617401361	-0.0329762390994124	0.0898043323627015	-0.433718293363497	-0.047066605324797	0.0762084289450311	0.277039043461758	0.0633812708775542	-0.388475662719161	-0.0480125475130811	-0.0476107268246775	0.620037229426699	0.0253354436714375	0.355962264072618	0.383633796550376	0.165013837059288	-0.0564395838514693	0.461063196670958	0.123842127595994	0.107962151071105	0.00509525383048992	-0.18584270665222	-0.0410139252468365	-0.0315875098435052	-0.0958170293208221	0.012223831720515	-0.177856052277845	-0.103521658714255	-0.0545732965965155	0.145647558941573	-0.117292872213608
ITGA4	0.569012608037401	0.533173451527401	0.634219889481454	0.080298087991244	0.406213020963937	0.260637933774319	0.335606809468611	0.312098667138466	0.608473885654464	0.504672701434151	0.612274212112146	1	0.592613299550864	0.70724799419844	0.595002488608689	0.426872440075337	0.0641795684564078	0.270993264323181	-0.247561609435992	0.275402928311151	0.509634328771248	0.359541667422395	0.351777620134059	-0.121081889693383	0.216169980706987	0.269688557899234	0.705280451304988	0.359522894362892	0.402024931752532	0.262627211747011	0.398992085059054	0.21624081239661	0.485800084610213	0.217723957144965	0.164701840912596	0.32614704029136	-0.0766280481760474	0.201285514018328	0.285589246717459	-0.0454603014663539	0.12578046167209	0.3381269480025	0.142317144816717	0.229167852089828	0.218393785597227	-0.0733559831691909
ITGAL	0.476026661028185	0.470065125585971	0.468463397285007	-0.231046097527828	0.225652522382425	0.480626757109149	0.331930052645425	0.408145792056941	0.597221239077261	0.604355119902857	0.689747193295355	0.592613299550864	1	0.493948788842696	0.604459732053885	0.0247459068801556	-0.31550248038137	-0.108166755614846	-0.504004523307057	0.300846030369398	0.12363372918192	0.214268199530884	0.117863591545448	0.0354428685592075	0.1751253326357	-0.262846485160307	0.610363781314523	-0.0295154164791519	0.377110469047319	0.244484778166191	-0.0155907283801247	-0.0748968290726894	0.242618545581247	0.0199299884528636	0.160619326655883	-0.0415672375817613	-0.149559960266261	-0.0151196061110762	-0.101671367005213	-0.0218330852812477	-0.0158437291505966	-0.320011497425385	-0.137966895744728	-0.120179891920943	0.0585137655346121	-0.0456285226694811
CD44	0.581245668985856	0.591425870299905	0.726383495190467	0.108879216103038	0.453896475178358	0.282693799023373	0.507139843213755	0.19955971760661	0.704275293240489	0.632975796409419	0.581627401541834	0.70724799419844	0.493948788842696	1	0.715148305666155	0.335985443400988	0.249919498069166	0.432894536474606	-0.209381151964373	0.297303886825074	0.444123970336242	0.46086357678487	0.223880496552403	-0.128592467478686	0.343756037129331	0.346675198447148	0.732179132445038	0.278468831581344	0.449235966619562	0.485720783731144	0.484936528049178	0.230541801054346	0.490519553589004	0.157725290393574	0.147430462106102	0.307941965161545	-0.0207040170165998	0.249694406951106	0.208020965808746	0.0291907420521275	0.149144314785831	0.208106845085529	0.0691155202343687	0.12721200765292	0.357164552644562	-0.102127919681656
ADGRE5	0.60680829225411	0.600859949139112	0.710262539701679	0.00407452956355681	0.327468902670642	0.367192736240202	0.420366364527257	0.281454247696212	0.590008760371358	0.633621420218278	0.635519065897797	0.595002488608689	0.604459732053885	0.715148305666155	1	0.320592343883643	0.19184843107261	0.324156689039293	-0.283683505640219	0.159294603771154	0.431685190069295	0.350619674340215	0.291438855665621	-0.0677848098426699	0.123244617779205	0.114197552618615	0.67406241971203	0.259237035629546	0.51174500193122	0.52922709801891	0.451016660487059	0.216061042925292	0.473297467263965	0.29958709931732	0.164535736597324	0.18203845028825	-0.0631099117300878	0.17122809056081	0.232256373751414	-0.0246090766775616	0.163185833711799	0.113824254417506	0.150888614391628	0.208007074263494	0.396184727122292	-0.0944176267695318
ITGB1	-0.00447938692489927	0.147725445642274	0.260458339809637	0.0933141907661888	0.41101800934753	-0.145833308980467	-0.0103007609710638	-0.186869404449446	0.184441344463917	-0.134224503603738	0.115953617401361	0.426872440075337	0.0247459068801556	0.335985443400988	0.320592343883643	1	0.368879917174351	0.690199081107911	0.141018530387328	-0.120174156424349	0.373001700645383	0.592523950126623	0.136576865280018	-0.0860003644102924	0.350890898451453	0.547420805885679	0.331216345321117	0.833887722765433	0.729535739974161	0.399058746545139	0.808438250774416	0.783810192051485	0.793799887530945	0.762498657581802	0.526676914948237	0.778446488205924	0.54484279119465	0.726169623463933	0.880007434253316	0.508322032885431	0.764743677586061	0.751406178179204	0.799749443928345	0.827859373829857	0.802000421819734	0.403397388454973
