""	CD3D	CD3G	KLRB1	CD2	CXCR4	CD247	CXCR3	KLRD1	CD69	PTPRC	ADGRE5	FAS	ITGB1	CCR6	CD44	CD226	S1PR4	SDC4	TNFRSF14	SMAP1	ITGB2	IL2RG	ITGA4	SELL	TNFRSF9	NCR3	ERAP1	ICOS	TSPAN14	RACK1	CD4	TSPAN5	PTPRA	PTGER2	LSR	TRADD	CD74	CD47	SLC16A7	HLA.DPA1	TNFRSF1B	IFITM1	CANX	SIGIRR	SPN	SLC16A1	LPP	MCFD2	SORL1	HAVCR2	HLA.DPB1	PTGER4	RPSA	IL2RA	CD63	C1QBP	APLP2	TFRC	FGFR1	CD46	VSIR	LRP10	CD81	CD68	PLAUR	NCL
CD3D	1	0.931012612665705	0.742675074024507	0.930683033847004	0.956284180353084	0.821833035280245	0.718219078384579	0.731265809404933	0.836336417939729	0.696578903023925	0.7066218622586	-0.235096831682689	-0.326285451253098	0.23914347798921	0.0227387862082931	0.686278505868225	0.653296787035174	-0.604157020222435	0.168682399759582	-0.36274642206745	-0.107871831847416	0.725583790797007	-0.070739994036833	0.757055712553365	0.243131794138667	0.268610333877672	0.534171708017398	0.791615867598675	-0.0140267169907528	-0.151736677988675	-0.146635496909197	-0.291937988366322	-0.628551105831412	0.481880561433107	0.119969976582663	0.273788507477409	-0.366158261483259	0.00221545175928341	0.167692115044991	-0.319539731793649	0.0185120408192265	-0.0178036315324351	-0.654392608532143	0.37646816371287	0.0838473797489717	-0.607269167502617	-0.58505085389017	-0.55318582858249	-0.506602039065211	-0.495804263007767	-0.27392212777751	0.0252929365741472	0.336089957554055	0.0705543609246443	-0.761651347457291	-0.215433701369999	-0.737649398417397	-0.653010594984094	-0.561183848714004	-0.305380452048641	-0.36122800938502	-0.0108015268805059	-0.697198855159079	-0.658273391022817	-0.620477137319654	-0.264312969521532
CD3G	0.931012612665705	1	0.687751069999531	0.919441615963864	0.843886675410978	0.807418187892052	0.785974248917955	0.657527516676247	0.686547352090743	0.758390529302067	0.67418830003325	0.0232435386215771	-0.0753605958443761	0.396525506180546	0.102823441578899	0.73560706310976	0.717791432062082	-0.350053793550347	0.321431933357441	-0.0931140099402725	0.0731135547435641	0.797950753306678	0.18059463820229	0.679878428888386	0.409847975079782	0.329884801340016	0.452868884693772	0.753016894238196	0.256035178826477	0.0311185286885162	0.0437282997834201	-0.0204276888774352	-0.407098243912117	0.309026188684393	0.152740479591724	0.43717768670167	-0.133339558652975	0.24880565141711	0.372453553895889	-0.0844796766849817	0.227597935090895	0.219454079334332	-0.421430031218169	0.558138205338659	0.17836327031431	-0.369549707803919	-0.357230410430931	-0.368138628478298	-0.445445135140613	-0.291471046460984	-0.0414144633061865	0.189669319968809	0.414378486395884	0.275559425994064	-0.547387489676039	0.030408521004822	-0.517157384952582	-0.463917582792746	-0.321084734609441	-0.110931819932041	-0.156758779657938	0.185024012392713	-0.483598052781874	-0.488784722710438	-0.423001344224644	0.00181982424536902
KLRB1	0.742675074024507	0.687751069999531	1	0.575093756637751	0.771247652001825	0.868821300516845	0.78054862702508	0.749291992348512	0.712427875108866	0.54661382514813	0.850115057198496	-0.471184545047594	-0.228452969487244	-0.208642471526741	0.311734885874141	0.889695812455594	0.441406591417012	-0.421077861534571	0.0624204412337063	-0.414686717468058	-0.315391564247909	0.237107381006111	-0.272012404271661	0.401768659684456	-0.133231785979408	-0.171356591925316	0.722321567499319	0.496339575615904	-0.0563411777192751	0.195687734017308	-0.219613238660763	-0.204220347605721	-0.733553176657628	0.658090238766092	0.370826986797983	0.351097628983821	-0.305250876862512	0.105948132893779	0.443880410498647	-0.244032694140521	-0.248278607894021	0.0372180231277788	-0.487981471514092	-0.0168705474677206	0.0690296201068773	-0.67503134640057	-0.544170586617277	-0.329525927478977	-0.505063370039745	-0.507332980804215	-0.17401328752634	0.325725662799068	0.691240049667124	-0.40397163109168	-0.620999118280806	0.061489723226505	-0.685138945191485	-0.666466920214234	-0.501893949345469	-0.426298646055911	-0.318161053416842	0.0270962646414175	-0.637470539009504	-0.431548501466914	-0.464185877445671	-0.131701617943156
CD2	0.930683033847004	0.919441615963864	0.575093756637751	1	0.900626258061847	0.676610573580851	0.66009179199214	0.658156710959488	0.781815592650363	0.747074201151407	0.63168220149951	-0.0248349639670346	-0.244611837547075	0.451674741751404	0.0154136379164207	0.626065994021947	0.621361639204871	-0.534365196478576	0.312182188640374	-0.224001901846256	0.100854367235472	0.799686149384144	0.107511117732739	0.81536055821976	0.432190764068279	0.288962947363268	0.410626511445818	0.810215886977337	0.133117990214629	-0.166325099729439	0.0305003942919189	-0.198100319916507	-0.437765186899265	0.370284057452479	0.119902328115837	0.291536349142606	-0.231666907824556	0.0821215333062555	0.0503698529704464	-0.203314155109147	0.239760555342811	0.0177798786028576	-0.529830487772951	0.53923828939379	0.0998293416094832	-0.489728560425984	-0.49978527819099	-0.482463582368482	-0.39330006305829	-0.303904793224521	-0.166857910806196	0.041397393856467	0.230399863830866	0.33037492870752	-0.64619239453579	-0.186081691939882	-0.606451260314079	-0.511437274092271	-0.415799248184457	-0.235893281730734	-0.243460750130853	0.009825698507199	-0.559493539648979	-0.532639068031845	-0.496594450625193	-0.190860399682191
CXCR4	0.956284180353084	0.843886675410978	0.771247652001825	0.900626258061847	1	0.754768509767351	0.634240596801285	0.820671716049089	0.911089633156883	0.684609258964541	0.753099111480066	-0.317240091612193	-0.395967458773883	0.135228809433512	0.0724311089977101	0.722458871786643	0.571722124143622	-0.676347512593318	0.190252002904439	-0.461773647805311	-0.132355641328339	0.589504524037907	-0.136197431172016	0.772806929284409	0.17397198275126	0.119238711388627	0.563156530151876	0.78934975792393	-0.112457907715789	-0.172364913792728	-0.150580981974127	-0.397181973934371	-0.683387451539876	0.583088976440615	0.174359657217994	0.16934233666602	-0.404771194575151	-0.0806026243937305	0.0735026189478312	-0.364888494324626	-0.0423910468203388	-0.111292005938907	-0.684003967309488	0.304817248861394	0.021847671846031	-0.725016488281819	-0.670685491243613	-0.58365185347599	-0.460481522874365	-0.520097578214046	-0.311997263410102	0.0362329187950094	0.330395767308345	-0.0146613165954125	-0.801585376347554	-0.278876759862452	-0.794582959883694	-0.686477626995447	-0.590789633227375	-0.439883086346712	-0.39093997219305	-0.0758031935088932	-0.736377378008297	-0.620550201332857	-0.612895035462844	-0.331908293640488
CD247	0.821833035280245	0.807418187892052	0.868821300516845	0.676610573580851	0.754768509767351	1	0.88283934378622	0.599384283735826	0.604943862070889	0.694528546235073	0.743605163305481	-0.293583633426389	-0.0978353417713202	0.0341881794112073	0.257442292462403	0.84179695807364	0.64990077226823	-0.305579225995829	0.0890193635697651	-0.156838722295181	-0.170718540693051	0.522319949265896	-0.0601034917395215	0.46432411637778	0.0981665907993478	0.128109094941341	0.650211408023843	0.619851248780094	0.220105164866465	0.177080040580408	-0.0635240834621909	0.0293660447085846	-0.549635462048266	0.46789217338574	0.299798191481287	0.578978842378857	-0.206286568231996	0.226863046861608	0.562079088193244	-0.163684865500589	-0.00848198696191786	0.153251826317035	-0.438981808137373	0.17139317217962	0.148949120834865	-0.483587733498368	-0.339290420180957	-0.261197572126965	-0.376030616447461	-0.318943790183095	-0.105722189815342	0.313303404841702	0.608825393137569	-0.150063734148245	-0.581932251717577	0.0983761523547681	-0.542076816067181	-0.474883423008883	-0.365174985413526	-0.126284218418167	-0.153470054022486	0.222275732567436	-0.494014332793706	-0.464494324528503	-0.376505179554392	-0.0194379321310688
CXCR3	0.718219078384579	0.785974248917955	0.78054862702508	0.66009179199214	0.634240596801285	0.88283934378622	1	0.538537138139302	0.458151519120463	0.600117818058788	0.60138598308582	-0.15345925241065	-0.0210996817375398	0.181986630205696	0.174865322230048	0.827120705708843	0.598070161193825	-0.258607502776517	0.176792879084097	-0.0841808827577738	-0.114911822736962	0.599293361215424	0.0504061885755759	0.562203451010923	0.331245114188587	0.172091588696889	0.446770507469783	0.640762725877405	0.377003610883319	0.238364262927701	0.0170212041478408	0.117955624419357	-0.478957550048203	0.239258298840991	0.191849950797531	0.554014979336151	-0.0924179168444645	0.290126129192095	0.540558782050884	-0.0516990215696579	0.0893132687543849	0.27590360581579	-0.329639889624866	0.39030109956475	0.0834291226719279	-0.324157721386799	-0.315940496328232	-0.204509417063928	-0.537702515956855	-0.225334516653654	0.00743452084085933	0.350756299946993	0.591753684939346	0.0733506407584591	-0.443303672052636	0.191792385450091	-0.450765851146773	-0.442268215256077	-0.287393783162758	-0.214428925701917	-0.082794578526994	0.307626181303375	-0.421890192940756	-0.340480999195738	-0.331747771517075	0.00532597742199731
KLRD1	0.731265809404933	0.657527516676247	0.749291992348512	0.658156710959488	0.820671716049089	0.599384283735826	0.538537138139302	1	0.754705428471689	0.369849203924846	0.666423201863033	-0.390814706286199	-0.495220153995802	-0.191308026646387	-0.0908087406027757	0.696914453845846	0.205825033069149	-0.601596411153076	0.0605001778154932	-0.4714656592471	-0.406272018234815	0.267768228207738	-0.236090902546199	0.68039452055904	0.250454949616565	0.100715139935272	0.311752481392683	0.662928134697288	-0.181408298659697	-0.264448594002397	-0.358971084747449	-0.314366997722096	-0.60972226783386	0.346363416057493	-0.0873829120169837	-0.0438526405239949	-0.519363098475406	-0.256870736150935	0.175246387935267	-0.500559729144303	-0.25661534732205	-0.158103524028864	-0.653257717740542	0.224756305062088	-0.335868799787157	-0.532329083489297	-0.633100297900848	-0.623602129263085	-0.470483657777511	-0.525046039045478	-0.44275774271632	0.028412035341112	0.195330678572462	-0.0873600041984309	-0.730599719616	-0.343388452996403	-0.703417003050153	-0.635386811736176	-0.521169842051313	-0.54979838510264	-0.401011924884884	-0.220163241488457	-0.698681323432574	-0.562627006274661	-0.547829311410944	-0.360605522240223
CD69	0.836336417939729	0.686547352090743	0.712427875108866	0.781815592650363	0.911089633156883	0.604943862070889	0.458151519120463	0.754705428471689	1	0.624314205489099	0.841779391537957	-0.261375361692837	-0.354953044712989	0.123175797932342	0.231329048551684	0.629848755357748	0.428493064692634	-0.60612705246937	0.323949479264682	-0.484169978421013	-0.114474615336442	0.376009085591432	-0.124380210831591	0.615388947549099	-0.0738210970627717	-0.172378109926945	0.484362319487748	0.537900259219082	-0.241964362350728	-0.0762254717315635	-0.117685721659304	-0.440839446658335	-0.638726372104618	0.648238184091073	0.164265914810723	0.153960519593126	-0.32155564461846	-0.0260370818415658	-0.0493537628927276	-0.275712754690235	-0.0454207854754729	-0.18703663669553	-0.550765673640146	0.156105053263334	0.0914388895466622	-0.798462387207767	-0.641815166483386	-0.430711712661869	-0.41057058252618	-0.519934597845204	-0.223461743558434	0.147243410848179	0.395283778262022	-0.115261192618803	-0.681155118799562	-0.206656993998082	-0.722286395317938	-0.641196968128092	-0.537864550271718	-0.47289670065318	-0.371226623602819	-0.127298082164048	-0.662753274978675	-0.479041039717365	-0.51748139813598	-0.263505653484982
PTPRC	0.696578903023925	0.758390529302067	0.54661382514813	0.747074201151407	0.684609258964541	0.694528546235073	0.600117818058788	0.369849203924846	0.624314205489099	1	0.725953656661045	0.212551556395368	0.278972767416137	0.543279478653484	0.57810397201249	0.741260562662958	0.735165118938971	-0.0236730050826494	0.642311245130752	0.173369611976169	0.485749521734713	0.620496067587065	0.457623552398743	0.384780814526942	0.161589531628725	-0.0381833841456736	0.502668485431332	0.477732213043195	0.515605335227528	0.406135198567805	0.52443385491514	0.168200168654092	-0.150902594342648	0.421390686641471	0.474439403767256	0.747328569498756	0.313725045584436	0.583170895568774	0.362262999322949	0.333663169934796	0.591720922810777	0.302081601184483	-0.0230004544092469	0.421187813605106	0.549172297571667	-0.396592524625917	-0.0403763239447471	0.110191740012011	0.0719583966957253	0.168121173677192	0.37737071027084	0.578114722475054	0.618783301600748	0.23325131389612	-0.25556000706832	0.361697475975123	-0.196300114835592	-0.0494172704951327	0.00389831568211903	0.155380037709918	0.296539196802591	0.462282808668455	-0.0660002160560389	-0.0189185632430341	0.0672069525192126	0.36059052131378
