""	CD44	CD2	CD69	CXCR4	CD3D	CD3G	ITGA4	CD8A	CLEC2D	CD8B	PTPRC	PILRB	CD47	ITGA1	NCL	GPR171	RPSA	TNFRSF14	PDCD1	CD96	JAML	KLRD1	CD247	CD46	ITGB1	S1PR4	TIGIT	ITGB2	SORL1	ACTR2	PTPRZ1	CD6	PTPRA	EGFR	JMJD6	VSIR	RACK1	CD74	F2R	CD63	CXCR6	MCFD2	ABCA1	CD81	APLP2	KLRK1	TFRC	PTGER4	SMAP1	TNFRSF1B	CANX	IFITM1	ATP5F1B	ITGB8	C1QBP
CD44	1	0.934261936389331	0.941652423041406	0.936276609861349	0.899919661484006	0.923688124117225	0.914535555342864	0.87873952649322	0.960702703535403	0.898356891071396	0.936357010672909	0.128568168126099	0.87209729767098	0.379864790611538	0.451379251612767	0.887020911750423	0.670501872824209	0.679262871966134	0.894554613791853	0.92605934551523	0.85201850780941	0.578787004862449	0.88581981029955	0.506495369851618	0.846836895983657	0.807265506696663	0.934326733895656	0.844805538176447	0.386666545381209	0.855542351929838	-0.275864709913093	0.866811095438086	0.0588319280859834	-0.207890107460768	0.717479054929649	0.685192909822082	0.250026389170105	0.298630827081235	0.594577602320595	-0.163696559843307	0.894929907568529	0.245138072472366	-0.300313499089472	0.177146395069587	-0.0299521817990898	0.777184304679124	0.360650322573752	0.892710095381008	0.455923905579118	0.791501630515143	-0.130187405510607	0.866969524348055	-0.247088381805951	-0.324197120408409	-0.124739365100321
CD2	0.934261936389331	1	0.977255835043182	0.989810339176853	0.983624322367127	0.98850269784578	0.925793021048139	0.93621071085172	0.959000443756331	0.955177562141298	0.979626613563131	-0.109067377031534	0.75112128292889	0.348804933199786	0.322025444508017	0.941912113009218	0.709004411963472	0.787145054811349	0.934143908329259	0.97533140369673	0.912384386436518	0.520109679441223	0.920790244570042	0.249622783593031	0.862495022812354	0.893316330139741	0.96725222677805	0.884027474847975	0.26596200173286	0.843755227136119	-0.496175397911978	0.964736308042107	-0.14983350300893	-0.451696010130518	0.666433792113917	0.747000454959681	0.198243972653221	0.324302515576554	0.40474838030155	-0.271850844432063	0.976981251118054	0.14686549721515	-0.56100598860318	0.0884102004622403	-0.189178317082514	0.737711556518859	0.263784263183324	0.901681574983721	0.329431703537184	0.865545650744115	-0.29049540876191	0.925217896690935	-0.342682848069986	-0.542255354217811	-0.170992647079625
CD69	0.941652423041406	0.977255835043182	1	0.984184236555751	0.940962953364723	0.972186495951586	0.945715256624527	0.939822649997155	0.970734209483512	0.948340284328452	0.992138749345386	-0.0475667781117671	0.76609243275575	0.421931988100017	0.345005541596171	0.905458524574319	0.655319051786368	0.68977693268966	0.949786563039268	0.986902700092195	0.909390290897951	0.629760893585554	0.927024766563536	0.291315290650521	0.840728326463113	0.820717833481911	0.960145837879938	0.889174710356101	0.314074200899199	0.857101098674671	-0.473752185973065	0.919672967610357	-0.137116659539449	-0.434756282552211	0.678493098638162	0.746937464282558	0.179109643080638	0.344427265172864	0.462525745595869	-0.268127566490084	0.95875613081015	0.122078878252757	-0.530078416933018	0.0908818872063635	-0.175921021238817	0.817597133702415	0.255918080920725	0.941851841040466	0.358611612055246	0.855624263432111	-0.270525137798126	0.895265109788167	-0.344094960977143	-0.518892375339816	-0.205285468430926
CXCR4	0.936276609861349	0.989810339176853	0.984184236555751	1	0.970826647588107	0.969778534528495	0.944824978827255	0.963367859708793	0.97581279255537	0.941275225019636	0.990667822744021	-0.0921412502876029	0.744028681104499	0.412235502367519	0.338145255777745	0.930692584114384	0.683135076778903	0.773544915061052	0.948858881365904	0.980472245985123	0.90085179370359	0.588458842625361	0.936102938805112	0.252770620195615	0.855849554836983	0.86253056339028	0.968048168563926	0.912613905443664	0.319138095072645	0.850116460607001	-0.504818042574729	0.941330444765599	-0.149472381810763	-0.45802087887022	0.641057284840657	0.774501064214233	0.184002415856847	0.360687614955889	0.42329728322555	-0.274914264156949	0.966406107982069	0.128866712491902	-0.565793036769158	0.0969312463647928	-0.195208576714331	0.790038649223002	0.256888833091627	0.936826021186157	0.326869031481456	0.900272988492537	-0.294875434426581	0.909710641195433	-0.342705954684395	-0.548521902568785	-0.180763279527214
CD3D	0.899919661484006	0.983624322367127	0.940962953364723	0.970826647588107	1	0.976928364100872	0.887975467042896	0.944849609918966	0.933859578553713	0.950872823101857	0.949516347199873	-0.174718705923725	0.706834246480302	0.360834748123965	0.321654607633561	0.931713232446726	0.729488065695814	0.863651462221253	0.939424765032912	0.950061833776486	0.913179999644681	0.412706329261345	0.856400585948535	0.223268145158729	0.856724486255223	0.90042070536058	0.94841282250562	0.83782597738703	0.199000839036346	0.813761027861505	-0.499508820359867	0.955874882712769	-0.159203208303586	-0.455142591416048	0.655289270150064	0.717411367938832	0.211140655417495	0.301642832299224	0.354719321253603	-0.258999851072184	0.960898812230595	0.167426014975707	-0.566804963322595	0.0957991947567864	-0.189258126020492	0.668121979910892	0.295189997247259	0.84693896142894	0.300655439747703	0.849732836953051	-0.281628939211958	0.909852801563088	-0.317167253883338	-0.547574092293849	-0.134429224511438
CD3G	0.923688124117225	0.98850269784578	0.972186495951586	0.969778534528495	0.976928364100872	1	0.890507889106444	0.915943818590941	0.936787608172167	0.983143566696925	0.972257542770376	-0.120029695130691	0.755133991721742	0.34331871261359	0.320570637997678	0.937520134269352	0.721427487416053	0.779672112041286	0.941311813255055	0.96766740986741	0.948330953554784	0.453469305603247	0.866561257348054	0.276144910592809	0.873565697666061	0.895339996729155	0.959705753586938	0.837687180478334	0.211412676680495	0.846643905760703	-0.462490570410566	0.953846574896256	-0.144872821359481	-0.429306422312396	0.730581296043403	0.730061167572212	0.206473298073144	0.329341144720444	0.38770737547094	-0.263317728569783	0.961905307458271	0.171913829597248	-0.526424027197849	0.096287846883069	-0.159733149845063	0.68954968573735	0.289572058183682	0.858082570644352	0.335506814984813	0.813329711916165	-0.255316597938656	0.937118704966944	-0.33157472680547	-0.515610726194565	-0.171122665398596
ITGA4	0.914535555342864	0.925793021048139	0.945715256624527	0.944824978827255	0.887975467042896	0.890507889106444	1	0.917352195041017	0.964599434868257	0.834910544405257	0.936235609514971	0.0443895668255093	0.730413795267134	0.417823188255816	0.321800752786686	0.828816225790993	0.543828828137972	0.589169829516005	0.907135031445327	0.94046280426078	0.806768669845341	0.709048040121101	0.918634557633805	0.287115948871548	0.700517239057851	0.723540519532301	0.94874551783855	0.85636177853032	0.342043587466619	0.768718815165419	-0.475046433877597	0.821765311733309	-0.147099792888032	-0.415009080136578	0.5195941121927	0.631224240768054	0.113166209277324	0.216815649511864	0.527478254329375	-0.288020670144363	0.890272910200888	0.0234854288030486	-0.525433585855436	0.00891393243787584	-0.267482782639273	0.918647414616256	0.140774614887118	0.960061273982449	0.35605630813107	0.836849119558102	-0.327612144921885	0.783723260868874	-0.383144449280243	-0.500535736316069	-0.265706395874262
CD8A	0.87873952649322	0.93621071085172	0.939822649997155	0.963367859708793	0.944849609918966	0.915943818590941	0.917352195041017	1	0.942573411270557	0.897078589799926	0.948390266921421	-0.13678370964333	0.658691619360545	0.56656999916782	0.336204374640122	0.839551862320068	0.607509805701166	0.786823817824447	0.971642120343906	0.959785109592276	0.862055795538286	0.596336253330471	0.868017342852311	0.214473864059407	0.789889437018727	0.761797085155857	0.922182375511059	0.846786372205055	0.276450965819991	0.784214819379404	-0.513728826875186	0.867222390591224	-0.174642286719565	-0.462315023029942	0.569278133185692	0.689236894861723	0.136330551570533	0.285275079548825	0.410668439618966	-0.277671803675307	0.92073180945097	0.0765540171823879	-0.583782061879596	0.0691997160170467	-0.226528464308474	0.80371342486852	0.276814840009128	0.919267092869053	0.268150975888154	0.872066333993174	-0.30402342866712	0.817406570670084	-0.325666264280389	-0.553190748738018	-0.181871042054239
CLEC2D	0.960702703535403	0.959000443756331	0.970734209483512	0.97581279255537	0.933859578553713	0.936787608172167	0.964599434868257	0.942573411270557	1	0.907009908882305	0.969652301195722	0.0601721749660527	0.788770880628419	0.431215939774027	0.360206243953159	0.896915884494159	0.630347499458008	0.707714394646782	0.9377165904899	0.957904192414779	0.865868554154013	0.631394311220511	0.918392995818814	0.342840090950163	0.807597562872426	0.811690845872183	0.963583117523227	0.877455008550107	0.347246825141086	0.830210051473968	-0.431007470327947	0.885154834833999	-0.0924727358432907	-0.382516450082213	0.623288687431981	0.706623641915475	0.164293942553963	0.295605637364014	0.500476599502427	-0.271231592052668	0.928084685031924	0.130364541869541	-0.445899773311289	0.0752429789524546	-0.1851871198835	0.839086164439633	0.251893055878289	0.938090580522831	0.362241944020194	0.858609697593197	-0.268795931666141	0.867161905721479	-0.35224025362853	-0.474552857778052	-0.210415658168709
CD8B	0.898356891071396	0.955177562141298	0.948340284328452	0.941275225019636	0.950872823101857	0.983143566696925	0.834910544405257	0.897078589799926	0.907009908882305	1	0.9576663605925	-0.14066976528973	0.734509984703491	0.349431401411726	0.323339013946349	0.935251789549833	0.731610657750364	0.783486120400733	0.939005333422496	0.937868371857267	0.969254650814538	0.387134549372485	0.803109504367215	0.286679793385663	0.88858605349289	0.893752661275023	0.939004837403434	0.805387297175488	0.182228745235941	0.843635941338093	-0.432253028837387	0.918792803273468	-0.133485447486052	-0.409921514141978	0.775490573462018	0.746466270844202	0.216552373677158	0.389101982768206	0.341347129622699	-0.250464245838868	0.917299569118884	0.209730564217574	-0.491992035508052	0.123320648461383	-0.12651798967419	0.63159714228669	0.310186034976391	0.8063664313655	0.330711943055265	0.774199843730515	-0.215301848020669	0.947981524651018	-0.305507697424807	-0.493102426017944	-0.157961885261064
