""	SIGLEC10	FPR1	LILRB1	TFRC	TNFRSF1A	APLP2	CD81	TLR4	CANX	C5AR1	CD74	CXCR4	AXL	SORL1	PILRA	KCNQ3	PTPRA	INSR	LRP1	TLR2	ADRB2	PTPRC	MERTK	ADCY7	ABCA1	P2RY12	ITGB1	ITGB2	ITGAM	PLAUR	C3AR1	HAVCR2	LAIR1	TREM2	C1QBP	SLC1A5	ITGAX	CD4	SORT1	CD69	TNFRSF1B	CD46
SIGLEC10	1	0.310549895295139	0.258297398936456	0.148935470456221	0.435449224285014	0.566584339772928	0.609262624140046	0.0315510763522412	0.548593201769302	0.516164330379017	0.592577848381989	0.403696685311214	0.429991219013229	0.532445565107294	0.438971111051932	0.396075021654864	0.317424401666318	0.379142806838906	0.413998742112516	0.488171835640773	0.101086273088495	0.39727993118959	0.135337502182349	0.189945554138654	0.273442430627676	0.40976246666193	0.404354940485859	0.623264535673509	0.534095339637603	0.410452866560575	0.516756491888961	0.499067212164345	0.227381471896958	0.56606444129573	0.481655504765842	0.348569656368762	0.451478041816131	0.471387608789618	0.439916783923946	0.282877996317568	0.525271917871432	0.471769298129886
FPR1	0.310549895295139	1	0.294599038702764	0.557785933505032	0.533090049687224	0.600074602419636	0.537251451856736	0.148858552324356	0.56878654321968	0.609060418023262	0.600123001465373	0.71113228583402	0.630659673356627	0.517408461929813	0.36893998411968	0.365226614100632	0.497146833797567	0.444991083142589	0.549029719672763	0.455954543966367	0.312812629638465	0.643374326113963	0.503538904271391	0.469756540098408	0.640054979470153	0.323874245060266	0.623367137907712	0.508306142944549	0.477228411364558	0.620795444956933	0.617758868726132	0.56169397643536	0.378688954814272	0.553622056171735	0.384065629893269	0.424132647686271	0.561616531238149	0.415766653418841	0.572941821028173	0.384851145186274	0.674824278700731	0.487506935428305
LILRB1	0.258297398936456	0.294599038702764	1	0.0826675166441712	0.633857129592331	0.336171224616873	0.650593585100246	0.64707954378552	0.506072436516622	0.242713456906852	0.633481151930401	0.428945177478816	0.667028206948646	0.639973443134734	0.435384971272768	0.073315056548249	0.384643847900561	-0.088198676470636	0.428481341515697	0.0165371131320974	0.389034664262792	0.611770404971058	0.311694887714712	0.456159602954079	0.489730561040053	0.449641479014932	0.453872505463573	0.496813391286198	0.410506386858416	0.145862210265957	0.50676283849607	0.576731901363681	0.700037237280895	0.599041962320971	0.577831882598491	0.542469751835061	0.351783645162829	0.231083288473871	0.560705033175205	0.139321784949996	0.402865222515496	0.38631892500054
TFRC	0.148935470456221	0.557785933505032	0.0826675166441712	1	0.295900610037126	0.402829791446843	0.24820389350979	-0.125047983704506	0.239358744882053	0.719997288862591	0.236435799872629	0.656426432707384	0.230267432129115	0.145434420434625	-0.0462347173871228	0.428701035533332	0.207281353291367	0.440103195123141	0.371452384942948	0.486994267429142	0.1484742293124	0.457343128384592	0.339027098233078	0.222801127982728	0.426977062453786	0.0436673409965509	0.397923407539337	0.284046815623997	0.165967292411763	0.621238517232565	0.36216944440427	0.136340811555879	0.143461665297527	0.283087505660749	0.0320833531274721	0.0972240430967618	0.658193330096481	0.306278507836834	0.229441328269026	0.476005739250655	0.563175407688729	0.221154191488749
TNFRSF1A	0.435449224285014	0.533090049687224	0.633857129592331	0.295900610037126	1	0.668929251046244	0.733038511175551	0.473095986952411	0.767807983372383	0.565881780984279	0.80260097266283	0.696426166899702	0.740776156943476	0.741905855966587	0.616093065495578	0.30012804504535	0.491919325140322	0.233947880428839	0.560814006664898	0.448516641821769	0.535401097937393	0.73161918765282	0.516048947285516	0.527260424486114	0.46312730286562	0.517940255341428	0.692419299974279	0.744598220247251	0.588243151872509	0.439119447560953	0.730212238031626	0.62897545076206	0.652105442171582	0.748084263095092	0.658458094027266	0.628550769948474	0.563866490851166	0.454890210866065	0.784647676785571	0.443715624867866	0.628577990195548	0.638504269398547
APLP2	0.566584339772928	0.600074602419636	0.336171224616873	0.402829791446843	0.668929251046244	1	0.730526591127349	0.096965470471667	0.764063659748584	0.679879032351089	0.779110905003581	0.672589313560765	0.631775003554155	0.687142826283152	0.469107167184502	0.380785037362855	0.580700574307334	0.379192782958782	0.562783430105306	0.577826660728337	0.393103637082211	0.726615414796043	0.572756882418418	0.5086438074626	0.518657636124605	0.461901736922279	0.751793665591311	0.797324377960454	0.738208534427658	0.645487141048377	0.804403698913589	0.637157708868876	0.452534405712767	0.742974433898642	0.617875416350109	0.436015430566818	0.708541364830772	0.685572936365757	0.670761321754886	0.530187363608885	0.70397148061175	0.699006995939047
CD81	0.609262624140046	0.537251451856736	0.650593585100246	0.24820389350979	0.733038511175551	0.730526591127349	1	0.288015273883785	0.762906107311693	0.635164594619314	0.934102074581931	0.694977338113825	0.82306352214589	0.851709491930211	0.636790422908015	0.4996703731842	0.674774056765631	0.325143307182947	0.561059522364029	0.354690492453039	0.297550729331816	0.704744946699821	0.446770856134867	0.418915025213032	0.596950312705506	0.624229777166133	0.752033579049187	0.904962857556835	0.706423374110385	0.596052229788773	0.808000388999299	0.75620384620911	0.602520793417125	0.898090849833731	0.809990533149726	0.636649180832847	0.559145717974058	0.532022397798168	0.758287309566401	0.317591550944324	0.64258318887399	0.658634276613766
TLR4	0.0315510763522412	0.148858552324356	0.64707954378552	-0.125047983704506	0.473095986952411	0.096965470471667	0.288015273883785	1	0.377522866271943	-0.125571117990091	0.343663867150247	0.182676790936808	0.467243159362875	0.438259835310728	0.318784017327281	-0.235473305517158	0.15323902876004	-0.265028171393651	0.277457527410958	-0.00408574908587755	0.548748853581189	0.364126964009744	0.325991271690533	0.415666181872921	0.30878708482512	0.148834881401128	0.291965372813137	0.19331995696347	0.205165330891421	-0.128526144244452	0.253180412617827	0.408105321047462	0.598050411584333	0.320292612963304	0.32379877649005	0.496378054155522	0.0606938210133783	-0.040818594224354	0.455776228988457	-0.0130007213388733	0.273992324087668	0.390341500217783
CANX	0.548593201769302	0.56878654321968	0.506072436516622	0.239358744882053	0.767807983372383	0.764063659748584	0.762906107311693	0.377522866271943	1	0.585039359196874	0.869493564111813	0.648514481611938	0.762367484177062	0.726007927145061	0.569283698787997	0.337212232525328	0.600665980793169	0.222811302786064	0.550587914818305	0.465375129104404	0.386309590099155	0.66600045154451	0.487896241433844	0.528770880106665	0.493858811393799	0.479442630347571	0.830475970293739	0.837539173705494	0.69155066297774	0.592997380606821	0.850930798448729	0.669243812547172	0.585021175034249	0.870481041020147	0.716802888311897	0.62507345700587	0.619259230232477	0.537910284365761	0.797372856169181	0.376294797328402	0.696569270460514	0.744338967931403
C5AR1	0.516164330379017	0.609060418023262	0.242713456906852	0.719997288862591	0.565881780984279	0.679879032351089	0.635164594619314	-0.125571117990091	0.585039359196874	1	0.630977930181273	0.813812674613295	0.49597612322736	0.420610834682226	0.228258122484827	0.591734326354031	0.513482545300347	0.587167960989083	0.488832589211629	0.686605713421879	0.196388883139666	0.591469648640579	0.434592359649679	0.319702037609978	0.488732549267361	0.25456969890575	0.702402107057484	0.709815245092963	0.502813313830063	0.859554738704398	0.655093900150957	0.452092310449744	0.300938757427682	0.676052151151855	0.381723214982512	0.379898423759787	0.809117486188391	0.516179547205907	0.528302232905613	0.587287969121585	0.703017290701886	0.499382488828505
