""	PARD3	EGFR	CHRM3	ADGRV1	F2R	CANX	ERBB2	NOTCH4	ITGB8	NRCAM	CD9	PTPRA	SMAP1	KCND2	TNFRSF1A	TFRC	APLP2	TSPAN5	TSPAN12	PTPRZ1	LRP6	AR	TNFRSF12A	ADCYAP1R1	THY1	PDE1C	PLXNB2	HMMR	NOTCH2	NOTCH1	IGF2R	CD99L2	CADM1	NT5E	LDLR	PILRB	KCNJ10	TRAF3	NECTIN2	PLXNB1	ADCY1	ADORA1	ITGA2	MCAM	CDH10	CNR1	PTPRS	S1PR3	FGFR1	EDNRB	PRTG	ITGB1	SDC3	LRP1	LINGO1	TNFRSF10B	SMAD3	LRP4	TNFRSF19	SLC16A1	LRP5	GPC1	RIPK1	NOTCH3	GPR37	TSPAN17	DCC	ITGAV	GPR37L1	IGF1R	LRP8	CD81	APLP1	INSR	MCFD2	TNFRSF21	AMFR	RXRA	LIFR	LPP	SORT1	ITGA6	CD63	NCL	ERAP1	NCSTN	SIRPA	LRP10	ABCA1	ADGRE5	RPSA	LAMP1	C1QBP	CD46	CD44	NRP1	TSPAN14	CD74	SORL1	CLEC2D
PARD3	1	0.814999622977251	0.840085394543117	0.654436690335468	0.77169933486649	0.895824169552186	0.828082809070905	0.73224284462791	0.859545361640299	0.825794438103466	0.834738336187648	0.890468863196945	0.86315066670444	0.857688182357281	0.824473680397127	0.848404659675325	0.901886945718539	0.869604569092687	0.893366259345057	0.835790887633514	0.899764012832343	0.805738537117713	0.701617020530415	0.179288603958872	0.635234025986392	0.817782762650081	0.922643544823208	0.758740702604309	0.922295392708442	0.910963068855438	0.859720232241605	0.874497624680252	0.885051574380915	0.852101177498768	0.69974034195997	0.865551499114329	0.82475589258735	0.878659308894294	0.82537422711674	0.711750234388772	0.859267883880708	0.644280253204945	0.644284992420658	0.636912292443349	0.731490642926072	0.841566501189717	0.842883658821905	0.681778038531209	0.919269689131983	0.806385941464019	0.861342247491941	0.825695403702272	0.766436863590912	0.857050156812196	0.778926376218611	0.852567307153131	0.844078734124991	0.827917741560377	0.906485919898405	0.908664175362968	0.836774450268185	0.675953615471721	0.894500813467551	0.717309385052642	0.723798878164294	0.8552714557092	0.778860875684515	0.878210345126428	0.744252502518661	0.743410981849363	0.843699929560271	0.844046884268946	0.825510248602252	0.497895995240877	0.895548762743601	0.863358932096974	0.886740982494196	0.875646834294359	0.66850350731256	0.791810555580997	0.905307994450111	0.415989165056919	0.856809002374707	0.89985467558616	0.849152199028149	0.913397682595235	0.712264287298355	0.770065272680542	0.819881775929303	0.77324522896694	0.88864152977705	0.850174235008804	0.831561341954565	0.87137261898551	0.155357095451764	0.650980908310289	0.77244674407959	0.600713061639865	0.622330663800242	0.848739933250618
EGFR	0.814999622977251	1	0.790720008410344	0.762891209421435	0.666794870625353	0.877074334042577	0.789732543941728	0.652326926576131	0.901060038821016	0.809494171650437	0.823054852947864	0.881600035731944	0.838586676147724	0.870087449591838	0.780478520812893	0.853093378228684	0.865245143820743	0.806785544888688	0.846320469137714	0.907892312765838	0.83882093330573	0.788186814020687	0.688579263273051	0.156570903259303	0.636882083508515	0.823646352331209	0.825195309230296	0.621071426148869	0.892064364116845	0.882414282456565	0.821880510443404	0.848924220158751	0.862039284838408	0.844036348175413	0.636919109866426	0.779128066568943	0.857755863461544	0.819842571813952	0.766672043751253	0.736324793105046	0.88024844714317	0.752173393838874	0.538434468956923	0.532091310340399	0.816301021240403	0.730163115023988	0.852624898239866	0.532616035158057	0.865684616845972	0.777158912181367	0.798491307439966	0.72740691880449	0.877209392928545	0.878572824044105	0.811243180990859	0.80766020914036	0.820562475210606	0.872460192188547	0.793217087686199	0.85484634077351	0.819740060178035	0.680605137420289	0.847454640204648	0.619846002338667	0.715401268536242	0.826176889653075	0.718029469099517	0.896849772748021	0.869789571069225	0.720646945718098	0.810078304685305	0.834703950748491	0.78560907858925	0.417162747832644	0.86961130958494	0.874449733163598	0.870546477983563	0.82827894089148	0.602809234035427	0.821435187021681	0.842594562273447	0.378236429646558	0.814419994080669	0.845480423192413	0.813820303188382	0.855655067931961	0.604394367903601	0.723536176462219	0.795086870174327	0.803121017744719	0.821785714012318	0.827079564396766	0.817142568985532	0.837095931710858	0.0458057886961332	0.558759716254219	0.680658906797416	0.549849416503959	0.572558608572371	0.759588704024731
CHRM3	0.840085394543117	0.790720008410344	1	0.696507782615676	0.674049612496505	0.887910819568846	0.756622489269396	0.613821512002735	0.894834290037498	0.777515778739906	0.764652872410941	0.899152837610757	0.849950591417641	0.852355008320943	0.801125408221183	0.907550282312103	0.893906085299096	0.876636613203746	0.865882533043549	0.903969676147122	0.822556740419933	0.735109693149799	0.856741300464231	0.0510069542221808	0.523801708318207	0.876347918157814	0.847392135104045	0.554319232830244	0.866971745603336	0.816120674829733	0.775674205005847	0.82474604233559	0.845295886666165	0.906279682210713	0.603862039235716	0.69555902475387	0.796766440567262	0.847643875691882	0.734408729216116	0.621353546403382	0.857760822471191	0.748299686791927	0.475597243102984	0.497615980930703	0.797009166019241	0.859403855697828	0.80329020090694	0.549550304856729	0.86175514805479	0.746182678616679	0.833150457681885	0.713400364949372	0.805634590066571	0.907039499347263	0.779436095791358	0.853656432744446	0.754662863558483	0.840266423993462	0.844276790974941	0.895697590258066	0.838636417466189	0.70762139131178	0.864477775583664	0.578939937282254	0.728130101347445	0.858725658786233	0.78091891440094	0.878646683270206	0.849480313210006	0.625620325615872	0.849246928649411	0.823937619263498	0.752150884078951	0.355413704482347	0.894444346589981	0.852681138865794	0.851582999608538	0.788571148666971	0.586826984280957	0.80245836077245	0.804227870303278	0.246834559638639	0.919256499294528	0.922912361239004	0.770106364335654	0.879887753265387	0.577674962342211	0.670091238618985	0.714923875124512	0.8368996755311	0.868949767645998	0.802140788455851	0.898619448446352	0.788511033892369	0.00727081710194648	0.542856489323402	0.649833476461724	0.481606371621984	0.484644820302764	0.706391675063577
ADGRV1	0.654436690335468	0.762891209421435	0.696507782615676	1	0.747097916722871	0.834618497899772	0.764522658374016	0.612391410090332	0.869610307501988	0.748227266156819	0.687430480261945	0.857080941145089	0.824770020943735	0.725982739185628	0.849324535620959	0.786269792027723	0.812014622199785	0.761523158501577	0.769774595673057	0.825373310563783	0.701643490022008	0.828464954045121	0.696048056664408	0.489591000756095	0.494259989410947	0.794764892599223	0.726193787965045	0.447591305765069	0.765037788812906	0.721259938517027	0.744454401816021	0.792865415760078	0.807316410782615	0.776666283123765	0.730423943595141	0.689056818934767	0.822495640953805	0.757022016752487	0.714158340998407	0.760631691492599	0.726445254203253	0.865013282057904	0.617017718361119	0.413439261693511	0.748585004717685	0.694935770625338	0.681680554633883	0.680062221477769	0.733070454698061	0.883448964996378	0.657686326460886	0.64555589589519	0.911483993405222	0.813625943808744	0.559356285685555	0.698003909476811	0.748566978212482	0.802560075425978	0.686662798868462	0.786693306150263	0.686710921445018	0.802201937630592	0.797722612842409	0.591319083024775	0.751378002659532	0.721092266778722	0.625203510214807	0.862188913516456	0.834892525358983	0.684677064065589	0.788615243142553	0.868329652683934	0.780722097131801	0.382431842409673	0.819756848742487	0.790546776651911	0.815712882664347	0.749713467552678	0.7854851562235	0.799624253674054	0.798289447642553	0.597601927060695	0.755594941066688	0.749417972970173	0.794408580057606	0.77852857172595	0.757831581300591	0.827325063486077	0.772524079854629	0.653445830845886	0.692032206642838	0.869049469041551	0.766193473637676	0.742398360893985	0.324503137343246	0.594341189863799	0.566885641989005	0.511756859651885	0.646867471507957	0.631122445916741
F2R	0.77169933486649	0.666794870625353	0.674049612496505	0.747097916722871	1	0.826500712441049	0.840242730501341	0.748344795284802	0.796408760814292	0.821861224155472	0.777952362330609	0.807892610704275	0.820503082344929	0.641355074336951	0.88444241791116	0.754857194862568	0.79806370800759	0.717107459109028	0.723797125636686	0.694602455682006	0.790656619438544	0.88926455992007	0.647024983489815	0.593014252080291	0.677356018383542	0.741334177702583	0.808299870829857	0.581607684290299	0.794433249816122	0.762490596110665	0.840726735721975	0.773704094756848	0.780192602733906	0.698292647765511	0.866162116197138	0.800633366024831	0.786268782300352	0.81026713814972	0.83127237187293	0.827366453537388	0.695853985239927	0.713722085095792	0.865098829462063	0.671681803695223	0.60827447243979	0.701234582588539	0.706768642140715	0.896531341613023	0.782157154421921	0.858163251932447	0.689748593088258	0.819276003071588	0.756078620627251	0.741151170736332	0.570822061743074	0.706378614263454	0.763234954437958	0.696002667429456	0.705933206291516	0.784959439197172	0.697530324003332	0.796790912482833	0.808913862161188	0.723858646521274	0.82027638722391	0.730998823335192	0.611772863562529	0.82018437225672	0.617908123802586	0.785677290989205	0.783664799708391	0.878903483647741	0.816045314994264	0.604749876644223	0.827519958650336	0.768238158615914	0.816825734409851	0.847848897582894	0.89313449460999	0.820728664549156	0.864010080261108	0.778569641900281	0.720380417347191	0.742402280009432	0.823341338591566	0.803600004787914	0.896164966925788	0.925931520192121	0.831720805563502	0.591857478375561	0.714027701898505	0.891105643648687	0.717987560781189	0.822481642118762	0.556762050941738	0.769226966519701	0.74269564470518	0.699699060593712	0.80441846524681	0.750850661269773
CANX	0.895824169552186	0.877074334042577	0.887910819568846	0.834618497899772	0.826500712441049	1	0.894593893825429	0.747451123696396	0.957636380030312	0.880704614492528	0.87573182741323	0.983146813893401	0.973109340270834	0.886713921661291	0.935683437867768	0.950401280710723	0.987129809996173	0.957879851733122	0.956584780916082	0.929788025231704	0.886791761576268	0.895124826467012	0.815665619145002	0.316102876274665	0.658736397818753	0.910769364165618	0.943203869422197	0.686476589611376	0.955281546548754	0.922267421301197	0.904385375755593	0.945191809639584	0.958154635222502	0.948192555768126	0.762947659540823	0.852822260067171	0.8917016286656	0.952806645226391	0.860179768190384	0.788113240600505	0.905999878781936	0.820132718616648	0.666551275323258	0.58200680480432	0.848034225219317	0.897213558007844	0.841095500876041	0.737968500595207	0.942465124151989	0.926179377473466	0.850957280204481	0.826114869839943	0.897677020627497	0.953465090195492	0.80585757447583	0.862311721640418	0.888674670385013	0.909570560648198	0.923541753455278	0.984180922081247	0.892708058169851	0.829673195831286	0.968004627024343	0.713277246665982	0.828016841842507	0.914438137053751	0.817927116204869	0.962400869105483	0.900341736354849	0.735820578002052	0.934338507313166	0.969301368847244	0.903944535471952	0.473827546727993	0.978154282053984	0.957845369661643	0.973047514680939	0.903187529543587	0.764887396852235	0.858766083650438	0.951892884926252	0.512336295601124	0.959029060302717	0.974025246785606	0.930358785125453	0.96383228112628	0.798299034809859	0.868556585181584	0.860298801974331	0.834448189518955	0.956023083282184	0.964530365220908	0.958813112654559	0.885262455287358	0.202822002067422	0.683828877076399	0.7452110310303	0.641538782359398	0.701137451198231	0.817882880359799
ERBB2	0.828082809070905	0.789732543941728	0.756622489269396	0.764522658374016	0.840242730501341	0.894593893825429	1	0.692148224535743	0.869946298431589	0.830254397485637	0.809831397754133	0.892604584128882	0.876114792722159	0.792131170698732	0.871443347689544	0.82891573049481	0.881433082028405	0.851023949070605	0.845457242593741	0.808854098461391	0.849130375284081	0.891398579890518	0.702832799164139	0.387196902986261	0.63000218290925	0.823088830553415	0.870165870365514	0.698918396201751	0.893060012615002	0.848887028010566	0.864152664492635	0.867579262809873	0.882754858654648	0.823954514222741	0.798987274816549	0.853923194847631	0.821112723674621	0.884273666836463	0.819794486386466	0.767957111891229	0.81445734729133	0.721764093909542	0.702680875478866	0.589123347535288	0.726886056387278	0.778214311608783	0.765380516973617	0.777381958194552	0.866153770761225	0.856329117238613	0.775013826563954	0.777964257161582	0.793601775081701	0.85638649948621	0.646329920792433	0.804317846667299	0.825080588533158	0.815872030449184	0.835394980015028	0.876864345992312	0.773428673627138	0.776327470343105	0.880351226496756	0.712125032955934	0.783366126237972	0.83142082393512	0.713051308612123	0.891378050885496	0.74396948901065	0.758521363699245	0.856535409701406	0.8863898029605	0.857501683287372	0.465789657184659	0.881611928604727	0.846586882545016	0.891727274010385	0.854460065672673	0.767568991043337	0.821356782900298	0.898464123922172	0.537073969683594	0.824433303576366	0.854040726916736	0.87954713720772	0.872240001766239	0.821062832865015	0.872137258466979	0.854670369137697	0.735004844222991	0.837654886409337	0.900807454915391	0.838280615473014	0.836432457182279	0.333740723904075	0.658364534354638	0.690423943206805	0.645248515929878	0.714357232817223	0.804438703859494
NOTCH4	0.73224284462791	0.652326926576131	0.613821512002735	0.612391410090332	0.748344795284802	0.747451123696396	0.692148224535743	1	0.675617766594806	0.680284446804323	0.678604929713245	0.710898175872719	0.715480648419768	0.688919975846469	0.7365883549586	0.760770601284626	0.770704355877365	0.703998148853294	0.69781098472244	0.66855422667204	0.74556888591666	0.680350571123176	0.54332752291892	0.193590680556681	0.647485166630628	0.742938923737549	0.811206490512361	0.619633711997682	0.775637191667416	0.738784506286377	0.876700604331165	0.748874280345179	0.741150176077002	0.715555598179426	0.708249556724618	0.793075576855959	0.694938684913198	0.771903859141224	0.855949611917238	0.707865732095841	0.700825378433174	0.55613031551378	0.678008857136805	0.891431590590962	0.57031913561752	0.657559426794254	0.635673052895259	0.802963308815938	0.799356475860794	0.68128299249917	0.672266965495742	0.944131253656581	0.647350777282124	0.72130765815747	0.588980797366066	0.740645632965028	0.737140780116324	0.674033896546915	0.697417496779792	0.740823538499352	0.731519279699329	0.554414666738767	0.802007999478545	0.826254661626173	0.645574674830505	0.707629459228769	0.631028134440713	0.754530109169868	0.624824687624862	0.777782400938973	0.744746142216989	0.748807021488779	0.737570649360265	0.902155202447855	0.740511736305108	0.792588331683318	0.736804740185442	0.777323384981354	0.591450342737709	0.764159775734386	0.796857178498064	0.594819233308717	0.659420610670695	0.707500438242321	0.745832185669031	0.799209435758944	0.669197706818873	0.727927881995375	0.75235337368162	0.596330748622263	0.688923804197818	0.744696055370501	0.691093350457163	0.86165882079607	0.171952434469466	0.900355743333812	0.879248222603207	0.791560534790011	0.784451482017018	0.725516591498704
ITGB8	0.859545361640299	0.901060038821016	0.894834290037498	0.869610307501988	0.796408760814292	0.957636380030312	0.869946298431589	0.675617766594806	1	0.877021325902651	0.85347942627249	0.977933524526122	0.939570158226059	0.903008761318097	0.905761791058639	0.942049187327419	0.938926096187524	0.902947258696373	0.923260829789765	0.969582466551623	0.891384001725728	0.892500449611535	0.815281586880957	0.313907403148326	0.613399137316801	0.903405461256604	0.88304192668697	0.600336523231083	0.943810409886448	0.892523720332446	0.855317170799679	0.910760221393604	0.9262331224635	0.930077919066676	0.729112935318726	0.804685580835699	0.925570393608466	0.890787313454176	0.816510961630721	0.791526865670592	0.903910452501204	0.841716257163898	0.63734202077702	0.525270886155142	0.873403998826839	0.859656114123134	0.863353018476711	0.665320396059022	0.905225101445079	0.901354837808539	0.835218489303968	0.755942155958053	0.948411498396877	0.960743436282967	0.790371321707873	0.870289484976251	0.87245444231448	0.928707783707614	0.861008818473103	0.926805032496822	0.861886607074214	0.80267947145604	0.915278042562453	0.639149793125429	0.841577599165369	0.87480295053906	0.785405047482588	0.975581941669352	0.922877418950063	0.761750288064212	0.894610209712821	0.946740411751349	0.849586597810474	0.40951429096657	0.959769477123926	0.919163390675008	0.934089711823032	0.88070037250767	0.776915317654749	0.893412190854282	0.894994568499394	0.476927873781723	0.918168043449414	0.928731131033224	0.874192282617865	0.924805075775002	0.740314304461313	0.848994840246378	0.847551058779119	0.839439019736158	0.88563250248753	0.9350678957542	0.914637235145288	0.873277329839377	0.183744792775244	0.617193301696635	0.684694737175185	0.558439173384209	0.631530657949053	0.779451136914749
NRCAM	0.825794438103466	0.809494171650437	0.777515778739906	0.748227266156819	0.821861224155472	0.880704614492528	0.830254397485637	0.680284446804323	0.877021325902651	1	0.878815427610501	0.858614533846875	0.86911062293284	0.745853325927725	0.880184768262283	0.840783110413442	0.858833500678536	0.776016642057115	0.778263039525266	0.842754246440167	0.876246982234614	0.854431785479164	0.779050347549649	0.327600783564602	0.782667589005761	0.832705892973037	0.81692338186171	0.602520264634638	0.862555504711687	0.861674354609237	0.862647593855891	0.841713714976675	0.867781734368555	0.79772442497535	0.772543295255238	0.790788448435933	0.867980859795124	0.859761018333079	0.831622051797479	0.821512798728654	0.782586577582576	0.773128471436496	0.687672179243883	0.593295921726205	0.707399271624342	0.735148348234522	0.866340231575171	0.688443720336229	0.860532899949921	0.797223894459123	0.78925211407316	0.773741798310282	0.813966057035158	0.822522497584247	0.737894125912756	0.808483279192993	0.835595278729704	0.778064049553546	0.741207561341957	0.845957320755763	0.763438955920231	0.852486375165632	0.847711948191369	0.593311888816831	0.767942182643792	0.81380929467827	0.6654037465637	0.887657168294841	0.755686185998402	0.786106078861792	0.816976737739577	0.882176683533405	0.860707233746415	0.483174301712217	0.893317247552896	0.850539212347662	0.862041393458183	0.872723382575223	0.757331700152703	0.899895502261033	0.86023519644415	0.560491125008512	0.813239606493455	0.837389028354357	0.84817996607769	0.859516838019294	0.739556227563759	0.843408457368183	0.854047809295645	0.729076565440169	0.798991420963404	0.874827952211829	0.823509724550163	0.875814293169363	0.360025652938346	0.689437166021578	0.737887572588523	0.6420406125075	0.69672985055981	0.761061015424873
