""	IFITM1	CD3D	KLRD1	S1PR1	CD3G	CD44	LAG3	CD69	CD8A	CD8B	ITGA4	CXCR4	PTPRC	CD247	PTGER4	S1PR4	IL2RG	CD2	SIGIRR	ITGB2	ITGB1	CD47	CD27	ITGAL	C1QBP	ADRB2	SELL	CD46	TNFRSF1B	CXCR3	RIPK1	KLRF1	TGFBR3	LAIR1	TSPAN14	CD6	ITGA6	SPN	CCR2	CD81	VSIR	TSPAN5	ADGRE5	TNFRSF25	PILRB	TRADD	SORL1	TNFRSF1A	NOTCH2	CANX	KLRB1	IL6R	TNFRSF14	CLEC2D	CD96	TIGIT	PTGDR	NCR3	SIRPG	RYK	ATP5F1B	EGFR	SLC16A7	RACK1	HLA.DPB1	NCSTN	PTGER2	JMJD6	SMAP1	PTPRA	CD9	CD82	STX4	LAMP1	RPSA	CD63	GPR171	CD74	LRP10	NCL	PTPRZ1
IFITM1	1	0.993838987206114	0.917242501125759	0.849494617831003	0.989500692150941	0.87344955572194	0.908425782674945	0.964599089045138	0.989487946917349	0.993403602290684	0.951241716706941	0.967284129114188	0.98091384533854	0.977797174802703	0.972340062870838	0.961370839069012	0.972900032573191	0.991003533953937	0.965798506122982	0.872285436053732	0.916682432671169	0.907478247560601	0.696366152056497	0.880570983196989	0.666236770701303	0.904724825277345	0.908801830552873	0.828159370433592	0.908516579943714	0.974185300173818	0.9184588128849	0.899522574163692	0.995681539958535	0.967976146325379	0.976955639641281	0.935178616208922	0.933030358267887	0.987052099924097	0.893888179746736	0.665921421207485	0.809736129624447	0.724404855410599	0.841024706725285	0.96787773765773	0.896502142609841	0.976162337193507	0.726968803876463	0.774440974711518	0.583556090413866	0.252489352319732	0.888529540954157	0.940550592496866	0.845928384488077	0.958124907303159	0.985479454765177	0.998174850890248	0.936217233095624	0.841092232103864	0.965760528615712	0.952587963918602	0.544322947137578	-0.76118063791245	0.984702397927652	0.911891288626109	0.766423169092576	0.77545972674928	0.997740316331732	0.81463090194587	0.837745424483691	0.862970905696828	-0.276763962579581	-0.532291130828256	0.885003329278141	0.883148102315157	0.930409980141776	0.115477018764933	0.98958075784207	0.750399691239689	0.807430050679131	0.922937234338749	-0.734173374362534
CD3D	0.993838987206114	1	0.902786548207536	0.842228241861888	0.995260169068623	0.870695316139322	0.898871614238811	0.966459397061418	0.987706573569531	0.995983586171355	0.956451538860683	0.971406661720244	0.975957817792272	0.978571706576215	0.974161700971093	0.96291924834802	0.976205120644326	0.989761387946566	0.958869880162845	0.865339895203591	0.907327439192812	0.897028900124204	0.693191453793076	0.878656567633622	0.666883366836195	0.890609044586018	0.915193117027248	0.797088437651204	0.905402943051265	0.981572722526899	0.905299174308181	0.888127793314865	0.988215792241642	0.956453481166939	0.971934679072228	0.933926711897882	0.916034273827742	0.98056852902989	0.893151298296603	0.657212597188646	0.809205987759492	0.693878731066568	0.839212364607283	0.95976568551116	0.867782714442728	0.983829072961625	0.704187979687001	0.75534490010997	0.547579226289769	0.244831928388516	0.882702608871294	0.937021001609922	0.839411883278514	0.959643162786854	0.985536210215762	0.99495670246344	0.92118359135574	0.837804953442834	0.970073663933851	0.954743507384729	0.549828273504276	-0.778901546398667	0.981658502339372	0.919940404899129	0.770780959632114	0.763255492076938	0.996177234417443	0.824894531898371	0.861318091485814	0.860662037962482	-0.262345463881796	-0.547306296416511	0.886867010162115	0.87468655399398	0.936578377430832	0.123990521679845	0.985927340102946	0.748178294433394	0.776703157852892	0.916672344845377	-0.749011840274836
KLRD1	0.917242501125759	0.902786548207536	1	0.577594056031492	0.865600181706979	0.615264489284096	0.995584245729337	0.781430712777566	0.953274625809326	0.914497902136928	0.76350541995476	0.791914896985857	0.862673355185379	0.965083798387728	0.853117405528673	0.776251176471322	0.805882686180004	0.896573215352296	0.797759382546715	0.932058215423292	0.70113913030365	0.708626829989573	0.360574784875919	0.984770851976301	0.355281647493881	0.912711450329069	0.672827250840724	0.80950697603455	0.872835851279872	0.818647409996426	0.700292347804985	0.994908040309183	0.927570679835321	0.881760791160671	0.883569870515768	0.721958759661761	0.920616840117836	0.958222647499584	0.662110490083816	0.669632173817513	0.871821783403432	0.636430210519288	0.96385872482393	0.795378486780163	0.80705596871259	0.845514086762871	0.745197019337518	0.838369892971704	0.643758668606032	0.346411346310042	0.64030637652303	0.771388625858806	0.578380620869722	0.768480706748801	0.841071757427624	0.908065329741947	0.990409321269196	0.977898046509986	0.795506230468714	0.923051222851982	0.331822473195197	-0.612300706437603	0.866799159613581	0.704471798568622	0.704642246967743	0.534972050198421	0.913418639602931	0.863710378837913	0.66123218823232	0.644434475780055	-0.469344414510043	-0.439997582427489	0.673201703974128	0.726866809279197	0.714390651022028	0.155695412670282	0.854104150912573	0.629726671719363	0.879033296125605	0.771076231597514	-0.58501167660249
S1PR1	0.849494617831003	0.842228241861888	0.577594056031492	1	0.883258511853501	0.993592818587252	0.554202633604654	0.951633194553092	0.771993094206059	0.828805199860539	0.947321483903512	0.940716951087084	0.884226692175684	0.732582167468245	0.866190043979062	0.951086314255635	0.933802003110311	0.848799704598022	0.943428134939422	0.564845715538115	0.976263091291735	0.951695234339985	0.969026019518018	0.50722105529842	0.895229053735868	0.671434273751824	0.978004124580418	0.685806447454449	0.714741249803382	0.914900380726267	0.981417771212308	0.538398724648657	0.831893066988053	0.83696386221867	0.851546316426044	0.976669245027646	0.728943956051592	0.767208103249559	0.966161125660144	0.490078140330179	0.506839057532243	0.679930020990203	0.454376294364962	0.951732381481092	0.822708206489632	0.878519754663659	0.548557242540523	0.510218819597158	0.415566406947555	0.0954491351497301	0.994362247335439	0.927127858359929	0.99035913910182	0.95810290650894	0.916520270030812	0.855569461026005	0.622966417314228	0.431049789120495	0.925096588089958	0.743343371113258	0.662420898243106	-0.721849131684734	0.886970219653252	0.935990755109422	0.628538731583037	0.923413343680641	0.847873071419758	0.532818255194487	0.82903385201235	0.937494724396832	0.0498530741873034	-0.468613349984244	0.92724997804116	0.876083483094514	0.964972784365841	0.00910445375030045	0.909173969315268	0.710920174188354	0.542673193801932	0.882480779259756	-0.696241966135088
CD3G	0.989500692150941	0.995260169068623	0.865600181706979	0.883258511853501	1	0.909785573314486	0.861182258059544	0.983735342154457	0.974507328698029	0.992427644153682	0.975191984461036	0.988061138174531	0.982952869026075	0.95531133251304	0.982025370603681	0.983286877346915	0.991713205178447	0.990364302769574	0.974737410752476	0.837797667882873	0.936233645198891	0.920637134300579	0.751928772450736	0.836895562978708	0.721709275218265	0.879149103791664	0.947252230044106	0.783642282194612	0.901292535511377	0.991360938083494	0.933664311377351	0.849147529320044	0.982933297120748	0.959068660262543	0.971350530234275	0.958137639111633	0.895340330526659	0.967351815413829	0.929017711894199	0.648541116057319	0.786517925873015	0.697805288415553	0.794342807958625	0.976930795996398	0.873241814174126	0.988784671488085	0.692017280908377	0.730531055034964	0.526154982269478	0.216929457623335	0.916663901111667	0.955250533661992	0.881140201644062	0.978010261725992	0.993056177526157	0.992024082670872	0.892505961595163	0.78719605868863	0.987923422618845	0.936299350362044	0.584492804716786	-0.795552458918862	0.985832116472802	0.945093205370669	0.777118930529739	0.79624415167121	0.990860962276799	0.792533572893656	0.880839808443815	0.884236158545478	-0.22052563027767	-0.560934222512178	0.915657191616391	0.896227107257202	0.962384912742763	0.115452419040923	0.99477627489251	0.76761326188284	0.74468353492805	0.92960261725095	-0.766441181184458
CD44	0.87344955572194	0.870695316139322	0.615264489284096	0.993592818587252	0.909785573314486	1	0.5972694393484	0.965637953123652	0.806437772227593	0.860142995575217	0.969089946799134	0.961511928106748	0.916337512088862	0.76353437873595	0.904627803830244	0.968718921882235	0.954234058664912	0.88194393282477	0.961947868650463	0.627706139398263	0.987655228165229	0.961952200714395	0.952757091144997	0.560512025747839	0.899987397300436	0.728142738934037	0.991216633233503	0.703286151914781	0.775739332774982	0.939291532023009	0.980603993511833	0.58231315301456	0.859059693252663	0.874738817104244	0.884415757563836	0.980742679711662	0.752019963749716	0.803119671164267	0.987633535968811	0.557126961862578	0.582485850928941	0.662793767257306	0.514758569879536	0.964136983507823	0.842074128991266	0.91145725353223	0.602879224333544	0.572110803811419	0.448806593438928	0.144209287242651	0.993632595838201	0.953318934835184	0.995441861344088	0.970257049454134	0.934645208953395	0.879644628411432	0.663508227000449	0.47802885204996	0.948679518698825	0.781143273427133	0.68652359304781	-0.743623842664939	0.911008714520334	0.963835153293751	0.699397332101091	0.921635694609	0.873879459080812	0.58991287363264	0.869502656078735	0.93871081435703	0.0474308029930235	-0.489416443140927	0.947745678701303	0.914334432574055	0.982388564947047	0.0749842414311788	0.92948919828033	0.770423845555822	0.573598678372786	0.907510677674199	-0.716067826320359
LAG3	0.908425782674945	0.898871614238811	0.995584245729337	0.554202633604654	0.861182258059544	0.5972694393484	1	0.768871417669112	0.952083654630067	0.911787725477757	0.751302537452573	0.782354426321477	0.854306823351145	0.959658240487655	0.853701488204338	0.766022840353767	0.796762140221787	0.896764541449509	0.782828734396063	0.938755950591798	0.681905742272956	0.687417490347535	0.336691032566016	0.989217810536273	0.35454285651234	0.909356617903993	0.660459103011126	0.774027282692218	0.879319005517497	0.812554850692435	0.680261509295013	0.998417672044309	0.91638912888562	0.875005577329138	0.872061040516839	0.703162014826628	0.898596349485835	0.954350696647428	0.653894807851247	0.681736507492087	0.886461873122106	0.623550636659105	0.971397404791511	0.779303347130233	0.776319605883119	0.84440589374378	0.7294521437587	0.835547854994162	0.609769202972999	0.33686880994676	0.619428752620464	0.75651012964673	0.559168231410359	0.753372554150953	0.83016845890975	0.900118181153866	0.992829574018029	0.98553307392513	0.793921357564797	0.912625497842627	0.349976193837161	-0.621527747523668	0.855684202345288	0.701762770829252	0.723281650593137	0.500696001086876	0.903989572244528	0.862393619123517	0.665018238986546	0.621772583512211	-0.469194870199988	-0.457999378244814	0.668911811490098	0.713858969311386	0.705635072198591	0.194242007011427	0.845806822516177	0.635858996324601	0.856407242824708	0.76645273019688	-0.601208556707011
CD69	0.964599089045138	0.966459397061418	0.781430712777566	0.951633194553092	0.983735342154457	0.965637953123652	0.768871417669112	1	0.925047616858761	0.958267723676917	0.992177366619784	0.997961174150766	0.971959154893158	0.900747566904871	0.963821772509923	0.998096522131749	0.997042196669424	0.962522042928781	0.989666984372201	0.756143377337664	0.976380080467382	0.957901947152171	0.853826542123752	0.736242258479972	0.803835522164257	0.821395133726435	0.9846246344112	0.771968128568494	0.851744887225166	0.99071192942834	0.977289828919544	0.755009266718702	0.952996418244572	0.937756601997549	0.953276094076526	0.99319683630498	0.859747935431816	0.918188533129113	0.965361232827198	0.602172232481407	0.699149969785118	0.707827905748951	0.688450072223048	0.994347495425799	0.877295552780302	0.975365537144818	0.655457505555217	0.665468548632579	0.498344074319827	0.179147447784181	0.971887084302018	0.970746365751834	0.945661929981508	0.998993163048276	0.992474225287421	0.969070877872464	0.813811164458052	0.676359474516992	0.989449594708165	0.893501297778718	0.626017256899584	-0.789068463872056	0.9757185585513	0.966806326459284	0.737315266856525	0.869771055813722	0.966118247406299	0.721332228599987	0.884884831095531	0.931248127633921	-0.120547013595514	-0.541207363134435	0.944195003616698	0.909464568956219	0.989914744914561	0.0721591381900119	0.989675585594829	0.762434203738259	0.691180155239494	0.938219964641211	-0.759842959414424
CD8A	0.989487946917349	0.987706573569531	0.953274625809326	0.771993094206059	0.974507328698029	0.806437772227593	0.952083654630067	0.925047616858761	1	0.992807716591796	0.910857944736096	0.933137709911856	0.960835966900167	0.991059189881504	0.959435125268766	0.924081694437077	0.942345108698127	0.983942582345861	0.925044385644467	0.90836895942632	0.858045106560375	0.851170705127728	0.598865268680591	0.932198386979689	0.586645490134064	0.922914640598145	0.855444680736494	0.804246464912656	0.921200512888619	0.947609712020963	0.857236113970133	0.94479437174991	0.990282138227872	0.955902186708234	0.960294661955871	0.881355307912064	0.924280854121381	0.995669869404093	0.842138685835159	0.678037556916823	0.854998096416436	0.687441681434622	0.89723452100777	0.925569998820192	0.861324115886973	0.959958664990495	0.727682646565251	0.798100797561878	0.573213898598746	0.265899766933212	0.821387725946929	0.900405392351149	0.772888060048071	0.914852444634772	0.957049674790504	0.988070244282704	0.968687310083166	0.901836966976382	0.937477592611769	0.956775039512264	0.497365608562119	-0.752059624753955	0.964852300475295	0.869910827951653	0.776637896689617	0.695726432301883	0.987764155926602	0.847687011003337	0.813514333939176	0.79638278724478	-0.342214231283534	-0.544771542301222	0.838279309132195	0.846246944777521	0.883326556662374	0.14401505999277	0.965559231771389	0.732376143047222	0.816629679800071	0.890371043127396	-0.725924382643731
CD8B	0.993403602290684	0.995983586171355	0.914497902136928	0.828805199860539	0.992427644153682	0.860142995575217	0.911787725477757	0.958267723676917	0.992807716591796	1	0.945284770612756	0.964915699139769	0.9758085744881	0.977053424702581	0.975500725618883	0.958682252156455	0.971614242180128	0.990428316951063	0.951071498399435	0.876280309281031	0.898402858871827	0.886118935456334	0.675054195807287	0.889558058468747	0.649983212225279	0.907364802661072	0.905266387377894	0.795364039852526	0.915579774596834	0.971541709887897	0.89742351217859	0.901521284719096	0.991806427587493	0.961285280585071	0.968765340396471	0.923391460678194	0.910811678362172	0.987398130096088	0.887595719486146	0.660513164945741	0.826717623163143	0.693384905782373	0.849727201397709	0.954014539389888	0.868318597113535	0.976939888042137	0.710478442771883	0.764678544323176	0.54578392612535	0.237905210476284	0.869677892340897	0.930978236592516	0.826764522950333	0.94982038451447	0.977174861002034	0.994899036916051	0.935250902774804	0.848740109036889	0.967061153526355	0.950805139652077	0.535449935058265	-0.78024215139312	0.97851113399194	0.908759267964123	0.780221373500762	0.74479301310634	0.993965127823835	0.824547334370046	0.850123641426681	0.8407438839639	-0.28780262726278	-0.563640159550353	0.881741143049636	0.871275389117693	0.925351232570871	0.119819716372093	0.984825197541177	0.750803071851331	0.78206472690957	0.910987766807785	-0.751731458134156
