""	CD74	STAB1	CD163	PILRA	ITGB2	THBD	TREM2	HAVCR2	SORL1	ADCY7	NRP1	TLR2	SIRPA	ADRB2	KCNQ3	LY96	PLAUR	ENG	FPR1	TNFRSF1B	TLR1	C5AR1	ITGAM	VSIR	PTPRC	TLR4	NRP2	CXCR4	ACTR2	GPNMB	CD93	CD44	CD63	CMKLR1	LILRB3	LILRB1	TREM1	CD81	LRP10	CD69	TFRC	ADORA3	PLXNB2	RHBDF2	LAMP1	NCL	CD33	ITGA4	LRP1	RPSA	HLA.DPB1	NCSTN	AXL	PECAM1	CLEC2D	MERTK	TNFRSF14	APLP2	TSPAN14	ITGB5	ACVR1B	DIP2A	ITGAV	IGF2R	IL6R	JMJD6	ITGB1	ABCA1	UNC5B	CCR5	RXRA	CADM1	SORT1	SDC3	NOTCH1	STX4	TRADD	EDNRB	CD46	PTPRA	CD47	MCFD2	PDGFRA	CANX	PTPRZ1	RACK1	TNFRSF1A	S1PR4	RAMP1	CD4	CD2	TNFRSF12A	SMAP1	PTGER4
CD74	1	0.963202276297808	0.966865710704294	0.440728137169013	0.957217038308272	0.5000345623552	0.966054822519494	0.961151576198051	0.959013488122137	0.765151090056	0.955759554122305	0.648464025343196	0.969459914122202	0.799436488085758	0.883509887219291	0.942839122407252	0.967221594628944	0.917612959440327	0.980651385875675	0.801104747458318	0.97458307368639	0.609866404358913	0.954405858107211	0.97477627401083	0.823487487417191	0.469658881661797	0.279577438409889	0.631025962144507	0.949686294435719	0.401217805272201	0.982728712209772	-0.386479575425466	0.545786107593126	0.840180704123805	0.692812602386169	0.96437787307353	0.541710250494043	0.91503133848082	0.609259221513289	0.896285525978043	0.95535620303483	0.985974698920628	0.807531714409441	0.962622380224203	0.708091465333398	0.342228177672408	0.960997045568153	0.870731826677591	0.451562110584622	0.597619451482737	0.986406932530112	0.563176547234363	0.984880046998216	0.564061302594141	0.78397500257842	0.877742310582482	0.4189002972058	0.518128652894307	0.909388634222216	0.708900753236036	0.483751123935621	0.485939522432093	0.659401776153939	-0.0155198012266073	0.775875576768406	0.613391103981347	0.535938172359434	-0.294807532058965	0.888236676275722	0.905642017905776	-0.37226892663164	0.267727442579946	-0.238952294099158	-0.126822809665258	0.275984626739275	0.516713993932667	0.908893597036147	0.824052929086707	0.250382175402838	0.0654449565718522	-0.273738946688884	0.0987131225044307	-0.235362424593995	0.213746557290343	-0.277779180508283	0.282294784255263	0.849788816446823	0.480394220397834	-0.253351014892862	0.982368732154826	-0.00759649906687885	0.00789226011048184	0.359205444794156	0.971417633564496
STAB1	0.963202276297808	1	0.942094432028746	0.482020959238215	0.879804204962092	0.506595953171109	0.894402724667524	0.885431331347778	0.924906932764504	0.847793746108367	0.884687878744215	0.682815803880631	0.919427663894058	0.791079122335508	0.809126160076181	0.870577510216626	0.914562930930469	0.858422111325661	0.940842573106539	0.777713480313651	0.912119316935146	0.652568151966983	0.975599141188716	0.917609487243195	0.804727171294159	0.494545449150406	0.20210310002959	0.579118942760097	0.910384880656847	0.333534967943097	0.943047521768159	-0.324691431413691	0.417494514055745	0.769064182382388	0.701222626814405	0.926676152203311	0.512302304007341	0.859179737207976	0.540729655507196	0.802102260985098	0.911842086039526	0.934320026627982	0.694798904370502	0.938603684036134	0.592507395642521	0.243346152632139	0.898599831878023	0.872134037133962	0.370092451731872	0.503834870900551	0.962425663489532	0.52752319665444	0.925347635165716	0.569294134741775	0.694722952454003	0.77965005387237	0.345450499291488	0.408639576581966	0.824731291255184	0.62199983242441	0.505440525510877	0.430337711242117	0.594460902852593	0.042251232281145	0.715457170903223	0.491813913742913	0.422339862447947	-0.334204494493022	0.830602088969732	0.898459755284195	-0.39384841387659	0.158531521998545	-0.260801228948233	-0.180134250624968	0.187226093885212	0.439124101358095	0.841381140358025	0.773453983440115	0.142264273620257	-0.0387795130597619	-0.30830866097649	-0.00970053476320779	-0.290681817046495	0.104353725521461	-0.324381445478077	0.194087171460264	0.749707641433382	0.497128381326099	-0.315220646042008	0.944517179515538	0.0326494860954512	-0.0708489350425856	0.261073275374552	0.917299886830951
CD163	0.966865710704294	0.942094432028746	1	0.547230781569301	0.958466934253866	0.580219208920833	0.953613237499896	0.963667944232604	0.970753823712835	0.785190959397441	0.942747731222267	0.740260061766082	0.983604173859019	0.79847708414884	0.917210604306111	0.944515274790208	0.972336526491494	0.942831433489936	0.978568125237325	0.904817408731061	0.959722711974605	0.70615023291001	0.953770125446478	0.970836172749574	0.824689638133636	0.61299676187743	0.432422394224064	0.631827737739896	0.928052670536777	0.585105638481562	0.96029253451168	-0.377372185632082	0.564728651173858	0.916432685756565	0.727450388775261	0.987552304873175	0.677789344103131	0.908449073766717	0.699375375638497	0.880703716616499	0.965954057551053	0.980917162714879	0.829245367836846	0.986817736894401	0.746560680394502	0.328702993539098	0.928178889400072	0.807812247080107	0.486711303522656	0.563587014179746	0.944983484033671	0.614090325030763	0.963038035035466	0.592886604363148	0.734326518973521	0.93337797937562	0.460790219517906	0.58903628374813	0.92692767526168	0.696817438386687	0.608378750820106	0.485871865975645	0.610292107721092	-0.0354486398292383	0.885095721030356	0.68863534624369	0.555213499270074	-0.141185722445008	0.925868221684445	0.916797303635733	-0.288826805305281	0.254455739403674	-0.211794171790017	-0.136776227411555	0.219756272280317	0.580843021740787	0.885207811558891	0.843066557509681	0.325721717340976	0.0539605366058215	-0.323453727564372	0.106078835265342	-0.256981161199218	0.245406619434049	-0.300835857797968	0.256685795409038	0.819071740149668	0.401860508856752	-0.289450735630154	0.966514617604374	-0.0786235201750544	-0.0275444970270617	0.334980667581904	0.95638825714877
PILRA	0.440728137169013	0.482020959238215	0.547230781569301	1	0.393102788558577	0.853260405134163	0.336429753249029	0.37137018820342	0.525803752099689	0.682384084460017	0.352036826379828	0.567156060355416	0.443616878424691	0.317170849961736	0.59162114714687	0.538925700440769	0.537290248606293	0.319462909918107	0.47431255813358	0.741238294262097	0.433565795301644	0.758753306817404	0.511956544328794	0.540140615463487	0.397540545909287	0.862866825261809	0.522719538144599	0.312152454456687	0.424949019727713	0.622123745428928	0.391777110314669	0.0681729869794614	0.132481670559152	0.485298939423652	0.760754214649682	0.510088660500229	0.706997127222889	0.39544519685256	0.338009061485108	0.206020591532637	0.468365313743502	0.411250206760606	0.302802329367862	0.447596936175587	0.393059359458254	-0.0774126254464845	0.438290192753389	0.282945401937288	0.188222088578851	0.181522185481661	0.452336317063604	0.171650463035428	0.419853020693668	0.272575395065062	0.231573941843708	0.50370810668578	0.469522775167157	0.274647172515115	0.435098220880595	0.197599629063625	0.604047400573395	0.0797393428364965	0.0375684462273188	0.292167216660038	0.663569633064822	0.336563088393757	0.124937682784537	0.266067810083062	0.318109698354568	0.63196258323511	-0.113003358315269	-0.0913081251839919	-0.0642331343073029	-0.258945025321107	-0.16796785917567	0.308188642301644	0.422561817431355	0.330803616955199	0.172957121651047	-0.20277204272346	-0.444841396830544	-0.0797402172333847	-0.365218779742547	-0.0205872425907229	-0.393769095395658	-0.0150987127935285	0.191710559444163	0.152824186807583	-0.483436323158588	0.438099961174654	-0.168439422812633	-0.340890676150539	-0.050720417408033	0.462738940980233
ITGB2	0.957217038308272	0.879804204962092	0.958466934253866	0.393102788558577	1	0.516539044662609	0.987546357121653	0.994349874501004	0.917936483993379	0.66465941770728	0.977764805920021	0.62522367129311	0.981846033167595	0.844300729910517	0.884108660142151	0.948187131812839	0.96123878449675	0.973969260234178	0.982189922053983	0.798766182113325	0.970049610074886	0.521362722691519	0.890347019695808	0.970331385277263	0.842752401005821	0.447749366591093	0.372947477642203	0.686170430295968	0.949224600437721	0.543390466147379	0.968104525326342	-0.38261675842762	0.64308624486734	0.910854731843549	0.593408567269288	0.956088664354008	0.561676389935862	0.903236604188968	0.699963115938066	0.96285543475446	0.924456215296653	0.979857730579804	0.883734063478893	0.956462053927986	0.775715467845756	0.418107165018726	0.954831938628267	0.818528631476036	0.512896576763481	0.634103575789513	0.913662511668426	0.578388143304717	0.961676113070421	0.528645762709528	0.797911765050621	0.928387976050877	0.396319252011702	0.624360913966465	0.968351364076476	0.755695668067635	0.486205827152483	0.528197649762225	0.651467519657485	-0.0880482922017747	0.837719289298427	0.693133300817233	0.628296304346071	-0.220763033402457	0.91711044211037	0.820444794998629	-0.295380414161199	0.33195334546221	-0.229693420572237	-0.0944378764686467	0.329575284407111	0.56066074805177	0.91888389221529	0.848701732502761	0.338601278699414	0.128846974670803	-0.243419596626774	0.162873136767096	-0.179556273121075	0.296956270870542	-0.233981684642386	0.317077224956768	0.896720617903585	0.473846402501523	-0.207332404777541	0.95880987003324	0.0122266110086276	0.0412320905206547	0.419108231781153	0.96243518453036
THBD	0.5000345623552	0.506595953171109	0.580219208920833	0.853260405134163	0.516539044662609	1	0.435801243884227	0.482713915987768	0.489670908255991	0.663018423965521	0.478582385024914	0.440277871284099	0.52871606716116	0.471404382570164	0.650409994540009	0.587968926462423	0.641518036386168	0.44170863566133	0.570317314151928	0.647627839945035	0.514737753697869	0.520726456608006	0.516181870544789	0.620838988773906	0.443896480370178	0.708172119703384	0.477167827612112	0.344591940963908	0.548157989283825	0.651338131252361	0.455262951922782	0.017149168521309	0.281006469968675	0.570962075475005	0.58043374992359	0.527293656335739	0.5523622560811	0.477477990220165	0.381849221856083	0.349923056213273	0.479626710585851	0.480038591482737	0.463953603968791	0.481222543888783	0.490369006617081	0.0729309699993264	0.57701316786298	0.383691237098127	0.280208267701334	0.344657317831088	0.461740787958042	0.0858723461701157	0.485940712387111	0.0775646402923977	0.33712514163782	0.563604970851333	0.364779867481166	0.374952125945203	0.564789350220604	0.3231814063083	0.547556992058177	0.212278883590722	0.153719435658825	0.250700959879651	0.659921084718524	0.310730761868629	0.262744447826852	0.123974377780937	0.317788000464007	0.555184313145301	-0.15629932738437	0.0381092734951232	-0.100137481222301	-0.20857398470463	0.0225544637684477	0.325512245499234	0.604664205988716	0.513011146387362	0.188814473114476	-0.0949133780764204	-0.319667252203342	0.0103431133961616	-0.254922294085587	0.0824579666094947	-0.314437003981892	0.0804245575916185	0.384724738111773	0.230502568261275	-0.39709706326712	0.529824977425716	-0.0960527609053866	-0.255121684441672	0.109845716929433	0.52983949385046
TREM2	0.966054822519494	0.894402724667524	0.953613237499896	0.336429753249029	0.987546357121653	0.435801243884227	1	0.993656638910491	0.91900526247097	0.643443629300729	0.985733182010227	0.620526072519596	0.976731087701289	0.822864339045061	0.861852405082957	0.949950765902194	0.946844232845121	0.967829319356337	0.979349998728486	0.782539409053554	0.980985198779929	0.512758300642456	0.889800271622887	0.955097387071888	0.798145473664812	0.393047592042391	0.332125928572956	0.621602420747673	0.925780840125887	0.490746493013192	0.980051752662137	-0.473417692517333	0.61267352926407	0.886977676327181	0.559039752718719	0.95286829214444	0.525842754257674	0.89814795970668	0.670675355658506	0.947532800847754	0.926991348107002	0.984920543067239	0.85621460450305	0.960778704333605	0.748177327734638	0.38181385978104	0.958023657716748	0.799391753329507	0.47451337553957	0.588637261881872	0.922570396975606	0.588575418510894	0.978215511999725	0.522464198659175	0.766219982354016	0.911814894750018	0.348600918945122	0.579394607729213	0.933266885418246	0.733326080682661	0.448767953698286	0.509522289426095	0.652535729695836	-0.142106468581074	0.797172186943033	0.669056311318633	0.59829155616157	-0.259617080875554	0.92490731039778	0.82489913449803	-0.325247355387472	0.306304239836067	-0.260696054589436	-0.110281848734462	0.297264806762921	0.527354512131379	0.889036813068135	0.82968018958391	0.279599692911567	0.0999272945437162	-0.256510375237348	0.137278422630931	-0.201646827406636	0.269017651239431	-0.24877931964308	0.282649204074576	0.885147556341739	0.417148508448048	-0.212535516604421	0.961166888870944	-0.0462414923660515	0.0378949673835964	0.395114523853759	0.946453712210391
HAVCR2	0.961151576198051	0.885431331347778	0.963667944232604	0.37137018820342	0.994349874501004	0.482713915987768	0.993656638910491	1	0.928196812333922	0.658783903023647	0.984646126421802	0.626463344987861	0.986163862459413	0.824275520003566	0.889382698156938	0.949256287539121	0.959548823944851	0.978140787470571	0.980403597943255	0.808938433026014	0.976810735199149	0.534097832905853	0.894360978783706	0.96496084681413	0.8158967617493	0.440181242115689	0.380423851574058	0.645392843399026	0.936231447551729	0.545568717632271	0.971720057171589	-0.437943800966462	0.641564591188209	0.910751281044741	0.584630365969822	0.959840586134183	0.569534049773167	0.910223118223217	0.699680358778025	0.954550549312568	0.938804432337731	0.986852855722109	0.883395354879542	0.968252084304494	0.775014184309339	0.40966588067906	0.952366953581699	0.804556474749427	0.50864227326759	0.617466266403084	0.917222369595697	0.602121719187726	0.975632687474862	0.531705778838414	0.783164661172214	0.935650873641589	0.396030413086937	0.622004362868522	0.956495610236613	0.749492915546496	0.495090159490815	0.52400872404031	0.659441078135923	-0.11925411404897	0.834980525474015	0.701546890139854	0.623801354055157	-0.212657060140255	0.933809675359332	0.829336581126045	-0.298378556828616	0.333262995198286	-0.227682060260446	-0.0882386828935981	0.318289824083214	0.569051070614846	0.906165973266313	0.85470558781083	0.335203183568622	0.12819162833835	-0.248375069895851	0.168220266447681	-0.182126090667707	0.302237674027239	-0.232579200540746	0.309299702705656	0.896070572350322	0.419164525598754	-0.20166727008282	0.964047837606027	-0.0445088916421821	0.0512983551102165	0.412584401593781	0.954207426567611
SORL1	0.959013488122137	0.924906932764504	0.970753823712835	0.525803752099689	0.917936483993379	0.489670908255991	0.91900526247097	0.928196812333922	1	0.783697780675614	0.896944143786769	0.721301779077061	0.952505171202063	0.71648149911844	0.907370369497634	0.909931058303328	0.944159026357444	0.894848838931804	0.938612047167033	0.898604611493332	0.925221280157785	0.759470897328005	0.955294717332346	0.948284876200154	0.833561381370035	0.627642360020248	0.40749647760437	0.657929484613183	0.899668901593774	0.495267123036197	0.939702123598926	-0.323458486621651	0.528403883266107	0.85633675660319	0.814276861990327	0.979417143605214	0.709226907669673	0.899281546081543	0.659966098197274	0.861127723905426	0.982302116279184	0.963443041034046	0.801023044090396	0.967222987975465	0.713855141151492	0.322424774344619	0.880199146878157	0.832851935778351	0.472907467629452	0.55371723159067	0.965669999472494	0.646233441612191	0.951827612444424	0.69859803249166	0.771382173901843	0.916058555135736	0.533197161673245	0.557626045472166	0.894600819386041	0.663604469901447	0.603137777251419	0.463977858145336	0.625970987462414	-0.0150075533160614	0.859578818426169	0.708933290167751	0.523142892536649	-0.1097614987898	0.934123731833795	0.942874292356391	-0.264428808613513	0.257879277034998	-0.169698682761135	-0.115014903153246	0.215615247311596	0.601035622558342	0.851669457339974	0.793812747953476	0.370454239802458	0.0902073165470161	-0.31259718938368	0.130174378761359	-0.253395202373198	0.244447145593453	-0.280651249564578	0.278550323088102	0.782740961324843	0.431031050444826	-0.263186077835738	0.93647485480876	-0.0421023793517641	-0.00126332063560141	0.324524364498814	0.953606365650021
ADCY7	0.765151090056	0.847793746108367	0.785190959397441	0.682384084460017	0.66465941770728	0.663018423965521	0.643443629300729	0.658783903023647	0.783697780675614	1	0.662189958061809	0.52724076398526	0.744075741811693	0.638446215499472	0.696905447734916	0.688891011159704	0.758289528590883	0.647227591341402	0.75619125469601	0.735201048767479	0.680573826289975	0.691453939406775	0.857735783095933	0.766587875251268	0.709356451362735	0.638272015815737	0.17064087195894	0.442732050747498	0.750569297422901	0.374830883197438	0.721774663332377	-0.0748835046927975	0.255737874672767	0.558220475027676	0.77623008579086	0.741861867496325	0.614260645094944	0.705764005068107	0.2864885646923	0.553570184409165	0.740574222798761	0.711366083355393	0.474495130991006	0.75360318606596	0.425883425177228	0.124391846954331	0.713310536209513	0.753645563502861	0.290274091996322	0.387104944064675	0.776381139639261	0.319834940598759	0.720231950846502	0.478266071185507	0.500935499574378	0.615853259186762	0.299221961726842	0.302964627945503	0.68837075307696	0.466881753445001	0.630325701026675	0.250645392388487	0.388463736437183	0.252947020099992	0.68113640923722	0.325097783008165	0.230405638725674	-0.158792901492863	0.622464737097046	0.760344151747302	-0.305878735976758	0.0612689010698864	-0.150653845645781	-0.209721722281843	0.0702890602105737	0.33839362612582	0.650082711717065	0.61850361213122	0.116311009102901	-0.137922425168614	-0.365613166397938	-0.0695945683889013	-0.307484830940927	-0.0171429267120457	-0.331042188807687	0.0991305249501176	0.525699234026247	0.446424959744914	-0.385667948806618	0.74150292217472	0.0401901410448243	-0.196776191614662	0.134050685824116	0.726240316191583
