""	PTPRZ1	NRCAM	SDC3	EPHB1	FLRT3	TSPAN12	NLGN1	GPC1	NLGN3	NOTCH1	NLGN2	EPHB3	PDGFRA	NRXN1	PTPRD	LRP1	THY1	NRXN2	NCL	APLP2	CD63	PTPRA	LINGO1	TNFRSF21	APLP1	NCAM2	LRP6	SLC16A1	RPSA	ROBO1	CAV1	PTPRF	RAMP1	NOTCH2	TYRO3	RXRA	LRP10	EPHA4	ITGAV	NCSTN	GPC2	DAG1	CHL1	LIFR	BMPR2	FGFR1	CD81	DDR1	CD99L2	TMEM67	EPHB2	CADM1	INSR	CNTN1	GP1BB	S1PR2	IGF1R	ADAM23	GRIN2B	SLC16A7	ADORA1	PLXNA3	CD47	SORT1	TRAF2	MYLK	ACKR3	ANTXR1	MCAM	ITGA3	ITGB1	LAMP1	MCFD2	RAMP2	AR	CALCRL	F3	AMFR	CANX	DIP2A	GPR37L1	KLRC2	TSPAN5	JMJD6	CD46	ABCA1	TSPAN17	ACTR2	STX4	TNFRSF12A	TFRC	RACK1	TNFRSF1A	CD44	TSPAN14	SMAP1	HLA.DPB1
PTPRZ1	1	0.927553093692001	0.931258492547718	0.882458585278109	0.586216012592566	0.878000182382027	0.952449457677548	0.912389229304098	0.961359181085588	0.902096141661109	0.903049395390889	0.871211424121902	0.91024583638441	0.95538966324084	0.385116179238054	0.917806877865015	0.897850372468299	0.955614294679612	0.867966226643551	0.910087992596669	0.900168471855184	0.90849338120676	0.939299332751871	0.874101206727321	0.836816835251788	0.920006901585595	0.91248056547016	0.537612378807318	0.78541672879267	0.79959146819272	0.716453198925162	0.529297034934044	0.939320472515326	0.73688332023544	0.948487187882133	0.160231662327829	0.704066396325314	0.634320243043682	0.830573617598531	0.739867241790245	0.831115933903913	0.933500159510853	0.911095325266533	0.850263100132576	0.914355505780319	0.819642109409014	0.946138991640478	0.92478686087426	0.909381047721299	0.747475250155395	0.851434878260144	0.816986972812928	0.485219237959714	0.941272161805774	0.625658938450293	0.828985029062961	0.509569045097919	0.926700660223369	0.899770383599417	0.709559447800474	0.900906823543913	0.735368128821471	0.914058220380643	0.894916590209328	0.780236958239147	0.0787693771221797	0.82627849928525	0.879662780074658	0.861812978130834	0.794224248284882	0.91202501333766	0.911516922699844	0.814561935143624	0.913216418463922	0.830990770722183	0.814598667779685	0.681451680682062	0.865585119468408	0.815472810524335	0.816094170876391	0.854573760453049	0.880923944266475	0.857322664524087	0.68421701166478	0.715578414052722	0.0173215012480121	0.861863665903396	0.882665787627978	0.824966617135583	0.834365104738387	0.70778431837345	0.583739685593466	0.860386073288322	0.277523048052196	0.790462883184784	0.892779632901013	0.629512199573852
NRCAM	0.927553093692001	1	0.940292119944491	0.877685865419214	0.664293062548204	0.755378791942732	0.927105786503548	0.921944767791363	0.892409014169845	0.846474484620548	0.853308114784058	0.825959655630355	0.859073132573468	0.889246777650422	0.469848022698068	0.933648280471018	0.775207209070646	0.920796622974599	0.791688231146944	0.933201243608885	0.897766863703054	0.94119142125048	0.91318209917151	0.846576880234844	0.810106551339391	0.91753400496727	0.882259215771369	0.627844981115812	0.759588358460318	0.895717889743356	0.764769433865513	0.676971773618767	0.924805355665752	0.833906209734197	0.873489191328268	0.343299171361433	0.815251199244043	0.756515736841596	0.918585024922291	0.798114400661092	0.703742297845266	0.934623386402895	0.943267366670735	0.877947942412135	0.929257681485564	0.851390171685029	0.946099702270191	0.941851133049157	0.898035377361235	0.808104739286911	0.815655937812296	0.840058369327332	0.612336818779823	0.891439632280079	0.724722438315866	0.75393732497465	0.666483885987424	0.884712445219229	0.908431247341258	0.791861393806917	0.80790806155774	0.801641835304218	0.90403558726613	0.894605166187236	0.74492203240997	0.258071293325845	0.797854599251006	0.891216470500922	0.764343242511882	0.85082328660542	0.923786341699384	0.895692500510699	0.844766232325957	0.870005969974754	0.863374507582438	0.820035581112867	0.773240029815383	0.905137618541524	0.860351057890032	0.858214637358921	0.775576595278289	0.779051278248834	0.872962452313959	0.712541612291722	0.792309295058773	0.260742832419065	0.771851067540934	0.868822451784937	0.835083284094637	0.789918605490633	0.725278879747574	0.655668908801472	0.886363662332014	0.483938223894502	0.825227888100809	0.877462299145141	0.637405101409543
SDC3	0.931258492547718	0.940292119944491	1	0.847499866616256	0.685195755017356	0.759454665486248	0.901466179692062	0.940369367563176	0.900948074556251	0.848719119332939	0.871575795637917	0.838240127954567	0.859334024396095	0.899475032309797	0.537837482535094	0.928678197719445	0.788083676669251	0.91915280975687	0.794112076796061	0.929733234486081	0.906139840993269	0.90854277624271	0.929192709406713	0.850792935054997	0.797996589247798	0.878252833950724	0.869387287915801	0.631971084582383	0.775582815548537	0.857222729477739	0.77591927963576	0.659947444440597	0.890556009140141	0.806273723953138	0.855813120024402	0.352129889873302	0.737781553981766	0.733992579521082	0.887875482730265	0.772276685009369	0.703338912316602	0.929979241548521	0.926703722427371	0.881961946407219	0.918631380359448	0.851792118273407	0.951007154478082	0.910835845834286	0.90227564494394	0.771694780163018	0.832076481772447	0.816110279869443	0.54232390134256	0.893812818842025	0.667987738336359	0.778957691874567	0.639180716128892	0.858468571040162	0.902975214490638	0.765978695902255	0.813659625315473	0.813235386766105	0.884053875337627	0.879721066828608	0.731930726065562	0.227905117282899	0.777922495594793	0.885732541563824	0.761718050613696	0.843480136218689	0.915070310176007	0.88192444512644	0.83603637749317	0.859506963862409	0.849818041942751	0.78882370206565	0.736640415854915	0.894719098067161	0.864421216705565	0.827660979598344	0.770761341823404	0.779616520827432	0.859619417432644	0.681310316056983	0.777930237557274	0.169065705893666	0.788858636419141	0.874332689967005	0.817742741642831	0.813952748267914	0.738060509592966	0.641492468064385	0.887372804418658	0.426621744724035	0.817849771123709	0.860806837910977	0.616694205146325
EPHB1	0.882458585278109	0.877685865419214	0.847499866616256	1	0.618312055241718	0.747949424033053	0.888479900152506	0.818110399891502	0.874185582497035	0.848561645709901	0.871765778456958	0.822726345416403	0.813618530833853	0.845704100262575	0.434770912967821	0.894715008853551	0.779658050500365	0.897334295704945	0.803348618759109	0.84529310880449	0.82386908633937	0.867530413357248	0.886684330958329	0.838605739550085	0.828608885702051	0.855583788881791	0.895032265677151	0.625997163368923	0.803175835830033	0.781938579132079	0.752743704653705	0.610468239096013	0.855674841036241	0.786277216032208	0.830573422651471	0.312241372254245	0.713158566288896	0.635109702408318	0.826620027440993	0.727886775965723	0.704635383271189	0.877645125206563	0.856222103191062	0.80974734250209	0.872271642411403	0.787957378756813	0.903658434367165	0.876471957450544	0.854536996726719	0.730774351171491	0.819285648182748	0.849145830586119	0.584909466065359	0.882514773564554	0.677474018768786	0.759104217089445	0.599185865544961	0.844295273154079	0.778625648568999	0.701637860695506	0.766684307857622	0.774706753290172	0.849793360151486	0.847597159450144	0.742734722163625	0.252088913947996	0.731093222851805	0.863762452051107	0.773050613018661	0.739903438662308	0.864616611823939	0.831207111865667	0.814249106875619	0.862509181717809	0.821181825513839	0.808011484920401	0.660834924189806	0.857449170123987	0.803193112257578	0.796851752327216	0.735084676900046	0.79824480100701	0.821195828991861	0.719849513243994	0.744906573131978	0.175902620715921	0.75000835311363	0.837022930999138	0.857992726593539	0.70725703889603	0.749019692778589	0.675387154379221	0.806844239372187	0.358159361123283	0.803002031614661	0.866939295055946	0.649784137977961
FLRT3	0.586216012592566	0.664293062548204	0.685195755017356	0.618312055241718	1	0.400419862214572	0.5983160456306	0.703896882724337	0.562225530567569	0.499010461779168	0.571721865628276	0.58434544752556	0.533218511146272	0.609093386244732	0.736312605910244	0.710537180398726	0.424785769887121	0.624193822070413	0.547440907818851	0.687632463841243	0.658923534217465	0.691524147957722	0.663870514444344	0.544378299867162	0.552173282992703	0.642935931277837	0.595623930681039	0.765562029285446	0.611647680911708	0.697532227895968	0.820398406559063	0.739677139012413	0.530087704636723	0.686134709433976	0.462366855439484	0.6995080600521	0.595072059393115	0.618534729695784	0.703399618546431	0.665622885924327	0.39360270850303	0.648644776380853	0.642006772538739	0.631026009117532	0.679201079781656	0.723457454189599	0.656365695062688	0.639009585522136	0.660179941809565	0.658945327515399	0.606099030168347	0.596379353588308	0.619926986223051	0.613573045324018	0.685450572924461	0.510409530259682	0.665383030022828	0.470918082597306	0.611838325466913	0.699038656936861	0.454127774404913	0.726358591324244	0.594696067374123	0.566919533859767	0.536629377075095	0.517963288330145	0.468589518302173	0.667795437251485	0.413181206203696	0.657602036083976	0.68272685715294	0.600916066496583	0.690583921531335	0.607789192182778	0.640683902511269	0.653727857977873	0.550872250453995	0.628518725157164	0.734671033797828	0.658924164351226	0.400257055679104	0.469087797416469	0.662814200148304	0.584744599791168	0.65959181481911	0.451851492576573	0.50659537997994	0.60250997824775	0.638125219134469	0.589805364417463	0.650895012366472	0.707987065369572	0.724675190279631	0.468702935398383	0.657892780216144	0.63603913156011	0.449527228590295
TSPAN12	0.878000182382027	0.755378791942732	0.759454665486248	0.747949424033053	0.400419862214572	1	0.819539170474052	0.768965182652876	0.883752651393212	0.856893161346352	0.807848702310007	0.814355619677735	0.897696906671413	0.864019865416526	0.160787534050863	0.736551471487463	0.943626649541823	0.841705391679951	0.881264547920987	0.809634633004144	0.841345086875503	0.771834708680815	0.818991220731404	0.808751722063887	0.75438194975879	0.7960732130482	0.812860542289437	0.374731092268397	0.759174230121112	0.583465650724153	0.564816754906111	0.273043283375382	0.850431488011967	0.549809471716977	0.869793845407281	-0.0708285183209568	0.525294173105056	0.398741686496372	0.613058331205097	0.573829923214863	0.845462341499665	0.809299900253527	0.771848216548335	0.750820855091467	0.777332401115603	0.711564019769931	0.83127279613344	0.770031426542876	0.809847824598976	0.560959690129693	0.774941393866796	0.76260063809385	0.281594319155456	0.810585644204095	0.428839543019048	0.79926524603646	0.270752361858406	0.843976460620153	0.775455047788063	0.538316455736557	0.861418080180667	0.583164396947503	0.883810389549576	0.805092402039066	0.735590787286053	-0.0706167424330632	0.781172006609919	0.760079919884101	0.884417947654587	0.588556058658103	0.807163604292411	0.864402781204848	0.717578379974757	0.824198204461728	0.719469560758507	0.650088276553155	0.534570545058346	0.72089568576161	0.709410975644624	0.65767326902226	0.831128870624152	0.891593947489134	0.731378073989266	0.674193364060753	0.566145550695114	-0.199585225126248	0.857043397977925	0.829527140669803	0.736640091820085	0.748052034386331	0.613252876554245	0.487190948443443	0.749804555808575	0.153848475102026	0.658986133246425	0.828096065774876	0.600964060344938
NLGN1	0.952449457677548	0.927105786503548	0.901466179692062	0.888479900152506	0.5983160456306	0.819539170474052	1	0.879846279234808	0.916664786102425	0.876486545444334	0.883590641226411	0.858006623951782	0.8626754053298	0.922383191669898	0.396939651708888	0.921052517711615	0.826157664097711	0.933426281923092	0.831748901769568	0.893121432588645	0.856632344676751	0.913805258354351	0.913440415469039	0.83521636653754	0.824614020917192	0.925976774845036	0.906674298697958	0.590688793983596	0.783963913136734	0.839342379695767	0.744809634988124	0.591578656720059	0.919075600009358	0.790606857808005	0.900948482352551	0.266428437118877	0.747335771180004	0.708601614841136	0.860867681100862	0.772840317776162	0.770125055490087	0.91549233989503	0.898139905756126	0.838404071347766	0.909623232675891	0.829775129459113	0.922676506714701	0.91551046019011	0.879330519455855	0.779942273875385	0.85267321162947	0.841059741542044	0.593945767934419	0.936140870380497	0.706944859729135	0.793861923700318	0.597002452975947	0.909338649052974	0.878891879901472	0.736950086545308	0.852380078769397	0.766992520584889	0.892008497806147	0.895806879804432	0.751652591008407	0.187747329532218	0.81676073254184	0.876733790468024	0.806847057342976	0.802112408121322	0.903178310851839	0.873354330078066	0.823648633924235	0.88212560084296	0.840883520982221	0.819686601878817	0.683410115036393	0.87447773160296	0.819940375765587	0.845789736285963	0.789999847028764	0.830848713335892	0.869406606918824	0.692766133655688	0.758443290938128	0.148336278771476	0.798855075899829	0.853079294480921	0.820579806068989	0.77268035237656	0.725638291173181	0.641415210621247	0.840831584911306	0.343124351479173	0.803819744798971	0.888316148807994	0.650716898296154
GPC1	0.912389229304098	0.921944767791363	0.940369367563176	0.818110399891502	0.703896882724337	0.768965182652876	0.879846279234808	1	0.88692595704882	0.805698049431651	0.831930963351437	0.809856417762777	0.844225317598596	0.88433182371532	0.509746978495582	0.902341019458259	0.791611937950681	0.890928855045518	0.808692032448654	0.931855426724712	0.940782563106279	0.918260506377162	0.901486024959802	0.845722836161784	0.798003464758894	0.86651885064338	0.820569819498027	0.636289490168487	0.785645140733146	0.83766766723735	0.812170442892041	0.654161877129374	0.908170516686869	0.756751730921292	0.852151572757841	0.340706926206737	0.770826497173293	0.694693434883934	0.872696945704079	0.777287564755435	0.70868397639531	0.925358155608586	0.911321507572991	0.865974450419355	0.90532801296429	0.858620386434145	0.917884492049752	0.911641412998304	0.891805547534038	0.766851184539298	0.816024977206015	0.787080543306294	0.543490581072058	0.854205020735262	0.68511392409958	0.779625932146651	0.630031511735113	0.836577490715821	0.909542325550461	0.783112982473339	0.813949289895481	0.792575900343472	0.895675091049079	0.842135788265198	0.765841826339432	0.255298505410862	0.776402269552179	0.862939574666573	0.74452651684413	0.859577800082352	0.932587542489777	0.899997123442088	0.840707825838036	0.88513228551972	0.807912287806455	0.769800382045706	0.750834062106078	0.878078942945115	0.860503956683851	0.817226924310492	0.75323607211117	0.772627621137877	0.877179207855464	0.694408178402979	0.741738184496599	0.193464407670864	0.792755978380923	0.863059889590757	0.821378298570643	0.890347159731059	0.716445403506259	0.667799691243709	0.911083679930339	0.471880208807337	0.805675607185422	0.867412914685598	0.620054247396669
NLGN3	0.961359181085588	0.892409014169845	0.900948074556251	0.874185582497035	0.562225530567569	0.883752651393212	0.916664786102425	0.88692595704882	1	0.906539280620722	0.919431550971027	0.882635025459028	0.937420546374797	0.934425567715989	0.336476101260666	0.898539781807141	0.932245131765615	0.948347667400184	0.887970828864873	0.892638405106926	0.918646476478623	0.886145043052734	0.93409150425621	0.900212652938554	0.855450656111106	0.884816180890088	0.895161239387195	0.533970702398639	0.843472935047997	0.734967019284402	0.708915218075617	0.482605074704272	0.915576488059734	0.707554144242304	0.928767790897865	0.135107524416671	0.657028390384937	0.537825326948037	0.762932930416956	0.687132350274325	0.854683993355355	0.92007700306252	0.873442695621938	0.853972751854574	0.894438404388438	0.813643703375339	0.941888610257084	0.879382756863503	0.90850376239534	0.702041826055173	0.847593109877673	0.831955411917341	0.461131627711447	0.91842073830794	0.593724462204426	0.850803303584182	0.467676108052162	0.909519475476322	0.868134606484798	0.670886961343908	0.898328857030157	0.738945588694246	0.925996240751252	0.86333253761944	0.797905355503922	0.0824553132282656	0.792718421168767	0.873554014332352	0.893212904694438	0.73325230738049	0.90782496479577	0.910503643517873	0.83676308766388	0.919518385868943	0.822665974268083	0.772362319242517	0.626027964960479	0.857904565849897	0.831479759836416	0.758134119030134	0.88390399487817	0.918386863529678	0.818453876119244	0.720256097131641	0.683617302994833	-0.0396016443789917	0.879865781059064	0.902229331081123	0.859100267227964	0.827684060242638	0.733029950926786	0.629835055830528	0.861749984159125	0.25035686830628	0.771702741278882	0.915070555204305	0.655225905282552
NOTCH1	0.902096141661109	0.846474484620548	0.848719119332939	0.848561645709901	0.499010461779168	0.856893161346352	0.876486545444334	0.805698049431651	0.906539280620722	1	0.883720329087248	0.895707835555248	0.929615622327264	0.904362054732972	0.30695719112521	0.858263186898448	0.894070526581068	0.907055432029715	0.913137575815507	0.88558149575335	0.84604685135597	0.834005933811178	0.906752894540339	0.801024383761523	0.798104014932252	0.816956898030586	0.910732126597661	0.568204009477915	0.855174307503934	0.731131217257117	0.640170348394758	0.473372850407456	0.844298184251186	0.706217505582279	0.854999487961172	0.142416217938071	0.622389533121597	0.550728640656668	0.749192590042217	0.670437140750471	0.823179160924067	0.8885257913289	0.815752615865436	0.849239054500389	0.874207321194026	0.789364370774955	0.910293954205721	0.817585137890107	0.861223447356628	0.690122297731438	0.892030448769388	0.875938757972292	0.480960159478282	0.889096136899703	0.600013248556389	0.809778328706378	0.472671715863647	0.84874858135681	0.819761832809815	0.658191539712726	0.809993741147371	0.748610714238548	0.904078482593715	0.909034829451174	0.81752012260967	0.106387090537817	0.841492184878586	0.86404852257032	0.89705900554822	0.675471373666534	0.88858136561225	0.868004755139717	0.822314930314136	0.84866117372598	0.804369407572849	0.748415369289921	0.605947422297455	0.85254389606352	0.814470654413282	0.779776457034423	0.751123759386357	0.852078220625606	0.823791270475227	0.783180436520489	0.706351692435712	0.00460089656182361	0.804432066365737	0.908468360981156	0.786814714775523	0.712163706340304	0.769733372360963	0.62720427251119	0.777622676864115	0.258922810535128	0.790341404266578	0.897316791646618	0.688597858613667
