""	CD3D	CXCR3	CD3G	CCR5	CD2	CD8A	CD8B	CD247	KLRB1	F2R	CXCR4	ITGAL	ITGA4	CD69	ADGRE5	CD44	LAG3	ITGB2	PILRB	SIRPG	CD47	TNFRSF14	ITGB1	TNFRSF1A	IGF2R	S1PR4	PTGER4	PTPRC	IFITM1	CD4	TSPAN5	SMAP1	RACK1	CD81	PTPRA	TSPAN14	CD9	CANX	CD74	NCL	SORL1	C1QBP	CD46	TNFRSF1B	APLP2	PTPRZ1	CD63
CD3D	1	0.844949997815263	0.95269898467016	0.709878314500757	0.95996878001675	0.726756787962048	0.75506740096121	0.923170109396525	0.687062175418104	0.697762247048245	0.902166577381653	0.85777068334988	0.821470169195834	0.922862465473646	0.905529267395473	0.914353783916262	0.790419947060131	0.738708193644041	0.562860763490288	0.646326185855282	0.764927626432376	0.878548422521597	0.813511611986133	0.346072740544318	0.665415849694332	0.832114344985042	0.853837589418875	0.872970609545245	0.757952646861259	0.579908551111021	0.717806316481377	0.631999226859149	0.732216421763264	0.379686225402495	0.096874840223736	0.820355911996821	-0.167924534960709	-0.00649057770587131	0.373656890111934	0.454597719927001	0.505247457839018	0.284900920915559	0.709407482578242	0.854024305226371	-0.168379043439003	-0.409787436452682	-0.156448781447492
CXCR3	0.844949997815263	1	0.72966028008893	0.594669058673968	0.745098918929805	0.648118437741322	0.658123499216217	0.805456728884712	0.411886551802836	0.591724328301444	0.808143024693665	0.609764738829446	0.569226215100476	0.824199737700992	0.649454310886334	0.85005115167362	0.850429864036876	0.523746403575745	0.610414097083748	0.510736604702569	0.618212971910269	0.702488623646761	0.58085474408898	0.391543861914869	0.358074051017393	0.640664205085303	0.555032385627225	0.702601079479886	0.671265456733022	0.300109260979858	0.674906814039607	0.415581362831057	0.592105348606882	0.317338351332546	0.0291439785266702	0.576897168091252	-0.2574252790289	-0.121904650622014	0.318960466290213	0.247473524572886	0.316357718420791	0.166297962029705	0.382917751983014	0.566404721609771	-0.288063661610992	-0.402202187986467	-0.239240541580387
CD3G	0.95269898467016	0.72966028008893	1	0.667240444469377	0.968265525215881	0.742337354933422	0.766042335440013	0.939290262407317	0.708643293742875	0.659102478727503	0.879432898913327	0.855746677999024	0.826003688652717	0.918598408711816	0.926716625251841	0.854048711614815	0.743208564131358	0.761147784019788	0.489680416800745	0.657122095512645	0.74585629030818	0.88524469670312	0.766260405816587	0.270118252596381	0.721821220618459	0.794550278007916	0.880435464479588	0.841783703202528	0.684686941669225	0.617757383441491	0.746752279513348	0.602571030493269	0.707104211681172	0.314774619694063	0.0666285621679629	0.776030185001006	-0.1729018243819	0.00265457424037668	0.331393628774902	0.453626185419993	0.492742406405851	0.263703820535173	0.753969110383315	0.885120590427638	-0.170174182243528	-0.409427764356652	-0.166195655909573
CCR5	0.709878314500757	0.594669058673968	0.667240444469377	1	0.620168220413645	0.582695706234083	0.709167593859529	0.598779061562673	0.186761940694952	0.635468492569359	0.517888098848483	0.663363456865586	0.689221027530463	0.541244503310644	0.485046704427184	0.497962110719007	0.755135327407243	0.321357570662174	0.44809148639019	0.384887049097617	0.336494662610408	0.552051352578227	0.505739543299013	0.111975264453145	0.504132989912985	0.40842193806711	0.592220451406061	0.851265347377443	0.265411035700371	0.0691937754241197	0.621428644194333	0.360744330563884	0.242441597142818	0.141277231670287	0.119513467378171	0.605339400288783	-0.224955698571952	-0.183909693728148	0.0484657599100988	0.23255511625329	0.390575084458844	0.0537379780164893	0.410865130906195	0.541744151299082	-0.21302209683399	-0.366831748092896	-0.258156055016836
CD2	0.95996878001675	0.745098918929805	0.968265525215881	0.620168220413645	1	0.656724862724167	0.680000616443092	0.930226988239734	0.779636550692479	0.63092785357368	0.875147035461879	0.799961891229843	0.81263956994422	0.894354685392085	0.926684858323778	0.876696897065314	0.696117819328026	0.781188634281497	0.440430130388201	0.619364223800665	0.799764978330005	0.879975266577677	0.781374786275567	0.294468952093525	0.702841758341046	0.836138654302054	0.886825785125565	0.808664850732471	0.757408309480142	0.709854308371284	0.70731358132518	0.638757945733435	0.76343281666181	0.347883964202854	0.0751558319370182	0.797666769304118	-0.127460396743375	0.057666646036917	0.354267633457727	0.513903014354019	0.516904834367987	0.305751323439863	0.765072761167348	0.925718811989243	-0.129063166318685	-0.379370872825144	-0.118938576451447
CD8A	0.726756787962048	0.648118437741322	0.742337354933422	0.582695706234083	0.656724862724167	1	0.904504181565389	0.791781225888196	0.195046792996512	0.781972326093847	0.759070078178892	0.731225626681673	0.576678776738019	0.715771243273839	0.721593752534692	0.671700641357662	0.774529200917333	0.415543877312695	0.404455056211814	0.854061857727163	0.363598266189203	0.562296871613842	0.436164226638794	0.166464262335391	0.322012584693868	0.538901754844522	0.587096173143786	0.681714657935204	0.466916826339601	0.126687974179794	0.707119789744767	0.164343365691159	0.329838607740759	0.172486855863667	-0.0607502651473734	0.529825786749933	-0.331785385146606	-0.211626798274237	0.115718280796797	0.0724972836544495	0.123855938748157	0.0656142084565734	0.486212436597792	0.516156150674893	-0.363452762493427	-0.462232392045228	-0.332754103436954
CD8B	0.75506740096121	0.658123499216217	0.766042335440013	0.709167593859529	0.680000616443092	0.904504181565389	1	0.767440715305515	0.216712730233531	0.715353870459145	0.68570237686433	0.785939364323407	0.69926331946726	0.714030930324702	0.670362478139026	0.579257535662259	0.80436435870573	0.411125889006833	0.378173811845177	0.794871848862916	0.349514614377607	0.639699601850876	0.476722617148241	0.201312207425518	0.423091401780271	0.57326781951456	0.664263096784504	0.77354470605559	0.454299153075421	0.0789325984852663	0.739829538180947	0.251231810906357	0.312382203022189	0.171991586339179	-0.0074735504896127	0.579276733155915	-0.267608566145837	-0.172763958868218	0.0726388821030906	0.140665368532114	0.238489562390002	0.0739365427264346	0.521395784063622	0.560351149916661	-0.297822754153585	-0.423222235135036	-0.292837153329855
CD247	0.923170109396525	0.805456728884712	0.939290262407317	0.598779061562673	0.930226988239734	0.791781225888196	0.767440715305515	1	0.592955408828311	0.73244280803585	0.939456613345256	0.759145411073649	0.673529768071694	0.918987897378605	0.874956570171472	0.909092451162773	0.79437490766767	0.70815531881751	0.516465186002221	0.701856612439359	0.702450439142425	0.820692155785728	0.660396040102639	0.325354001441072	0.536093239302092	0.789425419998739	0.746285344761997	0.759801532178294	0.748146415299339	0.520089914437775	0.798117665350485	0.490146436341212	0.694729045019971	0.325394862408118	-0.00972639830605418	0.652986729247905	-0.228555967720627	-0.0560972482585336	0.342872808080105	0.356884385066938	0.336750119648594	0.226277870864537	0.629262056720263	0.805893882218602	-0.239238795982026	-0.437815300111589	-0.222961438512275
KLRB1	0.687062175418104	0.411886551802836	0.708643293742875	0.186761940694952	0.779636550692479	0.195046792996512	0.216712730233531	0.592955408828311	1	0.220761641867829	0.630125177267306	0.557908013841058	0.618010584954386	0.69316100554232	0.789052241873901	0.663018258319628	0.211265146514672	0.819658922066629	0.190806802684723	0.349088905660732	0.824677991251565	0.794587636072275	0.767249600583399	0.348921412319596	0.655777495627939	0.784063041893555	0.761952233478708	0.491899989808133	0.704473674320364	0.935905751885692	0.252862535353175	0.75285549530853	0.843634479336395	0.404076768836817	0.116065713585114	0.699877180975524	0.124203236764261	0.300380333763031	0.525672076185966	0.610915701180224	0.623785194782392	0.439535452794294	0.741167304493057	0.804511096520662	0.188380533706852	-0.117811861304725	0.174671284529573
F2R	0.697762247048245	0.591724328301444	0.659102478727503	0.635468492569359	0.63092785357368	0.781972326093847	0.715353870459145	0.73244280803585	0.220761641867829	1	0.708699565375638	0.705183303302917	0.517428661282821	0.602721941784096	0.682641839848675	0.656990193158113	0.705570494359149	0.361442778821615	0.388938043333096	0.736590196413317	0.470222941307311	0.494023709424123	0.555630789551525	0.398481761816938	0.313699922754595	0.552633406176648	0.519696158884548	0.708720325412533	0.548809842016231	0.17715959586144	0.65157842597166	0.345255284182871	0.419706919235116	0.459713811758194	0.230957152384735	0.553727527705704	-0.0412125690686196	0.0257765302728151	0.164733652315183	0.318373687701289	0.173970111122298	0.334889477771958	0.536407666106557	0.507458402142051	-0.079904624378866	-0.192540750224677	-0.0365741852301311
CXCR4	0.902166577381653	0.808143024693665	0.879432898913327	0.517888098848483	0.875147035461879	0.759070078178892	0.68570237686433	0.939456613345256	0.630125177267306	0.708699565375638	1	0.722014222654929	0.56269950630011	0.933109023246037	0.865965204753703	0.961997321197764	0.758004757504502	0.808103230094538	0.549238853892155	0.726549190379701	0.745901784000384	0.843292856242914	0.693764224484632	0.470004639691506	0.428969996670034	0.872052101355711	0.664270887258394	0.685614925288093	0.805399540912719	0.571275733145568	0.685347630036048	0.493505553912761	0.772027038409104	0.380788744022082	-0.0619738372950975	0.64015408005616	-0.23115051615225	-0.0538882385247655	0.566659747654248	0.301707076696267	0.407978006449059	0.245868050069009	0.614434694532046	0.738655527766006	-0.157231498379797	-0.442029982731927	-0.204636780262419
ITGAL	0.85777068334988	0.609764738829446	0.855746677999024	0.663363456865586	0.799961891229843	0.731225626681673	0.785939364323407	0.759145411073649	0.557908013841058	0.705183303302917	0.722014222654929	1	0.870883476226038	0.79621836531551	0.860965992751357	0.6922108792212	0.676073748885698	0.588192738509459	0.477074179055615	0.663091554427282	0.579149144053775	0.746063486059065	0.78807901451263	0.241569405382482	0.677489000530644	0.692317889079556	0.836817556064799	0.852682078717183	0.615751875012508	0.451020812055226	0.583158569356438	0.569042605938644	0.520233997571759	0.33498918869404	0.164655613177708	0.830040602431426	-0.0787579224260205	0.0291641941735003	0.237266837100752	0.403679670993752	0.462307202723677	0.242386718188717	0.766637759045933	0.768163676373875	-0.0910815878005916	-0.333296727829015	-0.0967676669679834
ITGA4	0.821470169195834	0.569226215100476	0.826003688652717	0.689221027530463	0.81263956994422	0.576678776738019	0.69926331946726	0.673529768071694	0.618010584954386	0.517428661282821	0.56269950630011	0.870883476226038	1	0.711908171735967	0.783882658737191	0.585448743866422	0.5850922047156	0.528461274423024	0.35613730933567	0.480708004209138	0.593618584180763	0.735934477952867	0.78847253027128	0.1651073570058	0.83998115541675	0.586978290066735	0.948045639016268	0.90398299586632	0.505309217900754	0.483873732405053	0.54920531444178	0.628461910250833	0.492745746744097	0.304410957488865	0.274011237308232	0.886035463966868	-0.0123662138101648	0.104848839379337	0.109646259379724	0.558699808657634	0.588636377511679	0.280319114329216	0.759686366525181	0.850157769905601	-0.0374179608756308	-0.25236264436874	-0.017603396151509
CD69	0.922862465473646	0.824199737700992	0.918598408711816	0.541244503310644	0.894354685392085	0.715771243273839	0.714030930324702	0.918987897378605	0.69316100554232	0.602721941784096	0.933109023246037	0.79621836531551	0.711908171735967	1	0.87483374932962	0.915879078526777	0.767757546541837	0.778320634546801	0.589643884784914	0.646277950968661	0.768529084788031	0.913918373445478	0.775673486887955	0.432986080134959	0.575474463696396	0.855175904266064	0.76593204057821	0.766742927495263	0.801606870235536	0.568064101061584	0.693145094561363	0.577244302117465	0.759806866467662	0.370546683746476	0.0172400713598252	0.728073067344632	-0.199216117567203	-0.0308413190548552	0.467648925057653	0.37952811854022	0.457867548800981	0.247057136261994	0.650409395031376	0.794210025826859	-0.165571448976138	-0.413744223849595	-0.168866522631603
ADGRE5	0.905529267395473	0.649454310886334	0.926716625251841	0.485046704427184	0.926684858323778	0.721593752534692	0.670362478139026	0.874956570171472	0.789052241873901	0.682641839848675	0.865965204753703	0.860965992751357	0.783882658737191	0.87483374932962	1	0.843579012312727	0.5867497105448	0.773479806512114	0.388386724467474	0.737285799278761	0.796220572285375	0.842803854733481	0.809344305928764	0.336582287177123	0.665836827927433	0.82902076381739	0.880675911076949	0.751155229363231	0.763048581629037	0.728316961127139	0.604559051475887	0.647414941770922	0.766569071219918	0.435118952171801	0.133782980483482	0.822439886579444	-0.032868215065213	0.147991286505976	0.378204027062641	0.522887583309263	0.473831830467885	0.406783463223415	0.84798688728684	0.867280212346977	-0.0380467262603641	-0.283632868480503	-0.00632705208904895
CD44	0.914353783916262	0.85005115167362	0.854048711614815	0.497962110719007	0.876696897065314	0.671700641357662	0.579257535662259	0.909092451162773	0.663018258319628	0.656990193158113	0.961997321197764	0.6922108792212	0.585448743866422	0.915879078526777	0.843579012312727	1	0.73993425096793	0.782244174666489	0.619138088900713	0.594213007437826	0.782916623307109	0.81092001450219	0.742582929004188	0.449143478533566	0.48856593223781	0.826334614404402	0.668148388992584	0.691017071463762	0.81026450963916	0.609261432475148	0.652020472293083	0.557057561395714	0.797461383286959	0.42126010790421	0.0157320459796976	0.670660168894472	-0.195495854397169	-0.0131807097415386	0.554314437626819	0.371342730639197	0.42723991808723	0.268702753985833	0.573878311359917	0.7540929542877	-0.14583630697755	-0.406181950659159	-0.160743705774829
