""	PTPRZ1	SDC3	SDC2	NRCAM	NCL	NLGN3	LRP1	EGFR	TNFRSF21	TSPAN12	GPC1	APLP1	APLP2	LRP10	NRXN1	F3	FGFR1	PTPRA	NCSTN	CD63	LRP6	PLXNB2	AQP1	BMPR1B	ITGAV	DDR1	LIFR	NLGN1	NOTCH2	ITGA3	RAMP1	PDGFRA	LAMP1	CDH2	TNFRSF19	CD99L2	LDLR	SORT1	SDC4	SLC16A1	SLC16A7	ERBB2	BMPR2	INSR	MCFD2	PILRB	CADM1	RXRA	NRXN2	EDNRB	CAV1	ADORA1	NEO1	LRRN3	AR	NGFR	PTPRF	ITGA6	ROBO2	NLGN2	ITGA7	APP	MTTP	GPC4	RPSA	NCAM2	ROBO3	ROBO1	ADAM22	MCAM	MET	TSPAN5	DAG1	HMMR	ITGB1	NOTCH1	ITGA2	TMEM67	BCAM	CNR1	CHL1	ATP5F1B	LRP4	CD81	PDGFRB	DSCAM	SORL1	FGFRL1	EPHA4	CDH11	TYRO3	PLXNA3	TREM1	NT5E	NOTCH3	ITGA5	F2R	CHRM3	TRPM3	IL17RC	FAS	ACVR1B	EPHB2	RAMP2	ITGB8	PTK7	CANX	DCBLD2	BMPR1A	ANTXR1	IGF1R	CD46	AMFR	ABCA1	SIRPA	IGF2R	CD9	CD47	TNFRSF12A	PVR	NECTIN2	DDR2	SMAD3	DIP2A	NRP2	GPR37	GPR37L1	SCARB1	CALCRL	NRP1	CD44	ACTR2	TNFRSF1A	TSPAN17	AXL	TRADD	RACK1	PLAUR	STX4	LY96	LPP	SMAP1	JMJD6	CD82	C1QBP	TFRC	CD74	TSPAN14	GPNMB	CXCR4	CELSR2	RIPK1	HLA.DPB1	CD68
PTPRZ1	1	0.703999350976674	0.596504207139404	0.829423714929111	0.702606369501821	0.549426715741706	0.842009905618535	0.285841056892073	0.798854930542449	0.265074507794647	0.721412475686654	0.815312138731592	0.796892062263962	0.811131506009497	0.693145678720745	0.730478429500253	0.853119022904621	0.931288993066969	0.887164672800616	0.787156097528402	0.788590230292693	0.754726826027514	0.23405826329492	0.641939707086489	0.851264800647961	0.679608137007946	0.535096869303644	0.86281552063332	0.507049159421508	0.695498142946819	0.720720625495993	0.117300761620894	0.867684990473805	0.935025962494712	0.702983392414681	0.87290936039433	0.820914956246325	0.879668541327681	0.323960585270882	0.553831425353287	0.817044944747966	0.865103746113523	0.686180739702965	0.711510373152299	0.728875176602762	0.707042758232292	0.794988712201769	0.792443017134759	0.707472338412177	0.562525118153493	0.239495145246471	0.855037226488403	0.71932855498807	0.83281371850716	0.809841313267724	0.203334791937234	0.816227580495979	0.575078352762952	0.413890221019275	0.651867129304181	0.83620436317806	0.881048116021413	0.601083298595097	0.793043836799125	0.484196539361453	0.844719346733496	0.548786888639475	0.661145876190713	0.638307225271003	0.393846843650848	0.696648463755072	0.704274554392918	0.866058814827859	0.190554862920762	0.269943601189675	0.673241021912639	0.482831715420335	0.806049206405421	0.760370440339395	0.896091974536176	0.955097921832393	0.607359334423237	0.540971352327285	0.817978088181201	0.120224077781065	-0.0687515078215013	0.865119098979585	0.759137505018107	0.812873465231843	0.490194660836479	0.83587967957596	0.745356299323601	-0.037785683301248	0.20754469016367	0.0979594126072805	0.189813628492674	0.476588194937878	0.52103708991256	0.802789648368161	0.83817854358646	0.501872939156023	0.696614074459031	0.787580211426734	0.767262140502136	0.8906852357785	0.370700319816572	0.822265942414872	0.727911341665699	0.728534984692513	0.419940629279643	0.684442045230493	0.792542921827351	0.852874477706109	0.7793133148349	0.851048892291577	0.691830014697305	0.85860733914758	0.657354189687378	0.624947284096299	0.793805198185699	0.675859639046843	0.279255474764421	0.799022749937068	0.822887543466436	0.703773069414289	0.856394102017119	0.391756425555051	0.542725867152268	0.836618396810928	0.333013325770543	0.677789563456533	0.672761281111842	0.822903301633099	0.395505644620824	0.704525906521916	0.633255660801713	0.511285645035351	0.276963182101182	0.765352808983595	0.651663565900292	0.762333271767301	0.789247603969237	0.413112355476034	0.103521938444366	0.680607311936157	0.525034270113273	0.315271674908454	0.672752062928789	0.252201429667829	0.296012475920752	0.786827176275946	0.733082144098483	0.186420644942419	0.25647684785426
SDC3	0.703999350976674	1	0.425453969880138	0.529112285926869	0.685144263930574	0.775836481223404	0.542817381597281	0.323048852507537	0.724964212367347	0.632473335402271	0.539893969311433	0.673194415840479	0.801439331842887	0.581503560598056	0.50783364362094	0.565842604642533	0.711502744406749	0.753468871483472	0.654324384781868	0.573611337150124	0.634673384683099	0.513215202907643	0.147962651724128	0.52529636664885	0.590172922125193	0.829599692537831	0.351145059899434	0.814219879233503	0.410869980467056	0.529766689802073	0.857869077684401	0.54000752551858	0.708557206742336	0.671296923638789	0.73860546427524	0.698273551862399	0.438518166450506	0.712874869156676	0.258821296855162	0.541026981989386	0.532710121347911	0.617970289086186	0.591384687511067	0.427714004417877	0.614270618405657	0.549628456915729	0.851799393570979	0.550836669461367	0.693615629672352	0.733021054644901	0.114214976995589	0.668233022510142	0.62013197862269	0.768844573083541	0.717884329030654	0.621710808636433	0.5873384192602	0.577556267820313	0.339720071904454	0.50463109771107	0.66128589402255	0.609181850851231	0.706866560376097	0.700004439538245	0.518548170263264	0.663482406853576	0.376151248004361	0.482346820972168	0.576455023643972	0.408221631780862	0.313040386101776	0.705324838202385	0.87445951965365	0.469832062271479	0.171305722649431	0.754859011005422	0.325260950821162	0.634473313977314	0.737208353291503	0.509559621139525	0.621208616406057	0.743198712406882	0.581021141058345	0.527579953863688	0.00912968437056613	-0.000276779563997953	0.49749033856968	0.6983453049616	0.442538745425416	0.254953512725894	0.696367251936151	0.441346152840985	-0.043082372652342	0.234331401526695	0.0937410821796759	0.1004485527973	0.3525665476569	0.569184684423582	0.768949726479467	0.664015106331556	0.311932095932936	0.406189932440468	0.67551286052317	0.633760471591928	0.840926461673486	0.346639697876555	0.709338540759364	0.420946633151627	0.824798379395691	0.352873709240984	0.485107565473906	0.556955254603467	0.71342853259173	0.431924655107422	0.580329233449796	0.368749324159809	0.823168107483211	0.585153071911941	0.494002420526139	0.493620078111792	0.545640880964201	0.0882916106955533	0.442915134575131	0.596078639418473	0.492152362770024	0.44573763503384	0.571155825431402	0.434952345008762	0.42496528623035	0.171422858391348	0.43480785087324	0.585441990109687	0.601095700836109	0.611091574585237	0.464131725388701	0.451606187570538	0.478857558784419	0.187772142505329	0.489048252746315	0.375853468535769	0.437384540730107	0.724911291466974	0.336243454897122	0.108975971227499	0.613178279731959	0.434842050106764	0.213291877063673	0.513210432370056	0.248793044129257	0.240877654600437	0.633564787924177	0.640108685645109	0.154076315988596	0.10671273809288
SDC2	0.596504207139404	0.425453969880138	1	0.699985336669617	0.795452253396517	0.238679520681688	0.752288907265064	0.018929581406677	0.768272375437876	0.044872161422006	0.810835737923206	0.672609721692006	0.721936375442284	0.844667854378977	0.263327727596078	0.912110874576371	0.761130945833279	0.71367658113841	0.753356183497154	0.795823426883625	0.516952461279713	0.794868911056745	0.133269667666553	0.448231979975326	0.833801482756187	0.359457500535045	0.341010185556567	0.490092696515906	0.850665825586938	0.677961934987555	0.53244497259978	0.286361861553102	0.803919931820037	0.668198058633589	0.578970688094518	0.758343624995762	0.71035270881646	0.742083689826817	0.599456968440105	0.606470552184971	0.768225477811369	0.741901874065937	0.818054448013059	0.655989325025933	0.874767347240862	0.39372731057493	0.505734286802941	0.671938435429925	0.356365460434686	0.323767064561584	0.67022619139417	0.680203089165342	0.701789642778002	0.594017966151788	0.567547155497591	0.0511935579861561	0.683620555937604	0.325255900941878	0.00191546085951658	0.724918112350804	0.617054160231163	0.811372441906831	0.384794013502756	0.694810351398808	0.830012601290648	0.491709090971323	0.287538622200787	0.863434258059009	0.651818446629751	0.427537665727786	0.603470077472537	0.761227468628148	0.656118443489668	0.183075889871108	0.875770230655814	0.512483174630485	0.755562506197308	0.633571096048362	0.62634652540094	0.654404411909879	0.668031203822472	0.659769486423052	0.239722457246822	0.829516186782459	0.767026393649055	-0.251871298853325	0.616478116156818	0.594815883449186	0.65917072667475	0.931871358502074	0.534037774694938	0.740358155377692	0.378926265756926	0.611641121422051	0.702205139317748	0.820775961202907	0.912691676683001	0.385872132095265	0.474781253212426	0.732429177542202	0.853532709251251	0.72456612658059	0.545157353448147	0.69867420415425	0.553756795129702	0.851090112502537	0.775119634555041	0.792648375838695	0.639371487917516	0.780088255261209	0.729842725278401	0.76070299977452	0.750008126299749	0.762199970233043	0.73361643714619	0.7957502879047	0.633500041807971	0.828119260386693	0.725842409447307	0.693850053696083	0.872880412829807	0.827279420224014	0.786518025453234	0.565847983972728	0.666272028205332	0.642830092497748	0.049146505700315	0.857091111790767	0.669197413244575	0.819170324993331	0.748589042753381	0.880665568141453	0.764301252764436	0.5838898056776	0.856702540060654	0.823863644969683	0.830795973438612	0.695860355201992	0.775859474983868	0.738814971380061	0.821745967068206	0.768551196260495	0.69579950809112	0.65127876834425	0.829762590341461	0.575361947266833	0.389547964844042	0.641242430532113	0.416209442345986	0.484308863556769	0.495948954547208	0.814100070065107	0.428996003858519	0.494194144915633
NRCAM	0.829423714929111	0.529112285926869	0.699985336669617	1	0.754393463731204	0.186075544757152	0.878681608974858	-0.084868172522603	0.785930741081141	-0.0606725760370449	0.93194086420311	0.838440164286828	0.818938813894206	0.933110331663976	0.270357385355848	0.761180769545697	0.870666222220406	0.88554038272892	0.902711854123699	0.919974300064884	0.692078900062304	0.895778969228947	0.0269938359766267	0.457970487442591	0.929101639115296	0.380063130428553	0.339674700478322	0.655538806734008	0.615984471341979	0.92038229420809	0.58311193000557	-0.0118722018317445	0.864662702903662	0.923607060042241	0.604447751532177	0.866375957684362	0.959566838135131	0.886627226607519	0.699454541195847	0.744368826422361	0.931662656628838	0.900214692735514	0.750543185996058	0.815208324046891	0.868760209113388	0.506514731136865	0.612134575592813	0.818820413216367	0.404856630524745	0.227308521922822	0.633020545755329	0.895070363503918	0.654355658808389	0.744893393183152	0.729558617401746	-0.083598421361842	0.899365182108679	0.327475165650357	0.0449587628813172	0.801254686508601	0.892763815303014	0.950624805366972	0.445888286751954	0.78374765963828	0.672022610032738	0.71037065348064	0.376215478317417	0.752543969032559	0.499404944929684	0.349501822151044	0.921490200068493	0.628836164313309	0.73806412012564	0.0287042247639151	0.528073051746038	0.480744849333285	0.775585618673788	0.843973662712021	0.711922843383918	0.940202131890335	0.919113473688567	0.617096009676247	0.16223163951375	0.87583749707898	0.27793646288007	-0.256688140167558	0.852623429408275	0.733878391753472	0.92464681646954	0.684782674653056	0.703209583506508	0.893743468400297	0.373765016424099	0.578083927203724	0.21714893793426	0.469467126162157	0.607913152065293	0.554093256714234	0.669268486875	0.864509526754375	0.770904216689799	0.886826261902422	0.729977461497832	0.791020947509417	0.723295386189584	0.486578669640011	0.896939041196615	0.920533363235918	0.648595971139095	0.586609058091495	0.776047593229437	0.902599074912027	0.908669368814103	0.948811033764906	0.891839033531417	0.885734381727198	0.791863111993037	0.793671768358209	0.858465540730852	0.917533212174343	0.843176104421857	0.546487431210214	0.900759266762609	0.810493176242827	0.929279423582711	0.936381635850287	-0.0764079889642706	0.757078418148835	0.766386255800597	0.64802668984785	0.925811483534056	0.785668347060352	0.952880200064082	0.491892405076596	0.793901575252917	0.849081725562866	0.759807896828394	0.554268691549727	0.909692382045407	0.908228381377148	0.935756969522769	0.75089427366234	0.626010314673636	0.361023461328473	0.80517036660083	0.678532361958495	0.422720529898213	0.731776046290535	0.354011971762634	0.494136793270466	0.677929771874518	0.794473498613481	0.346587204775125	0.503977444258976
NCL	0.702606369501821	0.685144263930574	0.795452253396517	0.754393463731204	1	0.490212100559981	0.65917082811232	0.254889767482566	0.823178615742846	0.414165950518478	0.855668400093707	0.898709618408439	0.939339477047309	0.888493235449214	0.321566705527568	0.826195800241191	0.878958009203466	0.872724810013365	0.848242140458845	0.89324767844431	0.592041681607759	0.792115679725435	-0.100294725584019	0.405910120323758	0.856447384907661	0.653012399626273	0.138890237651987	0.768708841541697	0.764552586231689	0.807378552609327	0.753346519848514	0.558650992879025	0.918317138061522	0.82124128647439	0.826177093101579	0.867800655077875	0.753782977635158	0.830030890372101	0.610094580298754	0.765003801328743	0.820252712573398	0.808462013449013	0.818961210358943	0.691915087342677	0.918324544567146	0.580841248486742	0.811130248660209	0.667463267421191	0.448527836103044	0.501115122742021	0.580440732778038	0.784257550671805	0.660047103074236	0.830083839678934	0.719211034672528	0.310254805445611	0.684963033362335	0.286772436733458	0.259503513761311	0.708773576054681	0.752527899955744	0.855489841966677	0.607995098331072	0.851643128484218	0.913220384942758	0.719092596793302	0.344685758608658	0.829418919205979	0.71468065748869	0.489235482334362	0.585709375592249	0.875731865183293	0.84260457704888	0.40905450953251	0.680254446347108	0.736045083704549	0.71779262490512	0.702584778205455	0.783162587072573	0.683892618711289	0.692211941314432	0.940676516340059	0.316672080643854	0.706873119630807	0.395422434544709	0.0548347271923734	0.588675144822621	0.668221473238089	0.704653602251978	0.734266342096483	0.697785153288593	0.746825759255041	0.306513722402113	0.635976620943823	0.468901397613041	0.589234455668779	0.770224139804476	0.727458024332821	0.716504707431219	0.836599880485881	0.797219028457059	0.770339123746213	0.779241390230777	0.878795215268699	0.766863834845363	0.702637570261101	0.924864030352798	0.830547267623719	0.827855395906346	0.712715169353172	0.725997291642551	0.760296420719955	0.849608095630486	0.758753124063275	0.701614776421123	0.70903070686355	0.876750751396438	0.945256030083101	0.861353207040511	0.78086508413131	0.917571495397095	0.585805158169389	0.757866571092066	0.714273283384347	0.773559041131489	0.641332141619179	0.17344989724384	0.751742033943762	0.642222658254982	0.635020755316912	0.802018688631241	0.908345203667837	0.850134072735209	0.757527750195072	0.786531731853611	0.819032156357037	0.90015687788934	0.568133424805479	0.815617025778702	0.729691498344258	0.809920580907549	0.921533363363013	0.683958617575684	0.566506494725742	0.949010837358593	0.646915993774693	0.382900153224398	0.72717264773933	0.385004340819471	0.537136317091641	0.587957715329798	0.926581537550646	0.377113221962213	0.420548914944934
NLGN3	0.549426715741706	0.775836481223404	0.238679520681688	0.186075544757152	0.490212100559981	1	0.272197192453279	0.51976377895737	0.539945850287709	0.74398734115806	0.192578319874806	0.498571938089711	0.57624840568576	0.318341177999613	0.62278279784158	0.390734149625484	0.454404226218439	0.532415909286292	0.421626826436133	0.300693292274137	0.352977589232888	0.223173447019527	0.246686899083183	0.503781882402837	0.333065730936301	0.872134645935173	0.338435832619915	0.730429162723094	0.214803453040382	0.178948134005926	0.787532074094507	0.590452030869174	0.519243645642698	0.423328394639996	0.633143239285008	0.478880017944583	0.14544290605029	0.473400288821664	-0.0898157201987901	0.216638650486415	0.292236137775067	0.368382125596475	0.369004191050734	0.215510464887196	0.360033322796211	0.498689384157338	0.784911270596115	0.305292356909354	0.712796115028457	0.889732155175104	-0.188889915453446	0.431720340499844	0.471649147072595	0.652711616472678	0.564815278760764	0.653171374173824	0.26163774923521	0.582824719368627	0.517553587094255	0.220573913191315	0.377468718461605	0.338601685812764	0.685630316483781	0.494426890001811	0.314344171223268	0.585441765100149	0.445989224876941	0.275745255259	0.487828115804558	0.343035429301442	-0.0633326097747268	0.648201807255676	0.703923024705952	0.506867288612025	-0.0358978590036042	0.690491731195991	0.0352234253688552	0.310749805381354	0.611592992391151	0.230354410697046	0.382160238403358	0.5866206931613	0.672623233042903	0.275545114601449	-0.100222688207273	0.211480607157482	0.266870558186887	0.537904068751724	0.141861442205069	0.0210981473805022	0.528399008756635	0.147271311040219	-0.29061434094523	-0.0302463736295432	0.0413595071518627	-0.102949686202103	0.155081003303641	0.410184867448788	0.599029269847508	0.469763786446282	0.0707010896189775	0.136504595453863	0.514220921279153	0.465562661041133	0.701083420203648	0.201209036956116	0.441588275088145	0.125107970433769	0.638429894727865	0.206994562342673	0.25275540416401	0.234301205905161	0.432415498108881	0.120670467841933	0.314376149861514	0.0473399155239191	0.630233741473876	0.360763542910301	0.196228226151148	0.17407026863905	0.288376819948792	-0.121171088888736	0.168233694258393	0.360114348616929	0.162252329106192	0.131263569128668	0.793602231432033	0.132626527567403	0.311995162758781	-0.115925803317339	0.118551912707442	0.342060516458284	0.309805902644208	0.407101163842675	0.254036507655554	0.213106907014907	0.219310860239121	-0.0519663395328071	0.207704603896061	0.0426474186317898	0.150677296038351	0.582867678715418	0.037551018919709	-0.029877323653719	0.372651881876711	0.207367523068008	0.0785947936873537	0.291965573462142	0.17218437384499	0.0753830907705654	0.501898321580319	0.428380496476506	0.0306527614828333	-0.102117420601332
LRP1	0.842009905618535	0.542817381597281	0.752288907265064	0.878681608974858	0.65917082811232	0.272197192453279	1	0.0359298009258448	0.791094593693435	-0.012222596676168	0.799287144564851	0.739133786046509	0.73907378500669	0.861681841772569	0.5143057553855	0.829417512888215	0.835600956362342	0.839211523528949	0.841265747730611	0.767797012851	0.728935988400548	0.848203256457874	0.332755814292649	0.620200916719607	0.904598673837774	0.427999337357761	0.620933826783464	0.660685917080947	0.708287595448282	0.753863232366257	0.561702683291613	0.0317442340521635	0.825947540069319	0.825350641910218	0.578096839920996	0.821714240856512	0.827577623374428	0.856099230174296	0.618869687360389	0.651264477081815	0.860146379861841	0.885458459343069	0.797504750163834	0.795529492383994	0.813409682514638	0.593494669860723	0.592219035991503	0.902916855045483	0.613735212306372	0.365211109384806	0.550369013579568	0.83996185315712	0.837999901037263	0.654737719665281	0.770358975666058	0.0241709644603782	0.903380560458062	0.542438170782711	0.107905038782161	0.829423041489204	0.782547560138121	0.889256065377175	0.509254078016947	0.713075654382373	0.5793461447046	0.689586836687853	0.537270758288344	0.79821376102239	0.618944659413309	0.348168803977223	0.794096776781381	0.672784798414351	0.748315301582907	0.123598232723022	0.546246233830738	0.547564021360853	0.717553663360432	0.811650645026147	0.684229315653662	0.838780614607269	0.904786212181293	0.509293440232668	0.398469998125277	0.950668157277888	0.42675200501266	-0.30216376551398	0.903643017595183	0.741046650613529	0.805061588548646	0.717231249308855	0.685488278643154	0.817434329082344	0.340007683768409	0.502058632408862	0.330468398927779	0.512025263865394	0.632099127236936	0.408501351125843	0.63063963779475	0.796127118865318	0.720762441495829	0.774795554428857	0.627925428653351	0.663339616115754	0.755445416653038	0.576155714259683	0.804835621698036	0.783800313920201	0.624670557274331	0.620348392065425	0.775263162608953	0.890428835754041	0.880239712493492	0.881153907493878	0.939804006252927	0.84037180353337	0.706348821301906	0.709891191381209	0.674343942985226	0.782389092917984	0.756475109807425	0.614926346587914	0.859643323567821	0.77840322315831	0.78528381073378	0.850296793804313	0.180617237231064	0.745660367281008	0.795003092294917	0.628711875299219	0.781638521001226	0.752493910235961	0.847652929478184	0.422503671411016	0.802938794121147	0.785132654133416	0.64366110160229	0.575278332385833	0.822412550002557	0.771492728000536	0.8650871358282	0.710016099342271	0.609888159612984	0.400329667679645	0.686551420080617	0.636979952059499	0.42041437744772	0.659712427118193	0.385814113085409	0.439372600497436	0.77957725727853	0.71804151271383	0.352502319609838	0.497910366791705
EGFR	0.285841056892073	0.323048852507537	0.018929581406677	-0.084868172522603	0.254889767482566	0.51976377895737	0.0359298009258448	1	0.0948249603307524	0.663130729910314	-0.0774991095886417	0.207676952666519	0.240336955395754	0.0253740553067091	0.513825284886184	0.0907177263772418	0.243901625030304	0.248226982752804	0.187843856330538	-0.00803624344315047	0.291381915874419	-0.0227525066365987	-0.102204540916277	0.113994978189786	0.0742671607282873	0.523998249497035	-0.0511694861004671	0.500328298545162	0.263840065393441	-0.089032837388569	0.226810917866749	0.593311313083304	0.188830428185119	0.187222154117253	0.368260934478604	0.200192850793542	-0.00250646827265746	0.108787664567305	-0.184461109920042	0.207866270650048	0.0870456081453201	0.107298705107927	0.189563462168783	0.149153982442509	0.0424288969610497	0.570830302615953	0.463341076403112	0.108348070716581	0.411160726563861	0.400577212544563	-0.182898795059404	0.0212231410663834	0.181693248284466	0.194838073021797	0.293548119923876	0.549315913404969	0.0203255727130702	0.0840211540969812	0.636653294678777	0.023057990416904	-0.000807603389089639	0.0825545085498771	0.314426574427612	0.16335018891543	0.0447611653099688	0.364548969337869	0.255489250350062	0.168894470143461	0.505688176768635	0.254712181758456	-0.140996097775966	0.325183275508765	0.296126195699799	0.589899542334936	-0.0308986592180519	0.535909897752466	-0.13644883749403	0.0690638094867754	0.212657198996215	0.0187048122064751	0.0813406960084702	0.314584236138447	0.488119143994776	-0.0467520308844252	-0.0716837072079982	0.738996617123702	0.0212668914214166	-0.0051166320760674	0.0226325599478709	0.00619807666547717	0.260380805466753	0.0357650825803624	-0.234439692651883	-0.165518386127175	0.0889609217683328	-0.0636060262421577	0.101993104072255	0.308405919664045	0.304786990335643	0.050851984137909	-0.0681571515979027	0.0240969150365491	0.321328832304792	0.150816941954404	0.359669727763987	0.116085743285129	0.1335985489851	-0.0125840547060308	0.241142662991058	0.0897348257094906	0.172267265285448	0.035012594709821	0.119500453806902	-0.0421375709569296	-0.0259480475213468	-0.0791378355441958	0.344595464832393	0.0946549889493281	-0.0957797527310599	0.0602058633368403	0.0565153814704512	-0.061294240441404	-0.0154920242555253	0.236936234060932	-0.111758881247665	-0.0120970261396167	0.585738655656358	-0.0565434257549303	0.0548704206636378	-0.127968515549299	-0.152376097980124	0.0923546770288258	-0.0143891720055134	0.116712338229172	0.0185088097100057	-0.0415204236910901	-0.0247392703450994	-0.165137417766965	0.0383619902619483	-0.186237513967787	-0.00150366758957366	0.29971316655034	0.0960496135549447	0.0980390085203976	0.0740772439543995	0.017209910224321	-0.161713963982317	0.0868785463381532	-0.147736382696998	-0.031512342639158	0.167288719183865	0.177058065133013	-0.153265644488561	-0.192817031229773
TNFRSF21	0.798854930542449	0.724964212367347	0.768272375437876	0.785930741081141	0.823178615742846	0.539945850287709	0.791094593693435	0.0948249603307524	1	0.297212280365363	0.831427090071693	0.830829731905984	0.881286407832355	0.877723595401595	0.417332588218979	0.877163599576029	0.829510998167479	0.886176167782724	0.808157584780135	0.827215559075622	0.639890599182056	0.815745982678121	0.166698809618177	0.535979989837076	0.86393262472172	0.650278141704923	0.434755452115297	0.752372575154547	0.651948132376264	0.765972138435272	0.822027625448137	0.314343764953202	0.905650651851951	0.813903797712919	0.749412101800103	0.868844069754529	0.727703268546559	0.913394339599299	0.525786469320793	0.617413435942581	0.821019778140876	0.81358735321916	0.809687634083899	0.672299223409259	0.869163563049344	0.51168544035998	0.762848659411778	0.763113202066022	0.602959203421298	0.612288711345551	0.44247206053152	0.863156982415248	0.786845938118948	0.867124058760346	0.765354012310962	0.19488214541507	0.792960028500115	0.584353235869303	0.271667331190158	0.787820745011503	0.855459991178141	0.878114205985076	0.704250524830611	0.829222238185156	0.761977415951663	0.761354143456088	0.499246795956825	0.757562307747254	0.629393437167985	0.55535634347192	0.576936282889533	0.81533295253056	0.879016064975435	0.238862133802891	0.56517931875411	0.755613479313038	0.665298012460984	0.728320596936799	0.864156329237879	0.724964424787597	0.779588839837819	0.765986828705495	0.474310070610025	0.825522955842879	0.406102584200341	-0.231793009250583	0.727292070176741	0.868575961277406	0.648755486196763	0.654103496122351	0.847363477759005	0.691871930709602	0.17117392899094	0.519897484495613	0.425019470016446	0.472426122282359	0.652579937174758	0.583471951740009	0.777454564913275	0.895840078478753	0.669484913695339	0.652451311063	0.690171190878904	0.835159937229776	0.80445362522088	0.647793436643386	0.902481487201516	0.732783274099604	0.819497284142787	0.713308186699419	0.745739950473888	0.806858216193171	0.865520417260921	0.732677405498661	0.830297280950207	0.686113987465613	0.810275436580632	0.837019451586161	0.770374957173164	0.733589033049488	0.827784739184545	0.503566427308698	0.77495540701455	0.753233790944437	0.793676075804384	0.669943938882392	0.283101312779727	0.747919946941323	0.689893876788339	0.55388456841193	0.792866551995284	0.859436022045049	0.875350830404608	0.672476655913039	0.796734045498906	0.779010468327889	0.778792334414082	0.555521784363336	0.767500943663174	0.717624255162213	0.791411801755351	0.851681614629186	0.566219466330222	0.349218376177812	0.849446865225233	0.716337435886305	0.472725502450723	0.730676940214525	0.452562980747971	0.446645630614847	0.77563804034889	0.805745450695643	0.427754442694969	0.398764709974174
TSPAN12	0.265074507794647	0.632473335402271	0.044872161422006	-0.0606725760370449	0.414165950518478	0.74398734115806	-0.012222596676168	0.663130729910314	0.297212280365363	1	0.0386348132003831	0.382895912225628	0.44108751987343	0.10021304767868	0.432697479018532	0.192418822378122	0.283613251544976	0.337769025240497	0.218684182981446	0.109300465278893	0.194051448705691	0.0275188568224916	0.00769197053758118	0.2726935209942	0.119922082686293	0.75913985928254	0.0324140867618428	0.602381541480559	0.187541498782692	0.0257336434964941	0.5939005661754	0.795128631782679	0.330433235456911	0.203636936379891	0.570195984853124	0.282781070646625	-0.0836380940103929	0.239997538678397	-0.137538957767032	0.211119395401621	0.0938185424074349	0.115221032635208	0.204505602109766	0.00209837437783199	0.187502468215252	0.472209299338808	0.663332735004181	0.111971398702939	0.499718315010537	0.698020165696015	-0.245872633541371	0.172645725868952	0.255413646418415	0.462715613781364	0.325535642010692	0.803351603297075	0.0155276166472966	0.278537257793382	0.504064806542784	0.0328055121008074	0.0965241843451276	0.10194714167813	0.579434020696846	0.339024133169616	0.272466681740864	0.429686376403396	0.222390609288384	0.16615620533434	0.510714986583345	0.278600394953486	-0.284268349529845	0.507842219784738	0.520363559371338	0.721197148116778	-0.0822642268677813	0.646465440064412	-0.113520701542078	0.115648094662588	0.406085322687975	-0.0521384263313284	0.0532839722138151	0.596037482678816	0.582390314987	-0.0304730166134625	-0.183423598110494	0.473098698376348	-0.0116436303602507	0.250696125081756	-0.0954582894226614	-0.0787885170895096	0.388751142347241	-0.0641723783395068	-0.275847058771215	-0.0460123951865566	0.0431023269163924	-0.153545790298486	0.0659675124888148	0.411444131473194	0.430461093073067	0.215669371069049	-0.0617010389669523	-0.0349972343651709	0.365284747170806	0.343130669182675	0.480877887201842	0.125631958124119	0.292627123534545	-0.0381053735609238	0.519917428914912	0.060045347008445	0.0383419251055719	0.00651390742274595	0.209083887052436	-0.0923724916977683	0.010653648601106	-0.15929666094474	0.496073002152932	0.290141540349482	0.0909604256453505	-0.00272630150524196	0.140787880499461	-0.204904350010534	-0.0520899789641481	0.153571648415273	-0.0472011133588343	-0.134546670763682	0.705874895325615	-0.0644904537042499	-0.00148217749658984	-0.23202046365226	-0.0484484894524509	0.199248928743973	0.102425258741876	0.40086362108773	0.0512867060711483	0.000319272754949979	0.146210504408759	-0.144993668408228	0.00109889185804021	-0.155663957777555	-0.0574578077981944	0.441307644389908	0.0260474942614561	0.0209745954419859	0.282162417509884	0.0292534660731745	-0.0684315956951311	0.151244056954942	0.0292348031850347	0.00699436705427384	0.282556596088252	0.254280163409641	-0.0714967128444885	-0.177520540113277
