""	PTPRZ1	NRCAM	APLP2	TSPAN12	SDC3	NOTCH1	NCL	RPSA	PDGFRA	ACKR3	CDH2	NLGN3	NCAM2	NRXN1	ROBO1	SLC16A1	PTPRA	FGFR1	ITGB1	CD63	NLGN1	GPC1	NRXN2	LRP6	GPC2	CAV1	LINGO1	TNFRSF21	TNFRSF12A	APLP1	ITGA3	CNTN1	LRP1	EPHB1	PLXNA3	AR	INSR	NLGN2	NOTCH2	CHL1	LAMP1	CD47	LIFR	MCFD2	THY1	DAG1	CD99L2	NCSTN	BMPR2	RXRA	CADM1	SORT1	EPHB3	EPHB2	FLRT3	ITGAV	TYRO3	MCAM	LRP8	DDR1	PTPRF	ANTXR1	TMEM67	ITGA7	GRIN2B	TSPAN5	CD46	KLRC2	AMFR	TSPAN17	ACTR2	JMJD6	CANX	STX4	SMAP1	RACK1	CD81	ABCA1	TFRC	TSPAN14	TNFRSF1A	CD74	C1QBP
PTPRZ1	1	0.945013518180215	0.965803263342743	0.931941266566561	0.96689152026146	0.941732211782698	0.902537882840964	0.874547002082631	0.945124903424965	0.863014174926001	0.971820986889324	0.96032440809521	0.943674108091608	0.95602547825103	0.945520512925705	0.905445222978123	0.953654877078339	0.917814446098836	0.960230634495967	0.946844893640013	0.970099394466948	0.946516954042769	0.963714231599894	0.945633824247471	0.874701029902846	0.898027775831168	0.936327305254149	0.907718247726014	0.846296478384572	0.942908791733029	0.886086848800254	0.91833687291717	0.967287717568989	0.920380769877403	0.933027101537763	0.912242702681307	0.862548838975428	0.932737328390558	0.925007398323133	0.92276195022969	0.954901378830967	0.942638830122391	0.852789295018672	0.945710370958655	0.913566470277228	0.961600505109644	0.915281977638138	0.893186911016451	0.959201467442424	0.893878156906794	0.903882354529468	0.956207545191451	0.905311888356096	0.924530962812384	0.868726435307379	0.954642470059049	0.957909990471189	0.858293492137351	0.894882152777145	0.954305072828876	0.913963767417929	0.932032314786876	0.896507972594416	0.916345837842463	0.910810665955891	0.913542678014411	0.885252875369922	0.899118475866484	0.920673684881609	0.847118170339372	0.942287098887317	0.80712897849576	0.971852194634883	0.916067176515921	0.888970329399325	0.920643526446822	0.948086275844909	0.795489256809834	0.846750835783908	0.847087141886809	0.908591711392399	0.173369968823123	0.90058294896074
NRCAM	0.945013518180215	1	0.931881313860953	0.87789395141071	0.964946481884511	0.907522354120389	0.811213460244187	0.83162292622844	0.907766396272401	0.819498742173626	0.942920990253105	0.939929150614885	0.918798217204405	0.904734134926462	0.903809535354563	0.856668296785899	0.94234233477807	0.897383586826445	0.934965511487582	0.939397631637459	0.945755091893104	0.946612800864912	0.940360183454524	0.89561293460507	0.81142625245888	0.865309981843251	0.92300798225087	0.926824287810281	0.836470977934202	0.938328003805442	0.901020613856993	0.880137362338186	0.942154802334633	0.888613646676896	0.925317500019809	0.868751779001619	0.825407736512752	0.934892389977506	0.895440958262044	0.933233978293031	0.939221786709834	0.920644255559415	0.84792933201344	0.901500095448316	0.8452465607995	0.942903333219569	0.890716168906363	0.881478022099817	0.939238645213091	0.883161122300577	0.877300418496063	0.92616906363924	0.875812779548966	0.894144322680016	0.871582358510968	0.943617556343981	0.93198700294432	0.810342927683658	0.852968423249293	0.952341001627966	0.913372419130984	0.914856804988353	0.865733680082094	0.901793439673932	0.890101194221775	0.897363737048342	0.865913233268983	0.86101352822804	0.903224253070223	0.836157393760388	0.923432223297399	0.748872897578586	0.942221609441116	0.905942600068731	0.847506831830906	0.884337354286789	0.93950415122164	0.838733114585905	0.809001246450187	0.85811597212761	0.904652437810628	0.196436301191803	0.843205306145047
APLP2	0.965803263342743	0.931881313860953	1	0.932119718586104	0.951365250722326	0.919043733186861	0.88788589755963	0.846425336466545	0.932820081769873	0.875792334325947	0.965502098607622	0.926291200499345	0.906186885097684	0.940396081543257	0.944650272655902	0.888915513733444	0.955568593470311	0.902593516391699	0.962935507620717	0.950531918662158	0.955642805626242	0.951463642787637	0.943841405391041	0.922277455082523	0.841505069935371	0.863470327711194	0.91636150395439	0.871508775945702	0.858753895078491	0.923677593421255	0.894285420162939	0.877523020389623	0.94095582209615	0.881034918768296	0.900407939663658	0.898862446620793	0.855009868952927	0.899269472125359	0.893495063272149	0.900961138958985	0.95631969582298	0.941964284897108	0.855296628989448	0.926109491631893	0.889180888485838	0.954243133269082	0.888926325622745	0.892912993138188	0.93597655693326	0.878933191584151	0.884038751624015	0.944257124260595	0.882316159081301	0.906070112196882	0.86346370460538	0.944601695067033	0.937031939992893	0.851090749724284	0.88757591324877	0.927704410572666	0.897582256771335	0.904954556829644	0.875643181853328	0.915226891552249	0.901496765305962	0.920124427103208	0.879364498224771	0.866036414213418	0.915026433081781	0.838801618156383	0.936347522705283	0.808285395502072	0.961731333839932	0.902303076206448	0.87302213587551	0.896052473330446	0.927964878721328	0.792036872155413	0.83648900375118	0.855513903742562	0.901165828059607	0.212461780599492	0.870626644115978
TSPAN12	0.931941266566561	0.87789395141071	0.932119718586104	1	0.903358943272453	0.922046842103393	0.923852354243057	0.892393877329809	0.941644681327866	0.876755346366339	0.928184952018354	0.911513111684653	0.898804993020383	0.919104856766568	0.895318893979747	0.883713858519849	0.895532894059287	0.916912467830944	0.91611808285281	0.907125466464677	0.908672247122865	0.882856167886325	0.910023658048106	0.914985240141507	0.868304619317404	0.849641199467871	0.895699914137128	0.852682487595984	0.784241807906398	0.897218084018544	0.823870820765539	0.901366676905656	0.907428487470296	0.889988819116154	0.847941236829015	0.898585542972263	0.795363632487944	0.886932583593483	0.86728335061426	0.821743404790314	0.920541950786725	0.92163700657961	0.848734036411036	0.916863198400559	0.930595220448292	0.918265418261233	0.880763049387067	0.83924806181481	0.916551395796277	0.840874572065524	0.905974243701809	0.899129886202055	0.891463830422466	0.901692774971366	0.826468937835969	0.876350046884699	0.907760185367696	0.86789290949917	0.882133440058607	0.890187724672048	0.855554558868924	0.892616070270479	0.832597641571439	0.846089013740836	0.835530442112318	0.871237389645427	0.847965830673641	0.894053941490184	0.885444593159114	0.839907273529863	0.917050063402393	0.83541332444089	0.940978098991478	0.869439207862637	0.907077640342163	0.910599977081888	0.901322722341933	0.699867648711387	0.806358964865135	0.807883904294895	0.847463976112509	0.149242654385275	0.909187135910912
SDC3	0.96689152026146	0.964946481884511	0.951365250722326	0.903358943272453	1	0.92681022621725	0.851471668601429	0.866589701917764	0.926111579663201	0.823959098057784	0.968048141187211	0.957521501721847	0.930680138415447	0.917130322876503	0.925180379470805	0.886831813943755	0.950764356824813	0.907218207702536	0.952011630842794	0.965907579277737	0.953115730345852	0.965744228295413	0.947684509242655	0.916850906135861	0.833658046637327	0.911765515849576	0.935184759458801	0.928971538260537	0.865397005372307	0.937402079440532	0.912338983871474	0.902111992973488	0.961942028455182	0.90158331035848	0.934451003066745	0.896147999612125	0.842084466548382	0.947496740051236	0.906480891120616	0.939109783649542	0.95733056904104	0.947136078771423	0.888240358301089	0.934543975338352	0.876070552410004	0.952753516956461	0.908089402137156	0.890499342512323	0.958471361363554	0.910328324696645	0.889639240086913	0.946932810501949	0.892285284222364	0.901556467552482	0.870856746071136	0.963033935694338	0.943171216135745	0.83665418636746	0.866952235201933	0.972758009919123	0.913763557385675	0.946320204212757	0.869436903412547	0.923538093491449	0.911516646698133	0.910593059636888	0.87292487812621	0.872489610113438	0.933217146109546	0.861125713830544	0.945900817391211	0.778641181735815	0.968480778490793	0.927773329631615	0.868293294046637	0.919034182775842	0.964744264872217	0.825741907296405	0.847279699486255	0.860053063507198	0.920311766241301	0.205289567773834	0.88028185454749
NOTCH1	0.941732211782698	0.907522354120389	0.919043733186861	0.922046842103393	0.92681022621725	1	0.917605756493888	0.932123412795662	0.94609709187964	0.877635495689425	0.939695965649164	0.955702164025224	0.926066098216398	0.928492612270373	0.89112665427732	0.903616093489921	0.894134524388614	0.944316342417619	0.925151554305427	0.918894242632765	0.940580410819466	0.889475909869948	0.910074708575889	0.947675505738866	0.875658255617233	0.886937989900629	0.953547016355512	0.905801048984792	0.760870614520465	0.924491379496868	0.803720327851265	0.941781315525459	0.93288180005993	0.927588762195947	0.894286625851261	0.935426751636624	0.794536870541893	0.922162972056412	0.897971423639857	0.848537158758019	0.934586321449035	0.928041539369604	0.882149102506397	0.925898703359904	0.934084663713124	0.935040781717679	0.897980617433897	0.846401584865666	0.951396666634404	0.875427553334444	0.94211408897841	0.935794054927852	0.926909686970941	0.940542122590944	0.831216007516269	0.912273313676377	0.927312408357152	0.910401722721729	0.907413680544561	0.914366167773969	0.904390279421887	0.947104920142083	0.835867447244634	0.86135382760678	0.846112973372751	0.89488371328584	0.857293676575045	0.908421865875142	0.921981927793036	0.852872535849425	0.947424149554595	0.844888932074775	0.956851132085698	0.887796263713023	0.923580537414735	0.946873286951732	0.953443310143733	0.729240041786052	0.864482982397307	0.836284466534964	0.863743217958348	0.168196097478467	0.938154801293401
NCL	0.902537882840964	0.811213460244187	0.88788589755963	0.923852354243057	0.851471668601429	0.917605756493888	1	0.948403135565496	0.920914227708718	0.870043540424407	0.894268835723826	0.89216767079429	0.867379598666572	0.913389503256679	0.862700042704035	0.926452202677972	0.838237838876316	0.901211529968387	0.895163474453918	0.862338742886982	0.874600268062835	0.813432306625681	0.858037210655504	0.937182065195021	0.901343297306773	0.85921306988777	0.864252802999093	0.797362146392648	0.723396088678144	0.857704286112686	0.733847405420741	0.929028905744118	0.880538894767445	0.891631121511864	0.823496455165583	0.894596410378571	0.777332521377843	0.851895832020175	0.859455684631453	0.735628202003468	0.890817802911281	0.887377548716083	0.808924617784488	0.902323474938863	0.952753513363902	0.8861200399592	0.86971620399393	0.775488915552409	0.891422595709653	0.843809427633837	0.921830625668134	0.878313575042956	0.895818620536532	0.92438935892954	0.795048257399198	0.8356515285047	0.869245639112812	0.897041709081815	0.890270687090433	0.833873442787656	0.83216696872852	0.864364725050891	0.795132460444494	0.786609459717764	0.787469919123138	0.846692395366895	0.837073164880468	0.867038699536939	0.871794335789368	0.816496741391866	0.904619488939451	0.845413887658188	0.917664841376481	0.828265002633074	0.943681605871038	0.940882767410859	0.870556067543686	0.606167397905493	0.829673508802634	0.765809516519197	0.797736067011469	0.149795698614504	0.958000023097013
RPSA	0.874547002082631	0.83162292622844	0.846425336466545	0.892393877329809	0.866589701917764	0.932123412795662	0.948403135565496	1	0.918858257099297	0.831334464719446	0.882882730769252	0.920981047464436	0.874026210396948	0.873166612155613	0.807241784133171	0.91858497620165	0.821060081857922	0.927121347833935	0.873564521155621	0.881776172738577	0.858627397015301	0.809654206214182	0.850936012486698	0.916285446779372	0.873493649662541	0.903347720320071	0.894629602677253	0.851294729661464	0.721609263884899	0.86654323027884	0.722436045281114	0.958451357418721	0.881781805895554	0.911517784617613	0.836331190010385	0.887443631280102	0.72026833415921	0.893504410867269	0.860204133375812	0.732942791933317	0.893286176910495	0.901135226566483	0.848833620020025	0.895732888169719	0.958072156722159	0.888220150838761	0.879314646390528	0.76359419286438	0.885354475544203	0.882283418467363	0.934441962103188	0.870740008809594	0.909861351998369	0.916836276466646	0.791884241426634	0.842210642433067	0.860337181554063	0.921844854766263	0.90325092488999	0.855762724788282	0.8325445880105	0.899529195007392	0.754322098385626	0.766913482933525	0.750575185874286	0.839983927881673	0.806446237036544	0.88866670878734	0.893667116579016	0.851179408840071	0.913648841404979	0.834934434655066	0.918586541769485	0.834037277506993	0.969343458886921	0.984300379182049	0.903705332012406	0.609090019082106	0.846635381422601	0.781593319695082	0.833099071751021	0.155329961648649	0.983601187357405
PDGFRA	0.945124903424965	0.907766396272401	0.932820081769873	0.941644681327866	0.926111579663201	0.94609709187964	0.920914227708718	0.918858257099297	1	0.873019686668336	0.930529611229082	0.940720492446539	0.915698684741932	0.930732710625493	0.891098308067325	0.906100491175991	0.907454825366049	0.933251883358514	0.92522392904158	0.930640572358996	0.925655824579315	0.880351706895305	0.917551579909489	0.932381359731999	0.881682208072472	0.861977155321391	0.922374809979934	0.885037646428579	0.760403941256998	0.91059731264993	0.813506694878526	0.927745109699597	0.928958059351296	0.906098023061742	0.884213045248947	0.908292965045832	0.786870564100329	0.919081678207319	0.901158919490457	0.858612196627983	0.941656198969001	0.952284076270892	0.891083818403712	0.924514647413934	0.952926464735396	0.936932755328884	0.911277382150486	0.841175422326705	0.934696550962539	0.875968269625054	0.940719251905254	0.918924135579121	0.932526041026286	0.919828000182514	0.810239452024648	0.902839689123386	0.906063988184074	0.896655416999385	0.908523359683234	0.905631078751717	0.876046905186018	0.91614860785355	0.828102524012563	0.844369623868167	0.842762089315146	0.875920049606026	0.854260375225286	0.908186570356664	0.909356537103958	0.872696825150137	0.937534599646232	0.847441724605251	0.958116089777419	0.886986236589174	0.927349516830704	0.935504211837848	0.932130032103537	0.702500166023363	0.839514824034807	0.823323805675154	0.891137346475538	0.169950368799052	0.929357506571935
ACKR3	0.863014174926001	0.819498742173626	0.875792334325947	0.876755346366339	0.823959098057784	0.877635495689425	0.870043540424407	0.831334464719446	0.873019686668336	1	0.863980983551718	0.855304150529469	0.845673558224598	0.865755136327827	0.850829801045946	0.844024842884712	0.831699904537417	0.854441160197631	0.842590199591665	0.836682308565312	0.858115618994957	0.813831189304611	0.845440005785242	0.873125751915329	0.830084404464907	0.786279414841391	0.850805253451677	0.793467613593472	0.697047433394638	0.8408447004773	0.73483901859075	0.847837573336045	0.834435085035599	0.83156312571217	0.777299547669531	0.857286438907753	0.73367812949246	0.812013221775252	0.807049461704094	0.742881633755785	0.862578655896589	0.85666966098553	0.781777295826798	0.845345131157489	0.860980115677567	0.852549423473847	0.818156998473679	0.786318597517683	0.852866811167816	0.793528390178307	0.854126114382954	0.848734430383694	0.844782424951389	0.856741318445907	0.776269786244436	0.811627222963153	0.842221022414232	0.819548007509169	0.849894320171854	0.809211518385505	0.82176949859082	0.820309709638204	0.7785912936888	0.793649904515408	0.768296729709694	0.818194032376194	0.779774005465618	0.840588707104868	0.80520599596175	0.758404727329516	0.859110623073004	0.778857632368283	0.868917885044818	0.796447218213577	0.849493232225638	0.845782245233959	0.843148329194068	0.628299452638813	0.738946192498031	0.766829153435003	0.775495452908937	0.150132757436454	0.85236587022025
