""	GPR171	CD44	CD2	CLEC2D	PTGER2	CXCR4	CD69	LAG3	CD3D	CD3G	CD96	ITGA4	PTPRC	CCR5	CD47	DIP2A	NCL	RPSA	ITGB1	SLC16A7	S1PR4	JAML	TNFRSF14	DPP4	SORL1	IL2RG	PTPRA	CD46	TRADD	LAMP1	F2R	CXCR3	ACTR2	KLRD1	CD247	CD8B	CD8A	HLA.DPB1	CD226	SPN	CD81	VSIR	JMJD6	TNFRSF25	LRP10	PTPRZ1	RACK1	CD74	ITGAL	STX4	IFITM1	CD63	SMAP1	TSPAN5	PTGER4	ATP5F1B	TSPAN14	TFRC	APLP2	CD6	TNFRSF1B	CANX	C1QBP	CD4
GPR171	1	0.749976597562473	0.870529955463854	0.76415856899748	0.776830164042964	0.814758525679252	0.787325034997932	0.760507148545331	0.892890288318619	0.902980923979484	0.873401701429494	0.609211060977376	0.836403994829353	0.508788107854199	0.807066261824668	0.324029368833532	0.165368555945523	0.519323474989158	0.508870878566356	0.625005203757403	0.891524087070701	0.627050544052796	0.786856004769852	0.772533843806575	0.278008560743251	0.78886466687637	0.348728209039219	0.581670965946027	0.831284859974113	0.32096538383786	0.441639809740373	0.679534235003545	0.330630148111277	0.661125543298901	0.847673717222978	0.622508629725527	0.656736264054993	0.28341042117761	0.824252657094062	0.691371587394865	0.0193548906946162	0.299988873298122	0.585933382793691	0.812391511821937	0.287077100370529	-0.408264968289461	0.59917220363125	-0.0787528776629576	0.716679608371951	0.267928391680436	0.80228295076537	-0.0216270061710035	0.622112811236818	0.567834310952732	0.699777487077783	0.228697034883138	0.376474366295103	-0.187759898823129	-0.334394031205497	0.698615998738986	0.578259536814485	-0.00454541824832447	0.0714901766062237	0.284675519163055
CD44	0.749976597562473	1	0.817592689207062	0.78017655620608	0.713296186822729	0.71155848733557	0.70408537366822	0.702985848561316	0.846382837559955	0.821724375114608	0.705520475804024	0.662350683696708	0.897346189680447	0.571139219790481	0.837366431978569	0.400517741024257	0.609494343538018	0.687384568192823	0.818382358205011	0.757302038333124	0.739534454840899	0.67817631381785	0.869602316509111	0.605530906477017	0.600154788972329	0.69879839544015	0.721242600277656	0.792144653544276	0.782987175869349	0.683870584483981	0.530454559689143	0.739813513383675	0.730666488470026	0.565667445897272	0.780982003455351	0.710006826745177	0.657589512560723	0.661616653642812	0.690781273512325	0.721397150264594	0.433333964944659	0.626796899784514	0.825451067884061	0.765047348777924	0.581075998007163	-0.0827127862083767	0.797323112156001	0.312616127272394	0.711535034091376	0.582055204905277	0.833666333627497	0.356865773616752	0.846627123569147	0.661015006941875	0.702762712430641	0.556627481400368	0.614739895804378	0.202526708128908	0.11642996187371	0.666678384781302	0.855899766364063	0.455694014971474	0.365650766790286	0.679096345672221
CD2	0.870529955463854	0.817592689207062	1	0.821125272901942	0.844096271552262	0.730581016251548	0.68849228874225	0.846892584328646	0.945068129598148	0.973194380718147	0.894137332371953	0.573421717899973	0.909856506761057	0.703277321312985	0.82216304039559	0.362839919370756	0.214316939237952	0.505777798766112	0.490808739770204	0.658870844531277	0.867462111850784	0.684939987775379	0.860901417404915	0.847552074332447	0.322483644268827	0.872449527415225	0.438067716938349	0.646335252098849	0.866476561519247	0.439428247554162	0.438166652304669	0.811913889470263	0.382450344232694	0.544687886326105	0.805793403578888	0.706179935950702	0.671297298578651	0.292167612424003	0.877274889906906	0.778062036093204	-0.00226589073106149	0.299911364893942	0.608698222525331	0.80614115962969	0.248857849588347	-0.407937190367764	0.595731841801063	-0.0681044662508904	0.64694285195974	0.291244183418791	0.844305595623247	-0.0256478951229586	0.617371641331808	0.544308637742772	0.619189540848811	0.263047006547217	0.418431118496871	-0.174609861347746	-0.338524325154589	0.744344027897211	0.648275147132314	-0.0162307190947898	0.0633143023939557	0.365124743755252
CLEC2D	0.76415856899748	0.78017655620608	0.821125272901942	1	0.719942098182958	0.596851556676918	0.560632815056359	0.801993096418693	0.77302735874474	0.781497879609675	0.816893690835831	0.739668373119988	0.932763029779827	0.753137834411322	0.744735142451738	0.625491449585511	0.184425052745692	0.310999845807116	0.599196581859099	0.716031515886212	0.685263700924731	0.821923420155734	0.719579827067897	0.548258503113662	0.420305041285041	0.589078727886207	0.450257716027753	0.770216726036419	0.566307758973421	0.512391072806037	0.689543565764864	0.66084843173172	0.396603522423331	0.691562763274397	0.832820769394022	0.752376496553405	0.794108364594357	0.337466549371872	0.667603708038421	0.631769587621438	-0.0153066159583438	0.261644846138727	0.54571277891227	0.743857710228177	0.165959817264146	-0.372322827619481	0.422902881191393	-0.025372505076878	0.739762830543754	0.203667949694103	0.783800733601492	-0.108733708425686	0.528858769808558	0.432489895787927	0.555659897481923	0.112856179525736	0.627065202581216	-0.141707028928771	-0.29186218713903	0.873011934786553	0.5971273857857	0.0222797158556641	-0.0843984800448288	0.370681119067249
PTGER2	0.776830164042964	0.713296186822729	0.844096271552262	0.719942098182958	1	0.71537437863603	0.62219326995771	0.754850842894993	0.818134659635866	0.840538785921966	0.865473906313462	0.631672669504589	0.827902092595345	0.573778707841884	0.700786719305825	0.333747034563644	0.179569344523967	0.456302102808324	0.431255282094276	0.468799125896003	0.798886659655237	0.504266358041708	0.69582687248778	0.725624031265395	0.310716967224588	0.756814018768558	0.37706815889077	0.651727539280119	0.746078213707281	0.273312362831499	0.326927170564724	0.613558254113027	0.320639155655943	0.527517523529921	0.764034675772598	0.54102733649847	0.595048030152694	0.248379160356267	0.813009830897608	0.75402235390305	0.00199938612471767	0.216883963224227	0.549196378433099	0.696376338946016	0.220146105320624	-0.402133521974407	0.525120155490815	-0.0752121552519574	0.651034003534072	0.180570564709335	0.680611111683865	-0.0390991489660767	0.527393373114002	0.491245658412811	0.520190639569614	0.216894509792594	0.301144239353525	-0.235960032675251	-0.323984705506389	0.624156845238619	0.52970048095861	-0.051805786158326	0.0250838982305001	0.305897901075229
CXCR4	0.814758525679252	0.71155848733557	0.730581016251548	0.596851556676918	0.71537437863603	1	0.949473954013543	0.695806815513218	0.796095038200813	0.781707143260408	0.795532743572643	0.590554473097645	0.715321509432271	0.318368021848888	0.767492045436845	0.279951817976319	0.330275744743282	0.582811439419262	0.637325355158797	0.629438354580392	0.881199075118856	0.438971027509959	0.733665824383909	0.636184049789601	0.363378677115769	0.714637868935547	0.325729047280343	0.587064444052756	0.728214653364746	0.30672569907419	0.331988686168003	0.655932919337975	0.432963328622166	0.663425620056652	0.741926778995828	0.591152902067381	0.641142556206812	0.410962497677628	0.737033543960342	0.754977573707178	0.178370449929723	0.322776503813663	0.660612235429756	0.743485863715242	0.463857358540274	-0.249180476122443	0.671208333866252	0.076024145426166	0.759531210686458	0.341903949319575	0.640512841159789	0.131093436995412	0.706029660831807	0.514823446560887	0.898444151222055	0.328996674314693	0.326786745151768	-0.00201189453181682	-0.143629740939785	0.489843514678929	0.697754253107607	0.160350588778231	0.169640934167091	0.421743316149871
CD69	0.787325034997932	0.70408537366822	0.68849228874225	0.560632815056359	0.62219326995771	0.949473954013543	1	0.599379427599905	0.752987452360399	0.727465430558202	0.722224673618476	0.584327694361868	0.690425786199518	0.326187881098714	0.742370080979216	0.286900329981902	0.355072933021128	0.563319149609767	0.633193350819468	0.61165032840584	0.790750304492724	0.415559916556138	0.708853012732176	0.592473904149675	0.354347052464474	0.654791406422512	0.339634995621507	0.574003876467752	0.701117129972818	0.325255066415671	0.36830357995898	0.585240869044977	0.458260557212408	0.713125286716264	0.692805187591424	0.591392833270712	0.618675379530708	0.4257272073256	0.668087768515164	0.683347632273578	0.209765520519042	0.33651121300559	0.694607384983688	0.761740450084385	0.419141146225841	-0.183443175450844	0.64593235813142	0.0887828563378298	0.720961241492417	0.380571720709278	0.630992560233317	0.157626049603007	0.722779671788008	0.479740667351919	0.921010299647273	0.329526628450202	0.36845998092793	0.0694406841338987	-0.103531892291778	0.495318166472188	0.668967918571725	0.193484229994466	0.200444117416266	0.414611756215554
LAG3	0.760507148545331	0.702985848561316	0.846892584328646	0.801993096418693	0.754850842894993	0.695806815513218	0.599379427599905	1	0.778487301594724	0.808469483023472	0.82100644324692	0.591046972299256	0.827939641566468	0.703810333787563	0.785606262346685	0.392157627187864	0.188044023962352	0.392045817293311	0.472834190236229	0.671930841927562	0.819239041741093	0.65949339699324	0.753861195137801	0.687506459634913	0.315045817406187	0.735588529054117	0.369513927196793	0.562033638659083	0.632789922567225	0.433545214111895	0.523081971422382	0.739205820157252	0.337904655098263	0.519558634284835	0.786814937418948	0.696760287862758	0.667464693182727	0.250109413110626	0.707733341596039	0.763109714839283	-0.0214030311975492	0.220637639814254	0.406154278150012	0.624935510809202	0.180623142337654	-0.383280576933295	0.47487463316854	-0.0629620916484781	0.659478513887065	0.26466616534594	0.723684996301212	-0.0589231035897342	0.523714752919288	0.481650787129714	0.543855632340036	0.209494826320643	0.352401129997769	-0.129792687576956	-0.315540549930677	0.692111637585346	0.643272060485351	-0.0274136706864581	0.00804987672339901	0.323085133031266
CD3D	0.892890288318619	0.846382837559955	0.945068129598148	0.77302735874474	0.818134659635866	0.796095038200813	0.752987452360399	0.778487301594724	1	0.981314272880374	0.863559062524414	0.509459161601012	0.860863287291845	0.513035228306671	0.789890700847064	0.215269087177643	0.297161400822495	0.626870151300618	0.555801545639859	0.650453528122001	0.869720626269578	0.576874555820558	0.878924125580035	0.841599503201324	0.306182883629982	0.850759354344952	0.4194629517231	0.614759607263594	0.915945361725975	0.410208021927905	0.34293863354145	0.842869321399651	0.406270820419212	0.54222828411245	0.77035433244169	0.697727450491981	0.692519307387402	0.364633713141582	0.875733201473552	0.711836889474313	0.0905996402884029	0.362062378873171	0.736741168714315	0.895004551213055	0.388910357126705	-0.373273628636599	0.712327061136084	-0.0230592122696583	0.654996061847213	0.325847295077766	0.901953149507938	0.0833449984897271	0.702345859886139	0.625430974162345	0.678533746422037	0.316628224298834	0.353759789123738	-0.136547740191946	-0.27492604933794	0.706949832616354	0.676086027422562	0.0778566685119	0.163899976273421	0.376925686968751
CD3G	0.902980923979484	0.821724375114608	0.973194380718147	0.781497879609675	0.840538785921966	0.781707143260408	0.727465430558202	0.808469483023472	0.981314272880374	1	0.889897704891136	0.530347083761567	0.872755293377458	0.573511178422828	0.820571512919841	0.264579018874608	0.244795136676739	0.578901885899763	0.515486163524454	0.639989923183327	0.895995907792028	0.602491010137321	0.862463632348492	0.865918119453908	0.28710458036884	0.890914280739305	0.412602107932434	0.626490114564862	0.908244104669161	0.404558989296487	0.357622837416774	0.818772747629741	0.38463451844822	0.545092386152145	0.803896886330976	0.706899871932085	0.6935788134025	0.333930314191796	0.894651486709597	0.771473884861812	0.0500731498373205	0.329895365521412	0.674468365623872	0.840395420465639	0.307995724213738	-0.409938227817954	0.66589940531398	-0.0489135541104136	0.665480607289074	0.298076497295811	0.861205887924308	0.0265647339850552	0.654138601073623	0.605256391937055	0.6569432263686	0.297464318924568	0.377981388909927	-0.175975847694217	-0.310967511755974	0.721611360942954	0.646508848262616	0.0216672067776134	0.118894930193931	0.365002008739809
