""	HILPDA	ADM	DDIT3	NDRG1	HERPUD1	DNAJB9	TRIB3	ENO2	AKAP12	SQSTM1	MT1X	ATF3	NAMPT	NRN1	SLC2A1	BNIP3	LGALS3	INSIG2	IGFBP3	PPP1R15A	VIM	PLOD2	GBE1	SLC2A3	FTL	WARS	XPOT	HSPA5	GDF15	ANXA2	EPAS1	LDHA	P4HA1	SERTAD1	PFKP	PGK1	EGLN3	SLC6A6	CA9	BNIP3L	RPL21	TRAM1	UFM1	ASNS	GOLT1B	ANGPTL4	SLC39A14	CDKN1A	HSPA9	CHI3L1	ANXA2.1	ANXA1	CD44	VIM.1	MT2A	C1S	NAMPT.1	EFEMP1	C1R	SOD2	IFITM3	TIMP1	SPP1	A2M	S100A11	MT1X.1	S100A10	FN1	LGALS1	S100A16	CLIC1	MGST1	RCAN1	TAGLN2	NPC2	SERPING1	EMP1	APOE	CTSB	C3	LGALS3.1	MT1E	EMP3	SERPINA3	ACTN1	PRDX6	IGFBP7	SERPINE1	PLP2	MGP	CLIC4	GFPT2	GSN	NNMT	TUBA1C	GJA1	TNFRSF1A	WWTR1	CST3	S100B	SLC1A3	HEPN1	HOPX	MT3	SPARCL1	MLC1	GFAP	FABP7	BCAN	PON2	METTL7B	SPARC	GATM	RAMP1	PMP2	AQP4	DBI	EDNRB	PTPRZ1	CLU	PMP22	ATP1A2	S100A16.1	HEY1	PCDHGC3	TTYH1	NDRG2	PRCP	ATP1B2	AGT	PLTP	GPM6B	F3	RAB31	ANXA5	TSPAN7	BCAN.1	PLP1	GPR17	FIBIN	LHFPL3	OLIG1	PSAT1	SCRG1	OMG	APOD	SIRT2	TNR	THY1	PHYHIPL	NKAIN4	PTPRZ1.1	VCAN	DBI.1	PMP2.1	CNP	TNS3	LIMA1	CA10	PCDHGC3.1	CNTN1	SCD5	P2RX7	CADM2	TTYH1.1	FGF12	TMEM206	NEU4	FXYD6	RNF13	RTKN	GPM6B.1	LMF1	ALCAM	PGRMC1	HRASLS	BCAS1	RAB31.1	PLLP	FABP5	NLGN3	SERINC5	EPB41L2	GPR37L1	DLL3	DLL1	SOX4	TUBB3	HES6	TAGLN3	NEU4.1	MARCKSL1	CD24	STMN1	TCF12	BEX1	OLIG1.1	MAP2	FXYD6.1	PTPRS	MLLT11	NPPA	BCAN.2	MEST	ASCL1	BTG2	DCX	NXPH1	PFN2	SCG3	MYT1	CHD7	TUBA1A	PCBP4	ETV1	SHD	TNR.1	AMOTL2	DBN1	HIP1	ABAT	ELAVL4	LMF1.1	GRIK2	SERINC5.1	TSPAN13	ELMO1	GLCCI1	SEZ6L	LRRN1	SEZ6	SOX11	STMN2	CD24.1	RND3	TUBB3.1	MIAT	DCX.1	NSG1	ELAVL4.1	MLLT11.1	DLX6.AS1	SOX11.1	NREP	FNBP1L	TAGLN3.1	STMN4	DLX5	SOX4.1	MAP1B	RBFOX2	IGFBPL1	STMN1.1	TMEM161B.AS1	DPYSL3	SEPT3	PKIA	ATP1B1	DYNC1I1	CD200	SNAP25	PAK3	NDRG4	KIF5A	UCHL1	ENO2.1	KIF5C	DDAH2	TUBB2A	LBH	TCF4	GNG3	NFIB	DPYSL5	CRABP1	DBN1.1	NFIX	CEP170	BLCAP
HILPDA	1	0.773387096774194	0.735483870967742	0.825806451612903	0.82258064516129	0.726209677419355	0.817338709677419	0.755241935483871	0.799193548387097	0.818548387096774	0.533870967741936	0.812903225806452	0.775	0.774596774193548	0.845967741935484	0.835887096774194	0.775806451612903	0.868951612903226	0.868145161290323	0.802822580645161	0.748387096774194	0.791935483870968	0.798387096774194	0.842741935483871	0.737903225806452	0.779435483870968	0.878225806451613	0.813306451612903	0.774571534614625	0.620564516129032	0.615322580645161	0.698790322580645	0.784274193548387	0.86008064516129	0.823790322580645	0.746774193548387	0.794354838709678	0.802016129032258	0.788709677419355	0.805241935483871	0.799596774193549	0.831854838709677	0.766532258064516	0.762903225806452	0.872177419354839	0.804838709677419	0.680645161290323	0.826209677419355	0.841935483870968	0.757258064516129	0.620564516129032	0.811290322580645	0.822177419354839	0.748387096774194	0.564112903225807	0.804838709677419	0.775	0.615725806451613	0.891935483870968	0.757258064516129	0.433064516129032	0.706854838709678	0.824193548387097	0.811290322580645	0.545564516129032	0.533870967741936	0.710887096774194	0.307661290322581	0.377016129032258	0.743145161290323	0.721370967741936	0.546370967741936	0.728225806451613	0.764112903225807	0.788709677419355	0.835887096774194	0.802016129032258	0.641129032258065	0.791935483870968	0.634274193548387	0.775806451612903	0.623387096774194	0.766935483870968	0.688381693996024	0.703629032258065	0.750806451612903	0.652822580645161	0.916935483870968	0.801209677419355	0.552016129032258	0.698387096774194	0.715322580645161	0.693951612903226	0.589516129032258	0.651612903225807	0.674596774193549	0.781048387096774	0.843145161290323	0.667741935483871	0.661693548387097	0.841532258064516	0.798151239071055	0.724596774193548	0.485887096774194	0.783467741935484	0.728225806451613	0.529032258064516	0.741532258064516	0.699667308727598	0.745564516129032	0.803629032258065	0.686693548387097	0.67741935483871	0.729032258064516	0.73508064516129	0.729032258064516	0.75	0.547983870967742	0.715322580645161	0.730241935483871	0.610887096774194	0.733658311825524	0.743145161290323	0.701612903225807	0.723727348927339	0.741935483870968	0.57258064516129	0.802822580645161	0.832291039278456	0.725	0.629032258064516	0.770161290322581	0.650806451612903	0.829435483870968	0.739112903225807	0.750806451612903	0.699667308727598	0.430645161290323	0.621647304606401	0.837434517509366	0.792751308752073	0.669354838709678	0.790725806451613	0.763306451612903	0.766485869831149	0.720564516129032	0.709274193548387	0.778017512870529	0.419758064516129	0.790671522786052	0.530645161290323	0.715322580645161	0.831048387096774	0.75	0.73508064516129	0.728629032258065	0.604435483870968	0.808467741935484	0.63991935483871	0.723727348927339	0.823315920152513	0.804032258064516	0.786693548387097	0.696774193548387	0.741935483870968	0.602822580645161	0.853225806451613	0.518951612903226	0.739112903225807	0.819758064516129	0.842425961487238	0.770161290322581	0.843145161290323	0.787096774193548	0.804032258064516	0.781451612903226	0.654032258064516	0.829435483870968	0.648790322580645	0.73508064516129	0.704506186459322	0.817741935483871	0.868145161290323	0.814287250778239	0.551209677419355	0.782881795903019	0.754838709677419	0.819354838709678	0.757661290322581	0.738930530189238	0.518951612903226	0.833467741935484	0.694354838709678	0.793548387096774	0.845161290322581	0.59758064516129	0.669354838709678	0.784274193548387	0.739112903225807	0.869354838709677	0.74758064516129	0.720949601876406	0.699667308727598	0.565725806451613	0.696370967741936	0.808467741935484	0.665187629755754	0.795658963539217	0.793548387096774	0.664516129032258	0.740214882211583	0.869354838709677	0.760887096774194	0.868145161290323	0.675403225806452	0.801058893858199	0.778017512870529	0.78991935483871	0.615322580645161	0.82258064516129	0.66491935483871	0.77741935483871	0.843145161290323	0.794354838709678	0.817741935483871	0.874193548387097	0.839516129032258	0.794354838709678	0.79233870967742	0.760499469575238	0.755557097353063	0.762903225806452	0.573850452010133	0.694354838709678	0.699596774193549	0.819354838709678	0.866129032258065	0.665187629755754	0.476209677419355	0.77741935483871	0.74758064516129	-0.0482762058922567	0.762903225806452	0.708064516129032	0.5875	0.738930530189238	0.724193548387097	-0.617301101131038	0.754838709677419	0.833870967741936	0.701209677419355	0.220015932111329	0.793548387096774	0.85	0.879435483870968	0.746879416241267	0.779032258064516	0.500403225806452	0.801612903225807	0.8	0.700403225806452	0.8148447617384	0.585483870967742	0.786935999177785	0.809677419354839	0.755241935483871	0.852822580645161	0.785887096774194	0.876612903225807	0.738306451612903	0.837903225806452	0.781451612903226	0.763709677419355	0.782881795903019	0.0217741935483871	0.615322580645161	0.778225806451613	0.848387096774194	0.833064516129032
ADM	0.773387096774194	1	0.920967741935484	0.908870967741936	0.866532258064516	0.926209677419355	0.758064516129032	0.942741935483871	0.931451612903226	0.891935483870968	0.508064516129032	0.929838709677419	0.905645161290323	0.615322580645161	0.899193548387097	0.831048387096774	0.771774193548387	0.869758064516129	0.888709677419355	0.913306451612903	0.695161290322581	0.554838709677419	0.806048387096774	0.909274193548387	0.825	0.806048387096774	0.916532258064516	0.834677419354839	0.94611551700713	0.449596774193548	0.526209677419355	0.674596774193549	0.860483870967742	0.892741935483871	0.720967741935484	0.725403225806452	0.708467741935484	0.947177419354839	0.72741935483871	0.865322580645161	0.796774193548387	0.856854838709678	0.778629032258065	0.719354838709678	0.870967741935484	0.882661290322581	0.626612903225807	0.893145161290323	0.840322580645161	0.918145161290323	0.449596774193548	0.873387096774194	0.883870967741936	0.695161290322581	0.426209677419355	0.77258064516129	0.905645161290323	0.657258064516129	0.829435483870968	0.897177419354839	0.229032258064516	0.585483870967742	0.925403225806452	0.740725806451613	0.424193548387097	0.508064516129032	0.689112903225807	0.210887096774194	0.156854838709677	0.672580645161291	0.683064516129032	0.512096774193549	0.731048387096774	0.768951612903226	0.904838709677419	0.774193548387097	0.745564516129032	0.921774193548387	0.8875	0.922983870967742	0.771774193548387	0.56491935483871	0.796774193548387	0.751846509054047	0.687096774193548	0.608064516129032	0.643145161290323	0.835887096774194	0.785887096774194	0.658870967741936	0.608064516129032	0.491532258064516	0.734274193548387	0.545161290322581	0.614516129032258	0.718145161290323	0.805241935483871	0.891532258064516	0.825	0.841532258064516	0.935483870967742	0.923388084545904	0.852822580645161	0.737903225806452	0.871370967741936	0.941935483870968	0.580645161290323	0.895161290322581	0.93577982126939	0.972580645161291	0.918548387096774	0.597177419354839	0.843548387096774	0.921370967741936	0.859677419354839	0.930241935483871	0.862096774193548	0.574596774193549	0.941532258064516	0.96733870967742	0.784677419354839	0.930900152865091	0.672580645161291	0.756451612903226	0.930911247529965	0.940725806451613	0.632258064516129	0.920161290322581	0.940666472860544	0.962903225806452	0.574193548387097	0.946774193548387	0.871370967741936	0.930645161290323	0.708467741935484	0.959677419354839	0.93577982126939	0.741129032258065	0.63109004847384	0.89189196445723	0.934187945183868	0.782661290322581	0.622983870967742	0.930241935483871	0.782069852203318	0.92258064516129	0.880645161290323	0.924150917701405	0.125403225806452	0.949867131400694	0.463709677419355	0.941532258064516	0.909274193548387	0.862096774193548	0.859677419354839	0.952822580645161	0.834677419354839	0.832258064516129	0.383467741935484	0.930911247529965	0.878176755596286	0.871774193548387	0.934274193548387	0.753629032258065	0.940725806451613	0.405645161290323	0.880241935483871	0.776612903225807	0.949596774193548	0.924193548387097	0.936567567734973	0.946774193548387	0.854032258064516	0.910483870967742	0.76491935483871	0.863306451612903	0.806854838709678	0.930645161290323	0.483870967741936	0.648387096774194	0.917962253867301	0.910483870967742	0.67741935483871	0.944459664871772	0.764112903225807	0.934260941896911	0.717741935483871	0.681854838709678	0.916532258064516	0.871218788490787	0.776612903225807	0.829032258064516	0.849193548387097	0.586290322580645	0.916935483870968	0.699596774193549	0.782661290322581	0.844758064516129	0.949596774193548	0.935887096774194	0.828225806451613	0.845959865384666	0.93577982126939	0.630241935483871	0.675806451612903	0.893951612903226	0.915288497220015	0.937510979226318	0.580241935483871	0.827016129032258	0.877212431261731	0.88991935483871	0.849596774193549	0.930241935483871	0.931854838709678	0.919234291992841	0.924150917701405	0.792741935483871	0.760483870967742	0.846370967741936	0.895161290322581	0.881451612903226	0.854032258064516	0.932661290322581	0.910483870967742	0.828225806451613	0.920967741935484	0.921774193548387	0.927822580645161	0.872947653178208	0.762829839466621	0.944758064516129	0.671517889001268	0.849193548387097	0.527822580645161	0.681854838709678	0.891532258064516	0.915288497220015	0.501612903225807	0.881451612903226	0.828225806451613	0.0291668743932384	0.944758064516129	0.594758064516129	0.57741935483871	0.871218788490787	0.929838709677419	-0.876237546567772	0.717741935483871	0.71008064516129	0.676209677419355	0.332699342262768	0.586290322580645	0.951209677419355	0.80241935483871	0.81515835334016	0.772983870967742	0.696774193548387	0.546774193548387	0.765725806451613	0.931048387096774	0.898749568887701	0.721370967741936	0.931280290396723	0.795564516129032	0.942741935483871	0.914516129032258	0.811693548387097	0.732661290322581	0.683467741935484	0.816532258064516	0.945564516129032	0.693548387096774	0.934260941896911	0.0814516129032258	0.760483870967742	0.789112903225807	0.841532258064516	0.911290322580645
DDIT3	0.735483870967742	0.920967741935484	1	0.893145161290323	0.883467741935484	0.949193548387097	0.796774193548387	0.969354838709678	0.954032258064516	0.931451612903226	0.633064516129032	0.943548387096774	0.896370967741935	0.616935483870968	0.890322580645161	0.859677419354839	0.838306451612903	0.894758064516129	0.906048387096774	0.891532258064516	0.768951612903226	0.564112903225807	0.804435483870968	0.917338709677419	0.853629032258065	0.836290322580645	0.921370967741936	0.848790322580645	0.943088270259027	0.505241935483871	0.504032258064516	0.776209677419355	0.856854838709678	0.9125	0.796370967741936	0.804435483870968	0.741935483870968	0.917338709677419	0.706451612903226	0.886693548387097	0.858467741935484	0.892741935483871	0.845161290322581	0.798790322580645	0.900403225806452	0.781048387096774	0.714112903225807	0.906048387096774	0.886693548387097	0.900806451612903	0.505241935483871	0.912903225806452	0.902016129032258	0.768951612903226	0.514112903225807	0.703225806451613	0.896370967741935	0.608870967741936	0.786693548387097	0.876612903225807	0.268951612903226	0.597983870967742	0.866532258064516	0.75241935483871	0.519354838709678	0.633064516129032	0.779838709677419	0.273387096774194	0.278225806451613	0.744758064516129	0.781854838709678	0.522983870967742	0.808467741935484	0.825	0.886290322580645	0.697983870967742	0.777016129032258	0.900806451612903	0.874596774193548	0.822177419354839	0.838306451612903	0.662096774193549	0.86008064516129	0.793098638841762	0.684677419354839	0.693145161290323	0.625403225806452	0.822177419354839	0.858467741935484	0.697177419354839	0.619758064516129	0.563709677419355	0.765322580645161	0.580241935483871	0.674596774193549	0.7	0.852822580645161	0.901612903225807	0.835887096774194	0.919758064516129	0.923387096774194	0.927957256354273	0.941532258064516	0.795967741935484	0.806048387096774	0.94233870967742	0.658870967741936	0.953629032258065	0.947877815080241	0.917338709677419	0.93508064516129	0.545161290322581	0.892741935483871	0.979032258064516	0.936290322580645	0.9	0.958064516129032	0.660887096774194	0.960483870967742	0.940725806451613	0.810887096774194	0.946964179094087	0.744758064516129	0.819758064516129	0.958023203011168	0.928225806451613	0.594354838709678	0.898387096774194	0.923512074621294	0.935483870967742	0.440725806451613	0.955241935483871	0.885887096774194	0.911290322580645	0.774193548387097	0.958467741935484	0.947877815080241	0.695161290322581	0.633608113505157	0.888261467994039	0.951218494651426	0.780241935483871	0.636693548387097	0.939516129032258	0.819594441336303	0.962903225806452	0.9625	0.936396733748686	0.142338709677419	0.962112947447974	0.54758064516129	0.960483870967742	0.893145161290323	0.958064516129032	0.936290322580645	0.962903225806452	0.844354838709678	0.88991935483871	0.437903225806452	0.958023203011168	0.888664856489949	0.903629032258065	0.923790322580645	0.762903225806452	0.928225806451613	0.519758064516129	0.914112903225807	0.822983870967742	0.960887096774194	0.931048387096774	0.928486743164352	0.955241935483871	0.882258064516129	0.874193548387097	0.816129032258065	0.865322580645161	0.819758064516129	0.911290322580645	0.54758064516129	0.765725806451613	0.933339183841715	0.910483870967742	0.631048387096774	0.945270707950236	0.814112903225807	0.935910850845074	0.733064516129032	0.722177419354839	0.928225806451613	0.918739813317557	0.822983870967742	0.866532258064516	0.856048387096774	0.610887096774194	0.926209677419355	0.779838709677419	0.780241935483871	0.932661290322581	0.960887096774194	0.889112903225807	0.934274193548387	0.901615119686289	0.947877815080241	0.725403225806452	0.650403225806452	0.9	0.936668087503251	0.947064702098363	0.660483870967742	0.91491935483871	0.916171109272867	0.908870967741936	0.937096774193549	0.926209677419355	0.942741935483871	0.937926358481624	0.936396733748686	0.841935483870968	0.803629032258065	0.843548387096774	0.933870967741936	0.897177419354839	0.882258064516129	0.945967741935484	0.910483870967742	0.833870967741936	0.898387096774194	0.903629032258065	0.92741935483871	0.853426811178416	0.795153137749105	0.954435483870968	0.731637622438033	0.856048387096774	0.532258064516129	0.722177419354839	0.911290322580645	0.936668087503251	0.66008064516129	0.897177419354839	0.934274193548387	0.0530535387670113	0.954435483870968	0.621370967741936	0.638709677419355	0.918739813317557	0.906854838709678	-0.873910503348978	0.733064516129032	0.713306451612903	0.663306451612903	0.393762419272207	0.610887096774194	0.923790322580645	0.823387096774194	0.843223928712098	0.851209677419355	0.793951612903226	0.491935483870968	0.751612903225807	0.956854838709677	0.928600317585049	0.845161290322581	0.947064702098363	0.865725806451613	0.969354838709678	0.916129032258065	0.846774193548387	0.780241935483871	0.760080645161291	0.844758064516129	0.949596774193548	0.707661290322581	0.945397827297007	0.0657258064516129	0.803629032258065	0.839516129032258	0.845967741935484	0.9
NDRG1	0.825806451612903	0.908870967741936	0.893145161290323	1	0.937903225806452	0.906048387096774	0.901612903225807	0.899193548387097	0.883870967741936	0.96491935483871	0.61491935483871	0.959274193548387	0.973387096774194	0.736290322580645	0.964112903225807	0.937096774193549	0.914112903225807	0.965322580645161	0.969758064516129	0.957258064516129	0.843548387096774	0.717741935483871	0.921774193548387	0.981854838709678	0.936693548387097	0.931048387096774	0.964516129032258	0.930645161290323	0.944097352508394	0.628225806451613	0.658467741935484	0.856451612903226	0.947177419354839	0.955241935483871	0.889516129032258	0.891129032258065	0.866935483870968	0.953629032258065	0.636290322580645	0.968548387096774	0.919758064516129	0.952016129032258	0.910483870967742	0.868145161290323	0.974596774193548	0.897177419354839	0.808870967741935	0.960483870967742	0.952016129032258	0.83508064516129	0.628225806451613	0.941129032258065	0.972580645161291	0.843548387096774	0.606854838709678	0.828225806451613	0.973387096774194	0.74758064516129	0.885483870967742	0.958064516129032	0.377822580645161	0.713306451612903	0.949596774193548	0.84233870967742	0.654032258064516	0.61491935483871	0.867741935483871	0.36008064516129	0.378225806451613	0.832661290322581	0.860887096774194	0.620161290322581	0.867741935483871	0.905645161290323	0.947177419354839	0.756048387096774	0.870564516129032	0.873387096774194	0.975	0.819354838709678	0.914112903225807	0.667741935483871	0.919758064516129	0.845139787189341	0.839112903225806	0.799193548387097	0.748790322580645	0.929435483870968	0.9	0.782661290322581	0.726612903225807	0.684274193548387	0.885887096774194	0.702016129032258	0.801612903225807	0.83991935483871	0.922177419354839	0.929032258064516	0.867741935483871	0.849193548387097	0.972177419354839	0.912172844652634	0.831854838709677	0.659274193548387	0.780241935483871	0.886693548387097	0.531048387096774	0.848790322580645	0.882750281731823	0.904838709677419	0.929435483870968	0.719758064516129	0.782661290322581	0.8875	0.901209677419355	0.847983870967742	0.874193548387097	0.541129032258065	0.879435483870968	0.872580645161291	0.727822580645161	0.914429442427767	0.832661290322581	0.786290322580645	0.901573683762992	0.868951612903226	0.491935483870968	0.960483870967742	0.948537314405612	0.87741935483871	0.620161290322581	0.891129032258065	0.846774193548387	0.975	0.872177419354839	0.883467741935484	0.882750281731823	0.646774193548387	0.63990327608345	0.955627346811025	0.935434082949786	0.669758064516129	0.764112903225807	0.836290322580645	0.876804060834134	0.87983870967742	0.885483870967742	0.942519641772325	0.193548387096774	0.926600080910861	0.463709677419355	0.879435483870968	0.967741935483871	0.874193548387097	0.901209677419355	0.900806451612903	0.817338709677419	0.908870967741936	0.481854838709678	0.901573683762992	0.921742713154577	0.907661290322581	0.948790322580645	0.708064516129032	0.868951612903226	0.497983870967742	0.955645161290323	0.725403225806452	0.883467741935484	0.980241935483871	0.968890866017457	0.891129032258065	0.961693548387097	0.968951612903226	0.905241935483871	0.747983870967742	0.790725806451613	0.975	0.546774193548387	0.778225806451613	0.867987231450457	0.949193548387097	0.785887096774194	0.939998927940218	0.75	0.952822417563737	0.791532258064516	0.827822580645161	0.834677419354839	0.919596047999121	0.725403225806452	0.943951612903226	0.801209677419355	0.700403225806452	0.966129032258065	0.692338709677419	0.669758064516129	0.885887096774194	0.883467741935484	0.887096774193548	0.868951612903226	0.901615119686289	0.882750281731823	0.65	0.512096774193549	0.949193548387097	0.863654769743522	0.935434082949786	0.719758064516129	0.845161290322581	0.917027343954431	0.969758064516129	0.864516129032258	0.930241935483871	0.881451612903226	0.930449531886111	0.942519641772325	0.905241935483871	0.766129032258065	0.965322580645161	0.856451612903226	0.791129032258065	0.961693548387097	0.858870967741936	0.949193548387097	0.922177419354839	0.975806451612903	0.922177419354839	0.883870967741936	0.90283894249039	0.817779446546844	0.883870967741936	0.769402364741271	0.801209677419355	0.66008064516129	0.827822580645161	0.946774193548387	0.863654769743522	0.518951612903226	0.791129032258065	0.868951612903226	0.171229667774098	0.883870967741936	0.745161290322581	0.65241935483871	0.919596047999121	0.841129032258065	-0.809387941373321	0.791532258064516	0.827016129032258	0.774596774193548	0.423034925261267	0.700403225806452	0.946370967741936	0.829032258064516	0.906057306410466	0.901209677419355	0.706854838709678	0.626612903225807	0.84758064516129	0.860887096774194	0.949979907868284	0.761290322580645	0.927541877098967	0.903225806451613	0.899193548387097	0.937903225806452	0.927016129032258	0.871370967741936	0.845564516129032	0.920967741935484	0.872580645161291	0.781854838709678	0.942922963874763	-0.0245967741935484	0.766129032258065	0.910483870967742	0.961693548387097	0.957661290322581
HERPUD1	0.82258064516129	0.866532258064516	0.883467741935484	0.937903225806452	1	0.909677419354839	0.932258064516129	0.881854838709678	0.858467741935484	0.952822580645161	0.637903225806452	0.92258064516129	0.929032258064516	0.728629032258065	0.976209677419355	0.922983870967742	0.931854838709678	0.953225806451613	0.939112903225807	0.967741935483871	0.848790322580645	0.719758064516129	0.925403225806452	0.957258064516129	0.917338709677419	0.904032258064516	0.951612903225807	0.969354838709678	0.904339511883308	0.62258064516129	0.639112903225807	0.884274193548387	0.933064516129032	0.965322580645161	0.924193548387097	0.906048387096774	0.872580645161291	0.929435483870968	0.609677419354839	0.956048387096774	0.955241935483871	0.963306451612903	0.91491935483871	0.904032258064516	0.966532258064516	0.805241935483871	0.795564516129032	0.952016129032258	0.955645161290323	0.793145161290323	0.62258064516129	0.939516129032258	0.963306451612903	0.848790322580645	0.623790322580645	0.784274193548387	0.929032258064516	0.740322580645161	0.874596774193548	0.915322580645162	0.372177419354839	0.717338709677419	0.895967741935484	0.825806451612903	0.672983870967742	0.637903225806452	0.883064516129032	0.40241935483871	0.4	0.833064516129032	0.895967741935484	0.612903225806452	0.891935483870968	0.901612903225807	0.898387096774194	0.739516129032258	0.86491935483871	0.872983870967742	0.938306451612903	0.7875	0.931854838709678	0.66008064516129	0.933467741935484	0.848101478558715	0.812903225806452	0.824193548387097	0.708064516129032	0.916129032258065	0.947177419354839	0.779838709677419	0.703629032258065	0.725806451612903	0.843951612903226	0.68991935483871	0.797177419354839	0.839112903225806	0.915322580645162	0.931451612903226	0.812096774193549	0.818548387096774	0.926209677419355	0.920065050503453	0.855241935483871	0.639112903225807	0.703225806451613	0.868145161290323	0.510483870967742	0.833870967741936	0.878112717437663	0.844758064516129	0.910887096774194	0.667338709677419	0.725403225806452	0.872177419354839	0.856854838709678	0.766935483870968	0.869354838709677	0.618145161290323	0.870564516129032	0.840725806451613	0.727822580645161	0.916869547677741	0.833064516129032	0.7875	0.894492202853722	0.802016129032258	0.416532258064516	0.933870967741936	0.930777466816741	0.854435483870968	0.453225806451613	0.857258064516129	0.871370967741936	0.935887096774194	0.87741935483871	0.856451612903226	0.878112717437663	0.536693548387097	0.634867146020816	0.943525691933722	0.944572426566525	0.625403225806452	0.703629032258065	0.820967741935484	0.914123597567485	0.851612903225807	0.850806451612903	0.90047567334333	0.229435483870968	0.904557612025757	0.481048387096774	0.870564516129032	0.933467741935484	0.869354838709677	0.856854838709678	0.876209677419355	0.826209677419355	0.897983870967742	0.52258064516129	0.894492202853722	0.940298583966441	0.862096774193548	0.935887096774194	0.631854838709678	0.802016129032258	0.5625	0.953225806451613	0.745564516129032	0.8625	0.9375	0.932123114221131	0.857258064516129	0.95241935483871	0.94233870967742	0.908870967741936	0.715725806451613	0.716532258064516	0.935887096774194	0.553629032258065	0.796774193548387	0.910678444932052	0.956451612903226	0.782661290322581	0.908773769419339	0.709677419354839	0.913224602807842	0.794758064516129	0.851209677419355	0.819354838709678	0.922164752043811	0.745564516129032	0.93508064516129	0.809677419354839	0.700403225806452	0.927016129032258	0.677822580645161	0.625403225806452	0.903225806451613	0.8625	0.82741935483871	0.86491935483871	0.906752527775669	0.878112717437663	0.665322580645161	0.485483870967742	0.971774193548387	0.871319151165815	0.940003254758156	0.746370967741936	0.806048387096774	0.920024165339903	0.958467741935484	0.868548387096774	0.882258064516129	0.858064516129032	0.930034152630805	0.90047567334333	0.904435483870968	0.758064516129032	0.90241935483871	0.824193548387097	0.756854838709678	0.95241935483871	0.850806451612903	0.956451612903226	0.933064516129032	0.943548387096774	0.917338709677419	0.865322580645161	0.938423810719178	0.770910664037243	0.855645161290323	0.743574753625838	0.809677419354839	0.658870967741936	0.851209677419355	0.936693548387097	0.871319151165815	0.547177419354839	0.756854838709678	0.86491935483871	0.163686510603433	0.855645161290323	0.723790322580645	0.697983870967742	0.922164752043811	0.7875	-0.812561182126222	0.794758064516129	0.770161290322581	0.774193548387097	0.412647907007085	0.700403225806452	0.936290322580645	0.777016129032258	0.912759533364959	0.928225806451613	0.737903225806452	0.565322580645161	0.837903225806452	0.882661290322581	0.915288497220015	0.767338709677419	0.945403185077138	0.911290322580645	0.881854838709678	0.909677419354839	0.94233870967742	0.889112903225807	0.88508064516129	0.913306451612903	0.846774193548387	0.769758064516129	0.924773965444978	-0.0576612903225807	0.758064516129032	0.915322580645162	0.939516129032258	0.96733870967742
