""	SIGLEC10	CCR1	FPR1	CCRL2	C5AR1	TFRC	LILRB1	HLA.DPA1	CXCR4	TNFRSF1A	CD74	APLP2	CD86	CANX	AXL	TREM2	CD4	NOTCH4	PILRA	PLXNB2	HAVCR2	CD9	SORL1	GPNMB	ABCA1	TLR2	TLR4	TSPAN14	ADGRE2	SORT1	ITGB5	ENG	CD40	LPP	PTPRC	SIRPA	CD163	ADRB2	SCARF1	KCNQ1	P2RY12	CD81	IL6R	ITGAL	TNFRSF10D	RXRA	TREM1	SDC2	TLR7	UNC5B	ADCY7	KCNQ3	TLR1	INSR	TNFRSF14	LRP1	ITGB1	ADGRE5	ITGAV	ERAP1	PTGER4	CD33	MCFD2	CD69	FGFR1	PTPRA	SMAP1	SDC3	NCL	SLC16A1	NOTCH1	SCARB1	CADM1	PTPRZ1	THY1	C1QBP
SIGLEC10	1	0.80821898786302	0.894178760191355	0.812334205415861	0.817966006576811	0.760091822812035	0.942440274656937	0.670349381373979	0.842614349662554	0.928156969482667	0.786255280777321	0.877347858507901	0.930686409280814	0.831129804259928	0.965503624548792	0.931248168299293	0.952529497341767	0.779984950827278	0.938075242630817	0.872591823580915	0.954186302702299	0.76855631025499	0.941378222149758	0.527557297172911	0.910821378022913	0.898483958145938	0.853797840050929	0.924299829426179	0.892217916787451	0.870890166806053	0.935966789716495	0.919780940155538	0.81488122125298	0.840986840650624	0.93259615274431	0.944816928420944	0.585817643659744	0.846670242582814	0.837151516696519	0.81578682034377	0.891383043271197	0.905495145683699	0.872807836013163	0.829672950551279	0.625675974584572	0.888769797360433	0.652710655385311	0.875637590239907	0.85879015516358	0.862561879884812	0.823944886665031	0.790478802475169	0.889945658919605	0.643070287437763	0.87283034784384	0.83574519542738	0.861550455655468	0.813181905976762	0.800505165151112	0.704833083650964	0.869694618951893	0.896710192703129	0.812360109639175	0.704680261154512	0.752607830198455	0.50862665637794	0.639825432395114	0.688394241965402	0.702398947453969	0.528575904169777	0.269001546637963	0.771964788804332	0.162011531217243	-0.000298103208751483	-0.0328758204545712	0.729771655902301
CCR1	0.80821898786302	1	0.826469836687812	0.774366910059647	0.723355275843348	0.630351765264989	0.759360219941773	0.540894597570542	0.838086000176444	0.747974451132779	0.646581274704329	0.704563743372833	0.797816216587964	0.61675273172428	0.744164518596689	0.691700156213194	0.748852541679541	0.450454477665975	0.721594407927754	0.638736364066326	0.77632470903728	0.559654137668244	0.723953915187822	0.376649499641944	0.761052389644231	0.754102557527344	0.767532476989584	0.768556099120372	0.677121156837683	0.828511323351113	0.696659146282545	0.696331712743609	0.633333582528223	0.641208827311713	0.794548432545395	0.731872653339409	0.498687673777551	0.820082168415284	0.803799261595235	0.780377537664444	0.727315776904716	0.69067954136511	0.75471675176596	0.627899676117524	0.66779372337205	0.711714495643944	0.693920078555243	0.718368183958363	0.818945104159627	0.727431770146512	0.688114050954224	0.554509028970181	0.685792552706193	0.544657890371255	0.731279110794176	0.587952580492279	0.592908046765075	0.545068343291879	0.556330189473373	0.571224209109847	0.739218797173231	0.682488060958459	0.585869880420568	0.609103163264676	0.516405464520037	0.424927444772465	0.462235143757697	0.570284904951686	0.539887894590967	0.472089367807944	0.171435761415814	0.51897355510062	0.0192036093108622	-0.0757508630199046	-0.120864174026534	0.503199745095763
FPR1	0.894178760191355	0.826469836687812	1	0.87220344706303	0.915820627989843	0.748643116882151	0.81637144960125	0.457608826320903	0.904596132009413	0.812560677747683	0.608369669535547	0.782937968968713	0.869644239816763	0.681089318653266	0.864210225080978	0.801708682052132	0.822191470317046	0.662240514975256	0.818855210684072	0.752668806415779	0.877680650121605	0.593520079691967	0.876578623823558	0.277760904217448	0.881587253428394	0.910766581600662	0.736211455272572	0.870555597973455	0.810177318047915	0.899124676952932	0.795933322924876	0.851174742731386	0.778724123768169	0.66157365083153	0.828069708688831	0.813353787338155	0.392717800867636	0.811796997940832	0.861369103946832	0.802286379251641	0.902173154939429	0.748664462586924	0.909932271400764	0.675156688857107	0.718194593900505	0.80148825593953	0.818933318605007	0.875241694005461	0.850737233204968	0.821886314270383	0.791182730151822	0.680670908522996	0.823249446371908	0.533020745539045	0.746091110991114	0.669736992585795	0.692069645154459	0.740200932555533	0.731044916279646	0.613965451505421	0.845163792870458	0.756857957837479	0.675971650903556	0.778474231847032	0.668911402643632	0.443158467191091	0.480435615093851	0.573440144531984	0.662006949127453	0.578798551893853	0.259624391951458	0.625225921503727	0.0301858729808111	-0.0630300648686089	-0.0936077934626986	0.579005440186956
CCRL2	0.812334205415861	0.774366910059647	0.87220344706303	1	0.943501468871865	0.913111687504077	0.744714782090475	0.42457812622565	0.934231369772513	0.66436901610831	0.588267455378654	0.837641618871167	0.773907209811917	0.67662135884335	0.788647923974011	0.734502430532278	0.753831808611861	0.607513345961404	0.792439571661267	0.731297617837757	0.855095618946686	0.632810954907001	0.771895771858831	0.397896879786715	0.917344630557056	0.878569966966577	0.727528110532031	0.877108781093642	0.815789251404466	0.894322549750895	0.700799294534157	0.808190249444406	0.806251447423572	0.687197623977663	0.779629855917798	0.740230147170489	0.476431512839385	0.845733709265631	0.837995556047993	0.634232079145066	0.824676062381953	0.704800961528176	0.951519539363976	0.517399066221443	0.76864216663073	0.792647199414249	0.879193317095035	0.858179786242846	0.756669074550939	0.788849754921787	0.619464675260039	0.607492026757218	0.759441747488704	0.58873682732872	0.777199204791945	0.647825005441513	0.704633467206913	0.764740685271082	0.717715782505425	0.683167248999399	0.915186018250427	0.625845130842276	0.613518228593751	0.930186033788072	0.773080137941673	0.450732371125363	0.554922769090841	0.584650834364555	0.748106375764952	0.593204538683183	0.349710435686092	0.629917749439727	0.127925266555815	0.034223430987909	-0.022485506396403	0.537526919761903
C5AR1	0.817966006576811	0.723355275843348	0.915820627989843	0.943501468871865	1	0.851104069965913	0.754349278571019	0.356591607503938	0.936491675732527	0.658394388818965	0.534774755431583	0.79975415449378	0.75664938987565	0.652097710520205	0.800194662948802	0.722835359849896	0.732587318097509	0.650197547157212	0.786069899082446	0.708182578351872	0.828412228014881	0.553359703989198	0.83547295931597	0.267572256398572	0.90146624778139	0.929761508102296	0.66719999440063	0.877751215007782	0.787280611304192	0.896100367239457	0.705242973794776	0.856653499040176	0.855401030529283	0.623915702639654	0.758906162648948	0.740332661701039	0.387892370918458	0.795808877414657	0.8487481914672	0.701778981079114	0.885023198733322	0.682671655658409	0.941254863070436	0.56332205814538	0.702658163965448	0.80377763250738	0.91956310690266	0.909935824229819	0.739209236883681	0.776090352981929	0.672371431582475	0.613511622554044	0.788544131170291	0.561915207089436	0.743870705085421	0.64748820388628	0.657082002979203	0.806533428802404	0.72634385672387	0.595567208685045	0.887788087408249	0.602821151759163	0.628965602371706	0.916804662945292	0.75930237449825	0.431164096796423	0.500622652827479	0.537783582551193	0.744759222929726	0.616279836184182	0.344942079384752	0.61822273564923	0.0761660674868696	0.00577776457271389	-0.0341348535434694	0.533587758364367
TFRC	0.760091822812035	0.630351765264989	0.748643116882151	0.913111687504077	0.851104069965913	1	0.721252883779305	0.496452505269732	0.843454468090902	0.596111741781798	0.647797219129042	0.880241536271239	0.733599776990501	0.754130691951169	0.742507825372947	0.743297370730027	0.719708282839113	0.675168623634971	0.770039469011249	0.810778986310654	0.840244885626707	0.761901115586019	0.695633523631297	0.564349572374266	0.904132405514597	0.807008098344857	0.760744990209758	0.861634281244159	0.855578079781362	0.788860531209315	0.668097608317549	0.808049572528371	0.721511349275841	0.791281482927993	0.791681498211962	0.763157924001835	0.622504189780218	0.770363502518569	0.713621764256754	0.532260918541069	0.719099041777418	0.740042516841356	0.910006401134487	0.433091362044657	0.724266129542714	0.760916428525447	0.751934657897225	0.827074546775663	0.653336067087302	0.728615461500986	0.502226932075221	0.660486924070058	0.770524060843254	0.71687067051891	0.824762227037866	0.707257401626068	0.793101229244169	0.750002861448441	0.754576267266765	0.805994801946869	0.913847568810196	0.601964400874125	0.693167934019517	0.881959226370255	0.893209570612036	0.537878541741483	0.710925207241285	0.657053833664266	0.833248792702592	0.676992290286259	0.487536921208355	0.732690824759155	0.343165350451148	0.210444321434339	0.15473993724719	0.63019035455167
LILRB1	0.942440274656937	0.759360219941773	0.81637144960125	0.744714782090475	0.754349278571019	0.721252883779305	1	0.759033331628093	0.823821619276672	0.906659591207389	0.853220489900844	0.854566327054133	0.920104259975313	0.84314862144242	0.936965325717423	0.9281198401733	0.902955252093362	0.797139011188356	0.921955486629977	0.826255315262558	0.922185311193807	0.825713547070415	0.860574113611898	0.614078950157719	0.859370009154625	0.856057768703817	0.814866080718372	0.919903023865778	0.86829422777432	0.783702548550886	0.936025485346351	0.894991646153918	0.803831575809462	0.863217844825801	0.919480906042101	0.936587109862326	0.689746323159103	0.774309233315863	0.776421376355705	0.842796262852902	0.824147614697115	0.925472523097971	0.827836892285319	0.796779428692286	0.479537758656009	0.883835171035855	0.548575993339516	0.827485922450549	0.841616913443664	0.82983923197706	0.818041393591898	0.739279712705033	0.86680842832775	0.645560623348564	0.894473391859177	0.845681497589592	0.871312189423441	0.809122681883112	0.773960484486594	0.640763812330815	0.836182520162499	0.890844049909613	0.856453283311297	0.65321300285121	0.75127509376109	0.526235711162596	0.679894000796209	0.726643487473905	0.682408771498978	0.572900608949552	0.266518491353322	0.80749464019142	0.21109259791652	0.0313091557826107	0.0108847934460384	0.785640138183511
HLA-DPA1	0.670349381373979	0.540894597570542	0.457608826320903	0.42457812622565	0.356591607503938	0.496452505269732	0.759033331628093	1	0.544717780476188	0.721048806475401	0.976789618927071	0.657072246281834	0.762137056868235	0.744433356798407	0.720215647961022	0.764451906690355	0.760547453683262	0.674840092872946	0.768493568772596	0.65738500681849	0.690493056867246	0.846850639542122	0.558131394499101	0.845094077120716	0.600099668164433	0.534413679417138	0.741109767271953	0.690449899350756	0.68510747920983	0.432399527069566	0.725099158429741	0.611078103651307	0.476754015082149	0.778247146963709	0.79848005464174	0.760197090136275	0.918450054115085	0.569680018769115	0.40169038261904	0.518599289817466	0.487018369531764	0.858617603713924	0.499091858601477	0.553474789716293	0.204802012295891	0.666982282377268	0.140044062716754	0.51745097893718	0.530593228539155	0.462286996979819	0.603250598548454	0.622883998036222	0.650302633954382	0.614709209031455	0.814105378978806	0.694058339677913	0.810661257822105	0.532624511908877	0.516151497520671	0.517903931613774	0.614587825455711	0.729367201676867	0.709070117333635	0.341009278209814	0.490427491171563	0.46412522464932	0.74193747580688	0.659684745842004	0.501201873709401	0.364860189948536	0.181553966173667	0.650369011769838	0.316659327831193	0.0767143371732829	0.0700524099836018	0.70501889814371
CXCR4	0.842614349662554	0.838086000176444	0.904596132009413	0.934231369772513	0.936491675732527	0.843454468090902	0.823821619276672	0.544717780476188	1	0.728601946615746	0.694579497005452	0.833225603541724	0.830759265147491	0.706471120589275	0.831629351717458	0.767065056948478	0.786796320327337	0.648939064366687	0.833719830035745	0.709411323523025	0.851474346823929	0.669831180663864	0.818009320354665	0.448400999631087	0.903244676011936	0.905026965377204	0.76784663451088	0.928025946579378	0.804206068125616	0.914132911249943	0.735092164809329	0.8542778967609	0.806728406206847	0.724741531274098	0.849729536532527	0.791067317011667	0.563401256094226	0.844104374408264	0.849178930870555	0.777751666728779	0.831105550147765	0.76941667413981	0.92101494618261	0.609473751459827	0.681916944673547	0.823771421678128	0.8497283558285	0.882180938891676	0.779986889839644	0.777586469401838	0.695815437773133	0.587027286140129	0.808479374305355	0.645309927074195	0.844704886790675	0.695945529876929	0.719824215327704	0.775749639246504	0.684929492467278	0.598273380602659	0.912534619569518	0.671802313180334	0.684127621453066	0.872998765143021	0.733313388526677	0.493173106952872	0.590047993037751	0.63003267875716	0.731588285598179	0.632087618103589	0.314587647097319	0.642093723602343	0.113237744415176	0.00325680669279786	-0.0356860815526098	0.600770889764074
TNFRSF1A	0.928156969482667	0.747974451132779	0.812560677747683	0.66436901610831	0.658394388818965	0.596111741781798	0.906659591207389	0.721048806475401	0.728601946615746	1	0.793040668559274	0.774616702625593	0.898668258853796	0.757558108898919	0.90348731002637	0.88562764887991	0.921563813750929	0.768324841383408	0.852714380384608	0.813647188374145	0.899968694216019	0.71204780009318	0.85319117045322	0.508133131600702	0.818707367513927	0.819684709646882	0.825022951552014	0.816497111045583	0.851841684419083	0.759657902169477	0.912313406004624	0.836624978135557	0.686565580007019	0.784782531427543	0.880350875005746	0.901210588733017	0.567759258585396	0.795730072567369	0.755460881621361	0.758521457098714	0.815715582571876	0.8648269375359	0.738560887363858	0.78117574809898	0.557216166215903	0.808556619169127	0.479202876597895	0.715764576783362	0.866043537826951	0.806692960938071	0.868270481004399	0.778859612934702	0.863147004740343	0.544790076203722	0.792238576270344	0.763042748117599	0.817018119750527	0.714064377437784	0.740207112394097	0.634393702443822	0.767667780207686	0.889497247824359	0.755452924859628	0.554144008654991	0.608980386036501	0.44024897943476	0.574305931679894	0.650465153704582	0.564857296383778	0.456726639541969	0.166425961897102	0.724211418361367	0.126975345523613	-0.0546691694788054	-0.0776427062423979	0.689015970325572
