""	PARD3	TFRC	EGFR	NECTIN1	TNFRSF1A	CD9	NOTCH4	NRCAM	LRP6	ITGB8	SDC2	MYLK	CAV1	ADCYAP1R1	TNFRSF12A	AQP1	CD99L2	PLXNB1	F2R	KCNN4	IGF2R	TNFRSF11B	PTPRA	APLP2	TSPAN5	TSPAN12	CANX	TNFRSF10B	RIPK1	LDLR	KCNJ10	CXADR	LTBR	VASN	ITGB1	ADORA1	NOTCH3	THY1	MTTP	CNR1	NOTCH1	EDNRB	IGF1R	SLC16A1	CD81	CADM1	SMAP1	SMAD3	PLXNB2	PTPRS	MCAM	PILRB	LRP8	NOTCH2	PTPRZ1	GPR37	MCFD2	SORT1	GPR37L1	SIRPA	INSR	LRP1	TNFRSF14	TRAF2	STX4	SDC3	TNFRSF19	LPP	LRP4	LRP5	AMFR	ITGB5	CD44	ADGRE5	ITGAV	LSR	CD63	NCL	ABCA1	C1QBP	NRP1	SLC16A7	GPNMB	RXRA	SCARB1	TSPAN14	SORL1	CD74
PARD3	1	0.827025559134004	0.876011737031984	0.726124973402035	0.891150436390327	0.814757647651581	0.841405197581808	0.902616925088477	0.869891687019842	0.889533634113954	0.783394660330537	0.763255672798205	0.655372255856964	0.695482234400888	0.750285711883736	0.713396438419904	0.861542116971198	0.807671787447601	0.731345130516773	0.788115416695123	0.816995655649268	0.868327445937945	0.924661621063098	0.840546422092731	0.875713525493905	0.868667700423877	0.870118499315392	0.8092094955436	0.906527383020171	0.675782825446711	0.840036787488869	0.896734270474118	0.876278006417315	0.644925104077819	0.879822987310023	0.830356253136301	0.758041482249312	0.79821779267877	0.872511975585347	0.777972059001267	0.852474706728373	0.845545812564056	0.650762801268837	0.788469310168876	0.875220738860268	0.854472327812533	0.893719725737336	0.842067534449161	0.868755114692233	0.843703774622916	0.823382071809756	0.836890642119963	0.809800515999859	0.840684878288634	0.87567418665394	0.802482401127659	0.890022331848729	0.891166614660869	0.82559181404563	0.797091957421434	0.433681723341907	0.850044537504163	0.760902902592257	0.830213403009536	0.877817398310587	0.864826220365484	0.881464242091755	0.846007827673889	0.560248786274749	0.777847264701142	0.870776594091188	0.792827201639755	0.758474093895014	0.786963204671845	0.86196776207658	0.829438827078836	0.854144654527742	0.891352179316835	0.50249738641291	0.826369750083439	0.872421590387543	0.794845878886627	0.428346043555221	0.797274072897963	0.760722994020392	0.800202948341293	0.606736664536189	0.285983393616661
TFRC	0.827025559134004	1	0.931850775021626	0.81303286414636	0.898718059467802	0.923364920050069	0.856195238414961	0.847719159726829	0.902905356920578	0.915779299499644	0.883456882698809	0.781185512695443	0.702995982956837	0.787516769882549	0.875754313565787	0.798024546004579	0.866804168725052	0.809401816317067	0.852450537254329	0.875978911587644	0.835043916891671	0.927425809752518	0.917699085498825	0.898374795558166	0.885175742629417	0.919557868868345	0.937596663467026	0.932041611010207	0.881778957370746	0.832617774286455	0.87647341666555	0.925763519565219	0.923213254140139	0.496616849951092	0.908331199760276	0.789868095491828	0.91145969855115	0.806448621831551	0.877746931849565	0.884098574168332	0.910182222314548	0.913593292528681	0.826463723923958	0.92727608479299	0.857397626838664	0.845859512898352	0.903959980981134	0.880750167125277	0.869174730068605	0.852473228427447	0.861643142911968	0.814436779122086	0.865370869844196	0.903028398017979	0.854575613594434	0.857739134400856	0.880509893743282	0.76543849701606	0.824759154959303	0.922280635424021	0.510894448851074	0.953365470146418	0.691275769481615	0.788333038726963	0.846246965991718	0.863753167405776	0.883424337232941	0.883636824806648	0.804704941106644	0.880703374795068	0.915300203217381	0.807291990098232	0.782008489608006	0.844865611075147	0.892416642613974	0.757397168632654	0.864473800246487	0.924114594899967	0.645417246407507	0.806993679843276	0.837688214928621	0.922980042817747	0.558814112127492	0.861172904606433	0.921322505638428	0.826183530411253	0.637651868216442	0.287348933963313
EGFR	0.876011737031984	0.931850775021626	1	0.778227218923877	0.902015347242289	0.898577088759202	0.848977147646216	0.850070470708899	0.895477423783969	0.93817971411896	0.812935809155665	0.734165613444302	0.570077746755033	0.809212765205549	0.759835995775894	0.706024849046217	0.865330327889119	0.836814221850259	0.786470450915796	0.896318021257492	0.793800859384926	0.944182806754214	0.936287067725326	0.878721429699734	0.905719642256285	0.949036517614752	0.915966446570462	0.906387174650448	0.867930779050546	0.851627784410794	0.932936737136113	0.944540754077875	0.894735606954121	0.505992965645326	0.877282976736493	0.822366575124724	0.817146971592652	0.814451313424392	0.917260738302572	0.805327363844031	0.938408557885231	0.935456508282342	0.732235905947004	0.851781260713682	0.867648449531623	0.875581001487833	0.914454057811294	0.880434478371731	0.836471305912259	0.864285772356648	0.837077551562778	0.842035283858683	0.879861049741496	0.900276116523396	0.912503207510036	0.854166550941456	0.869626660080676	0.813942019068241	0.909788647985257	0.868407884776031	0.425289538259026	0.940670109821392	0.696095897188863	0.806737052543614	0.843300570823516	0.929240842156733	0.92748773525009	0.858056646495333	0.703113656460137	0.878603722123255	0.90846568938511	0.77422967235194	0.710002018929018	0.86080953506495	0.891722862474927	0.792125517738583	0.877486928771813	0.904240625229593	0.512602434930225	0.830761729325746	0.81881253939608	0.884346533463438	0.42440118257472	0.844644997547001	0.853229298225841	0.845093860708321	0.58173280058388	0.248397047004999
NECTIN1	0.726124973402035	0.81303286414636	0.778227218923877	1	0.797170171586901	0.746824730339665	0.704220191223996	0.817870316389498	0.819260736738921	0.859770095098588	0.876468080259182	0.870023483274997	0.589257176031376	0.763789812646124	0.746898994922817	0.803165532423189	0.875767509689976	0.777417494992046	0.833746963713125	0.836292478463626	0.723755873089181	0.825423958782632	0.841348136171349	0.924147654534681	0.880208308959283	0.849673002431233	0.89599934233927	0.869310985907198	0.805254622595333	0.857473180120321	0.84996778150916	0.730539024786272	0.829584793937955	0.562204561005953	0.849749942937957	0.725942306378818	0.786275001977835	0.854952189133469	0.840808556055415	0.828746633630339	0.868055337742129	0.836166257867679	0.68799874799958	0.732070939480276	0.811697915751728	0.881736948289748	0.796168853572796	0.834578806249766	0.83078547453356	0.695286037010999	0.837025611965185	0.740939713213934	0.813673038553499	0.84768337048295	0.728614741966764	0.876111210552399	0.834567759197314	0.792245939031417	0.736733687563083	0.84031289774401	0.384554636433636	0.845654858780547	0.614644331029013	0.713299771772112	0.686488936781945	0.845503863752303	0.78509724189533	0.839267108227832	0.5457877856379	0.812719135780678	0.853873577279023	0.859694746187231	0.835382978143123	0.845492352725439	0.864373156701807	0.695678106490277	0.818117653272112	0.844073736434548	0.426527210480962	0.701891081673921	0.80934741238488	0.861515747837799	0.448465023941793	0.641366156547344	0.811184588239472	0.746573466169188	0.653104232288906	0.235784525954772
TNFRSF1A	0.891150436390327	0.898718059467802	0.902015347242289	0.797170171586901	1	0.89839046138121	0.889832488889017	0.930412886890772	0.92955460566526	0.952136956245024	0.857136337826454	0.853969421247565	0.701975638928901	0.811844735239857	0.834542419133262	0.817219471068687	0.909871248472375	0.87428045007577	0.824577630867928	0.882542053036158	0.845059152871241	0.953092111104858	0.96679277454146	0.905679290040731	0.936491356362368	0.924118267993144	0.936460634715853	0.901272030242478	0.955711377196536	0.791344734989611	0.92649774747453	0.93275341807279	0.962047578978568	0.63799348279887	0.948964872756313	0.900715790341969	0.834587529667051	0.890632135641355	0.946099137706215	0.85249012578245	0.912571637005026	0.937860960166565	0.692028853480522	0.836693950933276	0.965222624053958	0.941016035133882	0.942741007714955	0.876345444662154	0.918977011719858	0.837329311711373	0.890890643537587	0.839662171167418	0.900174323421023	0.933986342994038	0.910161537827361	0.93267700460686	0.950347820367881	0.885978299285884	0.874713146544201	0.868422314619967	0.441678629712941	0.919563983595833	0.810781989543205	0.887465919855483	0.923777406378032	0.917177394557596	0.926662662788523	0.911996497161187	0.612421549361458	0.876603189235247	0.946167874755939	0.868020727835024	0.845344163697533	0.845504067062668	0.945474679718233	0.859481824022548	0.940781121018998	0.938863724260874	0.546454851671524	0.889190901938567	0.915949098481537	0.880627855457148	0.441376632519465	0.810205203765484	0.868038044590951	0.837448896766791	0.672348533173185	0.300748366658894
CD9	0.814757647651581	0.923364920050069	0.898577088759202	0.746824730339665	0.89839046138121	1	0.821824764483829	0.795690520208978	0.834352262343735	0.87740270695156	0.876728490777865	0.711696956715069	0.762422615616357	0.770487659733784	0.871011895157817	0.758661580671862	0.824581379156271	0.794926656897127	0.784533328715544	0.873596566952942	0.725906703741887	0.938554871815059	0.890245755789886	0.836538051892338	0.875492927473122	0.890147112725885	0.887711176394055	0.880946909029986	0.848641424446089	0.777063819512097	0.85029886724532	0.905483285492181	0.884591918977916	0.585553153040071	0.866265233671902	0.797756961681891	0.884679707712148	0.813635395822779	0.877413804925358	0.838982463415081	0.864005630591243	0.884646493288916	0.722759968072558	0.92984830743885	0.893548111772415	0.841769421547984	0.905425275980826	0.82426744472033	0.818789378403094	0.770955766187254	0.811198843316169	0.749114277839766	0.825185957794054	0.8655257727099	0.791956669327073	0.819086118381071	0.890689169695573	0.756787712686422	0.801421392820078	0.866413676374533	0.405094330372057	0.881110880250725	0.640100933809941	0.804254339733578	0.891208697755855	0.832019595173742	0.863506907318643	0.811982710387995	0.774165938038256	0.838847517063428	0.90596836145802	0.738525986076122	0.714451189410394	0.823352861561977	0.829752856568333	0.806332839082752	0.897390229354892	0.904077609542039	0.563714276331833	0.857210188147529	0.801061586845154	0.835357575976016	0.464944351136209	0.822159324124956	0.888818178828168	0.786545374134492	0.544117002499845	0.193990614330529
NOTCH4	0.841405197581808	0.856195238414961	0.848977147646216	0.704220191223996	0.889832488889017	0.821824764483829	1	0.845871258664083	0.874286209400762	0.870299533557988	0.768982978775859	0.773986810606473	0.659104980676994	0.709455358404065	0.773129930670804	0.750871087533119	0.830922782334806	0.829705257350248	0.792706280764597	0.771929097435929	0.833553300933465	0.869375506857089	0.881893887005495	0.814663362133859	0.835446247160341	0.842663897856709	0.855029306724462	0.838557184968278	0.872587210698985	0.723411684099025	0.81033562122276	0.902738963475058	0.90958250761558	0.546488646045472	0.887146469406009	0.776823232043999	0.769054274529272	0.774351798436292	0.839581799681977	0.791934815004661	0.851230276913949	0.863945021235085	0.713256380617414	0.807074620261857	0.845484615610991	0.821472562653714	0.843507984841018	0.81777762307505	0.848862253307688	0.812046002423731	0.863915341726786	0.805692359965718	0.816938815976277	0.848001274483108	0.845033677003708	0.834839548582934	0.85264753568514	0.782589522566967	0.788171016017926	0.798314087495599	0.648740266742274	0.856718378219273	0.801382195479951	0.791309273358262	0.849944669860763	0.81619848789179	0.844381338653878	0.866863288686377	0.629912412567958	0.796720175400761	0.878874307868226	0.776853007554177	0.759094207116275	0.747676094596022	0.856452016192869	0.75430013913568	0.82939905861507	0.86397667300407	0.613295931267405	0.794422103295278	0.872721412152129	0.850596397473274	0.54400002730725	0.817824427966002	0.815467593531031	0.820229594969186	0.620751452159253	0.354983515003253
NRCAM	0.902616925088477	0.847719159726829	0.850070470708899	0.817870316389498	0.930412886890772	0.795690520208978	0.845871258664083	1	0.943678917170638	0.947321374929689	0.858414348431226	0.87827689626064	0.66998952683519	0.739332013113216	0.778555963963351	0.839142835577793	0.940853996223893	0.834636991360203	0.816022306951845	0.787386240760383	0.906261875344334	0.86440624870141	0.950782479750007	0.927809367745004	0.913604155300512	0.877496105307902	0.931179549370752	0.872709058024515	0.945639543916539	0.77603077689755	0.895823916324238	0.884527428706809	0.932912518070219	0.689264944261838	0.926648001470188	0.870614751031595	0.785114885047135	0.852035180143025	0.92289846155267	0.857180232735441	0.901418588559906	0.882239938297649	0.676845842214385	0.782545208082888	0.899800408620049	0.923149219662755	0.884222004432682	0.87029519325392	0.933179080000728	0.86955602187991	0.888952235956099	0.8798018989099	0.841170870795549	0.9211077045272	0.906681653707069	0.922160537547185	0.922807191032205	0.946825322532706	0.823759113846881	0.857916340497111	0.456325299509839	0.899477274757943	0.826838254447517	0.827474527650792	0.848304328412483	0.908123187417084	0.915536424773572	0.920218794112328	0.534209786885096	0.815312933463805	0.896772404339078	0.873904492278542	0.899219965378959	0.845635189443961	0.950157802386557	0.818539076448321	0.870402077567591	0.896346580740469	0.53199881134546	0.78251346879168	0.948634951287151	0.847008439481312	0.484254561114481	0.751650261922608	0.788224065240669	0.823741839857665	0.699734730731396	0.33308473885796
LRP6	0.869891687019842	0.902905356920578	0.895477423783969	0.819260736738921	0.92955460566526	0.834352262343735	0.874286209400762	0.943678917170638	1	0.956445611988518	0.865152312292834	0.838045723019092	0.658470662584833	0.728789069070334	0.774833751433535	0.826696908746397	0.91759094496622	0.841250232882274	0.839341588609764	0.826428770909787	0.917659137904732	0.898450538723237	0.956126868224298	0.914488801138071	0.920757538766663	0.890570757191877	0.934492059145597	0.930916244364572	0.919352786227495	0.82528872970631	0.904298951004559	0.913222201444592	0.948167113165011	0.611880856534004	0.921424906547781	0.792304601629979	0.842844408917042	0.791669248599558	0.931079009053973	0.896347674877102	0.939189481363328	0.917496855526564	0.771951992466644	0.848285689019331	0.872046384100234	0.907735855225368	0.879656807722258	0.904727289128174	0.927427401094346	0.878509294529662	0.888940684232654	0.918321150226164	0.846235308967439	0.951875869597253	0.897219472458245	0.908141811167752	0.902000790594463	0.878987972318961	0.814202206500625	0.906862429052373	0.528322706738681	0.928260111868916	0.794173622713959	0.778248674936445	0.832874703687218	0.891096354568997	0.933078527044657	0.931514182459635	0.647724693963907	0.87345046778062	0.914348353425508	0.831405177005974	0.852420806799135	0.847970107833256	0.941785926617177	0.799463887071773	0.843946764096977	0.894318680101939	0.651051091661079	0.760099896463114	0.923776960415098	0.893611436585071	0.562353770239159	0.807680447576386	0.8541312128838	0.84760462920555	0.691176114352898	0.352161389687133
ITGB8	0.889533634113954	0.915779299499644	0.93817971411896	0.859770095098588	0.952136956245024	0.87740270695156	0.870299533557988	0.947321374929689	0.956445611988518	1	0.900550007011797	0.867716756797688	0.663602564980451	0.807720034490398	0.805067703134167	0.8221190661555	0.943880329599018	0.858673183861068	0.864048121429032	0.885332854257059	0.878086669102254	0.940044689517095	0.972536959901941	0.961704057300624	0.964196255877089	0.942154078193601	0.973742415559239	0.948677089973571	0.939434022175082	0.867458223413753	0.956701947409895	0.923961881758893	0.951827915725427	0.645257949797661	0.953115377515678	0.863132880317378	0.843401363513748	0.886750283667414	0.957554052648915	0.87207262709164	0.970363792677603	0.954790879456864	0.727340288414395	0.853906562377249	0.933021715985977	0.963990494749142	0.938408952806902	0.907469870209482	0.925262690109994	0.885902358419766	0.926210939977992	0.903126824658133	0.903742091087673	0.971082077313094	0.899055048083938	0.933707907677326	0.946663782142561	0.923949948929781	0.882776686948643	0.910488074002349	0.483871306185211	0.945187616849109	0.778246804133285	0.851266084047257	0.870633544261307	0.950835947071695	0.943860775295512	0.942766459843851	0.627417009346556	0.908335921139134	0.948263176296194	0.870641631962811	0.856148091675901	0.913108350039396	0.968188911532581	0.846241242969597	0.918092391072177	0.942325316786321	0.557609937288881	0.838032349050477	0.921817545614571	0.910891009593547	0.489090238939783	0.826073007830015	0.879150937501323	0.89130179129425	0.69158189637564	0.339424245791658
