""	PTPRZ1	NRXN1	CDH10	PTPRS	NCL	ALK	NLGN1	NRCAM	CDH2	NRXN2	SDC3	PDGFRA	NLGN3	NCAM2	EGFR	GFRA1	NLGN2	LINGO1	CNTN1	PTPRD	ROBO1	LRP1	DDR1	THY1	PLXNB2	PRTG	GPC1	NRXN3	LRRC4C	PTPRF	FZD3	DCC	DAG1	LRP6	APLP1	NOTCH2	APLP2	NOTCH1	CHL1	NOTCH4	PLXNA2	GPC2	PLXNA3	LRRTM2	FGFR1	LEPR	NCSTN	LRP4	GPR19	ITGAV	LIFR	ITGB1	AMFR	RPSA	CNR1	NPTXR	TNFRSF19	CHRM3	IGF1R	S1PR2	INSR	ITGA3	PTPRA	ABCA1	PLSCR4	EDNRB	SLC16A1	ADCY9	ITGA7	LAMP1	ATP1A3	GRM5	NEO1	MYLK	TNFRSF21	EPHB1	PTPRK	PLXNA1	FZD6	BMPR2	ADAM22	MCFD2	FZD5	PDE1C	SORT1	ANTXR1	CD63	SLC16A7	ACKR3	ADAM23	MPZL1	AR	TMEM67	BMPR1A	ATP5F1B	EPHB3	TYRO3	TRAF2	CADM1	EPHB2	TSPAN15	GPR37L1	EPHA4	DCBLD2	ERBB2	F3	SORL1	F2R	ACVR1B	CELSR3	ROBO2	CD47	DIP2A	LRP8	ERBB4	CD46	GRIN2B	LRP5	KLRC2	ACTR2	MCAM	LRP10	JMJD6	PLXNB1	STX4	RXRA	TSPAN5	CD74	CLEC2D	TNFRSF12A	PARD3	ENG	CD69	ERBB3	ITGB8	CD44	TNFRSF1A	SMAP1	TSPAN14	TFRC	CD9	CD99L2	TRADD	CD2	RACK1	TNFRSF14	CXCR4	CD81	CANX	LPP	C1QBP	RHBDF2	PILRB	HLA.DPB1	ITGB2	CD82	GPNMB	CD3D	CD163	PTPRC	RIPK1	PLXDC2	CD68
PTPRZ1	1	0.847864802690426	0.909396690682684	0.903639250705631	0.883396778949206	0.911158301662506	0.979902737267743	0.941928753725441	0.935869167399816	0.956110391821652	0.96783822280987	0.922998857347939	0.959345745496904	0.919372723913204	0.587029828687234	0.92214179958981	0.929137266345543	0.894773842497262	0.847593709189693	0.908339020054605	0.894068820579509	0.979354495553394	0.969699520361827	0.934080418238583	0.92589208518765	0.915766095412429	0.888521282836602	0.743907137342949	0.941120718019543	0.901016817570341	0.960869021189663	0.659001277600034	0.915682785374848	0.910385533633841	0.873187872324538	0.925726219327357	0.962588032209856	0.918045080599052	0.944972400109199	0.839567110516687	0.897622496101788	0.576390027215865	0.909986645122027	0.903561602440716	0.952952383867436	0.673880840132724	0.940544442277754	0.959406859917172	0.658965669008307	0.953193244070275	0.920034860089139	0.928805812421972	0.960480812329381	0.734656634171249	0.746739936793896	0.885196679231322	0.859462356481871	0.940013558688238	0.935078089749312	0.78347776488945	0.902813770297805	0.909265185196821	0.970974172051064	0.92602805899991	0.885673786960544	0.927028921772774	0.953867087832707	0.905295450420426	0.883034382854248	0.93448860071631	0.636111973396196	0.804199807417847	0.959426598280339	0.871798030636785	0.922204608751394	0.80446240000657	0.921605119978978	0.92715247124839	0.958709133951322	0.972836983788006	0.928114793110507	0.951043964209598	0.789828266364423	0.90719859509745	0.955148628946037	0.964884790330847	0.945341282320132	0.951492435115549	0.817195368949085	0.928337994981995	0.933220741084789	0.916137396043854	0.94760863865152	0.899318797838564	0.781655568165124	0.840976192238123	0.942147805957039	0.644820044130214	0.892731693150933	0.789328007619946	0.734071541115665	0.966320127865924	0.911564339148161	0.926734550957223	0.851039713923605	0.786070596222323	0.750622233241078	0.857779192389728	0.963620237548764	0.720856855675728	0.873759150024025	0.970709317802863	0.945575576906219	0.867510178673827	0.944368798463545	0.955354041968546	0.853656420368971	0.894787212743925	0.55320943166003	0.915943631049142	0.877122597162067	0.843360192227261	0.920530858861022	0.957018029942448	0.863539690166425	0.914729774918433	0.876363733507666	0.558002713291119	0.58446390859634	0.877694087222774	0.914158935725369	0.470359059295729	0.0949524073651345	0.778105484082618	0.949469692937756	0.412244900936019	0.933064605673257	0.930547806961041	0.90578836095774	0.779848712269694	0.940178361352364	0.924749808297948	0.77980728203094	0.140989086050534	0.746605578556655	0.590842681096605	0.306816870316031	0.951220769235091	0.958175024262599	0.969346976357842	0.761495035311245	0.805839654073032	0.892274513285511	0.492670893329312	0.357137908653288	0.795746882447974	0.423056351789279	0.0877497044140049	0.339953425025868	0.32016876040669	0.932766723995283	0.471417017398819	0.388285261650971
NRXN1	0.847864802690426	1	0.868978201596522	0.880089187333018	0.855513039653746	0.665483092987507	0.862539609952936	0.688431424829895	0.806178052385939	0.925337859549514	0.771424478610921	0.919953855418593	0.827962396085237	0.885872555326146	0.771673025355013	0.746462754413886	0.857009359591171	0.964539630357456	0.928712050061345	0.868613670139139	0.907045464254828	0.811313519744235	0.788421249556061	0.855572858296163	0.677715159019583	0.875487997524172	0.655599085860828	0.434491155752339	0.918551996351053	0.770310951996993	0.816729021591299	0.887859528484064	0.684779422059287	0.846391359054894	0.900906469201936	0.677736486544313	0.750212789655033	0.832684988901902	0.777775273887301	0.746803087562407	0.757951491781803	0.790892409092379	0.921566484205038	0.93275553288522	0.813783814727935	0.41839373547253	0.728977017413497	0.756889952307979	0.867316479750902	0.701453402799358	0.692215937444453	0.722390913479727	0.732727054991833	0.690469311957123	0.591669943083861	0.752879781238178	0.601754654765055	0.784536389163278	0.766355997481352	0.734633429791676	0.837725818002789	0.733723995533225	0.819668606212804	0.672748721818908	0.601986990324886	0.698727723273396	0.836199548312395	0.741471092564523	0.578908801675436	0.676244816078125	0.814446742327462	0.872513750023501	0.756369133276777	0.615785199897874	0.786954013856495	0.878803335583238	0.754370843214381	0.737040913248645	0.770349922177846	0.843208351270102	0.917740164268436	0.750369160530994	0.761090069442953	0.691979819819029	0.774581760097491	0.795778239249237	0.738781078132584	0.834869464933934	0.727131044573398	0.704925978215509	0.803200113444524	0.678860207385076	0.801524846194162	0.815794109219242	0.795543585257184	0.819210840602273	0.749324263274536	0.741772941751221	0.747890142558227	0.867449054611156	0.67160925154161	0.812837573424426	0.697618826393337	0.803485401486538	0.587987176771908	0.466997230514005	0.546680237491024	0.766158514990748	0.796342862918598	0.887849410790383	0.602992870964349	0.818916933937129	0.820559969418406	0.911860557260665	0.742452484186316	0.860911205170518	0.599020202306091	0.758921121426922	0.767277441373207	0.750770249750241	0.731255287624795	0.526016992775984	0.845298452648008	0.78950764238793	0.744870074900843	0.654607067625602	0.802473658844241	0.316884549845698	0.486496870847724	0.669804140686573	0.701196202107823	0.331251138983089	-0.00896975634326592	0.692384452575526	0.707657467738547	0.171808853137365	0.705346628081353	0.892957596818008	0.715886629238212	0.69687574379267	0.777872324176549	0.708643366780052	0.554836734831801	-0.00315883832318931	0.655637319458123	0.394335585753995	0.142165259977011	0.780905871491555	0.740072101323355	0.769945357399107	0.722742741385951	0.621278669699503	0.778596307320686	0.30893985285987	0.182608576882372	0.566307218945326	0.238538701886074	-0.0212799654894752	0.188822705504054	0.138655340185692	0.790157825797242	0.270516774369619	0.214740782035197
CDH10	0.909396690682684	0.868978201596522	1	0.798736495407067	0.830421425256472	0.836417284871686	0.904015505707697	0.830078986272272	0.853343906831887	0.91528372397447	0.901523246032638	0.917659538231534	0.927529036642054	0.911963993774615	0.641227502078695	0.800877630417382	0.873727112636377	0.890601421936583	0.858584677679195	0.864103952905973	0.888851132200449	0.913039643173941	0.897263636808512	0.881420204623439	0.818995285137777	0.848467040086385	0.791044789827721	0.595765508779196	0.923174259458044	0.828673489277563	0.879734362107699	0.675281047133134	0.850853086154751	0.822657600880004	0.894030478870684	0.808080772607921	0.858368508939084	0.878731782124201	0.896002281684669	0.797081957882449	0.851477207385372	0.602259547780018	0.874701935039684	0.881324748236119	0.900039446585109	0.517645749595719	0.82736400438046	0.85983951772613	0.73062090504044	0.846591807862685	0.855177578687729	0.804192846239782	0.844446202282731	0.635954005823462	0.656487316676389	0.811210990975759	0.777874815359014	0.874475690718881	0.825484298103759	0.733409831379929	0.787373577826081	0.820359603024809	0.870163649958159	0.809657373391046	0.804200114025922	0.817196247443773	0.872611858530206	0.824505390487528	0.766081209095797	0.812494789706369	0.698092771664266	0.78702296199574	0.841632381221978	0.759868720865976	0.842020744726258	0.82423160900796	0.796117583956407	0.85233529691597	0.847361094162308	0.894111206868274	0.904250913262347	0.829429459095726	0.758826608716238	0.833328585168877	0.881170062991666	0.905886707426293	0.848485042651361	0.863214816039364	0.838489775474752	0.808998258258968	0.833094861809394	0.805546031133739	0.866125158253368	0.869588945561996	0.729679825969781	0.821352010374879	0.868447637632461	0.645997522395262	0.770207513041864	0.745596706157962	0.603711577956023	0.904860948967509	0.804622785597825	0.848276066580435	0.765204267264372	0.650995795200899	0.680438857465494	0.765008469725776	0.858619700768436	0.752448345874917	0.718212390767505	0.893501693408557	0.880589337259325	0.836815501121404	0.803168460265866	0.872340512582072	0.732148582645826	0.790952927788928	0.614925099687159	0.816484009620254	0.770430548699153	0.69398964892203	0.831321816292562	0.86264785177413	0.786588357785387	0.787778319267844	0.803726663906852	0.455174766007607	0.51801131668522	0.755854966975569	0.764826575241464	0.337700103611034	0.0406686411489505	0.675162575813671	0.848722425454502	0.281384428037295	0.85356114588511	0.886902023038646	0.825178123685869	0.681327634217593	0.872311607175482	0.837571135549065	0.640712747025645	0.0711813324044549	0.617001892807729	0.501852637834368	0.215413706667527	0.859216509153305	0.840320376305129	0.858011178489739	0.698129366946482	0.720071939930977	0.81829187922135	0.387431181446541	0.266631918048629	0.689763982368769	0.313360800868468	0.0213690713874215	0.271663681691981	0.205865229681469	0.837056612373845	0.373602299504983	0.289629723013362
PTPRS	0.903639250705631	0.880089187333018	0.798736495407067	1	0.843266001707077	0.763205162510198	0.899912419511407	0.811392751439038	0.849603178752231	0.914808552971589	0.837491873469084	0.861951738810954	0.828252094262148	0.838345785218772	0.678155473837239	0.856126392973642	0.818373217317523	0.896277102931401	0.824123360925898	0.903534158701013	0.857085352053427	0.856265216958243	0.848812429093215	0.853022910107782	0.79518012555155	0.906540436154746	0.762771964901308	0.623396905839409	0.861667504302743	0.796299210133116	0.873087722005361	0.756287355653728	0.775337791889489	0.871567587833179	0.831845289798068	0.815406113056755	0.863454619520592	0.848741132722974	0.831375388633191	0.762321936484157	0.810317063717113	0.640397435096776	0.895759487468471	0.88802871823819	0.844564485477633	0.642199416391475	0.826314781360258	0.83225280712766	0.688292485511542	0.819490623520256	0.759797901315343	0.837651972470226	0.830709941199683	0.684662331975702	0.721117684757445	0.805661324658881	0.746411039880532	0.836870853748743	0.848471154580716	0.683074672652497	0.873584992794679	0.828525460955568	0.890329746239486	0.81229864868579	0.731232818042372	0.771280121680678	0.886682270088647	0.787333360728222	0.760496739960207	0.794191387903087	0.666682082141327	0.818403795251659	0.886351754801001	0.766778856508637	0.809363895567737	0.78705534841001	0.825310742317212	0.816047123906991	0.867720625077476	0.906229847370139	0.906457191172632	0.879780847838837	0.72751339959672	0.775690665524013	0.860265297523953	0.832037781745074	0.829960601174252	0.893984453464891	0.721780160394079	0.827307649635841	0.840895895933947	0.774907888895708	0.856470476081978	0.799249393165773	0.746970220893908	0.758153054966346	0.801231004828273	0.691517790702643	0.84759080495409	0.819865698685809	0.689792852289495	0.835071664924694	0.815917448059549	0.846724223281969	0.694842690089208	0.630092043457567	0.64056938906647	0.805470130022413	0.858258917836361	0.779000908787501	0.778593794830465	0.883164810034416	0.870697334053022	0.893842057165081	0.860120844066558	0.878078074261866	0.774023928076409	0.840111455079971	0.547179326457913	0.828956251571131	0.800994972063982	0.696859651628001	0.867938984263951	0.833897915897168	0.802453035927009	0.788889518228567	0.85653480605095	0.441850185835854	0.55242616887741	0.778192471388581	0.840671474797485	0.415230671519604	0.0391006821659983	0.690293921631677	0.818401808098003	0.362666145487351	0.792739424552061	0.892045299113237	0.802858326246052	0.740707423824775	0.830994327869287	0.799184212846538	0.672918229816628	0.0987014551527233	0.695780570447028	0.490014406009171	0.237411474981005	0.845643475232361	0.854920423339775	0.869711293779954	0.702763440238807	0.704891946559982	0.848630332806509	0.41735627099638	0.289362514814776	0.674692242798301	0.349383955877729	0.0479262656721729	0.280414326542399	0.271021712732815	0.841972002296508	0.396530257677306	0.327132415046279
NCL	0.883396778949206	0.855513039653746	0.830421425256472	0.843266001707077	1	0.77681761497688	0.923302360684713	0.780719458682375	0.946996459437239	0.883824876448288	0.858574789037602	0.906674557916389	0.873617925400662	0.862189402360144	0.51039611895359	0.814786351913771	0.899639404656325	0.848940284634264	0.820579886059734	0.78609507854574	0.912374848636334	0.842285849687742	0.812818294594825	0.949180889756293	0.815826142737757	0.897364942555941	0.857060346469932	0.505499242383063	0.910512155480449	0.912478613639729	0.857760374207578	0.734083874538539	0.812395690697722	0.963800416054418	0.837673383601522	0.789154909227579	0.856765117851081	0.932843600011707	0.789885469025388	0.869589800866614	0.872590657257464	0.764899775212743	0.893719680088367	0.942773246848654	0.840081244767958	0.508382139064484	0.846557045868232	0.792203871822118	0.792556921058631	0.802165434231204	0.735779737872146	0.884941383325568	0.839509170731352	0.920450717735551	0.587062080394522	0.913436492805435	0.703125040981358	0.892478395084161	0.831831268608008	0.813857469018929	0.917643451536814	0.802391272214803	0.874685023058785	0.765791464373681	0.682090585508753	0.84912637569923	0.918288077560022	0.76300123038885	0.707873100805568	0.813444776864179	0.680863522135065	0.769104692424458	0.8636237904847	0.677388821137811	0.870150181803683	0.920108520653279	0.841077579984607	0.823598972714229	0.87914924634259	0.907780468041128	0.905142663617714	0.879152508346138	0.931430535577898	0.686122203576824	0.85829937972429	0.867368738983683	0.88455529118821	0.863572479400466	0.819190817470806	0.859983660451219	0.954693536684739	0.792008294882323	0.930020272751567	0.931504031941019	0.942514335657962	0.827492005512936	0.871079181818453	0.852482228475619	0.786800933266909	0.863845647605438	0.889420807514778	0.86955617332312	0.809365605260943	0.934800872616912	0.743683492087094	0.541846150066947	0.705160511810826	0.871954791595527	0.867832979197276	0.844098341258794	0.666357584227936	0.900376141711141	0.902181504034462	0.814864093164349	0.79041077047912	0.901487408095407	0.712468658316173	0.856803443979165	0.508793645372683	0.894853715670881	0.927626997427604	0.721354955498747	0.928831737619656	0.841035442281188	0.846118638374325	0.776547246589079	0.866808642023807	0.489552681301328	0.744782819292811	0.821248893809093	0.845224936769764	0.57678478871096	0.199125369802522	0.881724207856839	0.806427142758031	0.396080287098721	0.841198336982383	0.970849500955353	0.897423283060749	0.835624729118499	0.871656525094133	0.820702387251114	0.764532113291407	0.173223832633846	0.897805858676227	0.586930477102619	0.386654421402929	0.864691096997171	0.881638868077771	0.897720656084107	0.930150660174325	0.745321410431695	0.890570639072563	0.487697904451919	0.358745058645681	0.74394355067869	0.332454991471929	0.16422504392827	0.31833651978651	0.336257196280791	0.912179827311281	0.40373104472749	0.327224496646122
ALK	0.911158301662506	0.665483092987507	0.836417284871686	0.763205162510198	0.77681761497688	1	0.903502564100184	0.956536203754865	0.87576734774017	0.826587850924725	0.934249448172124	0.772878501876688	0.903830322849312	0.785310040871256	0.40205676256347	0.877534380720364	0.815325720248531	0.716536223592017	0.662547733986164	0.804662186012543	0.816630614028842	0.917521074423396	0.927155970451739	0.846480941382772	0.94756178518337	0.787000008874843	0.918921748808898	0.787159048984236	0.80671712591196	0.873831580377158	0.937265017748917	0.476393364765377	0.955273204958463	0.80881152228503	0.747834007297458	0.945012684468701	0.943195259052129	0.848107986944832	0.895380643460551	0.803635694335423	0.859502904014082	0.411855683611474	0.786643122302617	0.74715887694877	0.885951572572779	0.632974195163127	0.934538356776064	0.934654274485983	0.471663960680555	0.962902188555363	0.948202230063389	0.920154806940122	0.935710056111096	0.634173262657106	0.743291719584507	0.850537793941328	0.888237691566052	0.889466558723874	0.894871374515881	0.608083692258542	0.774946726194496	0.892743590854635	0.91047246055763	0.918454776533753	0.917265387437676	0.932181596293884	0.884639628285498	0.897335452788444	0.925701653696054	0.948531333718171	0.408250226610479	0.638146237814425	0.896503944998391	0.86803387077985	0.825538511348868	0.642075296859753	0.893197692684211	0.916546587246496	0.918285737883368	0.905703569122252	0.807653441575198	0.90567940110492	0.689653236839594	0.894738591728946	0.950222446075683	0.940994261395676	0.923117537129573	0.836565824479662	0.803010891547304	0.914439961796466	0.846102678859787	0.928387394007462	0.867582323239019	0.840102925741872	0.673470575242074	0.757101799960343	0.909781194314222	0.566663238394987	0.86761302646296	0.665448454791974	0.643027940081935	0.90523742142444	0.909825535140444	0.890298350760558	0.949741135503395	0.849482142839235	0.786696527237391	0.772473231650466	0.898724812039775	0.57045967587699	0.908197855277245	0.922449164065999	0.893932593420645	0.723889828698019	0.906354027560604	0.872810145811092	0.874479449071213	0.814784463834534	0.31496456611897	0.884663559750722	0.832734913872355	0.898150042173438	0.799151169151775	0.929551307552776	0.781571535689065	0.928323133761109	0.819590352145883	0.642190517489806	0.589828875272734	0.84592994145525	0.894870761335526	0.444433336478842	0.147025652692933	0.64588413055491	0.958956356065513	0.463978123170632	0.925978622628601	0.819374481489315	0.889985068047064	0.696362535530091	0.903552643191914	0.929965020696728	0.758095104641233	0.178812534438655	0.637602970152762	0.604140692714259	0.343290578006336	0.905109662385561	0.931153554207233	0.925886366173575	0.651562483891436	0.786452683030693	0.871017877014105	0.536773121085715	0.41082470681357	0.838886805615129	0.436391520185906	0.0888936650493408	0.383610083314435	0.352690250892524	0.870818782456016	0.525424912512505	0.411453639037927
NLGN1	0.979902737267743	0.862539609952936	0.904015505707697	0.899912419511407	0.923302360684713	0.903502564100184	1	0.922146848597014	0.94708924933207	0.956033240733816	0.960710756501033	0.925992064231085	0.955641546606779	0.916118979990871	0.563470351642277	0.910061202003653	0.929735966820487	0.893651341239109	0.831850204249498	0.873851270652452	0.916884488618868	0.955146084161523	0.938844500107141	0.948307521968383	0.924241090700073	0.917709894783915	0.904814808114533	0.677889213154133	0.938600216794695	0.921905002970276	0.949724615294332	0.685413465983093	0.921293194724328	0.934166350057115	0.886027017767859	0.904221715062697	0.952245264719778	0.955101215346769	0.928954495808255	0.865023015308865	0.904128293264356	0.627664743320483	0.934523372865629	0.921207886884437	0.934154514303967	0.592232663747809	0.939747858611082	0.930997915949691	0.697252392459695	0.932642594142872	0.879890372251132	0.940006712112084	0.951053710321255	0.782347873230803	0.708630112735934	0.922100122890348	0.832127713347362	0.952445859640059	0.930983953852005	0.77307187097232	0.916650780937496	0.907145755521605	0.961718131359136	0.894489292184373	0.834935063123729	0.925405783953139	0.964838775118159	0.882373555444199	0.849605044250368	0.923400618577741	0.631770317626407	0.803012620630782	0.942887499323112	0.827691948159207	0.91201776992718	0.839299650540393	0.923856198122557	0.926100306473166	0.960746775820992	0.968939961650306	0.933389143299603	0.943737829743096	0.823535615863634	0.87015033209803	0.959256863741228	0.958333355330493	0.943192833713442	0.927968041071122	0.8495726087571	0.923087331644095	0.947391844432382	0.903438157317836	0.964702209384283	0.92822451321267	0.828440099727664	0.853098696099503	0.934624416379638	0.736031807664493	0.882986206703148	0.836586003257163	0.794544368529436	0.959464737509761	0.899361213305246	0.958529370940574	0.86295329960046	0.733265551556205	0.770255464326976	0.864082499893274	0.943347538607011	0.764968353367152	0.834883372422735	0.970458316644335	0.945792229062278	0.864643590753778	0.92034196868369	0.961106523607912	0.832909033836619	0.895916108021642	0.516527302546199	0.935301278095635	0.914960775554316	0.833597311692013	0.922771097424053	0.936054385732002	0.857456758440217	0.90005984478509	0.910163664459151	0.568158558910226	0.656657576617739	0.882015868583924	0.906130363857299	0.511850491403901	0.139660873800291	0.804856015045221	0.932239589258876	0.419872026941092	0.919993074509633	0.960211727219449	0.922851975207008	0.80466228769135	0.941181344837235	0.922217215247116	0.787478257358248	0.161373225285029	0.78002049656722	0.600819647723419	0.34226352264366	0.940173306909226	0.950510125879699	0.966104686732344	0.80613773324533	0.793492318836832	0.932235475692868	0.523661508044884	0.381960618210287	0.830300662140756	0.411331496505284	0.0943058507699262	0.349322195298967	0.338232460348203	0.942746532176031	0.473643412482466	0.386634943822982
NRCAM	0.941928753725441	0.688431424829895	0.830078986272272	0.811392751439038	0.780719458682375	0.956536203754865	0.922146848597014	1	0.897019582141241	0.84943819763933	0.952804682703497	0.789793045949479	0.906113253462893	0.801114896919639	0.463025003877588	0.915736147435337	0.840548414552324	0.745256278094364	0.679904239170283	0.82754471187058	0.812986518727936	0.945300109828753	0.959669532102427	0.865612303227234	0.972073291378029	0.822825477762275	0.930657905128004	0.829965480031307	0.822132227207821	0.879243125014032	0.953643933532198	0.510833791049731	0.947521346044575	0.836940740391852	0.767394077281194	0.970498226221752	0.97449160374236	0.844591373243813	0.929259402044689	0.807535929054825	0.880544892262082	0.422860236242296	0.807457866790435	0.77052084321764	0.912997853167757	0.730884375708377	0.967341723370179	0.956669982561021	0.476773485312158	0.984073164284888	0.95186720265895	0.950431241533895	0.972057235873184	0.657536387933353	0.819801590215213	0.850698390724758	0.929918363898852	0.912991478599846	0.939853778634565	0.652352843111147	0.823057645024459	0.922502641986547	0.948565057730478	0.96864115891997	0.950183755591554	0.936775026024897	0.91460756360088	0.914380193906477	0.956450711971515	0.975602329368642	0.450938189809286	0.666477889548188	0.9344038211803	0.907303258324695	0.87752702161029	0.653141753827164	0.919288527529102	0.941786329023276	0.953283711730552	0.933524605533878	0.83204235405416	0.952087956642867	0.694619876134675	0.93196497899128	0.967066351251227	0.945301957760651	0.950871653010119	0.892558460386321	0.764865983146597	0.935147111575443	0.867838283942327	0.962005394129	0.886883777291234	0.832929220127831	0.689777645177733	0.769669360446112	0.924013263690127	0.535715399556146	0.917072871088939	0.679834834195065	0.646395214645076	0.912458501682553	0.951600304312663	0.895959006850726	0.931728015635892	0.899529276961747	0.807755463284926	0.793331163418018	0.940463455753224	0.569224244195766	0.932866435424996	0.938108768727477	0.903817749674074	0.769815873772931	0.957010545847817	0.898761997867078	0.886087877948103	0.866256447879258	0.356269953853323	0.906235793264158	0.842809524662359	0.927567187181088	0.834815245098816	0.9402612714148	0.825299485460374	0.956119679234667	0.86418380928343	0.642926165123559	0.548659043343974	0.897389281885705	0.931042530101059	0.47544576408569	0.116151564836437	0.669752840548483	0.973583071336412	0.504115273271619	0.953797303784136	0.842249931566757	0.906018327093956	0.728144593248794	0.916390170979925	0.945636626960237	0.815575967788442	0.181210164944233	0.685294827016911	0.63048991982362	0.339389164563865	0.946344038660689	0.959351810877637	0.955783293822002	0.678877900689127	0.822517552581489	0.872801577522918	0.546018192814845	0.424583931860054	0.86880832451147	0.495591368020568	0.107642165559382	0.397082989892879	0.364733017905831	0.900580936598936	0.550709488946004	0.456937469897399
CDH2	0.935869167399816	0.806178052385939	0.853343906831887	0.849603178752231	0.946996459437239	0.87576734774017	0.94708924933207	0.897019582141241	1	0.893820964689849	0.937150653748939	0.905361112477671	0.915095598382038	0.861100683965034	0.482789074528917	0.897767841955629	0.926102544275061	0.827748035915261	0.793809465534205	0.821942038460726	0.922046218090618	0.917445236897231	0.912153157647481	0.963012622768065	0.921019916582673	0.897675358043401	0.944330048683035	0.675242942310894	0.922284578469122	0.941930311974699	0.937678366088853	0.686017866038617	0.896659879209491	0.955135206989676	0.85729973980303	0.901346512792614	0.937532073921819	0.933747275122303	0.874330379076679	0.884153096600022	0.931072290755754	0.692317944746505	0.867322885534712	0.900594681502853	0.905103347193545	0.661110067439884	0.935195594882	0.892732843930079	0.714240253684897	0.902855921446023	0.854536778808335	0.954994909187204	0.92371444072669	0.874715238320211	0.736484964316813	0.951740342529854	0.852243586372527	0.943424345406293	0.913799191221394	0.819276700418677	0.910921857181765	0.886249494651751	0.939309029452787	0.878281276961027	0.824020109228721	0.930753410182229	0.953973715338979	0.844704573321392	0.84652123893352	0.913176643170357	0.653239970531818	0.743061812999457	0.925688688843051	0.797860173445697	0.926279135885352	0.852090651353464	0.903967466978433	0.897482561402009	0.937359299179916	0.948809782023578	0.922896487920318	0.943762607505943	0.908976197186943	0.803135597592	0.942921246752579	0.930072989815544	0.961905397914253	0.909796778823081	0.816140845652537	0.931614488199598	0.965644187220182	0.897484624078281	0.936671819289733	0.945827912136087	0.904701812304295	0.873951646160518	0.947540565426944	0.737851114282955	0.8743122739248	0.801518094664017	0.808805898476816	0.913219391665898	0.925330428967255	0.962682592850024	0.842709916313897	0.718029029108629	0.751098626031579	0.873450273133825	0.93970942329	0.770360824043005	0.798068159618855	0.943082842035829	0.94259591766596	0.814872640480832	0.878965643452253	0.91695680057587	0.802052204486381	0.912341852277392	0.482223248799958	0.916720564442006	0.940440566828118	0.82279318535326	0.939366512794599	0.931651059534829	0.850251483798938	0.860102952432352	0.908212975580829	0.523528709922412	0.663038344713688	0.901248414018281	0.923765520900132	0.518450647220951	0.132827076066646	0.846235916560449	0.906184888634507	0.41796502769274	0.932462896453966	0.949980427889947	0.939552169569808	0.803761884656946	0.934421701049001	0.912242872369563	0.80384551775806	0.141832724147483	0.863850239088183	0.60010619794444	0.344108222222294	0.932090332829759	0.947894981147924	0.953581782446949	0.893965390683924	0.816586935752956	0.8992213810315	0.474388352004917	0.342127923572388	0.816172344096385	0.387719321201387	0.13541352322939	0.313776082324031	0.304443462162819	0.945291593455704	0.427602271658921	0.35082037761182
NRXN2	0.956110391821652	0.925337859549514	0.91528372397447	0.914808552971589	0.883824876448288	0.826587850924725	0.956033240733816	0.84943819763933	0.893820964689849	1	0.919661896658132	0.953673733459034	0.946362118026525	0.954830805534025	0.639916802741332	0.85091709618702	0.932753861344585	0.946804795575942	0.918947921624441	0.899836784437857	0.890885652310999	0.940427665249049	0.909505819433149	0.927315289015368	0.851112839504332	0.936415929787882	0.811946676336414	0.584433187521586	0.961933262696988	0.85394157020239	0.907983993200983	0.750991365845065	0.849752863721953	0.889516756486595	0.916779218458229	0.81848302803545	0.881817408013883	0.8919091501096	0.920489618250587	0.831568432578424	0.870447892682743	0.659314182967232	0.952263901602963	0.924522974427786	0.916113162868184	0.531361815184359	0.864947238896749	0.878444424026894	0.764662815031639	0.857597480067683	0.833227058767125	0.857448437150699	0.883583221533778	0.728362795809681	0.672123213738875	0.864597985689733	0.755982132264483	0.917124333996911	0.875094569206844	0.79603755531173	0.905660270426173	0.879927700746407	0.917941637382791	0.820188051253659	0.773526918900596	0.854276978052126	0.907848530608045	0.866568997865936	0.76215394972136	0.83499515111559	0.75000235567879	0.882395971023083	0.884222919837132	0.779388113481451	0.893687728341877	0.825353406189263	0.870001327907245	0.86514930034589	0.891591837767597	0.932100091214096	0.940583052175157	0.874347044755349	0.790398547384783	0.843793013610168	0.901738106327416	0.914607101097491	0.874831274190689	0.904185747380333	0.791366396086808	0.849622464217358	0.906716426180913	0.8178327353243	0.909941120574152	0.896892983063702	0.787767325753116	0.865135267853297	0.89039523623041	0.695394007780467	0.823575283321815	0.813903462116655	0.743061232707777	0.938694844358383	0.813405854642601	0.884972817097764	0.753987104299995	0.647043312483834	0.668745968998084	0.790536945512408	0.908983160127321	0.811790289900223	0.749160917058523	0.932072938801156	0.910139253099245	0.878100049969983	0.867882569767349	0.923245908295971	0.758112728497871	0.850389676674767	0.681708679750002	0.858092976503341	0.843289702038532	0.71536250798204	0.885834443713632	0.905932565873157	0.827747150796789	0.824930056497717	0.85255537644257	0.465551310035258	0.540593839325647	0.809692625219441	0.833354890527631	0.452525156715614	0.0414241274231685	0.78984245843695	0.862765585403906	0.306346859511186	0.85873909549045	0.929896060112024	0.847510696645579	0.748153278266932	0.89907168659528	0.86223416510979	0.672867974482949	0.0671968989980799	0.717731762083897	0.501853063296722	0.223925186872204	0.899610150935801	0.876937262426006	0.897192219115186	0.76207472988899	0.742423874330347	0.858717594772693	0.425265401120314	0.282265890287955	0.721531681958657	0.336954779819036	0.0225918096967136	0.277726796858568	0.227061954130115	0.882162521953616	0.391174430795364	0.307778286660313
