""	CD3D	CXCR3	CD3G	CD2	CCR5	CD8A	CD8B	CD247	KLRD1	ITGAL	KLRB1	CXCR4	TNFRSF14	PTPRC	CD69	ADGRE5	CD44	SIRPG	CD47	CD226	TNFRSF1A	ITGB2	ERAP1	S1PR4	PTGDR	TNFRSF25	RIPK1	PTGER4	CD4	SMAP1	RACK1	ITGB1	PTPRA	CD81	CANX	CD74	NCL	CD63	SORL1	PTPRZ1	C1QBP
CD3D	1	0.770752480330557	0.958789728403116	0.934079105650648	0.788016456550124	0.65113889062612	0.607011490217593	0.663222640731807	0.49924235427623	0.560205399111692	0.541468005825292	0.931368759735413	0.484336647227418	0.753658277284834	0.802573029797053	0.725658642370743	0.657038631948092	0.283759488075532	0.623897086812358	0.531624500354671	0.367399733425626	0.818567708384264	0.514208567979235	0.698083861701971	0.668290837845295	0.61375454046248	0.572154046226341	0.561029228279306	0.505231685733027	0.459054420945623	0.654297418293982	0.7877549419722	-0.222508524333758	0.320470498527455	-0.096633029257603	0.149219388465512	0.340983360262623	-0.23210432354341	-0.248552969076394	-0.68190185811455	0.415784870565087
CXCR3	0.770752480330557	1	0.780635052780052	0.736291422446952	0.335160543569985	0.178286818597138	0.197498572814074	0.67227238428507	0.31230427039363	0.10283227863595	0.824475642026416	0.897638086043644	0.0683345805680058	0.525302762715807	0.713565069165761	0.646581288083479	0.240595969353025	-0.18051413998031	0.795675173659813	0.724905541305477	0.488859736839444	0.720569082935165	0.664276014949198	0.886042917191996	0.401974585225977	0.739953742464206	0.671633891003861	0.474708007566217	0.691840453939956	0.528596311810157	0.849104674129127	0.613785749118352	-0.0652260566121479	0.311848101137445	0.20888413425712	0.247098154473726	0.520582876339929	0.147045665179794	-0.0771242083053345	-0.446467618386792	0.635754103340744
CD3G	0.958789728403116	0.780635052780052	1	0.85810843986786	0.707315291229626	0.648848511575034	0.5467266199816	0.626572689243074	0.437662308644381	0.537030134917501	0.560850115528999	0.929006749729233	0.444708848498482	0.671432698922683	0.707929675634377	0.611700897012764	0.603698625491334	0.253273545229752	0.575331107862829	0.479762683344394	0.52619757173591	0.822165632702325	0.580522729639193	0.677116440850169	0.649996250867289	0.574869049037058	0.495175502551185	0.429057074744217	0.467956084337469	0.347122309332571	0.659170710368049	0.728536395660755	-0.27751370256199	0.330335703272411	-0.0994888613103402	0.155988736957042	0.261452000234599	-0.157275933429322	-0.273954989157175	-0.654828142540516	0.39824114188145
CD2	0.934079105650648	0.736291422446952	0.85810843986786	1	0.792289387260023	0.542800333919581	0.661854637680561	0.759165335871836	0.567855059387328	0.552281825787015	0.526452997848523	0.880850634173799	0.476781914227184	0.878184016250738	0.915134262411233	0.818237666081022	0.686258154664844	0.270128853997055	0.681239732714108	0.603093633666451	0.242746350933709	0.694286431986609	0.600971513111586	0.745633110476564	0.538698050294882	0.626423358541507	0.664129763780192	0.752329912943415	0.491710395715338	0.586692528403115	0.674398777843584	0.861991849443105	-0.00619116516543313	0.207409864028982	-0.0849269053773039	0.179253412129602	0.485235117970857	-0.236682693325369	-0.161028009507878	-0.652285912048773	0.471426828259799
CCR5	0.788016456550124	0.335160543569985	0.707315291229626	0.792289387260023	1	0.691880942103384	0.717403185628832	0.497148653522192	0.323295805720063	0.738454657914626	0.147873273687472	0.601255856039059	0.775150701431844	0.763491479721179	0.640728348797268	0.607893375573222	0.890127556698247	0.617136831396791	0.33694115470016	0.269785659059834	0.125220436962923	0.569457410486004	0.304643837433443	0.385376975150425	0.627684095333824	0.334478765466646	0.422773227446216	0.552197178875849	0.264483018426503	0.3405774025786	0.334023991407397	0.758502495119262	-0.160989827015762	0.0909480258847159	-0.300972984428179	0.114088187576378	0.194647758582438	-0.463783392256563	-0.232538036047042	-0.64427228499404	0.128298975360431
CD8A	0.65113889062612	0.178286818597138	0.648848511575034	0.542800333919581	0.691880942103384	1	0.80282390980762	0.402891157552316	0.560837733366261	0.749088162382312	-0.206680540969257	0.459962202387841	0.669851117789676	0.512462898538218	0.283377998376498	0.165232120449415	0.636942555276164	0.592680648513915	-0.0683824732608993	-0.252447532671906	0.138933682087634	0.47522066229961	0.0773918736661438	-0.0135178327926561	0.77308015029417	-0.103808932198019	-0.12673582593177	0.0508562554928119	-0.237693817522823	-0.141002832359625	-0.0531816502406091	0.392412812054934	-0.356314009591025	0.192512063313077	-0.559160623458549	-0.181926477106342	-0.278860591919255	-0.548654123719166	-0.472589897820872	-0.593511205360214	-0.218549114488608
CD8B	0.607011490217593	0.197498572814074	0.5467266199816	0.661854637680561	0.717403185628832	0.80282390980762	1	0.605697095033841	0.702190799732902	0.883700249247541	-0.230806084194665	0.421351465714285	0.645213337240566	0.764946413730145	0.497503678648496	0.342890115123777	0.77990635608406	0.572907742274669	0.064304756856341	-0.0685174192583603	-0.0453141327491245	0.381908276467058	0.231444869743624	0.133307273650011	0.708832372874984	-0.0751112105452518	0.103381920782664	0.376503709619909	-0.237738134450071	0.0740348374633112	-0.00430459885304944	0.54703648433327	0.104178633801726	-0.0896015375315725	-0.596433287923975	-0.244649932780673	-0.0370699294515545	-0.584331293990414	-0.43724820768296	-0.559933917672719	-0.0399347087087463
CD247	0.663222640731807	0.67227238428507	0.626572689243074	0.759165335871836	0.497148653522192	0.402891157552316	0.605697095033841	1	0.53751762017685	0.440858615498875	0.400102813765028	0.747438294974729	0.40176264169123	0.772889009587828	0.745083868403984	0.50449818999179	0.492994124126906	0.114768520541626	0.499800192973834	0.3887391947457	0.274289375390865	0.541760853804154	0.649093307838368	0.692707191186917	0.646764259749284	0.292865813911138	0.582146695326003	0.528528095397048	0.246970595788911	0.362681327500051	0.537749918434573	0.593327780648422	0.185267226518633	-0.0328361827373505	-0.267487630262662	0.100895193635333	0.317394609879372	-0.236709813425347	-0.299394280443222	-0.561916162059922	0.354602520357388
KLRD1	0.49924235427623	0.31230427039363	0.437662308644381	0.567855059387328	0.323295805720063	0.560837733366261	0.702190799732902	0.53751762017685	1	0.440944005811002	0.00173129398245408	0.418933805150224	0.0760239109298075	0.651976960965537	0.56640636403379	0.418593480160682	0.239247465144058	-0.0178516001089102	0.234298115469604	0.0966728328314799	-0.270770837799654	0.247926537382519	0.175057087669783	0.225244558983349	0.42208878963951	0.0971857324602146	0.0995611932722526	0.423816745803214	-0.10411435520011	0.252642410891749	0.0879525013714487	0.38172490637327	0.17652429590031	-0.00897965130910248	-0.291396141616878	-0.336794372445123	0.157754435303847	-0.328188235400384	-0.18157994231266	-0.362089410205287	0.114357165883034
ITGAL	0.560205399111692	0.10283227863595	0.537030134917501	0.552281825787015	0.738454657914626	0.749088162382312	0.883700249247541	0.440858615498875	0.440944005811002	1	-0.25533273266511	0.364958176341025	0.7305114708135	0.633100115978774	0.363876403812973	0.230937102225638	0.867415354502324	0.738113702461654	-0.000318564390620698	-0.0900976058581143	0.0962466554771744	0.46151549796109	0.248035328472454	0.0678068756475081	0.685906795228938	-0.118137308976605	0.0954506329066382	0.259139617731888	-0.211560254937297	-0.0501220495239868	-0.0511065818933319	0.488216045628757	-0.000198011150488429	-0.132627499978411	-0.603750264465979	-0.174682001667648	-0.172701276402001	-0.597263179455511	-0.419583345755771	-0.544464635036982	-0.0946611409183693
KLRB1	0.541468005825292	0.824475642026416	0.560850115528999	0.526452997848523	0.147873273687472	-0.206680540969257	-0.230806084194665	0.400102813765028	0.00173129398245408	-0.25533273266511	1	0.726440793304155	-0.182042860785234	0.302510299231585	0.63244905982168	0.642626817994893	-0.0262552496339724	-0.402294220088423	0.842957589990487	0.887577169548608	0.454655046663186	0.514082678232542	0.621291357642846	0.895443447138532	-0.00132908256182669	0.892875603400036	0.766623756822626	0.510083937960116	0.892179600653617	0.647873900418469	0.930048345903394	0.479332303739919	-0.0456931638228845	0.30643902849367	0.528636114559309	0.420743044511201	0.665444328360582	0.410453305095897	0.223248304226466	-0.210181306826358	0.720207917614214
CXCR4	0.931368759735413	0.897638086043644	0.929006749729233	0.880850634173799	0.601255856039059	0.459962202387841	0.421351465714285	0.747438294974729	0.418933805150224	0.364958176341025	0.726440793304155	1	0.343539694786628	0.661586822869125	0.79863712887198	0.672088831549379	0.474288914921322	0.0879752104934611	0.701995091653589	0.622575950976518	0.520239831225722	0.846380413101823	0.646916181502233	0.831905910368331	0.581209883839584	0.663270214035743	0.658699700473242	0.510629746482787	0.600583838645451	0.457157830062349	0.800746501161544	0.711016319026632	-0.188490125531976	0.379799129577646	0.0269770108870165	0.308557809053555	0.392966944256758	-0.0535769558628141	-0.190508698384735	-0.62906984966049	0.536471982971623
TNFRSF14	0.484336647227418	0.0683345805680058	0.444708848498482	0.476781914227184	0.775150701431844	0.669851117789676	0.645213337240566	0.40176264169123	0.0760239109298075	0.7305114708135	-0.182042860785234	0.343539694786628	1	0.495714217301505	0.28552467939991	0.197375792749794	0.849085505930391	0.79942872351076	-0.0139952946552373	-0.151509697269967	0.22620824427703	0.446011234309447	0.119735683777619	0.0626322611805805	0.645297483352082	-0.091317853875811	0.129857217136403	0.164977784822239	-0.0325480030907056	-0.0285426881163266	0.0505940085289699	0.493268596380579	-0.222674633939403	0.0879003955731108	-0.438956965232488	0.277650835653185	-0.131064708656663	-0.500379102163859	-0.285870470607183	-0.544867223279245	-0.153886814775992
