""	SDC1	PARD3	EGFR	F2R	SDC4	TFRC	TNFRSF1A	PVR	CANX	ERBB2	THY1	CXADR	LRP6	ITGB8	PLXNB1	CD9	CD99L2	NOTCH1	KCND2	APLP2	CD47	PLXNB2	SMAP1	PTPRA	NRCAM	TNFRSF12A	KCNJ10	GRIN2B	TNFRSF11B	ADCYAP1R1	AR	TSPAN12	CHRM3	INSR	CNR1	ITGB1	ITGA3	NOTCH2	ADORA1	TNFRSF10B	EDNRB	HMMR	RIPK1	ACKR3	NOTCH3	IGF1R	SMAD3	TSPAN5	PILRB	CADM1	LRP5	VLDLR	PTPRS	LRP4	CD81	LPP	TSPAN17	MCAM	SLC16A1	PTPRZ1	RXRA	LRP1	LINGO1	TNFRSF19	TRAF2	GPR37L1	SDC3	MCFD2	ADGRE5	RACK1	SIRPA	ITGAV	SORT1	S1PR2	LRP8	ASGR1	ABCA1	CD44	NCL	ERAP1	CD63	C1QBP	TSPAN14	SORL1	CD74
SDC1	1	0.63126772599409	0.56977096339381	0.726095189133004	0.671264854305569	0.53635919957936	0.589753160887912	0.704269903033031	0.60030830622952	0.467876467361368	0.403163420526061	0.700503515923419	0.492043941400842	0.444583579727484	0.445460277669675	0.718944938077741	0.587792505721191	0.529556001323648	0.258477410242114	0.743936940923307	0.736856544703981	0.714492386876557	0.711151527943116	0.612195993129024	0.581592423445901	0.732532051644462	0.386535403456603	0.202884320914445	0.614355279250279	0.270221244226968	0.378771299912126	0.417690182456229	0.4061084961015	0.694567819724165	0.405754726693841	0.766402717361795	0.520567386211543	0.515935292729837	0.353782019092824	0.792989569580161	0.254507390597449	0.451681492022285	0.592101863628514	0.644874245055048	0.466944649463517	0.473340973033564	0.379969527900438	0.638037041219986	0.589933997011812	0.398927444636722	0.587070138502021	0.402848474653033	0.611662601373272	0.462440117283732	0.642836192671915	0.577571951645758	0.628449423033441	0.497509212128801	0.657456043485326	0.45373433885597	0.667058367637119	0.633980530746387	0.458969166439631	0.423089542458365	0.654035637149174	0.489471970109748	0.434744687682876	0.690962500293846	0.673080114596366	0.824369846315993	0.362732560524183	0.417086450163566	0.580936666044889	0.486907078912151	0.590012895713085	0.638623419577791	0.384460104284815	0.310150446735422	0.718843177219644	0.441288742043236	0.792904080629301	0.796456743653316	0.620928405492592	0.336384259242354	-0.00603536835452308
PARD3	0.63126772599409	1	0.906466905030841	0.751672916993363	0.487549359575871	0.650198739868815	0.586116790674291	0.678775645303654	0.700150890224372	0.509562864522284	0.508853842027624	0.69947901674343	0.784336827704358	0.699947361376248	0.590609328365263	0.82156850902367	0.598798286988492	0.846577565444555	0.576234938055113	0.685683483188627	0.820559895766658	0.550106100886055	0.859373612717117	0.810567230138138	0.597747981389242	0.646518733397708	0.626149319085726	0.594993370585654	0.718160030922538	0.270547211010139	0.393647067286749	0.801428405574324	0.593456967108586	0.701132039318263	0.47822167716393	0.634990199431869	0.368277286830582	0.745892044241664	0.405139554551548	0.65919925300824	0.480813532832497	0.754497442060433	0.758385398533719	0.79848930154811	0.631797039699361	0.726788809975581	0.393297899326532	0.805518454603086	0.846553891701845	0.453044208636132	0.846356727357685	0.391773531203052	0.858294911066822	0.754878455275574	0.642973325932484	0.641057322148967	0.69395535838331	0.709543735625213	0.887456439207976	0.745673610315563	0.807571289472525	0.746145561318402	0.647972517655796	0.73908577222355	0.827129557769034	0.563275907947528	0.591776189753727	0.707602216016411	0.549482654148526	0.75655088915251	0.339239823312679	0.544488593124686	0.757082056055621	0.75165025937733	0.831946638104645	0.682711366343319	0.368542750600228	0.193608019061387	0.91476913754361	0.5044498605999	0.623919011894185	0.795105653571189	0.788881513300849	0.279734184394499	-0.0143657965211021
EGFR	0.56977096339381	0.906466905030841	1	0.745045971612026	0.481361518592563	0.673475820639713	0.58227073866426	0.701967309561103	0.722682875066365	0.550111648969037	0.547199506766655	0.708805278386857	0.867219697809809	0.797642937773477	0.650329650556225	0.811201810659929	0.635781234429714	0.915100801248967	0.680374694821695	0.663227713389233	0.797077047672135	0.529649440796022	0.877684900838588	0.845568832853376	0.624094189717494	0.64587715905091	0.71041699340332	0.729968103229169	0.71144797092077	0.287214561995138	0.413240657615356	0.886574286002441	0.688742699615652	0.75248758343221	0.497509422368628	0.612241505218023	0.375817191398456	0.778999240051623	0.441967642034091	0.707382396622483	0.559001631618825	0.657591479508179	0.775053449955637	0.810497100677957	0.685725884987012	0.803659365198544	0.422160719926071	0.820782108695416	0.833272420444779	0.481051258230847	0.880683136621297	0.438433216446371	0.909501629132514	0.815206707128976	0.659948590097156	0.664936069276993	0.699307977464792	0.721718444931533	0.922732064815292	0.814166171281882	0.824279776371613	0.774536178468081	0.718695145835033	0.804885991976892	0.809159407811655	0.619041952278871	0.640974672332574	0.702429399118243	0.556776376142672	0.716359296709343	0.350581376288477	0.600299099304284	0.778172235730303	0.816771256765883	0.850107245916552	0.708066954030067	0.398868359580787	0.197826328394369	0.923387517496387	0.521971029749749	0.570838252440152	0.771757085600846	0.782949596988079	0.282866164294908	-0.0225857756042564
F2R	0.726095189133004	0.751672916993363	0.745045971612026	1	0.818402369190807	0.875087058943612	0.892202060124542	0.900712583245489	0.944463989642546	0.834421040987853	0.332394049469619	0.644148940864925	0.639288753066966	0.80036019752108	0.769791617668432	0.790941564980933	0.891872798328125	0.662738102975232	0.299597835124046	0.948625249905587	0.90456098092365	0.889652497878674	0.878368525745964	0.914433538516095	0.882557619620089	0.86736029743203	0.756582272036549	0.318467378153614	0.626226930872385	0.649132538248107	0.772743343522777	0.635712601040844	0.411849751382213	0.765495224789907	0.755339753863351	0.906075567787336	0.763963338514064	0.897632995060034	0.784374770819124	0.832718427615222	0.741898415398137	0.43398528473169	0.916192923672736	0.697933273882783	0.834933868040452	0.786014625944337	0.766091288519479	0.845830515904224	0.844621226703098	0.807911304928034	0.842423263761693	0.770970142902796	0.800919116108526	0.738707934011048	0.876885481202608	0.917828016686847	0.882438211602674	0.795393718286393	0.832746147815724	0.822227462069251	0.873207466880555	0.933137120342089	0.43787064063247	0.781390131503384	0.602418887926972	0.8548547133531	0.850285833138153	0.964565523628005	0.8784348897352	0.794499269658991	0.734005914647486	0.83991845414194	0.893170727546348	0.542186458895262	0.650229031413559	0.747804904558671	0.787709092767484	0.669600974561991	0.830315642769374	0.79209098820848	0.863126212166448	0.788948576796693	0.78634114674477	0.677206131430194	0.025102071470529
SDC4	0.671264854305569	0.487549359575871	0.481361518592563	0.818402369190807	1	0.66101690116858	0.82858724427858	0.78900929499257	0.838210034831563	0.842528035235357	0.227721728606623	0.389730255390239	0.428565103873891	0.653819185549387	0.688167846849948	0.542994562994391	0.85867757437011	0.425890012994933	0.0948850589799184	0.854637164214034	0.775121392771798	0.913828312480308	0.675364504877913	0.733574781561075	0.840905297348981	0.831094957907298	0.671960382281645	0.062627094705037	0.342993699479878	0.616413669634494	0.794088792714323	0.378154733614226	0.148460734971419	0.677284234470241	0.665298948657496	0.862014557375389	0.924482176228373	0.76221002073103	0.746817667282385	0.793476048603494	0.672448725025426	0.278155640183227	0.776674021218748	0.395002107732402	0.737253681273821	0.63839030692523	0.774479466407452	0.720445488980112	0.668450591623327	0.80651941239121	0.627023559901959	0.790631525772125	0.567658381880684	0.541996364365876	0.775568468374427	0.845951663550192	0.727066174004766	0.664104902600833	0.598668997633655	0.612580431835907	0.702277666710997	0.760868693493013	0.18639040759478	0.603450038032303	0.427535949764937	0.829749661627098	0.732975572063159	0.8374605635924	0.836412445810787	0.597955583379612	0.739637038577281	0.785037046252795	0.786826621147625	0.307008383886005	0.405986660174229	0.663173372934669	0.791312557794747	0.77749571774232	0.591174729043384	0.764871089991629	0.726027977372838	0.577124925516117	0.55813319747025	0.726369123070132	0.0545491387140373
TFRC	0.53635919957936	0.650198739868815	0.673475820639713	0.875087058943612	0.66101690116858	1	0.861938859141342	0.820137289566329	0.899858055733207	0.79886663649845	0.147508466768522	0.507113876479902	0.53784418502039	0.84502583628569	0.698044648649208	0.698923002166394	0.795107754321944	0.55076756664921	0.215109159115991	0.872700359600773	0.805928763306875	0.775415432047705	0.797242401248458	0.903191204723993	0.816245485629004	0.751303181103942	0.692561561975471	0.393846929184335	0.614227730874225	0.672090918175051	0.748475175602713	0.602969794394065	0.391178393860676	0.675035394223989	0.891170012148907	0.813807696987509	0.657498117826636	0.858284227192531	0.817702943082998	0.651371759496461	0.780659044137861	0.239800669400136	0.872643377940661	0.65961890211808	0.811183660359082	0.743708431892503	0.69396354919548	0.748886035062257	0.754175131990808	0.77682765346205	0.762285577685388	0.759170394071996	0.724966537985964	0.714701711086854	0.832523337755072	0.875835772308766	0.79238063092196	0.685079885750392	0.777741786733771	0.863168650785772	0.821919567854332	0.922253864454345	0.319892130889109	0.790925070845179	0.414007590101609	0.833267666892548	0.890889751233918	0.898972510128944	0.816295481448997	0.666370829439571	0.734498004402317	0.812278389591085	0.847386996931971	0.40219904146635	0.572372115050532	0.701129585072529	0.751541412517976	0.608503144548011	0.727230529082701	0.76895585504032	0.799750168525774	0.660693390165147	0.737920936250982	0.665207508341973	0.0678407225601575
TNFRSF1A	0.589753160887912	0.586116790674291	0.58227073866426	0.892202060124542	0.82858724427858	0.861938859141342	1	0.895927096406174	0.933401066152146	0.932011184230919	0.151858071376983	0.40027409995452	0.42735376888242	0.716208153108402	0.810685036470703	0.705219181128132	0.924628439916671	0.486308585301096	0.0868049058936993	0.896588955618811	0.87398943017521	0.904482167229231	0.811601472129652	0.879890916468405	0.81759043449549	0.854709529129777	0.746517153761382	0.199712969657225	0.50323143929102	0.803791886567239	0.879672253505335	0.562473674630163	0.165091835969693	0.636789168539793	0.829705037484381	0.849752177608294	0.812802589739951	0.875667549121145	0.906299695520094	0.718652821728381	0.842815097729901	0.291912137493867	0.859142181674277	0.559998168643824	0.893854237439455	0.704773320643166	0.864287694333488	0.82745677277509	0.763746835362526	0.917800853036391	0.757254105402267	0.859224917044697	0.641689116847663	0.677701090123883	0.93906602107775	0.878075647367498	0.859106814674875	0.766198346077904	0.712817510638857	0.740150126525085	0.813609888030345	0.904725897006598	0.21282040969802	0.783009403789395	0.448654037073799	0.93288309120823	0.922192490341551	0.933879007603878	0.858282414375275	0.701948337968984	0.869183252039737	0.882699686776256	0.882996850634273	0.312434860625939	0.483400678993459	0.723148065964871	0.879840749473124	0.81417936058413	0.660675057387723	0.808608110216192	0.844199106615782	0.687072077678321	0.699080487022992	0.817186807570266	0.0998066888650988
PVR	0.704269903033031	0.678775645303654	0.701967309561103	0.900712583245489	0.78900929499257	0.820137289566329	0.895927096406174	1	0.901628086760175	0.832902788177468	0.374720371403279	0.606396055907047	0.598397487908863	0.736241020878879	0.814834783357225	0.772301567370308	0.879330910827897	0.638724617810468	0.306961873628594	0.880576582970303	0.883781438454315	0.852118394602367	0.877465638352833	0.880835432282029	0.821933444855896	0.836666172301051	0.75602797384491	0.327078947654986	0.586876183275661	0.675248136603119	0.753447305976667	0.672830673040975	0.364990747457597	0.765970450338919	0.729835584778448	0.849314961305554	0.741322105830277	0.848406923479361	0.778509530826364	0.812398681011764	0.75208265331521	0.348444907420081	0.849819498057742	0.653942695554478	0.845800953767907	0.760324549661095	0.763133502087624	0.847704344894082	0.78241999103062	0.808011319863459	0.797162363949983	0.758044531638374	0.741899519477646	0.719896207262233	0.895402651756524	0.8575069986801	0.844921179322985	0.760813492354655	0.802386227313385	0.767477783205269	0.867545935460901	0.89648501133266	0.419895204524572	0.752409266479134	0.591707737551965	0.867772345588207	0.83231621261325	0.911989991339609	0.83620080940997	0.778729317644164	0.753726083074073	0.825240936008974	0.868076290748184	0.502328150630256	0.628765598425226	0.772047334084971	0.774406256073416	0.678586311720219	0.782155772351096	0.748041818476394	0.813133274480195	0.784412805050507	0.751988340591671	0.692953933156482	0.0532845025659584
CANX	0.60030830622952	0.700150890224372	0.722682875066365	0.944463989642546	0.838210034831563	0.899858055733207	0.933401066152146	0.901628086760175	1	0.922284559099078	0.273086845821306	0.509158077234869	0.635176385701394	0.869412696998223	0.848767375785283	0.699485136908492	0.94388177985308	0.645036277581087	0.297872099997031	0.936075963919016	0.896561138874954	0.900118918491412	0.862820169701203	0.95568884394276	0.920302184919617	0.826215555519753	0.845265339808767	0.339646437367569	0.509854676987097	0.758842701568283	0.849035080439982	0.65862052611624	0.340934089203819	0.767393765081259	0.841536786764584	0.883857047336107	0.809719284047594	0.962576263953587	0.884195577887848	0.786631331134392	0.877207184418451	0.377203225413974	0.953761415645612	0.608032058234043	0.91702794207473	0.841990778518818	0.86182007605083	0.863245397482822	0.864460306770771	0.910849884258041	0.846338422707509	0.872298704087211	0.77505325894085	0.793419907669693	0.896369272966766	0.96967464187758	0.859787138055798	0.814367109147705	0.827002485455801	0.884110778134901	0.884626056511671	0.964007901042057	0.344517735790439	0.843070726239793	0.536985511506027	0.945256951033205	0.94637057068815	0.958053632944699	0.861202332492392	0.675916083602959	0.848583264287189	0.940507862889698	0.954506314829592	0.472545199269178	0.63411428203831	0.740581052743193	0.882785939193422	0.766579234134635	0.78333572872759	0.868663625078657	0.780156797378873	0.683538024038137	0.771696838599974	0.790999962328138	0.10160028968568
ERBB2	0.467876467361368	0.509562864522284	0.550111648969037	0.834421040987853	0.842528035235357	0.79886663649845	0.932011184230919	0.832902788177468	0.922284559099078	1	0.170684403991944	0.301736202866767	0.439019021661224	0.747286220015367	0.840934504861396	0.565787342275854	0.929530681536116	0.473306434417108	0.133204014268819	0.82184092062693	0.795314374337174	0.85781234174067	0.74775505913697	0.843292725594695	0.843623845124782	0.787964984382952	0.813273735689763	0.190800997322425	0.332019855086607	0.835253816523427	0.908793039705239	0.556265604308556	0.130105721453684	0.634031859591815	0.794813046750096	0.770029214327995	0.860902734403113	0.88285636226178	0.919432302645715	0.689452949376134	0.908116357411339	0.213905977830353	0.840937816745462	0.420936868157872	0.904157541810231	0.743169687116512	0.916482470641037	0.793202738657012	0.733031681895342	0.960790814822195	0.731787817027917	0.914749680012092	0.59648636835812	0.694630819440673	0.870784224488336	0.886537589584578	0.802551684377279	0.766032994251317	0.647745283876228	0.745851840577348	0.77305578226173	0.855101611348178	0.179583908004638	0.76402940503932	0.387804627707875	0.95787752820254	0.922877467534803	0.876425701514717	0.805455620930566	0.544044339803549	0.897933747450549	0.930650396941369	0.865375384388548	0.298359657645412	0.447881191143731	0.695149870536364	0.92890357411753	0.876587449828245	0.591351549634377	0.833701431900634	0.686805655589911	0.546088728651858	0.597329392122318	0.843217084426517	0.0606089304593742
