""	THY1	SDC3	ITGB1	LRP1	C1QBP	CD47	LRP6	VLDLR	LRP8	SCARB1	ERBB3	TNFRSF1A	CD9	GPR37L1	SORT1	CAV1	INSR	CD81	ABCA1	AR	MRC2	ADORA1	CD46	ITGB8	PTK7	VANGL2	KLRC2	SMAP1	RAMP2	CD44	TYRO3	CANX	TNFRSF21	LPP	NOTCH1	FZD3	IL1RAPL1	KCNJ10	ATP5F1B	KCND2	RAMP1	ANTXR1	IGF1R	PODXL	CALCRL	CD63	CELSR2	MCAM	ITGAV	F3	CD82	ACKR3	GRIN2B	EDNRB	ITGB5	APLP2	TRAF2	PTPRA	PLXNB1	RYK	FGFR1	FZD5	MYLK	PDE1C	GPC1	TSPAN12	LINGO1	NRCAM	CAP1	CHL1	NCSTN	PLXNB2	S1PR2	AMFR	CADM1	LIFR	TNFRSF12A	NOTCH2	EPHB2	CD99L2	TSPAN5	SLC16A1	STX4	PARD3	JMJD6	TFRC	RACK1	PILRB	GPC2	TSPAN17	PTPRZ1	MCFD2	APLP1	TRADD	DCC	RXRA	SLC16A7	NCAM2	GPNMB	ROBO1	NCL	ADGRE5	TSPAN14	HLA.DPB1	LAMP1	RPSA	LRP10	CD74	CLEC2D
THY1	1	0.809786714647416	0.805716354225021	0.823512638017324	0.964768371805688	0.871020092363864	0.885600245745847	0.791142058696732	0.838391486435431	0.428407498672743	0.932371783106886	0.643079285077247	0.639421780711632	0.837673079193973	0.840522893343212	0.750634646497836	0.596015522417449	0.835217763598937	0.137175008712657	0.797723340022031	0.472758183321902	0.819603201414981	0.725755271803805	0.727859367286236	0.708186035503554	0.772744334372622	0.933188068999297	0.899549227394997	0.891701637316275	0.0684809644072603	0.857022168105948	0.779738492154935	0.815575582923361	0.81787099314436	0.888014868026417	0.640320181160601	0.767801756036747	0.89211221448169	0.954796049812066	0.956425616280316	0.790821196155199	0.85714608299543	0.493244312203912	0.727158648848719	0.885288004394363	0.78843849481966	0.801553386354589	0.927162069554536	0.730996888510728	0.20985158875989	0.928238191361897	0.794575704452692	0.81465252040474	0.81481488751934	0.91141780151917	0.848385024739348	0.790923688240735	0.819531395754714	0.800087059022749	0.848337780993877	0.796692615870742	0.81634999809686	0.131781482624698	0.77727501266632	0.796491832877095	0.941499188759271	0.890995919478631	0.730202569135319	0.896470583630065	0.598423957999424	0.745631533888712	0.681422264780009	0.875811551675356	0.794211364307509	0.828085444481976	0.792285715533139	0.76351279493015	0.670447904823643	0.82437738627	0.870707669608818	0.779290995418143	0.671948763719893	0.826147149901731	0.705963814564632	0.773405542334789	0.811481721880479	0.741730201010422	0.596568455261981	0.907430712845764	0.915089961515541	0.930583698213105	0.772725024986923	0.874891290637008	0.464881594038536	0.899476625731702	0.434009897886959	0.538872958364125	0.859014220263667	0.183006738287241	0.713049818905328	0.943932882683436	0.805013275032628	0.798549813996301	0.563425909942835	0.837532022523115	0.904597800305224	0.58211654073062	0.101789280660216	0.6892391803485
SDC3	0.809786714647416	1	0.941952659027513	0.963129940932375	0.839857615203458	0.937246742193624	0.902659534734461	0.870913725593429	0.885222295874835	0.577856718127412	0.902604265814818	0.89372731112587	0.883319876661274	0.781520380205111	0.948591364370413	0.923187416072398	0.795353312800223	0.977353513628761	0.58917166572286	0.911296751257308	0.830782941465044	0.845019791871105	0.888419524737755	0.919426502055778	0.861971287725215	0.935000886308547	0.810364752137693	0.922676898723844	0.891905026530829	0.386068970333869	0.926074752727382	0.90230545288939	0.917650309120604	0.958513342854594	0.945442805946385	0.89469236572504	0.720156172546232	0.923200353488855	0.830443347367605	0.869312294078524	0.923478766606098	0.931447169681198	0.814912938846111	0.933655573869044	0.89735164556616	0.945976136739429	0.947821919804026	0.876844215924583	0.947304973715223	0.520179555816904	0.847315046919319	0.870044757701608	0.928204048103904	0.844531798643891	0.867831325043051	0.956286144316473	0.731579042379068	0.954817962356687	0.934019573431643	0.924162091241279	0.907967022794521	0.875008993636516	0.543523944925522	0.911923719927365	0.966029521202268	0.822210655389696	0.937486273541059	0.942404911897577	0.926550792864211	0.883589607319179	0.906947445390409	0.881442978293229	0.862498855815528	0.932619634599762	0.92152571577046	0.937210948030187	0.853465841637339	0.897317799926512	0.881124116430066	0.940101172482387	0.888565303988898	0.798713726608262	0.909957303076661	0.865285210952832	0.799495859427858	0.888150573221554	0.829079392437008	0.826182030768371	0.785245477092271	0.847357908519549	0.907659024966014	0.925961300734058	0.933491941227287	0.761573314545019	0.853565080137886	0.798230835477459	0.801309832935486	0.938896699391613	0.450424534589508	0.934839014715841	0.828543934671159	0.905323710746284	0.893774076541369	0.690003061014727	0.920731692947333	0.858676298232257	0.802529310262654	0.346200820781341	0.851209771496857
ITGB1	0.805716354225021	0.941952659027513	1	0.942811662276177	0.840623896146631	0.938418514551165	0.889435679728761	0.856854646125946	0.891909520171544	0.604081762245749	0.838514292047804	0.902294373405935	0.898813032385978	0.710242292909148	0.935109497583148	0.926965571574529	0.838950195984976	0.950852344918199	0.643310828185845	0.913273210935953	0.849260502192346	0.805324883785414	0.891256456742988	0.913103165933458	0.867235935304334	0.902368198255294	0.779069170076304	0.939221804267453	0.839189893779074	0.420818287358084	0.885557618934679	0.943388099938636	0.868830853905805	0.965560906068799	0.921697496773364	0.906327052673997	0.692649453651606	0.863395239903973	0.855697362955461	0.843263891925231	0.889456007594621	0.906957393372383	0.844315779623567	0.883092627892428	0.883480610333264	0.957150719419622	0.915526099368183	0.857236705788901	0.93230763532145	0.52819529163866	0.815836894438121	0.866879899639111	0.890533676430668	0.807055324647995	0.85723864679345	0.974280341454224	0.814816574925759	0.954249516787468	0.890954362745324	0.942933193792667	0.934519469899126	0.887760063285357	0.544953024741918	0.845652938788683	0.957540262675341	0.787449462374518	0.912419769211014	0.928243584177036	0.934139002676459	0.851764761551033	0.909493212360965	0.888868015164686	0.856594557907002	0.928684796293892	0.925735516795715	0.927599173053108	0.857106365415065	0.895399031388472	0.900395573040553	0.915104375304186	0.915503485844442	0.881232196210058	0.893194962119892	0.899787353444656	0.859437060894362	0.871114796439111	0.865903268654349	0.852977873699815	0.767292044934097	0.848400859449279	0.867982439788036	0.946902496538019	0.915969422230799	0.79510171352637	0.821781424279387	0.812907541522325	0.854023117562683	0.897791524450182	0.472475077566924	0.919040291668588	0.87151908652892	0.868924801173044	0.888350178789221	0.728294526354623	0.932143697151241	0.872693700436131	0.779792143130814	0.348847348396397	0.854774989787322
LRP1	0.823512638017324	0.963129940932375	0.942811662276177	1	0.844032630092591	0.928627724684952	0.924221345695711	0.888513422582863	0.907189434880586	0.610219422197979	0.908591317079953	0.870789871031297	0.84512184421501	0.774998961468661	0.945484935732364	0.916775808416567	0.832392784631118	0.967949873076396	0.586738579532503	0.900844276789251	0.826966678584313	0.823507007696959	0.899797883629967	0.905226580921331	0.855474202567009	0.931636308817999	0.824662042636355	0.92584362595235	0.8872423588337	0.338134251022043	0.940022549930234	0.924580642723207	0.904450303808799	0.970491834300866	0.949954103784079	0.897234335680853	0.746865372950063	0.922581047331325	0.833595660324179	0.891083417676787	0.901793502944387	0.932712732914295	0.814133426634915	0.887969479013907	0.917752308521613	0.923309630466087	0.944661988092961	0.878487235010438	0.937306861762765	0.464364792448397	0.85702744155372	0.853361344007811	0.93259178099272	0.855393546255695	0.884801349875323	0.957384688136617	0.761935250435276	0.965457462155499	0.933097439537481	0.949140611823002	0.921120865935884	0.880392813003786	0.505054367109377	0.892814147200884	0.955020658727347	0.821207541262945	0.939519906293402	0.947879575337495	0.919900620474046	0.85399579000856	0.90567094283905	0.892179821690775	0.891519769869842	0.925064685132734	0.930382575279616	0.919840831933058	0.837391943598342	0.902272389220147	0.902455655986263	0.94043817538064	0.899553388477515	0.840590876943323	0.910217301537026	0.877809842428186	0.796821774455287	0.885747368541254	0.852884617445342	0.838197860754383	0.806496094602576	0.862024843513142	0.928502944780223	0.927624476165088	0.936417022353456	0.779998070851302	0.892183437015445	0.798373918894222	0.818369150343824	0.935945080690477	0.477334382597243	0.933957323066413	0.855037253523389	0.912450444264575	0.901924456695942	0.672102527776213	0.907332777243861	0.865353342028242	0.791933206852251	0.297964785217802	0.882079384355862
C1QBP	0.964768371805688	0.839857615203458	0.840623896146631	0.844032630092591	1	0.893808228714476	0.866995807353992	0.782853268849953	0.863153399239959	0.548343990475746	0.904441744715227	0.705008796556748	0.717018390138762	0.765035607258759	0.870227344262109	0.807715363099869	0.633790904426003	0.868906780775339	0.227131461741922	0.832926313752003	0.533979594266365	0.813646979304513	0.748694685013286	0.760113215782852	0.740146189310461	0.807621642139911	0.905809981045845	0.932615582407134	0.923447552054966	0.176830467953182	0.844911929841746	0.819963303611951	0.816809522390924	0.845197318321383	0.915229134892009	0.694661953440202	0.729873236316881	0.878394309568396	0.981419051713732	0.940848500119173	0.803731174497679	0.881555217490498	0.555414657020901	0.785464321493219	0.883422071475271	0.835410827033494	0.819376909479596	0.928726713611962	0.76252196825541	0.297385811541315	0.905314045504791	0.825075013796728	0.821511349390037	0.775161167394973	0.94115982929159	0.871368498662499	0.817021305026155	0.84406260992882	0.816097740563916	0.855864638140422	0.833064092396491	0.837786058100008	0.239472095237637	0.781246904134129	0.82083098799883	0.927544981278135	0.892708824396987	0.74356252149729	0.941064878059711	0.626398695955132	0.785717607748432	0.73389792333267	0.875853767954296	0.842388199103165	0.86431418674737	0.837540042678313	0.786758171977873	0.7083017144199	0.857489388737039	0.88449318617497	0.799854563831791	0.731082520559345	0.854616494845455	0.739429560378857	0.83513195095926	0.865824823130971	0.816457500110256	0.624575288014666	0.900855850209208	0.924778786671481	0.898384814203645	0.813742212141358	0.872134144095136	0.517370002915205	0.886062948656091	0.512660522093043	0.574937590805341	0.858325894658	0.214042348879797	0.741917661030922	0.961933370170575	0.824206725548844	0.824858717092379	0.645791756518896	0.872560541616643	0.958207214726832	0.602998707795729	0.191917977933823	0.696278746898477
CD47	0.871020092363864	0.937246742193624	0.938418514551165	0.928627724684952	0.893808228714476	1	0.898055093639049	0.830408436846652	0.872915186518674	0.523857760406374	0.896369525477815	0.894862047267057	0.866830711511164	0.791223650370776	0.949705628232519	0.905201840560122	0.757248112755582	0.959088599507134	0.523983615878305	0.928461414729909	0.774961298431024	0.879602314309919	0.838981726876264	0.93504687533925	0.824140385252763	0.917410660048566	0.853179788920929	0.949094282533166	0.885338015813559	0.460808316956022	0.92094825571631	0.899759072034858	0.899097179281113	0.944992530368484	0.934470120252018	0.873563370745467	0.727211154748079	0.921137922061776	0.899760398735325	0.898182475080973	0.949154515203081	0.942503581178555	0.768970877575822	0.913476978923298	0.912753449213551	0.962694126238191	0.921003740931287	0.897291904917912	0.932277106146909	0.586505214181505	0.876109796269179	0.900081300317702	0.894376113792599	0.854152036906418	0.892495829341952	0.961788808719611	0.772875771775434	0.94329940967717	0.905937233972474	0.924866479894638	0.910957924521633	0.857108209441509	0.452986550937625	0.859253796149528	0.931268726233053	0.873916500463731	0.90540902968561	0.91964484961512	0.950533456045484	0.862226769605521	0.90263934580725	0.84773212974042	0.885523820710707	0.939554324583446	0.919293282356127	0.936463212233635	0.844570231790292	0.869124322047025	0.853322463509171	0.943100143787508	0.908630109630786	0.781635527748236	0.897843430391839	0.845099786780208	0.822071093420028	0.862420235227287	0.825125202885493	0.795238562744596	0.811712209365536	0.866813997283551	0.899193953550816	0.901761790178002	0.917470392428213	0.721018297353786	0.858673655534863	0.687485416002368	0.780117778626719	0.938677332730082	0.391893081509423	0.909434721749079	0.877205295679637	0.860182136400242	0.888131558287469	0.783530779128818	0.966780200557114	0.89571452281624	0.826129328320489	0.430629697812913	0.802748612036016
LRP6	0.885600245745847	0.902659534734461	0.889435679728761	0.924221345695711	0.866995807353992	0.898055093639049	1	0.854539387860256	0.897991095316201	0.475430887431632	0.940360692664826	0.774720312157918	0.735472609980454	0.769032238692854	0.929871161882422	0.834188473583748	0.745847966389866	0.921248986523967	0.422430991873554	0.903116944353812	0.699060388017944	0.816976237115535	0.861737396178934	0.866657025937604	0.797830200003356	0.896357948828172	0.871090837857478	0.908664208301027	0.852206937286876	0.246738542440266	0.925800899791351	0.849320174242941	0.885940475085179	0.919785464840801	0.944113616306705	0.823703591271212	0.778267227109307	0.929739771968824	0.85552403418394	0.928461459895038	0.868316302621101	0.931100268805474	0.705039726675509	0.85174532767698	0.942017991544776	0.836765878715476	0.912708042738291	0.930791177832458	0.885129828506738	0.386347807040673	0.868029661484954	0.864914079640959	0.897065809370299	0.854889850080764	0.899767741981901	0.921095752493342	0.739260227114947	0.907865287811955	0.903075467746919	0.941126551168056	0.854927034072533	0.873971383173365	0.36432066067698	0.859263178823813	0.877790661768799	0.89517965576624	0.928024621064634	0.884423143380189	0.907893418727116	0.772591940427821	0.845733514527155	0.798107864328425	0.855626392558121	0.872539813688143	0.926029401215372	0.884794089195122	0.763474053201204	0.853589403872135	0.878270642855414	0.91267305198146	0.862958927573899	0.741101169941189	0.875554756359763	0.827787943904602	0.76095933643214	0.86662731882951	0.778510225444571	0.788752555758945	0.839579534645777	0.888246043040641	0.952704727218435	0.865012142863838	0.897915531683221	0.647653737886758	0.894025219812829	0.635873142182043	0.732819323938453	0.926069708102909	0.32464837158747	0.87969964913248	0.89120418920511	0.879418277534485	0.865360019248972	0.637536532551622	0.87670814864557	0.873880675052197	0.723754836267084	0.238466330197545	0.85648661112462
VLDLR	0.791142058696732	0.870913725593429	0.856854646125946	0.888513422582863	0.782853268849953	0.830408436846652	0.854539387860256	1	0.844412726799564	0.569236747706573	0.8617398410811	0.75930964703629	0.755325175233395	0.747611890429133	0.846979665329576	0.84919139091868	0.73690699559297	0.86987709441687	0.489674765742627	0.794417228639944	0.702311065011947	0.756433652969225	0.858640144132492	0.789043308493577	0.791498069199614	0.842449582289801	0.765288888249861	0.861259443606449	0.810791513510017	0.20084968591136	0.83803237151855	0.836543966022297	0.830528669688955	0.889620891194643	0.869191178746693	0.783154954744291	0.734550437604388	0.854551376948495	0.773736964525026	0.837748281789867	0.787375601088956	0.834632662751572	0.711606379179669	0.77508340402685	0.833484347833442	0.825343659231265	0.849311616193788	0.820044576829016	0.833681507263213	0.315752404632877	0.811210186667356	0.737599899691907	0.851332326950771	0.771301802128237	0.794602175687896	0.871886294667292	0.683564621546526	0.870657375204279	0.833393762838118	0.876793014720258	0.84121352320501	0.807541680549102	0.440640836325205	0.82373456482379	0.869711752413977	0.7765639517903	0.886451779340439	0.824385984947001	0.841805717224982	0.735801286623633	0.811639614534697	0.781730342195616	0.830714334174633	0.815855984014196	0.86530665851178	0.815339644360497	0.783317126682238	0.817503380497842	0.828114139966178	0.853929722197748	0.816362672722727	0.784834797435328	0.831212255632629	0.821220318303493	0.755764629280176	0.814597433175499	0.779094839847173	0.759232695890978	0.751519851405295	0.788446917680138	0.872612207854238	0.871431512174513	0.869781597647072	0.679201555952352	0.839150424134564	0.715900576331748	0.729167331567407	0.842974221737594	0.431216706001494	0.822175571680565	0.796924115641434	0.859070814040922	0.77804880116285	0.51860963030492	0.794367170575771	0.784233123531575	0.675778593101681	0.150030833987589	0.843004453461724
LRP8	0.838391486435431	0.885222295874835	0.891909520171544	0.907189434880586	0.863153399239959	0.872915186518674	0.897991095316201	0.844412726799564	1	0.624016478991044	0.867679366748527	0.756244989651218	0.753293100601848	0.694075815730939	0.910204152724298	0.838593849641223	0.754562569157265	0.920172881532341	0.450138966623765	0.860063680289808	0.703331637725794	0.775476936917243	0.827003625001986	0.817154350275691	0.812865779057879	0.862284655726475	0.807234680196327	0.923592573357664	0.855483291477186	0.223632485027534	0.869442818250439	0.857418071186549	0.818829000756871	0.902938963671254	0.928925830586889	0.79829841219224	0.703679823072873	0.870649146134958	0.860765915309779	0.888348882179128	0.81228878947868	0.85919789040345	0.709598282772495	0.840605860823169	0.896942055059406	0.844066455799583	0.868872794642705	0.907814757087966	0.837271068172841	0.348376607855446	0.839558383506551	0.820340817780638	0.866255992265151	0.764797593968434	0.906752640655229	0.911967636781215	0.771805109595081	0.897153268317667	0.856290906522029	0.916082305611745	0.847257466872062	0.877578379173625	0.396896743125433	0.822774895812136	0.881151429383166	0.833706849783369	0.925514561490751	0.84086327259171	0.90961025681571	0.722285742817915	0.803256302498077	0.842218547125698	0.837073984993124	0.868430104743304	0.900094773775497	0.868504307043771	0.763713597616134	0.827628832859691	0.910706207402581	0.886564003950568	0.838849691092756	0.808745399039447	0.862868967161536	0.867193521350532	0.813566146778604	0.87468870385882	0.818139836137269	0.784575734406406	0.829564686695132	0.868870030036429	0.885692824660929	0.879658539802679	0.883787175047874	0.673610321948004	0.872394723398847	0.704270322051346	0.728866527082447	0.857978889750631	0.309890489207593	0.863346219573086	0.893602924536515	0.855354029241867	0.832986398017398	0.619889170275404	0.842459286527124	0.878335534511388	0.667379493745169	0.198068858972003	0.816188492528958
SCARB1	0.428407498672743	0.577856718127412	0.604081762245749	0.610219422197979	0.548343990475746	0.523857760406374	0.475430887431632	0.569236747706573	0.624016478991044	1	0.473354430113209	0.515960929741847	0.632303503207278	0.246938674401642	0.54729692742342	0.671183582567844	0.652358788667267	0.604835661199226	0.507124989028747	0.516481833446733	0.538297434486668	0.357613781434389	0.601561844990615	0.463341054793602	0.564233025507288	0.557880703245879	0.40443904961852	0.61827940957007	0.550284494638353	0.196228126124074	0.462767664341027	0.710975145943418	0.455400069820116	0.614671383126844	0.598030158984483	0.550120032334985	0.361811704575717	0.452885161103637	0.554696251375496	0.513950966231043	0.403308910465884	0.518958901335535	0.577917893114263	0.526919968453349	0.508963390828161	0.588821098498609	0.505036833347166	0.507450867093882	0.51332885259338	0.182884463882618	0.455430148559224	0.419082065783713	0.531749940238251	0.36595841122436	0.598966131879168	0.588863351761145	0.566283510489505	0.60153368506733	0.511554855924286	0.570202640079694	0.64111537381505	0.627459963359476	0.493058523755853	0.490440086468474	0.558889300906341	0.43971179678192	0.569058719092154	0.497674494667555	0.624949414028872	0.39689857256716	0.556468033524082	0.642649619185726	0.538156312361432	0.606625501477261	0.646363255192655	0.575177371810066	0.45306526114724	0.563804673548964	0.648839196061418	0.544798041476087	0.52614696128413	0.782757230130456	0.615333536798775	0.613558432516385	0.660210104722787	0.677701833390821	0.790610648456216	0.492959360837496	0.48710136520131	0.537565743893336	0.455852967384166	0.683971072860497	0.543335678421471	0.575671151671914	0.542551914195632	0.723629673856231	0.534543917144994	0.469811140812123	0.487370365572875	0.518206215748536	0.576397217036275	0.606898088784595	0.546698002754486	0.389556517441355	0.517052250929759	0.642024633263989	0.382323292254098	0.0851817893480183	0.573413292047804
