""	EGFR	LRP4	LRP6	GPR37L1	ITGB8	LRP1	MRC2	NRCAM	CHL1	TFRC	ITGAV	LRP5	SDC2	LRP8	GPR37	ADCY1	SORT1	C1QBP	SDC3	NRP1	ITGB5	TSPAN5	CAV1	ABCA1	EDNRB	F2R	AR	FZD3	LPP	ADORA1	ADGRV1	TNFRSF12A	CADM1	CNR1	NOTCH2	AQP1	CD44	CD81	FGFR1	CHRM3	RIPK1	CD47	CD9	TNFRSF1A	ERBB4	IGF1R	SCARB1	SMAD3	NOTCH1	TYRO3	NT5E	CD46	IL18BP	ADCYAP1R1	RYK	CANX	KCNJ10	PTPRA	SORL1	VANGL2	ATP5F1B	SIGIRR	CD82	PLXNB1	ANTXR1	KCNQ5	MCFD2	IL17RC	ITGA3	TSPAN12	PTK7	FZD4	PLSCR4	TSPAN17	PODXL	LIFR	FZD7	INSR	FZD6	TNFRSF21	NGFR	NOTCH3	PDGFRA	FGFR2	CELSR2	AMFR	UNC5B	ITGB1	RAMP2	PDGFRB	TRPM3	PTPRS	GRIN2B	TNFRSF19	PDCD2	NOTCH4	PLXNA4	PRTG	PLSCR1	NCSTN	IGF2R	PLXNA2	ITGA6	PLXNB2	PLXNA1	ACKR3	SLC16A1	CD99L2	PLXND1	PLXNA3	SEMA4C	APLP2	MERTK	SMAP1	ROBO2	GPC1	TMEM67	PILRB	STX4	CD63	RXRA	TSPAN14	RACK1	PLAUR	JMJD6	ADGRE5	PTPRZ1	SIRPA	LAMP1	EPHB2	GPC2	ERAP1	HLA.DPB1	TNFRSF14	LRP10	TRADD	RPSA	CDH10	NCL	CD74	CLEC2D
EGFR	1	0.880523454374846	0.836779510263274	0.943191108328598	0.892940192916025	0.951664129064491	0.903425459040142	0.959768690059212	0.964348908119962	0.956297972583406	0.948916287658374	0.794720396474405	0.879444975950833	0.927302204425173	0.939846653993452	0.948295593052025	0.941129759312204	0.877423793872625	0.843716336584208	0.705266043866938	0.949892643603555	0.961405271279263	0.771385367657445	0.858083480331356	0.886494731180454	0.967542429565853	0.888956739219862	0.949454258870212	0.896565981374501	0.926856044148727	0.260120787879147	0.619364414801213	0.968851667768392	0.848936621717997	0.906239726241591	0.166492214960767	0.768200092448649	0.907694017254954	0.977270360988521	0.927620548103179	0.931012432685478	0.876262114977494	0.873354928517671	0.859120930074172	0.852040532505629	0.518860122521629	0.893165215305677	0.841021441625999	0.833292799897757	0.913899140635001	0.952263955728816	0.889749837421726	0.540564350488299	0.399207113581993	0.977207848950701	0.988899916768504	0.811208843252798	0.984705635751423	0.852075297153471	0.760287213513332	0.870985671296836	0.828649991874671	0.942769634069968	0.728541673066433	0.832510704400698	0.854767875068188	0.956778729404801	0.912238380882125	0.877061395448752	0.859904186764579	0.929246661363739	0.816017374609535	0.470231916582022	0.871249302516451	0.900770056697876	0.832502594164643	0.805219899278015	0.681933491515978	0.890769121933242	0.945880866814702	0.908116264862043	0.934434667418892	0.652997785206662	0.731813212912671	0.761229013985314	0.894665500253771	0.882803942105221	0.961420972993535	0.84787354989024	0.596034542712661	0.900584117561236	0.802231506828137	0.901034182021116	0.854417125731569	0.880787730579223	0.822926656928497	0.879669870972721	0.894633198851546	0.756128891361113	0.951872563206384	0.882539722770873	0.91912657327534	0.842761087506201	0.910788991408424	0.942122357425537	0.687756884904278	0.978827205673225	0.945676206217428	0.796674632976163	0.896843845409761	0.66681376757131	0.985305200249226	0.735857986818355	0.955329746021606	0.944096531449569	0.865035297263664	0.777079845188218	0.664882233750277	0.904287461315234	0.86209274775756	0.864294177637321	0.863030080379293	0.879536900087386	0.754404771948177	0.895485218388828	0.908531128094613	0.960110406729251	0.871346286407627	0.962014672612167	0.940199135557496	0.844947300592504	0.884912972538112	0.577474446879118	0.662306461202426	0.86706530765151	0.87753240153839	0.883384856048088	0.93115067551677	0.974727987394841	0.439554974344429	0.875185229116838
LRP4	0.880523454374846	1	0.886687638136007	0.864688669000434	0.944504463352179	0.940250987627824	0.940872017885855	0.901024461656314	0.895846711532938	0.796866298225339	0.934997005443307	0.888795758214048	0.829734623437893	0.873371930884394	0.890170671101837	0.877629376301209	0.926369406282671	0.603878491543836	0.945466478506236	0.565825274150832	0.854622797193539	0.791668578563278	0.500207120203914	0.902310136099865	0.881096371904521	0.824776486761116	0.893899631272051	0.91111645609576	0.897155419066963	0.842974307483615	0.524227129984328	0.34248471660158	0.827486100328246	0.842871556561251	0.949431721606519	0.40632889547902	0.598012512428164	0.736749510913863	0.891811712127862	0.834630129065184	0.784738565581466	0.661944143286843	0.635866773673114	0.697693825458186	0.92733150565078	0.709948176360882	0.799759221699056	0.868004701423316	0.87497119037459	0.896078585520881	0.736365420693979	0.858490092942383	0.332014389736914	0.589273623266611	0.846156145359001	0.894363094943808	0.895165639198137	0.883781377840737	0.920547579540964	0.883170839343837	0.596709151457229	0.635735996438002	0.793525879812089	0.884308149054733	0.928814936791981	0.776546907066108	0.787869285418736	0.819672604855474	0.783794969509267	0.68143752438258	0.903175220035846	0.859878383276404	0.661020739363396	0.609709302600411	0.879685542060481	0.922030815925812	0.83446271471194	0.811354972122365	0.86252365338089	0.814155410744358	0.814107766294157	0.875360830717511	0.681143800251036	0.803714466704043	0.858190248282783	0.932177709267555	0.76943123232472	0.813126903084482	0.676806944664703	0.739921265881839	0.711084795618695	0.845348553092689	0.800820807409523	0.849116553118461	0.618198208647743	0.575281490480024	0.879332950561469	0.861621216981336	0.531118636918641	0.861681889251458	0.912382421035491	0.86588262371359	0.831054619858454	0.90091769941174	0.836149018218792	0.659292956519191	0.864827812045481	0.888457613203291	0.84297768043562	0.885866446249795	0.807330504838632	0.866077221130374	0.851662424141469	0.75656526874341	0.934066708954695	0.683025474908911	0.79926006738925	0.806814422710881	0.67196697329602	0.589399060914408	0.83426770998131	0.886907137240129	0.61116481158372	0.588158226593848	0.665991056536568	0.673446183679326	0.936894586767403	0.913863410470323	0.779338834637771	0.846255762515583	0.684160884639396	0.777509663353941	0.509397034584969	0.483378530256986	0.814428432548434	0.655605791653898	0.613335193868768	0.858636098949878	0.821619847589878	0.405000192907193	0.841053830564577
LRP6	0.836779510263274	0.886687638136007	1	0.773974457703862	0.944350251821995	0.850864185797884	0.921610242804109	0.89763089803619	0.863254614127262	0.759151598026557	0.909637134993287	0.808297971919778	0.762274386668143	0.839365482565931	0.831130060965231	0.849542286485945	0.904076019319657	0.552182825245733	0.878565054412465	0.613686910025407	0.765545510139039	0.729577983034953	0.489829317818549	0.911743521656659	0.782405141405703	0.794670607195968	0.895398340236822	0.938468519862837	0.939645910497294	0.756910727231857	0.472799810864867	0.3892528572137	0.801403767623867	0.768967464316417	0.887525898860037	0.30796680296484	0.60608748205681	0.63466722197378	0.866911944738691	0.848087053333114	0.766293840269853	0.682867687957857	0.549070309360719	0.666742600333757	0.91384302133927	0.66021258329261	0.723763017060359	0.894750881423294	0.851642464555823	0.810407739998109	0.710257225828779	0.884516336309441	0.35694413936586	0.438984498650547	0.827435719941598	0.84755597668049	0.810568365084654	0.808205025470208	0.905468255267811	0.865546439398665	0.5421663460021	0.506293237858255	0.728113398622019	0.765688767223242	0.845022612324015	0.779849337634391	0.728936738524345	0.740695672518403	0.747437350902753	0.6447661561717	0.889785752750866	0.770867286835548	0.553805567363213	0.572440960681265	0.825241759879926	0.89138532495296	0.763318308412584	0.825161726057096	0.846666633648711	0.760095206138786	0.759984216997628	0.807903248277697	0.774947649901097	0.757615961304885	0.797040279032009	0.863546519687722	0.752629963192461	0.8014106006418	0.554366087994479	0.657970264367426	0.76429712544108	0.835969728905047	0.813548198792506	0.855017701452296	0.56992277773279	0.495253536763098	0.861563044400038	0.848687026207707	0.529635397017799	0.845570359665751	0.904776365129949	0.865672877015309	0.812291395327291	0.846014618351181	0.830289201153074	0.595984957872866	0.827708060399253	0.816011711738099	0.745476529057643	0.850909841689105	0.79784387325897	0.829473545853138	0.841932283020315	0.693574708523789	0.886859590024416	0.653529363854393	0.771654690862007	0.863142108651093	0.613776333849393	0.545911771651697	0.797234103142136	0.903014864294953	0.5585441832935	0.595879977498974	0.617831731575491	0.652617929911453	0.887609707561098	0.857677383834446	0.721350651209215	0.840802518919497	0.659940558692836	0.76281497467489	0.515559919176907	0.486745012485963	0.713318270825289	0.620735428543746	0.561710706473446	0.834832061085879	0.788577055103505	0.450752295246057	0.862187906948248
GPR37L1	0.943191108328598	0.864688669000434	0.773974457703862	1	0.821104976739736	0.94392564655404	0.838204626953701	0.890562608921585	0.919404798311102	0.933833144592548	0.876241758640427	0.811297263032455	0.781540142780993	0.908887500148758	0.871032599545444	0.938772786726329	0.863726481934155	0.836895516012461	0.833412989940119	0.593881705402414	0.92055326340963	0.913216143826724	0.724593418619124	0.786896340092776	0.827376813459526	0.91325973228039	0.842628661146774	0.87369902976435	0.825015532303785	0.874985930160983	0.190882075630183	0.490896865037041	0.913103852643396	0.830812322773248	0.870104940758215	0.0894102257160655	0.628267023247526	0.842606380377902	0.936923328364863	0.900474041686123	0.842868211711557	0.765736583316172	0.874371028689784	0.768772267174419	0.830646113939443	0.455140398939723	0.852338828362994	0.78036144654764	0.792805964260459	0.900294577456612	0.898089744984984	0.843833908616598	0.420286087515361	0.329572911114005	0.929757527267036	0.933845855483129	0.772891933423092	0.931472714209259	0.803202237938284	0.707748456676005	0.834446512719703	0.793354717726283	0.928620305797354	0.697855141048447	0.796981506647596	0.725646275025006	0.899626661763478	0.843563635586695	0.771467795976864	0.865402147113928	0.864991192866784	0.80123720289138	0.389493639173658	0.809345459827455	0.85164828544803	0.763699053921285	0.717430006460273	0.642796689030149	0.857255630344165	0.889589160894569	0.941175914070622	0.931443427396694	0.642118084947511	0.706867334936691	0.735543932817653	0.841693545695087	0.824502929449263	0.888067831363815	0.822446861715029	0.522352810455242	0.815183130818601	0.810426171189839	0.858992436547598	0.834591422188445	0.847214240172681	0.784339684475081	0.779563639335511	0.867659661031223	0.655402818049997	0.89702958685568	0.839507300904184	0.845946788225705	0.717123612912674	0.865161861191587	0.894661432774675	0.602428156090511	0.951007534236631	0.896601389006537	0.800128253745651	0.895840037278491	0.682713780939499	0.90341499882471	0.680740383354623	0.901567731142736	0.912939539831132	0.789957069190499	0.754947895768062	0.651599272860716	0.864345110283846	0.79093827871797	0.805471322270223	0.835500623359075	0.839792108100616	0.660947987407852	0.839083465129669	0.887412447090359	0.932717283251291	0.839505890911235	0.913593399026238	0.874271031497234	0.826213975574151	0.837615443002363	0.469980466090249	0.56389946783248	0.788399789963653	0.792454510955676	0.834441096876844	0.90115336592741	0.917001623124543	0.316263630046167	0.848725694887421
ITGB8	0.892940192916025	0.944504463352179	0.944350251821995	0.821104976739736	1	0.905404292846641	0.960795338603589	0.939367094307349	0.913974470760738	0.811317696681632	0.955030116870985	0.842513167403744	0.83416323280235	0.86180709871708	0.892347353519808	0.892787458593089	0.965007186245439	0.614496652851143	0.937014052977879	0.611082197399891	0.842336515668239	0.811889000694786	0.542216989682405	0.940957786534646	0.908364649705602	0.865782995149443	0.940025816079518	0.961388915989778	0.947358129443449	0.837146002457742	0.574166173127377	0.414595461806283	0.853047064400337	0.830935848845689	0.93695255278851	0.454346387397138	0.669880356210309	0.744624848595145	0.89659481042928	0.867820083872292	0.816971415737204	0.722209848083658	0.63490777913501	0.723239649984347	0.930979958789898	0.711097732419504	0.795564845548691	0.928648248209126	0.875055063505821	0.896527132511122	0.757962172378908	0.90625729855066	0.371962081801413	0.611949010459703	0.87326017774027	0.905328973082587	0.898051545785636	0.887004876402163	0.945577771818087	0.931071203603216	0.605900357001245	0.60674913764514	0.776233704243336	0.874656585646206	0.909415498886376	0.850994238701212	0.813673981601039	0.823876364832653	0.805413626429611	0.708593837320345	0.929213573722446	0.848732127037618	0.704001163213426	0.631905683706549	0.888162853903821	0.967253381709848	0.880331009144905	0.836556107986622	0.867100226349615	0.804827733244318	0.788023474312925	0.867938611982586	0.711349098158116	0.806683436165495	0.871300645854824	0.931146312944203	0.796758410966775	0.83711478767487	0.62948108650611	0.784003157013306	0.784725668498409	0.847319144109429	0.817066843158328	0.886567064420798	0.640167921519904	0.57759581123717	0.941116863032106	0.876802754309446	0.570503228245202	0.89991773327749	0.921639314812355	0.890426262031194	0.87266378535729	0.887897030572594	0.854473493818816	0.691469199919483	0.869158222973567	0.886186958715661	0.785851031144014	0.876848741894386	0.793547092317894	0.886681286460445	0.858593223676547	0.772463621262688	0.945058804998762	0.723477650850253	0.83439645242061	0.837351063747069	0.672127605573452	0.610698406075473	0.851512060528878	0.904955940826645	0.624286335429725	0.633889584871796	0.684731190170719	0.692922385642762	0.942069927515283	0.926346603526854	0.797574376027687	0.851258132227752	0.701089333930351	0.796752690628202	0.545933118942985	0.518984258652209	0.837789506752668	0.690712452508198	0.62166172473689	0.859576130161511	0.837479127987111	0.452081467513778	0.873395567319641
LRP1	0.951664129064491	0.940250987627824	0.850864185797884	0.94392564655404	0.905404292846641	1	0.937570291878646	0.935736589736384	0.94184571323317	0.890957346209854	0.949438874742007	0.877379477232147	0.862905863884942	0.933558846188524	0.926157390447353	0.933807787060461	0.936472659797754	0.764928276377524	0.905595825671356	0.659584976780515	0.923736099786617	0.89036226409963	0.638377727502609	0.860464318061193	0.881545190502434	0.891635742704764	0.891483074625528	0.922567102397857	0.891147406699372	0.900793971368805	0.347147741487647	0.48447204105042	0.914953040473835	0.866004737501631	0.937664826388268	0.275919770326149	0.690051170563534	0.835919532421968	0.951152593849464	0.883354635279113	0.855135546867154	0.774852763262054	0.772371279517291	0.794783624916083	0.878782718345939	0.598855244289977	0.874002303277162	0.839330283471197	0.847673187492145	0.917931633202881	0.862499135155468	0.876334181429141	0.450187811147843	0.484031525329803	0.915707534262306	0.959602719801512	0.854693056941888	0.952321297159781	0.897062963437051	0.811741334012629	0.75941702350778	0.761156623720575	0.907208185799368	0.795651432823028	0.883146873898888	0.821222938879695	0.884802761343033	0.891983492253946	0.847071075237869	0.774739320035036	0.906219545377189	0.856697331504574	0.540765188401831	0.756926294936327	0.911414501000655	0.876277699431686	0.817594181397333	0.768306835025001	0.901880387143402	0.920000862723902	0.894016560864768	0.936485411006953	0.647310379339576	0.769089777017313	0.801516275023603	0.927620925673564	0.822995608034121	0.900133813773502	0.797273963528761	0.650032281353582	0.799749522141207	0.809132892025527	0.859529246451898	0.847989733334539	0.767783703030365	0.717096793274982	0.874413265851662	0.899032382227293	0.661423912876002	0.908110778949077	0.913331598698425	0.914530350067471	0.839022777863529	0.917470665249936	0.928081510255566	0.67373746981869	0.936042597063562	0.93818758357618	0.856649591823666	0.903651830036753	0.755267717901314	0.937454001884178	0.812589798935589	0.867705190684981	0.94619981130327	0.79220566816444	0.796805250046945	0.735795815878057	0.811636469818337	0.747491582260839	0.863949093180867	0.891513057951733	0.769221638108365	0.70213341293408	0.795555427484339	0.802012624472688	0.957085940505305	0.911630365688746	0.886707600446105	0.905498415842159	0.761596898741252	0.850253345884702	0.549951726203235	0.590396397765752	0.837663261244339	0.771478365975947	0.772691902629276	0.906480543401366	0.919110537770069	0.425745617406704	0.865820686393823
MRC2	0.903425459040142	0.940872017885855	0.921610242804109	0.838204626953701	0.960795338603589	0.937570291878646	1	0.946014667031208	0.911840255055145	0.797378952842384	0.960173469019405	0.843384985097981	0.882436059962958	0.880034196159125	0.928614240346619	0.875521538993946	0.957261150317106	0.655250259739354	0.925917855671277	0.695781004295018	0.873345887438595	0.82302283467868	0.570150923881275	0.920899413746766	0.898797582373339	0.853297375783907	0.934597714593295	0.944028702198205	0.9479799259718	0.858847835593313	0.503719589099985	0.473882770376062	0.883921021029731	0.847554780675911	0.94330147861235	0.418298516535782	0.732836113665772	0.785531174229647	0.903045647293096	0.836325803198496	0.841335991715401	0.771262258407063	0.639406053632095	0.798074164253216	0.895548561823179	0.674991315933874	0.819523626005675	0.890342082116491	0.853506627354118	0.878502495357641	0.785234344188807	0.904460701847446	0.476604328386256	0.588371885080098	0.878154375365151	0.925171426643635	0.892457441553347	0.909347414709292	0.939635160302818	0.881270176283232	0.652743102134066	0.687709056103554	0.828036525704857	0.84632109835638	0.864771113880713	0.873314068475826	0.835286100251965	0.88665534775833	0.85861444409213	0.674199094769107	0.904696603220273	0.851303119559195	0.669243521402953	0.68274545849456	0.916852989798928	0.945478283656748	0.877248977247061	0.802729857580782	0.891683548375378	0.870500303224247	0.785164768177368	0.879049749821722	0.638053395079756	0.803009615197145	0.841495318184771	0.952745075660103	0.787023171143259	0.852483358246644	0.704972158317288	0.769753958124095	0.796814367015774	0.829387367128972	0.789227836914732	0.843161499902489	0.668626008576651	0.600143659685046	0.919909763577224	0.859173855191725	0.653659104775304	0.915057092014732	0.934187471005296	0.933047075389665	0.912564238966869	0.887706457011882	0.896505662197048	0.73502824533262	0.875480936469991	0.904486891645743	0.833732170052669	0.87747914708086	0.816308995599149	0.909502071363351	0.854222802539647	0.78679203681341	0.926673817557211	0.785334837465616	0.834178477184213	0.81628435413007	0.707251228071395	0.671666286345645	0.857418731331871	0.911057432391637	0.6592601478952	0.674006056831915	0.720325145196778	0.694367676949577	0.930993022639293	0.935013749145152	0.816645196712948	0.856526840801653	0.669761914616184	0.85719297845293	0.577896855784041	0.621855625278124	0.861317956015727	0.73986529275558	0.659624427127824	0.84271920745741	0.847236752864714	0.500767438929702	0.852851679476052
NRCAM	0.959768690059212	0.901024461656314	0.89763089803619	0.890562608921585	0.939367094307349	0.935736589736384	0.946014667031208	1	0.980342195570967	0.908825564182453	0.979142493953236	0.821516097179612	0.88306008228464	0.900608830135365	0.930127763195383	0.92693546788613	0.963795031100027	0.784428649652492	0.850976937690993	0.767364131059486	0.90801536313615	0.909976261909546	0.734437135316023	0.932897777103273	0.908862845850373	0.938990425158195	0.935073410063188	0.966986449573707	0.960503516442056	0.925259194297186	0.387772729581886	0.60627791145906	0.953230786320185	0.890544278725871	0.932993249453362	0.235167979979794	0.789985971950084	0.851596383397532	0.950596081031806	0.92231603358376	0.912220870976231	0.8724691726746	0.777626034792668	0.863463705236408	0.893817783781789	0.568282155810978	0.876215902208512	0.87570293518171	0.807894151171844	0.896418525376615	0.903341493230429	0.946027076022143	0.568199398820578	0.4578663947796	0.943002053755206	0.973876455559068	0.850092954155289	0.960304186705604	0.888338823850711	0.819892480580772	0.783810195331013	0.782604759728496	0.90051337523604	0.760151745892052	0.821611302447091	0.884916512765232	0.927272708963446	0.911546180477651	0.877936118853882	0.794847740972253	0.922338376618977	0.848351908114117	0.538996102714548	0.800347554244991	0.915521927868473	0.899762180897244	0.831473912219041	0.716637307773724	0.903602319411864	0.923492104303154	0.851704477801276	0.895686497094099	0.651491184949251	0.809116020888429	0.768073708995378	0.909966916269238	0.860826841538714	0.922477621966132	0.764071004590428	0.684439048194018	0.89384727778143	0.826080751010591	0.850346236599844	0.89369009308935	0.808847003922746	0.746017058396905	0.916698549222959	0.876358713529439	0.75516817370004	0.949133782144047	0.915783974353515	0.955742695762124	0.87996012615484	0.897764190876673	0.931642788409121	0.726786542085414	0.948328312248055	0.933987802021936	0.771905693157803	0.89281921082866	0.74448138705272	0.954648706392355	0.796110495353591	0.889465397748122	0.958441255090514	0.849163842718957	0.840208468186674	0.737483674916712	0.843777568381741	0.794066141502548	0.85415042157677	0.882013543253992	0.792735231765683	0.765518714014352	0.834210050495005	0.81674084385603	0.976689558431747	0.907694373442533	0.905825181774695	0.892105928332117	0.770925326123775	0.90590133835019	0.568891288804915	0.711934469110237	0.881472118015638	0.836565585172622	0.779967446032295	0.895444655627828	0.92645192939264	0.482443088108333	0.862033547724951
CHL1	0.964348908119962	0.895846711532938	0.863254614127262	0.919404798311102	0.913974470760738	0.94184571323317	0.911840255055145	0.980342195570967	1	0.945908197578939	0.969891651461682	0.807062394221063	0.878078785680875	0.904303066039924	0.921273246719359	0.946709943263156	0.952815306358276	0.820755587405888	0.835346129646331	0.726365622723032	0.92394048096533	0.935090466225992	0.761067958546559	0.903082926105841	0.911302718887911	0.95141912382874	0.915366529621721	0.95045153397271	0.925759372991172	0.935062007045049	0.345989079441478	0.594591132867909	0.956106708651011	0.890076314963185	0.920879771875582	0.198227953318273	0.758745423169334	0.868941134869972	0.961472849018185	0.939708840954909	0.908793110412127	0.855584202506705	0.832109241176192	0.845363438278753	0.891391691745185	0.541468860468855	0.893624405614635	0.861752884486114	0.806016732393966	0.913298249675436	0.924988639790974	0.928962665195426	0.531124431279935	0.437088833711791	0.953331716024608	0.977849233171397	0.846862260849243	0.9713661167654	0.864154775750317	0.792299387545821	0.817293278561157	0.80426053481034	0.917794900557792	0.739515016799238	0.831002730012364	0.853977128316021	0.938270041093994	0.90120058067813	0.868785500021773	0.841831601021723	0.918695884033131	0.834549232175838	0.502102970776603	0.822053391205571	0.888259573408948	0.877342691685512	0.816695620824455	0.688470718885914	0.886008032659217	0.923779028683964	0.894316834177668	0.911115003495626	0.67025025058412	0.78288992366333	0.746127919609052	0.890323903584359	0.863435613120296	0.93048374581981	0.799907883154267	0.641964708953792	0.889894422570681	0.801181780199121	0.873318342059639	0.888948863318774	0.841525999862127	0.783264837205156	0.901232711603082	0.873948529251955	0.741840985324812	0.93300655292649	0.893472546681855	0.926535028711472	0.84737925493018	0.90201379334439	0.931092539538322	0.699509213675403	0.964833884828492	0.953824063240041	0.756973739508097	0.888252661251583	0.694782073418299	0.954960027790486	0.781374926473375	0.9199112555926	0.958636494366435	0.836730610691945	0.828753754190121	0.685681367196642	0.879866914982825	0.812527256246699	0.855831720353393	0.859795586951614	0.829322174606748	0.748911610152952	0.85034177220809	0.851418356507793	0.984031592742249	0.894833040482325	0.930915383970001	0.900138724814581	0.811688057051254	0.87928310589233	0.553005519878616	0.678111219606349	0.871026302361532	0.83708801164284	0.814167856215705	0.918676254927573	0.945788154398119	0.434675435524041	0.860501412310754
TFRC	0.956297972583406	0.796866298225339	0.759151598026557	0.933833144592548	0.811317696681632	0.890957346209854	0.797378952842384	0.908825564182453	0.945908197578939	1	0.889138487005945	0.726263035516084	0.806139717862177	0.871225744163819	0.853644428217068	0.937237274732182	0.869742077392075	0.902920571418386	0.734231541944945	0.645098615596432	0.906385534965787	0.959022052966415	0.82301559651398	0.798815965508153	0.827510096841438	0.963248988584016	0.820341903604568	0.891725854892362	0.827301246352417	0.889726746093203	0.144651092132009	0.617245442511687	0.9393557008196	0.830466905796193	0.835949445614864	0.0152095326559713	0.695620148200646	0.874471985737373	0.945423208409961	0.944513679781204	0.893256276512092	0.836309479570078	0.924513051377879	0.801100864390235	0.803668150782467	0.397169447678322	0.879687137852915	0.765648590067214	0.752558413894485	0.889174243995721	0.957979462090521	0.863061373014461	0.47823363567947	0.264636733699403	0.957219942187687	0.948106699126433	0.722097092621583	0.940698536405492	0.760499767949714	0.671614754854236	0.891542150502386	0.814642508434489	0.924658849355449	0.614111394595308	0.75134131813732	0.756517413740818	0.94449972574783	0.830342621939521	0.791874870211826	0.907102367247855	0.887070423585477	0.75589756670538	0.341940220578033	0.870293172591545	0.815517030281814	0.733092439519606	0.70100353097562	0.570647509149568	0.83521337611154	0.887863454028636	0.929666955379864	0.900628126789924	0.644322404467228	0.670201841683814	0.665244254880808	0.786012897213259	0.875457368824834	0.945095463919654	0.838587787359541	0.486929059818323	0.894027319596109	0.75993581110091	0.888805939772995	0.854426723369062	0.913054754751971	0.86706418865548	0.805159122441712	0.849956134003402	0.720629882131134	0.889295055073374	0.806757468718763	0.849984322933206	0.722048443403908	0.860848352167609	0.899978668571172	0.588036165540239	0.963368025463753	0.906380230950703	0.709303274129373	0.854805091169265	0.566320853423045	0.933623681665065	0.645597363940733	0.95838373506056	0.902553536428638	0.822358351568945	0.731811381225856	0.566946780351136	0.930913731298924	0.865120535830392	0.814763476746515	0.785525529870364	0.912479183068616	0.747531939055549	0.897700943779037	0.938117716670779	0.932386856762827	0.795980210542853	0.95861393423662	0.890629133244797	0.881485299842211	0.82949384467551	0.519234405057413	0.613998414852873	0.786548774345795	0.860557982351564	0.898721492356449	0.91532540110886	0.960026960297524	0.361788157064786	0.84178956835068
