""	CD8A	CD3D	CD3G	CD2	CD8B	CXCR3	KLRK1	KLRD1	CD247	KLRC1	F2R	KLRB1	CCR5	CD69	CCR1	CXCR4	ADGRE5	CD44	TNFRSF14	PTPRC	PILRB	PTPRA	SMAP1	TNFRSF1A	TSPAN14	TFRC	LAG3	RACK1	ATP5F1B	SLC16A7	S1PR4	C5AR1	CANX	HAVCR2	PTGER4	ITGB2	CD4	CD6	CD9	IFITM1	ITGB1	SIGIRR	GPNMB	CLEC2D	ADCY7	APLP2	PILRA	MCFD2	CD163	HLA.DPB1	ITGA4	NRP1	TREM1	CD74	CD81	ABCA1	CD68	ENG	SORL1	TNFRSF1B	SLC1A5	C1QBP	CD46	CD47	TREM2	SLC16A1	CADM1	LAMP1	CD63	ITGAX	PLAUR	C3AR1
CD8A	1	0.980712398431564	0.967540697930512	0.978948673248654	0.993448708091817	0.983844039352775	0.935569790243531	0.632218569218432	0.922540233673103	0.733015747767644	0.898299729780176	0.658301318658539	0.857137282185972	0.908808640632608	-0.51757810805784	0.865239481515241	0.908816640440019	-0.10682543824125	0.123125434067555	0.859487320415895	0.815655448971099	0.600475098180618	-0.433435257292415	-0.436153290718835	0.420374313641927	-0.230903581282365	0.955512932514414	-0.15630611940016	0.238482466309239	0.918849914850133	0.78929507929419	-0.676629082851496	-0.583014673040912	-0.492416668486911	0.431026826529138	-0.39714451028541	-0.528518704348048	0.953583872448763	-0.69750252682171	0.972586786345734	-0.146392335360515	0.575974439850124	-0.73350503730731	0.713775991445353	-0.276413881298428	-0.638275204420004	-0.658081737340047	-0.379659122462939	-0.69249555342767	-0.424695004884178	-0.311748951828267	-0.685181873009854	-0.708532929563043	-0.452874266499715	-0.548695108972229	-0.790117356977836	-0.666491929492156	-0.459159416916576	-0.365654520138468	-0.156173306882999	0.531874791783747	0.195964076714065	-0.26114860675961	0.571528105996884	-0.435878095842346	0.304087521968496	-0.709153276807632	-0.289960373085201	-0.533093820442066	-0.740855898042528	-0.641655308216376	-0.631812448513565
CD3D	0.980712398431564	1	0.988994116614988	0.995731751876196	0.975281471428217	0.980000092879312	0.967436219947865	0.681964179630949	0.967421703982504	0.771738453820421	0.924507082129394	0.757086270465433	0.885272626340251	0.955260538875661	-0.567184756735273	0.882225044082262	0.957942190724318	-0.135711383390107	0.188139850315062	0.880314652740391	0.853816913561724	0.590410273071603	-0.44298669032929	-0.474258435736033	0.433750838418436	-0.244141363969603	0.943220529144155	-0.133123007311737	0.246437590189116	0.93736148908591	0.877447619988686	-0.713779239037101	-0.608761792168967	-0.523906152867638	0.458543711647538	-0.43032663034791	-0.547647399536442	0.974676299368792	-0.731371975422759	0.987333179850879	-0.15757171965673	0.595680601389038	-0.778247045710388	0.80720228136228	-0.266843165998531	-0.663324723677139	-0.693991851728199	-0.398878342472046	-0.719234552382877	-0.443131878742563	-0.307756955642299	-0.722735451328532	-0.746338592304308	-0.469333568816699	-0.576294613193657	-0.835105962278526	-0.704603219896056	-0.477178174001157	-0.376042904887225	-0.167134213100797	0.500539318404968	0.213655911118978	-0.2731230181829	0.592607672016688	-0.452484580908995	0.388011172971276	-0.745830636566966	-0.312720823396833	-0.565502829924989	-0.771156273201316	-0.674188437189332	-0.668737137897688
CD3G	0.967540697930512	0.988994116614988	1	0.989923842256951	0.955003735289389	0.971713873371848	0.965333489538867	0.666139832461922	0.958785841313077	0.719011901027874	0.949536177557269	0.751540266326782	0.868317907886512	0.955271805318194	-0.578629612356176	0.892801629622556	0.949136293768083	-0.121460589247343	0.224058387691253	0.866957781397202	0.861795258296761	0.599444604419646	-0.443453882120542	-0.478718824645123	0.460406285729667	-0.247392470681131	0.92983844192759	-0.126773454246015	0.238189366642149	0.91329976637316	0.895699215667608	-0.709908171763838	-0.602974409466805	-0.536831212708387	0.446237317613491	-0.42612942894606	-0.544628898158184	0.971512734125377	-0.724271334734262	0.987126060478844	-0.174666504868935	0.619371577569674	-0.76747563349209	0.834813610100753	-0.279085746759441	-0.664705334303986	-0.688777852677442	-0.384186681764188	-0.718447622646739	-0.443630280695648	-0.327991875982908	-0.721751806120957	-0.74491240121366	-0.470146239333235	-0.581053079729548	-0.824888992231815	-0.69913964339194	-0.482862101266157	-0.37154320248413	-0.152537975052032	0.514656958430026	0.215470447009701	-0.298141830204148	0.57796385303628	-0.455391551089363	0.394790144365002	-0.738161961496967	-0.317015311300701	-0.563221633020713	-0.769024874175584	-0.674497072617876	-0.663166174740188
CD2	0.978948673248654	0.995731751876196	0.989923842256951	1	0.969305567996063	0.985920472568515	0.962429696768227	0.633799932386972	0.957367847447807	0.745028568071798	0.941724367894735	0.72925588015154	0.892728899327101	0.94955908829771	-0.539847005970067	0.901012985651978	0.944072984067163	-0.116518197740733	0.19722648437856	0.883220282404708	0.852011412774588	0.609847795444042	-0.422534967426194	-0.454856534185488	0.461995116194384	-0.224517750110762	0.946200649274662	-0.12504286859122	0.273781197217348	0.931396563620165	0.873874030113544	-0.700086056918802	-0.586610162837129	-0.509448890076943	0.460469178088082	-0.409520092596965	-0.528347259727912	0.985865837791906	-0.716402593321945	0.992472217833179	-0.14092061795003	0.60722743501284	-0.758160429779379	0.797452773086221	-0.264491321450918	-0.645908431305441	-0.678219066450921	-0.360596200091958	-0.70563853832233	-0.435017584013385	-0.313534210817981	-0.704459449327668	-0.728991584778905	-0.460049865951501	-0.561287446926289	-0.814912710230305	-0.687846529886587	-0.459192406900828	-0.357259977726967	-0.133039704628312	0.525363939282438	0.233906795959499	-0.260309735643543	0.605184543164186	-0.443430502647206	0.399143211294553	-0.726773944382681	-0.292066368106619	-0.543326765723853	-0.759358043087951	-0.658931768371423	-0.647552419391621
CD8B	0.993448708091817	0.975281471428217	0.955003735289389	0.969305567996063	1	0.972909052360989	0.927992617951905	0.659649479868362	0.919240803268418	0.746992034981261	0.885346031138925	0.652099022577238	0.852199259823529	0.899647506813127	-0.51624667463457	0.849912035158616	0.903041593930888	-0.124805820474612	0.0851238820932895	0.856283410467721	0.797979948508791	0.590480531253777	-0.441916649794501	-0.437297732119053	0.393385223936664	-0.227389247170232	0.960055532700256	-0.176520772294519	0.216984920562722	0.904216549030023	0.771515652906304	-0.675684955338887	-0.594282318535385	-0.483647926249464	0.440322069890014	-0.409676635293487	-0.535188825446484	0.941191782505506	-0.702013584464516	0.963320348060263	-0.142091196861169	0.558468688568495	-0.742219173074675	0.693061439325286	-0.271771291807538	-0.641812078938242	-0.661017320568696	-0.402561655071982	-0.687971403583053	-0.422207831105626	-0.302323148615651	-0.683945012707771	-0.711832450353217	-0.450151311503834	-0.547500847022723	-0.797487381871042	-0.673512884711358	-0.455534960867703	-0.361898968261517	-0.170342851270278	0.504239653501194	0.174258240457948	-0.27015451778331	0.556124583742273	-0.434949359290043	0.291385518386598	-0.71319864301895	-0.304689486201422	-0.542341725700874	-0.732403915305205	-0.643868817314607	-0.638869435875836
CXCR3	0.983844039352775	0.980000092879312	0.971713873371848	0.985920472568515	0.972909052360989	1	0.922777897723532	0.566143396549073	0.908891884359018	0.675005550296753	0.930629611913333	0.635689113697544	0.903176225682544	0.92019169574721	-0.473487917125574	0.899230731447856	0.909331067353578	-0.0758531628183552	0.192678330646954	0.869778774677956	0.822492972109043	0.63630049933603	-0.393799020503729	-0.401351051819407	0.477667310320359	-0.179053476583302	0.943592627797371	-0.120510586325236	0.300236977263828	0.905545003393408	0.823998093146679	-0.65084081656933	-0.542081086468835	-0.475301060756729	0.475392168208705	-0.363116584836815	-0.482937449843663	0.979337150202347	-0.677559315485693	0.990062824891649	-0.105988810141494	0.598161837600856	-0.706829712619104	0.75075763435423	-0.237004565136185	-0.600259431991728	-0.631755281277307	-0.299256655134787	-0.661515893757889	-0.407487558994169	-0.297441841301197	-0.651087226391987	-0.675635350542154	-0.432564857275564	-0.514560249564624	-0.76205827754502	-0.637733043443713	-0.418871176011097	-0.321234444946082	-0.0854753651565398	0.547688168110403	0.25054984408154	-0.237580278679415	0.598472839979782	-0.41047663199991	0.372335337542778	-0.683506403292243	-0.2495134064862	-0.495834511015461	-0.718011278905629	-0.608668799243454	-0.597491448107197
KLRK1	0.935569790243531	0.967436219947865	0.965333489538867	0.962429696768227	0.927992617951905	0.922777897723532	1	0.775123117897789	0.986040356607212	0.848959182632101	0.886508956803922	0.85148584623807	0.804871906971468	0.937218318122165	-0.62621200797457	0.844912594129753	0.956029149418456	-0.156518528998664	0.184392797466809	0.847518970687387	0.858549488231886	0.537738831703961	-0.464255309419914	-0.515053845712077	0.367824478159717	-0.294734082682198	0.912538771611765	-0.129150452730994	0.21334424932406	0.925007659809961	0.890209236996711	-0.751906659594362	-0.630036554054287	-0.534312661722003	0.413999688765211	-0.451652716301831	-0.577485486941268	0.931974339767451	-0.743638389602186	0.945461097301025	-0.195983934798587	0.594913261564864	-0.798461287398633	0.814305663646506	-0.292460281347739	-0.693802030979801	-0.7190960150358	-0.450439539937318	-0.747949570581842	-0.462984467025957	-0.310118165746693	-0.756207984415239	-0.771916438900539	-0.485972676828663	-0.60747312804699	-0.861840027425249	-0.725722888065906	-0.515107116775958	-0.41226514497998	-0.23299574977225	0.469703316335903	0.196253371376672	-0.311293672827287	0.555461576750019	-0.469587789401742	0.348594922753489	-0.770863806097196	-0.342439451146106	-0.58878754877373	-0.798059579543058	-0.702540296481926	-0.69688417829929
KLRD1	0.632218569218432	0.681964179630949	0.666139832461922	0.633799932386972	0.659649479868362	0.566143396549073	0.775123117897789	1	0.791888805617007	0.82526375321191	0.533346144628775	0.842589948007827	0.400627462068111	0.649459995453004	-0.727467488185164	0.452916166685655	0.751049523593596	-0.343693640765652	-0.0511910426452908	0.521739423813177	0.575566099094881	0.168661311949641	-0.544958025003179	-0.614222166806292	-0.103573835947079	-0.495327967494953	0.633053165293577	-0.269087216601878	-0.158937167637754	0.630149747052458	0.67780579805002	-0.709277941724809	-0.691829800727316	-0.559191998539431	0.149493937516786	-0.576778570623952	-0.661537933437717	0.558443463992033	-0.692254905279869	0.609235321872459	-0.391355684579768	0.319893524899297	-0.729149585227495	0.603504181590953	-0.394376030562391	-0.720011913947577	-0.684557776051048	-0.7135348567801	-0.719924892250344	-0.502820875296085	-0.287189289021127	-0.752532914361232	-0.749587360304942	-0.525385019039868	-0.65051887610544	-0.784226837939762	-0.704259243006237	-0.60846259388037	-0.529697518042858	-0.525669697924781	0.080907641992939	-0.111103994284182	-0.461383528523679	0.200969117183934	-0.517743774256241	0.0681680861932576	-0.740792531942904	-0.520219703264913	-0.661408104125143	-0.712706118870131	-0.705073816423769	-0.739821185895543
CD247	0.922540233673103	0.967421703982504	0.958785841313077	0.957367847447807	0.919240803268418	0.908891884359018	0.986040356607212	0.791888805617007	1	0.864891108731173	0.871304777275061	0.878193657981375	0.797512157705678	0.940565049438534	-0.667651966720614	0.815798019965907	0.958038942260297	-0.20998535625596	0.164250218623148	0.832444598189978	0.848699558452942	0.490116912314732	-0.488025766894407	-0.560334657657924	0.329215926523687	-0.349497258663394	0.901212875130107	-0.153840286016689	0.171011659817159	0.934946671531688	0.900820941552652	-0.780304715793481	-0.670344830777481	-0.577363574334318	0.376635793442259	-0.503839557247742	-0.619112093716766	0.925224418214496	-0.772717469624374	0.939470327546079	-0.240995710660022	0.544223955308932	-0.81888844272896	0.829522096110186	-0.328152012323539	-0.728641215752582	-0.749536031309126	-0.493980199594509	-0.778283108217916	-0.504906555937309	-0.331472251006396	-0.795450765091763	-0.806126639793853	-0.527701169992155	-0.64664422731647	-0.880827772719819	-0.760503347714284	-0.551301417326646	-0.455441818327326	-0.282663957662505	0.412511570159123	0.163619120012052	-0.324805592125619	0.53722893882044	-0.513049776122287	0.352015697551153	-0.798718107262373	-0.386283819416996	-0.631458307950652	-0.825616041257298	-0.738682529135473	-0.740266409618722
KLRC1	0.733015747767644	0.771738453820421	0.719011901027874	0.745028568071798	0.746992034981261	0.675005550296753	0.848959182632101	0.82526375321191	0.864891108731173	1	0.561515753452116	0.864026785321075	0.543592277874382	0.73677910526231	-0.642356668314687	0.552483614138338	0.790896227432651	-0.273306728157195	-0.0128860537017307	0.636405084415391	0.674933223893722	0.261988300237724	-0.469128872872425	-0.545026494570905	0.0854472828262951	-0.407278714866821	0.74153189471567	-0.187615039507955	0.0377222413796664	0.827257812133405	0.648913779670898	-0.708850284886185	-0.635158003433824	-0.498487472745581	0.222369800837668	-0.507194955714468	-0.612165636020715	0.692158814935791	-0.683178391774454	0.700811626443818	-0.263402263223146	0.317331458998081	-0.721692802142741	0.574499500410974	-0.32488103674946	-0.682315752492845	-0.678496392924565	-0.558032660312559	-0.718880700709346	-0.483036082461016	-0.289756143080597	-0.731196802132733	-0.731609083420372	-0.503729804761468	-0.609304689556589	-0.785242466318945	-0.689385029817893	-0.549523492888486	-0.505261783904925	-0.427309008257659	0.233238965543924	0.0283950163646333	-0.270739572349841	0.375314784436121	-0.491921251557782	0.148960774205496	-0.729417189230607	-0.386624528848812	-0.596387379634914	-0.735138592048999	-0.683780072805368	-0.699649531437174
