""	SDC1	PARD3	SDC4	CHRM3	EGFR	F2R	CANX	KCND2	TFRC	PVR	CD9	TNFRSF1A	CXADR	ERBB2	LRP6	ITGB8	PLXNB1	NOTCH1	INSR	HMMR	PTPRA	THY1	NRCAM	SMAP1	TNFRSF12A	CD99L2	CD47	PLXNB2	KCNJ10	APLP2	PILRB	NOTCH2	GRIN2B	TNFRSF11B	CAV1	ADCY1	CNR1	LRP4	LRP5	VLDLR	ITGB1	ITGA3	ACKR3	ADORA1	IGF1R	TSPAN12	TNFRSF10B	EDNRB	IGF2R	SMAD3	GPR37L1	PTPRS	NOTCH3	CDH10	MCAM	SLC16A1	RIPK1	LRP8	CD81	LINGO1	LPP	PTPRZ1	TNFRSF19	RXRA	SORT1	LRP1	MCFD2	ADGRE5	ABCA1	C1QBP	SDC3	TSPAN17	RACK1	CADM1	TRAF2	TSPAN5	S1PR2	SIRPA	ITGAV	NCL	AMFR	ASGR1	CD63	SCARB1	CD44	CD46	TSPAN14	SORL1	CD74	CD163	GPNMB	CD68
SDC1	1	0.796719510446526	0.611373313920673	0.564461332752586	0.803285670148404	0.758462082737229	0.769098204050574	0.549930688309521	0.730136032763214	0.823917137645585	0.805270827717913	0.717210364376186	0.798966795868332	0.606933125314073	0.677454404738835	0.680715350487978	0.725301593231075	0.757502630800452	0.720652323638929	0.698422455856302	0.807828310324937	0.793444207835958	0.659550854621192	0.866838960228032	0.681753277241682	0.788648703600651	0.84658153566807	0.753507209118242	0.686594240444838	0.798957153109146	0.789960615752032	0.754795206027252	0.53975629994961	0.670805604754221	0.523281441723991	0.776782099867824	0.497285264181646	0.556539563526908	0.818114887556537	0.635593520664427	0.693074904422131	0.485098562660142	0.665286978474865	0.660228680054946	0.647135437737991	0.803907423300401	0.874916394092033	0.683866268231655	0.638987164801453	0.643679541754967	0.743216287049096	0.726247715776028	0.776624396725497	0.48158220342299	0.782340092956844	0.81629237190922	0.817088319125559	0.647942491373576	0.814135850400647	0.633041693380761	0.699000800651561	0.687124652049266	0.64629209979289	0.753443460145008	0.801976755928334	0.771229883321523	0.75455511609238	0.786117170420304	0.515199077242295	0.886239671291408	0.676856399112873	0.801128266059066	0.852100538596211	0.578449860232317	0.910586838732649	0.840157194671463	0.724268704949221	0.520881327851623	0.720224121373416	0.88079916805502	0.812493253932345	0.639201352411888	0.796589284600347	0.762276946874449	0.39761187764	0.655932429143914	0.77902852997729	0.436945116464584	0.293065004909557	0.0458644680866173	0.220520142253392	0.233627272400218
PARD3	0.796719510446526	1	0.497876932932315	0.774535907101222	0.898691301377427	0.751823552843289	0.81202096279392	0.7247323711191	0.75890515069387	0.799202581500335	0.794364410844555	0.659076527703115	0.839315270444769	0.565468076979266	0.83476857816834	0.791773958662792	0.816809897383856	0.864143730144177	0.830351188586569	0.671344485084149	0.874586611998258	0.793508552272171	0.720535325393209	0.892399606836414	0.552833892130056	0.787833635986224	0.804528555174069	0.705773654073701	0.805565585382021	0.772790537896821	0.830755968660937	0.7978539221324	0.682813435796015	0.753095336962768	0.422094698370564	0.802427499694145	0.628011917577543	0.719646165508695	0.853827836822595	0.717120545461896	0.6304984442644	0.373041011297973	0.746027706182013	0.657156398709494	0.825940727667392	0.850019014544183	0.82376529865602	0.732032186222944	0.716054338733653	0.588590135254818	0.734148611021171	0.839056947693151	0.787377849830012	0.643264152138378	0.813560108082526	0.875334973546411	0.829439221106544	0.758216370495427	0.754757685604111	0.7448158948653	0.749293700703989	0.86722769572944	0.705312364042861	0.865973250126775	0.869296301240652	0.842834126010738	0.747890437018271	0.766429980672253	0.560914311887831	0.806031652479478	0.737923632291281	0.827924844648239	0.779746141912268	0.536898895967599	0.799738964670399	0.796242297909807	0.803471251164893	0.466197340644185	0.717235381968743	0.916840946290674	0.821190291337287	0.735548989431931	0.711324278195018	0.788531049318619	0.295469767060487	0.82939609522602	0.827610579258336	0.390744185577649	0.326287815725217	0.0684380794509406	0.260880451994514	0.233770706859862
SDC4	0.611373313920673	0.497876932932315	1	0.156066853942762	0.516227718850194	0.84491511408843	0.811182332562885	0.0247232577979211	0.671568572454522	0.763402406526291	0.510186705235688	0.874735727290336	0.326128155779514	0.926048905337547	0.258183338328087	0.743932772137724	0.46966458150556	0.255994349526828	0.380560013742407	0.348718475152859	0.682424249083212	0.384733795175895	0.808296816514469	0.603182208382951	0.902062157343252	0.781030343238092	0.823729265246016	0.910503264271921	0.497969034333701	0.879203656149291	0.7120235789948	0.819132980430883	0.247124937134681	0.396370796673775	0.909091239679637	0.336857201684198	0.73517961592071	0.265505925363962	0.52974016327286	0.795240289261904	0.92845841172396	0.948123115320066	0.228528039142513	0.776348590974256	0.529748211455793	0.349949470520647	0.715933426628047	0.752642757004565	0.756645237607735	0.854374583301043	0.793855929472202	0.420312752289908	0.7280234969356	0.119479659754326	0.694333813542952	0.552526944845171	0.803624283576813	0.36788044211299	0.769684320726212	0.074847269539979	0.85409335710556	0.48774153641584	0.756584120693851	0.585770211535798	0.725403640302329	0.666016848346329	0.872768392293236	0.821550142571975	0.855790337504548	0.587277762795718	0.685379893645831	0.643772162941846	0.609129552891114	0.935329985320588	0.487722620488194	0.822508092335546	0.265419543349363	0.853424358752688	0.877907391419409	0.534515241957869	0.75620347951158	0.39198169157411	0.785836366832263	0.630123363408772	0.924772002819056	0.526709295144006	0.486511470703285	0.852066719396173	0.286889283849394	0.146775809161597	0.378221640509807	0.334810751748426
CHRM3	0.564461332752586	0.774535907101222	0.156066853942762	1	0.744726392059628	0.488187344894876	0.610016042930405	0.80863125806643	0.664172500383679	0.584062628255946	0.670264361331485	0.343853200609984	0.796158846887419	0.254160707801328	0.849680576719297	0.636057167516482	0.692362350664019	0.819769069626531	0.780093451521635	0.375919772518131	0.673557631401324	0.686984941697114	0.522379740207773	0.712124010432811	0.248198957849554	0.527924770839911	0.505869670157031	0.379494678218125	0.67158810407361	0.5018412812194	0.588470387680839	0.546770764319429	0.810095750360313	0.685561450815584	0.166812817073988	0.718751097551695	0.482952949369324	0.712173823622764	0.692491090127626	0.533183874322301	0.351606089049347	0.0552071326384937	0.623255535983111	0.428455985739288	0.749402765630262	0.76603842629964	0.587090430379749	0.48733524178652	0.538403127132295	0.281069639277944	0.466851136084928	0.797095216728947	0.55165150392214	0.710439822161531	0.579022502180344	0.784839206620481	0.582187606181106	0.727251043124838	0.48914675300388	0.785626415497836	0.512899103698179	0.799629408641176	0.459190545921518	0.710173664594218	0.63615614733161	0.672241231880917	0.499391207451407	0.532107447779569	0.307702987987177	0.591261376358802	0.512006754750976	0.652066722620398	0.58980498612498	0.194401917693556	0.574544951881224	0.490356666918223	0.826846374128902	0.146515376169281	0.450663095999179	0.784092222890779	0.552064091736726	0.663832600488213	0.453803082335503	0.66719165554173	-0.055158107643496	0.806214389125445	0.711387476281891	0.0632402996392228	0.253334376144563	0.0316138731369506	0.159541104917022	0.14526634697726
EGFR	0.803285670148404	0.898691301377427	0.516227718850194	0.744726392059628	1	0.829961557909334	0.864740478219743	0.746044339433903	0.831574767508667	0.857979718848016	0.830811663943712	0.729935239023725	0.886510659282476	0.62488753772644	0.855688051663264	0.842204984112491	0.898365112058341	0.898253260598247	0.852660425048101	0.614846480964294	0.948473762618565	0.818742727174992	0.753189605126322	0.944161245056382	0.564936332095387	0.840536294898433	0.842674269602392	0.743227776058678	0.862787462998205	0.816901402122008	0.884582162245932	0.855120557651486	0.727120227516164	0.840531205201621	0.392436519625705	0.816634681236276	0.687511327094706	0.792990021105946	0.914301360233279	0.753336980175001	0.640581982710637	0.385993968376421	0.817451696088046	0.741758390305604	0.847738507816492	0.915897082818511	0.867115500899892	0.833508024487584	0.784090535663743	0.645438010474237	0.827588276723184	0.886900822181237	0.847538087314143	0.66971433807818	0.815519797497787	0.901375025405894	0.857866794988426	0.804696860088288	0.826772107417376	0.792053835521763	0.786070713073423	0.925420366485671	0.76871302278611	0.897071845049472	0.914427109566875	0.932154801651585	0.79807381179665	0.8356891277675	0.628305394134149	0.858009996726344	0.84233672069894	0.886604295101417	0.82767844013442	0.602390614495594	0.825112884161842	0.83920200521468	0.830083333802923	0.54735394091865	0.771224988776816	0.945811853502929	0.85654431543685	0.782302489159444	0.764035483098366	0.819898005334566	0.339713257073773	0.841952316172904	0.902148092205054	0.456084261834164	0.366664735553577	0.0876950768361083	0.302013801098683	0.245593713191114
F2R	0.758462082737229	0.751823552843289	0.84491511408843	0.488187344894876	0.829961557909334	1	0.944604735568886	0.429315920938354	0.83743908249425	0.909708491473691	0.690818145796343	0.90760257185366	0.656802078817869	0.888906395670497	0.621444451374697	0.924734068460443	0.774580706585401	0.630439524942502	0.688639146033095	0.503583316633005	0.930542635365056	0.647382430831491	0.912807865152305	0.849947639823412	0.799549019999046	0.944451387307362	0.918985229483268	0.946144866044163	0.803003936044324	0.961086244742203	0.909123346520077	0.96490891334274	0.537831276366375	0.688383129913231	0.712759235644703	0.637201563172217	0.829771611775252	0.615956636565588	0.822881466785527	0.88893032175598	0.885483220916797	0.771724147954484	0.565372224172962	0.877350497249179	0.79500283270713	0.699072809187428	0.856305292358718	0.927100097748608	0.891317580456899	0.899701405418248	0.931377637460819	0.744346526950645	0.890345690101751	0.434871477486935	0.855415213271803	0.771237333535618	0.944706492319966	0.672622321373373	0.882974023063579	0.46066819480462	0.951891988799843	0.823726193254687	0.885035738159639	0.816279395597412	0.941219441594277	0.914705677266234	0.947295357651011	0.934403791687711	0.899856006860732	0.777900299669487	0.89663479624159	0.851557592362019	0.750380391516278	0.909098704570014	0.695275788400694	0.933389551967891	0.596184712371445	0.854265445602588	0.955337139590252	0.822290318848039	0.894290020271133	0.641371490437392	0.849764152908719	0.803635638813482	0.763239476653682	0.774971635727347	0.78257341624313	0.806991515733755	0.371403420936452	0.145124734844326	0.400555729306304	0.335114525791063
CANX	0.769098204050574	0.81202096279392	0.811182332562885	0.610016042930405	0.864740478219743	0.944604735568886	1	0.475847319917227	0.920730484155724	0.929734796543796	0.809020165449231	0.90803148762191	0.717853854313252	0.869070379103406	0.67183725272338	0.923256901462572	0.813217023113304	0.693074709133026	0.735415552864916	0.492720236477248	0.94786145515736	0.675723253846975	0.884498183731269	0.897912891460093	0.794830637455672	0.936443824552512	0.933480408421086	0.926038772863359	0.814808150966745	0.964368909165555	0.909604006993958	0.957722920939969	0.619622358811515	0.750125423384898	0.700637595762415	0.659730958959577	0.861898425022744	0.650192552721864	0.847783442929556	0.933367193672155	0.861984312169876	0.70170964606992	0.61978996870577	0.882206631299495	0.851644781850143	0.748532743981862	0.884060855468836	0.920504922220039	0.916849454961325	0.846029012883872	0.923277164342956	0.783046631319553	0.929077415572218	0.480377352456701	0.83926799694153	0.886243585941177	0.958687193675522	0.720644443426541	0.902758822002198	0.541877822397422	0.942174582920407	0.844080651122735	0.891686017310228	0.903381832688877	0.945942806334607	0.94192198884125	0.962041013991079	0.936587732117755	0.865466511753361	0.818636582897701	0.90216664570864	0.894567944676667	0.835378461841331	0.858616128574213	0.711557401632799	0.941128940115535	0.674899457051464	0.798486510885861	0.923710327923565	0.864190703281178	0.923927863336478	0.716346853376984	0.878317364293135	0.872636098335748	0.677434643570405	0.835263354582355	0.827284149608243	0.745788437431755	0.426251019850299	0.1637506976511	0.430903851667076	0.365097344093654
KCND2	0.549930688309521	0.7247323711191	0.0247232577979211	0.80863125806643	0.746044339433903	0.429315920938354	0.475847319917227	1	0.443488278371843	0.521062521675751	0.564641469608404	0.247360008312276	0.799640671439781	0.0943345254985033	0.923700906715519	0.520958778257715	0.774455066809627	0.897169781089584	0.860484959516228	0.471713825844111	0.624990793678212	0.822055225378709	0.503755751728314	0.703783070805865	0.0901351075718403	0.493780551538598	0.412726679877375	0.30267993380528	0.764396987436709	0.390271997071926	0.585917867130687	0.446501641497096	0.57661545329317	0.570369101227396	0.0263488815780056	0.774899254110159	0.271493558118661	0.803710846553155	0.669223168905757	0.386777320145111	0.227074393502685	-0.0417176689824815	0.625722809988884	0.260947438094038	0.721997451567105	0.787573808302097	0.569003135435711	0.3959260200124	0.444058883908938	0.247891229159763	0.408896009993402	0.794619514112522	0.397970426325003	0.864178266044874	0.55214537266975	0.635774939516026	0.4914126463954	0.792919946484418	0.45505980070199	0.906844501623227	0.405136785117022	0.803784709004395	0.319647199602669	0.667116162747664	0.597389884089614	0.645744782965318	0.396112230816658	0.443059168137829	0.231572161164813	0.5841114615786	0.414869830234867	0.623516837909302	0.528664599536836	0.101917236175485	0.630682913270307	0.429511678932271	0.848534021590357	0.0678358770169913	0.405913053791566	0.764823325927584	0.480689466612966	0.710201394372439	0.290465717368353	0.583127260221148	-0.12469500855776	0.712765605148595	0.672918255049062	-0.0192748901914105	0.245476090435528	0.010669737675801	0.101926855464508	0.104369558381798
TFRC	0.730136032763214	0.75890515069387	0.671568572454522	0.664172500383679	0.831574767508667	0.83743908249425	0.920730484155724	0.443488278371843	1	0.883826593608626	0.843031741789724	0.833559082665312	0.761161765382172	0.78540265692459	0.634108325726232	0.864809656885435	0.744717875254588	0.679206340813954	0.660513820290031	0.406156083308136	0.890779854346743	0.625269764364726	0.732662347320601	0.854452160675931	0.742677629032789	0.834546296897383	0.866521423350785	0.790962760357357	0.709061922605489	0.878385493916033	0.796491072824709	0.8683324966957	0.753988320701934	0.849690375555895	0.582804193640425	0.587070772524555	0.839445743696403	0.556906803699519	0.835674536653063	0.84101562865328	0.743546272010094	0.538341334772938	0.695782065777003	0.890997677402826	0.755819398805792	0.771965987765759	0.819348517283043	0.876657650189991	0.815112424057307	0.689315085803277	0.868154046490063	0.76397642170591	0.909288011970867	0.416664210811374	0.748817139533459	0.896591243525489	0.878141964837561	0.635214772311795	0.849433394935601	0.561628930324001	0.826795502124183	0.791908195057821	0.850170172581883	0.82826390607489	0.853560517309	0.889055522903296	0.876138735496665	0.878345386113988	0.704117289689213	0.819435442867658	0.874976098088622	0.849121837076519	0.83537068469217	0.729063819466398	0.674487302752945	0.856262574112365	0.706804374512338	0.680894563323729	0.785647256338373	0.83877321320179	0.859665493004796	0.703425949015173	0.887144108919925	0.8334053596246	0.504953593577447	0.786751557542923	0.848074701017965	0.595467531120039	0.374583973435765	0.141875377442975	0.376478435744884	0.325471481280542
PVR	0.823917137645585	0.799202581500335	0.763402406526291	0.584062628255946	0.857979718848016	0.909708491473691	0.929734796543796	0.521062521675751	0.883826593608626	1	0.812383588978065	0.889793887884701	0.785905208425068	0.822373111175899	0.69552015037671	0.877700303349594	0.830437608035993	0.722701214920288	0.736205856241187	0.517969010385165	0.920831427102857	0.751979275618859	0.843056066543429	0.906950868778091	0.808776698564074	0.899339296167998	0.921569030942754	0.890163114714243	0.802895894215726	0.931269862860602	0.896125214198012	0.907279691773599	0.596013531331782	0.75506460207624	0.691034478507178	0.671135502719411	0.788183607790003	0.611624148406213	0.869721974244818	0.850272966493931	0.820331261003919	0.660307211038799	0.656092081418911	0.869809131317475	0.78113912232236	0.79037021029096	0.915284083265981	0.885649290059154	0.847978004240097	0.789324962729897	0.914611960751223	0.782217444465909	0.876852479550089	0.494107960897678	0.832061555336351	0.852137719655006	0.920842773045619	0.696010617588717	0.919596333745553	0.591080497481414	0.882588187408998	0.818150676672256	0.855546574029505	0.848817709202712	0.909599449602809	0.919793521827794	0.925066719176663	0.93291605669343	0.766630426583073	0.878603111606977	0.857783374300576	0.909467704721022	0.857212918292649	0.803166664136396	0.757237574141827	0.923883260316039	0.715440715363596	0.73083434752099	0.881745597308512	0.874393783619678	0.922659060629355	0.727628268185713	0.889104201456256	0.877727291584267	0.621476124827738	0.778754141793845	0.829493744261097	0.668433526713356	0.368384402269497	0.119966602666474	0.343507130248819	0.314026557014111
