""	THY1	EGFR	LRP1	ITGAV	CD47	ITGB8	LRP4	LRP6	LDLR	SDC2	LRP8	SDC3	GPR37	GPR37L1	C1QBP	EDNRB	ADORA1	CD81	ADCY1	SCARB1	F2R	IGF1R	AR	NRP1	KLRC2	CD46	CD82	ABCA1	CD9	NRCAM	TSPAN5	CADM1	LPP	CNR1	SORT1	NOTCH2	PTPRK	NOTCH1	TNFRSF1A	RIPK1	ITGB1	TFRC	TNFRSF21	CHL1	NOTCH4	CELSR2	ATP5F1B	ADGRV1	CD44	RXRA	TNFRSF12A	TYRO3	PTPRS	CANX	FGFR1	TRAF2	ITGA6	KCNJ10	CD99L2	RAMP2	ITGA3	FZD3	INSR	ERBB3	TLR4	KCND2	SMAP1	CHRM3	TSPAN12	MRC2	APLP2	PLXNB1	PDGFRA	TSPAN17	GPC1	IGF2R	PILRB	VANGL2	PTK7	TNFRSF19	NGFR	LINGO1	ANTXR1	PLXNB2	PLSCR4	ITGA5	S1PR2	DCC	RYK	SEMA4C	NCSTN	MCFD2	LIFR	ACKR3	SLC16A1	ROBO2	MERTK	EPHB3	AMFR	TRADD	PTPRA	RACK1	GPNMB	STX4	SLC16A7	AXL	CD63	ADGRE5	APLP1	JMJD6	SIRPA	LAMP1	SORL1	ERAP1	CDH10	LRP10	PTPRZ1	RPSA	NCL
THY1	1	0.791684722459792	0.824398429611999	0.619924692797029	0.82812344738962	0.896351928331299	0.820439705303459	0.798203851347112	0.836646360150249	0.574123368364615	0.829469152623	0.608551591188027	0.647917665653667	0.681744031918323	0.881573151901646	0.370267305132621	0.501738623482441	0.715694442053648	0.84731424663696	0.56789199139762	0.464522925143798	0.646697476059814	0.660402163331098	0.672555244484567	0.774124502294451	0.796231350650482	0.912603046518958	0.324637755517354	0.748320975275558	0.680080975795516	0.845449916589048	0.79236250325373	0.811426272052093	0.423908510316204	0.785207503630343	0.742447224906541	0.740032669811503	0.732843040853938	0.770370418410329	0.868457435432018	0.866472813604916	0.860463568266962	0.850571666353221	0.632646438077273	0.652452136658396	0.846099942331088	0.866168153861877	0.199388047666401	0.231495122779977	0.723329560246195	0.739482196782028	0.875318141360954	0.785994551727443	0.844569962431047	0.887902736181494	0.839162935710527	0.396507082936123	0.522029294513233	0.794841665602328	0.953207212307841	0.735376873485269	0.760098808532503	0.755182435689496	0.65978721122407	0.560669451174128	0.79228301875329	0.86614242156529	0.905484869675393	0.857840884816313	0.464245755925896	0.800034049084533	0.5116691701676	0.68549471928654	0.835334822293117	0.697690101114881	0.713521519048253	0.769348478342865	0.762957856409736	0.793472804076728	0.824529124234579	0.486745730479878	0.877602364967776	0.807525163127077	0.763605069392609	0.296042386664492	0.81707844546692	0.825395427261658	0.790517632810957	0.906068564531312	0.625088766267219	0.817055127778624	0.839854118374851	0.633731730359956	0.830505594152238	0.702654437826052	0.736014090413614	0.583277065530201	0.820978890126567	0.76158154831868	0.692677956357148	0.772460732408513	0.870531368548557	0.53590775023663	0.851697448337565	0.841594481586447	0.477183899593138	0.871499013273248	0.858793922313724	0.910517114044951	0.810245069134458	0.301536283458198	0.786382881997476	0.231280841653593	0.824232842011814	0.783754071715224	0.588174216412761	0.780364053746524	0.850640315648782	0.907988567472531
EGFR	0.791684722459792	1	0.786284576360789	0.616211967477568	0.778618768282162	0.874146277560376	0.784706670466452	0.811100100215262	0.849666637333984	0.531861972909037	0.82072433402462	0.610450185489643	0.653890151252824	0.609820278444651	0.75036731224994	0.380609072122763	0.431427079152185	0.621712347865229	0.838573799174762	0.625042500207386	0.483955654362604	0.689720395482241	0.686006320337835	0.750142061818352	0.555190514502798	0.8053915950897	0.812599107817808	0.35489996120644	0.658693777370078	0.681715724987332	0.798436178500267	0.836599610100519	0.895259417276678	0.427013596155812	0.787792478700233	0.730345109999175	0.810390489768917	0.753726774188666	0.715510333663729	0.821176615023028	0.856338482798259	0.876280987911259	0.796845273184664	0.639088384318912	0.641820826465131	0.827994533213865	0.751573015247134	0.218892736508834	0.303931303432519	0.750360452558974	0.63649421126713	0.831081830691754	0.792536896497397	0.830228020445603	0.865702341653876	0.759477364584408	0.446994773868322	0.516403844516204	0.825864584814408	0.744105535114222	0.707799465699556	0.785120511538482	0.77799342205071	0.598758803923599	0.567108901816544	0.658513671339037	0.800240204955221	0.856843047603513	0.691819124485289	0.509786447988593	0.794363315995782	0.570457300494621	0.617274442191061	0.694144541444009	0.639742343981524	0.777028551554882	0.795605509304821	0.763162103140625	0.807001876147493	0.800416896550111	0.425059693289691	0.729627762649444	0.783235197920072	0.748780784444262	0.324647317651941	0.827254337701661	0.786496638484509	0.747097243050633	0.848987665233189	0.645530799582313	0.788161122520543	0.801050102885049	0.617943901113891	0.751589203062092	0.713214773424916	0.73812437042371	0.616543319026831	0.73952608088371	0.702038350270909	0.63727773386053	0.741546897671982	0.774565750626103	0.468283568098498	0.764298379593838	0.757163436605567	0.485687840789945	0.757183010377784	0.834769996570429	0.786717653063725	0.802187998666915	0.32007983551436	0.711750350007222	0.313434058015797	0.867361915604936	0.828086431193086	0.568524949682117	0.728107487450508	0.770230684519477	0.887210088893318
LRP1	0.824398429611999	0.786284576360789	1	0.83416468563978	0.871817668304817	0.942765919135209	0.976421969098988	0.940742083191178	0.84102926595188	0.672481798542314	0.91257631846927	0.869318175562897	0.865231796348683	0.920825890022123	0.781152700683931	0.665084834118287	0.714769772645474	0.835381361016794	0.837929204232243	0.646065879287948	0.689694539783259	0.709338938665633	0.856023427382932	0.504333160720326	0.71106470326902	0.930098517599649	0.820007107249898	0.634638490338108	0.696535085698497	0.88342245659151	0.805130008139082	0.868415380407266	0.898824519893365	0.667290446661677	0.836176302337783	0.892658663990619	0.90486747919283	0.919034607566728	0.813389253947132	0.875769488775205	0.800142633535323	0.847868260173069	0.878765122831516	0.808411367375071	0.732375082741455	0.956479134876278	0.773891509780058	0.541891420836942	0.372815643302559	0.862302935331675	0.514487160179721	0.915997594681607	0.905591252878767	0.891032827167838	0.894473142894614	0.714972135644245	0.695583759752425	0.83780026161488	0.868068052364725	0.774804626024744	0.801389510700718	0.909706838614012	0.889730965818063	0.884533138562141	0.740345006542204	0.925834192451153	0.916408824657364	0.876299744667304	0.790800159706551	0.692602639004797	0.861297717177839	0.829405233060456	0.76266554151798	0.773450463963093	0.719187505112119	0.869181114865554	0.838631941381245	0.943985795026275	0.78293723365771	0.812166239222942	0.68391854091813	0.80293231483699	0.931078802018955	0.78563520647497	0.663233745243122	0.775414956215137	0.871270490607957	0.788453097008145	0.881604633892234	0.766303316878881	0.835374912825458	0.891077419022309	0.87901127539591	0.806984655825415	0.585465464386661	0.933219568096897	0.77583833476734	0.842255040517553	0.849963102480523	0.579209042815832	0.927963243797331	0.710280717951316	0.650346205591321	0.817467798682789	0.841046464697539	0.671266117431389	0.785681950802822	0.832276373416014	0.857267273099217	0.78634093564891	0.617927941008138	0.852546002045333	0.533387196009952	0.862507766926191	0.898100301066732	0.806692256849793	0.960086688779594	0.684975841651292	0.855981545748469
ITGAV	0.619924692797029	0.616211967477568	0.83416468563978	1	0.891619952307953	0.807372795383223	0.800762664848199	0.85001161259082	0.734462788255863	0.932565200064404	0.789250431934664	0.95563848980192	0.937155171623675	0.880065084689118	0.804704948759962	0.92512817361686	0.932100193162221	0.937405889811016	0.546595255926386	0.766231650024778	0.952671267754617	0.611590035658418	0.92835538702271	0.502981442922765	0.308237264907981	0.801391043202096	0.479926265692987	0.896798108428387	0.744864761586274	0.980446016039891	0.825001856293669	0.890491779638182	0.818666840500006	0.913161445428818	0.859497131713225	0.928910353083863	0.714945609616071	0.911603826419123	0.901280304911373	0.829922017541088	0.743409437130519	0.735022910699677	0.894918309269261	0.986056730244689	0.857920432837742	0.864009483795657	0.812942890462008	0.854213661237225	0.689030924541419	0.857980336650812	0.584815304406829	0.705686906829437	0.70651558049352	0.903480916852	0.782386842427101	0.658169372403886	0.943430124255696	0.914422797421315	0.86546820283257	0.612437415867238	0.844310845402746	0.909682900492768	0.717710881032996	0.859196829391155	0.897168299016986	0.827588669258127	0.887508454499362	0.72202430275237	0.67888799231424	0.92133147829853	0.907464880849873	0.879551538235383	0.366614404732637	0.647045347227029	0.850163034484757	0.888855330817724	0.781137502089946	0.746030048209359	0.805730705305679	0.769107798886899	0.924293197057405	0.428533476342826	0.888351594853964	0.871967119029681	0.852795182294726	0.546263766186136	0.760079135828442	0.461142968755375	0.767328541908187	0.865741997599123	0.851042858035274	0.89235567514358	0.961272437230109	0.687426454577473	0.631576498173244	0.94048564698566	0.912186686552411	0.877716377703182	0.915278874678491	0.64778695807332	0.953684426004038	0.726428924647759	0.696558224617709	0.794105484385257	0.562708102572833	0.901450077392293	0.828663941240591	0.541901456623076	0.810727626143921	0.725750570096961	0.890992243979879	0.932858586612561	0.76402383204513	0.781994329326892	0.736074111447782	0.966284162748687	0.9313948965635	0.68947256422161	0.755687257883021
CD47	0.82812344738962	0.778618768282162	0.871817668304817	0.891619952307953	1	0.918264618447654	0.855452601635773	0.898980181652204	0.890001647398836	0.859251407511266	0.880666430732718	0.85761696398658	0.852466486582529	0.809180853050872	0.921798129698833	0.738981734616428	0.774047563791734	0.908451636001663	0.721452662422717	0.750382942644423	0.822091806135765	0.685191622668171	0.913018407023328	0.675040553580382	0.481658480480273	0.866859567693925	0.708958417094906	0.703097288581523	0.806426010088143	0.921682183709222	0.951473422147646	0.963859453495013	0.915927575487453	0.732428613248722	0.956177355858027	0.945556130887472	0.771172883016439	0.919066801153455	0.937416072442812	0.933742246098018	0.90670586209837	0.881948687294587	0.945176616704224	0.897105274726058	0.885814413990137	0.918703744603567	0.941145832720063	0.602612227504653	0.565979253668237	0.882219492693857	0.743302494716905	0.841838274491456	0.822002037522325	0.968160682001674	0.917990919587609	0.868993202269377	0.756997881893643	0.758614395207804	0.929251992702588	0.816397234545303	0.875740804041107	0.917528412308785	0.800516560035674	0.786728138595085	0.836109222673451	0.847934181060736	0.959023083463718	0.866567339013726	0.829723532962321	0.793887295846342	0.960835191628076	0.774231218155455	0.552713703924527	0.813295742015932	0.882503472607125	0.913146641959804	0.913679862935461	0.807110463315715	0.912335041730874	0.863928034933986	0.782223784460138	0.630903363231831	0.914894237007327	0.932224044749492	0.637245289075744	0.727937216228841	0.819654044900823	0.652915661379143	0.896491704041642	0.854663157012069	0.9364492828225	0.955670789015402	0.877853560434949	0.842236094756681	0.751395002799979	0.915694668921145	0.873074563219658	0.940877749747186	0.933562904682459	0.745084717501239	0.940809787645155	0.895294839414113	0.659063765790987	0.902094965220583	0.737547057486174	0.785720652314118	0.9351723871817	0.718896117835439	0.951355088369602	0.877350959812622	0.680186076205597	0.950342503903056	0.590939249678237	0.891728191841303	0.803561416667853	0.869851833790514	0.915000838494251	0.868817835606975	0.920825139650133
ITGB8	0.896351928331299	0.874146277560376	0.942765919135209	0.807372795383223	0.918264618447654	1	0.932978107766383	0.961516181415381	0.924597504498616	0.692961720217769	0.92787402095197	0.793263092230079	0.809599612633648	0.802869930449339	0.855602484411514	0.581348624349488	0.640001043742837	0.79831160481201	0.871116966070604	0.722468504458591	0.666299480132467	0.77840629625392	0.846220766293433	0.699339069416063	0.654513147525475	0.942223108038741	0.851968422347397	0.561932709950362	0.750387301775736	0.856448049971509	0.900491684113388	0.923191792707829	0.958446257917812	0.636569495095018	0.908933468475847	0.895154525711028	0.878375533805263	0.90195567275488	0.855044617070616	0.934116684975433	0.920973473429694	0.939454789017417	0.92584654609469	0.803298220550302	0.764798026693772	0.962006470616854	0.858261946466834	0.436957832357205	0.429300017971572	0.898774834292501	0.684620862299773	0.944562429379098	0.914507803850112	0.951942065924061	0.972083328509305	0.831755048869605	0.626450441268392	0.714669377754558	0.906594748310599	0.849001680864025	0.856246878445218	0.92308740031012	0.90088226449942	0.799261133641953	0.75087411408734	0.879113456834254	0.932793768974648	0.959407188449481	0.830071119175042	0.661746107714394	0.928086265219624	0.732315339534197	0.711133641287885	0.836595964249331	0.77171767238298	0.894712707119813	0.908367699045251	0.910629817222183	0.881265940188532	0.91257649968053	0.626749803196889	0.800131431140163	0.947003490552726	0.871905371479767	0.540511095428171	0.868477306102224	0.890899150970372	0.815265958193208	0.953174162688807	0.78356708179235	0.902108214202926	0.940146562199602	0.831016083973984	0.836417335329527	0.750782769898532	0.918788487870412	0.779923831806627	0.895619279528324	0.87469750956135	0.706266351520834	0.909841949787698	0.842362984143397	0.659960221382424	0.877844081978852	0.87093048707699	0.660041669867405	0.86592312745617	0.860653200008784	0.916370316848384	0.876656764607229	0.521309561330159	0.870943875149024	0.480580286592998	0.93295704877145	0.904343110486931	0.769446566799469	0.915841894431361	0.815620426917451	0.953530890207483
LRP4	0.820439705303459	0.784706670466452	0.976421969098988	0.800762664848199	0.855452601635773	0.932978107766383	1	0.925629580102586	0.852015397161789	0.64013338529848	0.9111476411693	0.831251783567691	0.841214299675713	0.887245148576213	0.759350031998574	0.609138807062714	0.670871874532885	0.789099892161208	0.850061181077471	0.616510667979972	0.655853527650964	0.712782151504327	0.828204981022737	0.495320858670847	0.731373136825512	0.921069835406668	0.834888601093477	0.588979725848447	0.656165288314764	0.854343669349168	0.798411547340993	0.860137595727686	0.888625331379667	0.636762494746691	0.826223662058215	0.878026258727116	0.898898735940085	0.901294340383612	0.785830181296355	0.860499816264438	0.795517144714792	0.843568950686136	0.864813743739493	0.771741314760508	0.711128163334364	0.938946569861784	0.758838121915263	0.490951246754359	0.334087989933086	0.847434296587711	0.506445251639941	0.902474087705246	0.906438135504939	0.876660001074682	0.888459799048854	0.712752146766657	0.647876853465503	0.807104736708212	0.856877236616424	0.768347448703675	0.77783669527376	0.89244946197901	0.89088289003106	0.872065825022959	0.702697236351058	0.916596928180681	0.898656450681757	0.875472528891796	0.760430242629259	0.638305567899327	0.846064445321991	0.810750307559045	0.790354317511892	0.745844135492266	0.689670532513632	0.840644383165169	0.84076562685251	0.945954615464024	0.776414455912106	0.798641142876844	0.645601526586203	0.817741148267091	0.916572153037691	0.761709820851162	0.615249111020237	0.778256501636719	0.867328281757701	0.820929769260582	0.876929958331783	0.734628949828769	0.829716516808292	0.872262397690899	0.842813343167453	0.782728939012654	0.568396470054769	0.904316108488686	0.752837142817623	0.818147112092261	0.822519742148842	0.542933911897889	0.895288736356875	0.695942091945182	0.613084105439047	0.791624276887282	0.846180336561958	0.629630492561382	0.763191566536213	0.836884400584591	0.853916792217389	0.777578812956325	0.560603872065659	0.820477945398626	0.484625176130068	0.846611633240151	0.880535924288246	0.764824024163274	0.93922392905708	0.673581821128551	0.853377308889896
LRP6	0.798203851347112	0.811100100215262	0.940742083191178	0.85001161259082	0.898980181652204	0.961516181415381	0.925629580102586	1	0.895441750161536	0.711590865608059	0.916789961285444	0.837953482412393	0.842621872761911	0.828263336645939	0.797727983163694	0.653603717620022	0.680520922774158	0.80075999211208	0.820901526099403	0.719471430001729	0.724819675392306	0.763184177261726	0.883178473165802	0.608324739951316	0.579453192242754	0.932182365705259	0.770570186705026	0.641540156390393	0.699456712446906	0.879013871543429	0.86448207304151	0.914296995304724	0.941421299407635	0.695379308050418	0.902020763163506	0.899311442074915	0.874804439999696	0.922135124032532	0.843226864060818	0.904910681647931	0.868495436515167	0.89966303860067	0.900681946222873	0.830909432321827	0.757726271460235	0.950118252328647	0.806317746475994	0.536375425648934	0.473130454819393	0.907127984139115	0.596689314644643	0.909058824594703	0.911212939475737	0.934367470863771	0.935818715207773	0.771264147554741	0.699704547165722	0.775002473560693	0.888782774950169	0.757970719388103	0.831562225548136	0.936863075501503	0.903898882821122	0.834893727133497	0.771214232537524	0.89369754205837	0.907122977004406	0.900643583555963	0.765043248176411	0.708134430123116	0.923291993256777	0.79848399399947	0.693990133015723	0.78780450312511	0.752753618536512	0.914913390720457	0.90819142075454	0.919034582229097	0.843183191160077	0.86693011161268	0.67888165611699	0.723002489692436	0.951182041977301	0.845979941639477	0.640425630165589	0.794271291755647	0.867070955113253	0.764513180809833	0.914227320659946	0.794920675684394	0.87777633449701	0.927796325721289	0.870961865480244	0.769298383757853	0.68935036019002	0.93831762794426	0.828470529471017	0.873970632202982	0.861653440904714	0.644681225796244	0.916644476083345	0.771627650225597	0.672212614775464	0.838629691179423	0.816673582693218	0.709048525377276	0.809812422213875	0.791091770469526	0.865139692025764	0.8532709056515	0.607883058642295	0.854171332217741	0.569499585497895	0.895589891110954	0.872121735650484	0.80647942647894	0.924678596867642	0.747453109241461	0.904355608736729
LDLR	0.836646360150249	0.849666637333984	0.84102926595188	0.734462788255863	0.890001647398836	0.924597504498616	0.852015397161789	0.895441750161536	1	0.658046449923324	0.889883645220472	0.707772207738898	0.744756837008122	0.679936463743419	0.844390886229149	0.488286484597157	0.536322976815939	0.71048785453326	0.828828135732199	0.622264467288578	0.619938374125791	0.692141554203742	0.791280360689941	0.717485580545574	0.570572364141832	0.845788739738413	0.821873208900658	0.460996278241065	0.649743948380102	0.777486970733291	0.932429321600447	0.905924817287942	0.910686830028402	0.547891619073337	0.883568702698573	0.829967075921444	0.771472046909195	0.862743604052385	0.811244183335655	0.911431853893692	0.923040711851707	0.900480175258906	0.88329574555829	0.729364826825143	0.765970644355572	0.888016488627149	0.867487534999347	0.34194997530246	0.388107458760156	0.831916459645146	0.693431023132164	0.868231492610702	0.861442937679903	0.905215283666763	0.950358514636111	0.842177094350986	0.548342398477563	0.60088814297472	0.858743423159442	0.817652172175735	0.818215190697339	0.838982816590884	0.83739054874122	0.693414156869239	0.676037241321889	0.785692849932677	0.866932322173336	0.903836573351485	0.74744476996761	0.579795066892941	0.894859482640409	0.676804452157113	0.662783223217824	0.768435809946116	0.729894168845347	0.856105874366686	0.90378354931904	0.831862135253257	0.881888920888428	0.840012094932294	0.57088795901833	0.743690763216935	0.895248207946023	0.842464824803772	0.431380525223552	0.799705861452082	0.811222157992867	0.799222754290896	0.914742236512565	0.739708254150384	0.868865364954277	0.897943720385043	0.722006868020909	0.798833762320767	0.707118890404296	0.824239839189438	0.771069430893377	0.861839223000026	0.796557409763834	0.677260062577572	0.813766925481325	0.856200222125512	0.520161118334791	0.844918057085229	0.80566480388574	0.601766199433418	0.85002213020206	0.811244328849294	0.888115895127613	0.872183144042553	0.437518558570843	0.801604356419205	0.420909147800875	0.874122056970458	0.825475634625168	0.684830381884081	0.808852897842611	0.862256447140111	0.946911059433015
SDC2	0.574123368364615	0.531861972909037	0.672481798542314	0.932565200064404	0.859251407511266	0.692961720217769	0.64013338529848	0.711590865608059	0.658046449923324	1	0.663129206279918	0.86193002043814	0.846629275532854	0.750383399236851	0.830864474545382	0.890308010809208	0.911406163422944	0.922869072703771	0.392386187210993	0.7608364959131	0.927411875596511	0.521562984209672	0.853503240772326	0.551906814382198	0.154466527179314	0.670496206598988	0.349504840080892	0.860251044856627	0.795334978352111	0.903648659222877	0.822293863315251	0.852150281942347	0.716547706387484	0.878423430795551	0.816788720156125	0.860430431591441	0.536863640488341	0.810995467193883	0.901940678245149	0.76580231169281	0.716576308144038	0.66155839164062	0.850700032895277	0.946906975503148	0.863597363698959	0.742163638919214	0.848961216774471	0.81649248940342	0.734517589574298	0.760213782204252	0.691554408833952	0.577352434012137	0.546563303222792	0.852257630161562	0.70714760164695	0.665657291043036	0.8916227543261	0.790008863061284	0.81328512016182	0.592772638186843	0.805459394963913	0.807566881355218	0.572603392794275	0.732902216607438	0.852207033285423	0.688620667151033	0.832894576306222	0.625730025727543	0.642431613082988	0.911723695633401	0.860589887271702	0.752378516705291	0.156921653697465	0.607177915577034	0.881253608679728	0.796858968785177	0.703360600136996	0.553718761628613	0.805194482978994	0.710626926964219	0.921893444563914	0.282017862196398	0.771514546987924	0.871074015059316	0.748729310078155	0.446383448865004	0.665030999858909	0.304140025338358	0.694926869381593	0.836283616048486	0.823372117479529	0.834624740328013	0.857744599201634	0.631497504981595	0.683149422994545	0.823396611809765	0.846727145861001	0.844953675122382	0.879748659982313	0.708820310368039	0.869960321064074	0.77868617861181	0.651577522495595	0.776745047560273	0.424727413271128	0.885316546043942	0.863916495726331	0.402668493413189	0.787782432908563	0.69035965820838	0.849842123591217	0.912422342479409	0.694049486657498	0.686454916877341	0.588240218612928	0.917512902267178	0.810893275081682	0.734900608741481	0.699147332033533
